occ,y2_hhid,qx_type,interview_status,ag_q0b,ag_q0c,ag_q01,ag_q02a,ag_q02b,ag_q03,ag_q11,ag_q12a,ag_q12b,ag_q12_1a,ag_q12_1b,ag_q13,ag_q14a,ag_q14b,ag_q15a,ag_q15b,ag_q16,ag_q17,ag_q18,ag_q19,ag_q20,ag_q21a,ag_q21b,ag_q21_1a,ag_q21_1b,ag_q22,ag_q23a,ag_q23b,ag_q24a,ag_q24b,ag_q25,ag_q26,ag_q27,ag_q31a,ag_q31b,ag_q32a,ag_q32b,ag_q33a,ag_q33b,ag_q34a,ag_q34b,ag_q35a,ag_q35b,ag_q35c,ag_q36a,ag_q36b,ag_q37,ag_q38,ag_q39a,ag_q39b,ag_q40a,ag_q40b,ag_q41a,ag_q41b
1,0685-004,PANEL A,Panel A - 2 Visits,CASSAVA,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),0,,0,,0,,0,,,,,YES,CHITANDALA OUTSIDE,4,PAIL (SMALL),DID NOTHING,,FOOD FOR THE HOUSEHOLD,
1,0685-005,PANEL A,Panel A - 2 Visits,CASSAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50 KG BAG,0,,0,,0,,0,,,,,YES,CHITANDALA OUTSIDE,6,PAIL (LARGE),DID NOTHING,,FOOD FOR THE HOUSEHOLD,
2,0685-005,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (SMALL),0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
3,0685-005,PANEL A,Panel A - 2 Visits,PAWPAW/PAPAYA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0686-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0687-003,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0690-001,PANEL B,Panel B - 2 Visits,AVOCADO,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,PIECE,0,,0,,0,,12,PIECE,,THEFT,ROTTING,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0692-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0696-002,PANEL B,Panel B - Combined Visit,MANGO,3,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
2,0696-002,PANEL B,Panel B - Combined Visit,LEMON,3,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
3,0696-002,PANEL B,Panel B - Combined Visit,ORANGE,3,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
4,0696-002,PANEL B,Panel B - Combined Visit,PAWPAW/PAPAYA,3,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
1,0696-006,PANEL B,Panel B - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,PAIL (LARGE),0,,0,,0,,1,PAIL (LARGE),,ROTTING,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0699-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0700-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0701-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0701-003,PANEL A,Panel A - 2 Visits,CASSAVA,1,YES,19,PAIL (LARGE),28500,N04,19,PAIL (LARGE),1,,28500,1,,AUGUST,2013,10,ON FOOT,0,NO,,,,,,,,,,,,,,3,PAIL (LARGE),0,,0,,0,,0,,,,,YES,BAGS IN HOUSE,2,PAIL (LARGE),DID NOTHING,,FOOD FOR THE HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0707-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0710-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0714-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0714-003,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0719-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0720-002,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0721-004,PANEL A,Panel A - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0725-006,PANEL A,Panel A - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0726-002,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0727-005,PANEL A,Panel A - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0729-003,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0733-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0734-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0736-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0737-008,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,50 KG BAG,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0743-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,PIECE,0,,0,,0,,1,PAIL (SMALL),,THEFT,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
2,0743-001,PANEL A,Panel A - 2 Visits,AVOCADO,1,YES,2,PAIL (SMALL),400,N02,1,PAIL (SMALL),1,2,200,1,2,MARCH,2013,3,ON FOOT,0,NO,,,,,,,,,,,,,,20,PIECE,0,,0,,0,,1,PAIL (SMALL),,THEFT,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0744-001,PANEL B,Panel B - 2 Visits,PAWPAW/PAPAYA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,PIECE,0,,0,,0,,4,PIECE,,INSECTS,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
2,0744-001,PANEL B,Panel B - 2 Visits,AVOCADO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,PIECE,0,,0,,0,,9,PIECE,,INSECTS,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0746-001,PANEL B,Panel B - 2 Visits,AVOCADO,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),0,,0,,0,,1,PAIL (SMALL),,ROTTING,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0747-003,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0749-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,PIECE,0,,0,,0,,58,PIECE,,INSECTS,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
2,0749-001,PANEL A,Panel A - 2 Visits,AVOCADO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,15,PIECE,,INSECTS,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0750-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0751-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0753-001,PANEL A,Panel A - 2 Visits,AVOCADO,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,PIECE,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
2,0753-001,PANEL A,Panel A - 2 Visits,MANGO,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,PIECE,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
1,0754-001,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0755-001,PANEL A,Panel A - 2 Visits,AVOCADO,2,YES,120,PIECE,3100,N02,120,PIECE,2,,3100,2,,MAY,2013,4,ON FOOT,0,NO,,,,,,,,,,,,,,25,PIECE,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
1,0756-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0758-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0759-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,2,PAIL (SMALL),,INSECTS,THEFT,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0759-004,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0759-005,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0759-008,PANEL A,Panel A - 2 Visits,BANANA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0759-008,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0760-001,PANEL B,Panel B - 2 Visits,AVOCADO,1,YES,1,PAIL (SMALL),2000,N05,1,PAIL (LARGE),1,,4000,1,,JUNE,2013,2,ON FOOT,0,NO,,,,,,,,,,,,,,9,PIECE,0,,0,,0,,6,PIECE,,ROTTING,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0760-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0761-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0762-001,PANEL B,Panel B - 2 Visits,PAWPAW/PAPAYA,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,6,PIECE,,INSECTS,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0763-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0764-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0764-003,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0765-001,PANEL A,Panel A - 2 Visits,BANANA,2,YES,7,BUNCH,13900,N01,7,BUNCH,2,,13900,2,,AUGUST,2013,3,ON FOOT,0,NO,,,,,,,,,,,,,,1,BUNCH,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
2,0765-001,PANEL A,Panel A - 2 Visits,MANGO,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,PIECE,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
3,0765-001,PANEL A,Panel A - 2 Visits,GUAVA,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,PIECE,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
1,0766-001,PANEL B,Panel B - 2 Visits,BANANA,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
2,0766-001,PANEL B,Panel B - 2 Visits,MANGO,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
1,0766-003,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0767-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (SMALL),0,,0,,0,,,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
2,0767-001,PANEL A,Panel A - 2 Visits,AVOCADO,1,YES,1,PAIL (LARGE),4000,N04,10,PIECE,1,,1000,1,,MAY,2013,5,TRUCK / BUS / MINIBUS,250,NO,,,,,,,,,,,,,,1,PAIL (LARGE),0,,0,,0,,,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0768-001,PANEL B,Panel B - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50 KG BAG,0,,0,,0,,2,50 KG BAG,,FLOOD,,NO,,,,,,DOES NOT USUALLY STORE,
1,0769-004,PANEL A,Panel A - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0770-001,PANEL B,Panel B - 2 Visits,MANGO,5,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,50 KG BAG,0,,0,,0,,2,50 KG BAG,,THEFT,ROTTING,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0770-004,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0771-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0772-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0773-001,PANEL A,Panel A - 2 Visits,MANGO,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,PAIL (LARGE),0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
1,0774-001,PANEL B,Panel B - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
2,0774-001,PANEL B,Panel B - 2 Visits,GUAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
1,0774-008,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0775-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0776-001,PANEL B,Panel B - 2 Visits,MEXICAN APPLE [MASUKU],3,YES,2,PAIL (LARGE),1000,N03,2,PAIL (LARGE),3,,1000,3,,DECEMBER,2012,2,ON FOOT,0,NO,,,,,,,,,,,,,,1,PAIL (LARGE),0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0776-001,PANEL B,Panel B - 2 Visits,ORANGE,3,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (SMALL),0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
3,0776-001,PANEL B,Panel B - 2 Visits,GUAVA,3,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (SMALL),0,,0,,0,,1,PAIL (LARGE),,ROTTING,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0777-001,PANEL A,Panel A - 2 Visits,MANGO,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,50 KG BAG,0,,0,,0,,1,OX - CART,,ROTTING,THEFT,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0778-001,PANEL B,Panel B - 2 Visits,GUAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
2,0778-001,PANEL B,Panel B - 2 Visits,LEMON,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
3,0778-001,PANEL B,Panel B - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,PAIL (LARGE),0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
1,0779-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,PAIL (LARGE),0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
2,0779-001,PANEL A,Panel A - 2 Visits,PAWPAW/PAPAYA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,PIECE,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
3,0779-001,PANEL A,Panel A - 2 Visits,GUAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
1,0780-001,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0780-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0781-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0782-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0783-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50 KG BAG,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
1,0784-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0785-001,PANEL A,Panel A - 2 Visits,GUAVA,1,YES,4,PAIL (LARGE),2300,N04,4,PAIL (LARGE),2,,2300,2,,MARCH,2013,6,ON FOOT,0,NO,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
2,0785-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
3,0785-001,PANEL A,Panel A - 2 Visits,BANANA,1,YES,10,OTHER (SPECIFY),5700,N04,10,OTHER (SPECIFY),2,,5700,2,,MAY,2013,5,ON FOOT,0,NO,,,,,,,,,,,,,,4,BUNCH,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0786-001,PANEL B,Panel B - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,OX - CART,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0787-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,PAIL (LARGE),0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
2,0787-001,PANEL A,Panel A - 2 Visits,BANANA,1,YES,15,BUNCH,4000,N04,15,BUNCH,1,,500,1,,JANUARY,2013,5,ON FOOT,0,NO,,,,,,,,,,,,,,20,BUNCH,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0788-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0789-002,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,OX - CART,0,,0,,0,,2,PAIL (LARGE),,ROTTING,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
2,0789-002,PANEL A,Panel A - 2 Visits,ORANGE,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,PAIL (LARGE),0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
3,0789-002,PANEL A,Panel A - 2 Visits,GUAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,PAIL (LARGE),0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0790-002,PANEL B,Panel B - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50 KG BAG,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
2,0790-002,PANEL B,Panel B - 2 Visits,GUAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
1,0790-004,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0791-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,PAIL (LARGE),0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
2,0791-001,PANEL A,Panel A - 2 Visits,ORANGE,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,PAIL (LARGE),0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
1,0791-003,PANEL A,Panel A - 2 Visits,ORANGE,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0791-004,PANEL A,Panel A - 2 Visits,BANANA,1,YES,5,OTHER (SPECIFY),1000,N04,5,OTHER (SPECIFY),1,2,1000,1,2,SEPTEMBER,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,8,OTHER (SPECIFY),0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,DOES NOT USUALLY STORE
1,0792-001,PANEL B,Panel B - 2 Visits,MANGO,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,OX - CART,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0792-003,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0793-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0793-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0794-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0795-001,PANEL A,Panel A - Only Visit 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0796-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0796-002,PANEL B,Panel B - 2 Visits,PAWPAW/PAPAYA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,OX - CART,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
2,0796-002,PANEL B,Panel B - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,PAIL (LARGE),0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
1,0797-001,PANEL A,Panel A - 2 Visits,CASSAVA,6,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,PIECE,0,,0,,0,,0,,,,,YES,HEAPED IN HOUSE,1,PAIL (LARGE),DID NOTHING,,FOOD FOR THE HOUSEHOLD,
1,0798-001,PANEL B,Panel B - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50 KG BAG,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
1,0799-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,OX - CART,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
2,0799-001,PANEL A,Panel A - 2 Visits,ORANGE,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,PAIL (LARGE),0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
