HHID,case_id,qx_type,visit,ea_id,ag_g0a,ag_g0b,ag_g0d,ag_g0d_os,ag_g01,ag_g02,ag_g03,ag_g04a,ag_g04b,ag_g04b_os,ag_g05a,ag_g05b,ag_g07,ag_g08a,ag_g08b,ag_g08b_os,ag_g08c,ag_g09a,ag_g09b,ag_g09b_os,ag_g09c,ag_g10,ag_g11a,ag_g11a_os,ag_g11b,ag_g11b_os,ag_g12a,ag_g12b,ag_g13a,ag_g13b,ag_g13b_os,ag_g13c
868,202052070115,Panel B,2,20205207,Yes,R2,MAIZE HYBRID,,Pure stand,,,5,Kilogram,,December,2009,No,3,50 kg Bag,,U: Unshelled,0,,,,YES,Rains,,,,April,April,150,KILOGRAM,,S: SHELLED
878,202052070127,Panel B,2,20205207,Yes,R1,MAIZE HYBRID,,Pure stand,,,10,Kilogram,,January,2010,No,3,Ox-cart,,U: Unshelled,0,,,,YES,Rains,,,,May,May,4,50 KG BAG,,S: SHELLED
889,202063620005,Panel A,2,20206362,Yes,R2,TOBACCO BURLEY,,Pure stand,,,15,Kilogram,,December,2009,No,2,Ox-cart,,U: Unshelled,0,,,,YES,Rains,,,,February,March,500,KILOGRAM,,NOT APPLICABLE
889,202063620005,Panel A,2,20206362,Yes,R1,MAIZE HYBRID,,Pure stand,,,6,Gram,,December,2009,Yes,,,,,200,Kilogram,,Not Applicable,NO,,,,,May,May,24,50 KG BAG,,S: SHELLED
889,202063620005,Panel A,2,20206362,Yes,R3,OTHER GROUNDNUT(SPECIFY),GROUNDNUTS,Pure stand,,,5,Kilogram,,December,2009,No,2,Ox-cart,,U: Unshelled,0,,,,NO,,,,,May,May,33,50 KG BAG,,U: UNSHELLED
877,202063620025,Panel A,2,20206362,Yes,R1,MAIZE HYBRID,,Mixed stand,Yes,,10,Kilogram,,December,2009,No,170,Kilogram,,U: Unshelled,0,,,,NO,,,,,May,May,450,KILOGRAM,,S: SHELLED
877,202063620025,Panel A,2,20206362,Yes,R2,GROUNDNUT CG7,,Pure stand,,,10,Kilogram,,December,2009,No,2,Ox-cart,,U: Unshelled,,,,,NO,,,,,May,May,105,KILOGRAM,,S: SHELLED
871,202063620035,Panel A,2,20206362,Yes,R5,GROUNDNUT CG7,,Pure stand,,,2,2 kg bag,,January,2010,No,3,Ox-cart,,U: Unshelled,0,,,,NO,,,,,April,April,2,50 KG BAG,,U: UNSHELLED
871,202063620035,Panel A,2,20206362,Yes,R4,RISE LOCAL,,Pure stand,,,20,Kilogram,,December,2009,No,15,50 kg Bag,,U: Unshelled,,,,,NO,,,,,May,May,4,50 KG BAG,,U: UNSHELLED
871,202063620035,Panel A,2,20206362,Yes,R2,TOBACCO BURLEY,,Pure stand,,,45,Gram,,December,2009,No,1,Ox-cart,,U: Unshelled,,,,,NO,,,,,February,March,140,KILOGRAM,,NOT APPLICABLE
871,202063620035,Panel A,2,20206362,Yes,R1,MAIZE HYBRID,,Pure stand,,,6,Gram,,December,2009,Yes,,,,,115,Kilogram,,Not Applicable,YES,Lack of hired labor,,,,May,May,11,50 KG BAG,,S: SHELLED
871,202063620035,Panel A,2,20206362,Yes,R3,GROUNDNUT CG7,,Pure stand,,,10,Kilogram,,February,2010,No,11,Pail (large),,U: Unshelled,,,,,NO,,,,,April,April,6,50 KG BAG,,U: UNSHELLED
891,202063620047,Panel A,2,20206362,Yes,R2,GROUNDNUT MANIPINTA,,Pure stand,,,4,Gram,,December,2009,Yes,,,,,300,Kilogram,,Not Applicable,YES,Rains,,,,May,May,80,PAIL (LARGE),,U: UNSHELLED
891,202063620047,Panel A,2,20206362,Yes,R1,MAIZE HYBRID,,Pure stand,,,21,Kilogram,,December,2009,No,2,Ox-cart,,U: Unshelled,0,,,,YES,Other (Specify),LACK OF FERTILIZER,,,May,May,35,50 KG BAG,,S: SHELLED
891,202063620047,Panel A,2,20206362,Yes,R4,MAIZE LOCAL,,Pure stand,,,5,Kilogram,,January,2010,No,20,Basket (Dengu),,U: Unshelled,0,,,,NO,,,,,May,May,4,50 KG BAG,,S: SHELLED
891,202063620047,Panel A,2,20206362,Yes,R3,TOBACCO BURLEY,,Pure stand,,,1,10 kg bag,PAIL LARGE,December,2009,No,10,Basket (Dengu),,U: Unshelled,0,,,,YES,Other (Specify),LACK OF FERTILIZER,,,February,March,300,KILOGRAM,,NOT APPLICABLE
865,202063620055,Panel A,2,20206362,Yes,R1,MAIZE LOCAL,,Pure stand,,,2,2 kg bag,,January,2010,No,13,Basket (Dengu),,U: Unshelled,0,,,,NO,,,,,June,June,3,50 KG BAG,,S: SHELLED
865,202063620055,Panel A,2,20206362,Yes,R2,MAIZE HYBRID,,Pure stand,,,18,Kilogram,,January,2010,No,25,Pail (large),,U: Unshelled,0,,,,YES,Other (Specify),LACK OF FERTILIZER,,,June,June,1,50 KG BAG,,S: SHELLED
865,202063620055,Panel A,2,20206362,Yes,R3,GROUNDNUT CG7,,Pure stand,,,4,Kilogram,,December,2009,No,5,50 kg Bag,,S: Shelled,0,,,,YES,Disease,,,,June,June,3,90 KG BAG,,U: UNSHELLED
879,202063620077,Panel A,2,20206362,Yes,R2,GROUNDNUT CG7,,Pure stand,,,1,Kilogram,,January,2010,No,3,50 kg Bag,,S: Shelled,0,,,,YES,Lack of hired labor,,,,June,June,6,50 KG BAG,,U: UNSHELLED
879,202063620077,Panel A,2,20206362,Yes,R1,MAIZE HYBRID,,Pure stand,,,1,Other (specify),PAIL UNSHELLED,December,2009,No,20,50 kg Bag,,U: Unshelled,0,,,,YES,Other (Specify),LACK OF FERTILIZER,,,May,May,5,50 KG BAG,,S: SHELLED
881,202063620123,Panel A,2,20206362,Yes,R1,MAIZE LOCAL,,Pure stand,,,3,5 kg bag,,January,2010,No,15,50 kg Bag,,S: Shelled,0,,,,YES,Other (Specify),LACK OF FERTILIZER,,,May,May,3,50 KG BAG,,S: SHELLED
881,202063620123,Panel A,2,20206362,Yes,R2,GROUNDNUT CG7,,Pure stand,,,10,Kilogram,,December,2009,No,3,Ox-cart,,U: Unshelled,0,,,,YES,Disease,,,,June,June,8,50 KG BAG,,U: UNSHELLED
883,202063620130,Panel A,2,20206362,Yes,R1,MAIZE LOCAL,,Mixed stand,Yes,,40,Kilogram,,December,2009,No,1,Ox-cart,,U: Unshelled,0,,,,NO,,,,,May,May,800,KILOGRAM,,S: SHELLED
883,202063620130,Panel A,2,20206362,Yes,R2,GROUNDNUT CG7,,Pure stand,,,1,3.7 kg bag,,December,2009,No,5,50 kg Bag,,S: Shelled,0,,,,NO,,,,,May,May,600,KILOGRAM,,S: SHELLED
883,202063620130,Panel A,2,20206362,Yes,R3,RISE KILOMBERO,,Pure stand,,,10,Kilogram,,December,2009,No,2.5,Ox-cart,,U: Unshelled,0,,,,NO,,,,,May,May,1200,KILOGRAM,,U: UNSHELLED
893,202063620143,Panel A,2,20206362,Yes,R1,MAIZE HYBRID RECYCLED,,Pure stand,,,20,Kilogram,,January,2010,No,25,50 kg Bag,,U: Unshelled,0,,,,YES,Rains,,,,June,June,750,KILOGRAM,,S: SHELLED
893,202063620143,Panel A,2,20206362,Yes,R2,GROUNDNUT CG7,,Pure stand,,,3,Kilogram,,December,2009,No,1,Ox-cart,,U: Unshelled,0,,,,NO,,,,,May,May,20,50 KG BAG,,U: UNSHELLED
895,202063620150,Panel A,2,20206362,Yes,R2,GROUNDNUT CG7,,Pure stand,,,8,Kilogram,,December,2009,No,23,50 kg Bag,,U: Unshelled,0,,,,NO,,,,,April,April,9,50 KG BAG,,U: UNSHELLED
895,202063620150,Panel A,2,20206362,Yes,R4,GROUNDNUT CG7,,Pure stand,,,10,Kilogram,,December,2009,No,1300,Kilogram,,S: Shelled,0,,,,NO,,,,,May,June,23,50 KG BAG,,U: UNSHELLED
895,202063620150,Panel A,2,20206362,Yes,R3,MAIZE LOCAL,,Pure stand,,,32,Kilogram,,December,2009,No,53,50 kg Bag,,U: Unshelled,0,,,,NO,,,,,May,May,800,KILOGRAM,,S: SHELLED
895,202063620150,Panel A,2,20206362,Yes,R1,MAIZE LOCAL,,Pure stand,,,10,Kilogram,,December,2009,No,13,50 kg Bag,,U: Unshelled,0,,,,NO,,,,,May,May,250,KILOGRAM,,S: SHELLED
887,202063620156,Panel A,2,20206362,Yes,R1,MAIZE HYBRID,,Pure stand,,,20,Kilogram,,January,2010,No,500,Kilogram,,S: Shelled,0,,,,NO,,,,,April,April,750,KILOGRAM,,S: SHELLED
887,202063620156,Panel A,2,20206362,Yes,R2,GROUNDNUT CG7,,Pure stand,,,3,Gram,,December,2009,Yes,,,,,100,Kilogram,,Not Applicable,NO,,,,,May,May,360,KILOGRAM,,S: SHELLED
887,202063620156,Panel A,2,20206362,Yes,R3,TOBACCO BURLEY,,Pure stand,,,1,10 kg bag,,December,2009,No,7,Ox-cart,,U: Unshelled,0,,,,NO,,,,,February,March,160,KILOGRAM,,NOT APPLICABLE
873,202063620179,Panel A,2,20206362,Yes,R2,TOBACCO BURLEY,,Pure stand,,,1,5 kg bag,,December,2009,No,2,Ox-cart,,U: Unshelled,2,Ox-cart,,U: Unshelled,NO,,,,,February,March,290,KILOGRAM,,NOT APPLICABLE
873,202063620179,Panel A,2,20206362,Yes,R1,MAIZE LOCAL,,Pure stand,,,4,Gram,,December,2009,No,170,Kilogram,,Not Applicable,0,,,,NO,,,,,May,May,250,KILOGRAM,,S: SHELLED
869,202063620195,Panel A,2,20206362,Yes,R2,GROUNDNUT CG7,,Pure stand,,,5,Kilogram,,December,2009,No,1.5,Ox-cart,,U: Unshelled,0,,,,NO,,,,,June,June,21,50 KG BAG,,U: UNSHELLED
869,202063620195,Panel A,2,20206362,Yes,R1,MAIZE HYBRID,,Pure stand,,,10,Kilogram,,December,2009,No,10,50 kg Bag,,U: Unshelled,50,50 kg Bag,,U: Unshelled,YES,Other (Specify),LACK OF FERTILIZER,,,May,May,8,50 KG BAG,,S: SHELLED
867,202063620232,Panel A,2,20206362,Yes,R3,MAIZE HYBRID RECYCLED,,Pure stand,,,10,Kilogram,,December,2009,No,5,Ox-cart,,U: Unshelled,0,,,,NO,,,,,May,May,6,50 KG BAG,,S: SHELLED
867,202063620232,Panel A,2,20206362,Yes,R1,MAIZE HYBRID RECYCLED,,Pure stand,,,5,Kilogram,,January,2010,No,18,50 kg Bag,,U: Unshelled,0,,,,NO,,,,,May,May,15,50 KG BAG,,S: SHELLED
867,202063620232,Panel A,2,20206362,Yes,R2,GROUNDNUT CG7,,Pure stand,,,5,Kilogram,,December,2009,No,1.5,Ox-cart,,U: Unshelled,0,,,,NO,,,,,June,June,13,50 KG BAG,,U: UNSHELLED
875,202063620243,Panel A,2,20206362,Yes,R2,GROUNDNUT CG7,,Pure stand,,,6,Gram,,December,2009,No,160,Kilogram,,Not Applicable,0,,,,NO,,,,,May,May,500,KILOGRAM,,S: SHELLED
875,202063620243,Panel A,2,20206362,Yes,R1,MAIZE HYBRID,,Pure stand,,,20,Kilogram,,December,2009,No,460,Kilogram,,S: Shelled,3,,,,NO,,,,,May,May,750,KILOGRAM,,S: SHELLED
875,202063620243,Panel A,2,20206362,Yes,R3,TOBACCO BURLEY,,Pure stand,,,4,Kilogram,,December,2009,No,1,Ox-cart,,U: Unshelled,0,,,,NO,,,,,January,March,768,KILOGRAM,,NOT APPLICABLE
885,202063620271,Panel A,2,20206362,Yes,R2,GROUNDNUT CG7,,Mixed stand,No,More than 3/4,22,Kilogram,,December,2009,No,2,Ox-cart,,U: Unshelled,0,,,,NO,,,,,June,June,8,50 KG BAG,,U: UNSHELLED
885,202063620271,Panel A,2,20206362,Yes,R1,MAIZE HYBRID,,Pure stand,,,5,Kilogram,,January,2010,No,2,50 kg Bag,,U: Unshelled,0,,,,YES,Rains,,,,May,May,250,KILOGRAM,,S: SHELLED
913,203025390008,Panel A,2,20302539,Yes,R1,MAIZE LOCAL,,Pure stand,,,20,Kilogram,,December,2009,No,2,90 kg Bag,,S: Shelled,0,,,,NO,,,,,June,June,14,50 KG BAG,,S: SHELLED
913,203025390008,Panel A,2,20302539,Yes,R2,SOYABEAN,,Pure stand,,,15,Kilogram,,December,2009,No,2,Ox-cart,,U: Unshelled,0,,,,NO,,,,,July,July,240,KILOGRAM,,S: SHELLED
917,203025390016,Panel A,2,20302539,Yes,R2,MAIZE LOCAL,,Pure stand,,,7,Kilogram,,January,2010,No,2,50 kg Bag,,S: Shelled,0,,,,NO,,,,,June,June,400,KILOGRAM,,S: SHELLED
917,203025390016,Panel A,2,20302539,Yes,R5,IRISH [MALAWI] POTATO,,Pure stand,,,38,Kilogram,,December,2009,No,2,Ox-cart,,U: Unshelled,0,,,,YES,Disease,,,,May,May,100,KILOGRAM,,NOT APPLICABLE
917,203025390016,Panel A,2,20302539,Yes,R1,MAIZE LOCAL,,Pure stand,,,12,Kilogram,,December,2009,No,2,Ox-cart,,U: Unshelled,0,,,,YES,Rains,,,,June,June,500,KILOGRAM,,S: SHELLED
917,203025390016,Panel A,2,20302539,Yes,R3,SOYABEAN,,Pure stand,,,100,Kilogram,,February,2010,No,15,50 kg Bag,,Not Applicable,0,,,,NO,,,,,May,May,2,50 KG BAG,,S: SHELLED
917,203025390016,Panel A,2,20302539,Yes,R4,SWEET POTATO,,Pure stand,,,20,Kilogram,,January,2010,No,3,50 kg Bag,,Not Applicable,0,,,,YES,Disease,,,,July,July,200,KILOGRAM,,NOT APPLICABLE
905,203025390038,Panel A,2,20302539,Yes,R3,GROUNDNUT CG7,,Pure stand,,,30,Kilogram,,December,2009,No,2,Ox-cart,,U: Unshelled,0,,,,NO,,,,,June,June,7,50 KG BAG,,U: UNSHELLED
905,203025390038,Panel A,2,20302539,Yes,R1,MAIZE LOCAL,,Pure stand,,,28,Kilogram,,December,2009,No,1,Ox-cart,,U: Unshelled,0,,,,YES,Animals,,,,May,May,850,KILOGRAM,,S: SHELLED
905,203025390038,Panel A,2,20302539,Yes,R2,MAIZE LOCAL,,Pure stand,,,20,Kilogram,,December,2009,No,10,50 kg Bag,,U: Unshelled,0,,,,NO,,,,,June,June,300,KILOGRAM,,S: SHELLED
925,203025390047,Panel A,2,20302539,Yes,R1,MAIZE LOCAL,,Pure stand,,,9,Kilogram,,December,2009,No,2.5,Ox-cart,,U: Unshelled,0,,,,YES,Other (Specify),LACK OF FERTILIZER,,,June,June,3.5,OX - CART,,U: UNSHELLED
925,203025390047,Panel A,2,20302539,Yes,R2,MAIZE HYBRID,,Pure stand,,,20,Kilogram,,December,2009,No,2,Ox-cart,,U: Unshelled,0,,,,NO,,,,,July,July,2.5,OX - CART,,U: UNSHELLED
911,203025390067,Panel A,2,20302539,Yes,R3,MAIZE LOCAL,,Pure stand,,,3,50 kg bag,,December,2009,No,2,Ox-cart,,Not Applicable,0,,,,NO,,,,,May,May,50,KILOGRAM,,S: SHELLED
911,203025390067,Panel A,2,20302539,Yes,R1,MAIZE LOCAL,,Pure stand,,,15,Kilogram,,December,2009,No,2,Ox-cart,,U: Unshelled,0,,,,NO,,,,,May,May,300,KILOGRAM,,S: SHELLED
911,203025390067,Panel A,2,20302539,Yes,R4,SWEET POTATO,,Pure stand,,,10,Kilogram,,December,2009,No,2,Ox-cart,,U: Unshelled,0,,,,NO,,,,,May,August,8,BASKET (DENGU),,NOT APPLICABLE
911,203025390067,Panel A,2,20302539,Yes,R2,MAIZE LOCAL,,Pure stand,,,3,Kilogram,,December,2009,No,1,Ox-cart,,U: Unshelled,0,,,,NO,,,,,May,May,300,KILOGRAM,,S: SHELLED
923,203025390077,Panel A,2,20302539,Yes,R3,SOYABEAN,,Pure stand,,,20,Kilogram,,December,2009,No,5,Ox-cart,,U: Unshelled,0,,,,NO,,,,,May,May,70,KILOGRAM,,S: SHELLED
923,203025390077,Panel A,2,20302539,Yes,R2,MAIZE LOCAL,,Pure stand,,,7,Kilogram,,December,2009,No,5,Pail (large),,S: Shelled,0,,,,NO,,,,,May,May,100,KILOGRAM,,S: SHELLED
923,203025390077,Panel A,2,20302539,Yes,R1,MAIZE HYBRID RECYCLED,,Pure stand,,,2,Kilogram,,December,2009,No,1,Ox-cart,,U: Unshelled,0,,,,NO,,,,,May,May,100,KILOGRAM,,S: SHELLED
927,203025390081,Panel A,2,20302539,Yes,R1,MAIZE LOCAL,,Pure stand,,,10,Kilogram,,December,2009,No,10,Pail (large),,U: Unshelled,0,,,,NO,,,,,June,June,24,50 KG BAG,,U: UNSHELLED
927,203025390081,Panel A,2,20302539,Yes,R2,GROUNDNUT CG7,,Pure stand,,,10,Kilogram,,December,2009,No,3,Ox-cart,,U: Unshelled,0,,,,NO,,,,,June,July,15,PAIL (LARGE),,U: UNSHELLED
907,203025390087,Panel A,2,20302539,Yes,R2,MAIZE HYBRID,,Pure stand,,,12,Kilogram,,December,2009,No,4,Ox-cart,,U: Unshelled,0,,,,NO,,,,,June,June,1000,KILOGRAM,,S: SHELLED
907,203025390087,Panel A,2,20302539,Yes,R5,SOYABEAN,,Pure stand,,,4,50 kg bag,,January,2010,No,15,50 kg Bag,,Not Applicable,0,,,,YES,Rains,,,,June,June,8,50 KG BAG,,S: SHELLED
907,203025390087,Panel A,2,20302539,Yes,R3,MAIZE HYBRID RECYCLED,,Pure stand,,,10,Kilogram,,December,2009,No,3,90 kg Bag,,U: Unshelled,0,,,,YES,Disease,,,,June,June,750,KILOGRAM,,S: SHELLED
907,203025390087,Panel A,2,20302539,Yes,R4,GROUNDNUT CG7,,Pure stand,,,15,Kilogram,,January,2010,No,10,50 kg Bag,,S: Shelled,0,,,,YES,Disease,,,,July,July,5,50 KG BAG,,U: UNSHELLED
907,203025390087,Panel A,2,20302539,Yes,R1,MAIZE LOCAL,,Pure stand,,,10,Kilogram,,December,2009,No,4,Ox-cart,,U: Unshelled,0,,,,YES,Rains,,,,June,June,500,KILOGRAM,,S: SHELLED
907,203025390087,Panel A,2,20302539,Yes,R6,IRISH [MALAWI] POTATO,,Pure stand,,,250,Kilogram,,January,2010,No,20,50 kg Bag,,Not Applicable,0,,,,YES,Rains,,,,July,July,30,50 KG BAG,,NOT APPLICABLE
907,203025390087,Panel A,2,20302539,Yes,R7,IRISH [MALAWI] POTATO,,Pure stand,,,5,Kilogram,,December,2009,No,3,50 kg Bag,,S: Shelled,0,,,,NO,,,,,July,July,17,50 KG BAG,,NOT APPLICABLE
915,203025390104,Panel A,2,20302539,Yes,R1,MAIZE LOCAL,,Pure stand,,,1,Other (specify),1 KG BAG,February,2010,No,4,Basket (Dengu),,Not Applicable,0,,,,YES,Other (Specify),LACK OF FERTILIZER,,,June,June,3,50 KG BAG,,S: SHELLED
915,203025390104,Panel A,2,20302539,Yes,R2,SWEET POTATO,,Pure stand,,,5,Kilogram,,December,2009,No,3,Ox-cart,,U: Unshelled,0,,,,NO,,,,,June,June,2,50 KG BAG,,NOT APPLICABLE
919,203025390115,Panel A,2,20302539,Yes,R4,SOYABEAN,,Pure stand,,,10,Kilogram,,December,2009,No,4,Ox-cart,,U: Unshelled,0,,,,NO,,,,,May,May,33,PAIL (LARGE),,S: SHELLED
919,203025390115,Panel A,2,20302539,Yes,R2,MAIZE HYBRID,,Pure stand,,,12,Other (specify),PAIL LARGE,December,2009,No,70,Pail (large),,Not Applicable,0,,,,NO,,,,,June,June,1890,KILOGRAM,,S: SHELLED
919,203025390115,Panel A,2,20302539,Yes,R3,IRISH [MALAWI] POTATO,,Pure stand,,,20,Kilogram,,December,2009,No,25,Pail (large),,,0,,,,YES,Disease,,,,May,May,60,PAIL (LARGE),,NOT APPLICABLE
919,203025390115,Panel A,2,20302539,Yes,R1,MAIZE LOCAL,,Pure stand,,,12,Kilogram,,December,2009,No,7,Ox-cart,,U: Unshelled,0,,,,NO,,,,,June,June,710,KILOGRAM,,S: SHELLED
919,203025390115,Panel A,2,20302539,Yes,R5,MAIZE HYBRID,,Pure stand,,,7,Kilogram,,January,2010,No,3,50 kg Bag,,S: Shelled,0,,,,NO,,,,,June,June,710,KILOGRAM,,S: SHELLED
903,203025390120,Panel A,2,20302539,Yes,R3,SWEET POTATO,,Mixed stand,Yes,,25,Kilogram,,December,2009,No,2,Ox-cart,,U: Unshelled,0,,,,NO,,,,,July,July,2,BASKET (DENGU),,NOT APPLICABLE
903,203025390120,Panel A,2,20302539,Yes,R2,MAIZE LOCAL,,Pure stand,,,2,50 kg bag,,January,2010,No,1,90 kg Bag,,Not Applicable,0,,,,NO,,,,,June,June,100,KILOGRAM,,S: SHELLED
903,203025390120,Panel A,2,20302539,Yes,R1,MAIZE LOCAL,,Pure stand,,,5,Kilogram,,January,2010,No,1,50 kg Bag,,S: Shelled,0,,,,YES,Other (Specify),LACK OF FARM INPUTS,,,June,June,50,KILOGRAM,,S: SHELLED
909,203025390137,Panel A,2,20302539,Yes,R1,MAIZE LOCAL,,Mixed stand,Yes,,20,Kilogram,,August,2009,No,10,Pail (large),,Not Applicable,0,,,,NO,,,,,May,May,3.5,OX - CART,,U: UNSHELLED
909,203025390137,Panel A,2,20302539,Yes,R1,IRISH [MALAWI] POTATO,,Pure stand,,,20,Kilogram,,January,2010,No,10,Ox-cart,,U: Unshelled,0,,,,NO,,,,,March,April,10,PAIL (LARGE),,NOT APPLICABLE
909,203025390137,Panel A,2,20302539,Yes,R1,BEANS,,Mixed stand,Yes,,15,Kilogram,,December,2009,No,4,Pail (large),,S: Shelled,0,,,,YES,Drought,,,,April,April,4,PAIL (LARGE),,S: SHELLED
899,203025390148,Panel A,2,20302539,Yes,R6,SOYABEAN,,Pure stand,,,4,Kilogram,,December,2009,No,3,Ox-cart,,U: Unshelled,0,,,,NO,,,,,June,June,3,50 KG BAG,,S: SHELLED
899,203025390148,Panel A,2,20302539,Yes,R3,MAIZE HYBRID,,Pure stand,,,25,Kilogram,,April,2010,No,9,50 kg Bag,,Not Applicable,0,,,,NO,,,,,July,July,750,KILOGRAM,,S: SHELLED
899,203025390148,Panel A,2,20302539,Yes,R5,IRISH [MALAWI] POTATO,,Pure stand,,,10,Kilogram,,January,2010,No,4,50 kg Bag,,S: Shelled,0,,,,NO,,,,,August,August,20,50 KG BAG,,NOT APPLICABLE
899,203025390148,Panel A,2,20302539,Yes,R4,WHEAT,,Pure stand,,,3,50 kg bag,,January,2010,No,24,50 kg Bag,,Not Applicable,0,,,,,,,,,,,,,,
899,203025390148,Panel A,2,20302539,Yes,R1,MAIZE LOCAL,,Pure stand,,,10,Kilogram,,January,2010,No,5,Ox-cart,,U: Unshelled,0,,,,NO,,,,,July,July,1800,KILOGRAM,,S: SHELLED
899,203025390148,Panel A,2,20302539,Yes,R2,MAIZE LOCAL,,Pure stand,,,15,Kilogram,,December,2009,No,4,Ox-cart,,U: Unshelled,0,,,,NO,,,,,July,July,800,KILOGRAM,,S: SHELLED
921,203025390169,Panel A,2,20302539,Yes,R2,IRISH [MALAWI] POTATO,,Pure stand,,,10,Kilogram,,December,2009,No,3,Ox-cart,,U: Unshelled,0,,,,NO,,,,,June,June,27,PAIL (LARGE),,NOT APPLICABLE
921,203025390169,Panel A,2,20302539,Yes,R1,MAIZE HYBRID,,Pure stand,,,6,Other (specify),PAIL LARGE,January,2010,No,25,Pail (large),,Not Applicable,0,,,,NO,,,,,June,June,20,50 KG BAG,,S: SHELLED
897,203025390177,Panel A,2,20302539,Yes,R2,MAIZE LOCAL,,Pure stand,,,7,Other (specify),PAIL LARGE,January,2010,No,30,Piece,,Not Applicable,0,,,,NO,,,,,July,July,12,50 KG BAG,,S: SHELLED
897,203025390177,Panel A,2,20302539,Yes,R3,IRISH [MALAWI] POTATO,,Mixed stand,Yes,,10,Kilogram,,November,2009,No,4,Ox-cart,,U: Unshelled,0,,,,NO,,,,,March,July,34,PAIL (LARGE),,NOT APPLICABLE
897,203025390177,Panel A,2,20302539,Yes,R1,MAIZE HYBRID,,Pure stand,,,10,Kilogram,,December,2009,No,2,Ox-cart,,U: Unshelled,0,,,,NO,,,,,July,July,20,50 KG BAG,,S: SHELLED
901,203025390196,Panel A,2,20302539,Yes,R1,MAIZE LOCAL,,Pure stand,,,6,Kilogram,,December,2009,No,1,Ox-cart,,U: Unshelled,0,,,,YES,Lack of hired labor,,,,June,June,2,OX - CART,,U: UNSHELLED
901,203025390196,Panel A,2,20302539,Yes,R1,SOYABEAN,,Mixed stand,Yes,,8,Kilogram,,November,2009,No,2,Pail (large),,S: Shelled,0,,,,NO,,,,,June,June,6,PAIL (LARGE),,S: SHELLED
901,203025390196,Panel A,2,20302539,Yes,R1,BEANS,,Mixed stand,Yes,,10,Kilogram,,November,2009,No,7,Pail (large),,S: Shelled,0,,,,NO,,,,,May,May,2,PAIL (LARGE),,S: SHELLED
931,203030650008,Panel A,2,20303065,Yes,R1,MAIZE LOCAL,,Pure stand,,,20,Kilogram,,December,2009,No,40,Pail (large),,U: Unshelled,0,,,,NO,,,,,June,July,4,50 KG BAG,,S: SHELLED
931,203030650008,Panel A,2,20303065,Yes,R2,GROUNDNUT CG7,,Pure stand,,,20,Kilogram,,December,2009,No,4,Ox-cart,,U: Unshelled,0,,,,NO,,,,,July,August,260,KILOGRAM,,S: SHELLED
959,203030650012,Panel A,2,20303065,Yes,R2,GROUNDNUT CG7,,Pure stand,,,10,Kilogram,,December,2009,No,2,50 kg Bag,,U: Unshelled,0,,,,NO,,,,,June,July,400,KILOGRAM,,S: SHELLED
959,203030650012,Panel A,2,20303065,Yes,R3,GROUND BEAN(NZAMA,,Pure stand,,,30,Gram,,December,2009,Yes,,,,,10,Ox-cart,,U: Unshelled,NO,,,,,July,July,30,KILOGRAM,,S: SHELLED
959,203030650012,Panel A,2,20303065,Yes,R1,MAIZE LOCAL,,Pure stand,,,20,Kilogram,,December,2009,No,11,50 kg Bag,,U: Unshelled,0,,,,NO,,,,,June,June,16,50 KG BAG,,S: SHELLED
941,203030650013,Panel A,2,20303065,Yes,R2,GROUNDNUT CG7,,Pure stand,,,20,Kilogram,,December,2009,No,5,Ox-cart,,U: Unshelled,0,,,,NO,,,,,July,July,65,PAIL (LARGE),,U: UNSHELLED
941,203030650013,Panel A,2,20303065,Yes,R1,MAIZE LOCAL,,Pure stand,,,20,Gram,,December,2009,No,80,Pail (large),,U: Unshelled,0,,,,NO,,,,,July,July,20,50 KG BAG,,S: SHELLED
937,203030650026,Panel A,2,20303065,Yes,R1,MAIZE LOCAL,,Pure stand,,,10,Kilogram,,January,2010,No,15,Pail (large),,U: Unshelled,0,,,,NO,,,,,June,June,10,50 KG BAG,,S: SHELLED
937,203030650026,Panel A,2,20303065,Yes,R2,GROUNDNUT CHALIMBANA,,,,,,,,,,,,,,,,,,,NO,,,,,June,June,7,50 KG BAG,,U: UNSHELLED
947,203030650031,Panel A,2,20303065,Yes,R1,,,Pure stand,,,20,Kilogram,,December,2009,No,2,Ox-cart,,U: Unshelled,0,,,,YES,Other (Specify),LACK OF FERTILIZER,,,April,May,7,50 KG BAG,,S: SHELLED
929,203030650039,Panel A,2,20303065,Yes,R1,MAIZE LOCAL,,Pure stand,,,30,Kilogram,,December,2009,No,7,Ox-cart,,U: Unshelled,0,,,,YES,Other (Specify),LACK OF FERTILIZER,,,June,June,3,OX - CART,,U: UNSHELLED
935,203030650044,Panel A,2,20303065,Yes,R3,BEANS,,Pure stand,,,5,Kilogram,,December,2009,No,20,Pail (large),,U: Unshelled,0,,,,NO,,,,,March,March,30,KILOGRAM,,S: SHELLED
935,203030650044,Panel A,2,20303065,Yes,R2,TOBACCO BURLEY,,Pure stand,,,3,Kilogram,,December,2009,Yes,,,,,1,Pail (large),,S: Shelled,NO,,,,,February,March,157,KILOGRAM,,NOT APPLICABLE
935,203030650044,Panel A,2,20303065,Yes,R1,MAIZE LOCAL,,Pure stand,,,4,Gram,,December,2009,Yes,,,,,168,50 kg Bag,,Not Applicable,NO,,,,,June,June,32,50 KG BAG,,S: SHELLED
