occ,y2_hhid,qx_type,interview_status,fs_a_start,fs_a_end,fs_b_start,fs_b_end,fs_b_start_day,fs_b_start_month,fs_b_start_hour,fs_b_start_minute,fs_b_end_hour,fs_b_end_minute,fs_c_start,fs_c_end,fs_c_start_day,fs_c_start_month,fs_c_start_hour,fs_c_start_minute,fs_c_end_hour,fs_c_end_minute,fs_d_start,fs_d_end,fs_d_start_day,fs_d_start_month,fs_d_start_hour,fs_d_start_minute,fs_d_end_hour,fs_d_end_minute,fs_e_start,fs_e_end,fs_e_start_day,fs_e_start_month,fs_e_start_hour,fs_e_start_minute,fs_e_end_hour,fs_e_end_minute,fs_f_start,fs_f_end,fs_f_start_day,fs_f_start_month,fs_f_start_hour,fs_f_start_minute,fs_f_end_hour,fs_f_end_minute,fs_g_start,fs_g_end,fs_g_start_day,fs_g_start_month,fs_g_start_hour,fs_g_start_minute,fs_g_end_hour,fs_g_end_minute,fs_h_start,fs_h_end,fs_h_start_day,fs_h_start_month,fs_h_start_hour,fs_h_start_minute,fs_h_end_hour,fs_h_end_minute,fs_i_start,fs_i_end,fs_i_start_day,fs_i_start_month,fs_i_start_hour,fs_i_start_minute,fs_i_end_hour,fs_i_end_minute,fs_j_start,fs_j_end,fs_j_start_day,fs_j_start_month,fs_j_start_hour,fs_j_start_minute,fs_j_end_hour,fs_j_end_minute
1,2189-001,PANEL A,Panel A - 2 Visits,,12/07/13 09:32:47,12/07/13 09:32:47,12/07/13 09:33:51,22,6,20,13,13,32,12/07/13 09:33:51,12/07/13 09:35:08,22,JUNE,13,33,13,37,12/07/13 09:35:08,12/07/13 09:36:38,22,JUNE,13,37,13,39,12/07/13 09:36:38,12/07/13 09:37:10,22,JUNE,13,39,13,40,12/07/13 09:37:10,12/07/13 09:37:27,22,JUNE,13,41,13,42,12/07/13 09:37:27,12/07/13 09:37:52,22,JUNE,13,44,13,45,12/07/13 09:37:52,12/07/13 09:38:39,22,JUNE,13,45,13,48,12/07/13 09:38:39,12/07/13 09:39:11,22,JUNE,13,48,13,49,12/07/13 09:39:11,12/07/13 09:40:27,22,JUNE,13,49,13,56
1,2202-002,PANEL B,Panel B - Combined Visit,,,03/12/13 14:50:08,03/12/13 14:50:42,8,11,15,5,15,8,03/12/13 14:50:42,03/12/13 14:51:21,8,NOVEMBER,15,8,15,11,03/12/13 14:51:21,03/12/13 14:53:46,8,NOVEMBER,15,11,15,14,03/12/13 14:53:46,03/12/13 14:55:17,8,NOVEMBER,15,14,15,16,03/12/13 14:55:17,03/12/13 14:56:31,8,NOVEMBER,15,17,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2231-004,PANEL A,Panel A - 2 Visits,,08/05/13 21:19:39,08/05/13 21:19:39,08/05/13 21:20:59,2,5,13,15,13,21,08/05/13 21:20:59,08/05/13 21:22:23,2,MAY,13,21,13,24,08/05/13 21:22:23,08/05/13 21:24:49,2,MAY,13,24,13,25,08/05/13 21:24:49,08/05/13 21:25:24,2,MAY,13,25,13,26,08/05/13 21:25:24,08/05/13 21:28:52,2,MAY,13,26,13,38,08/05/13 21:28:52,08/05/13 21:31:07,2,MAY,13,38,13,40,08/05/13 21:31:07,08/05/13 21:33:00,2,MAY,13,40,13,42,08/05/13 21:33:00,08/05/13 21:33:25,2,MAY,13,42,13,43,08/05/13 21:33:25,08/05/13 21:37:59,2,MAY,13,43,13,50
1,2403-001,PANEL A,Panel A - 2 Visits,,06/08/13 10:22:19,06/08/13 10:22:19,06/08/13 10:22:52,2,5,12,44,12,45,06/08/13 10:22:52,06/08/13 10:23:25,2,MAY,12,46,12,46,06/08/13 10:23:25,06/08/13 10:24:03,2,MAY,12,46,12,47,06/08/13 10:24:03,06/08/13 10:24:19,2,MAY,12,47,12,48,06/08/13 10:24:19,06/08/13 10:24:48,2,MAY,12,48,12,49,06/08/13 10:24:48,06/08/13 10:25:34,2,MAY,12,49,12,49,06/08/13 10:25:34,06/08/13 10:26:03,2,MAY,12,49,12,50,06/08/13 10:26:03,06/08/13 10:26:21,2,MAY,12,50,12,50,06/08/13 10:26:21,06/08/13 10:28:23,2,MAY,12,51,13,0
1,2433-001,PANEL A,Panel A - 2 Visits,,17/09/13 16:53:09,17/09/13 16:53:09,17/09/13 16:53:41,28,6,10,22,10,23,17/09/13 16:53:41,17/09/13 16:54:16,28,JUNE,10,23,10,23,17/09/13 16:54:16,17/09/13 16:54:45,28,JUNE,10,25,10,26,17/09/13 16:54:45,17/09/13 16:55:05,28,JUNE,10,26,10,26,17/09/13 16:55:05,17/09/13 16:57:00,28,JUNE,10,26,10,33,17/09/13 16:57:00,17/09/13 16:57:35,28,JUNE,10,33,10,34,17/09/13 16:57:35,17/09/13 16:58:05,28,JUNE,10,35,10,35,17/09/13 16:58:05,17/09/13 16:58:27,28,JUNE,10,36,10,36,17/09/13 16:58:27,17/09/13 17:00:35,28,JUNE,10,37,10,39
1,2563-001,PANEL A,Panel A - 2 Visits,,11/05/13 08:45:47,11/05/13 08:45:47,11/05/13 08:47:19,30,4,16,5,16,7,11/05/13 08:47:19,11/05/13 08:55:06,30,APRIL,16,7,16,8,11/05/13 08:55:06,11/05/13 09:09:04,30,APRIL,16,9,16,9,11/05/13 09:09:04,11/05/13 09:09:48,30,APRIL,16,9,16,9,11/05/13 09:09:48,11/05/13 09:15:20,30,APRIL,16,9,16,16,11/05/13 09:15:20,11/05/13 09:16:39,30,APRIL,16,16,16,19,11/05/13 09:16:39,11/05/13 09:18:19,30,APRIL,16,19,16,19,11/05/13 09:18:19,11/05/13 09:19:07,30,APRIL,16,20,16,20,11/05/13 09:19:07,11/05/13 09:23:07,30,APRIL,16,20,16,30
1,2569-001,PANEL A,Panel A - 2 Visits,,12/05/13 11:30:00,12/05/13 11:30:00,12/05/13 11:31:02,30,4,10,20,10,23,12/05/13 11:31:02,12/05/13 11:32:02,30,APRIL,10,23,10,24,12/05/13 11:32:02,12/05/13 11:33:18,30,APRIL,10,24,10,25,12/05/13 11:33:18,12/05/13 11:34:09,30,APRIL,10,25,10,26,12/05/13 11:34:09,12/05/13 11:36:35,30,APRIL,10,26,10,29,12/05/13 11:36:35,12/05/13 11:37:21,30,APRIL,10,29,10,31,12/05/13 11:37:21,12/05/13 11:38:28,30,APRIL,10,32,,,12/05/13 11:38:28,12/05/13 11:38:58,30,APRIL,10,32,10,33,12/05/13 11:38:58,12/05/13 11:40:59,30,APRIL,10,33,10,42
1,2598-001,PANEL B,Panel B - 2 Visits,,,05/10/13 22:54:59,05/10/13 22:55:36,24,9,12,42,12,47,05/10/13 22:55:36,05/10/13 22:56:11,24,SEPTEMBER,12,47,12,51,05/10/13 22:56:11,05/10/13 22:57:00,24,SEPTEMBER,12,51,12,53,05/10/13 22:57:00,05/10/13 22:57:24,24,SEPTEMBER,12,53,12,54,05/10/13 22:57:24,05/10/13 22:59:24,24,SEPTEMBER,12,54,13,1,05/10/13 22:59:25,05/10/13 22:59:53,24,SEPTEMBER,13,1,13,4,05/10/13 22:59:53,05/10/13 23:00:30,24,SEPTEMBER,13,4,13,6,05/10/13 23:00:30,05/10/13 23:00:56,24,SEPTEMBER,13,6,13,7,05/10/13 23:00:56,05/10/13 23:04:29,24,SEPTEMBER,13,7,13,13
1,2603-001,PANEL A,Panel A - 2 Visits,,16/06/13 19:04:32,16/06/13 19:04:32,16/06/13 19:05:42,11,6,10,53,10,55,16/06/13 19:05:42,16/06/13 19:06:20,11,JUNE,10,55,10,56,16/06/13 19:06:20,16/06/13 19:08:16,11,JUNE,10,56,10,58,16/06/13 19:08:16,16/06/13 19:08:51,11,JUNE,10,58,10,59,16/06/13 19:08:51,16/06/13 19:09:40,11,JUNE,10,59,11,1,16/06/13 19:09:40,16/06/13 19:10:31,11,JUNE,11,1,11,2,16/06/13 19:10:31,16/06/13 19:12:03,11,JUNE,11,2,11,2,16/06/13 19:12:03,16/06/13 19:12:40,11,JUNE,11,2,11,3,16/06/13 19:12:40,16/06/13 19:14:22,11,JUNE,11,3,11,5
1,2656-001,PANEL B,Panel B - 2 Visits,,,28/08/13 19:48:07,28/08/13 19:49:23,21,8,12,25,12,27,28/08/13 19:49:23,28/08/13 19:49:51,21,AUGUST,12,27,12,29,28/08/13 19:49:51,28/08/13 19:54:32,21,AUGUST,12,29,12,30,28/08/13 19:54:32,28/08/13 19:55:41,21,AUGUST,12,30,12,30,28/08/13 19:55:41,28/08/13 19:59:21,21,AUGUST,12,30,12,35,28/08/13 19:59:21,28/08/13 19:59:47,21,AUGUST,12,35,12,39,28/08/13 19:59:47,28/08/13 20:01:09,21,AUGUST,12,39,12,41,28/08/13 20:01:09,28/08/13 20:01:52,21,AUGUST,12,41,12,42,28/08/13 20:01:52,28/08/13 20:03:27,21,AUGUST,12,42,12,47
1,2703-001,PANEL A,Panel A - 2 Visits,,29/06/13 11:31:11,29/06/13 11:31:11,29/06/13 11:43:51,24,6,16,28,16,30,29/06/13 11:43:51,29/06/13 11:44:32,24,JUNE,16,30,16,33,29/06/13 11:44:32,29/06/13 11:46:34,24,JUNE,16,33,16,34,29/06/13 11:46:34,29/06/13 11:46:58,24,JUNE,16,35,16,35,29/06/13 11:46:58,29/06/13 11:48:10,24,JUNE,16,36,16,40,29/06/13 11:48:10,29/06/13 11:49:07,24,JUNE,16,40,16,41,29/06/13 11:49:07,29/06/13 11:50:05,24,JUNE,16,41,16,42,29/06/13 11:50:05,29/06/13 11:50:36,24,JUNE,16,42,16,43,29/06/13 11:50:36,29/06/13 11:52:24,24,JUNE,16,43,16,44
1,2777-001,PANEL A,Panel A - 2 Visits,,30/04/13 11:56:11,30/04/13 11:56:11,30/04/13 11:57:39,25,4,7,36,7,40,30/04/13 11:57:39,30/04/13 11:59:03,25,APRIL,7,40,7,42,30/04/13 11:59:03,30/04/13 12:01:00,,,,,,,30/04/13 12:01:00,30/04/13 12:01:48,,,,,,,30/04/13 12:01:48,30/04/13 12:06:40,25,APRIL,7,43,7,49,30/04/13 12:06:40,30/04/13 12:07:52,25,APRIL,7,50,7,53,30/04/13 12:07:52,30/04/13 12:09:21,,,,,,,30/04/13 12:09:21,30/04/13 12:10:14,,,,,,,30/04/13 12:10:14,30/04/13 12:13:25,25,APRIL,7,54,8,0
1,2788-003,PANEL B,Panel B - 2 Visits,,,22/01/14 11:02:47,22/01/14 11:03:32,3,10,14,31,14,35,22/01/14 11:03:32,22/01/14 11:03:58,3,OCTOBER,14,35,14,40,22/01/14 11:03:58,22/01/14 11:05:52,3,OCTOBER,14,40,14,42,22/01/14 11:05:52,22/01/14 11:06:17,3,OCTOBER,14,42,14,46,22/01/14 11:06:17,22/01/14 11:07:30,3,OCTOBER,14,46,14,49,22/01/14 11:07:30,22/01/14 11:07:55,3,OCTOBER,14,49,14,53,22/01/14 11:07:55,22/01/14 11:08:45,3,OCTOBER,14,53,14,57,22/01/14 11:08:45,22/01/14 11:09:19,3,OCTOBER,14,57,15,3,22/01/14 11:09:19,22/01/14 11:11:14,3,OCTOBER,15,3,15,8
1,2812-003,PANEL B,Panel B - Combined Visit,,,26/11/13 10:48:27,26/11/13 10:49:09,9,11,15,3,15,7,26/11/13 10:49:09,26/11/13 10:49:33,9,NOVEMBER,15,7,15,13,26/11/13 10:49:33,26/11/13 10:50:04,9,NOVEMBER,15,13,15,19,26/11/13 10:50:05,26/11/13 10:50:26,9,NOVEMBER,15,19,15,23,26/11/13 10:50:26,26/11/13 10:51:28,9,NOVEMBER,15,23,15,29,26/11/13 10:51:28,26/11/13 10:51:56,9,NOVEMBER,15,29,15,34,26/11/13 10:51:56,26/11/13 10:52:21,9,NOVEMBER,15,34,15,39,26/11/13 10:52:21,26/11/13 10:52:59,9,NOVEMBER,15,39,15,45,26/11/13 10:52:59,26/11/13 10:57:59,9,NOVEMBER,15,45,15,50
1,2835-001,PANEL A,Panel A - 2 Visits,,27/04/13 06:16:08,27/04/13 06:16:08,27/04/13 06:17:01,21,4,16,4,16,7,27/04/13 06:17:01,27/04/13 06:20:12,21,APRIL,16,8,16,10,27/04/13 06:20:12,27/04/13 07:37:34,,,,,,,27/04/13 07:37:34,27/04/13 07:38:48,,,,,,,27/04/13 07:38:48,27/04/13 07:43:28,21,APRIL,16,13,16,27,27/04/13 07:43:28,27/04/13 07:44:56,21,APRIL,16,27,16,30,27/04/13 07:44:56,27/04/13 07:46:57,,,,,,,27/04/13 07:46:57,27/04/13 07:48:02,,,,,,,27/04/13 07:48:02,27/04/13 07:51:35,21,APRIL,16,31,16,42
1,2984-001,PANEL B,Panel B - 2 Visits,,,21/10/13 12:07:52,21/10/13 12:08:22,2,10,12,0,12,1,21/10/13 12:08:23,21/10/13 12:09:09,2,OCTOBER,12,1,12,3,21/10/13 12:09:09,21/10/13 12:09:49,2,OCTOBER,12,3,12,7,21/10/13 12:09:49,21/10/13 12:10:08,2,OCTOBER,12,7,12,9,21/10/13 12:10:08,21/10/13 12:10:46,2,OCTOBER,12,9,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3036-001,PANEL B,Panel B - 2 Visits,,,11/09/13 10:58:14,11/09/13 10:58:54,21,8,5,55,7,58,11/09/13 10:58:54,11/09/13 10:59:27,21,AUGUST,7,58,8,1,11/09/13 10:59:27,11/09/13 11:00:05,21,AUGUST,8,1,8,3,11/09/13 11:00:05,11/09/13 11:00:22,21,AUGUST,8,3,8,5,11/09/13 11:00:22,11/09/13 11:01:17,21,AUGUST,8,5,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3074-002,PANEL B,Panel B - 2 Visits,,,15/10/13 07:42:20,15/10/13 07:43:01,9,10,17,35,17,36,15/10/13 07:43:01,15/10/13 07:43:55,9,OCTOBER,17,36,17,39,15/10/13 07:43:55,15/10/13 07:44:33,9,OCTOBER,17,39,17,45,15/10/13 07:44:33,15/10/13 07:45:03,9,OCTOBER,17,45,17,47,15/10/13 07:45:03,15/10/13 07:47:27,9,OCTOBER,17,47,17,52,15/10/13 07:47:27,15/10/13 07:48:31,9,OCTOBER,17,52,17,52,15/10/13 07:48:31,15/10/13 07:49:07,9,OCTOBER,17,52,17,53,15/10/13 07:49:07,15/10/13 07:49:33,9,OCTOBER,17,53,17,55,15/10/13 07:49:33,15/10/13 07:50:19,9,OCTOBER,17,55,18,0
1,3143-001,PANEL A,Panel A - 2 Visits,,06/05/13 10:13:21,06/05/13 10:13:21,06/05/13 10:14:30,25,4,10,14,10,15,06/05/13 10:14:30,06/05/13 10:15:35,25,APRIL,10,15,10,16,06/05/13 10:15:35,06/05/13 10:17:46,25,APRIL,10,16,10,17,06/05/13 10:17:46,06/05/13 10:18:23,25,APRIL,10,17,10,18,06/05/13 10:18:23,06/05/13 10:19:28,25,APRIL,10,18,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3155-001,PANEL A,Panel A - 2 Visits,,06/05/13 08:34:22,06/05/13 08:34:22,06/05/13 08:34:46,24,4,10,57,10,59,06/05/13 08:34:46,06/05/13 08:35:52,24,APRIL,10,59,10,59,06/05/13 08:35:52,06/05/13 08:37:46,24,APRIL,11,1,10,5,06/05/13 08:37:46,06/05/13 08:39:50,24,APRIL,10,5,11,2,06/05/13 08:39:50,06/05/13 08:44:27,24,APRIL,11,2,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
