occ,ea_id,com_cc01,com_cc02,com_cc03,com_cc04a,com_cc04b,com_cc04c,com_cc04d,com_cc04e,com_cc04f,com_cc05a,com_cc05b,com_cc05c,com_cc05d,com_cc05e,com_cc05f,com_cc06,com_cc07a,com_cc07b,com_cc07c,com_cc07d,com_cc07e,com_cc07f,com_cc08,com_cc09,com_cc10,com_cc11,com_cc12,com_cc13,com_cc14,com_cc15
1,20610249,MORE MOVED OUT,10000,3000,TRADITIONAL,2000,CHRISTIAN,1000,,,CHEWA,3000,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),2000,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),1000,,,100,FARMING,FLAT,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL,YES
1,20613324,MORE MOVED OUT,8000,2000,CHRISTIAN,1500,NONE,250,TRADITIONAL,250,CHEWA,2000,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),1800,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),200,,,50,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,20614477,MORE MOVED IN,2520,360,CHRISTIAN,300,NONE,60,,,CHEWA,360,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),200,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),160,,,12,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20615064,MORE MOVED OUT,2000,285,CHRISTIAN,200,OTHER RELIGION,20,NONE,65,CHEWA,285,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),260,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),25,,,85,FARMING,FLAT,ALMOST NONE,1/4,ALMOST NONE,3/4,YES
1,20615735,MORE MOVED IN,1500,165,CHRISTIAN,120,TRADITIONAL,30,NONE,15,CHEWA,165,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),135,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),40,,,5,FARMING,FLAT,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20702471,ABOUT THE SAME OF BOTH,41626,7600,CHRISTIAN,7000,ISLAM,600,TRADITIONAL,100,CHEWA,7600,,,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),5000,MATRILINEAL AND PATRILOCAL (CHITENGWA),2600,,,12,FARMING,FLAT,ALMOST NONE,1/2,1/4,3/4,YES
1,20704738,ABOUT THE SAME OF BOTH,20000,2500,CHRISTIAN,2000,NONE,300,ISLAM,200,CHEWA,2500,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),2000,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),500,,,400,FARMING,FLAT,ALMOST NONE,1/4,ALMOST NONE,3/4,YES
1,20705372,NEITHER ARRIVALS NOR DEPARTURES,15000,2000,CHRISTIAN,1300,NONE,200,,,CHEWA,2000,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),1900,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),100,,,700,FARMING,FLAT,ALMOST NONE,1/4,ALMOST NONE,ALMOST ALL,YES
1,20706163,MORE MOVED IN,99999,5000,CHRISTIAN,3500,ISLAM,500,OTHER RELIGION,1000,CHEWA,5000,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),3000,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),2000,,,500,FARMING,FLAT,ALMOST NONE,1/2,ALMOST NONE,3/4,YES
1,20801046,MORE MOVED IN,1693,303,CHRISTIAN,227,NONE,76,,,CHEWA,303,,,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),288,MATRILINEAL AND PATRILOCAL (CHITENGWA),15,,,12,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST NONE,YES
1,20802019,ABOUT THE SAME OF BOTH,1040,137,CHRISTIAN,115,TRADITIONAL,17,NONE,5,CHEWA,137,,,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),110,MATRILINEAL AND PATRILOCAL (CHITENGWA),27,,,8,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20803156,ABOUT THE SAME OF BOTH,2398,501,CHRISTIAN,486,NONE,15,,,CHEWA,486,YAO,15,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),494,MATRILINEAL AND PATRILOCAL (CHITENGWA),7,,,23,FARMING,FLAT,ALMOST NONE,1/4,1/4,3/4,YES
1,20804405,ABOUT THE SAME OF BOTH,1650,292,ISLAM,290,CHRISTIAN,2,,,YAO,292,,,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),285,MATRILINEAL AND PATRILOCAL (CHITENGWA),7,,,25,FARMING,MODERATELY SLOPING,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL,YES
1,20804768,MORE MOVED IN,3200,522,ISLAM,514,CHRISTIAN,8,,,YAO,514,CHEWA,8,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),493,MATRILINEAL AND PATRILOCAL (CHITENGWA),29,,,53,FARMING,FLAT,1/4,ALMOST NONE,1/4,ALMOST ALL,YES
1,20806131,ABOUT THE SAME OF BOTH,1321,264,CHRISTIAN,173,TRADITIONAL,68,CHRISTIAN,23,CHEWA,241,YAO,23,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),235,MATRILINEAL AND NEOLOCAL,29,,,7,FARMING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL,YES
1,20807727,ABOUT THE SAME OF BOTH,2979,490,ISLAM,342,CHRISTIAN,143,TRADITIONAL,5,CHEWA,300,YAO,190,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),400,MATRILINEAL AND PATRILOCAL (CHITENGWA),90,,,5,FARMING,FLAT,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL,YES
1,20808421,ABOUT THE SAME OF BOTH,1440,273,CHRISTIAN,200,CHRISTIAN,60,NONE,13,CHEWA,273,,,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),245,MATRILINEAL AND PATRILOCAL (CHITENGWA),28,,,0,FARMING,MODERATELY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20903583,MORE MOVED OUT,3221,615,CHRISTIAN,528,ISLAM,15,ISLAM,10,CHEWA,605,YAO,10,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),575,MATRILINEAL AND PATRILOCAL (CHITENGWA),20,PATRILINEAL AND NEOLOCAL,20,5,FARMING,MODERATELY SLOPING,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL,YES
1,20906524,MORE MOVED IN,3023,370,CHRISTIAN,363,NONE,105,ISLAM,2,CHEWA,8,YAO,2,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),36,MATRILINEAL AND PATRILOCAL (CHITENGWA),4,,,4,FARMING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20906605,MORE MOVED IN,2257,526,CHRISTIAN,511,NONE,15,,,CHEWA,514,NGONI,12,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),500,MATRILINEAL AND PATRILOCAL (CHITENGWA),26,,,16,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20908088,ABOUT THE SAME OF BOTH,3720,1063,CHRISTIAN,1045,ISLAM,18,,,CHEWA,1045,YAO,18,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),972,MATRILINEAL AND PATRILOCAL (CHITENGWA),91,,,3,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20908119,MORE MOVED IN,2088,464,CHRISTIAN,444,NONE,15,CHRISTIAN,5,CHEWA,457,NYANJA,4,YAO,3,FATHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),441,MATRILINEAL AND PATRILOCAL (CHITENGWA),23,,,12,FARMING,FLAT,ALMOST NONE,1/4,1/4,ALMOST ALL,YES
1,20909113,MORE MOVED IN,1315,320,CHRISTIAN,224,ISLAM,66,NONE,30,CHEWA,264,YAO,56,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),295,MATRILINEAL AND PATRILOCAL (CHITENGWA),25,,,9,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,21037030,ABOUT THE SAME OF BOTH,7000,150,CHRISTIAN,100,ISLAM,50,,,CHEWA,150,,,,,BOTH,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),75,MATRILINEAL AND NEOLOCAL,75,,,0,SQUATTER  SETTLEMENT,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,21037536,MORE MOVED IN,20000,2500,CHRISTIAN,2483,ISLAM,17,,,CHEWA,2483,YAO,17,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),0,MATRILINEAL AND PATRILOCAL (CHITENGWA),0,,,0,PLANNED HOUSING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,1/2,YES
1,21048764,MORE MOVED IN,10000,1400,CHRISTIAN,1000,ISLAM,400,,,CHEWA,1400,,,,,BOTH,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),700,MATRILINEAL AND PATRILOCAL (CHITENGWA),700,MATRILINEAL AND PATRILOCAL (CHITENGWA),700,0,PLANNED HOUSING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,21051203,ABOUT THE SAME OF BOTH,4200,200,CHRISTIAN,150,ISLAM,50,,,CHEWA,200,,,,,BOTH,MATRILINEAL AND PATRILOCAL (CHITENGWA),100,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),100,,,0,SQUATTER  SETTLEMENT,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,21052427,MORE MOVED IN,17000,3500,CHRISTIAN,3395,ISLAM,105,,,CHEWA,3500,,,,,BOTH,MATRILINEAL AND PATRILOCAL (CHITENGWA),3400,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),100,,,4,SQUATTER  SETTLEMENT,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,21053745,MORE MOVED IN,4800,2100,CHRISTIAN,1575,ISLAM,500,,,CHEWA,2100,,,,,BOTH,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),1000,MATRILINEAL AND PATRILOCAL (CHITENGWA),1000,OTHER ( SPECIFY),100,0,PLANNED HOUSING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,21055241,ABOUT THE SAME OF BOTH,20000,2400,CHRISTIAN,1800,ISLAM,600,,,CHEWA,2400,,,,,BOTH,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),1200,MATRILINEAL AND PATRILOCAL (CHITENGWA),1200,,,2,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,21055693,MORE MOVED IN,25000,1200,CHRISTIAN,1000,ISLAM,200,,,CHEWA,1200,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),1000,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),200,,,3,PLANNED HOUSING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,21066096,ABOUT THE SAME OF BOTH,40000,5000,CHRISTIAN,4000,ISLAM,1000,,,CHEWA,1500,,,,,BOTH,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),3500,MATRILINEAL AND PATRILOCAL (CHITENGWA),1500,,,0,PLANNED HOUSING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,21066339,MORE MOVED IN,40000,5600,CHRISTIAN,3500,ISLAM,2100,,,CHEWA,5600,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),5600,,,,,0,PLANNED HOUSING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,21074510,ABOUT THE SAME OF BOTH,80000,1300,CHRISTIAN,1000,TRADITIONAL,100,ISLAM,200,CHEWA,1300,,,,,MOTHER,MATRILINEAL AND NEOLOCAL,1200,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),100,,,20,PLANNED HOUSING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,21077725,ABOUT THE SAME OF BOTH,8000,200,CHRISTIAN,192,ISLAM,8,,,CHEWA,100,TUMBUKA,70,ENGLISH,30,BOTH,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),100,MATRILINEAL AND PATRILOCAL (CHITENGWA),100,,,0,PLANNED HOUSING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,21080308,MORE MOVED IN,99999,3350,CHRISTIAN,2550,ISLAM,800,,,CHEWA,3000,YAO,300,LOMWE,50,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),3300,MATRILINEAL AND PATRILOCAL (CHITENGWA),50,,,5,SQUATTER  SETTLEMENT,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,1/2,YES
1,21081573,MORE MOVED IN,14200,900,CHRISTIAN,700,ISLAM,200,0,0,CHEWA,900,,,,,BOTH,MATRILINEAL AND PATRILOCAL (CHITENGWA),500,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),400,,,22,SQUATTER  SETTLEMENT,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,NO
1,21086069,ABOUT THE SAME OF BOTH,2500,250,TRADITIONAL,150,CHRISTIAN,100,,,CHEWA,250,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),250,,,,,6,SQUATTER  SETTLEMENT,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,21086436,MORE MOVED IN,3000,540,TRADITIONAL,320,CHRISTIAN,220,,,CHEWA,540,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),540,,,,,10,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,21087531,MORE MOVED IN,6665,1333,CHRISTIAN,1280,,,,,SUKWA,1,YAO,1220,YAO,113,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),1220,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),13,,,15,PLANNED HOUSING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,21088597,MORE MOVED IN,2000,250,CHRISTIAN,180,TRADITIONAL,60,ISLAM,10,CHEWA,250,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),200,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),50,,,15,FARMING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,30101280,MORE MOVED OUT,2773,1082,ISLAM,1026,CHRISTIAN,56,,,YAO,1070,CHEWA,12,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),1082,,,,,10,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,NO
1,30101545,MORE MOVED IN,1914,428,ISLAM,298,ISLAM,130,,,CHEWA,130,YAO,298,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),428,,,,,29,FARMING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,30102028,MORE MOVED IN,3785,956,TRADITIONAL,676,CHRISTIAN,280,,,CHEWA,280,YAO,676,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),956,,,,,36,FARMING,MODERATELY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST NONE,YES
1,30102540,MORE MOVED IN,984,218,CHRISTIAN,200,ISLAM,18,,,CHEWA,200,YAO,18,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),218,,,,,8,FARMING,MODERATELY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST NONE,YES
1,30103074,MORE MOVED OUT,2364,443,CHRISTIAN,400,OTHER RELIGION,,,,CHEWA,143,YAO,300,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),443,,,,,19,FARMING,MODERATELY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST NONE,YES
1,30104708,MORE MOVED OUT,2716,564,CHRISTIAN,554,CHRISTIAN,10,,,YAO,554,CHEWA,10,CHEWA,0,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),564,,,,,13,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,30105325,MORE MOVED OUT,3439,1520,ISLAM,1490,CHRISTIAN,80,,,YAO,1500,CHEWA,20,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),1520,,,,,30,FARMING,MODERATELY SLOPING,ALMOST NONE,1/2,ALMOST NONE,3/4,YES
1,30105448,MORE MOVED OUT,7601,2620,CHRISTIAN,1560,CHRISTIAN,1060,,,CHEWA,1060,YAO,1560,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),2620,,,,,300,FARMING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL,YES
1,30107624,MORE MOVED IN,13050,2600,ISLAM,2400,CHRISTIAN,200,,,YAO,2400,LOMWE,200,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),2310,MATRILINEAL AND PATRILOCAL (CHITENGWA),90,,,37,FARMING,SLIGHTLY SLOPING,1/2,1/4,1/2,ALMOST ALL,YES
1,30108401,MORE MOVED OUT,10174,1339,TRADITIONAL,1303,CHRISTIAN,36,,,CHEWA,30,YAO,1309,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),1339,,,,,1000,FARMING,MODERATELY SLOPING,1/4,ALMOST NONE,1/4,3/4,YES
1,30109724,MORE MOVED IN,1734,612,CHRISTIAN,9,ISLAM,603,,,YAO,603,CHEWA,9,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),6012,,,,,21,FARMING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,NO
1,30202252,MORE MOVED OUT,1590,636,ISLAM,410,CHRISTIAN,226,,,YAO,410,CHEWA,226,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),636,,,,,6,FARMING,MODERATELY SLOPING,ALMOST NONE,1/4,ALMOST NONE,ALMOST ALL,YES
1,30206341,MORE MOVED OUT,3538,1962,ISLAM,1000,CHRISTIAN,962,,,YAO,1000,CHEWA,962,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),1962,,,,,11,FARMING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL,YES
1,30206572,MORE MOVED OUT,3806,1857,ISLAM,1000,CHRISTIAN,857,,,CHEWA,857,YAO,100,LOMWE,900,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),1857,,,,,21,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,30208396,MORE MOVED IN,1040,10,ISLAM,110,CHRISTIAN,20,,,YAO,110,NYANJA,20,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),110,MATRILINEAL AND PATRILOCAL (CHITENGWA),20,,,18,FARMING,SLIGHTLY SLOPING,1/4,1/4,ALMOST NONE,ALMOST ALL,YES
1,30212307,MORE MOVED IN,3076,1138,CHRISTIAN,1128,,,,,YAO,1128,CHEWA,10,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),1138,,,,,0,FARMING,MODERATELY SLOPING,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,30212492,MORE MOVED OUT,1700,100,ISLAM,93,CHRISTIAN,7,,,YAO,97,NGONI,3,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),100,,,,,2,FARMING,MODERATELY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,30302601,MORE MOVED IN,1430,486,CHRISTIAN,480,ISLAM,6,,,CHEWA,486,,,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),466,MATRILINEAL AND PATRILOCAL (CHITENGWA),20,,,10,SQUATTER  SETTLEMENT,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,30305082,MORE MOVED IN,3900,873,CHRISTIAN,673,ISLAM,200,,,CHEWA,673,LOMWE,150,YAO,50,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),800,MATRILINEAL AND PATRILOCAL (CHITENGWA),73,,,10,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,30305277,MORE MOVED IN,669,162,CHRISTIAN,150,ISLAM,12,,,CHEWA,160,NYANJA,2,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),132,MATRILINEAL AND PATRILOCAL (CHITENGWA),30,,,4,FARMING,FLAT,1/4,3/4,ALMOST NONE,3/4,YES
1,30305580,ABOUT THE SAME OF BOTH,1200,324,CHRISTIAN,322,ISLAM,2,,,CHEWA,300,LOMWE,24,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),320,MATRILINEAL AND PATRILOCAL (CHITENGWA),4,,,9,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,30306087,MORE MOVED IN,612,102,CHRISTIAN,98,ISLAM,4,,,CHEWA,100,YAO,2,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),80,MATRILINEAL AND PATRILOCAL (CHITENGWA),15,MATRILINEAL AND NEOLOCAL,7,0,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,30306555,MORE MOVED IN,688,186,CHRISTIAN,183,ISLAM,3,,,CHEWA,164,LOMWE,19,YAO,3,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),185,MATRILINEAL AND PATRILOCAL (CHITENGWA),1,,,1,FARMING,FLAT,1/4,ALMOST NONE,ALMOST NONE,3/4,YES
1,30307678,MORE MOVED IN,480,156,ISLAM,100,CHRISTIAN,56,,,YAO,90,CHEWA,66,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),100,MATRILINEAL AND NEOLOCAL,50,MATRILINEAL AND NEOLOCAL,6,0,FARMING,FLAT,ALMOST NONE,ALMOST NONE,1/4,3/4,YES
1,30403444,MORE MOVED IN,4000,1000,CHRISTIAN,990,ISLAM,10,,,NYANJA,990,YAO,10,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),980,MATRILINEAL AND PATRILOCAL (CHITENGWA),20,,,5,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,30406710,NEITHER ARRIVALS NOR DEPARTURES,416,105,CHRISTIAN,99,ISLAM,6,,,NYANJA,105,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),15,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),90,,,2,FARMING,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL,YES
1,30501383,MORE MOVED IN,9500,1583,CHRISTIAN,1213,ISLAM,350,TRADITIONAL,20,CHEWA,1283,YAO,300,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),792,MATRILINEAL AND PATRILOCAL (CHITENGWA),791,,,10,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,30502456,ABOUT THE SAME OF BOTH,6000,650,CHRISTIAN,600,ISLAM,50,,,CHEWA,650,,,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),650,,,,,2,FARMING,STEEPLY SLOPING,ALMOST NONE,ALMOST NONE,1/4,3/4,YES
1,30503685,MORE MOVED IN,4500,800,CHRISTIAN,793,NONE,5,ISLAM,2,CHEWA,800,,,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),800,,,,,2,FARMING,SLIGHTLY SLOPING,1/4,ALMOST NONE,ALMOST NONE,3/4,YES
1,30504518,NEITHER ARRIVALS NOR DEPARTURES,5908,900,CHRISTIAN,899,ISLAM,1,,,NYANJA,890,LOMWE,10,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),900,,,,,7,FARMING,SLIGHTLY SLOPING,1/4,ALMOST NONE,1/4,3/4,YES
1,30602235,NEITHER ARRIVALS NOR DEPARTURES,2400,322,CHRISTIAN,300,ISLAM,22,,,CHEWA,322,,,,,MOTHER,MATRILINEAL AND NEOLOCAL,322,,,,,43,FARMING,STEEPLY SLOPING,1/4,ALMOST NONE,1/2,3/4,YES
1,30620196,MORE MOVED IN,20000,5000,CHRISTIAN,3500,TRADITIONAL,1000,ISLAM,500,CHEWA,4385,YAO,300,LOMWE,215,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),3500,MATRILINEAL AND PATRILOCAL (CHITENGWA),1500,,,10,FARMING,STEEPLY SLOPING,ALMOST NONE,ALMOST NONE,1/4,3/4,YES
1,30703381,NEITHER ARRIVALS NOR DEPARTURES,3000,550,ISLAM,25,CHRISTIAN,253,NONE,2,CHEWA,550,,,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),2,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),540,MATRILINEAL AND PATRILOCAL (CHITENGWA),10,5,FARMING,SLIGHTLY SLOPING,ALMOST NONE,1/4,ALMOST NONE,ALMOST NONE,YES
1,30704313,ABOUT THE SAME OF BOTH,4900,2658,CHRISTIAN,2650,NONE,2650,,,CHEWA,2658,,,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),2638,MATRILINEAL AND PATRILOCAL (CHITENGWA),20,,,10,FARMING,STEEPLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,NO
1,30705391,MORE MOVED OUT,1800,303,CHRISTIAN,290,ISLAM,3,NONE,10,CHEWA,303,,,,,BOTH,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),200,MATRILINEAL AND PATRILOCAL (CHITENGWA),100,PATRILINEAL AND NEOLOCAL,3,0,FARMING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST ALL,1/4,ALMOST ALL,NO
1,30706619,MORE MOVED OUT,3234,539,CHRISTIAN,318,ISLAM,180,NONE,41,NYANJA,410,LOMWE,101,YAO,28,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),502,MATRILINEAL AND PATRILOCAL (CHITENGWA),27,PATRILINEAL AND PATRILOCAL,10,0,FARMING,MODERATELY SLOPING,ALMOST NONE,1/2,ALMOST NONE,3/4,NO
1,30708665,ABOUT THE SAME OF BOTH,4000,1000,CHRISTIAN,980,ISLAM,20,,,NYANJA,1000,,,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),950,MATRILINEAL AND PATRILOCAL (CHITENGWA),50,,,10,FARMING,FLAT,ALMOST NONE,3/4,ALMOST NONE,ALMOST ALL,YES
