occ,ea_id,com_cg35a,com_cg35b,com_cg35c,com_cg36,com_cg37
7,10746033,A,AVAILABILITY OF ESSENTIAL ITEMS,OTHER GOOD (SPECIFY),2012,ALMOST ALL
8,10746033,B,CONSTRUCTION OF MZUZU SILOS,DEVELOPMENT PROJECT,2011,1/4
9,10746033,C,,,,
10,10746033,D,,,,
1,10746244,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10746244,A,SHORTAGE OF COUPON,OTHER BAD (SPECIFY),2012,1/2
3,10746244,B,,,,
4,10746244,C,,,,
5,10746244,D,,,,
6,10746244,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10746244,A,SCHOOL FEEDING PROGRAME,OTHER GOOD (SPECIFY),2013,ALMOST ALL
8,10746244,B,MASAF PROGRAME,DEVELOPMENT PROJECT,2013,3/4
9,10746244,C,,,,
10,10746244,D,,,,
1,20106042,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20106042,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,20106042,B,LOW PRICES FOR SOYA,SHARP CHANGE IN PRICES,2011,1/4
4,20106042,C,HIGH PRICES FOR FARM INPUTS,SHARP CHANGE IN PRICES,2012,ALMOST ALL
5,20106042,D,INADEQUATE CROP AT PRODUCTS MARKETS,OTHER BAD (SPECIFY),2011,ALMOST ALL
6,20106042,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20106042,A,GOOD TOBACCO PRICES AT AUCTION,OTHER GOOD (SPECIFY),2013,1/4
8,20106042,B,,,,
9,20106042,C,,,,
10,20106042,D,,,,
1,20110620,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20110620,A,BOREHOLE PARTS STOLLEN THAT LED TO,LOSS OF KEY SOCIAL SERVICE (S),2012,1/2
3,20110620,B,AFRICAN SWINE LEVEL OUTBREAKS,LIVESTOCK DISEASE,2013,ALMOST ALL
4,20110620,C,PRICE OF AGRICULTURAL INPUT HAS SKY,SHARP CHANGE IN PRICES,2012,ALMOST ALL
5,20110620,D,,,,
6,20110620,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20110620,A,FAO PROVIDED GOATS TO FARMERS,OTHER GOOD (SPECIFY),2013,1/4
8,20110620,B,FAO PROVIDED FREE FERTILIZERS TO FA,OTHER GOOD (SPECIFY),2012,1/4
9,20110620,C,SCHOOL BLOCK BUILT AT CHALUSI PRIMA,NEW EMPLOYMENT OPPORTUNITIES,2012,ALMOST ALL
10,20110620,D,COMPUTERS PROVIDED TO CHAMKANGO SCH,OTHER GOOD (SPECIFY),2012,ALMOST ALL
1,20111718,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20111718,A,INADEQUATE RAINFALL,DROUGHT,2012,ALMOST ALL
3,20111718,B,LACK OF ENOUGH BOREHOLES,OTHER BAD (SPECIFY),2011,ALMOST ALL
4,20111718,C,THERE IS NO SCHOOL THAT CAN CARTER,OTHER BAD (SPECIFY),2011,ALMOST ALL
5,20111718,D,THERE IS HUNGER IN THE AREA DUE TO,OTHER BAD (SPECIFY),2013,ALMOST ALL
6,20111718,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20111718,A,BANK NKHONDE INTRODUCED IN THE COMM,OTHER GOOD (SPECIFY),2012,1/4
8,20111718,B,BETTER PRICES FOR FARM CROPS LIKE,OTHER GOOD (SPECIFY),2012,ALMOST ALL
9,20111718,C,BETTER TRANSPORT OPPOTUNITY ON THE,IMPROVED TRANSPORTATION,2011,ALMOST ALL
10,20111718,D,INTRODUCTION OF A VILLAGE CLINIC,DEVELOPMENT PROJECT,2011,ALMOST ALL
1,20112661,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20112661,A,DROUGHT,DROUGHT,2005,ALMOST ALL
3,20112661,B,SHORTAGE OF DRINKIMG WATER,OTHER BAD (SPECIFY),2010,ALMOST ALL
4,20112661,C,HUMAN DISEASE,HUMAN EPIDEMIC DISEASE,2008,3/4
5,20112661,D,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
6,20112661,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20112661,A,NEW SCHOOL BLOCK/TEACHERS HOUSES,NEW SCHOOL,2012,ALMOST ALL
8,20112661,B,DEVELOPMENT PROJECT,DEVELOPMENT PROJECT,2012,ALMOST ALL
9,20112661,C,,,,
10,20112661,D,,,,
1,20113112,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20113112,A,ERATIC RAINS,DROUGHT,2013,ALMOST ALL
3,20113112,B,"LOW PRICES OFFERED FOR SOYA,G/NUT",SHARP CHANGE IN PRICES,2012,1/4
4,20113112,C,INADEQUATE CASH AT ADMARC/NODOCTOR,LOSS OF KEY SOCIAL SERVICE (S),2013,1/4
5,20113112,D,LACK OF FOOD MAIZE AT ADMARC WHEN H,OTHER BAD (SPECIFY),2012,ALMOST ALL
6,20113112,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20113112,A,,,,
8,20113112,B,ADMARC HAS BEEN OPENED AFTER COMMUN,OTHER GOOD (SPECIFY),2011,ALMOST ALL
9,20113112,C,LIMBE LEAF HAS GIVEN CREDIT OF FARM,OTHER GOOD (SPECIFY),2010,1/4
10,20113112,D,,,,
1,20115434,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20115434,A,INADEQUETE RECEIVEALL,DROUGHT,2012,1/2
3,20115434,B,ANIMALS DISEASES,LIVESTOCK DISEASE,2013,1/2
4,20115434,C,SHORTAGE OF BOREHOLS IN THE AREA,OTHER BAD (SPECIFY),2010,ALMOST ALL
5,20115434,D,NO HEALTH  FACILITY IN THE AREA,OTHER BAD (SPECIFY),2010,ALMOST ALL
6,20115434,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20115434,A,GOOD TOBACCO PRICES AT AUCTION FLOO,OTHER GOOD (SPECIFY),2013,1/4
8,20115434,B,REROOFING OF SCHOOL BLOCK THAT WAS,DEVELOPMENT PROJECT,2011,ALMOST ALL
9,20115434,C,,,,
10,20115434,D,,,,
1,20205207,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20205207,A,ERATIC RAINFALL NOT GOOD FOR AGRICU,DROUGHT,2012,ALMOST ALL
3,20205207,B,BREAKINGDOWN OF SHALLOW WELL THAT I,OTHER BAD (SPECIFY),2013,1/2
4,20205207,C,RISING OF FERTTILISER ITEMS,SHARP CHANGE IN PRICES,2012,ALMOST ALL
5,20205207,D,LIVESTOCK DISEASES,LIVESTOCK DISEASE,2013,1/2
6,20205207,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20205207,A,IMPROVEMENT AT VILLAGE COMMUNITY MA,OTHER GOOD (SPECIFY),2011,ALMOST ALL
8,20205207,B,BUSINESS OPPORUNITIES,,2011,ALMOST NONE
9,20205207,C,,,,
10,20205207,D,,,,
1,20206362,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20206362,A,CLOSING OF BOARDING FACIKLITIES AT,LOSS OF KEY SOCIAL SERVICE (S),2012,ALMOST ALL
3,20206362,B,WITHDRAWING OF AMBULANCE FROM HEALT,LOSS OF KEY SOCIAL SERVICE (S),2011,ALMOST ALL
4,20206362,C,MEMBER OF PARLIAMENT NOT VISITING,LOSS OF KEY SOCIAL SERVICE (S),2012,ALMOST ALL
5,20206362,D,SECURITY DETERIORATION IN THE SEA,OTHER BAD (SPECIFY),203,ALMOST ALL
6,20206362,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20206362,A,INTRODUTION OF PIPED WATER TO THE C,DEVELOPMENT PROJECT,2013,ALMOST ALL
8,20206362,B,,,,
9,20206362,C,,,,
10,20206362,D,,,,
1,20302539,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20302539,A,PRICE LOWERING OF SOYA WHICH IS A C,SHARP CHANGE IN PRICES,2012,ALMOST ALL
3,20302539,B,INADQUATE RAINS,DROUGHT,2013,ALMOST ALL
4,20302539,C,SKYROCKETING OF FARM INPUTS PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
5,20302539,D,LACK OF CREDIT OPPORTUNITIES,LOSS OF KEY SOCIAL SERVICE (S),2013,ALMOST ALL
6,20302539,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20302539,A,COMING IN OF TOTAL LAND CARE,DEVELOPMENT PROJECT,2010,ALMOST ALL
8,20302539,B,WORLD HSA BUILT A VERY DECENT NURSE,DEVELOPMENT PROJECT,2013,ALMOST ALL
9,20302539,C,PROVISION OF MOSQUITO NETS,OTHER GOOD (SPECIFY),2011,1/4
10,20302539,D,INTENAFICATION BY GOVT HEALTH DEP,OTHER GOOD (SPECIFY),2011,1/2
1,20303065,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20303065,A,RAINFALL PATTERN HAS CHANGED & ITSI,DROUGHT,2012,ALMOST ALL
3,20303065,B,LOW PRICES OFFERED TO AGRICULTURALC,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,20303065,C,INADEQUATE BOREHOLES IN THE AREA,OTHER BAD (SPECIFY),2010,ALMOST ALL
5,20303065,D,SUBSIDY PROGRAMME BENEFICTING VERYF,POWER OUTAGE(S),2010,ALMOST ALL
6,20303065,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20303065,A,PROVISION OF SOFT LOANS OF LEGUME S,OTHER GOOD (SPECIFY),2011,ALMOST NONE
8,20303065,B,DAIRY ANIMALS GIVEN TO FARMERS TO,OTHER GOOD (SPECIFY),2010,ALMOST NONE
9,20303065,C,MAIZE MILL BOUGHT TO AVILLAGE BY,SHARP CHANGE IN PRICES,2011,ALMOST ALL
10,20303065,D,,,,
1,20305301,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20305301,A,FEW COUPON BENEFICIARIES AND SUBSID,LOSS OF KEY SOCIAL SERVICE (S),2011,ALMOST ALL
3,20305301,B,HIGH FARM INPUT  PRICE WHICH ARE UN,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,20305301,C,LOW PRICES OFFERED TO FARM CROPS BY,SHARP CHANGE IN PRICES,2013,ALMOST ALL
5,20305301,D,FEW MEDICAL STAY AT MALOMO,LOSS OF KEY SOCIAL SERVICE (S),2012,ALMOST ALL
6,20305301,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20305301,A,AVAILABILITY OF FUEL,IMPROVED TRANSPORTATION,2012,ALMOST ALL
8,20305301,B,INTRODUCTION OF VILLAGE CLINIC,DEVELOPMENT PROJECT,2011,ALMOST ALL
9,20305301,C,INTRODUCTION OFUCHEMBERE WA BWINO,OTHER GOOD (SPECIFY),2012,ALMOST ALL
10,20305301,D,NEW SCHOOL BLOCK BUILT AT A PRIMARY,DEVELOPMENT PROJECT,2012,ALMOST ALL
1,20306557,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20306557,A,VERY POOR CROP PRICES FOR SOYA,SHARP CHANGE IN PRICES,2013,ALMOST ALL
3,20306557,B,EXTENSION SERVICE HAS GONE DOWN,LOSS OF KEY SOCIAL SERVICE (S),2010,ALMOST ALL
4,20306557,C,LIVESTOCK DISEASES ESPECIALLY AFRIC,CROP DISEASE/PESTS,2012,ALMOST ALL
5,20306557,D,LACK OF ADQUATE FOREHOLES THEREBY W,LOSS OF KEY SOCIAL SERVICE (S),2012,ALMOST ALL
6,20306557,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20306557,A,RECEIVED GOOD ADEQUATE RAINS THIS S,OTHER GOOD (SPECIFY),2013,ALMOST ALL
8,20306557,B,GOOD TOBACCO PRICES OF AUCTION FLOO,OTHER GOOD (SPECIFY),2013,1/2
9,20306557,C,AVAILABILITY OF SO CREDITS WITHIN T,OTHER GOOD (SPECIFY),2011,1/4
10,20306557,D,,,,
1,20402198,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20402198,A,ERATIC RAINFALL HENCE POOR CROP YIE,DROUGHT,2013,ALMOST ALL
3,20402198,B,NO BOREHOLES IN THE ARE HENCE DRINK,OTHER BAD (SPECIFY),2011,ALMOST ALL
4,20402198,C,VERY FEW COUPONS FOR THE AREA,DEVELOPMENT PROJECT,2012,ALMOST ALL
5,20402198,D,INCREASED FARM IN PUT PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
6,20402198,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20402198,A,BETTER TOBACCO PRICES AT AUCTION FL,OTHER BAD (SPECIFY),2013,1/4
8,20402198,B,MAIZE MILLS INTRODUCED IN COMMUNITY,OTHER BAD (SPECIFY),2011,ALMOST ALL
9,20402198,C,,,,
10,20402198,D,,,,
1,20404032,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20404032,A,INADEQUATE RAINS & RAIN PATTEIN,DEVELOPMENT PROJECT,2013,ALMOST ALL
3,20404032,B,SMALL NUMBER OF SUBSIBY BERFRICAIES,DEVELOPMENT PROJECT,2012,ALMOST ALL
4,20404032,C,PRICE OF INPUTS LETA VERTICISES IS,SHARP CHANGE IN PRICES,2012,ALMOST ALL
5,20404032,D,PROVISION OF SUBSISIDY IS AWAYS  LA,DEVELOPMENT PROJECT,2012,1/2
6,20404032,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20404032,A,HEAD MASTERS HOLE CONSTRUCTED,DEVELOPMENT PROJECT,2011,ALMOST ALL
8,20404032,B,CHOOL BLOCK UNDER CONSCTION,DEVELOPMENT PROJECT,2012,ALMOST ALL
9,20404032,C,,,,
10,20404032,D,,,,
1,20404575,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20404575,A,WILD ANIMALS (ELEPHANTS)FROM THUMA,OTHER BAD (SPECIFY),2011,1/2
3,20404575,B,SOME BOREHOLES DUILLED IN THE AREA,LOSS OF KEY SOCIAL SERVICE (S),2011,1/2
4,20404575,C,DROUGHT,DROUGHT,2011,ALMOST ALL
5,20404575,D,TRANSPOT PROBLEMS TO TRANSPOT FARM,OTHER BAD (SPECIFY),2011,ALMOST ALL
6,20404575,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20404575,A,MAIZE MILLS INTRODUCED INTO THE,DEVELOPMENT PROJECT,2011,ALMOST ALL
8,20404575,B,TEMPORARY ADMARC MARKET FOR SUBSIDY,DEVELOPMENT PROJECT,2010,1/4
9,20404575,C,GOOD PRICE FOR TOBACCO AT THE AUCTI,OTHER GOOD (SPECIFY),2013,1/2
10,20404575,D,,,,
1,20405366,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20405366,A,POULTRY AND LIVESTOCK DISEASE,LIVESTOCK DISEASE,2012,ALMOST ALL
3,20405366,B,LOW PRICES OFFERED TO CROPS PRODUCE,SHARP CHANGE IN PRICES,2013,ALMOST ALL
4,20405366,C,HIGH FARM INPUT PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
5,20405366,D,SMALL NUMBER OF SUBSIDY BENEFICIARY,OTHER BAD (SPECIFY),2012,ALMOST ALL
6,20405366,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20405366,A,INTRODUCTION OF VILLAGE CLINIC TO T,DEVELOPMENT PROJECT,2011,ALMOST ALL
8,20405366,B,MAIZE MILL INTRODUCED IN THE COMMUN,DEVELOPMENT PROJECT,2013,ALMOST ALL
9,20405366,C,,,,
10,20405366,D,,,,
1,20407398,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20407398,A,THE COMMUNITY HAS NOT RECEIVED COUP,OTHER BAD (SPECIFY),2011,ALMOST ALL
3,20407398,B,FARMESR GIVEN LESS MONEY AFTER TOBA,OTHER BAD (SPECIFY),2013,1/4
4,20407398,C,INADEQUATE NO OF BOREHOLES DUE TO T,LOSS OF KEY SOCIAL SERVICE (S),2011,ALMOST ALL
5,20407398,D,THE GOVERNMENT HOSPITALS DUE TO THI,OTHER BAD (SPECIFY),2010,ALMOST ALL
6,20407398,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20407398,A,LACK OF PROPER ADMARC MARKET TO BUY,DEVELOPMENT PROJECT,2011,ALMOST ALL
8,20407398,B,,,,
9,20407398,C,,,,
10,20407398,D,,,,
1,20407481,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20407481,A,LOW PRICES FOR FARM INPUTS,SHARP CHANGE IN PRICES,2011,ALMOST ALL
3,20407481,B,HIGH PRICES FOR ESSENTIAL COMMODITI,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,20407481,C,SIDELINING OF DEVELOPMENT PROJECTS,OTHER BAD (SPECIFY),2012,ALMOST ALL
5,20407481,D,,,,
6,20407481,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20407481,A,INTRODUCTION OF UNDERCLINIC IN THEC,NEW HEALTH FACILITY,2012,ALMOST ALL
8,20407481,B,GOATS& CHICKENS PLUS EXTENSION SERV,OTHER GOOD (SPECIFY),2010,ALMOST ALL
9,20407481,C,,,,
10,20407481,D,,,,
1,20507089,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20507089,A,ERATIC RAIN PARTTERN,DROUGHT,2012,ALMOST ALL
3,20507089,B,FARMERS FAIL TO BUY COUPON FERTILIZ,OTHER BAD (SPECIFY),2012,1/4
4,20507089,C,FOOD SHORTAGE IN THE AREA,OTHER BAD (SPECIFY),2013,3/4
5,20507089,D,RISING OF FARM INPUT MATERIAL,SHARP CHANGE IN PRICES,2012,ALMOST ALL
6,20507089,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20507089,A,INTRODUCTION OF BANK NKHONDE TO THE,OTHER GOOD (SPECIFY),2013,1/4
8,20507089,B,IMPROVEMENT IN AGRICULTURE EXTENSIN,OTHER GOOD (SPECIFY),2012,1/2
9,20507089,C,,,,
10,20507089,D,,,,
1,20507459,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20507459,A,HIGH INPUT PRICES AND OTHER CGOODS,SHARP CHANGE IN PRICES,2012,ALMOST ALL
3,20507459,B,SHORTAGE OF DRUGS AT THE NEAR HEALT,OTHER BAD (SPECIFY),2011,1/4
4,20507459,C,SMALL NUMBER OF SUBSIDY BENEFICIARI,OTHER BAD (SPECIFY),2012,ALMOST ALL
5,20507459,D,LIVESTOCK DISEASES DUE TO LACK OF D,OTHER BAD (SPECIFY),2011,1/4
6,20507459,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20507459,A,ANEW COMMUHNITY DAY SECONDARY SCHOO,NEW SCHOOL,2013,ALMOST ALL
8,20507459,B,,,,
9,20507459,C,,,,
10,20507459,D,,,,
1,20508349,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20508349,A,RAIN PATTERNS ARE NOT GOOD,DROUGHT,2013,ALMOST ALL
3,20508349,B,HIGH PRICES OF GOODS,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,20508349,C,POOR PRICES AND UNSTABLE CHANGES EV,SHARP CHANGE IN PRICES,2013,ALMOST ALL
5,20508349,D,,,,
6,20508349,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20508349,A,DISTRIBUTION OF FREE PRIMARY UNIFOR,OTHER GOOD (SPECIFY),2014,1/4
8,20508349,B,,,,
9,20508349,C,,,,
10,20508349,D,,,,
1,20601141,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20601141,A,DROUGHT,DROUGHT,2013,ALMOST ALL
3,20601141,B,LACK OF PROPER MARKET FOR CROPS,SHARP CHANGE IN PRICES,2010,ALMOST ALL
4,20601141,C,POOR CLOUD AT WORK WHICH MAKES IT D,OTHER BAD (SPECIFY),2013,ALMOST ALL
5,20601141,D,HIGH COST OF PRICE FOR INPUTS AND,SHARP CHANGE IN PRICES,2013,ALMOST ALL
6,20601141,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20601141,A,MASAF [PROJECT,OTHER GOOD (SPECIFY),2013,ALMOST ALL
8,20601141,B,DEVELOPMENT PROJECT TEACHERS HOUSE,DEVELOPMENT PROJECT,2013,ALMOST ALL
9,20601141,C,BOREHOLE IN THE AREA HAVE BEEN DRIL,DEVELOPMENT PROJECT,2013,ALMOST ALL
10,20601141,D,,,,
1,20601626,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20601626,A,DROUGHT,DROUGHT,2013,ALMOST ALL
3,20601626,B,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,20601626,C,,,,
5,20601626,D,,,,
6,20601626,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20601626,A,NEW DEVELOPMENT IN WATER FACILITIES,OTHER GOOD (SPECIFY),2010,1/4
8,20601626,B,NEW DEVELOPMENT PROJECT,DEVELOPMENT PROJECT,2012,1/2
9,20601626,C,,,,
10,20601626,D,,,,
1,20602363,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20602363,A,DROUGHT,DROUGHT,2011,ALMOST ALL
3,20602363,B,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,20602363,C,WATER PROBLEMS(NO BOREHOLES),OTHER BAD (SPECIFY),2010,ALMOST ALL
5,20602363,D,,,,
6,20602363,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20602363,A,,,,
8,20602363,B,,,,
9,20602363,C,,,,
10,20602363,D,,,,
1,20603090,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20603090,A,LIVESTOCK DISEASES,LIVESTOCK DISEASE,2010,3/4
3,20603090,B,DROUGHT,DROUGHT,2011,ALMOST ALL
4,20603090,C,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2013,ALMOST ALL
5,20603090,D,THEFT OF ANIMALS & OTHER HH ITEMS,OTHER BAD (SPECIFY),2011,3/4
6,20603090,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20603090,A,MIJIGO WATER SUPPLY IMPROVEMENT,OTHER GOOD (SPECIFY),2012,ALMOST ALL
8,20603090,B,NEW ROAD,NEW ROAD,2010,ALMOST ALL
9,20603090,C,,,,
10,20603090,D,,,,
1,20603533,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20603533,A,HIGH RATE OF ARMED ROBBERY,OTHER BAD (SPECIFY),2013,ALMOST ALL
3,20603533,B,WAR BETWEEN CHRISTIANS AND MUSLEUMS,OTHER BAD (SPECIFY),2012,ALMOST ALL
4,20603533,C,HIGH PRICE OF ESSECIAL COMODITIES,SHARP CHANGE IN PRICES,2013,ALMOST ALL
5,20603533,D,,,,
6,20603533,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20603533,A,TARMARK ROAD IN THE COMMUNITY,DEVELOPMENT PROJECT,2012,ALMOST ALL
8,20603533,B,SOFT ROAMS FROM FINANCIAL INSTITUTI,OTHER GOOD (SPECIFY),2013,ALMOST ALL
9,20603533,C,,,,
10,20603533,D,,,,
1,20604638,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20604638,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,20604638,B,LIVESTOCK DISEASE,LIVESTOCK DISEASE,2012,ALMOST ALL
4,20604638,C,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2011,ALMOST ALL
5,20604638,D,,,,
6,20604638,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20604638,A,IMPROVED WATER SOURCES,OTHER GOOD (SPECIFY),2012,ALMOST ALL
8,20604638,B,,,,
9,20604638,C,,,,
10,20604638,D,,,,
1,20605302,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20605302,A,NO HOPER MARKETS FOR AGRICULTURE PR,OTHER BAD (SPECIFY),2010,ALMOST ALL
3,20605302,B,HIGH COST OF FARM INPUTS AND ESSECI,SHARP CHANGE IN PRICES,2013,ALMOST ALL
4,20605302,C,DROUGHT BY SPEL CROPA DID NOT MATUR,OTHER BAD (SPECIFY),2013,ALMOST ALL
5,20605302,D,,,,
6,20605302,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20605302,A,MUSTAF PROJECT,OTHER GOOD (SPECIFY),2013,1/2
8,20605302,B,BOREHOLE HAS BEEN SHUCK,OTHER GOOD (SPECIFY),2013,ALMOST ALL
9,20605302,C,GOOD SECURITY IN THE COMMMUNITY,OTHER GOOD (SPECIFY),2013,ALMOST ALL
10,20605302,D,,,,
1,20607260,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20607260,A,DROUGHT,DROUGHT,2011,ALMOST ALL
3,20607260,B,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,20607260,C,SALES OF AGRICULTURAL PROD.AT LOWER,OTHER BAD (SPECIFY),2012,ALMOST ALL
5,20607260,D,,,,
6,20607260,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20607260,A,,,,
8,20607260,B,,,,
9,20607260,C,,,,
10,20607260,D,,,,
1,20607315,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20607315,A,HIGH COST OF AGRICULTURE IMPLIMENTS,SHARP CHANGE IN PRICES,2011,ALMOST ALL
3,20607315,B,UNRULER OF PEOPLE IN A NAME OF DEMO,OTHER BAD (SPECIFY),2012,ALMOST ALL
4,20607315,C,HIV AIDS SPREAD,OTHER BAD (SPECIFY),2012,1/2
5,20607315,D,,,,
6,20607315,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20607315,A,MASAF PROJECT WORKING IN ROADS,DEVELOPMENT PROJECT,2012,1/4
8,20607315,B,ARISE PROJECT GIVING OUT UNIFORM CH,DEVELOPMENT PROJECT,2012,3/4
9,20607315,C,,,,
10,20607315,D,,,,
1,20610050,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20610050,A,DROGHT,DROUGHT,2012,ALMOST ALL
3,20610050,B,SERVICES,LOSS OF KEY SOCIAL SERVICE (S),2012,1/2
4,20610050,C,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
5,20610050,D,,,,
6,20610050,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20610050,A,NEW SCHOOL BLOCK,NEW SCHOOL,2012,ALMOST ALL
8,20610050,B,NEW ROAD CONSTRUCTION,NEW ROAD,2012,ALMOST ALL
9,20610050,C,PLANT NEW SEEDLINGS OF VARIOUS TREE,OTHER GOOD (SPECIFY),2011,ALMOST ALL
10,20610050,D,,,,
1,20610249,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20610249,A,LIVESTOCK DISEASES,LIVESTOCK DISEASE,2010,1/2
3,20610249,B,SHARP CHANGE IN PINES,SHARP CHANGE IN PRICES,2010,ALMOST ALL
4,20610249,C,IRREGULAR RAINS,OTHER BAD (SPECIFY),2010,ALMOST ALL
5,20610249,D,SHARP CHANGE IN AGRICULTURE INPUTS,OTHER BAD (SPECIFY),2010,ALMOST ALL
6,20610249,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20610249,A,DEVELOPMENT PROJECTS,DEVELOPMENT PROJECT,2011,ALMOST ALL
8,20610249,B,SOLAR AT PRIMARY BY LDF,OTHER GOOD (SPECIFY),2011,ALMOST ALL
9,20610249,C,,,,
10,20610249,D,,,,
1,20613324,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,20613324,A,BREAK OUT OF KOLELA,HUMAN EPIDEMIC DISEASE,2010,ALMOST ALL
3,20613324,B,HIKE IN PRICES OF COMODITIES ESSECI,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,20613324,C,HIGH RATE OF UMBANDA CRIME,OTHER BAD (SPECIFY),2013,ALMOST ALL
5,20613324,D,HIGH RATE THEFTY IN THE AREA,OTHER BAD (SPECIFY),2013,ALMOST ALL
6,20613324,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,20613324,A,MASAF PROJECT IN THE AREA,OTHER GOOD (SPECIFY),2013,ALMOST ALL
