occ,y2_hhid,qx_type,interview_status,hh_n09a,hh_n09b,hh_n09c,hh_n10a,hh_n10b,hh_n11,hh_n12a,hh_n12b,hh_n13a,hh_n13b,hh_n14,hh_n15a,hh_n15b,hh_n16a,hh_n16b,hh_n17,hh_n18,hh_n19,hh_n20a,hh_n20b,hh_n21a,hh_n21b,hh_n21c,hh_n22,hh_n23,hh_n24,hh_n25a,hh_n25b,hh_n25c,hh_n25d,hh_n25e,hh_n25f,hh_n25g,hh_n25h,hh_n25i,hh_n25j,hh_n25k,hh_n25l,hh_n25m,hh_n25n,hh_n25o,hh_n25p,hh_n25q,hh_n25r,hh_n25s,hh_n26a,hh_n26b,hh_n27,hh_n28,hh_n29a,hh_n29b,hh_n30a1,hh_n30a2,hh_n30a3,hh_n30a4,hh_n30b1,hh_n30b2,hh_n30b3,hh_n30b4,hh_n30c1,hh_n30c2,hh_n30c3,hh_n30c4,hh_n30d1,hh_n30d2,hh_n30d3,hh_n30d4,hh_n31a1,hh_n31a2,hh_n31a3,hh_n31a4,hh_n31b1,hh_n31b2,hh_n31b3,hh_n31b4,hh_n31c1,hh_n31c2,hh_n31c3,hh_n31c4,hh_n32,hh_n33,hh_n34,hh_n35,hh_n36,hh_n37,hh_n38,hh_n39,hh_n40,hh_n41a,hh_n41b,hh_n41c,hh_n41d,hh_n41e,hh_n41f,hh_n41g,hh_n41h
2,0727-001,PANEL A,Panel A - 2 Visits,2,TRANSPORTATION,71,1,2,2,1,2,0,0,,9,2004,INHERITED,,MOBILE,,,FINAL CONSUMERS,,YES,NO,NO,NO,NO,,,,,AVERAGE,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,,,,,,,YES,,,,1,20,600,12,7,20,600,12,,,,,,,,,1,24,100,7000,0,,,,0,,,,320000,HIGH SALES,,,,,100000,220000,97000,0,0,0,900000,0,0,0,0
1,0727-005,PANEL A,Panel A - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0728-004,PANEL B,Panel B - Combined Visit,1,MANDAZI PREPARATION,31,2,,1,2,,0,0,,6,2013,GIFT FROM FAMILY/FRIENDS,,ROADSIDE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,,,,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,LOW,LOW,AVERAGE,HIGH,,LACK OF CASH,,YES,,,,2,14,560,4,,,,,,,,,,,,,0,,,,0,,,,0,,,,3500,HIGH SALES,,,,,1900,2200,1200,400,1000,300,600,0,0,0,0
1,0729-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0729-003,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0729-007,PANEL A,Panel A - 2 Visits,1,CIGARETE TOBACCO SELLER,62,1,,1,1,,0,0,,8,2012,OTHER (SPECIFY),,MOBILE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,LOW,NONE:NOT IN OPERATION,,,,,LACK OF CASH,,NO,YES,,,1,10,10,1,,,,,,,,,,,,,0,,,,0,,,,0,,,,7000,LOW SALES,0,0,,,,,2200,0,5000,0,0,0,0,0,0
1,0731-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0732-001,PANEL B,Panel B - 2 Visits,1,BICYCLE TAXI,71,1,,1,1,,0,0,,8,2007,OWN-SAVINGS FROM NON-AGRICULTURE,,MOBILE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,,,,AVERAGE,LOW,AVERAGE,LOW,AVERAGE,AVERAGE,LOW,LOW,LOW,LOW,LOW,NONE:NOT IN OPERATION,,OTHER (SPECIFY),,YES,,,,1,6,350,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,8000,LOW SALES,15000,20000,,,,,8000,0,0,0,0,0,0,0,0
2,0732-001,PANEL B,Panel B - 2 Visits,2,SELLS TOMATOES,62,2,,2,2,,0,0,,4,2012,GIFT FROM FAMILY/FRIENDS,,ROADSIDE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,,,,LOW,AVERAGE,AVERAGE,LOW,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,LOW,LOW,AVERAGE,NONE:NOT IN OPERATION,AVERAGE,LOW,,LACK OF CASH,,YES,,,,1,7,600,12,2,4,150,12,,,,,,,,,0,,,,0,,,,0,,,,3000,LOW SALES,2000,4000,,,,,500,0,1000,200,0,0,0,0,0
1,0733-001,PANEL A,Panel A - 2 Visits,1,GROCERY,62,1,,1,1,,0,0,,3,2011,OTHER (SPECIFY),,HOME (OUTSIDE RESIDENCE),,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,HIGH,LOW,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,,,,,,,YES,,,,1,20,420,12,2,4,60,8,3,15,400,9,4,13,270,10,0,,,,0,,,,0,,,,63000,AVERAGE SALES,,,20000,51000,,,20000,0,43000,2000,0,0,0,0,0
2,0733-001,PANEL A,Panel A - 2 Visits,2,NURSERY SCHOOL,93,1,,1,1,,0,0,,12,2011,PROCEEDS FROM ANOTHER BUSINESS,,OTHER FIXED PLACE,NO,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,,,,,,,YES,,,,1,24,960,12,,,,,,,,,,,,,0,,,,2,24,60,16000,0,,,,50000,HIGH SALES,,,,,0,41000,27000,0,0,3000,0,0,3500,0,7000
1,0734-001,PANEL B,Panel B - 2 Visits,1,TIN SMITHING,38,1,,1,1,,0,0,,2,1974,INHERITED,,HOME (OUTSIDE RESIDENCE),,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,LOW,LOW,LOW,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,LOW,LOW,LOW,LOW,HIGH,HIGH,HIGH,,,,,,YES,,,,1,7,30,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,4000,HIGH SALES,,,,,1000,2000,3000,1500,0,0,0,0,0,0,0
1,0735-002,PANEL A,Panel A - Combined Visit,1,TIMBER MAKING,33,1,,2,1,,0,0,,12,2008,PROCEEDS FROM ANOTHER BUSINESS,,OTHER FIXED PLACE,NO,,FINAL CONSUMERS,TRADERS,NO,NO,NO,NO,YES,FOREST/WILD PARK RESERVE,,,,,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,LOW,LOW,LOW,,,,SEASONAL WORK,BAD WEATHER,YES,,,,1,15,390,3,,,,,,,,,,,,,3,26,80,60000,0,,,,0,,,,485000,LOW SALES,275000,650000,,,,,182700,250000,50000,90000,20000,0,0,0,15000
1,0736-001,PANEL B,Panel B - 2 Visits,1,BUYING & SELLING GROCERIE,62,2,,2,2,,0,0,,12,2009,GIFT FROM FAMILY/FRIENDS,,TRADITIONAL MARKET PLACE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,,,,HIGH,AVERAGE,LOW,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,,NOT PROFITABLE,,NO,NO,LACK OF CASH,,2,6,180,3,,,,,,,,,,,,,0,,,,0,,,,0,,,,42000,LOW SALES,456000,556000,,,,,14000,0,28000,0,0,0,0,0,0
1,0737-001,PANEL A,Panel A - 2 Visits,1,IRISH POTATO SELLING,62,2,,2,2,,0,0,,3,2013,NON-AGRICULTURAL CREDIT FROM BANK OR OTHER INSTITUTION,,TRADITIONAL MARKET PLACE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,HIGH,HIGH,,,,,,,OTHER (SPECIFY),,YES,,,,2,20,1800,2,3,4,320,2,4,9,360,2,,,,,0,,,,0,,,,0,,,,24000,HIGH SALES,,,,,0,0,12000,0,8000,4500,0,0,0,0,0
2,0737-001,PANEL A,Panel A - 2 Visits,2,BEANS SELLING,62,2,,2,2,,0,0,,3,2013,NON-AGRICULTURAL CREDIT FROM BANK OR OTHER INSTITUTION,,TRADITIONAL MARKET PLACE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,AVERAGE,AVERAGE,,,,,,,OTHER (SPECIFY),,YES,,,,2,24,2400,2,,,,,,,,,,,,,0,,,,0,,,,0,,,,35000,AVERAGE SALES,,,0,0,,,6000,0,20000,4000,0,0,0,0,0
1,0737-008,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0738-001,PANEL B,Panel B - 2 Visits,1,SELLING BEANS,62,2,,2,2,,0,0,,1,2012,OWN-SAVINGS FROM NON-AGRICULTURE,,HOME (INSIDE RESIDENCE),,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,AVERAGE,AVERAGE,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,LOW,LOW,LOW,LOW,LOW,AVERAGE,AVERAGE,,,,LACK OF CASH,,YES,,,,2,7,50,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,10000,AVERAGE SALES,,,1000,5000,,,2500,0,6000,1000,0,0,0,0,0
1,0740-001,PANEL B,Panel B - 2 Visits,1,BICYCLE TAXI,71,1,,1,1,,0,0,,4,2005,OTHER (SPECIFY),,MOBILE,,,FINAL CONSUMERS,,NO,NO,YES,NO,NO,,,,,,AVERAGE,AVERAGE,AVERAGE,AVERAGE,LOW,LOW,LOW,LOW,LOW,HIGH,HIGH,HIGH,,,,,,YES,,,,1,21,60,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,14000,HIGH SALES,,,,,4000,6000,14000,0,0,0,0,0,0,0,0
1,0742-001,PANEL B,Panel B - 2 Visits,1,CLOTH SELLER,62,1,,1,1,,0,0,,10,1999,OWN-SAVINGS FROM NON-AGRICULTURE,,COMMERCIAL AREA SHOP,NO,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,,AVERAGE,LOW,LOW,LOW,HIGH,AVERAGE,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,HIGH,,,,,,YES,,,,1,6,80,11,,,,,,,,,,,,,0,,,,0,,,,0,,,,150000,HIGH SALES,,,,,65000,75000,40000,0,110000,600,0,0,0,0,0
1,0743-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0744-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0745-001,PANEL A,Panel A - 2 Visits,1,VEGITABLE SELLER,62,2,,2,2,,0,0,,12,2010,OWN-SAVINGS FROM NON-AGRICULTURE,,MOBILE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,AVERAGE,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,AVERAGE,HIGH,HIGH,,,,,,,,,,NO,YES,,,2,7,120,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,2000,AVERAGE SALES,,,1200,4000,,,2600,0,1000,750,0,0,0,0,0
1,0746-001,PANEL B,Panel B - 2 Visits,1,SELLING DOUGHNUTS,31,2,,2,2,,0,0,,1,2012,GIFT FROM FAMILY/FRIENDS,,ROADSIDE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,,LOW,AVERAGE,AVERAGE,HIGH,HIGH,LOW,LOW,HIGH,LOW,LOW,HIGH,AVERAGE,,,,,,YES,,,,2,10,300,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,3000,AVERAGE SALES,,,1500,6000,,,2000,5000,0,600,600,0,0,0,0
1,0746-006,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0747-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0747-003,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0748-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0749-001,PANEL A,Panel A - 2 Visits,1,GROCERY,62,1,2,1,1,2,0,0,,7,2011,OWN-SAVINGS FROM NON-AGRICULTURE,,HOME (OUTSIDE RESIDENCE),,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,AVERAGE,AVERAGE,LOW,HIGH,AVERAGE,AVERAGE,LOW,HIGH,HIGH,HIGH,AVERAGE,AVERAGE,AVERAGE,,,,,,,,,YES,,,,1,6,40,12,2,6,70,12,,,,,,,,,0,,,,0,,,,0,,,,10000,AVERAGE SALES,,,7000,14000,,,4000,0,5000,0,0,0,0,0,0
1,0750-001,PANEL B,Panel B - 2 Visits,1,GROCERY,62,1,2,1,1,,0,0,,2,2008,OWN-SAVINGS FROM AGRICULTURE,,HOME (OUTSIDE RESIDENCE),,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,AVERAGE,AVERAGE,AVERAGE,HIGH,HIGH,AVERAGE,AVERAGE,,,,,,YES,,,,1,18,130,12,2,21,90,12,3,5,40,7,4,8,60,4,0,,,,0,,,,0,,,,65000,AVERAGE SALES,,,40000,80000,,,25000,0,46000,10000,0,0,0,0,0
1,0751-001,PANEL A,Panel A - 2 Visits,1,STONE SELLER,29,2,,2,2,,0,0,,10,2012,GIFT FROM FAMILY/FRIENDS,,ROADSIDE,,,FINAL CONSUMERS,LARGE ESTABLISHED BUSINESSES/INSTITUTIONS,NO,NO,NO,NO,NO,,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,AVERAGE,AVERAGE,AVERAGE,AVERAGE,,,,,,,,,,YES,,,,2,7,100,7,,,,,,,,,,,,,0,,,,0,,,,0,,,,3000,AVERAGE SALES,,,1500,3000,,,1500,2000,1000,1000,0,0,0,0,0
1,0752-001,PANEL B,Panel B - 2 Visits,1,TIN SMITH,38,1,,1,1,,0,0,,2,1980,PROCEEDS FROM ANOTHER BUSINESS,,HOME (OUTSIDE RESIDENCE),,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,,HIGH,HIGH,HIGH,HIGH,LOW,LOW,AVERAGE,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,,,,,,YES,,,,1,7,70,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,20000,HIGH SALES,,,,,5000,30000,10000,0,0,600,0,0,0,0,10000
1,0752-004,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0753-001,PANEL A,Panel A - 2 Visits,1,CARPENTRY,33,1,,2,1,,0,0,,4,1990,OWN-SAVINGS FROM NON-AGRICULTURE,,HOME (OUTSIDE RESIDENCE),,,FINAL CONSUMERS,,NO,NO,NO,NO,YES,FOREST/WILD PARK RESERVE,LOW,LOW,AVERAGE,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,,,,,,,,,,YES,,,,1,24,890,12,,,,,,,,,,,,,2,15,50,14000,0,,,,0,,,,200000,LOW SALES,90000,160000,,,,,56000,20000,7000,2000,1000,0,0,0,1200
1,0754-001,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0755-001,PANEL A,Panel A - 2 Visits,1,BUILDING CONTRACTOR,50,1,,1,1,,0,0,,12,2000,PROCEEDS FROM ANOTHER BUSINESS,,MOBILE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,LOW,LOW,LOW,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,HIGH,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,,,,,,,,LACK OF NON-LABOUR INPUTS,,NO,YES,,,1,20,630,10,,,,,,,,,,,,,6,10,80,25000,0,,,,0,,,,65000,HIGH SALES,,,,,40000,70000,45000,2000,3000,2000,0,0,0,0,0
1,0756-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0757-001,PANEL A,Panel A - 2 Visits,1,RICE SELLER,62,1,2,2,1,,0,0,,4,2000,PROCEEDS FROM ANOTHER BUSINESS,,TRADITIONAL MARKET PLACE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,AVERAGE,LOW,LOW,AVERAGE,AVERAGE,AVERAGE,HIGH,HIGH,LOW,LOW,HIGH,HIGH,,,,,,,,,YES,,,,1,27,2160,12,2,20,1200,12,,,,,,,,,0,,,,0,,,,0,,,,580000,HIGH SALES,,,,,85000,140000,120000,2000,40000,8000,0,0,0,0,12000
1,0758-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0759-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0759-004,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0759-005,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0759-008,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0760-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0760-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0761-001,PANEL A,Panel A - 2 Visits,1,QUARRYING,29,1,,1,1,,0,0,,6,2000,OWN-SAVINGS FROM NON-AGRICULTURE,,TRADITIONAL MARKET PLACE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,LOW,LOW,LOW,AVERAGE,,,,,,,,,,YES,,,,1,6,30,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,10000,AVERAGE SALES,,,5000,0,,,5000,0,5000,0,0,0,0,0,0
1,0762-001,PANEL B,Panel B - 2 Visits,1,GROCERY,62,2,,2,2,,0,0,,10,2012,OWN-SAVINGS FROM NON-AGRICULTURE,,HOME (OUTSIDE RESIDENCE),,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,HIGH,HIGH,HIGH,AVERAGE,LOW,AVERAGE,AVERAGE,LOW,AVERAGE,LOW,,,,LACK OF CASH,,YES,,,,2,6,90,11,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,7000,LOW SALES,3000,12000,,,,,600,0,6450,350,0,0,0,0,0
1,0763-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0764-001,PANEL B,Panel B - 2 Visits,1,OWNS GROCERY SHOP,62,2,,2,2,,0,0,,10,2010,OWN-SAVINGS FROM NON-AGRICULTURE,,HOME (INSIDE RESIDENCE),,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,AVERAGE,AVERAGE,AVERAGE,AVERAGE,HIGH,HIGH,AVERAGE,LOW,LOW,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,HIGH,,,,,,YES,,,,2,6,80,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,25000,HIGH SALES,,,,,3000,9000,1000,0,12440,450,0,0,0,0,0
1,0764-003,PANEL B,Panel B - 2 Visits,1,OWN BICYCLE TAX,71,1,,2,1,,0,0,,7,2013,OWN-SAVINGS FROM NON-AGRICULTURE,,TRADITIONAL MARKET PLACE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,LOW,,,,LACK OF CASH,,YES,,,,1,6,60,1,,,,,,,,,,,,,0,,,,0,,,,0,,,,9000,LOW SALES,0,0,,,,,7000,0,0,0,0,0,0,0,2000
1,0765-001,PANEL A,Panel A - 2 Visits,1,GROCERY,62,2,,2,1,,0,0,,11,2000,OTHER (SPECIFY),,HOME (INSIDE RESIDENCE),,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,,,,,,,,,,YES,,,,2,30,900,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,60000,LOW SALES,10000,65000,,,,,5000,0,25000,2000,0,0,0,0,0
1,0766-001,PANEL B,Panel B - 2 Visits,1,ZITUMBUWA BUSINESS,31,2,,2,2,,0,0,,6,2013,OWN-SAVINGS FROM AGRICULTURE,,ROADSIDE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,,,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,LOW,AVERAGE,HIGH,,,LACK OF CASH,,YES,,,,1,20,140,3,6,10,80,3,7,5,70,3,,,,,0,,,,0,,,,0,,,,2000,HIGH SALES,,,,,500,1500,700,1300,0,0,0,0,0,0,0
1,0766-003,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0767-001,PANEL A,Panel A - 2 Visits,1,FLOUR SELLER,62,1,,1,1,,0,0,,3,2008,OWN-SAVINGS FROM NON-AGRICULTURE,NON-AGRICULTURAL CREDIT FROM BANK OR OTHER INSTITUTION,HOME (OUTSIDE RESIDENCE),,,FINAL CONSUMERS,OTHER SMALL BUSINESSES,NO,NO,NO,NO,NO,,LOW,LOW,LOW,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,,,,,,,,,,YES,,,,1,7,140,12,2,14,50,2,,,,,,,,,0,,,,0,,,,0,,,,50000,HIGH SALES,,,,,20000,23000,7000,15000,4000,3000,0,360,0,0,0
1,0768-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0769-001,PANEL A,Panel A - Combined Visit,1,BUYING & SELLING CELL PHO,62,1,,2,1,,0,0,,11,2012,GIFT FROM FAMILY/FRIENDS,,ROADSIDE,,,TRADERS,,NO,NO,NO,NO,NO,,,,,,,,,LOW,HIGH,HIGH,AVERAGE,AVERAGE,HIGH,HIGH,AVERAGE,LOW,LOW,NONE:NOT IN OPERATION,LOW,LACK OF CASH,,YES,,,,1,26,480,10,,,,,,,,,,,,,0,,,,0,,,,0,,,,26000,LOW SALES,8000,22000,,,,,12000,0,2500,0,1750,0,0,0,0
