occ,y2_hhid,qx_type,interview_status,ag_u300a,ag_u300b,ag_u301,ag_u302,ag_u303,ag_u304,ag_u305
25,0246-001,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0246-001,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,X,,,,
27,0246-001,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,,X,,,
28,0246-001,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,X,,,,
1,0247-002,PANEL A,Panel A - 2 Visits,,,,,,,
1,0248-001,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,,X,,,
2,0248-001,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,,X,,,
3,0248-001,PANEL B,Panel B - 2 Visits,3,I save regularly.,,,,,X
4,0248-001,PANEL B,Panel B - 2 Visits,4,I look forward to returni,X,,,,
5,0248-001,PANEL B,Panel B - 2 Visits,5,I can think of many times,,,X,,
6,0248-001,PANEL B,Panel B - 2 Visits,6,I continue to work on har,,,,,X
7,0248-001,PANEL B,Panel B - 2 Visits,7,I like to juggle several,X,,,,
8,0248-001,PANEL B,Panel B - 2 Visits,8,I would rather complete a,,,,X,
9,0248-001,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,,,,X,
10,0248-001,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,,X,,,
11,0248-001,PANEL B,Panel B - 2 Visits,11,I never try anything that,X,,,,
12,0248-001,PANEL B,Panel B - 2 Visits,12,A person can get rich by,,,X,,
13,0248-001,PANEL B,Panel B - 2 Visits,13,It is important for me to,,X,,,
14,0248-001,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,,X,,,
15,0248-001,PANEL B,Panel B - 2 Visits,15,When a group I belong to,,,,,X
16,0248-001,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,,X,,,
17,0248-001,PANEL B,Panel B - 2 Visits,17,It is important to me to,,,X,,
18,0248-001,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,,,,X,
19,0248-001,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,,,,X,
20,0248-001,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,,,,X,
21,0248-001,PANEL B,Panel B - 2 Visits,21,The most important thing,X,,,,
22,0248-001,PANEL B,Panel B - 2 Visits,22,My family and friends wou,,,X,,
23,0248-001,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,,,,X,
24,0248-001,PANEL B,Panel B - 2 Visits,24,If something can go wrong,,X,,,
25,0248-001,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,,,X,,
26,0248-001,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,,,X,,
27,0248-001,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,,X,,,
28,0248-001,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,X,,,,
1,0249-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0250-001,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0250-001,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,,X,,,
3,0250-001,PANEL B,Panel B - 2 Visits,3,I save regularly.,X,,,,
4,0250-001,PANEL B,Panel B - 2 Visits,4,I look forward to returni,,X,,,
5,0250-001,PANEL B,Panel B - 2 Visits,5,I can think of many times,,,X,,
6,0250-001,PANEL B,Panel B - 2 Visits,6,I continue to work on har,,X,,,
7,0250-001,PANEL B,Panel B - 2 Visits,7,I like to juggle several,,,X,,
8,0250-001,PANEL B,Panel B - 2 Visits,8,I would rather complete a,,X,,,
9,0250-001,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,X,,,,
10,0250-001,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,,,X,,
11,0250-001,PANEL B,Panel B - 2 Visits,11,I never try anything that,X,,,,
12,0250-001,PANEL B,Panel B - 2 Visits,12,A person can get rich by,,,X,,
13,0250-001,PANEL B,Panel B - 2 Visits,13,It is important for me to,,X,,,
14,0250-001,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,X,,,,
15,0250-001,PANEL B,Panel B - 2 Visits,15,When a group I belong to,,X,,,
16,0250-001,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,,,X,,
17,0250-001,PANEL B,Panel B - 2 Visits,17,It is important to me to,,X,,,
18,0250-001,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,,X,,,
19,0250-001,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,,,X,,
20,0250-001,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,,X,,,
21,0250-001,PANEL B,Panel B - 2 Visits,21,The most important thing,,X,,,
22,0250-001,PANEL B,Panel B - 2 Visits,22,My family and friends wou,,,X,,
23,0250-001,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,,X,,,
24,0250-001,PANEL B,Panel B - 2 Visits,24,If something can go wrong,,,X,,
25,0250-001,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,,,X,,
26,0250-001,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,,X,,,
27,0250-001,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,,X,,,
28,0250-001,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,,X,,,
1,0252-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0252-002,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,,,,X,
2,0252-002,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,,X,,,
3,0252-002,PANEL B,Panel B - 2 Visits,3,I save regularly.,,,,,X
4,0252-002,PANEL B,Panel B - 2 Visits,4,I look forward to returni,,X,,,
5,0252-002,PANEL B,Panel B - 2 Visits,5,I can think of many times,,,X,,
6,0252-002,PANEL B,Panel B - 2 Visits,6,I continue to work on har,,,X,,
7,0252-002,PANEL B,Panel B - 2 Visits,7,I like to juggle several,,X,,,
8,0252-002,PANEL B,Panel B - 2 Visits,8,I would rather complete a,,,X,,
9,0252-002,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,,X,,,
10,0252-002,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,,,,,X
11,0252-002,PANEL B,Panel B - 2 Visits,11,I never try anything that,,,X,,
12,0252-002,PANEL B,Panel B - 2 Visits,12,A person can get rich by,,X,,,
13,0252-002,PANEL B,Panel B - 2 Visits,13,It is important for me to,,X,,,
14,0252-002,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,,X,,,
15,0252-002,PANEL B,Panel B - 2 Visits,15,When a group I belong to,,X,,,
16,0252-002,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,,,X,,
17,0252-002,PANEL B,Panel B - 2 Visits,17,It is important to me to,,X,,,
18,0252-002,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,,X,,,
19,0252-002,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,X,,,,
20,0252-002,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,,X,,,
21,0252-002,PANEL B,Panel B - 2 Visits,21,The most important thing,,X,,,
22,0252-002,PANEL B,Panel B - 2 Visits,22,My family and friends wou,,,X,,
23,0252-002,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,X,,,,
24,0252-002,PANEL B,Panel B - 2 Visits,24,If something can go wrong,,X,,,
25,0252-002,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,X,,,,
26,0252-002,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,X,,,,
27,0252-002,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,X,,,,
28,0252-002,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,X,,,,
1,0254-001,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,,X,,,
2,0254-001,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,,X,,,
3,0254-001,PANEL B,Panel B - 2 Visits,3,I save regularly.,X,,,,
4,0254-001,PANEL B,Panel B - 2 Visits,4,I look forward to returni,,,X,,
5,0254-001,PANEL B,Panel B - 2 Visits,5,I can think of many times,,X,,,
6,0254-001,PANEL B,Panel B - 2 Visits,6,I continue to work on har,X,,,,
7,0254-001,PANEL B,Panel B - 2 Visits,7,I like to juggle several,,,X,,
8,0254-001,PANEL B,Panel B - 2 Visits,8,I would rather complete a,,X,,,
9,0254-001,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,X,,,,
10,0254-001,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,,X,,,
11,0254-001,PANEL B,Panel B - 2 Visits,11,I never try anything that,,,,X,
12,0254-001,PANEL B,Panel B - 2 Visits,12,A person can get rich by,,X,,,
13,0254-001,PANEL B,Panel B - 2 Visits,13,It is important for me to,X,,,,
14,0254-001,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,,X,,,
15,0254-001,PANEL B,Panel B - 2 Visits,15,When a group I belong to,X,,,,
16,0254-001,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,,,X,,
17,0254-001,PANEL B,Panel B - 2 Visits,17,It is important to me to,,X,,,
18,0254-001,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,X,,,,
19,0254-001,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,,X,,,
20,0254-001,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,X,,,,
21,0254-001,PANEL B,Panel B - 2 Visits,21,The most important thing,,X,,,
22,0254-001,PANEL B,Panel B - 2 Visits,22,My family and friends wou,X,,,,
23,0254-001,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,,X,,,
24,0254-001,PANEL B,Panel B - 2 Visits,24,If something can go wrong,,,X,,
25,0254-001,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0254-001,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,X,,,,
27,0254-001,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,,X,,,
28,0254-001,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,X,,,,
1,0254-010,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0254-010,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,,X,,,
3,0254-010,PANEL B,Panel B - 2 Visits,3,I save regularly.,,X,,,
4,0254-010,PANEL B,Panel B - 2 Visits,4,I look forward to returni,,X,,,
5,0254-010,PANEL B,Panel B - 2 Visits,5,I can think of many times,X,,,,
6,0254-010,PANEL B,Panel B - 2 Visits,6,I continue to work on har,,,X,,
7,0254-010,PANEL B,Panel B - 2 Visits,7,I like to juggle several,,X,,,
8,0254-010,PANEL B,Panel B - 2 Visits,8,I would rather complete a,X,,,,
9,0254-010,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,,,,X,
10,0254-010,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,,,X,,
11,0254-010,PANEL B,Panel B - 2 Visits,11,I never try anything that,,X,,,
12,0254-010,PANEL B,Panel B - 2 Visits,12,A person can get rich by,,X,,,
13,0254-010,PANEL B,Panel B - 2 Visits,13,It is important for me to,X,,,,
14,0254-010,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,,X,,,
15,0254-010,PANEL B,Panel B - 2 Visits,15,When a group I belong to,X,,,,
16,0254-010,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,,,X,,
17,0254-010,PANEL B,Panel B - 2 Visits,17,It is important to me to,,X,,,
18,0254-010,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,X,,,,
19,0254-010,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,,X,,,
20,0254-010,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,,,X,,
21,0254-010,PANEL B,Panel B - 2 Visits,21,The most important thing,,X,,,
22,0254-010,PANEL B,Panel B - 2 Visits,22,My family and friends wou,,,X,,
23,0254-010,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,,X,,,
24,0254-010,PANEL B,Panel B - 2 Visits,24,If something can go wrong,,,X,,
25,0254-010,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0254-010,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,X,,,,
27,0254-010,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,X,,,,
28,0254-010,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,X,,,,
1,0256-002,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0256-002,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,,X,,,
3,0256-002,PANEL B,Panel B - 2 Visits,3,I save regularly.,,,X,,
4,0256-002,PANEL B,Panel B - 2 Visits,4,I look forward to returni,,X,,,
5,0256-002,PANEL B,Panel B - 2 Visits,5,I can think of many times,X,,,,
6,0256-002,PANEL B,Panel B - 2 Visits,6,I continue to work on har,,,X,,
7,0256-002,PANEL B,Panel B - 2 Visits,7,I like to juggle several,,X,,,
8,0256-002,PANEL B,Panel B - 2 Visits,8,I would rather complete a,,,X,,
9,0256-002,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,X,,,,
10,0256-002,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,,X,,,
11,0256-002,PANEL B,Panel B - 2 Visits,11,I never try anything that,,,X,,
12,0256-002,PANEL B,Panel B - 2 Visits,12,A person can get rich by,X,,,,
13,0256-002,PANEL B,Panel B - 2 Visits,13,It is important for me to,,X,,,
14,0256-002,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,,,X,,
15,0256-002,PANEL B,Panel B - 2 Visits,15,When a group I belong to,,,,,X
16,0256-002,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,,,X,,
17,0256-002,PANEL B,Panel B - 2 Visits,17,It is important to me to,,,,X,
18,0256-002,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,,X,,,
19,0256-002,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,X,,,,
20,0256-002,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,,X,,,
21,0256-002,PANEL B,Panel B - 2 Visits,21,The most important thing,X,,,,
22,0256-002,PANEL B,Panel B - 2 Visits,22,My family and friends wou,X,,,,
23,0256-002,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,X,,,,
24,0256-002,PANEL B,Panel B - 2 Visits,24,If something can go wrong,,X,,,
25,0256-002,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0256-002,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,X,,,,
27,0256-002,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,X,,,,
28,0256-002,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,X,,,,
1,0256-007,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,,X,,,
2,0256-007,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,X,,,,
3,0256-007,PANEL B,Panel B - 2 Visits,3,I save regularly.,,X,,,
4,0256-007,PANEL B,Panel B - 2 Visits,4,I look forward to returni,X,,,,
5,0256-007,PANEL B,Panel B - 2 Visits,5,I can think of many times,,,X,,
6,0256-007,PANEL B,Panel B - 2 Visits,6,I continue to work on har,,X,,,
7,0256-007,PANEL B,Panel B - 2 Visits,7,I like to juggle several,X,,,,
8,0256-007,PANEL B,Panel B - 2 Visits,8,I would rather complete a,,X,,,
9,0256-007,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,,,,X,
10,0256-007,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,,,X,,
11,0256-007,PANEL B,Panel B - 2 Visits,11,I never try anything that,X,,,,
12,0256-007,PANEL B,Panel B - 2 Visits,12,A person can get rich by,,X,,,
13,0256-007,PANEL B,Panel B - 2 Visits,13,It is important for me to,,X,,,
14,0256-007,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,,,X,,
15,0256-007,PANEL B,Panel B - 2 Visits,15,When a group I belong to,X,,,,
16,0256-007,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,,X,,,
17,0256-007,PANEL B,Panel B - 2 Visits,17,It is important to me to,X,,,,
18,0256-007,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,,,X,,
19,0256-007,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,,X,,,
20,0256-007,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,X,,,,
21,0256-007,PANEL B,Panel B - 2 Visits,21,The most important thing,,X,,,
22,0256-007,PANEL B,Panel B - 2 Visits,22,My family and friends wou,X,,,,
23,0256-007,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,,,X,,
24,0256-007,PANEL B,Panel B - 2 Visits,24,If something can go wrong,,,,X,
25,0256-007,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0256-007,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,X,,,,
27,0256-007,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,,X,,,
28,0256-007,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,,,X,,
1,0257-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0258-001,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0258-001,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,,X,,,
3,0258-001,PANEL B,Panel B - 2 Visits,3,I save regularly.,,,,,X
4,0258-001,PANEL B,Panel B - 2 Visits,4,I look forward to returni,,X,,,
5,0258-001,PANEL B,Panel B - 2 Visits,5,I can think of many times,,X,,,
6,0258-001,PANEL B,Panel B - 2 Visits,6,I continue to work on har,,X,,,
7,0258-001,PANEL B,Panel B - 2 Visits,7,I like to juggle several,,X,,,
8,0258-001,PANEL B,Panel B - 2 Visits,8,I would rather complete a,,X,,,
9,0258-001,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,X,,,,
10,0258-001,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,X,,,,
11,0258-001,PANEL B,Panel B - 2 Visits,11,I never try anything that,X,,,,
12,0258-001,PANEL B,Panel B - 2 Visits,12,A person can get rich by,,X,,,
13,0258-001,PANEL B,Panel B - 2 Visits,13,It is important for me to,,X,,,
14,0258-001,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,X,,,,
15,0258-001,PANEL B,Panel B - 2 Visits,15,When a group I belong to,,,X,,
16,0258-001,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,X,,,,
17,0258-001,PANEL B,Panel B - 2 Visits,17,It is important to me to,X,,,,
18,0258-001,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,,,,X,
19,0258-001,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,,,,,X
20,0258-001,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,,,X,,
21,0258-001,PANEL B,Panel B - 2 Visits,21,The most important thing,X,,,,
22,0258-001,PANEL B,Panel B - 2 Visits,22,My family and friends wou,,X,,,
23,0258-001,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,X,,,,
24,0258-001,PANEL B,Panel B - 2 Visits,24,If something can go wrong,,X,,,
25,0258-001,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0258-001,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,,X,,,
27,0258-001,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,,X,,,
28,0258-001,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,X,,,,
1,0259-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0260-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0261-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0262-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0263-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0264-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0265-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0266-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0267-002,PANEL A,Panel A - 2 Visits,,,,,,,
1,0268-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0269-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0270-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0271-001,PANEL A,Panel A - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0271-001,PANEL A,Panel A - 2 Visits,2,I make up my mind quickly,,X,,,
3,0271-001,PANEL A,Panel A - 2 Visits,3,I save regularly.,,X,,,
4,0271-001,PANEL A,Panel A - 2 Visits,4,I look forward to returni,,X,,,
5,0271-001,PANEL A,Panel A - 2 Visits,5,I can think of many times,,X,,,
6,0271-001,PANEL A,Panel A - 2 Visits,6,I continue to work on har,,X,,,
7,0271-001,PANEL A,Panel A - 2 Visits,7,I like to juggle several,,X,,,
8,0271-001,PANEL A,Panel A - 2 Visits,8,I would rather complete a,,X,,,
9,0271-001,PANEL A,Panel A - 2 Visits,9,I believe it is best to c,,X,,,
10,0271-001,PANEL A,Panel A - 2 Visits,10,It is difficult to know w,,X,,,
11,0271-001,PANEL A,Panel A - 2 Visits,11,I never try anything that,,X,,,
12,0271-001,PANEL A,Panel A - 2 Visits,12,A person can get rich by,X,,,,
13,0271-001,PANEL A,Panel A - 2 Visits,13,It is important for me to,X,,,,
14,0271-001,PANEL A,Panel A - 2 Visits,14,Part of my enjoyment in d,,,,X,
15,0271-001,PANEL A,Panel A - 2 Visits,15,When a group I belong to,,,,X,
16,0271-001,PANEL A,Panel A - 2 Visits,16,I try harder when I'm in,,,,,
17,0271-001,PANEL A,Panel A - 2 Visits,17,It is important to me to,,,X,,
18,0271-001,PANEL A,Panel A - 2 Visits,18,I enjoy planning things a,,,,,X
19,0271-001,PANEL A,Panel A - 2 Visits,19,I find satisfaction in ha,,,X,,
20,0271-001,PANEL A,Panel A - 2 Visits,20,I like to have a lot of c,,,,,X
21,0271-001,PANEL A,Panel A - 2 Visits,21,The most important thing,X,,,,
22,0271-001,PANEL A,Panel A - 2 Visits,22,My family and friends wou,,,X,,
23,0271-001,PANEL A,Panel A - 2 Visits,23,In uncertain times I usua,,,,X,
24,0271-001,PANEL A,Panel A - 2 Visits,24,If something can go wrong,X,,,,
25,0271-001,PANEL A,Panel A - 2 Visits,25,I'm always optimistic abo,X,,,,
26,0271-001,PANEL A,Panel A - 2 Visits,26,I hardly ever expect thin,,X,,,
27,0271-001,PANEL A,Panel A - 2 Visits,27,I rarely count on good th,,,X,,
28,0271-001,PANEL A,Panel A - 2 Visits,28,Overall I expect more goo,,X,,,
1,0272-003,PANEL B,Panel B - 2 Visits,,,,,,,
1,0273-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0274-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0275-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0276-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0277-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0278-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0278-003,PANEL B,Panel B - 2 Visits,,,,,,,
1,0279-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0280-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0281-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0282-001,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0282-001,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,X,,,,
3,0282-001,PANEL B,Panel B - 2 Visits,3,I save regularly.,X,,,,
4,0282-001,PANEL B,Panel B - 2 Visits,4,I look forward to returni,X,,,,
5,0282-001,PANEL B,Panel B - 2 Visits,5,I can think of many times,X,,,,
6,0282-001,PANEL B,Panel B - 2 Visits,6,I continue to work on har,X,,,,
7,0282-001,PANEL B,Panel B - 2 Visits,7,I like to juggle several,,,,,X
8,0282-001,PANEL B,Panel B - 2 Visits,8,I would rather complete a,X,,,,
9,0282-001,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,X,,,,
10,0282-001,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,X,,,,
11,0282-001,PANEL B,Panel B - 2 Visits,11,I never try anything that,,X,,,
12,0282-001,PANEL B,Panel B - 2 Visits,12,A person can get rich by,X,,,,
13,0282-001,PANEL B,Panel B - 2 Visits,13,It is important for me to,X,,,,
14,0282-001,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,X,,,,
15,0282-001,PANEL B,Panel B - 2 Visits,15,When a group I belong to,,X,,,
16,0282-001,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,X,,,,
17,0282-001,PANEL B,Panel B - 2 Visits,17,It is important to me to,,X,,,
18,0282-001,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,,X,,,
19,0282-001,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,,,X,,
20,0282-001,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,X,,,,
21,0282-001,PANEL B,Panel B - 2 Visits,21,The most important thing,,X,,,
22,0282-001,PANEL B,Panel B - 2 Visits,22,My family and friends wou,,,X,,
23,0282-001,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,X,,,,
24,0282-001,PANEL B,Panel B - 2 Visits,24,If something can go wrong,,,,,X
25,0282-001,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0282-001,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,X,,,,
27,0282-001,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,X,,,,
28,0282-001,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,X,,,,
1,0283-002,PANEL A,Panel A - 2 Visits,,,,,,,
1,0284-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0285-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0286-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0287-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0288-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0289-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0289-003,PANEL A,Panel A - Combined Visit,,,,,,,
1,0290-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0290-002,PANEL B,Panel B - 2 Visits,,,,,,,
1,0291-002,PANEL A,Panel A - 2 Visits,,,,,,,
1,0292-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0293-002,PANEL A,Panel A - 2 Visits,,,,,,,
1,0295-001,PANEL A,Panel A - 2 Visits,1,I plan tasks carefully.,,X,,,
2,0295-001,PANEL A,Panel A - 2 Visits,2,I make up my mind quickly,,,X,,
3,0295-001,PANEL A,Panel A - 2 Visits,3,I save regularly.,X,,,,
4,0295-001,PANEL A,Panel A - 2 Visits,4,I look forward to returni,X,,,,
5,0295-001,PANEL A,Panel A - 2 Visits,5,I can think of many times,,X,,,
6,0295-001,PANEL A,Panel A - 2 Visits,6,I continue to work on har,,X,,,
7,0295-001,PANEL A,Panel A - 2 Visits,7,I like to juggle several,,X,,,
8,0295-001,PANEL A,Panel A - 2 Visits,8,I would rather complete a,,,X,,
9,0295-001,PANEL A,Panel A - 2 Visits,9,I believe it is best to c,,,X,,
10,0295-001,PANEL A,Panel A - 2 Visits,10,It is difficult to know w,,,X,,
11,0295-001,PANEL A,Panel A - 2 Visits,11,I never try anything that,,,X,,
12,0295-001,PANEL A,Panel A - 2 Visits,12,A person can get rich by,,,X,,
13,0295-001,PANEL A,Panel A - 2 Visits,13,It is important for me to,,,X,,
14,0295-001,PANEL A,Panel A - 2 Visits,14,Part of my enjoyment in d,X,,,,
15,0295-001,PANEL A,Panel A - 2 Visits,15,When a group I belong to,,X,,,
16,0295-001,PANEL A,Panel A - 2 Visits,16,I try harder when I'm in,,,X,,
17,0295-001,PANEL A,Panel A - 2 Visits,17,It is important to me to,,,X,,
18,0295-001,PANEL A,Panel A - 2 Visits,18,I enjoy planning things a,,,X,,
