y2_hhid,ag_c00,dist_hh,slope,elevation,twi
0999-001,R02,.2,11,1240,13
0999-001,R03,.2,10,1240,13
1000-001,R01,0,8,860,17
1000-001,R02,0,8,860,16
1000-001,R03,.1,7,850,12
1000-001,R04,.2,6,860,14
1000-001,R05,.2,6,860,13
1000-001,R06,.2,7,850,14
1000-001,R07,.2,7,850,14
1001-001,R01,.4,4,1220,12
1002-001,R01,1.2,6,800,12
1002-001,R02,.7,11,840,12
1002-001,R03,.8,11,840,12
1003-001,R01,.2,7,1180,15
1003-001,R02,1.7,4,1240,12
1004-001,R01,.3,10,830,12
1004-001,R02,.3,9,830,13
1005-001,R01,1.6,9,1230,12
1005-001,R02,1.4,6,1210,13
1005-001,R03,.4,9,1180,12
1006-001,R01,1.5,5,820,12
1006-001,R02,1.4,4,820,12
1007-001,R01,.4,7,1230,12
1007-001,R02,.1,17,1260,12
1007-001,R03,.5,9,1220,12
1007-003,R01,.2,4,1190,16
1007-003,R02,.2,4,1190,16
1007-003,R03,.2,4,1190,16
1008-001,R01,1.5,12,880,12
1008-001,R02,1.5,10,880,11
1008-001,R03,1.1,8,970,13
1008-001,R04,1.1,8,970,13
1008-001,R05,1.1,8,970,12
1009-001,R01,1,4,1220,12
1009-001,R02,1.2,4,1220,13
1009-001,R03,1.1,4,1220,12
1010-001,R01,.8,2,820,12
1010-001,R02,.8,3,820,12
1011-001,R01,.6,7,1230,12
1011-001,R02,.7,9,1230,12
1011-001,R03,0,15,1270,13
1012-001,R01,.6,7,820,12
1012-001,R02,.7,5,820,12
1013-001,R01,.1,11,1210,12
1013-001,R02,.1,9,1210,12
1014-001,R01,.5,6,810,17
1015-001,R01,.7,3,1230,13
1015-001,R02,.3,14,1260,12
1016-001,R01,1.4,17,840,12
1016-001,R02,1.7,13,820,14
1016-001,R03,1.5,9,830,12
1016-001,R04,0,13,860,11
1017-001,R01,.3,7,1170,13
1017-001,R02,2.2,4,1200,12
1017-001,R03,.9,3,1210,13
1017-001,R04,35.7,3,1250,13
1018-001,R01,.2,2,530,12
1018-001,R02,.2,3,530,13
1018-001,R03,0,3,530,13
1018-002,R01,.2,4,840,13
1018-002,R02,.1,4,840,12
1018-002,R03,.1,4,840,14
1019-001,R01,.7,6,1200,13
1019-001,R02,.7,3,1200,12
1020-001,R01,.1,7,860,13
1020-001,R02,.1,8,860,13
1020-003,R01,0,5,600,16
1020-003,R02,1.7,9,610,17
1021-001,R01,.6,5,1220,12
1021-001,R02,1.9,11,1190,12
1021-001,R03,1.9,12,1180,12
1022-001,R01,.6,4,1340,13
1022-001,R02,.5,4,1340,13
1022-001,R03,72.2,5,1120,15
1022-001,R04,.6,5,1360,12
1022-003,R01,.4,5,1360,12
1022-003,R02,.4,5,1360,12
1023-001,R01,1,5,1200,14
1023-001,R02,1,5,1200,13
1024-001,R01,.6,1,1360,14
1024-001,R02,.7,2,1360,13
1025-001,R01,.3,1,1180,15
1025-001,R02,0,3,1180,14
1025-001,R03,0,3,1180,14
1025-003,R01,2.5,3,1130,14
1026-001,R01,.6,2,1380,12
1026-003,R01,.7,1,1040,14
1026-003,R02,.1,1,1050,14
1026-003,R03,.3,1,1050,15
1027-001,R01,.1,1,1180,14
1027-001,R02,.3,2,1180,13
1028-001,R01,1.1,4,1370,14
1028-001,R02,1.1,4,1370,14
1029-001,R01,.9,3,1190,14
1030-001,R01,.5,4,1350,12
1030-001,R02,.1,3,1350,13
1030-003,R01,.5,5,1350,12
1030-003,R02,.2,2,1340,15
1030-003,R03,.6,4,1360,13
1030-003,R04,1.5,4,1330,16
1031-001,R01,.9,4,1170,14
1031-001,R02,.6,1,1200,15
1031-001,R03,.6,1,1200,15
1032-001,R01,.4,5,1370,13
1033-001,R01,.1,1,1190,14
1033-001,R02,.1,1,1190,14
1033-001,R03,.1,2,1190,13
1034-002,R01,.7,3,1330,14
1034-002,R02,.4,3,1310,13
1035-001,R01,.3,4,1180,15
1035-001,R02,.9,2,1170,15
1035-001,R03,.3,4,1180,15
1036-001,R01,.3,4,1340,13
1036-001,R02,2.1,2,1320,15
1036-001,R03,2.2,4,1320,14
1036-001,R04,4,3,1320,14
1036-007,R01,1.2,4,1380,13
1036-007,R02,2.6,5,1360,14
1036-007,R03,.4,4,1360,13
1037-001,R01,.4,5,1180,14
1038-001,R01,1.1,5,1380,13
1038-001,R02,1.2,3,1390,13
1038-001,R03,.5,5,1360,13
1039-001,R01,0,2,1180,14
1040-001,R01,.1,3,1340,13
1040-001,R02,0,4,1340,13
1040-001,R03,.1,4,1340,13
1040-001,R04,.1,4,1340,13
1040-001,R05,.1,4,1340,13
1041-001,R01,.3,5,1180,14
1042-001,R01,.7,4,1360,15
1042-001,R02,.2,1,1380,14
1042-004,R01,.1,4,1340,14
1044-001,R01,.6,3,1360,13
1044-001,R02,.5,3,1360,14
1045-001,R01,.1,1,1190,14
1045-001,R02,.6,5,1180,14
1046-001,R01,.1,3,1340,13
1046-001,R02,.3,3,1340,18
1046-001,R03,.3,3,1340,18
1046-002,R01,.4,4,1340,13
1046-002,R02,0,4,1340,12
1047-001,R01,.7,6,1300,13
1047-001,R02,.7,7,1300,13
1048-001,R01,2.3,6,1370,13
1048-001,R02,2.3,6,1370,13
1048-001,R03,2.3,6,1370,13
1049-001,R01,.2,3,1180,14
1049-001,R02,.2,3,1180,14
1050-001,R01,.4,2,1390,13
1051-001,R01,.3,1,1200,14
1051-001,R02,.1,1,1200,15
1051-001,R03,0,0,1200,16
1052-001,R01,.5,4,1350,13
1052-001,R02,.5,4,1350,13
1052-001,R03,.6,5,1340,13
1054-001,R01,.9,1,510,14
1055-001,R01,2,5,1170,15
1055-001,R02,2,5,1180,14
1056-001,R01,1,1,510,14
1056-001,R02,1,1,500,14
1056-001,R03,1.2,2,500,14
1056-001,R04,1,1,510,17
1057-001,R01,1.5,2,550,15
1057-001,R02,1.6,3,550,20
1057-001,R03,.7,1,540,14
1058-001,R01,.4,2,500,17
1059-001,R01,.5,2,490,14
1059-001,R02,.5,2,490,14
1059-001,R03,1,2,480,14
1060-001,R01,1,1,500,18
1061-001,R01,.7,3,540,14
1062-001,R01,.4,1,510,14
1062-001,R02,.3,2,510,14
1062-001,R03,.3,1,510,14
1063-001,R01,.1,1,490,13
1064-001,R01,1.3,1,500,24
1064-001,R02,1.8,1,500,16
1065-001,R01,1.2,2,550,14
1065-001,R02,1.5,3,550,13
1065-001,R03,.7,2,540,13
1066-001,R01,.6,2,510,14
1066-001,R02,1,2,500,17
1066-001,R03,.5,2,510,14
1066-001,R04,.4,2,510,15
1066-001,R05,.9,2,500,14
1066-007,R01,.7,1,510,14
1066-007,R02,.5,2,500,14
1066-007,R03,.7,1,500,14
1067-001,R01,.2,1,540,25
1067-001,R02,.1,3,540,16
1067-001,R03,1.1,1,550,13
1068-001,R01,.3,3,500,13
1068-001,R02,.4,3,500,13
1069-001,R01,1.2,3,550,13
1069-001,R02,1.2,2,550,13
1069-001,R03,1.2,2,550,13
1069-001,R04,1.2,3,550,13
1069-003,R01,.1,2,490,13
1069-003,R02,.4,2,480,20
1070-001,R01,.9,1,510,13
1070-001,R02,.9,1,510,14
1070-003,R01,1.3,2,540,17
1071-001,R01,.5,1,540,24
1071-001,R02,.5,1,540,22
1071-001,R03,2.8,2,540,13
1072-001,R01,1.6,2,500,14
1073-001,R01,.3,2,520,12
1073-001,R02,.2,1,520,13
1073-001,R03,.8,2,510,14
1073-001,R04,0,3,520,14
1074-001,R01,2.2,2,500,14
1075-001,R01,3.3,3,540,14
1075-001,R02,1.6,2,550,13
1075-002,R01,.3,5,1110,12
1075-002,R02,.3,4,1110,13
1076-001,R01,.9,2,510,23
1076-001,R02,.9,2,510,20
1076-001,R03,1.2,2,500,13
1077-001,R01,1.5,1,540,16
1077-001,R02,1,2,550,14
1077-001,R03,.7,1,550,14
1077-001,R04,1,2,550,14
1078-001,R01,.5,2,510,14
1078-001,R02,1.1,1,510,14
1079-001,R01,1,1,540,13
1079-001,R02,1,1,540,14
1080-002,R01,17.7,5,970,15
1081-001,R01,2,1,540,14
1081-001,R02,2.2,3,550,14
1081-001,R03,2.3,2,550,13
1082-002,R01,2.2,3,500,15
1082-002,R02,2.3,2,500,14
1083-001,R01,.5,3,550,19
1083-006,R01,1,2,540,14
1083-006,R02,1,1,540,14
1084-001,R01,1.1,2,500,14
1086-001,R01,2.6,2,1220,14
1086-001,R02,2.6,2,1220,14
1086-002,R01,40.6,5,1110,13
1087-001,R01,2.3,2,540,17
1087-001,R02,.3,3,540,14
1088-001,R01,1.3,4,1050,18
1089-001,R01,1.6,2,1290,13
1089-001,R02,1.7,2,1290,13
1090-002,R01,7.1,6,1120,13
1090-002,R02,.8,6,1080,13
1090-003,R01,6.9,6,1120,13
1090-003,R02,6.2,2,1100,14
1091-001,R01,1.5,2,530,14
1091-001,R02,3.3,2,540,14
1092-001,R01,.9,3,1070,14
1092-001,R02,1.1,6,1080,12
1093-001,R01,1.7,2,520,18
1093-001,R02,.8,4,540,19
1094-001,R01,0,4,1070,12
1094-004,R01,,,,
1094-004,R02,,,,
1094-004,R03,,,,
1095-001,R01,,,,
1096-001,R01,,,,
1096-001,R02,,,,
1096-001,R03,,,,
1096-003,R01,.5,3,1220,13
1096-003,R02,.5,3,1220,14
1097-001,R01,.7,3,530,17
1097-001,R02,.7,3,530,17
1097-001,R03,.7,3,530,15
1097-001,R04,1.8,1,510,14
1097-001,R05,1.8,2,510,14
1098-001,R01,1,9,1080,12
1098-001,R02,.9,8,1080,12
1101-001,R01,0,1,480,15
1101-001,R02,0,1,480,16
1101-003,R01,1.7,2,540,18
1102-001,R01,1.5,6,1080,13
1102-001,R02,1.5,6,1090,13
1102-005,R01,,,,
1103-001,R01,2.4,2,560,13
1103-001,R02,2.3,3,550,12
1104-001,R01,.2,2,1180,13
1104-001,R02,1.3,4,1170,13
1104-001,R03,.5,3,1170,13
1104-001,R04,,,,
1104-001,R05,,,,
1105-001,R01,5.9,1,510,14
1105-001,R02,1.8,6,520,13
1105-001,R03,7,2,490,17
1106-001,R01,,,,
1106-001,R02,,,,
1106-001,R03,,,,
1106-001,R04,,,,
1106-001,R05,,,,
1106-008,R01,,,,
1106-008,R02,,,,
1107-001,R01,30.2,3,530,14
1107-002,R01,,,,
1107-002,R02,,,,
1107-002,R03,,,,
1107-002,R04,,,,
1108-003,R01,18.9,3,1170,15
1108-003,R02,19.2,3,1160,13
1109-001,R01,4.5,3,530,13
1109-004,R01,2.5,2,550,14
1110-001,R01,18.1,2,1170,15
1110-001,R02,16.4,3,1150,14
1110-001,R03,15.8,3,1140,15
1111-001,R01,5.4,1,510,16
1111-001,R02,2.2,1,510,17
1111-001,R03,2.1,10,560,12
1111-001,R04,2.2,1,550,13
1112-001,R01,.1,3,1160,12
1112-001,R02,.5,6,1160,12
1113-001,R01,1.1,2,540,14
1113-002,R01,.3,3,540,15
1114-001,R01,.1,3,1230,13
1114-001,R02,1.4,1,1200,15
1114-001,R03,1.4,2,1200,13
1115-001,R01,,,,
1115-001,R02,1.2,2,550,13
1115-004,R01,5.5,1,510,16
1115-004,R02,1.7,2,520,16
1116-001,R01,0,5,1070,13
1116-001,R02,1.5,3,1080,16
1117-001,R01,0,2,540,13
1117-001,R02,6.4,0,500,16
1117-001,R03,2.3,4,550,13
1117-001,R04,2.1,5,550,14
1118-002,R01,.6,4,1090,14
1118-002,R02,.8,2,1110,14
1119-001,R01,7,1,510,16
1119-001,R02,3.6,2,520,16
1119-001,R03,.9,3,550,13
1121-001,R01,1.8,3,1200,15
1121-001,R02,1.7,3,1200,14
1121-001,R03,1.8,3,1200,14
1121-001,R04,.1,4,1220,15
1121-001,R05,.1,4,1220,15
1122-001,R01,2.1,2,1150,15
1122-002,R01,,,,
1123-001,R01,.9,2,1220,15
1123-001,R02,.9,1,1220,15
1123-001,R03,.9,1,1220,16
1123-003,R01,.8,1,1220,15
1123-004,R01,.1,6,1190,13
1123-004,R02,.5,4,1180,13
1123-004,R03,.1,6,1180,14
1123-004,R04,.1,8,1190,12
1124-001,R01,1.1,2,1110,21
1125-001,R01,.1,3,1240,13
1126-001,R01,1.5,4,1140,15
1126-001,R02,1.4,3,1140,14
1127-001,R01,1.2,1,1230,14
1127-001,R02,1.6,2,1220,15
1127-008,R01,1.6,1,1220,15
1129-001,R01,.7,2,1100,14
1129-001,R02,.6,2,1100,15
1129-001,R03,.7,2,1100,13
1130-001,R01,,,,
1130-001,R02,,,,
1131-001,R01,1.5,2,1210,15
1131-001,R02,1.5,2,1210,15
1132-001,R01,4.1,3,1150,12
1132-001,R02,.4,2,1130,16
1132-001,R03,3.2,2,1170,14
1133-001,R01,16,2,1200,13
1133-001,R02,16.1,1,1200,13
1133-001,R03,.1,1,1220,15
1134-001,R01,16.7,1,1140,14
1134-001,R02,16.7,1,1140,15
1134-001,R03,15.6,2,1130,14
1135-001,R01,0,2,1200,14
1135-001,R02,1.5,1,1220,14
1135-001,R03,1.6,1,1220,14
1135-001,R04,1.6,1,1220,14
1136-001,R01,5.5,3,1150,13
1136-001,R02,4.4,3,1160,14
1136-001,R03,5.9,1,1180,14
1138-001,R01,7.8,2,1200,15
1138-001,R02,7.9,4,1190,14
1138-001,R03,7.9,4,1190,15
1140-001,R01,5.5,3,1180,13
1140-001,R02,7,3,1170,14
1143-002,R01,1.7,2,1230,13
1144-001,R01,.2,3,620,16
1145-001,R01,1.9,2,1220,15
1145-001,R02,.6,6,1240,12
1145-001,R03,1.4,2,1230,14
1145-001,R04,3.8,3,1190,15
1145-002,R01,1.4,2,1220,15
1146-001,R01,4.8,2,1150,13
1146-001,R02,4.9,2,1150,14
1146-001,R03,4.7,2,1150,14
1146-001,R04,4.4,2,1150,14
1146-001,R05,4.6,2,1150,14
1147-001,R01,.6,2,1220,14
1147-001,R02,.7,1,1220,15
1147-002,R01,.3,2,1100,13
1147-002,R02,.3,2,1100,13
1147-002,R03,.3,2,1100,13
1147-002,R04,.4,2,1100,14
1148-001,R01,.2,2,1190,14
1148-001,R02,.1,2,1190,14
1148-001,R03,.2,1,1190,14
1148-001,R04,.2,1,1190,15
1150-001,R01,0,3,1170,14
1151-001,R01,14.4,3,1220,14
1151-001,R02,,,,
1151-001,R03,13,2,1230,14
1152-001,R01,15.1,1,1190,13
1152-001,R02,15.1,1,1190,14
1152-001,R03,14.9,2,1190,13
1153-002,R01,1,3,1220,13
1153-002,R02,1,3,1220,13
1154-001,R01,.7,3,1190,14
1156-001,R01,.3,1,1180,13
1156-001,R02,3.2,1,1210,14
1156-003,R01,.6,2,1220,14
1156-003,R02,.6,2,1220,14
1156-003,R03,.6,1,1220,14
1156-003,R04,.8,1,1210,16
1156-003,R05,.5,0,1210,15
1156-003,R06,.6,1,1210,15
1156-003,R07,.6,0,1210,15
1156-003,R08,.6,1,1210,15
1158-001,R01,2.3,5,1150,14
1158-001,R02,1.2,2,1160,14
1159-002,R01,35.3,4,1100,14
1160-002,R01,1.5,1,1200,15
1160-003,R01,1.2,3,1190,14
1160-003,R02,1.2,3,1190,13
1160-003,R03,1.2,3,1190,14
1160-003,R04,1.2,3,1190,13
1161-001,R01,,,,
1161-001,R02,,,,
1161-001,R03,,,,
1161-011,R01,,,,
1161-011,R02,,,,
1162-002,R01,1.1,3,1200,14
1162-002,R02,.8,1,1190,15
1164-001,R01,2.1,3,1190,13
1164-001,R02,2.6,2,1210,14
1164-001,R03,2.3,2,1200,14
1164-001,R04,2.8,4,1200,13
1164-001,R05,2.4,2,1200,13
1164-001,R06,1.3,2,1180,14
1164-001,R07,1.7,3,1190,14
1164-001,R08,2.3,2,1200,14
1164-010,R01,5,3,1170,14
1164-010,R02,6.3,1,1170,15
1164-010,R03,7.9,3,1160,13
1164-010,R04,7.7,5,1150,13
1165-001,R01,1.3,1,1210,15
1165-001,R02,1.3,1,1210,14
1166-001,R01,.8,1,1190,15
1166-001,R02,.8,1,1190,15
1167-001,R01,.5,1,1200,17
1168-001,R01,1.4,2,1160,14
1168-001,R02,.9,4,1160,14
1169-001,R01,1.4,2,1180,15
1169-002,R01,3.6,3,1190,13
1170-001,R01,1.5,2,1150,15
1170-001,R02,1.4,2,1160,16
1170-001,R03,1.3,1,1160,15
1171-001,R01,.3,2,1210,14
1172-001,R01,.2,4,1180,14
1172-001,R02,.1,4,1180,13
1174-001,R01,.5,1,1180,15
1175-001,R01,.1,2,1210,16
1175-001,R02,.1,3,1210,16
1175-003,R01,23,3,790,13
1175-004,R01,,,,
1175-004,R02,,,,
1176-001,R01,.8,1,1200,14
1178-001,R01,.4,7,1220,12
1181-001,R01,0,1,1220,14
1181-001,R02,11.4,2,1130,14
1181-001,R03,11.4,2,1130,14
1181-001,R04,9.6,1,1130,14
1181-004,R01,2,5,1140,13
1181-004,R02,13.1,3,1180,14
1182-001,R01,.1,5,1230,13
1182-001,R02,.2,5,1230,12
1184-001,R01,2.1,6,1220,15
1184-001,R02,2.2,9,1220,16
1184-001,R03,2.2,7,1220,17
1184-004,R01,1,5,1240,14
1184-004,R02,1,6,1240,14
1185-001,R01,.1,13,1140,13
1185-001,R02,.7,7,1120,13
1185-001,R03,.8,9,1120,13
1186-001,R01,0,7,1210,14
1186-001,R02,.5,4,1200,16
1186-001,R03,.5,4,1200,13
1187-001,R01,0,16,1150,12
1188-001,R01,1,5,1240,14
1189-001,R01,.1,6,1130,13
1189-001,R02,.5,18,1130,18
1189-004,R01,.7,6,1140,13
1190-001,R01,.6,4,1200,14
1190-001,R02,.5,4,1200,12
1190-001,R03,.2,12,1230,12
1190-005,R01,,,,
1191-001,R01,.1,8,1130,13
1192-001,R01,.3,5,1250,13
1192-001,R02,.4,6,1230,12
1194-001,R01,.3,7,1250,13
1194-001,R02,.2,7,1240,14
1196-001,R01,.3,5,1210,13
1196-001,R02,.7,4,1200,15
1197-001,R01,0,9,1130,12
1197-001,R02,.1,7,1130,12
1197-001,R03,0,7,1130,12
1198-001,R01,.6,6,1200,14
1198-001,R02,.6,6,1210,13
1198-002,R01,.6,3,1160,13
1198-002,R02,.6,5,1170,12
1198-003,R01,.7,4,1160,13
1199-001,R01,.1,6,1140,12
1200-001,R01,.2,7,1210,13
1201-001,R01,.1,10,1140,13
1202-001,R01,1.1,3,1220,14
1202-001,R02,1.1,3,1230,14
1202-001,R03,1.1,4,1230,14
1204-001,R01,.2,6,1220,13
1205-001,R01,.4,2,1140,14
1205-001,R02,.4,2,1140,14
1206-001,R01,.5,6,1220,14
1207-001,R01,.2,3,1160,13
1207-001,R02,.3,4,1160,12
1209-001,R01,.1,6,1150,12
1209-001,R02,.1,6,1140,12
1209-001,R03,.5,4,1140,13
1209-004,R01,.1,4,1170,15
1210-001,R01,3.3,6,1190,12
1210-001,R02,1.3,5,1130,12
1210-001,R03,0,5,1130,13
1210-003,R01,2,5,1140,13
1210-003,R02,2,5,1140,13
1210-003,R03,2.1,5,1140,12
1210-004,R01,,,,
1210-004,R02,,,,
1211-001,R01,1.3,4,1140,13
1211-001,R02,1.3,3,1140,13
1211-001,R03,1.1,5,1130,13
1212-001,R01,1.5,6,1120,13
1213-001,R01,1.3,6,1090,12
1213-001,R02,1.3,7,1090,12
1213-001,R03,3.7,6,1120,13
1214-001,R01,3.2,4,1180,13
1215-001,R01,0,7,1130,12
1217-001,R01,.4,4,1200,14
1217-001,R02,.4,5,1200,13
1217-001,R03,.4,4,1200,15
1217-001,R04,1.5,5,1170,12
1217-001,R05,.2,6,1210,13
1217-003,R01,.1,7,1430,11
1217-003,R02,.3,11,1410,13
1217-003,R03,.4,8,1400,13
1217-003,R04,.5,9,1390,13
1218-001,R01,.7,6,1150,13
1218-001,R02,.1,5,1150,12
1218-001,R03,0,4,1160,13
1218-001,R04,.1,5,1150,12
1218-003,R01,6,3,1040,14
1219-001,R01,1.4,6,1190,13
1219-001,R02,1.4,5,1190,14
1220-001,R01,0,4,1130,13
1220-001,R02,0,5,1130,13
1221-001,R01,1.1,7,1210,13
1221-001,R02,1.1,5,1210,13
1221-001,R03,1.2,4,1200,13
1221-001,R04,1.1,8,1210,12
1221-004,R01,.5,3,1080,12
1221-004,R02,.6,4,1080,12
1221-004,R03,.6,5,1080,12
1221-004,R04,.5,6,1080,12
1222-001,R01,3.8,5,1150,13
1222-001,R02,3.6,5,1140,13
1222-003,R01,1.2,1,490,15
1222-003,R02,.3,1,490,18
1223-001,R01,1.5,8,1190,12
1223-001,R02,1.6,4,1170,13
1223-001,R03,1.2,6,1190,14
1224-003,R01,.6,5,1130,15
1224-003,R02,.6,4,1130,15
1227-001,R01,1.2,7,1230,12
1227-002,R01,.1,4,1280,13
1227-002,R02,.2,3,1270,13
1227-002,R03,.1,5,1290,13
1227-002,R04,.2,5,1290,13
1227-002,R05,.4,4,1290,13
1228-001,R01,,,,
1228-001,R02,,,,
1229-001,R01,1.8,4,1210,13
1230-001,R01,3.9,5,1180,12
1230-001,R02,4.2,10,1160,12
1230-001,R03,4.2,8,1160,11
1230-001,R04,4.2,8,1160,11
1230-001,R05,9.300000000000001,4,1020,14
1230-001,R06,.6,5,1120,16
1230-003,R01,,,,
1230-003,R02,,,,
1231-003,R01,.6,8,1180,12
1231-003,R02,.6,7,1160,12
1233-001,R01,2.6,6,1170,13
1233-001,R02,3.8,7,1190,14
1233-001,R03,2.1,4,1200,13
1233-001,R04,1.6,3,1260,12
1233-001,R05,1.6,3,1260,13
1233-001,R06,2.1,6,1210,16
1234-001,R01,,,,
1235-001,R01,2.1,6,1190,15
1235-001,R02,2.2,4,1180,16
1236-001,R01,1.6,5,1140,13
1237-002,R01,.1,5,1230,13
1237-002,R02,.8,7,1240,12
1239-001,R01,1,6,1230,12
1239-001,R02,1.4,5,1200,14
1239-001,R03,1.4,5,1200,14
1239-003,R01,1.6,5,1200,13
1239-003,R02,1.6,5,1200,13
1240-001,R01,.2,8,1120,13
1241-001,R01,.7,6,1190,12
1241-001,R02,3.2,7,1240,12
1241-001,R03,3.2,6,1240,12
1242-001,R01,4.9,2,1180,13
1242-001,R02,4.9,3,1180,13
1242-001,R03,6.1,3,1170,14
1242-001,R04,6.3,5,1210,12
1243-001,R01,0,3,1240,13
1243-001,R02,2.8,5,1260,13
1244-001,R01,.3,2,1210,14
1244-001,R02,1.3,5,1180,14
1245-002,R01,2.4,4,1170,14
1245-005,R01,3.1,4,1380,17
1246-001,R01,1.1,2,1200,15
1246-001,R02,.3,5,1190,13
1246-001,R03,.3,5,1190,14
1246-001,R04,1.4,3,1170,14
1247-001,R01,0,5,1240,13
1247-001,R02,.1,5,1240,12
1247-001,R03,1.5,4,1190,13
1248-001,R01,1.1,3,1180,13
1249-001,R01,,,,
1249-001,R02,,,,
1249-001,R03,,,,
1249-001,R04,,,,
1249-002,R01,44.1,3,1200,13
1249-002,R02,44.1,3,1200,13
1249-002,R03,43.6,3,1180,15
1250-001,R01,.1,3,1180,14
1251-001,R01,.1,6,1230,14
1251-001,R02,3.8,1,1220,14
1251-001,R03,.1,4,1230,14
1252-001,R01,.8,3,1170,14
1252-001,R02,.8,3,1170,14
1253-001,R01,.8,4,1210,12
1253-002,R01,0,1,1210,15
1253-002,R02,.3,2,1210,13
1253-002,R03,.5,2,1210,13
1255-001,R01,1.7,4,1200,14
1256-001,R01,1.6,1,1170,14
1256-003,R01,1.5,2,1170,13
1256-004,R01,1.6,3,1170,13
1257-001,R01,1.2,2,1210,14
1258-001,R01,.1,3,1200,12
1258-001,R02,1.6,2,1170,14
1258-001,R03,,,,
1260-002,R01,.5,2,1150,13
1261-001,R01,1.1,3,1210,15
1261-001,R02,1.1,3,1210,15
1262-002,R01,.2,3,1190,14
1263-001,R01,1.1,1,1210,15
1263-001,R02,1,1,1210,14
1263-003,R01,.4,2,1180,14
1263-003,R02,.4,2,1180,14
1263-003,R03,.5,2,1180,13
1263-005,R01,1.1,2,1200,14
1263-005,R02,1.5,2,1210,15
1264-001,R01,7.7,12,1050,11
1264-001,R02,1.8,13,1130,14
1264-001,R03,.2,9,1100,13
1264-001,R04,1.1,6,1120,13
1264-001,R05,.8,9,1130,12
1264-001,R06,.3,7,1130,13
1264-001,R07,.9,8,1130,12
1265-001,R01,1.1,3,1220,16
1265-001,R02,1.2,3,1220,16
1265-001,R03,1.1,2,1220,17
1266-001,R01,.9,4,1190,14
1267-001,R01,1.1,3,1210,13
1267-001,R02,1.3,2,1210,13
1268-001,R01,2.8,6,1210,13
1268-001,R02,0,2,1210,13
1268-001,R03,2.7,5,1210,12
1268-006,R01,.9,7,1180,12
1269-002,R01,.9,1,1180,14
1269-002,R02,1.7,4,1220,13
1270-001,R01,1.1,11,1200,12
1271-002,R01,1.3,6,1210,13
1271-002,R02,1.3,6,1210,13
1272-001,R01,.9,2,1170,18
1272-001,R02,.8,3,1180,13
1272-003,R01,.9,2,1180,14
1272-003,R02,.9,4,1180,14
1272-003,R03,.7,2,1200,13
1273-001,R01,1,3,1220,15
1273-001,R02,1.1,3,1220,13
1273-001,R03,1.1,2,1220,13
1273-005,R01,.6,1,1220,15
1273-005,R02,.7,1,1220,15
1274-001,R01,1.1,2,1200,15
1274-001,R02,1.1,2,1200,15
1275-001,R01,.6,6,1220,13
1276-001,R01,1.8,3,1210,15
1276-001,R02,1.8,3,1210,15
1276-001,R03,1.7,3,1200,16
1276-001,R04,1.5,4,1200,16
1278-001,R01,1.4,1,1180,15
1278-001,R02,.8,1,1180,13
1278-001,R03,1.3,2,1170,13
1278-001,R04,1.2,3,1170,13
1278-001,R05,1.4,2,1180,15
1279-001,R01,2,0,1220,15
1279-001,R02,.4,4,1230,13
1279-001,R03,.5,6,1230,12
1280-001,R01,1,2,1210,14
1280-001,R02,1.3,3,1210,14
1281-001,R01,2.6,1,1150,14
1281-001,R02,2.6,2,1150,15
1282-001,R01,.9,3,1180,15
1282-001,R02,.9,4,1180,14
1282-001,R03,.9,5,1190,13
1283-001,R01,.4,3,1200,13
1283-001,R02,.1,2,1210,14
1285-001,R01,.6,4,1140,13
1285-002,R01,0,2,1130,14
1285-002,R02,1.3,1,1140,14
1285-002,R03,1.3,1,1140,14
1285-002,R04,1.3,1,1140,14
1286-001,R01,.1,1,1190,16
1287-001,R01,.2,3,1130,16
1288-001,R01,1.8,1,1210,15
1288-001,R02,1.6,2,1200,15
1288-001,R03,1.7,2,1200,14
1289-001,R01,.1,4,1120,15
1289-001,R02,.6,3,1140,13
1290-001,R01,22.1,3,1210,13
1290-001,R02,22.6,5,1220,13
1290-001,R03,21.7,2,1210,14
1290-001,R04,21.1,4,1190,16
1290-001,R05,21.9,2,1210,13
1290-001,R06,21.1,1,1210,14
1290-001,R07,22.9,4,1230,14
1290-002,R01,.8,3,1180,17
1290-002,R02,.8,2,1180,16
1290-002,R03,.8,2,1180,15
1291-001,R01,1.5,2,1150,14
1291-001,R02,1.5,2,1150,14
1292-001,R01,.4,4,1180,15
1293-001,R01,.4,2,1130,15
1293-001,R02,.9,2,1140,15
1294-001,R01,.5,2,1180,13
1294-001,R02,.5,2,1180,13
1294-003,R01,0,2,1160,14
1295-001,R01,1.1,3,1130,14
1296-001,R01,.5,1,1190,14
1296-001,R02,.5,1,1190,14
1297-001,R01,.2,4,1130,13
1297-001,R02,.2,4,1130,13
1297-001,R03,1.3,1,1150,15
1297-001,R04,1.4,1,1150,15
1297-001,R05,1.4,2,1160,13
1297-002,R01,14.4,2,1120,13
1297-002,R02,13.8,2,1130,15
1297-002,R03,13.9,2,1130,14
1297-003,R01,.8,3,1140,13
1297-003,R02,.7,3,1140,13
1298-002,R01,.5,2,1190,14
1298-002,R02,2.2,1,1160,13
1300-001,R01,1.8,4,1210,14
1300-001,R02,1.7,3,1210,14
1300-001,R03,1.9,1,1180,16
1301-001,R01,2,2,1140,14
1301-001,R02,1.9,2,1140,15
