HHID,case_id,qx_type,visit,ea_id,ag_f0a,ag_f0c,ag_f0c_os,ag_f01a,ag_f01b,ag_f01b_os,ag_f02,ag_f03,ag_f04,ag_f15,ag_f16a,ag_f16b,ag_f16b_os,ag_f17,ag_f17_os,ag_f18,ag_f19,ag_f20,ag_f21,ag_f22,ag_f23,ag_f24,ag_f25,ag_f26a,ag_f26b,ag_f26b_os,ag_f27,ag_f27_os,ag_f28,ag_f29,ag_f30,ag_f31,ag_f32,ag_f33,ag_f34,ag_f35,ag_f36a,ag_f36b,ag_f36b_os,ag_f37,ag_f38a,ag_f38b,ag_f38b_os,ag_f39a,ag_f39b,ag_f40,ag_f41,ag_f42a,ag_f42b,ag_f42b_os,ag_f43,ag_f44a,ag_f44b,ag_f44b_os
351,103074130225,Panel A,1,10307413,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,103074130252,Panel A,1,10307413,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,103074130255,Panel A,1,10307413,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,103074130258,Panel A,1,10307413,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,103086360009,Panel B,1,10308636,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,103086360009,Panel B,1,10308636,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,103086360009,Panel B,1,10308636,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,103086360036,Panel B,1,10308636,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,103086360036,Panel B,1,10308636,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,103086360036,Panel B,1,10308636,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,103086360045,Panel B,1,10308636,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,103086360054,Panel B,1,10308636,Yes,23:21:0+4S/CHITOWE,,25,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,103086360054,Panel B,1,10308636,Yes,UREA,,25,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,103086360054,Panel B,1,10308636,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,103086360063,Panel B,1,10308636,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,103086360063,Panel B,1,10308636,Yes,UREA,,25,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,103086360072,Panel B,1,10308636,Yes,23:21:0+4S/CHITOWE,,20,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,103086360072,Panel B,1,10308636,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,103086360072,Panel B,1,10308636,Yes,UREA,,25,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,103086360073,Panel B,1,10308636,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,103086360081,Panel B,1,10308636,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,103086360090,Panel B,1,10308636,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,103086360099,Panel B,1,10308636,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,103086360117,Panel B,1,10308636,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,103086360126,Panel B,1,10308636,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,103086360135,Panel B,1,10308636,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,103086360153,Panel B,1,10308636,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,103086360153,Panel B,1,10308636,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,103086360153,Panel B,1,10308636,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,103086360162,Panel B,1,10308636,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,50 kg bag,,N01,,1400,No,,,,,,,
308,103086360162,Panel B,1,10308636,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,50 kg bag,,N01,,1400,No,,,,,,,
308,103086360162,Panel B,1,10308636,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,104011400028,Panel B,1,10401140,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,104011400045,Panel B,1,10401140,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,104011400045,Panel B,1,10401140,Yes,CAN,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,1,50 kg bag,,Own Bicycle or Oxcart,,0,5500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
366,104011400045,Panel B,1,10401140,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,1,50 kg bag,,Own Bicycle or Oxcart,,0,5500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
358,104011400079,Panel B,1,10401140,Yes,CAN,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N04,1,50 kg bag,,Own Bicycle or Oxcart,,0,5390,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
358,104011400079,Panel B,1,10401140,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N04,1,50 kg bag,,Own Bicycle or Oxcart,,0,4750,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
358,104011400079,Panel B,1,10401140,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,104011400112,Panel B,1,10401140,Yes,UREA,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,2,50 kg bag,,Own Bicycle or Oxcart,,0,4500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
374,104011400112,Panel B,1,10401140,Yes,23:21:0+4S/CHITOWE,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,2,50 kg bag,,Own Bicycle or Oxcart,,0,4500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
374,104011400112,Panel B,1,10401140,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,104011400129,Panel B,1,10401140,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,104011400129,Panel B,1,10401140,Yes,CAN,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,1,50 kg bag,,Own Bicycle or Oxcart,,0,4500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
380,104011400129,Panel B,1,10401140,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,1,50 kg bag,,Own Bicycle or Oxcart,,0,4500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
356,104011400146,Panel B,1,10401140,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,104011400146,Panel B,1,10401140,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,104011400146,Panel B,1,10401140,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,104011400196,Panel B,1,10401140,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,104011400196,Panel B,1,10401140,Yes,UREA,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N01,2,50 kg bag,,On Foot,,0,7500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
354,104011400196,Panel B,1,10401140,Yes,23:21:0+4S/CHITOWE,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N01,2,50 kg bag,,On Foot,,0,6500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
376,104011400213,Panel B,1,10401140,Yes,ORGANIC FERTILIZER,,100,Kilogram,,"Yes, The Figures Matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Yes,100,Kilogram,
360,104011400229,Panel B,1,10401140,Yes,CAN,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,2,50 kg bag,,Own Bicycle or Oxcart,,200,15000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
360,104011400229,Panel B,1,10401140,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,104011400229,Panel B,1,10401140,Yes,UREA,,200,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,4,50 kg bag,,Own Bicycle or Oxcart,,200,25000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
362,104011400263,Panel B,1,10401140,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,1,50 kg bag,,Bicycle Taxi,,140,6500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
362,104011400263,Panel B,1,10401140,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,1,50 kg bag,,Bicycle Taxi,,140,6500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
362,104011400263,Panel B,1,10401140,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,104011400280,Panel B,1,10401140,Yes,UREA,,75,Kilogram,,"Yes, The Figures Matched",No,Yes,N05,4,10 kg bag,,On Foot,,0,6000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
368,104011400280,Panel B,1,10401140,Yes,D COMPOUND,,200,Kilogram,,"Yes, The Figures Matched",No,Yes,N05,4,50 kg bag,,On Foot,,0,20000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
368,104011400280,Panel B,1,10401140,Yes,23:21:0+4S/CHITOWE,,75,Kilogram,,"Yes, The Figures Matched",No,Yes,N05,1,10 kg bag,,On Foot,,0,6000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
368,104011400280,Panel B,1,10401140,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,104011400296,Panel B,1,10401140,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,104011400296,Panel B,1,10401140,Yes,D COMPOUND,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,2,50 kg bag,,Own Bicycle or Oxcart,,0,6650,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
352,104011400296,Panel B,1,10401140,Yes,CAN,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,2,50 kg bag,,Own Bicycle or Oxcart,,0,11700,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
352,104011400296,Panel B,1,10401140,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,1,50 kg bag,,Own Bicycle or Oxcart,,0,5840,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
352,104011400296,Panel B,1,10401140,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,1,50 kg bag,,Own Bicycle or Oxcart,,0,4890,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
350,104011400330,Panel B,1,10401140,Yes,UREA,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,2,50 kg bag,,On Foot,,0,10200,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
350,104011400330,Panel B,1,10401140,Yes,23:21:0+4S/CHITOWE,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,2,50 kg bag,,On Foot,,0,9600,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
350,104011400330,Panel B,1,10401140,Yes,ORGANIC FERTILIZER,,100,Kilogram,,"Yes, The Figures Matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Yes,5,Wheelbarrow,
378,104011400347,Panel B,1,10401140,Yes,UREA,,11,Kilogram,,"Yes, The Figures Matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,10,Kilogram,,N01,,0,No,,,,,,,
378,104011400347,Panel B,1,10401140,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,104011400347,Panel B,1,10401140,Yes,23:21:0+4S/CHITOWE,,17,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,3,Kilogram,,On Foot,,0,450,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,Yes,15,Kilogram,,N01,,0,No,,,,,,,
359,104015020020,Panel A,1,10401502,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,104015020027,Panel A,1,10401502,Yes,UREA,,50,Gram,,"Yes, The Figures Matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,50 kg bag,,N01,,0,No,,,,,,,
375,104015020027,Panel A,1,10401502,Yes,23:21:0+4S/CHITOWE,,50,Gram,,"Yes, The Figures Matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,50 kg bag,,N01,,0,No,,,,,,,
375,104015020027,Panel A,1,10401502,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,104015020056,Panel A,1,10401502,Yes,23:21:0+4S/CHITOWE,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,2,50 kg bag,,Truck / Bus / Minibus,,250,11000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
357,104015020056,Panel A,1,10401502,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,104015020056,Panel A,1,10401502,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,50 kg bag,,N03,,0,No,,,,,,,
361,104015020074,Panel A,1,10401502,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,104015020074,Panel A,1,10401502,Yes,UREA,,400,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,7,50 kg bag,,Truck / Bus / Minibus,,1200,37100,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
361,104015020074,Panel A,1,10401502,Yes,23:21:0+4S/CHITOWE,,350,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,6,50 kg bag,,Truck / Bus / Minibus,,1200,31800,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
381,104015020081,Panel A,1,10401502,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,104015020081,Panel A,1,10401502,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,104015020081,Panel A,1,10401502,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,104015020081,Panel A,1,10401502,Yes,D COMPOUND,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,1,50 kg bag,,Truck / Bus / Minibus,,700,4500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
373,104015020084,Panel A,1,10401502,Yes,23:21:0+4S/CHITOWE,,60,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,104015020084,Panel A,1,10401502,Yes,D COMPOUND,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,1,50 kg bag,,Bicycle Taxi,,250,5500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
373,104015020084,Panel A,1,10401502,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,104015020084,Panel A,1,10401502,Yes,UREA,,40,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,104015020099,Panel A,1,10401502,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,104015020099,Panel A,1,10401502,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,104015020099,Panel A,1,10401502,Yes,D COMPOUND,,70,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,104015020099,Panel A,1,10401502,Yes,UREA,,30,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,104015020102,Panel A,1,10401502,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,104015020102,Panel A,1,10401502,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,104015020102,Panel A,1,10401502,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,104015020103,Panel A,1,10401502,Yes,23:21:0+4S/CHITOWE,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N03,100,Kilogram,,Truck / Bus / Minibus,,500,10400,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
363,104015020103,Panel A,1,10401502,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,104015020121,Panel A,1,10401502,Yes,UREA,,125,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,75,Kilogram,,Truck / Bus / Minibus,,400,4800,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
355,104015020121,Panel A,1,10401502,Yes,CAN,,115,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,65,Kilogram,,Truck / Bus / Minibus,,150,5000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
355,104015020121,Panel A,1,10401502,Yes,ORGANIC FERTILIZER,,20,Bucket,,"Yes, The Figures Matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Yes,20,Bucket,
379,104015020127,Panel A,1,10401502,Yes,23:21:0+4S/CHITOWE,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,1,50 kg bag,,Own Bicycle or Oxcart,,0,5000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
379,104015020127,Panel A,1,10401502,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,104015020127,Panel A,1,10401502,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,104015020133,Panel A,1,10401502,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,104015020133,Panel A,1,10401502,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,104015020133,Panel A,1,10401502,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,104015020173,Panel A,1,10401502,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,104015020173,Panel A,1,10401502,Yes,UREA,,125,Kilogram,,"Yes, The Figures Matched",No,Yes,N03,125,Kilogram,,Truck / Bus / Minibus,,1200,14400,"Part own-savings, part on credit",2500,12000,N04,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
371,104015020173,Panel A,1,10401502,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,104015220004,Panel B,1,10401522,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,104015220019,Panel B,1,10401522,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,104015220038,Panel B,1,10401522,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,104015220038,Panel B,1,10401522,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N01,1,50 kg bag,,On Foot,,0,6000,Received on credit,2000,4000,N01,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
338,104015220038,Panel B,1,10401522,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N01,1,50 kg bag,,On Foot,,0,6000,Received on credit,2000,4000,N01,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
324,104015220041,Panel B,1,10401522,Yes,UREA,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N03,1,50 kg bag,,Truck / Bus / Minibus,,300,5000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
324,104015220041,Panel B,1,10401522,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,104015220041,Panel B,1,10401522,Yes,23:21:0+4S/CHITOWE,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N03,1,50 kg bag,,Truck / Bus / Minibus,,300,5000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
330,104015220042,Panel B,1,10401522,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,104015220054,Panel B,1,10401522,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,104015220054,Panel B,1,10401522,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,104015220054,Panel B,1,10401522,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,104015220055,Panel B,1,10401522,Yes,D COMPOUND,,150,Kilogram,,"Yes, The Figures Matched",No,Yes,N03,3,50 kg bag,,Truck / Bus / Minibus,,800,16500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
