occ,y2_hhid,qx_type,interview_status,ag_c00,ag_c02,ag_c03_2,ag_c04a,ag_c04b,ag_c04c,ag_c05e,ag_c06,ag_c07
1,0926-011,PANEL B,Panel B - Combined Visit,R01,MAIZE,RG01,.5,ACRE,.69999999,,11,CLEAR / SUNNY
2,0926-011,PANEL B,Panel B - Combined Visit,R02,GROUNDNUTS,RG02,.25,ACRE,.2,,11,CLEAR / SUNNY
3,0926-011,PANEL B,Panel B - Combined Visit,R03,TOBACCO,RG03,.5,ACRE,.69999999,,11,CLEAR / SUNNY
1,0927-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,2.5,ACRE,1.47,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0927-001,PANEL A,Panel A - 2 Visits,R02,G/NUTS,RG02,1,ACRE,.38999999,,12,PARTLY CLOUDY / PARTLY SUNNY
3,0927-001,PANEL A,Panel A - 2 Visits,R03,SOYABEAN,RG03,2.5,ACRE,.81,,12,PARTLY CLOUDY / PARTLY SUNNY
4,0927-001,PANEL A,Panel A - 2 Visits,R04,IRISH POTATO,RG04,1.5,ACRE,.5,,12,PARTLY CLOUDY / PARTLY SUNNY
5,0927-001,PANEL A,Panel A - 2 Visits,R05,SWEET POTATO,RG05,2,ACRE,1.4299999,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0928-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,.94,,11,MOSTLY CLEAR / MOSTLY SUNNY
2,0928-001,PANEL B,Panel B - 2 Visits,R02,LOCAL MAIZE,RG02,.5,ACRE,.37,,11,MOSTLY CLEAR / MOSTLY SUNNY
1,0929-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,.5,ACRE,.60000002,,12,CLEAR / SUNNY
1,0929-003,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,1.37,,11,MOSTLY CLEAR / MOSTLY SUNNY
2,0929-003,PANEL A,Panel A - 2 Visits,R02,GROUNDNUTS,RG02,1,ACRE,.86000001,,10,MOSTLY CLEAR / MOSTLY SUNNY
3,0929-003,PANEL A,Panel A - 2 Visits,R03,SOYA BEANS,RG03,1.5,ACRE,1.08,,10,MOSTLY CLEAR / MOSTLY SUNNY
1,0930-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,2,ACRE,1.26,,10,MOSTLY CLEAR / MOSTLY SUNNY
2,0930-001,PANEL B,Panel B - 2 Visits,R02,G/NUTS,RG02,1,ACRE,1.4,,10,MOSTLY CLEAR / MOSTLY SUNNY
3,0930-001,PANEL B,Panel B - 2 Visits,R03,SOYABEANS,RG03,1,ACRE,1.35,,10,MOSTLY CLEAR / MOSTLY SUNNY
4,0930-001,PANEL B,Panel B - 2 Visits,R04,TOBACCO,RG04,.5,ACRE,.14,,10,MOSTLY CLEAR / MOSTLY SUNNY
1,0931-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,.5,ACRE,.72000003,,11,MOSTLY CLEAR / MOSTLY SUNNY
2,0931-001,PANEL A,Panel A - 2 Visits,R02,G/NUTS,RG02,1,ACRE,.74000001,,11,MOSTLY CLEAR / MOSTLY SUNNY
1,0932-001,PANEL B,Panel B - 2 Visits,R01,HYBRID,RG01,2,ACRE,1.8,,10,PARTLY CLOUDY / PARTLY SUNNY
2,0932-001,PANEL B,Panel B - 2 Visits,R02,GROUNDNUTS,RG02,.25,ACRE,.30000001,,11,PARTLY CLOUDY / PARTLY SUNNY
3,0932-001,PANEL B,Panel B - 2 Visits,R03,SOYA,RG03,.5,ACRE,.69999999,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0932-006,PANEL B,Panel B - 2 Visits,R01,OPV,RG01,1.5,ACRE,1.9,,11,PARTLY CLOUDY / PARTLY SUNNY
2,0932-006,PANEL B,Panel B - 2 Visits,R02,GROUNDNUTS,RG02,.5,ACRE,.2,,11,PARTLY CLOUDY / PARTLY SUNNY
3,0932-006,PANEL B,Panel B - 2 Visits,R03,SOYA,RG03,.5,ACRE,.1,,11,PARTLY CLOUDY / PARTLY SUNNY
4,0932-006,PANEL B,Panel B - 2 Visits,R04,TOBACCO,RG04,.5,ACRE,.2,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0933-001,PANEL A,Panel A - 2 Visits,R01,G/NUTS,RG01,.25,ACRE,.43000001,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0933-001,PANEL A,Panel A - 2 Visits,R02,SOYABEAN,RG02,1.25,ACRE,1.34,,12,PARTLY CLOUDY / PARTLY SUNNY
3,0933-001,PANEL A,Panel A - 2 Visits,R03,LOCAL MAIZE,RG03,2,ACRE,2.8299999,,10,CLEAR / SUNNY
1,0934-001,PANEL B,Panel B - 2 Visits,R01,MAIZE,RG01,4,ACRE,,,,
2,0934-001,PANEL B,Panel B - 2 Visits,R02,SOYA,RG02,2,ACRE,,,,
3,0934-001,PANEL B,Panel B - 2 Visits,R03,MAIZE,RG03,5,ACRE,8.3599997,,11,CLEAR / SUNNY
4,0934-001,PANEL B,Panel B - 2 Visits,R04,G\NUTS,RG04,2,ACRE,3.75,,11,CLEAR / SUNNY
5,0934-001,PANEL B,Panel B - 2 Visits,R05,SOYA,RG05,.25,ACRE,.31,,11,CLEAR / SUNNY
6,0934-001,PANEL B,Panel B - 2 Visits,R06,SOYA,RG06,2,ACRE,2.8499999,,11,CLEAR / SUNNY
1,0934-003,PANEL B,Panel B - Combined Visit,,,,,,,,,
1,0935-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,3,ACRE,3.04,,11,MOSTLY CLEAR / MOSTLY SUNNY
2,0935-001,PANEL A,Panel A - 2 Visits,R02,G/NUTS,RG02,.5,ACRE,1.01,,11,MOSTLY CLEAR / MOSTLY SUNNY
3,0935-001,PANEL A,Panel A - 2 Visits,R03,SOYABEANS,RG03,1,ACRE,.86000001,,11,MOSTLY CLEAR / MOSTLY SUNNY
1,0936-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,1.5,ACRE,1.74,,12,CLEAR / SUNNY
2,0936-001,PANEL B,Panel B - 2 Visits,R02,TOBACCO,RG02,1.5,ACRE,.94999999,,12,CLEAR / SUNNY
3,0936-001,PANEL B,Panel B - 2 Visits,R03,SOYABEANS,RG03,.5,ACRE,.43000001,,12,CLEAR / SUNNY
1,0936-003,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,.5,ACRE,.14,,10,MOSTLY CLEAR / MOSTLY SUNNY
2,0936-003,PANEL B,Panel B - 2 Visits,R02,SOYABEANS,RG02,.5,ACRE,.14,,11,MOSTLY CLEAR / MOSTLY SUNNY
1,0937-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,2,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0937-001,PANEL A,Panel A - 2 Visits,R02,G/NUTS,RG02,1,ACRE,1.15,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0937-003,PANEL A,Panel A - 2 Visits,R01,HYBRID,RG01,1,ACRE,2.4100001,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0937-003,PANEL A,Panel A - 2 Visits,R02,G/NUTS,RG02,.5,ACRE,.69999999,,10,CLEAR / SUNNY
3,0937-003,PANEL A,Panel A - 2 Visits,R03,SOYA,RG03,.30000001,ACRE,.40000001,,10,CLEAR / SUNNY
4,0937-003,PANEL A,Panel A - 2 Visits,R04,TOBACCO,RG02,.5,ACRE,.69999999,,10,CLEAR / SUNNY
1,0939-002,PANEL A,Panel A - 2 Visits,R01,LOCAL,RG01,1,ACRE,4.4699998,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0939-002,PANEL A,Panel A - 2 Visits,R02,HYBRID,RG02,1,ACRE,2.4400001,,12,PARTLY CLOUDY / PARTLY SUNNY
3,0939-002,PANEL A,Panel A - 2 Visits,R03,G/NUTS,RG03,1,ACRE,1,,12,PARTLY CLOUDY / PARTLY SUNNY
4,0939-002,PANEL A,Panel A - 2 Visits,R04,SOYABEANS,RG04,.5,ACRE,.68000001,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0940-001,PANEL B,Panel B - 2 Visits,R01,MAIZE,RG01,2.5,ACRE,2.1600001,,11,CLEAR / SUNNY
2,0940-001,PANEL B,Panel B - 2 Visits,R02,TOBACCO,RG02,1.5,ACRE,1.8,,11,CLEAR / SUNNY
3,0940-001,PANEL B,Panel B - 2 Visits,R03,G\NUTS,RG03,.5,ACRE,.31999999,,11,CLEAR / SUNNY
1,0940-003,PANEL B,Panel B - 2 Visits,R01,MAIZE,RG01,1.5,ACRE,.69,,12,CLEAR / SUNNY
2,0940-003,PANEL B,Panel B - 2 Visits,R02,TOBACCO,RG02,1,ACRE,.80000001,,12,CLEAR / SUNNY
3,0940-003,PANEL B,Panel B - 2 Visits,R03,MAIZE,RG03,1.5,ACRE,.41,,12,CLEAR / SUNNY
1,0940-004,PANEL B,Panel B - 2 Visits,R01,MAIZE,RG01,1,ACRE,4.0300002,,11,CLEAR / SUNNY
2,0940-004,PANEL B,Panel B - 2 Visits,R02,MAIZE,RG02,.5,ACRE,.82999998,,11,CLEAR / SUNNY
3,0940-004,PANEL B,Panel B - 2 Visits,R03,G/NUTS,RG03,.5,ACRE,.28999999,,11,CLEAR / SUNNY
4,0940-004,PANEL B,Panel B - 2 Visits,R04,SOYA,RG03,.5,ACRE,.47,,11,CLEAR / SUNNY
1,0940-005,PANEL B,Panel B - 2 Visits,R01,TOBACCO,RG01,1,ACRE,.23,,12,CLEAR / SUNNY
1,0941-001,PANEL A,Panel A - 2 Visits,R01,LOCAL,RG01,1,ACRE,3.3,,12,CLEAR / SUNNY
2,0941-001,PANEL A,Panel A - 2 Visits,R02,GROUNDNUTS,RG02,1,ACRE,1,,12,CLEAR / SUNNY
3,0941-001,PANEL A,Panel A - 2 Visits,R03,SOYA,RG03,1,ACRE,.69999999,,12,CLEAR / SUNNY
1,0942-001,PANEL B,Panel B - 2 Visits,R01,HYBRID,RG01,1,ACRE,1.08,,12,CLEAR / SUNNY
2,0942-001,PANEL B,Panel B - 2 Visits,R02,TOBACCO,RG02,1,ACRE,.31,,12,CLEAR / SUNNY
3,0942-001,PANEL B,Panel B - 2 Visits,R03,GROUNDNUTS,RG03,.5,ACRE,.5,,10,CLEAR / SUNNY
4,0942-001,PANEL B,Panel B - 2 Visits,R04,SOYA BEANS,RG04,.5,ACRE,.80000001,,10,CLEAR / SUNNY
1,0943-001,PANEL A,Panel A - 2 Visits,R01,MAIZE,RG01,3,ACRE,3.1400001,,12,CLEAR / SUNNY
2,0943-001,PANEL A,Panel A - 2 Visits,R02,G/NUTS,RG02,.5,ACRE,.82999998,,12,CLEAR / SUNNY
1,0944-001,PANEL B,Panel B - 2 Visits,R01,HYBRID,RG01,1.5,ACRE,1.5,,7,PARTLY CLOUDY / PARTLY SUNNY
2,0944-001,PANEL B,Panel B - 2 Visits,R02,GROUNDNUTS,RG02,.5,ACRE,.5,,11,PARTLY CLOUDY / PARTLY SUNNY
3,0944-001,PANEL B,Panel B - 2 Visits,R03,SOYA,RG03,.5,ACRE,.80000001,,11,PARTLY CLOUDY / PARTLY SUNNY
4,0944-001,PANEL B,Panel B - 2 Visits,R04,TOBACCO,RG04,1,HECTARE,1.7,,10,PARTLY CLOUDY / PARTLY SUNNY
5,0944-001,PANEL B,Panel B - 2 Visits,R05,HYBRID,RG05,1,ACRE,1.8,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0944-003,PANEL B,Panel B - 2 Visits,R01,HYBRID,RG01,1,ACRE,1.2,,11,PARTLY CLOUDY / PARTLY SUNNY
2,0944-003,PANEL B,Panel B - 2 Visits,R02,TOBACCO,RG02,1,ACRE,1,,11,PARTLY CLOUDY / PARTLY SUNNY
3,0944-003,PANEL B,Panel B - 2 Visits,R03,GNUTS,RG03,.5,ACRE,.5,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0945-001,PANEL A,Panel A - 2 Visits,R01,MAIZE,RG01,.75,ACRE,1.28,,12,CLEAR / SUNNY
2,0945-001,PANEL A,Panel A - 2 Visits,R02,G/NUTS,RG01,.25,ACRE,.47999999,,12,CLEAR / SUNNY
1,0945-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0946-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,.5,ACRE,.34,,12,CLEAR / SUNNY
2,0946-001,PANEL B,Panel B - 2 Visits,R02,TOBACCO,RG02,.5,ACRE,.75999999,,12,CLEAR / SUNNY
3,0946-001,PANEL B,Panel B - 2 Visits,R03,KUSERI,RG03,.60000002,ACRE,.44,,9,CLEAR / SUNNY
4,0946-001,PANEL B,Panel B - 2 Visits,R04,KUMCHENGA,RG04,.30000001,ACRE,.13,,9,CLEAR / SUNNY
1,0947-001,PANEL A,Panel A - Combined Visit,R01,HYBRID MAIZE,RG01,1.5,ACRE,1,,10,CLEAR / SUNNY
2,0947-001,PANEL A,Panel A - Combined Visit,R02,G/NUTS,RG01,1,ACRE,.80000001,,10,CLEAR / SUNNY
3,0947-001,PANEL A,Panel A - Combined Visit,R03,SOYA,RG01,.5,ACRE,.89999998,,10,CLEAR / SUNNY
4,0947-001,PANEL A,Panel A - Combined Visit,R04,TOBACCO,RG01,1,ACRE,.69999999,,10,CLEAR / SUNNY
5,0947-001,PANEL A,Panel A - Combined Visit,R05,BEANS,RG01,.5,ACRE,.2,,10,CLEAR / SUNNY
1,0948-001,PANEL B,Panel B - 2 Visits,R01,MAIZE,RG01,1,ACRE,1.4,,11,CLEAR / SUNNY
2,0948-001,PANEL B,Panel B - 2 Visits,R02,SOYA,RG01,.5,ACRE,.63999999,,11,CLEAR / SUNNY
1,0948-003,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,1,ACRE,.85000002,,12,CLEAR / SUNNY
1,0949-001,PANEL A,Panel A - 2 Visits,R01,MAIZE,RG01,3,ACRE,2.9300001,,9,MOSTLY CLEAR / MOSTLY SUNNY
2,0949-001,PANEL A,Panel A - 2 Visits,R02,G/NUTS,RG02,2.5,ACRE,2.1800001,,10,MOSTLY CLEAR / MOSTLY SUNNY
3,0949-001,PANEL A,Panel A - 2 Visits,R03,SOYA,RG04,1.5,ACRE,.75,,10,MOSTLY CLEAR / MOSTLY SUNNY
4,0949-001,PANEL A,Panel A - 2 Visits,R04,G/NUTS,RG03,2,ACRE,1.51,,10,MOSTLY CLEAR / MOSTLY SUNNY
1,0949-009,PANEL A,Panel A - 2 Visits,R01,MAIZE,RG01,.5,ACRE,.56999999,,10,PARTLY CLOUDY / PARTLY SUNNY
2,0949-009,PANEL A,Panel A - 2 Visits,R02,G/NUTS,RG02,1,ACRE,.40000001,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0950-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,.5,ACRE,1.28,,12,CLEAR / SUNNY
2,0950-001,PANEL B,Panel B - 2 Visits,R02,SOYABEAN,RG02,.5,ACRE,1.1,,12,CLEAR / SUNNY
3,0950-001,PANEL B,Panel B - 2 Visits,R03,G\NUTS,RG03,,,,OTHER (SPECIFY),,
4,0950-001,PANEL B,Panel B - 2 Visits,R04,GROUNDBEANS,RG03,,,,OTHER (SPECIFY),,
1,0951-001,PANEL A,Panel A - 2 Visits,R01,MAIZE,RG01,1,ACRE,1.09,,10,PARTLY CLOUDY / PARTLY SUNNY
2,0951-001,PANEL A,Panel A - 2 Visits,R02,G/NUTS,RG02,.25,ACRE,.13,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0952-001,PANEL B,Panel B - 2 Visits,R01,HYBRID,RG01,2,ACRE,1.2,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0952-001,PANEL B,Panel B - 2 Visits,R02,GROUNDNUTS,RG02,.5,ACRE,1,,11,PARTLY CLOUDY / PARTLY SUNNY
3,0952-001,PANEL B,Panel B - 2 Visits,R03,SOYA,RG03,.5,ACRE,.40000001,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0953-001,PANEL A,Panel A - 2 Visits,R01,LOCAL,RG01,1,ACRE,1.2,,11,CLEAR / SUNNY
2,0953-001,PANEL A,Panel A - 2 Visits,R02,GROUNDNUTS,RG02,.5,ACRE,.69999999,,11,CLEAR / SUNNY
1,0954-001,PANEL B,Panel B - 2 Visits,R01,LOCAL,RG01,.5,ACRE,.40000001,,11,PARTLY CLOUDY / PARTLY SUNNY
2,0954-001,PANEL B,Panel B - 2 Visits,R02,GNUTS,RG02,.25,ACRE,.1,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0955-001,PANEL A,Panel A - 2 Visits,R01,HYBRID,RG01,2,ACRE,1.4,,12,CLEAR / SUNNY
2,0955-001,PANEL A,Panel A - 2 Visits,R02,GRROUNDNUTS,RG02,1,ACRE,1,,12,CLEAR / SUNNY
3,0955-001,PANEL A,Panel A - 2 Visits,R03,SOYA,RG03,.5,ACRE,.30000001,,12,CLEAR / SUNNY
1,0956-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,1.5,ACRE,1.7,,11,MOSTLY CLEAR / MOSTLY SUNNY
2,0956-001,PANEL B,Panel B - 2 Visits,R02,G\NUTS,RG02,.25,ACRE,.41999999,,11,MOSTLY CLEAR / MOSTLY SUNNY
3,0956-001,PANEL B,Panel B - 2 Visits,R03,SOYA BEANS,RG03,1,ACRE,1.71,,11,MOSTLY CLEAR / MOSTLY SUNNY
1,0956-002,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,2,ACRE,1.41,,11,MOSTLY CLEAR / MOSTLY SUNNY
2,0956-002,PANEL B,Panel B - 2 Visits,R02,G/NUTS,RG02,1,ACRE,.89999998,,11,MOSTLY CLEAR / MOSTLY SUNNY
3,0956-002,PANEL B,Panel B - 2 Visits,R03,SOYABEANS,RG03,1,ACRE,.85000002,,11,MOSTLY CLEAR / MOSTLY SUNNY
1,0957-001,PANEL A,Panel A - 2 Visits,R01,LOCAL,RG01,1,ACRE,1.1,,12,CLEAR / SUNNY
2,0957-001,PANEL A,Panel A - 2 Visits,R02,SOYA,RG02,.5,ACRE,.5,,12,CLEAR / SUNNY
1,0957-002,PANEL A,Panel A - Only Visit 1,R01,LOCAL MAIZE,RG01,1.5,ACRE,1,,10,CLEAR / SUNNY
2,0957-002,PANEL A,Panel A - Only Visit 1,R02,G/NUTS,RG02,.5,ACRE,.5,,10,CLEAR / SUNNY
1,0958-002,PANEL B,Panel B - Combined Visit,R01,HYBRID MAIZE,RG01,1,ACRE,.89999998,,12,CLEAR / SUNNY
2,0958-002,PANEL B,Panel B - Combined Visit,R02,GROUNDNUTS,RG02,.5,ACRE,,HOUSEHOLD REFUSED,,
1,0959-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,2,ACRE,2.0699999,,10,MOSTLY CLEAR / MOSTLY SUNNY
2,0959-001,PANEL A,Panel A - 2 Visits,R02,G/NUTS,RG02,.5,ACRE,1.3,,10,MOSTLY CLEAR / MOSTLY SUNNY
1,0959-003,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,2,ACRE,1.58,,10,MOSTLY CLEAR / MOSTLY SUNNY
1,0960-001,PANEL B,Panel B - 2 Visits,R01,LOCAL,RG01,1,ACRE,1.5,,12,MOSTLY CLEAR / MOSTLY SUNNY
1,0961-001,PANEL A,Panel A - 2 Visits,R01,L/MAIZE,RG01,1,ACRE,,TOO FAR,,
2,0961-001,PANEL A,Panel A - 2 Visits,R02,G/NUTS,RG01,1,ACRE,,TOO FAR,,
1,0961-003,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,1.5,ACRE,.92000002,,10,MOSTLY CLEAR / MOSTLY SUNNY
2,0961-003,PANEL A,Panel A - 2 Visits,R02,G/NUTS,RG02,1,ACRE,.69999999,,10,MOSTLY CLEAR / MOSTLY SUNNY
1,0962-001,PANEL B,Panel B - 2 Visits,R01,TOBACCO,RG01,1,ACRE,.85000002,,11,MOSTLY CLEAR / MOSTLY SUNNY
2,0962-001,PANEL B,Panel B - 2 Visits,R02,LOCAL MAIZE,RG02,1,ACRE,.80000001,,11,MOSTLY CLEAR / MOSTLY SUNNY
3,0962-001,PANEL B,Panel B - 2 Visits,R03,G\NUTS,RG03,.5,ACRE,.43000001,,11,MOSTLY CLEAR / MOSTLY SUNNY
1,0963-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,1.15,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0963-001,PANEL A,Panel A - 2 Visits,R02,GROUNDNUTS,RG02,.25,ACRE,.31,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0964-001,PANEL B,Panel B - 2 Visits,R01,OPV RECYCLED,RG01,1,ACRE,1.41,,11,MOSTLY CLEAR / MOSTLY SUNNY
2,0964-001,PANEL B,Panel B - 2 Visits,R02,TOBACCO,RG02,1,ACRE,.70999998,,11,MOSTLY CLEAR / MOSTLY SUNNY
3,0964-001,PANEL B,Panel B - 2 Visits,R03,G\NUTS,RG03,.5,ACRE,.28,,11,MOSTLY CLEAR / MOSTLY SUNNY
1,0965-001,PANEL A,Panel A - 2 Visits,R01,LOCAL,RG01,.5,ACRE,.30000001,,11,MOSTLY CLEAR / MOSTLY SUNNY
1,0966-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,.77999997,,10,MOSTLY CLEAR / MOSTLY SUNNY
2,0966-001,PANEL B,Panel B - 2 Visits,R02,HYBRID RECYCLED,RG02,.5,ACRE,.49000001,,10,MOSTLY CLEAR / MOSTLY SUNNY
3,0966-001,PANEL B,Panel B - 2 Visits,R03,G\NUTS,RG03,.25,ACRE,.15000001,,10,MOSTLY CLEAR / MOSTLY SUNNY
4,0966-001,PANEL B,Panel B - 2 Visits,R04,TOBACCO,RG04,1,ACRE,.99000001,,10,MOSTLY CLEAR / MOSTLY SUNNY
1,0967-001,PANEL A,Panel A - 2 Visits,R01,MAIZE,RG01,1,ACRE,.94,,10,PARTLY CLOUDY / PARTLY SUNNY
2,0967-001,PANEL A,Panel A - 2 Visits,R02,GROUNDNUTS,RG01,.5,ACRE,.11,,10,PARTLY CLOUDY / PARTLY SUNNY
3,0967-001,PANEL A,Panel A - 2 Visits,R03,MAIZE,RG02,.25,ACRE,.25,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0968-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,1,ACRE,1.71,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0968-001,PANEL B,Panel B - 2 Visits,R02,TOBACCO,RG02,2,ACRE,1.6799999,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0969-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,1.5,ACRE,1.6,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0969-001,PANEL A,Panel A - 2 Visits,R02,GROUNDNUTS,RG02,.5,ACRE,.49000001,,10,CLEAR / SUNNY
1,0970-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,1,ACRE,1.59,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0970-001,PANEL B,Panel B - 2 Visits,R02,TOBACCO,RG02,1,ACRE,1.01,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0971-001,PANEL A,Panel A - 2 Visits,R01,MAIZE,RG01,2,ACRE,1.86,,11,MOSTLY CLEAR / MOSTLY SUNNY
2,0971-001,PANEL A,Panel A - 2 Visits,R02,GROUNDNUTS,RG02,1,ACRE,.75,,11,MOSTLY CLEAR / MOSTLY SUNNY
1,0972-001,PANEL B,Panel B - 2 Visits,R01,MAIZE,RG01,2,ACRE,3.5,,11,CLEAR / SUNNY
2,0972-001,PANEL B,Panel B - 2 Visits,R02,G\NUTS,RG02,2,ACRE,3.6099999,,11,CLEAR / SUNNY
3,0972-001,PANEL B,Panel B - 2 Visits,R03,TOBACCO,RG02,1,ACRE,2.8800001,,11,CLEAR / SUNNY
1,0972-003,PANEL B,Panel B - 2 Visits,R01,MAIZE,RG01,2,ACRE,1.95,,11,CLEAR / SUNNY
1,0973-002,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,1,ACRE,1.67,,11,MOSTLY CLEAR / MOSTLY SUNNY
2,0973-002,PANEL A,Panel A - 2 Visits,R02,GROUNDNUTS,RG02,.5,ACRE,.38999999,,11,MOSTLY CLEAR / MOSTLY SUNNY
1,0974-001,PANEL B,Panel B - 2 Visits,R01,HYBRID,RG01,1,ACRE,.80000001,,12,CLEAR / SUNNY
2,0974-001,PANEL B,Panel B - 2 Visits,R02,GROUNDNUTS,RG02,1,ACRE,.89999998,,11,CLEAR / SUNNY
3,0974-001,PANEL B,Panel B - 2 Visits,R03,TOBACCO,RG03,1,ACRE,1.2,,11,CLEAR / SUNNY
1,0975-001,PANEL A,Panel A - 2 Visits,R01,MAIZE,RG01,1,ACRE,.63999999,,11,CLEAR / SUNNY
2,0975-001,PANEL A,Panel A - 2 Visits,R02,TOBACCO,RG01,.5,ACRE,1.02,,11,CLEAR / SUNNY
1,0976-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,1,ACRE,1.76,,12,CLEAR / SUNNY
2,0976-001,PANEL B,Panel B - 2 Visits,R02,G\NUTS,RG02,.5,ACRE,.38999999,,12,CLEAR / SUNNY
1,0977-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,.5,ACRE,1.22,,11,MOSTLY CLEAR / MOSTLY SUNNY
2,0977-001,PANEL A,Panel A - 2 Visits,R02,GROUNDNUTS,RG02,.25,ACRE,.16,,11,MOSTLY CLEAR / MOSTLY SUNNY
1,0978-001,PANEL B,Panel B - 2 Visits,R01,MAIZE,RG01,1,ACRE,1.01,,11,CLEAR / SUNNY
2,0978-001,PANEL B,Panel B - 2 Visits,R02,G\NUTS,RG01,.5,ACRE,.46000001,,11,CLEAR / SUNNY
3,0978-001,PANEL B,Panel B - 2 Visits,R03,TOBACCO,RG01,.5,ACRE,.23999999,,11,CLEAR / SUNNY
1,0979-002,PANEL A,Panel A - 2 Visits,R01,LOCAL,RG01,1,ACRE,.69999999,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0980-001,PANEL B,Panel B - 2 Visits,R01,MAIZE,RG01,2,ACRE,2.21,,11,CLEAR / SUNNY
2,0980-001,PANEL B,Panel B - 2 Visits,R02,G\NUTS,RG01,1.5,ACRE,1.39,,11,CLEAR / SUNNY
3,0980-001,PANEL B,Panel B - 2 Visits,R03,TOBACCO,RG01,.5,ACRE,1.73,,11,CLEAR / SUNNY
4,0980-001,PANEL B,Panel B - 2 Visits,R04,MUNDA,RG01,1,ACRE,1.3099999,,11,CLEAR / SUNNY
5,0980-001,PANEL B,Panel B - 2 Visits,R05,MUNDA,RG01,1,ACRE,.89999998,,11,CLEAR / SUNNY
1,0981-001,PANEL A,Panel A - 2 Visits,R01,HYBRID,RG01,2,ACRE,1.8,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0981-001,PANEL A,Panel A - 2 Visits,R02,GROUNDNUTS,RG02,1.5,ACRE,1.1,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0982-001,PANEL B,Panel B - 2 Visits,R01,LOCAL,RG01,1,ACRE,1.1,,12,CLEAR / SUNNY
2,0982-001,PANEL B,Panel B - 2 Visits,R02,SOYA,RG02,1,ACRE,1.3,,12,CLEAR / SUNNY
3,0982-001,PANEL B,Panel B - 2 Visits,R03,LOCAL,RG03,1,ACRE,1.7,,8,CLEAR / SUNNY
