occ,y2_hhid,qx_type,interview_status,ag_b0a,ag_b0c,ag_b01a,ag_b01b,ag_b02,ag_b03a,ag_b03b,ag_b04a,ag_b04b,ag_b04c,ag_b05a,ag_b05b,ag_b06,ag_b07a,ag_b07b,ag_b07c,ag_b08,ag_b09a,ag_b09b,ag_b10,ag_b11a,ag_b11b,ag_b11c,ag_b12a,ag_b12b,ag_b12c,ag_b13a,ag_b13b,ag_b13c,ag_b14a,ag_b14b,ag_b14c,ag_b15a,ag_b15b,ag_b15c,ag_b16a,ag_b16b,ag_b16c,ag_b16d,ag_b17a,ag_b17b,ag_b18,ag_b19,ag_b20a,ag_b20b,ag_b20c,ag_b21a,ag_b21b,ag_b22a,ag_b22b
3,0149-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,25,ACRE,NO,,,3,50 KG BAG,SHELLED,APRIL,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0152-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID RECYCLED,1,ACRE,YES,DROUGHT,,10,PAIL (LARGE),SHELLED,APRIL,APRIL,NO,,,,,,,,0,,,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0153-001,PANEL A,Panel A - 2 Visits,YES,RICE IET4094 (SENGA),2,ACRE,YES,IRREGULAR RAINS,,60,PAIL (LARGE),UNSHELLED,MAY,JUNE,YES,30,PAIL (LARGE),UNSHELLED,30000,1,2,0,5,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,10,PAIL (LARGE),UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0153-001,PANEL A,Panel A - 2 Visits,YES,OTHER RICE (SPECIFY),1,ACRE,NO,,,80,PAIL (LARGE),UNSHELLED,MAY,JULY,YES,20,PAIL (LARGE),UNSHELLED,38000,1,2,0,2,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,10,PAIL (LARGE),UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0154-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,2,50 KG BAG,SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0154-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,.5,ACRE,NO,,,1,50 KG BAG,SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
3,0154-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,.25,ACRE,NO,,,1,50 KG BAG,SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0155-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,.25,ACRE,NO,,,3,50 KG BAG,SHELLED,MARCH,MARCH,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,1,50 KG BAG,SHELLED,SPRAYING,SMOKING,FOOD FOR HOUSEHOLD,
2,0155-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,4,50 KG BAG,SHELLED,MARCH,MARCH,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,2,50 KG BAG,SHELLED,SPRAYING,SMOKING,FOOD FOR HOUSEHOLD,
3,0155-001,PANEL A,Panel A - 2 Visits,YES,RICE KILOMBERO,1,ACRE,NO,,,5,50 KG BAG,UNSHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,2,50 KG BAG,SHELLED,SPRAYING,SMOKING,FOOD FOR HOUSEHOLD,
1,0156-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,.5,ACRE,NO,,,2,50 KG BAG,SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,15,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0156-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,.25,ACRE,NO,,,1,50 KG BAG,SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,15,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0157-001,PANEL A,Panel A - 2 Visits,YES,RICE KILOMBERO,2,ACRE,YES,DROUGHT,,40,PAIL (LARGE),UNSHELLED,MAY,JUNE,YES,40,PAIL (LARGE),UNSHELLED,48000,1,,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0157-001,PANEL A,Panel A - 2 Visits,YES,RICE KILOMBERO,1.5,ACRE,NO,,,60,PAIL (LARGE),UNSHELLED,JUNE,JUNE,NO,,,,,,,,10,PAIL (LARGE),SHELLED,0,,,0,,,0,,,5,PAIL (LARGE),UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0158-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,3,OX-CART,UNSHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,10,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
2,0158-001,PANEL B,Panel B - 2 Visits,YES,GROUNDNUT CHALIMBANA,1,ACRE,NO,,,15,50 KG BAG,UNSHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,1,50 KG BAG,UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
1,0159-001,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,.75,ACRE,NO,,,5,50 KG BAG,SHELLED,MARCH,MARCH,YES,2,PAIL (LARGE),SHELLED,2600,1,2,0,0,,,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0159-001,PANEL A,Panel A - 2 Visits,YES,RICE KILOMBERO,1.5,ACRE,NO,,,10,PAIL (LARGE),UNSHELLED,JUNE,JULY,YES,10,PAIL (LARGE),UNSHELLED,20000,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,WAIT FOR THE ARRIVAL OF BUYER,
3,0159-001,PANEL A,Panel A - 2 Visits,YES,RICE KILOMBERO,1.5,ACRE,NO,,,10,PAIL (LARGE),UNSHELLED,JUNE,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,5,PAIL (LARGE),UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0160-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,1.75,ACRE,YES,OTHER (SPECIFY),,20,PAIL (LARGE),SHELLED,MAY,MAY,NO,,,,,,,,1,PAIL (LARGE),SHELLED,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0161-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,1.5,ACRE,NO,,,16,PAIL (LARGE),SHELLED,APRIL,MAY,NO,,,,,,,,2,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
2,0161-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,8,PAIL (LARGE),SHELLED,APRIL,APRIL,NO,,,,,,,,1,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
1,0161-006,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0162-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,1,ACRE,YES,DROUGHT,,25,PAIL (LARGE),SHELLED,APRIL,APRIL,NO,,,,,,,,0,,,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0163-001,PANEL A,Panel A - 2 Visits,YES,MAIZE COMPOSITE/OPV,1,ACRE,YES,DROUGHT,,30,PAIL (LARGE),SHELLED,JULY,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,10,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
2,0163-001,PANEL A,Panel A - 2 Visits,YES,SWEET POTATO,.25,ACRE,NO,,,14,PAIL (LARGE),NOT APPLICABLE,MARCH,MAY,NO,,,,,,,,3,PAIL (LARGE),NOT APPLICABLE,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,OTHER (SPECIFY),
3,0163-001,PANEL A,Panel A - 2 Visits,YES,RICE IET4094 (SENGA),.5,ACRE,YES,DROUGHT,,8,PAIL (LARGE),UNSHELLED,JULY,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0164-001,PANEL B,Panel B - 2 Visits,YES,MAIZE COMPOSITE/OPV,.5,ACRE,NO,,,2,OX-CART,UNSHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0164-001,PANEL B,Panel B - 2 Visits,YES,COTTON,.5,ACRE,NO,,,2,50 KG BAG,NOT APPLICABLE,JULY,JULY,YES,2,OTHER (SPECIFY),NOT APPLICABLE,7300,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,TO SELL AT A HIGHER PRICE,0
3,0164-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,1,50 KG BAG,SHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0165-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,.5,ACRE,YES,DROUGHT,,8,PAIL (LARGE),SHELLED,MAY,MAY,NO,,,,,,,,2,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
1,0166-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,1,ACRE,NO,,,10,50 KG BAG,SHELLED,MAY,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0166-001,PANEL B,Panel B - 2 Visits,YES,GROUNDNUT MANIPINTA,.5,ACRE,NO,,,2,50 KG BAG,SHELLED,MAY,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0167-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID RECYCLED,1,ACRE,YES,DROUGHT,,60,PAIL (LARGE),SHELLED,MAY,MAY,YES,5,PAIL (LARGE),SHELLED,6000,1,2,0,0,,,1,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0167-001,PANEL A,Panel A - 2 Visits,YES,GROUNDNUT CHALIMBANA,.25,ACRE,YES,DROUGHT,,4,PAIL (LARGE),UNSHELLED,APRIL,APRIL,NO,,,,,,,,0,,,0,,,0,,,0,,,10,PAIL (LARGE),UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
3,0167-001,PANEL A,Panel A - 2 Visits,YES,SWEET POTATO,.25,ACRE,YES,DROUGHT,,10,PAIL (LARGE),NOT APPLICABLE,JULY,JULY,YES,4,PAIL (LARGE),NOT APPLICABLE,2000,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,OTHER (SPECIFY),
4,0167-001,PANEL A,Panel A - 2 Visits,YES,NKHWANI,1,ACRE,NO,,,15,OTHER (SPECIFY),NOT APPLICABLE,JANUARY,APRIL,YES,7,OTHER (SPECIFY),NOT APPLICABLE,7500,1,2,0,3,OTHER (SPECIFY),NOT APPLICABLE,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,OTHER (SPECIFY),
1,0168-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,.75,ACRE,NO,,,9,PAIL (LARGE),SHELLED,MAY,MAY,NO,,,,,,,,1,PAIL (LARGE),SHELLED,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
2,0168-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,.75,ACRE,NO,,,5,PAIL (LARGE),SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
1,0168-002,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,1,ACRE,YES,IRREGULAR RAINS,,25,PAIL (LARGE),SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0168-006,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0169-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,.30000001,ACRE,NO,,,9,50 KG BAG,SHELLED,MAY,MAY,YES,5,PAIL (LARGE),SHELLED,5000,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0170-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,1,ACRE,YES,DROUGHT,,10,PAIL (LARGE),SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0170-001,PANEL B,Panel B - 2 Visits,YES,PIGEONPEA(NANDOLO),1,ACRE,YES,DROUGHT,,3,PAIL (LARGE),SHELLED,JULY,AUGUST,NO,,,,,,,,1,PAIL (LARGE),SHELLED,0,,,0,,,0,,,1,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
3,0170-001,PANEL B,Panel B - 2 Visits,YES,RICE KILOMBERO,.5,ACRE,YES,DROUGHT,,10,PAIL (LARGE),UNSHELLED,JUNE,JUNE,NO,,,,,,,,2,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
4,0170-001,PANEL B,Panel B - 2 Visits,YES,OTHER GROUNDNUT (SPECIFY),.25,ACRE,YES,DROUGHT,,14,PAIL (LARGE),UNSHELLED,APRIL,APRIL,YES,6,PAIL (LARGE),UNSHELLED,4800,1,2,0,1,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,3,PAIL (LARGE),UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0171-001,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,1.5,ACRE,NO,,,6,50 KG BAG,SHELLED,JUNE,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0171-001,PANEL A,Panel A - 2 Visits,YES,SWEET POTATO,.25,ACRE,NO,,,2,50 KG BAG,NOT APPLICABLE,JUNE,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
3,0171-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,4,50 KG BAG,SHELLED,JUNE,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0171-003,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,.5,ACRE,YES,IRREGULAR RAINS,,12,50 KG BAG,SHELLED,MAY,MAY,YES,3,50 KG BAG,SHELLED,28000,1,,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0171-003,PANEL A,Panel A - 2 Visits,YES,BEANS,.5,ACRE,YES,IRREGULAR RAINS,,20,KILOGRAM,SHELLED,APRIL,APRIL,NO,,,,,,,,2,KILOGRAM,SHELLED,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
1,0172-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,.25,ACRE,NO,,,2,50 KG BAG,SHELLED,JUNE,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,20,KILOGRAM,SHELLED,2,KILOGRAM,SHELLED,,RODENTS/PESTS,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0174-002,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID RECYCLED,.5,ACRE,NO,,,8,50 KG BAG,SHELLED,MAY,MAY,YES,2,50 KG BAG,SHELLED,8800,1,,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0174-002,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,1.5,ACRE,NO,,,3,OX-CART,UNSHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0176-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,1,ACRE,NO,,,20,PAIL (LARGE),SHELLED,MAY,MAY,YES,3,PAIL (LARGE),SHELLED,1800,1,2,0,1,PAIL (LARGE),SHELLED,0,,,0,,,0,,,1,PAIL (SMALL),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0177-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,4,50 KG BAG,SHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0177-001,PANEL A,Panel A - 2 Visits,YES,RICE KILOMBERO,.25,ACRE,NO,,,1,50 KG BAG,SHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0177-007,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0178-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,.5,ACRE,YES,ANIMALS,,7,50 KG BAG,SHELLED,JUNE,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,10,50 KG BAG,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0178-001,PANEL B,Panel B - 2 Visits,YES,GROUNDNUT MANIPINTA,.5,ACRE,NO,,,2,50 KG BAG,SHELLED,JUNE,JULY,YES,2,50 KG BAG,SHELLED,12000,1,,0,0,,,0,,,0,,,0,,,15,50 KG BAG,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0178-002,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,1,ACRE,NO,,,2,50 KG BAG,SHELLED,MAY,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0178-002,PANEL B,Panel B - 2 Visits,YES,GROUNDNUT MANIPINTA,.25,ACRE,NO,,,1,50 KG BAG,SHELLED,MAY,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0178-003,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0179-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,18,PAIL (LARGE),SHELLED,MAY,MAY,NO,,,,,,,,2,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
1,0180-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,2,ACRE,NO,,,15,PAIL (LARGE),SHELLED,MAY,MAY,NO,,,,,,,,3,PAIL (LARGE),SHELLED,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0181-001,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,.80000001,ACRE,NO,,,5,50 KG BAG,SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,20,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0182-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,1,ACRE,YES,DROUGHT,,20,PAIL (LARGE),SHELLED,MAY,MAY,NO,,,,,,,,5,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0184-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID RECYCLED,.5,ACRE,NO,,,3,50 KG BAG,SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0184-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID RECYCLED,.5,ACRE,NO,,,3,50 KG BAG,SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0185-001,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,.5,ACRE,NO,,,20,PAIL (LARGE),SHELLED,MAY,MAY,YES,4,PAIL (LARGE),SHELLED,7800,1,,0,2,PAIL (LARGE),SHELLED,0,,,0,,,0,,,1,PAIL (SMALL),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0186-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,1,ACRE,NO,,,2,50 KG BAG,SHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,20,50 KG BAG,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0186-001,PANEL B,Panel B - 2 Visits,YES,RICE PUSSA,.25,ACRE,NO,,,1,50 KG BAG,SHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,5,50 KG BAG,UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
3,0186-001,PANEL B,Panel B - 2 Visits,YES,COTTON,1,ACRE,NO,,,80,50 KG BAG,NOT APPLICABLE,JUNE,JULY,YES,80,50 KG BAG,NOT APPLICABLE,15000,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0188-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,1.5,ACRE,NO,,,40,PAIL (LARGE),SHELLED,APRIL,APRIL,NO,,,,,,,,2,PAIL (LARGE),SHELLED,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
2,0188-001,PANEL B,Panel B - 2 Visits,YES,OTHER RICE (SPECIFY),.5,ACRE,YES,IRREGULAR RAINS,,10,PAIL (LARGE),UNSHELLED,MAY,MAY,NO,,,,,,,,2,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,1,PAIL (LARGE),UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0189-001,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,1.5,ACRE,YES,OTHER (SPECIFY),IRREGULAR RAINS,17,PAIL (LARGE),SHELLED,MAY,MAY,YES,2,PAIL (LARGE),SHELLED,2200,1,3,0,1,PAIL (LARGE),SHELLED,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0189-002,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,1.5,ACRE,YES,OTHER (SPECIFY),IRREGULAR RAINS,10,PAIL (LARGE),SHELLED,MAY,MAY,NO,,,,,,,,2,PAIL (SMALL),SHELLED,0,,,0,,,0,,,1,PAIL (SMALL),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0190-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,2,ACRE,NO,,,30,PAIL (LARGE),SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,20,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
2,0190-001,PANEL B,Panel B - 2 Visits,YES,OTHER GROUNDNUT (SPECIFY),.25,ACRE,NO,,,30,PAIL (LARGE),UNSHELLED,APRIL,MAY,YES,10,PAIL (LARGE),UNSHELLED,15000,1,2,0,0,,,0,,,0,,,0,,,5,PAIL (LARGE),UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
