occ,ea_id,com_ce01a,com_ce01b,com_ce01c,com_ce02,com_ce03,com_ce04,com_ce05a,com_ce05b,com_ce06,com_ce07,com_ce08a,com_ce08b,com_ce08_1,com_ce08_2,com_ce09,com_ce10,com_ce11a,com_ce11b,com_ce12,com_ce13,com_ce14a,com_ce14b,com_ce15
1,21088597,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,,YES,1/4,OUTSIDE MALAWI,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,OUTSIDE MALAWI,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,1000,500,NO,,,,,,,,
1,30101280,FARMING,FISHING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",YES,1/4,OUTSIDE MALAWI,CIVIL SERVICE,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",YES,RURAL AREAS,FARMING,FISHING,800,800,YES,300,1,DAY,1/4,300,1,DAY,3/4
1,30101545,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,CIVIL SERVICE,YES,RURAL AREAS,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,1000,500,YES,30,1,DAY,1/4,300,1,DAY,1/2
1,30102028,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,CIVIL SERVICE,YES,ALMOST NONE,URBAN CENTRES,FARMING,,YES,RURAL AREAS,FARMING,,1000,1000,YES,300,1,DAY,1/4,300,1,DAY,1/2
1,30102540,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,ALMOST NONE,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,CIVIL SERVICE,YES,RURAL AREAS,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,1500,1000,NO,,,,,,,,
1,30103074,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,URBAN CENTRES,CIVIL SERVICE,SMALL-SCALE TRADE & SERVICE PROVISION,YES,RURAL AREAS,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,1000,1000,NO,,,,,,,,
1,30104708,FARMING,CIVIL SERVICE,,YES,1/2,URBAN CENTRES,CIVIL SERVICE,SMALL-SCALE TRADE & SERVICE PROVISION,YES,RURAL AREAS,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,1000,1000,YES,3000,1,DAY,1/4,300,1,DAY,1/2
1,30105325,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,3/4,URBAN CENTRES,CIVIL SERVICE,,YES,OUTSIDE MALAWI,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",3500,3500,YES,300,1,DAY,1/4,300,1,MONTH,1/2
1,30105448,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,URBAN CENTRES,CIVIL SERVICE,SMALL-SCALE TRADE & SERVICE PROVISION,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,1000,1000,YES,300,1,DAY,1/2,300,1,DAY,1/2
1,30107624,FARMING,,,YES,1/4,OUTSIDE MALAWI,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,YES,RURAL AREAS,FARMING,,300,300,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,30108401,FARMING,FISHING,SMALL-SCALE TRADE & SERVICE PROVISION,YES,3/4,OUTSIDE MALAWI,CIVIL SERVICE,SMALL-SCALE TRADE & SERVICE PROVISION,YES,RURAL AREAS,FISHING,SMALL-SCALE TRADE & SERVICE PROVISION,500,400,YES,300,1,DAY,1/4,300,1,DAY,ALMOST NONE
1,30109724,FARMING,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",YES,1/4,URBAN CENTRES,CIVIL SERVICE,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",YES,RURAL AREAS,FARMING,FISHING,1000,800,YES,300,1,DAY,1/4,300,1,DAY,1/2
1,30202252,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,CIVIL SERVICE,YES,RURAL AREAS,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,1000,1000,YES,300,1,DAY,1/4,300,1,DAY,1/2
1,30206341,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/2,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,CIVIL SERVICE,YES,RURAL AREAS,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,1000,800,YES,300,1,DAY,1/4,300,1,DAY,1/2
1,30206572,FARMING,FISHING,SMALL-SCALE TRADE & SERVICE PROVISION,YES,1/2,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,CIVIL SERVICE,YES,RURAL AREAS,FARMING,FISHING,500,300,YES,300,1,DAY,1/4,300,1,DAY,1/2
1,30208396,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,YES,RURAL AREAS,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,200,200,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,30212307,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,CIVIL SERVICE,YES,1/2,URBAN CENTRES,CIVIL SERVICE,SMALL-SCALE TRADE & SERVICE PROVISION,YES,RURAL AREAS,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,1500,1500,YES,300,1,DAY,1/4,300,1,DAY,1/2
1,30212492,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/2,URBAN CENTRES,CIVIL SERVICE,SMALL-SCALE TRADE & SERVICE PROVISION,YES,RURAL AREAS,FARMING,,1800,1800,NO,,,,,,,,
1,30302601,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,RURAL AREAS,FARMING,,NO,,,,300,150,NO,,,,,,,,
1,30305082,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,RURAL AREAS,FARMING,,NO,,,,200,150,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,30305277,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,URBAN CENTRES,FARMING,,YES,RURAL AREAS,FARMING,,300,300,NO,,,,,,,,
1,30305580,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,ALMOST NONE,RURAL AREAS,FARMING,,NO,,,,400,300,NO,,,,,,,,
1,30306087,FARMING,,,YES,ALMOST NONE,URBAN CENTRES,OTHER (SPECIFY),FARMING,YES,RURAL AREAS,FARMING,,500,200,NO,,,,,,,,
1,30306555,FARMING,"FIREWOOD, CHARCOAL SELLING",,YES,ALMOST NONE,RURAL AREAS,FARMING,,YES,RURAL AREAS,FARMING,,300,300,NO,,,,,,,,
1,30307678,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,YES,RURAL AREAS,FARMING,,400,500,NO,,,,,,,,
1,30403444,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,NO,,,,500,500,YES,3600,12,DAY,1/4,3600,12,DAY,1/4
1,30406710,FARMING,,,NO,,,,,NO,,,,200,200,YES,3600,12,DAY,1/4,360,12,DAY,1/4
1,30501383,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),YES,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,YES,RURAL AREAS,FARMING,,400,300,NO,,,,,,,,
1,30502456,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),NO,,,,300,200,NO,,,,,,,,
1,30503685,OTHER (SPECIFY),FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),OTHER (SPECIFY),NO,,,,300,500,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,30504518,FARMING,"FIREWOOD, CHARCOAL SELLING","BEER BREWING, KACHASU",YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,NO,,,,500,500,NO,,,,,,,,
1,30602235,FARMING,"BEER BREWING, KACHASU",OTHER (SPECIFY),YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),LARGE SCALE-SCALE COMMERCIAL INDUSTRY,NO,,,,200,100,NO,,,,,,,,
1,30620196,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,1000,1000,YES,300,1,DAY,1/4,300,1,DAY,3/4
1,30703381,FARMING,OTHER (SPECIFY),,NO,,,,,NO,,,,200,200,YES,3600,2,WEEK,1/4,3600,2,WEEK,3/4
1,30704313,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,RURAL AREAS,FARMING,,NO,,,,250,250,YES,300,2,WEEK,1/2,300,2,WEEK,1/2
1,30705391,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,RURAL AREAS,FARMING,PROFFESSIONAL OCCUPATIONS,YES,RURAL AREAS,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,500,500,NO,,,,,,,,
1,30706619,FARMING,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,SMALL-SCALE TRADE & SERVICE PROVISION,YES,1/4,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,SMALL-SCALE TRADE & SERVICE PROVISION,NO,,,,500,350,YES,3600,2,WEEK,3/4,3600,2,WEEK,1/4
1,30708665,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",SMALL-SCALE TRADE & SERVICE PROVISION,NO,,,,,NO,,,,300,300,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,30709438,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,500,500,YES,3500,12,DAY,1/4,3500,12,DAY,1/4
1,30710079,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,,YES,3/4,RURAL AREAS,FARMING,,YES,RURAL AREAS,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,500,500,NO,,,,,,,,
1,30711684,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,ALMOST NONE,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,300,300,YES,3600,2,WEEK,1/4,3600,2,WEEK,1/4
1,30801672,FARMING,,,YES,1/4,OUTSIDE MALAWI,FARMING,,NO,,,,500,500,YES,3600,12,DAY,1/2,3600,12,DAY,1/2
1,30801679,FARMING,OTHER (SPECIFY),SMALL-SCALE TRADE & SERVICE PROVISION,NO,,,,,NO,,,,330,330,YES,300,1,DAY,ALMOST NONE,300,1,DAY,1/2
1,30803115,FARMING,"FIREWOOD, CHARCOAL SELLING","BEER BREWING, KACHASU",NO,,,,,NO,,,,300,300,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,30804416,OTHER (SPECIFY),SMALL-SCALE TRADE & SERVICE PROVISION,FISHING,NO,,,,,NO,,,,300,300,YES,3600,2,WEEK,1/4,3600,2,WEEK,3/4
1,30805259,FARMING,"FIREWOOD, CHARCOAL SELLING",SMALL-SCALE TRADE & SERVICE PROVISION,NO,,,,,NO,,,,250,250,NO,,,,,,,,
1,30806611,FARMING,,,YES,1/4,RURAL AREAS,FARMING,,NO,,,,400,400,YES,3600,12,DAY,ALMOST NONE,3600,12,DAY,ALMOST NONE
1,30901054,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",NO,,,,,NO,,,,300,300,YES,350,1,DAY,1/4,350,1,DAY,1/4
1,30901475,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,URBAN CENTRES,FARMING,,YES,RURAL AREAS,FARMING,,500,500,YES,3600,12,DAY,1/4,3600,12,DAY,1/4
1,30901603,FARMING,"FIREWOOD, CHARCOAL SELLING","BEER BREWING, KACHASU",NO,,,,,NO,,,,300,300,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,31001333,FARMING,,,NO,,,,,NO,,,,300,250,YES,3600,2,WEEK,3/4,3600,2,WEEK,1/4
1,31001749,FARMING,,,NO,,,,,YES,RURAL AREAS,FARMING,,500,300,YES,,20,DAY,1/4,,20,DAY,1/4
1,31002169,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,YES,1/4,URBAN CENTRES,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,SMALL-SCALE TRADE & SERVICE PROVISION,YES,RURAL AREAS,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,SMALL-SCALE TRADE & SERVICE PROVISION,350,350,NO,,,,,,,,
1,31004312,FARMING,,,NO,,,,,NO,,,,250,250,NO,,,,,,,,
1,31006556,FARMING,"FIREWOOD, CHARCOAL SELLING",,YES,1/4,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,FARMING,500,500,YES,3600,12,DAY,1/4,3600,12,DAY,1/4
1,31007335,FARMING,,,NO,,,,,NO,,,,700,500,YES,2500,20,DAY,3/4,2500,20,DAY,3/4
1,31108703,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,RURAL AREAS,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,SMALL-SCALE TRADE & SERVICE PROVISION,YES,RURAL AREAS,FARMING,,500,250,YES,3400,2,WEEK,1/4,3400,2,WEEK,ALMOST NONE
1,31201007,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,ALMOST NONE,RURAL AREAS,OTHER (SPECIFY),,NO,,,,,,YES,300,12,DAY,ALMOST NONE,300,12,DAY,1/2
1,31201104,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,1/4,RURAL AREAS,FARMING,,NO,,,,500,500,NO,,,,,,,,
1,31201197,FARMING,,,NO,,,,,NO,,,,300,300,YES,300,1,DAY,1/4,300,1,DAY,ALMOST ALL
1,31201516,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,NO,,,,,YES,RURAL AREAS,FARMING,,350,350,NO,,,,,,,,
1,31204618,FARMING,"BEER BREWING, KACHASU",SMALL-SCALE TRADE & SERVICE PROVISION,NO,,,,,NO,,,,350,350,YES,300,14,DAY,1/4,300,14,DAY,ALMOST NONE
1,31432523,"FIREWOOD, CHARCOAL SELLING",,,YES,ALMOST NONE,OUTSIDE MALAWI,FARMING,,NO,,,,300,300,YES,300,1,1,1/4,300,1,1,3/4
1,31432676,PROFFESSIONAL OCCUPATIONS,CIVIL SERVICE,,NO,,,,,YES,RURAL AREAS,OTHER (SPECIFY),,500,1000,YES,200,1,DAY,1/4,200,1,DAY,3/4
1,31435120,SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,YES,RURAL AREAS,FARMING,,500,300,NO,,,,,,,,
1,31435753,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,YES,RURAL AREAS,FARMING,,200,150,YES,300,1,DAY,1/4,300,1,DAY,3/4
1,31436695,PROFFESSIONAL OCCUPATIONS,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,YES,RURAL AREAS,OTHER (SPECIFY),,250,250,YES,300,1,1,ALMOST NONE,300,1,DAY,3/4
1,31438690,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,PROFFESSIONAL OCCUPATIONS,YES,ALMOST NONE,URBAN CENTRES,OTHER (SPECIFY),,YES,RURAL AREAS,FARMING,OTHER (SPECIFY),500,250,YES,300,1,1,1/4,300,1,DAY,3/4
1,31439102,PROFFESSIONAL OCCUPATIONS,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,YES,RURAL AREAS,FARMING,OTHER (SPECIFY),1000,500,YES,300,1,1,1/4,300,1,DAY,ALMOST NONE
1,31441389,"FIREWOOD, CHARCOAL SELLING",CIVIL SERVICE,,YES,1/4,URBAN CENTRES,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,RURAL AREAS,OTHER (SPECIFY),,200,150,YES,300,1,DAY,1/4,300,1,DAY,3/4
1,31442394,PROFFESSIONAL OCCUPATIONS,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,YES,RURAL AREAS,OTHER (SPECIFY),FARMING,500,500,YES,300,1,1,1/4,300,1,DAY,3/4
1,31443108,SMALL-SCALE TRADE & SERVICE PROVISION,,,NO,,,,,YES,RURAL AREAS,FARMING,,500,350,YES,300,1,1,ALMOST NONE,300,1,1,1/4
1,31443270,SMALL-SCALE TRADE & SERVICE PROVISION,"FIREWOOD, CHARCOAL SELLING",,YES,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,YES,RURAL AREAS,FARMING,,300,300,YES,300,1,1,1/4,300,1,1,1/2
1,31532674,OTHER (SPECIFY),"FIREWOOD, CHARCOAL SELLING",SMALL-SCALE TRADE & SERVICE PROVISION,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,YES,RURAL AREAS,FARMING,OTHER (SPECIFY),300,200,NO,,,,,,,,
1,31533095,PROFFESSIONAL OCCUPATIONS,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",YES,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,375,300,NO,,,,,,,,
1,31536118,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",LARGE SCALE-SCALE COMMERCIAL INDUSTRY,FARMING,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),SMALL-SCALE TRADE & SERVICE PROVISION,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,300,300,YES,200,1,DAY,1/4,200,1,DAY,1/4
1,31536751,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),"BEER BREWING, KACHASU",YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,YES,RURAL AREAS,OTHER (SPECIFY),,200,100,NO,,,,,,,,
1,31539670,SMALL-SCALE TRADE & SERVICE PROVISION,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,PROFFESSIONAL OCCUPATIONS,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",1000,300,NO,,,,,,,,
1,31540419,SMALL-SCALE TRADE & SERVICE PROVISION,PROFFESSIONAL OCCUPATIONS,"FIREWOOD, CHARCOAL SELLING",YES,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,YES,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,SMALL-SCALE TRADE & SERVICE PROVISION,1000,500,YES,3000,2,WEEK,ALMOST NONE,3000,2,WEEK,1/4
1,31545384,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY","FIREWOOD, CHARCOAL SELLING",FARMING,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),SMALL-SCALE TRADE & SERVICE PROVISION,NO,,,,500,300,YES,200,1,DAY,1/4,200,1,DAY,3/4
1,31546760,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),FARMING,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),,YES,RURAL AREAS,OTHER (SPECIFY),,250,200,NO,,,,,,,,
1,31550254,PROFFESSIONAL OCCUPATIONS,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,CIVIL SERVICE,NO,,,,,YES,RURAL AREAS,OTHER (SPECIFY),,1000,500,NO,,,,,,,,
1,31552686,PROFFESSIONAL OCCUPATIONS,CIVIL SERVICE,SMALL-SCALE TRADE & SERVICE PROVISION,NO,,,,,YES,RURAL AREAS,OTHER (SPECIFY),,300,250,NO,,,,,,,,
1,31554613,FARMING,CIVIL SERVICE,SMALL-SCALE TRADE & SERVICE PROVISION,NO,,,,,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,500,500,YES,300,1,DAY,1/4,300,1,DAY,3/4
1,31555614,SMALL-SCALE TRADE & SERVICE PROVISION,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",YES,RURAL AREAS,OTHER (SPECIFY),,350,250,YES,300,2,WEEK,1/4,300,2,WEEK,1/4
