occ,ea_id,com_ci0b,com_ci01,com_ci02,com_ci03,com_ci04,com_ci05,com_ci06,com_ci07a,com_ci07b,com_ci07c,com_ci08a,com_ci08b,com_ci08c,com_ci09a,com_ci09b,com_ci09c,com_ci10,com_ci11,com_ci12,com_ci13,com_ci14
5,20302539,OTHER:,YES,YES,YES,NO,NO,NO,,,,OTHER (SPECIFY),,,USE THREAT OF FINE,SOCIAL SANCTIONS,,FULLY EFFECTIVE,NO,,NO,
1,20303065,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20303065,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20303065,PASTURE,YES,YES,YES,NO,YES,NO,,,,,,,,,,,,,,
4,20303065,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,,,,,,,,,,,
5,20303065,OTHER:,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,,,,,,,,,,,
1,20305301,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20305301,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20305301,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20305301,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,SOMEWHAT EFFECTIVE,NO,,NO,
5,20305301,OTHER:,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,OTHER (SPECIFY),,,USE THREAT OF FINE,SOCIAL SANCTIONS,,FULLY EFFECTIVE,NO,,NO,
1,20306557,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20306557,FOREST,YES,YES,YES,NO,NO,YES,OTHER (SPECIFY),USE THE THREAT OF FINE,,OTHER (SPECIFY),,,USE THREAT OF FINE,SOCIAL SANCTIONS,,FULLY EFFECTIVE,NO,,NO,
3,20306557,PASTURE,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,OTHER (SPECIFY),,SOMEWHAT EFFECTIVE,NO,,NO,
4,20306557,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,SOMEWHAT EFFECTIVE,NO,,NO,
5,20306557,OTHER:,YES,YES,YES,NO,YES,YES,USE THE THREAT OF FINE,OTHER (SPECIFY),,OTHER (SPECIFY),,,USE THREAT OF FINE,SOCIAL SANCTIONS,,FULLY EFFECTIVE,NO,,NO,
1,20402198,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20402198,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,OTHER (SPECIFY),,OTHER (SPECIFY),,,USE THREAT OF FINE,SOCIAL SANCTIONS,DISCRIMINATION AT FUTURE HANDOUTS,FULLY EFFECTIVE,NO,,NO,
3,20402198,PASTURE,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,SOMEWHAT EFFECTIVE,NO,,NO,
4,20402198,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20402198,OTHER:,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,OTHER (SPECIFY),,,USE THREAT OF FINE,SOCIAL SANCTIONS,,FULLY EFFECTIVE,NO,,NO,
1,20404032,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20404032,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20404032,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20404032,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,FULLY EFFECTIVE,NO,,NO,
5,20404032,OTHER:,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,OTHER (SPECIFY),,,USE THREAT OF FINE,,,FULLY EFFECTIVE,NO,,NO,
1,20404575,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20404575,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,OTHER (SPECIFY),,,USE THREAT OF FINE,SOCIAL SANCTIONS,,FULLY EFFECTIVE,NO,,NO,
3,20404575,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20404575,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,SOMEWHAT EFFECTIVE,NO,,NO,
5,20404575,OTHER:,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,OTHER (SPECIFY),,,SOMEWHAT EFFECTIVE,NO,,NO,
1,20405366,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20405366,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF RELIGIOUS SANCTIONS,,,,,,,,,,,,,
3,20405366,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20405366,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,,,,,,,,,,,
5,20405366,OTHER:,YES,YES,YES,NO,YES,YES,OTHER (SPECIFY),,,,,,,,,,,,,
1,20407398,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20407398,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20407398,PASTURE,YES,YES,YES,NO,YES,NO,,,,,,,,,,,,,,
4,20407398,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20407398,OTHER:,YES,YES,YES,NO,NO,YES,OTHER (SPECIFY),,,,,,,,,,,,,
1,20407481,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20407481,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,OTHER (SPECIFY),,,,,,,,,,,,
3,20407481,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20407481,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,,,,,,,,,,,
5,20407481,OTHER:,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,OTHER (SPECIFY),,,,,,,,,,,,
1,20507089,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20507089,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,OTHER (SPECIFY),,,USE THREAT OF FINE,SOCIAL SANCTIONS,,FULLY EFFECTIVE,NO,,NO,
3,20507089,PASTURE,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,NO RESTRICTIONS,,,DO NOTHING,,,SOMEWHAT EFFECTIVE,NO,,NO,
4,20507089,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,SOMEWHAT EFFECTIVE,NO,,NO,
5,20507089,OTHER:,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,OTHER (SPECIFY),,,USE THREAT OF FINE,SOCIAL SANCTIONS,,FULLY EFFECTIVE,NO,,NO,
1,20507459,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20507459,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,OTHER (SPECIFY),,,USE THREAT OF FINE,CONFISCATION OF TOOLS/PRODUCTS,,FULLY EFFECTIVE,NO,,NO,
3,20507459,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20507459,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,FULLY EFFECTIVE,NO,,NO,
5,20507459,OTHER:,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,OTHER (SPECIFY),,,USE THREAT OF FINE,SOCIAL SANCTIONS,,FULLY EFFECTIVE,NO,,NO,
1,20508349,UNALLOCATED ARABLE LAND,YES,YES,YES,YES,NO,YES,USE THE THREAT OF PHYSICAL PUNISHMENT,,,NO RESTRICTIONS,,,USE THREAT OF FINE,,,FULLY EFFECTIVE,NO,,NO,
2,20508349,FOREST,YES,YES,YES,YES,NO,YES,USE THE THREAT OF PHYSICAL PUNISHMENT,,,NO RESTRICTIONS,,,USE THREAT OF FINE,,,FULLY EFFECTIVE,NO,,NO,
3,20508349,PASTURE,YES,YES,YES,YES,NO,YES,USE THE THREAT OF PHYSICAL PUNISHMENT,,,NO RESTRICTIONS,,,USE THREAT OF FINE,,,FULLY EFFECTIVE,NO,,NO,
4,20508349,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20508349,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20601141,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20601141,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20601141,PASTURE,YES,NO,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,TAKING AWAY [RESOURCE] USE RIGHTS,,,NOT EFFECTIVE,NO,,NO,
4,20601141,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20601141,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20601626,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20601626,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20601626,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20601626,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20601626,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20602363,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20602363,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20602363,PASTURE,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
4,20602363,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20602363,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20603090,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20603090,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20603090,PASTURE,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
4,20603090,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20603090,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20603533,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20603533,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20603533,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20603533,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20603533,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20604638,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20604638,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20604638,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20604638,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20604638,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20605302,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20605302,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20605302,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20605302,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20605302,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20607260,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20607260,FOREST,YES,YES,YES,NO,YES,NO,,,,ROTATION AMONG GROUPS OF FAMILIES,,,DO NOTHING,,,NOT EFFECTIVE,YES,CONSTRUCT PUBLIC FACILITIES,NO,
3,20607260,PASTURE,YES,YES,YES,NO,YES,NO,,,,ROTATION AMONG GROUPS OF FAMILIES,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
4,20607260,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20607260,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20607315,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20607315,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20607315,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20607315,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20607315,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20610050,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20610050,FOREST,YES,NO,YES,YES,YES,YES,USE THE THREAT OF FINE,,,ROTATION AMONG GROUPS OF FAMILIES,,,USE THREAT OF FINE,,,FULLY EFFECTIVE,NO,,NO,
3,20610050,PASTURE,,,,,,,,,,,,,,,,,,,,
4,20610050,WATER BODY:,,,,,,,,,,,,,,,,,,,,
5,20610050,OTHER:,,,,,,,,,,,,,,,,,,,,
1,20610249,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20610249,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20610249,PASTURE,YES,YES,YES,NO,,,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
4,20610249,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20610249,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20613324,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20613324,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20613324,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20613324,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20613324,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20614477,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20614477,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20614477,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20614477,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20614477,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20615064,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20615064,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20615064,PASTURE,YES,YES,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,SOCIAL SANCTIONS,,,SOMEWHAT EFFECTIVE,NO,,NO,
4,20615064,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20615064,OTHER:,YES,YES,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,SOCIAL SANCTIONS,,,SOMEWHAT EFFECTIVE,NO,,NO,
1,20615735,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20615735,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20615735,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20615735,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20615735,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20702471,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20702471,FOREST,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
3,20702471,PASTURE,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
4,20702471,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20702471,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20704738,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20704738,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20704738,PASTURE,YES,YES,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,FULLY EFFECTIVE,NO,,NO,
4,20704738,WATER BODY:,,,,,,,,,,,,,,,,,,,,
5,20704738,OTHER:,,,,,,,,,,,,,,,,,,,,
1,20705372,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20705372,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20705372,PASTURE,YES,YES,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,FULLY EFFECTIVE,NO,,NO,
4,20705372,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20705372,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20706163,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20706163,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20706163,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20706163,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20706163,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20801046,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20801046,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20801046,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20801046,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20801046,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20802019,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20802019,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20802019,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20802019,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20802019,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20803156,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20803156,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20803156,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20803156,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20803156,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20804405,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20804405,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,TIME RESTRICTIONS,,,USE THREAT OF FINE,CONFISCATION OF TOOLS/PRODUCTS,,FULLY EFFECTIVE,NO,,NO,
3,20804405,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20804405,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20804405,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20804768,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20804768,FOREST,YES,YES,YES,YES,YES,YES,USE GUARDS,USE THE THREAT OF FINE,,TIME RESTRICTIONS,LIMITATIONS OF NUMBER OF USERS AT A GIVEN TIME,,USE THREAT OF FINE,CONFISCATION OF TOOLS/PRODUCTS,,SOMEWHAT EFFECTIVE,NO,,NO,
3,20804768,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20804768,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20804768,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20806131,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20806131,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,LIMITATIONS OF NUMBER OF USERS AT A GIVEN TIME,,,USE THREAT OF FINE,CONFISCATION OF TOOLS/PRODUCTS,,FULLY EFFECTIVE,NO,,NO,
3,20806131,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20806131,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20806131,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20807727,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20807727,FOREST,YES,YES,YES,NO,NO,YES,USE GUARDS,,,TIME RESTRICTIONS,,,USE THREAT OF FINE,,,SOMEWHAT EFFECTIVE,NO,,NO,
3,20807727,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20807727,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20807727,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20808421,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20808421,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,LIMITATIONS OF NUMBER OF USERS AT A GIVEN TIME,,,USE THREAT OF FINE,,,SOMEWHAT EFFECTIVE,NO,,NO,
3,20808421,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20808421,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20808421,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20903583,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20903583,FOREST,YES,YES,YES,NO,NO,YES,USE GUARDS,USE THE THREAT OF FINE,USE THE THREAT OF PHYSICAL PUNISHMENT,TIME RESTRICTIONS,LIMITATIONS OF NUMBER OF USERS AT A GIVEN TIME,,USE THREAT OF FINE,CONFISCATION OF TOOLS/PRODUCTS,,SOMEWHAT EFFECTIVE,NO,,NO,
3,20903583,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20903583,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20903583,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20906524,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20906524,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20906524,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20906524,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20906524,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20906605,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20906605,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20906605,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20906605,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20906605,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20908088,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20908088,FOREST,YES,YES,YES,NO,NO,YES,USE GUARDS,,,TIME RESTRICTIONS,LIMITATIONS OF NUMBER OF USERS AT A GIVEN TIME,,USE THREAT OF FINE,CONFISCATION OF TOOLS/PRODUCTS,,SOMEWHAT EFFECTIVE,NO,,NO,
3,20908088,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20908088,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20908088,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20908119,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20908119,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20908119,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20908119,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20908119,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20909113,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20909113,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20909113,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20909113,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20909113,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,21037030,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21037030,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,21037030,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21037030,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,21037030,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,21037536,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21037536,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,21037536,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21037536,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,21037536,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,21048764,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21048764,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,21048764,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21048764,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,21048764,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,21051203,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21051203,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,21051203,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21051203,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,21051203,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,21052427,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21052427,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,21052427,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21052427,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,21052427,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,21053745,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21053745,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,21053745,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21053745,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,21053745,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,21055241,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21055241,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,21055241,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21055241,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,21055241,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,21055693,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21055693,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,21055693,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21055693,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,21055693,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,21066096,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21066096,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,21066096,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21066096,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,21066096,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,21066339,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21066339,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,21066339,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21066339,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,21066339,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,21074510,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21074510,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,21074510,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21074510,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,21074510,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,21077725,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21077725,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,21077725,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21077725,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,21077725,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,21080308,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,21080308,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,21080308,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,21080308,WATER BODY:,YES,YES,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,,,,,,,,
5,21080308,OTHER:,,,,,,,,,,,,,,,,,,,,
