HHID,case_id,qx_type,visit,ea_id,ag_i0b,ag_i0b_os,ag_i01,ag_i02a,ag_i02b,ag_i02b_os,ag_i02c,ag_i03,ag_i11,ag_i12a,ag_i12b,ag_i12b_os,ag_i12c,ag_i13,ag_i14a,ag_i14b,ag_i15a,ag_i15b,ag_i16,ag_i17,ag_i17_os,ag_i18,ag_i19,ag_i20,ag_i21a,ag_i21b,ag_i21b_os,ag_i21c,ag_i22,ag_i23a,ag_i23b,ag_i24a,ag_i24b,ag_i25,ag_i26,ag_i26_os,ag_i27,ag_i28,ag_i29,ag_i30a,ag_i30b,ag_i30b_os,ag_i30c,ag_i31a,ag_i31b,ag_i31b_os,ag_i31c,ag_i32a,ag_i32b,ag_i32b_os,ag_i32c,ag_i33a,ag_i33b,ag_i33b_os,ag_i33c,ag_i34a,ag_i34b,ag_i34b_os,ag_i34c,ag_i35a,ag_i35b,ag_i35b_os,ag_i35c,ag_i36a,ag_i36b,ag_i36b_os,ag_i36c,ag_i36d,ag_i36e,ag_i37a,ag_i37a_os,ag_i37b,ag_i37b_os,ag_i38,ag_i39,ag_i39_os,ag_i40a,ag_i40b,ag_i40b_os,ag_i40c,ag_i41a,ag_i41a_os,ag_i41b,ag_i41b_os,ag_i42a,ag_i42a_os,ag_i42b,ag_i42b_os
592,105103880151,Panel B,2,10510388,SOYABEAN,,YES,26,KILOGRAM,,S: SHELLED,600,N07,26,KILOGRAM,,S: SHELLED,600,2,,July,2010,1,On Foot,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,5,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,24,KILOGRAM,,S: SHELLED,Did Nothing,,,,Food for household,,Seed for planting,
584,105103880160,Panel B,2,10510388,SWEET POTATO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
584,105103880160,Panel B,2,10510388,NKHWANI,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,10,,Rotting,,,,NO,,,,,,,,,,,Food for household,,,
584,105103880160,Panel B,2,10510388,SOYABEAN,,YES,50,KILOGRAM,,S: SHELLED,3500,N07,50,KILOGRAM,,S: SHELLED,3500,1,2,June,2010,4,On Foot,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,To sell at a higher price,
584,105103880160,Panel B,2,10510388,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,KILOGRAM,,S: SHELLED,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
584,105103880160,Panel B,2,10510388,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,1,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,,
584,105103880160,Panel B,2,10510388,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50 KG BAG,,S: SHELLED,0,,,,0,,,,0,,,,1,PAIL (SMALL),,S: SHELLED,,,,,50,,Rotting,,,,YES,Bags in house,,5,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,,
600,105103880178,Panel B,2,10510388,NKHWANI,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
600,105103880178,Panel B,2,10510388,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,KILOGRAM,,S: SHELLED,,,,,5,,Rotting,,,,YES,Bags in house,,5,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,,
600,105103880178,Panel B,2,10510388,NKHWANI,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
600,105103880178,Panel B,2,10510388,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50 KG BAG,,S: SHELLED,0,,,,0,,,,0,,,,1,PAIL (SMALL),,S: SHELLED,,,,,20,,Rotting,,,,YES,Bags in house,,19,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,,
611,107321920084,Panel A,2,10732192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,107321920134,Panel A,2,10732192,SWEET POTATO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Does not usually store,,,
629,107321920134,Panel A,2,10732192,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,40,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,11,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
609,107321920171,Panel A,2,10732192,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
609,107321920171,Panel A,2,10732192,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,50 KG BAG,,S: SHELLED,,,Rotting,,,,YES,Bags in house,,8,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
625,107321920194,Panel A,2,10732192,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
613,107321920240,Panel A,2,10732192,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,KILOGRAM,,S: SHELLED,2,50 KG BAG,,S: SHELLED,,,Rotting,,Insects,,YES,Bags in house,,2,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
613,107321920240,Panel A,2,10732192,SWEET POTATO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Does not usually store,,,
637,107321920285,Panel A,2,10732192,SWEET POTATO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
622,107336400005,Panel B,2,10733640,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,3,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
622,107336400005,Panel B,2,10733640,SWEET POTATO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
636,107336400015,Panel B,2,10733640,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,5,KILOGRAM,,S: SHELLED,,,Insects,,,,NO,,,,,,,,,,,Food for household,,,
618,107336400020,Panel B,2,10733640,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,50 KG BAG,,S: SHELLED,0,,,,0,,,,0,,,,0,,,,1,50 KG BAG,,S: SHELLED,,,Rodents/Pests,,,,YES,Bags in house,,20,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
626,107336400041,Panel B,2,10733640,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,2,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,,
620,107336400056,Panel B,2,10733640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,107336400067,Panel B,2,10733640,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
628,107336400072,Panel B,2,10733640,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
628,107336400072,Panel B,2,10733640,SWEET POTATO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,50 KG BAG,,NOT APPLICABLE,,,Rotting,,,,YES,Other (Specify),STILL IN GARDEN,1,50 KG BAG,,NOT APPLICABLE,Did Nothing,,,,Food for household,,,
628,107336400072,Panel B,2,10733640,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50 KG BAG,,S: SHELLED,0,,,,0,,,,0,,,,0,,,,1,50 KG BAG,,S: SHELLED,,,Rotting,,,,YES,Bags in house,,4,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
628,107336400072,Panel B,2,10733640,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,20,KILOGRAM,,S: SHELLED,,,Rotting,,,,YES,Bags in house,,2,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
628,107336400072,Panel B,2,10733640,NKHWANI,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
628,107336400072,Panel B,2,10733640,NKHWANI,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
628,107336400072,Panel B,2,10733640,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
630,107336400077,Panel B,2,10733640,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,8,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
630,107336400077,Panel B,2,10733640,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,1,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
630,107336400077,Panel B,2,10733640,SWEET POTATO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,KILOGRAM,,NOT APPLICABLE,0,,,,,,,,,,NO,,,,,,,,,,,Does not usually store,,,
606,107336400087,Panel B,2,10733640,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,50 KG BAG,,S: SHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,70,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,To sell at a higher price,
608,107336400092,Panel B,2,10733640,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,KILOGRAM,,S: SHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,2,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,,
616,107336400097,Panel B,2,10733640,MAIZE HYBRID,,YES,50,50 KG BAG,,S: SHELLED,200000,N05,50,50 KG BAG,,S: SHELLED,200000,1,,September,2010,1,Own Bicycle or Oxcart,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Wait for arrival of buyer,,,
616,107336400097,Panel B,2,10733640,MAIZE HYBRID,,YES,69,50 KG BAG,,S: SHELLED,220000,N05,69,50 KG BAG,,S: SHELLED,220000,1,,September,2010,1,Own Bicycle or Oxcart,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Wait for arrival of buyer,,,
634,107336400107,Panel B,2,10733640,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,18,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
634,107336400107,Panel B,2,10733640,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,15,KILOGRAM,,S: SHELLED,Did Nothing,,,,Food for household,,,
658,107343700114,Panel B,2,10734370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,107343700152,Panel B,2,10734370,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,3,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
650,107343700249,Panel B,2,10734370,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,50 KG BAG,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,2,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,Seed for planting,
650,107343700249,Panel B,2,10734370,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,10,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
664,107343700269,Panel B,2,10734370,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,15,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,1,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
664,107343700269,Panel B,2,10734370,MAIZE HYBRID,,YES,5,50 KG BAG,,S: SHELLED,15000,N04,5,50 KG BAG,,S: SHELLED,15000,1,,August,2010,10,On Foot,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,13,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
666,107343700385,Panel B,2,10734370,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,To sell at a higher price,
666,107343700385,Panel B,2,10734370,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,50 KG BAG,,S: SHELLED,0,,,,0,,,,0,,,,30,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,36,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
643,107347620016,Panel A,2,10734762,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
665,107347620031,Panel A,2,10734762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,107347620278,Panel A,2,10734762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,107347620318,Panel A,2,10734762,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,4,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
657,107347620346,Panel A,2,10734762,MAIZE COMPOSITE/OPV,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
679,107351730088,Panel A,2,10735173,NKHWANI,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,500,OTHER (SPECIFY),GRAMS,NOT APPLICABLE,0,,,,,,,,,,NO,,,,,,,,,,,Does not usually store,,,
679,107351730088,Panel A,2,10735173,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,25,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,23,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
679,107351730088,Panel A,2,10735173,GROUNDNUT CHALIMBANA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,KILOGRAM,GRAMS,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,6,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
695,107351730115,Panel A,2,10735173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,107365960004,Panel B,2,10736596,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,1,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,,
700,107365960008,Panel B,2,10736596,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,12,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
672,107365960010,Panel B,2,10736596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,107365960012,Panel B,2,10736596,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,10,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
696,107365960012,Panel B,2,10736596,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
682,107365960013,Panel B,2,10736596,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,8,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
692,107365960014,Panel B,2,10736596,SOYABEAN,,YES,1,50 KG BAG,,S: SHELLED,3200,N06,1,50 KG BAG,,S: SHELLED,3200,1,2,June,2010,1,Buyer picked up the crop,,1000,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,To sell at a higher price,,,
692,107365960014,Panel B,2,10736596,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,29,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
692,107365960014,Panel B,2,10736596,GROUNDNUT CHALIMBANA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,2,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
692,107365960014,Panel B,2,10736596,NKHWANI,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,Does not usually store,
686,107365960016,Panel B,2,10736596,SWEET POTATO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
686,107365960016,Panel B,2,10736596,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
727,107415040028,Panel A,2,10741504,TOBACCO BURLEY,,YES,800,KILOGRAM,,NOT APPLICABLE,180000,N02,800,KILOGRAM,,NOT APPLICABLE,180000,1,2,June,2010,2,Buyer picked up the crop,,5000,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,50,KILOGRAM,,NOT APPLICABLE,,,Rotting,,,,NO,,,,,,,,,,,Wait for arrival of buyer,,,
733,107415040057,Panel A,2,10741504,SWEET POTATO,,YES,3,50 KG BAG,,NOT APPLICABLE,1500,N04,3,50 KG BAG,,NOT APPLICABLE,1500,1,,July,2010,1,On Foot,,0,NO,,,,,,,,,,,,,,,,,,,,,1,50 KG BAG,,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
733,107415040057,Panel A,2,10741504,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,KILOGRAM,,S: SHELLED,0,,,,0,,,,0,,,,10,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,10,KILOGRAM,,S: SHELLED,Did Nothing,,,,Food for household,,,
733,107415040057,Panel A,2,10741504,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,6,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
721,107415040060,Panel A,2,10741504,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,2,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,,
719,107415040063,Panel A,2,10741504,MAIZE HYBRID,,YES,2,PAIL (LARGE),,S: SHELLED,1000,N02,2,PAIL (LARGE),,S: SHELLED,1000,1,,July,2010,2,On Foot,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,4,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,Seed for planting,
726,107446490122,Panel B,2,10744649,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,5,50 KG BAG,,S: SHELLED,Spraying,,Smoking,,Food for household,,,
718,107446490271,Panel B,2,10744649,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50 KG BAG,,S: SHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,7,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
751,107460330205,Panel A,2,10746033,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,KILOGRAM,,S: SHELLED,0,,,,0,,,,0,,,,20,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,7,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,Seed for planting,
763,107460330525,Panel A,2,10746033,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,KILOGRAM,,S: SHELLED,0,,,,0,,,,0,,,,10,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,2,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,Seed for planting,
761,107460330536,Panel A,2,10746033,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,KILOGRAM,,S: SHELLED,0,,,,0,,,,0,,,,20,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Traditional Nkhokwe,,8,50 KG BAG,,S: SHELLED,Did Nothing,,,,Food for household,,Seed for planting,
761,107460330536,Panel A,2,10746033,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
759,107460330612,Panel A,2,10746033,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,20,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
759,107460330612,Panel A,2,10746033,NKHWANI,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,,,,
