HHID,case_id,qx_type,visit,ea_id,hh_h01,hh_h02a,hh_h02b,hh_h02c,hh_h02d,hh_h02e,hh_h03a,hh_h03b,hh_h04,hh_h05a_01,hh_h05a_02,hh_h05a_03,hh_h05a_04,hh_h05a_05,hh_h05a_06,hh_h05a_07,hh_h05a_08,hh_h05a_09,hh_h05a_10,hh_h05b_01,hh_h05b_02,hh_h05b_03,hh_h05b_04,hh_h05b_05,hh_h05b_06,hh_h05b_07,hh_h05b_08,hh_h05b_09,hh_h05b_10,hh_h05b_11,hh_h05b_12,hh_h05b_13,hh_h05b_14,hh_h05b_15,hh_h06a,hh_h06a_os,hh_h06b,hh_h06b_os,hh_h06c,hh_h06c_os
849,201131120092,Panel A,1,20113112,No,0,0,0,0,1,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,201131120102,Panel A,1,20113112,No,0,0,0,0,0,2,3,Yes,X,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
845,201131120106,Panel A,1,20113112,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
847,201131120126,Panel A,1,20113112,Yes,0,0,2,0,0,2,1,Yes,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
834,201154340005,Panel B,2,20115434,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
858,201154340012,Panel B,2,20115434,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,201154340018,Panel B,2,20115434,Yes,6,1,0,0,0,1,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,201154340031,Panel B,2,20115434,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,201154340038,Panel B,2,20115434,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,201154340044,Panel B,2,20115434,No,0,0,0,0,0,3,,Yes,,,,,,,,,,X,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
844,201154340058,Panel B,2,20115434,No,0,0,0,0,1,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,201154340064,Panel B,2,20115434,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,201154340071,Panel B,2,20115434,No,0,0,0,0,0,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,201154340084,Panel B,2,20115434,No,0,7,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,201154340090,Panel B,2,20115434,No,0,7,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,201154340097,Panel B,2,20115434,No,0,7,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,201154340110,Panel B,2,20115434,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,201154340116,Panel B,2,20115434,No,0,0,0,0,0,3,,Yes,,,,,,,,,,X,,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
836,201154340123,Panel B,2,20115434,No,0,0,0,0,0,2,,Yes,,,,,,,,,,X,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
854,201154340136,Panel B,2,20115434,No,0,0,0,0,0,3,4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,202052070003,Panel B,2,20205207,No,0,0,0,0,0,3,,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
866,202052070009,Panel B,2,20205207,Yes,2,2,1,0,0,2,2,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to small land size,,Inadequate household food stocks due to lack of farm inputs,,,
892,202052070015,Panel B,2,20205207,Yes,0,3,0,0,0,3,3,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
880,202052070021,Panel B,2,20205207,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,202052070028,Panel B,2,20205207,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,202052070034,Panel B,2,20205207,No,0,0,0,0,0,2,,Yes,,,,,,,,,,X,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
874,202052070040,Panel B,2,20205207,Yes,2,1,0,0,0,2,,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
886,202052070053,Panel B,2,20205207,Yes,0,0,0,0,3,3,,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
876,202052070059,Panel B,2,20205207,No,2,0,0,0,0,2,,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
870,202052070065,Panel B,2,20205207,No,0,0,0,0,0,3,,Yes,,,,,,,,,,X,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
884,202052070084,Panel B,2,20205207,Yes,0,2,3,0,2,2,2,Yes,,,,,,,,,,,X,X,X,,,X,X,X,,,,,,,,Floods/water logging,,,,,
862,202052070090,Panel B,2,20205207,Yes,0,0,0,0,2,3,3,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Floods/water logging,,,,,
864,202052070103,Panel B,2,20205207,No,0,0,0,0,0,2,,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
890,202052070109,Panel B,2,20205207,No,4,0,5,3,2,2,3,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
868,202052070115,Panel B,2,20205207,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
878,202052070127,Panel B,2,20205207,Yes,4,2,2,0,0,2,2,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
889,202063620005,Panel A,1,20206362,No,0,0,0,0,0,2,5,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
877,202063620025,Panel A,1,20206362,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,202063620035,Panel A,1,20206362,No,3,2,1,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,202063620047,Panel A,1,20206362,No,0,0,0,0,0,2,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
865,202063620055,Panel A,1,20206362,No,3,2,0,0,0,2,,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household food stocks due to small land size,,Inadequate household food stocks due to lack of farm inputs,,,
879,202063620077,Panel A,1,20206362,No,2,2,0,0,0,2,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
881,202063620123,Panel A,1,20206362,Yes,0,7,4,3,1,2,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
883,202063620130,Panel A,1,20206362,Yes,2,2,0,1,0,3,3,Yes,,,,,,,,,,X,X,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,Inadequate household food stocks due to lack of farm inputs,,Food in the market was very expensive,
893,202063620143,Panel A,1,20206362,No,0,0,0,0,0,2,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
895,202063620150,Panel A,1,20206362,No,0,0,0,0,0,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,202063620156,Panel A,1,20206362,Yes,1,1,1,0,1,2,3,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,Food in the market was very expensive,,,
873,202063620179,Panel A,1,20206362,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,202063620195,Panel A,1,20206362,Yes,0,0,0,0,1,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,202063620232,Panel A,1,20206362,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,202063620243,Panel A,1,20206362,No,0,0,0,0,0,2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,202063620271,Panel A,1,20206362,Yes,2,2,2,0,0,2,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,Inadequate household food stocks due to small land size,,,
913,203025390008,Panel A,1,20302539,Yes,2,7,2,0,0,2,,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,Food in the market was very expensive,,,
917,203025390016,Panel A,1,20302539,Yes,1,1,1,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,203025390038,Panel A,1,20302539,Yes,0,0,0,0,1,3,3,Yes,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,Other (Specify),SOLD TOO MUCH,,
925,203025390047,Panel A,1,20302539,No,0,0,0,0,0,3,,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,Other (Specify),CROPS MATURED LATE DUE TO WEATHER,,
911,203025390067,Panel A,1,20302539,No,0,0,0,0,0,2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,203025390077,Panel A,1,20302539,Yes,3,7,0,0,0,2,2,Yes,,0,0,0,0,0,0,0,0,0,X,X,X,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,Inadequate household food stocks due to crop pest damage,,Inadequate household food stocks due to lack of farm inputs,
927,203025390081,Panel A,1,20302539,Yes,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,203025390087,Panel A,1,20302539,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,203025390104,Panel A,1,20302539,Yes,4,3,1,2,2,2,2,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to small land size,,Inadequate household food stocks due to lack of farm inputs,,,
919,203025390115,Panel A,1,20302539,No,0,0,0,0,0,2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,203025390120,Panel A,1,20302539,Yes,0,2,2,0,0,2,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,203025390137,Panel A,1,20302539,Yes,0,2,4,0,1,2,2,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,Inadequate household stocks due to drought/poor rains,,,
899,203025390148,Panel A,1,20302539,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,203025390169,Panel A,1,20302539,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,203025390177,Panel A,1,20302539,Yes,2,2,7,0,3,2,,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
901,203025390196,Panel A,1,20302539,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,203030650008,Panel A,1,20303065,No,2,0,0,0,0,2,,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,Food in the market was very expensive,,,
959,203030650012,Panel A,1,20303065,Yes,0,0,2,2,1,2,3,Yes,,,,,,,,,,X,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
941,203030650013,Panel A,1,20303065,No,0,0,0,0,0,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,203030650026,Panel A,1,20303065,No,0,0,0,0,0,2,,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Other (Specify),LACK OF FARM INPUTS,,,,
947,203030650031,Panel A,1,20303065,Yes,0,0,0,0,2,3,3,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
929,203030650039,Panel A,1,20303065,No,0,0,0,0,0,2,2,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
935,203030650044,Panel A,1,20303065,No,0,0,0,0,0,2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,203030650050,Panel A,1,20303065,No,0,0,0,0,0,2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,203030650058,Panel A,1,20303065,No,0,0,0,0,0,3,,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,Other (Specify),LACK OF LABOR,,
939,203030650069,Panel A,1,20303065,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,203030650087,Panel A,1,20303065,Yes,0,0,0,0,2,3,3,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
943,203030650093,Panel A,1,20303065,Yes,0,0,0,0,1,3,,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
945,203030650094,Panel A,1,20303065,No,0,0,0,0,0,2,,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Other (Specify),LACK OF FERTILIZER,,,,
955,203030650110,Panel A,1,20303065,No,0,0,0,0,0,2,3,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,Food in the market was very expensive,,,
953,203030650116,Panel A,1,20303065,No,0,0,1,0,1,2,3,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
957,203030650121,Panel A,1,20303065,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
896,203053010006,Panel B,2,20305301,No,0,0,0,0,0,2,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,203053010012,Panel B,2,20305301,No,0,0,0,0,0,3,4,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
920,203053010018,Panel B,2,20305301,No,0,0,0,0,0,3,3,Yes,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
922,203053010025,Panel B,2,20305301,No,0,0,0,0,0,2,,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
918,203053010031,Panel B,2,20305301,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,203053010037,Panel B,2,20305301,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
900,203053010049,Panel B,2,20305301,No,0,0,0,0,0,3,,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
906,203053010062,Panel B,2,20305301,No,0,0,0,0,0,3,,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,Inadequate household food stocks due to lack of farm inputs,,,
908,203053010068,Panel B,2,20305301,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,203053010080,Panel B,2,20305301,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
898,203053010086,Panel B,2,20305301,No,0,0,0,0,0,3,,Yes,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,Inadequate household food stocks due to small land size,,,
910,203053010093,Panel B,2,20305301,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,203053010105,Panel B,2,20305301,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
904,203053010111,Panel B,2,20305301,No,0,0,0,0,0,2,3,Yes,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
902,203053010117,Panel B,2,20305301,Yes,2,1,0,0,0,2,2,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
912,203053010130,Panel B,2,20305301,Yes,3,3,2,0,2,2,2,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Other (Specify),ILLNESS,Inadequate household food stocks due to lack of farm inputs,,,
926,203065570007,Panel B,2,20306557,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
934,203065570030,Panel B,2,20306557,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,203065570076,Panel B,2,20306557,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
942,203065570099,Panel B,2,20306557,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to small land size,,,,,
956,203065570122,Panel B,2,20306557,No,0,0,0,0,0,2,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
932,203065570167,Panel B,2,20306557,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,203065570190,Panel B,2,20306557,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
954,203065570213,Panel B,2,20306557,Yes,0,0,0,0,1,3,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
950,203065570259,Panel B,2,20306557,Yes,0,0,0,0,1,3,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
940,203065570282,Panel B,2,20306557,Yes,0,1,0,2,2,3,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,Food in the market was very expensive,,,
944,203065570305,Panel B,2,20306557,No,0,0,0,0,0,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,203065570350,Panel B,2,20306557,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
948,203065570373,Panel B,2,20306557,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
938,203065570396,Panel B,2,20306557,No,0,0,0,0,0,3,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
928,203065570442,Panel B,2,20306557,No,0,0,0,0,0,2,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inadequate household food stocks due to small land size,,Inadequate household food stocks due to lack of farm inputs,,,
936,203065570465,Panel B,2,20306557,No,0,0,0,0,0,2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,204021980014,Panel B,2,20402198,No,0,0,0,0,0,2,3,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
988,204021980022,Panel B,2,20402198,No,0,0,0,0,0,2,3,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to small land size,,,,,
966,204021980031,Panel B,2,20402198,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
976,204021980039,Panel B,2,20402198,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,204021980056,Panel B,2,20402198,No,0,7,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,204021980064,Panel B,2,20402198,No,0,7,0,0,0,2,,Yes,,,,,,,,,,X,X,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,Inadequate household food stocks due to small land size,,,
970,204021980072,Panel B,2,20402198,No,0,7,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,204021980081,Panel B,2,20402198,No,0,7,0,0,0,2,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,204021980097,Panel B,2,20402198,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,204021980106,Panel B,2,20402198,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,204021980114,Panel B,2,20402198,No,0,0,0,0,0,2,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,204021980122,Panel B,2,20402198,No,0,0,0,0,0,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,204021980139,Panel B,2,20402198,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,204021980147,Panel B,2,20402198,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
974,204021980156,Panel B,2,20402198,No,0,0,0,0,0,3,,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
984,204021980172,Panel B,2,20402198,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household food stocks due to small land size,,Inadequate household food stocks due to lack of farm inputs,,,
989,204040320025,Panel A,1,20404032,No,0,7,0,0,0,2,,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to crop pest damage,,,,,
971,204040320028,Panel A,1,20404032,Yes,0,0,1,0,2,2,,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
981,204040320036,Panel A,1,20404032,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,204040320057,Panel A,1,20404032,No,0,0,0,0,0,2,,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
985,204040320063,Panel A,1,20404032,No,0,0,0,0,0,2,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,204040320072,Panel A,1,20404032,No,0,0,0,0,0,3,4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,204040320075,Panel A,1,20404032,No,0,0,0,0,0,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,204040320083,Panel A,1,20404032,Yes,1,6,0,0,0,2,2,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to crop pest damage,,Inadequate household stocks due to drought/poor rains,,,
987,204040320096,Panel A,1,20404032,No,0,0,0,0,0,2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,204040320107,Panel A,1,20404032,Yes,4,3,0,4,1,2,,Yes,,,,,,,,X,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to crop pest damage,,,,,
961,204040320114,Panel A,1,20404032,No,0,7,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,204040320149,Panel A,1,20404032,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,204040320160,Panel A,1,20404032,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,204040320166,Panel A,1,20404032,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,204040320180,Panel A,1,20404032,Yes,2,3,1,0,1,2,2,Yes,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,Food in the market was very expensive,,,
983,204040320184,Panel A,1,20404032,Yes,2,1,3,0,1,2,2,Yes,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
1000,204045750001,Panel B,2,20404575,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,204045750014,Panel B,2,20404575,No,0,0,0,0,0,2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,204045750042,Panel B,2,20404575,No,0,0,0,0,0,3,,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
990,204045750056,Panel B,2,20404575,No,0,0,0,0,0,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,204045750070,Panel B,2,20404575,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,204045750098,Panel B,2,20404575,No,0,0,0,0,0,2,2,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
1002,204045750111,Panel B,2,20404575,No,0,0,0,0,2,2,3,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Other (Specify),ANIMALS ATE CROPS,,,,
1004,204045750125,Panel B,2,20404575,No,0,0,0,0,0,2,,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
994,204045750153,Panel B,2,20404575,No,0,7,0,0,0,2,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,204045750167,Panel B,2,20404575,No,0,7,0,0,0,2,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,204045750181,Panel B,2,20404575,No,0,7,0,0,0,2,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,204045750208,Panel B,2,20404575,No,0,7,0,0,0,3,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,204045750222,Panel B,2,20404575,No,0,0,0,0,0,2,2,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
992,204045750236,Panel B,2,20404575,No,0,3,1,0,0,2,3,Yes,,,,,,,,,,X,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
1014,204045750264,Panel B,2,20404575,No,0,0,0,0,0,2,,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
1012,204045750278,Panel B,2,20404575,No,0,0,0,0,0,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
