occ,ea_id,com_cj0b,com_cj01,com_cj02,com_cj03,com_cj04,com_cj05,com_cj06
14,10401522,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,9,2,0
15,10401522,SPORTS GROUP,NO,,,,,
16,10401522,NGO,NO,,,,,
17,10401522,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,10,3,5
18,10401522,DISABLED ASSOC.,NO,,,,,
19,10401522,OTHER (SPECIFY),NO,,,,,
1,10404186,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,10,4,7
2,10404186,AGRICULTURAL COOP,NO,,,,,
3,10404186,TOBACCO CLUB,NO,,,,,
4,10404186,FARMERS` GROUP,YES,1,WEEKLY,37,16,22
5,10404186,SAVING AND CREDIT COOP,YES,1,WEEKLY,39,30,15
6,10404186,BUSINESS ASSOC,NO,,,,,
7,10404186,WOMEN`S GROUP,YES,1,WEEKLY,15,15,12
8,10404186,YOUTH GROUP,YES,1,WEEKLY,10,3,10
9,10404186,POLITICAL GROUP,YES,1,MONTHLY,22,10,0
10,10404186,RELIGIOUS GROUP,NO,,,,,
11,10404186,CULTURAL GROUP,NO,,,,,
12,10404186,HEALTH COMMITTEE,YES,5,WEEKLY,10,6,5
13,10404186,SCHOOL COMMITTEE,YES,1,WEEKLY,10,3,2
14,10404186,PARENT-TEACHER ASSOC.,YES,1,WEEKLY,10,6,0
15,10404186,SPORTS GROUP,YES,1,OTHER (SPECIFY),80,26,20
16,10404186,NGO,NO,,,,,
17,10404186,COMMUNITY POLICE/WATCH GROUP,YES,1,OTHER (SPECIFY),10,0,7
18,10404186,DISABLED ASSOC.,NO,,,,,
19,10404186,OTHER (SPECIFY),YES,1,WEEKLY,30,10,4
1,10405213,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,10,6,3
2,10405213,AGRICULTURAL COOP,NO,,,,,
3,10405213,TOBACCO CLUB,NO,,,,,
4,10405213,FARMERS` GROUP,NO,,,,,
5,10405213,SAVING AND CREDIT COOP,NO,,,,,
6,10405213,BUSINESS ASSOC,NO,,,,,
7,10405213,WOMEN`S GROUP,NO,,,,,
8,10405213,YOUTH GROUP,NO,,,,,
9,10405213,POLITICAL GROUP,NO,,,,,
10,10405213,RELIGIOUS GROUP,NO,,,,,
11,10405213,CULTURAL GROUP,NO,,,,,
12,10405213,HEALTH COMMITTEE,YES,1,MONTHLY,10,5,4
13,10405213,SCHOOL COMMITTEE,YES,1,MONTHLY,10,3,2
14,10405213,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,4,1
15,10405213,SPORTS GROUP,NO,,,,,
16,10405213,NGO,NO,,,,,
17,10405213,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,10,7,4
18,10405213,DISABLED ASSOC.,NO,,,,,
19,10405213,OTHER (SPECIFY),NO,,,,,
1,10501505,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,10,3,0
2,10501505,AGRICULTURAL COOP,NO,,,,,
3,10501505,TOBACCO CLUB,NO,,,,,
4,10501505,FARMERS` GROUP,NO,,,,,
5,10501505,SAVING AND CREDIT COOP,NO,,,,,
6,10501505,BUSINESS ASSOC,NO,,,,,
7,10501505,WOMEN`S GROUP,NO,,,,,
8,10501505,YOUTH GROUP,NO,,,,,
9,10501505,POLITICAL GROUP,NO,,,,,
10,10501505,RELIGIOUS GROUP,NO,,,,,
11,10501505,CULTURAL GROUP,NO,,,,,
12,10501505,HEALTH COMMITTEE,YES,1,MONTHLY,10,4,0
13,10501505,SCHOOL COMMITTEE,YES,1,MONTHLY,9,2,0
14,10501505,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,1,0
15,10501505,SPORTS GROUP,NO,,,,,
16,10501505,NGO,NO,,,,,
17,10501505,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,10,2,5
18,10501505,DISABLED ASSOC.,NO,,,,,
19,10501505,OTHER (SPECIFY),NO,,,,,
1,10501709,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,10,4,3
2,10501709,AGRICULTURAL COOP,NO,,,,,
3,10501709,TOBACCO CLUB,NO,,,,,
4,10501709,FARMERS` GROUP,NO,,,,,
5,10501709,SAVING AND CREDIT COOP,NO,,,,,
6,10501709,BUSINESS ASSOC,NO,,,,,
7,10501709,WOMEN`S GROUP,NO,,,,,
8,10501709,YOUTH GROUP,NO,,,,,
9,10501709,POLITICAL GROUP,NO,,,,,
10,10501709,RELIGIOUS GROUP,NO,,,,,
11,10501709,CULTURAL GROUP,NO,,,,,
12,10501709,HEALTH COMMITTEE,NO,,,,,
13,10501709,SCHOOL COMMITTEE,YES,1,MONTHLY,10,6,4
14,10501709,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,2,0
15,10501709,SPORTS GROUP,YES,1,MONTHLY,10,3,0
16,10501709,NGO,NO,,,,,
17,10501709,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,0,4,0
18,10501709,DISABLED ASSOC.,NO,,,,,
19,10501709,OTHER (SPECIFY),NO,,,,,
1,10502268,VILLAGE DEVELOPMENT COMMITTE,YES,1,WEEKLY,10,3,0
2,10502268,AGRICULTURAL COOP,NO,,,,,
3,10502268,TOBACCO CLUB,YES,20,MONTHLY,10,6,2
4,10502268,FARMERS` GROUP,NO,,,,,
5,10502268,SAVING AND CREDIT COOP,NO,,,,,
6,10502268,BUSINESS ASSOC,NO,,,,,
7,10502268,WOMEN`S GROUP,NO,,,,,
8,10502268,YOUTH GROUP,NO,,,,,
9,10502268,POLITICAL GROUP,NO,,,,,
10,10502268,RELIGIOUS GROUP,NO,,,,,
11,10502268,CULTURAL GROUP,NO,,,,,
12,10502268,HEALTH COMMITTEE,NO,,,,,
13,10502268,SCHOOL COMMITTEE,YES,1,MONTHLY,10,5,3
14,10502268,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,4,2
15,10502268,SPORTS GROUP,NO,,,,,
16,10502268,NGO,NO,,,,,
17,10502268,COMMUNITY POLICE/WATCH GROUP,YES,1,WEEKLY,10,0,0
18,10502268,DISABLED ASSOC.,NO,,,,,
19,10502268,OTHER (SPECIFY),NO,,,,,
1,10502593,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,10,3,0
2,10502593,AGRICULTURAL COOP,NO,,,,,
3,10502593,TOBACCO CLUB,NO,,,,,
4,10502593,FARMERS` GROUP,NO,,,,,
5,10502593,SAVING AND CREDIT COOP,NO,,,,,
6,10502593,BUSINESS ASSOC,NO,,,,,
7,10502593,WOMEN`S GROUP,NO,,,,,
8,10502593,YOUTH GROUP,NO,,,,,
9,10502593,POLITICAL GROUP,NO,,,,,
10,10502593,RELIGIOUS GROUP,NO,,,,,
11,10502593,CULTURAL GROUP,NO,,,,,
12,10502593,HEALTH COMMITTEE,NO,,,,,
13,10502593,SCHOOL COMMITTEE,YES,1,MONTHLY,9,4,0
14,10502593,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,5,1
15,10502593,SPORTS GROUP,NO,,,,,
16,10502593,NGO,NO,,,,,
17,10502593,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,10,2,6
18,10502593,DISABLED ASSOC.,NO,,,,,
19,10502593,OTHER (SPECIFY),NO,,,,,
1,10503367,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,10,5,0
2,10503367,AGRICULTURAL COOP,NO,,,,,
3,10503367,TOBACCO CLUB,NO,,,,,
4,10503367,FARMERS` GROUP,NO,,,,,
5,10503367,SAVING AND CREDIT COOP,NO,,,,,
6,10503367,BUSINESS ASSOC,NO,,,,,
7,10503367,WOMEN`S GROUP,NO,,,,,
8,10503367,YOUTH GROUP,NO,,,,,
9,10503367,POLITICAL GROUP,NO,,,,,
10,10503367,RELIGIOUS GROUP,NO,,,,,
11,10503367,CULTURAL GROUP,NO,,,,,
12,10503367,HEALTH COMMITTEE,YES,1,WEEKLY,10,2,4
13,10503367,SCHOOL COMMITTEE,YES,1,MONTHLY,9,6,5
14,10503367,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,4,4
15,10503367,SPORTS GROUP,NO,,,,,
16,10503367,NGO,NO,,,,,
17,10503367,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,10,3,0
18,10503367,DISABLED ASSOC.,NO,,,,,
19,10503367,OTHER (SPECIFY),NO,,,,,
1,10505136,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,15,8,2
2,10505136,AGRICULTURAL COOP,NO,,,,,
3,10505136,TOBACCO CLUB,NO,,,,,
4,10505136,FARMERS` GROUP,NO,,,,,
5,10505136,SAVING AND CREDIT COOP,NO,,,,,
6,10505136,BUSINESS ASSOC,NO,,,,,
7,10505136,WOMEN`S GROUP,NO,,,,,
8,10505136,YOUTH GROUP,NO,,,,,
9,10505136,POLITICAL GROUP,NO,,,,,
10,10505136,RELIGIOUS GROUP,NO,,,,,
11,10505136,CULTURAL GROUP,NO,,,,,
12,10505136,HEALTH COMMITTEE,NO,,,,,
13,10505136,SCHOOL COMMITTEE,YES,1,WEEKLY,10,4,2
14,10505136,PARENT-TEACHER ASSOC.,YES,1,WEEKLY,10,4,2
15,10505136,SPORTS GROUP,NO,,,,,
16,10505136,NGO,NO,,,,,
17,10505136,COMMUNITY POLICE/WATCH GROUP,YES,1,WEEKLY,10,2,4
18,10505136,DISABLED ASSOC.,NO,,,,,
19,10505136,OTHER (SPECIFY),NO,,,,,
1,10505310,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,15,6,0
2,10505310,AGRICULTURAL COOP,NO,,,,,
3,10505310,TOBACCO CLUB,YES,1,MONTHLY,4,2,0
4,10505310,FARMERS` GROUP,NO,,,,,
5,10505310,SAVING AND CREDIT COOP,NO,,,,,
6,10505310,BUSINESS ASSOC,NO,,,,,
7,10505310,WOMEN`S GROUP,NO,,,,,
8,10505310,YOUTH GROUP,NO,,,,,
9,10505310,POLITICAL GROUP,NO,,,,,
10,10505310,RELIGIOUS GROUP,NO,,,,,
11,10505310,CULTURAL GROUP,NO,,,,,
12,10505310,HEALTH COMMITTEE,YES,1,MONTHLY,10,4,0
13,10505310,SCHOOL COMMITTEE,YES,1,WEEKLY,9,4,0
14,10505310,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,6,3,0
15,10505310,SPORTS GROUP,NO,,,,,
16,10505310,NGO,NO,,,,,
17,10505310,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,10,0,2
18,10505310,DISABLED ASSOC.,NO,,,,,
19,10505310,OTHER (SPECIFY),NO,,,,,
1,10505508,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,10,6,0
2,10505508,AGRICULTURAL COOP,NO,,,,,
3,10505508,TOBACCO CLUB,YES,23,MONTHLY,15,8,0
4,10505508,FARMERS` GROUP,NO,,,,,
5,10505508,SAVING AND CREDIT COOP,NO,,,,,
6,10505508,BUSINESS ASSOC,NO,,,,,
7,10505508,WOMEN`S GROUP,NO,,,,,
8,10505508,YOUTH GROUP,NO,,,,,
9,10505508,POLITICAL GROUP,NO,,,,,
10,10505508,RELIGIOUS GROUP,NO,,,,,
11,10505508,CULTURAL GROUP,NO,,,,,
12,10505508,HEALTH COMMITTEE,NO,,,,,
13,10505508,SCHOOL COMMITTEE,YES,1,MONTHLY,9,4,0
14,10505508,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,6,0
15,10505508,SPORTS GROUP,NO,,,,,
16,10505508,NGO,NO,,,,,
17,10505508,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,10,2,3
18,10505508,DISABLED ASSOC.,NO,,,,,
19,10505508,OTHER (SPECIFY),NO,,,,,
1,10507175,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,10,4,0
2,10507175,AGRICULTURAL COOP,NO,,,,,
3,10507175,TOBACCO CLUB,YES,6,WEEKLY,6,4,2
4,10507175,FARMERS` GROUP,NO,,,,,
5,10507175,SAVING AND CREDIT COOP,NO,,,,,
6,10507175,BUSINESS ASSOC,NO,,,,,
7,10507175,WOMEN`S GROUP,NO,,,,,
8,10507175,YOUTH GROUP,NO,,,,,
9,10507175,POLITICAL GROUP,NO,,,,,
10,10507175,RELIGIOUS GROUP,NO,,,,,
11,10507175,CULTURAL GROUP,NO,,,,,
12,10507175,HEALTH COMMITTEE,YES,1,MONTHLY,10,3,0
13,10507175,SCHOOL COMMITTEE,YES,1,MONTHLY,9,2,2
14,10507175,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,3,1
15,10507175,SPORTS GROUP,NO,,,,,
16,10507175,NGO,NO,,,,,
17,10507175,COMMUNITY POLICE/WATCH GROUP,YES,1,WEEKLY,10,2,5
18,10507175,DISABLED ASSOC.,NO,,,,,
19,10507175,OTHER (SPECIFY),NO,,,,,
1,10507344,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,10,4,2
2,10507344,AGRICULTURAL COOP,NO,,,,,
3,10507344,TOBACCO CLUB,NO,,,,,
4,10507344,FARMERS` GROUP,NO,,,,,
5,10507344,SAVING AND CREDIT COOP,NO,,,,,
6,10507344,BUSINESS ASSOC,NO,,,,,
7,10507344,WOMEN`S GROUP,NO,,,,,
8,10507344,YOUTH GROUP,NO,,,,,
9,10507344,POLITICAL GROUP,NO,,,,,
10,10507344,RELIGIOUS GROUP,NO,,,,,
11,10507344,CULTURAL GROUP,NO,,,,,
12,10507344,HEALTH COMMITTEE,NO,,,,,
13,10507344,SCHOOL COMMITTEE,YES,1,MONTHLY,9,2,0
14,10507344,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,3,0
15,10507344,SPORTS GROUP,NO,,,,,
16,10507344,NGO,NO,,,,,
17,10507344,COMMUNITY POLICE/WATCH GROUP,NO,,,,,
18,10507344,DISABLED ASSOC.,NO,,,,,
19,10507344,OTHER (SPECIFY),NO,,,,,
1,10509319,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,10,4,0
2,10509319,AGRICULTURAL COOP,NO,,,,,
3,10509319,TOBACCO CLUB,YES,20,OTHER (SPECIFY),5,1,0
4,10509319,FARMERS` GROUP,NO,,,,,
5,10509319,SAVING AND CREDIT COOP,NO,,,,,
6,10509319,BUSINESS ASSOC,NO,,,,,
7,10509319,WOMEN`S GROUP,NO,,,,,
8,10509319,YOUTH GROUP,NO,,,,,
9,10509319,POLITICAL GROUP,NO,,,,,
10,10509319,RELIGIOUS GROUP,NO,,,,,
11,10509319,CULTURAL GROUP,NO,,,,,
12,10509319,HEALTH COMMITTEE,YES,1,MONTHLY,10,2,0
13,10509319,SCHOOL COMMITTEE,YES,1,MONTHLY,10,3,0
14,10509319,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,4,2
15,10509319,SPORTS GROUP,NO,,,,,
16,10509319,NGO,NO,,,,,
17,10509319,COMMUNITY POLICE/WATCH GROUP,YES,1,WEEKLY,2,0,0
18,10509319,DISABLED ASSOC.,NO,,,,,
19,10509319,OTHER (SPECIFY),NO,,,,,
1,10510388,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,10,4,0
2,10510388,AGRICULTURAL COOP,NO,,,,,
3,10510388,TOBACCO CLUB,NO,,,,,
4,10510388,FARMERS` GROUP,NO,,,,,
5,10510388,SAVING AND CREDIT COOP,NO,,,,,
6,10510388,BUSINESS ASSOC,NO,,,,,
7,10510388,WOMEN`S GROUP,NO,,,,,
8,10510388,YOUTH GROUP,NO,,,,,
9,10510388,POLITICAL GROUP,NO,,,,,
10,10510388,RELIGIOUS GROUP,NO,,,,,
11,10510388,CULTURAL GROUP,NO,,,,,
12,10510388,HEALTH COMMITTEE,YES,1,MONTHLY,10,4,2
13,10510388,SCHOOL COMMITTEE,YES,1,MONTHLY,9,3,0
14,10510388,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,9,2,0
15,10510388,SPORTS GROUP,NO,,,,,
16,10510388,NGO,NO,,,,,
17,10510388,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,10,0,3
18,10510388,DISABLED ASSOC.,NO,,,,,
19,10510388,OTHER (SPECIFY),NO,,,,,
1,10732192,VILLAGE DEVELOPMENT COMMITTE,YES,1,WEEKLY,10,4,0
2,10732192,AGRICULTURAL COOP,NO,,,,,
3,10732192,TOBACCO CLUB,NO,,,,,
4,10732192,FARMERS` GROUP,NO,,,,,
5,10732192,SAVING AND CREDIT COOP,NO,,,,,
6,10732192,BUSINESS ASSOC,NO,,,,,
7,10732192,WOMEN`S GROUP,NO,,,,,
8,10732192,YOUTH GROUP,NO,,,,,
9,10732192,POLITICAL GROUP,NO,,,,,
10,10732192,RELIGIOUS GROUP,NO,,,,,
11,10732192,CULTURAL GROUP,NO,,,,,
12,10732192,HEALTH COMMITTEE,YES,1,MONTHLY,10,3,0
13,10732192,SCHOOL COMMITTEE,YES,,,,,
14,10732192,PARENT-TEACHER ASSOC.,YES,,,,,
15,10732192,SPORTS GROUP,NO,,,,,
16,10732192,NGO,NO,,,,,
17,10732192,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,12,2,0
18,10732192,DISABLED ASSOC.,NO,,,,,
19,10732192,OTHER (SPECIFY),NO,,,,,
1,10733640,VILLAGE DEVELOPMENT COMMITTE,NO,,,,,
2,10733640,AGRICULTURAL COOP,NO,,,,,
3,10733640,TOBACCO CLUB,NO,,,,,
4,10733640,FARMERS` GROUP,NO,,,,,
5,10733640,SAVING AND CREDIT COOP,NO,,,,,
6,10733640,BUSINESS ASSOC,NO,,,,,
7,10733640,WOMEN`S GROUP,NO,,,,,
8,10733640,YOUTH GROUP,NO,,,,,
9,10733640,POLITICAL GROUP,NO,,,,,
10,10733640,RELIGIOUS GROUP,NO,,,,,
11,10733640,CULTURAL GROUP,NO,,,,,
12,10733640,HEALTH COMMITTEE,NO,,,,,
13,10733640,SCHOOL COMMITTEE,YES,1,MONTHLY,10,5,0
14,10733640,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,2,0
15,10733640,SPORTS GROUP,NO,,,,,
16,10733640,NGO,NO,,,,,
17,10733640,COMMUNITY POLICE/WATCH GROUP,NO,,,,,
18,10733640,DISABLED ASSOC.,NO,,,,,
19,10733640,OTHER (SPECIFY),NO,,,,,
1,10734370,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,7,7,0
2,10734370,AGRICULTURAL COOP,NO,,,,,
3,10734370,TOBACCO CLUB,NO,,,,,
4,10734370,FARMERS` GROUP,NO,,,,,
5,10734370,SAVING AND CREDIT COOP,NO,,,,,
6,10734370,BUSINESS ASSOC,YES,1,WEEKLY,7,7,0
7,10734370,WOMEN`S GROUP,NO,,,,,
8,10734370,YOUTH GROUP,NO,,,,,
9,10734370,POLITICAL GROUP,NO,,,,,
10,10734370,RELIGIOUS GROUP,NO,,,,,
11,10734370,CULTURAL GROUP,NO,,,,,
12,10734370,HEALTH COMMITTEE,YES,1,MONTHLY,10,6,0
13,10734370,SCHOOL COMMITTEE,YES,1,MONTHLY,9,7,0
14,10734370,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,6,0
15,10734370,SPORTS GROUP,NO,,,,,
16,10734370,NGO,NO,,,,,
17,10734370,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,15,15,0
18,10734370,DISABLED ASSOC.,NO,,,,,
19,10734370,OTHER (SPECIFY),NO,,,,,
1,10734762,VILLAGE DEVELOPMENT COMMITTE,NO,,,,,
2,10734762,AGRICULTURAL COOP,NO,,,,,
3,10734762,TOBACCO CLUB,NO,,,,,
4,10734762,FARMERS` GROUP,NO,,,,,
5,10734762,SAVING AND CREDIT COOP,NO,,,,,
6,10734762,BUSINESS ASSOC,NO,,,,,
7,10734762,WOMEN`S GROUP,NO,,,,,
8,10734762,YOUTH GROUP,NO,,,,,
9,10734762,POLITICAL GROUP,NO,,,,,
10,10734762,RELIGIOUS GROUP,NO,,,,,
11,10734762,CULTURAL GROUP,NO,,,,,
12,10734762,HEALTH COMMITTEE,NO,,,,,
13,10734762,SCHOOL COMMITTEE,YES,1,MONTHLY,9,3,0
14,10734762,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,4,0
15,10734762,SPORTS GROUP,NO,,,,,
16,10734762,NGO,NO,,,,,
17,10734762,COMMUNITY POLICE/WATCH GROUP,NO,,,,,
18,10734762,DISABLED ASSOC.,NO,,,,,
19,10734762,OTHER (SPECIFY),NO,,,,,
1,10735173,VILLAGE DEVELOPMENT COMMITTE,NO,,,,,
2,10735173,AGRICULTURAL COOP,NO,,,,,
3,10735173,TOBACCO CLUB,NO,,,,,
4,10735173,FARMERS` GROUP,NO,,,,,
5,10735173,SAVING AND CREDIT COOP,YES,1,MONTHLY,17,6,4
6,10735173,BUSINESS ASSOC,YES,5,WEEKLY,26,11,9
7,10735173,WOMEN`S GROUP,YES,6,WEEKLY,18,18,6
8,10735173,YOUTH GROUP,YES,2,WEEKLY,21,7,21
9,10735173,POLITICAL GROUP,YES,5,MONTHLY,14,5,5
10,10735173,RELIGIOUS GROUP,YES,9,WEEKLY,26,16,8
11,10735173,CULTURAL GROUP,NO,,,,,
12,10735173,HEALTH COMMITTEE,YES,1,MONTHLY,12,5,2
13,10735173,SCHOOL COMMITTEE,YES,3,QUARTERLY,10,4,2
14,10735173,PARENT-TEACHER ASSOC.,YES,3,QUARTERLY,12,5,4
15,10735173,SPORTS GROUP,YES,2,WEEKLY,16,4,11
16,10735173,NGO,NO,,,,,
17,10735173,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,10,3,4
18,10735173,DISABLED ASSOC.,NO,,,,,
19,10735173,OTHER (SPECIFY),NO,,,,,
1,10736596,VILLAGE DEVELOPMENT COMMITTE,YES,1,WEEKLY,20,10,10
2,10736596,AGRICULTURAL COOP,NO,,,,,
3,10736596,TOBACCO CLUB,NO,,,,,
4,10736596,FARMERS` GROUP,NO,,,,,
5,10736596,SAVING AND CREDIT COOP,YES,3,WEEKLY,10,10,0
6,10736596,BUSINESS ASSOC,NO,,,,,
7,10736596,WOMEN`S GROUP,NO,,,,,
8,10736596,YOUTH GROUP,YES,1,MONTHLY,15,6,4
9,10736596,POLITICAL GROUP,YES,2,WEEKLY,65,60,30
10,10736596,RELIGIOUS GROUP,YES,2,WEEKLY,30,20,30
11,10736596,CULTURAL GROUP,YES,1,WEEKLY,8,4,23
12,10736596,HEALTH COMMITTEE,YES,1,MONTHLY,10,9,0
13,10736596,SCHOOL COMMITTEE,YES,1,WEEKLY,5,3,4
14,10736596,PARENT-TEACHER ASSOC.,YES,1,WEEKLY,5,0,0
15,10736596,SPORTS GROUP,YES,1,WEEKLY,22,22,17
16,10736596,NGO,NO,,,,,
17,10736596,COMMUNITY POLICE/WATCH GROUP,YES,1,WEEKLY,12,4,1
18,10736596,DISABLED ASSOC.,NO,,,,,
19,10736596,OTHER (SPECIFY),NO,,,,,
1,10741504,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,10,2,0
2,10741504,AGRICULTURAL COOP,NO,,,,,
3,10741504,TOBACCO CLUB,NO,,,,,
4,10741504,FARMERS` GROUP,NO,,,,,
5,10741504,SAVING AND CREDIT COOP,NO,,,,,
6,10741504,BUSINESS ASSOC,NO,,,,,
7,10741504,WOMEN`S GROUP,NO,,,,,
8,10741504,YOUTH GROUP,NO,,,,,
9,10741504,POLITICAL GROUP,NO,,,,,
10,10741504,RELIGIOUS GROUP,YES,1,OTHER (SPECIFY),20,10,0
11,10741504,CULTURAL GROUP,NO,,,,,
12,10741504,HEALTH COMMITTEE,NO,,,,,
13,10741504,SCHOOL COMMITTEE,YES,1,MONTHLY,10,4,0
14,10741504,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,3,0
15,10741504,SPORTS GROUP,NO,,,,,
16,10741504,NGO,NO,,,,,
17,10741504,COMMUNITY POLICE/WATCH GROUP,YES,1,OTHER (SPECIFY),10,3,0
18,10741504,DISABLED ASSOC.,NO,,,,,
19,10741504,OTHER (SPECIFY),NO,,,,,
1,10744649,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,10,7,0
2,10744649,AGRICULTURAL COOP,NO,,,,,
3,10744649,TOBACCO CLUB,NO,,,,,
4,10744649,FARMERS` GROUP,NO,,,,,
5,10744649,SAVING AND CREDIT COOP,NO,,,,,
6,10744649,BUSINESS ASSOC,NO,,,,,
7,10744649,WOMEN`S GROUP,NO,,,,,
8,10744649,YOUTH GROUP,NO,,,,,
9,10744649,POLITICAL GROUP,NO,,,,,
10,10744649,RELIGIOUS GROUP,NO,,,,,
11,10744649,CULTURAL GROUP,NO,,,,,
12,10744649,HEALTH COMMITTEE,YES,1,WEEKLY,10,8,0
13,10744649,SCHOOL COMMITTEE,YES,1,WEEKLY,10,5,0
14,10744649,PARENT-TEACHER ASSOC.,YES,1,WEEKLY,10,3,0
15,10744649,SPORTS GROUP,NO,,,,,
16,10744649,NGO,NO,,,,,
17,10744649,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,10,3,0
18,10744649,DISABLED ASSOC.,NO,,,,,
19,10744649,OTHER (SPECIFY),NO,,,,,
1,10746033,VILLAGE DEVELOPMENT COMMITTE,YES,3,MONTHLY,10,4,3
2,10746033,AGRICULTURAL COOP,NO,,,,,
3,10746033,TOBACCO CLUB,NO,,,,,
4,10746033,FARMERS` GROUP,NO,,,,,
5,10746033,SAVING AND CREDIT COOP,NO,,,,,
6,10746033,BUSINESS ASSOC,YES,1,MONTHLY,16,7,4
7,10746033,WOMEN`S GROUP,YES,3,WEEKLY,20,20,6
8,10746033,YOUTH GROUP,YES,2,WEEKLY,13,5,13
9,10746033,POLITICAL GROUP,YES,4,MONTHLY,23,9,7
10,10746033,RELIGIOUS GROUP,YES,6,WEEKLY,15,8,4
11,10746033,CULTURAL GROUP,NO,,,,,
12,10746033,HEALTH COMMITTEE,YES,1,MONTHLY,10,4,4
13,10746033,SCHOOL COMMITTEE,YES,2,QUARTERLY,8,3,3
14,10746033,PARENT-TEACHER ASSOC.,YES,2,QUARTERLY,20,9,11
15,10746033,SPORTS GROUP,YES,1,WEEKLY,15,2,15
16,10746033,NGO,YES,1,WEEKLY,8,2,2
17,10746033,COMMUNITY POLICE/WATCH GROUP,YES,1,WEEKLY,12,3,9
18,10746033,DISABLED ASSOC.,NO,,,,,
19,10746033,OTHER (SPECIFY),NO,,,,,
1,10746244,VILLAGE DEVELOPMENT COMMITTE,NO,,,,,
2,10746244,AGRICULTURAL COOP,NO,,,,,
3,10746244,TOBACCO CLUB,NO,,,,,
4,10746244,FARMERS` GROUP,NO,,,,,
5,10746244,SAVING AND CREDIT COOP,NO,,,,,
6,10746244,BUSINESS ASSOC,YES,1,MONTHLY,8,8,0
7,10746244,WOMEN`S GROUP,NO,,,,,
8,10746244,YOUTH GROUP,NO,,,,,
9,10746244,POLITICAL GROUP,NO,,,,,
10,10746244,RELIGIOUS GROUP,NO,,,,,
11,10746244,CULTURAL GROUP,NO,,,,,
12,10746244,HEALTH COMMITTEE,YES,1,WEEKLY,20,12,0
13,10746244,SCHOOL COMMITTEE,YES,1,MONTHLY,10,8,2
14,10746244,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,9,6,3
15,10746244,SPORTS GROUP,NO,,,,,
16,10746244,NGO,NO,,,,,
17,10746244,COMMUNITY POLICE/WATCH GROUP,YES,1,OTHER (SPECIFY),10,2,0
18,10746244,DISABLED ASSOC.,NO,,,,,
19,10746244,OTHER (SPECIFY),NO,,,,,
1,20106042,VILLAGE DEVELOPMENT COMMITTE,YES,7,WEEKLY,10,7,4
2,20106042,AGRICULTURAL COOP,NO,,,,,
3,20106042,TOBACCO CLUB,YES,10,OTHER (SPECIFY),10,6,9
