HHID,case_id,ea_id,qx_type,ag_c0a,ag_c01,ag_j0a,ag_j01,ag_j02,ag_s00,_merge
775,201106200266,20110620,Panel A,,Yes,,No,,No,both in master and using data
793,201106200267,20110620,Panel A,,Yes,,No,,Yes,both in master and using data
810,201117180005,20111718,Panel B,,Yes,,No,,Yes,both in master and using data
800,201117180015,20111718,Panel B,,Yes,,No,,Yes,both in master and using data
828,201117180024,20111718,Panel B,,Yes,,No,,Yes,both in master and using data
824,201117180032,20111718,Panel B,,Yes,,No,,Yes,both in master and using data
808,201117180043,20111718,Panel B,,Yes,,No,,Yes,both in master and using data
812,201117180052,20111718,Panel B,,Yes,,No,,Yes,both in master and using data
816,201117180071,20111718,Panel B,,Yes,,No,,No,both in master and using data
802,201117180080,20111718,Panel B,,Yes,,No,,No,both in master and using data
818,201117180089,20111718,Panel B,,Yes,,No,,Yes,both in master and using data
826,201117180108,20111718,Panel B,,Yes,,No,,Yes,both in master and using data
822,201117180117,20111718,Panel B,,Yes,,No,,Yes,both in master and using data
798,201117180127,20111718,Panel B,,Yes,,No,,No,both in master and using data
814,201117180145,20111718,Panel B,,Yes,,No,,Yes,both in master and using data
806,201117180164,20111718,Panel B,,Yes,,No,,No,both in master and using data
804,201117180183,20111718,Panel B,,Yes,,No,,Yes,both in master and using data
820,201117180192,20111718,Panel B,,Yes,,No,,Yes,both in master and using data
811,201126610025,20112661,Panel A,,Yes,,No,,Yes,both in master and using data
823,201126610037,20112661,Panel A,,Yes,,No,,Yes,both in master and using data
807,201126610043,20112661,Panel A,,Yes,,No,,Yes,both in master and using data
809,201126610046,20112661,Panel A,,Yes,,No,,Yes,both in master and using data
827,201126610050,20112661,Panel A,,Yes,,No,,Yes,both in master and using data
805,201126610060,20112661,Panel A,,Yes,,No,,Yes,both in master and using data
817,201126610061,20112661,Panel A,,Yes,,No,,Yes,both in master and using data
815,201126610067,20112661,Panel A,,Yes,,No,,Yes,both in master and using data
801,201126610075,20112661,Panel A,,Yes,,No,,Yes,both in master and using data
819,201126610100,20112661,Panel A,,Yes,,No,,Yes,both in master and using data
831,201126610106,20112661,Panel A,,Yes,,No,,Yes,both in master and using data
829,201126610108,20112661,Panel A,,Yes,,No,,Yes,both in master and using data
803,201126610109,20112661,Panel A,,Yes,,No,,Yes,both in master and using data
821,201126610115,20112661,Panel A,,Yes,,No,,Yes,both in master and using data
813,201126610116,20112661,Panel A,,Yes,,No,,No,both in master and using data
825,201126610117,20112661,Panel A,,Yes,,No,,Yes,both in master and using data
861,201131120001,20113112,Panel A,,Yes,,No,,Yes,both in master and using data
833,201131120024,20113112,Panel A,,Yes,,No,,Yes,both in master and using data
843,201131120026,20113112,Panel A,,Yes,,No,,Yes,both in master and using data
863,201131120034,20113112,Panel A,,Yes,,No,,Yes,both in master and using data
855,201131120044,20113112,Panel A,,Yes,,No,,Yes,both in master and using data
851,201131120047,20113112,Panel A,,Yes,,No,,Yes,both in master and using data
839,201131120061,20113112,Panel A,,Yes,,No,,Yes,both in master and using data
837,201131120068,20113112,Panel A,,Yes,,No,,Yes,both in master and using data
859,201131120071,20113112,Panel A,,Yes,,No,,No,both in master and using data
857,201131120075,20113112,Panel A,,Yes,,No,,No,both in master and using data
853,201131120081,20113112,Panel A,,Yes,,No,,No,both in master and using data
849,201131120092,20113112,Panel A,,Yes,,No,,Yes,both in master and using data
835,201131120102,20113112,Panel A,,Yes,,No,,No,both in master and using data
845,201131120106,20113112,Panel A,,Yes,,No,,No,both in master and using data
847,201131120126,20113112,Panel A,,Yes,,No,,No,both in master and using data
834,201154340005,20115434,Panel B,,Yes,,No,,No,both in master and using data
858,201154340012,20115434,Panel B,,Yes,,No,,No,both in master and using data
838,201154340018,20115434,Panel B,,Yes,,No,,No,both in master and using data
846,201154340031,20115434,Panel B,,Yes,,No,,No,both in master and using data
840,201154340038,20115434,Panel B,,No,,No,,Yes,both in master and using data
830,201154340044,20115434,Panel B,,Yes,,No,,Yes,both in master and using data
844,201154340058,20115434,Panel B,,Yes,,No,,Yes,both in master and using data
860,201154340064,20115434,Panel B,,Yes,,No,,No,both in master and using data
850,201154340071,20115434,Panel B,,Yes,,No,,No,both in master and using data
856,201154340084,20115434,Panel B,,Yes,,No,,No,both in master and using data
842,201154340090,20115434,Panel B,,Yes,,No,,No,both in master and using data
848,201154340097,20115434,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
832,201154340110,20115434,Panel B,,Yes,,No,,No,both in master and using data
852,201154340116,20115434,Panel B,,Yes,,No,,Yes,both in master and using data
836,201154340123,20115434,Panel B,,Yes,,No,,No,both in master and using data
854,201154340136,20115434,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
872,202052070003,20205207,Panel B,,Yes,,Yes,No,Yes,both in master and using data
866,202052070009,20205207,Panel B,,Yes,,No,,Yes,both in master and using data
892,202052070015,20205207,Panel B,,Yes,,Yes,Yes,No,both in master and using data
880,202052070021,20205207,Panel B,,Yes,,No,,Yes,both in master and using data
882,202052070028,20205207,Panel B,,Yes,,No,,Yes,both in master and using data
888,202052070034,20205207,Panel B,,Yes,,No,,No,both in master and using data
874,202052070040,20205207,Panel B,,Yes,,No,,No,both in master and using data
886,202052070053,20205207,Panel B,,Yes,,No,,No,both in master and using data
876,202052070059,20205207,Panel B,,Yes,,No,,No,both in master and using data
870,202052070065,20205207,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
884,202052070084,20205207,Panel B,,Yes,,No,,No,both in master and using data
862,202052070090,20205207,Panel B,,Yes,,No,,Yes,both in master and using data
864,202052070103,20205207,Panel B,,Yes,,Yes,Yes,No,both in master and using data
890,202052070109,20205207,Panel B,,Yes,,Yes,Yes,No,both in master and using data
868,202052070115,20205207,Panel B,,Yes,,No,,Yes,both in master and using data
878,202052070127,20205207,Panel B,,Yes,,No,,No,both in master and using data
889,202063620005,20206362,Panel A,,Yes,,No,,Yes,both in master and using data
877,202063620025,20206362,Panel A,,Yes,,No,,Yes,both in master and using data
871,202063620035,20206362,Panel A,,Yes,,No,,Yes,both in master and using data
891,202063620047,20206362,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
865,202063620055,20206362,Panel A,,Yes,,No,,Yes,both in master and using data
879,202063620077,20206362,Panel A,,Yes,,No,,No,both in master and using data
881,202063620123,20206362,Panel A,,Yes,,No,,Yes,both in master and using data
883,202063620130,20206362,Panel A,,Yes,,No,,Yes,both in master and using data
893,202063620143,20206362,Panel A,,Yes,,Yes,Yes,No,both in master and using data
895,202063620150,20206362,Panel A,,Yes,,No,,Yes,both in master and using data
887,202063620156,20206362,Panel A,,Yes,,No,,Yes,both in master and using data
873,202063620179,20206362,Panel A,,Yes,,No,,Yes,both in master and using data
869,202063620195,20206362,Panel A,,Yes,,No,,Yes,both in master and using data
867,202063620232,20206362,Panel A,,Yes,,No,,Yes,both in master and using data
875,202063620243,20206362,Panel A,,Yes,,No,,Yes,both in master and using data
885,202063620271,20206362,Panel A,,Yes,,No,,No,both in master and using data
913,203025390008,20302539,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
917,203025390016,20302539,Panel A,,Yes,,No,,No,both in master and using data
905,203025390038,20302539,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
925,203025390047,20302539,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
911,203025390067,20302539,Panel A,,Yes,,No,,Yes,both in master and using data
923,203025390077,20302539,Panel A,,Yes,,No,,Yes,both in master and using data
927,203025390081,20302539,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
907,203025390087,20302539,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
915,203025390104,20302539,Panel A,,Yes,,No,,No,both in master and using data
919,203025390115,20302539,Panel A,,Yes,,No,,Yes,both in master and using data
903,203025390120,20302539,Panel A,,Yes,,Yes,Yes,No,both in master and using data
909,203025390137,20302539,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
899,203025390148,20302539,Panel A,,Yes,,No,,Yes,both in master and using data
921,203025390169,20302539,Panel A,,Yes,,Yes,No,Yes,both in master and using data
897,203025390177,20302539,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
901,203025390196,20302539,Panel A,,Yes,,No,,Yes,both in master and using data
931,203030650008,20303065,Panel A,,Yes,,No,,Yes,both in master and using data
959,203030650012,20303065,Panel A,,Yes,,No,,Yes,both in master and using data
941,203030650013,20303065,Panel A,,Yes,,No,,Yes,both in master and using data
937,203030650026,20303065,Panel A,,Yes,,No,,Yes,both in master and using data
947,203030650031,20303065,Panel A,,Yes,,No,,Yes,both in master and using data
929,203030650039,20303065,Panel A,,Yes,,No,,Yes,both in master and using data
935,203030650044,20303065,Panel A,,Yes,,No,,Yes,both in master and using data
949,203030650050,20303065,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
933,203030650058,20303065,Panel A,,Yes,,No,,No,both in master and using data
939,203030650069,20303065,Panel A,,Yes,,No,,Yes,both in master and using data
951,203030650087,20303065,Panel A,,Yes,,No,,No,both in master and using data
943,203030650093,20303065,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
945,203030650094,20303065,Panel A,,Yes,,No,,No,both in master and using data
955,203030650110,20303065,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
953,203030650116,20303065,Panel A,,Yes,,Yes,Yes,No,both in master and using data
957,203030650121,20303065,Panel A,,Yes,,Yes,Yes,No,both in master and using data
896,203053010006,20305301,Panel B,,Yes,,Yes,Yes,No,both in master and using data
894,203053010012,20305301,Panel B,,Yes,,No,,No,both in master and using data
920,203053010018,20305301,Panel B,,Yes,,No,,Yes,both in master and using data
922,203053010025,20305301,Panel B,,Yes,,No,,No,both in master and using data
918,203053010031,20305301,Panel B,,Yes,,No,,Yes,both in master and using data
916,203053010037,20305301,Panel B,,Yes,,Yes,Yes,No,both in master and using data
900,203053010049,20305301,Panel B,,Yes,,No,,No,both in master and using data
906,203053010062,20305301,Panel B,,Yes,,No,,Yes,both in master and using data
908,203053010068,20305301,Panel B,,Yes,,No,,Yes,both in master and using data
924,203053010080,20305301,Panel B,,Yes,,No,,Yes,both in master and using data
898,203053010086,20305301,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
910,203053010093,20305301,Panel B,,Yes,,No,,Yes,both in master and using data
914,203053010105,20305301,Panel B,,Yes,,No,,Yes,both in master and using data
904,203053010111,20305301,Panel B,,Yes,,No,,No,both in master and using data
902,203053010117,20305301,Panel B,,Yes,,No,,No,both in master and using data
912,203053010130,20305301,Panel B,,Yes,,No,,No,both in master and using data
926,203065570007,20306557,Panel B,,Yes,,No,,No,both in master and using data
934,203065570030,20306557,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
930,203065570076,20306557,Panel B,,Yes,,No,,No,both in master and using data
942,203065570099,20306557,Panel B,,Yes,,No,,No,both in master and using data
956,203065570122,20306557,Panel B,,Yes,,No,,Yes,both in master and using data
932,203065570167,20306557,Panel B,,Yes,,No,,Yes,both in master and using data
952,203065570190,20306557,Panel B,,Yes,,No,,Yes,both in master and using data
954,203065570213,20306557,Panel B,,Yes,,No,,Yes,both in master and using data
950,203065570259,20306557,Panel B,,Yes,,No,,No,both in master and using data
940,203065570282,20306557,Panel B,,Yes,,No,,Yes,both in master and using data
944,203065570305,20306557,Panel B,,Yes,,No,,Yes,both in master and using data
946,203065570350,20306557,Panel B,,Yes,,No,,Yes,both in master and using data
948,203065570373,20306557,Panel B,,Yes,,No,,No,both in master and using data
938,203065570396,20306557,Panel B,,Yes,,No,,Yes,both in master and using data
928,203065570442,20306557,Panel B,,Yes,,No,,No,both in master and using data
936,203065570465,20306557,Panel B,,Yes,,No,,No,both in master and using data
958,204021980014,20402198,Panel B,,Yes,,No,,No,both in master and using data
988,204021980022,20402198,Panel B,,Yes,,No,,No,both in master and using data
966,204021980031,20402198,Panel B,,Yes,,No,,Yes,both in master and using data
976,204021980039,20402198,Panel B,,Yes,,No,,No,both in master and using data
972,204021980056,20402198,Panel B,,Yes,,No,,Yes,both in master and using data
980,204021980064,20402198,Panel B,,Yes,,No,,No,both in master and using data
970,204021980072,20402198,Panel B,,Yes,,No,,Yes,both in master and using data
964,204021980081,20402198,Panel B,,Yes,,No,,Yes,both in master and using data
978,204021980097,20402198,Panel B,,Yes,,No,,Yes,both in master and using data
986,204021980106,20402198,Panel B,,Yes,,No,,Yes,both in master and using data
968,204021980114,20402198,Panel B,,Yes,,No,,No,both in master and using data
962,204021980122,20402198,Panel B,,Yes,,No,,No,both in master and using data
960,204021980139,20402198,Panel B,,Yes,,No,,No,both in master and using data
982,204021980147,20402198,Panel B,,Yes,,No,,Yes,both in master and using data
974,204021980156,20402198,Panel B,,Yes,,No,,Yes,both in master and using data
984,204021980172,20402198,Panel B,,Yes,,No,,Yes,both in master and using data
989,204040320025,20404032,Panel A,,Yes,,No,,Yes,both in master and using data
971,204040320028,20404032,Panel A,,Yes,,No,,Yes,both in master and using data
981,204040320036,20404032,Panel A,,Yes,,No,,Yes,both in master and using data
975,204040320057,20404032,Panel A,,Yes,,No,,Yes,both in master and using data
985,204040320063,20404032,Panel A,,Yes,,No,,Yes,both in master and using data
973,204040320072,20404032,Panel A,,Yes,,No,,No,both in master and using data
977,204040320075,20404032,Panel A,,Yes,,No,,No,both in master and using data
963,204040320083,20404032,Panel A,,Yes,,No,,Yes,both in master and using data
987,204040320096,20404032,Panel A,,Yes,,No,,Yes,both in master and using data
969,204040320107,20404032,Panel A,,Yes,,No,,Yes,both in master and using data
961,204040320114,20404032,Panel A,,Yes,,No,,No,both in master and using data
991,204040320149,20404032,Panel A,,Yes,,No,,Yes,both in master and using data
967,204040320160,20404032,Panel A,,Yes,,No,,Yes,both in master and using data
979,204040320166,20404032,Panel A,,Yes,,No,,Yes,both in master and using data
965,204040320180,20404032,Panel A,,Yes,,No,,Yes,both in master and using data
983,204040320184,20404032,Panel A,,Yes,,No,,No,both in master and using data
1000,204045750001,20404575,Panel B,,Yes,,No,,Yes,both in master and using data
1016,204045750014,20404575,Panel B,,Yes,,No,,Yes,both in master and using data
1006,204045750042,20404575,Panel B,,Yes,,No,,No,both in master and using data
990,204045750056,20404575,Panel B,,Yes,,No,,Yes,both in master and using data
1008,204045750070,20404575,Panel B,,Yes,,No,,Yes,both in master and using data
998,204045750098,20404575,Panel B,,Yes,,No,,Yes,both in master and using data
1002,204045750111,20404575,Panel B,,Yes,,No,,Yes,both in master and using data
1004,204045750125,20404575,Panel B,,Yes,,No,,Yes,both in master and using data
994,204045750153,20404575,Panel B,,Yes,,No,,Yes,both in master and using data
1020,204045750167,20404575,Panel B,,Yes,,No,,Yes,both in master and using data
1010,204045750181,20404575,Panel B,,Yes,,No,,Yes,both in master and using data
996,204045750208,20404575,Panel B,,Yes,,No,,No,both in master and using data
1018,204045750222,20404575,Panel B,,Yes,,No,,Yes,both in master and using data
992,204045750236,20404575,Panel B,,Yes,,No,,Yes,both in master and using data
1014,204045750264,20404575,Panel B,,Yes,,No,,Yes,both in master and using data
1012,204045750278,20404575,Panel B,,Yes,,No,,Yes,both in master and using data
1021,204053660025,20405366,Panel A,,Yes,,No,,Yes,both in master and using data
1001,204053660046,20405366,Panel A,,Yes,,No,,Yes,both in master and using data
1009,204053660072,20405366,Panel A,,Yes,,No,,Yes,both in master and using data
1011,204053660073,20405366,Panel A,,Yes,,No,,Yes,both in master and using data
1017,204053660075,20405366,Panel A,,Yes,,No,,Yes,both in master and using data
1003,204053660091,20405366,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
1023,204053660100,20405366,Panel A,,Yes,,No,,No,both in master and using data
1013,204053660101,20405366,Panel A,,Yes,,No,,Yes,both in master and using data
1007,204053660140,20405366,Panel A,,Yes,,No,,Yes,both in master and using data
993,204053660142,20405366,Panel A,,Yes,,No,,No,both in master and using data
1005,204053660162,20405366,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
997,204053660205,20405366,Panel A,,Yes,,No,,Yes,both in master and using data
995,204053660211,20405366,Panel A,,Yes,,No,,Yes,both in master and using data
1019,204053660216,20405366,Panel A,,Yes,,No,,Yes,both in master and using data
1015,204053660263,20405366,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
999,204053660304,20405366,Panel A,,Yes,,No,,Yes,both in master and using data
1042,204073980001,20407398,Panel B,,Yes,,No,,Yes,both in master and using data
1048,204073980014,20407398,Panel B,,Yes,,No,,No,both in master and using data
1050,204073980029,20407398,Panel B,,Yes,,No,,Yes,both in master and using data
1052,204073980058,20407398,Panel B,,Yes,,No,,Yes,both in master and using data
1032,204073980072,20407398,Panel B,,Yes,,No,,Yes,both in master and using data
1024,204073980086,20407398,Panel B,,Yes,,No,,No,both in master and using data
1040,204073980114,20407398,Panel B,,Yes,,No,,Yes,both in master and using data
1036,204073980128,20407398,Panel B,,Yes,,No,,Yes,both in master and using data
1038,204073980148,20407398,Panel B,,Yes,,No,,No,both in master and using data
1022,204073980171,20407398,Panel B,,Yes,,No,,No,both in master and using data
1046,204073980185,20407398,Panel B,,Yes,,No,,Yes,both in master and using data
1034,204073980199,20407398,Panel B,,Yes,,No,,No,both in master and using data
1028,204073980227,20407398,Panel B,,Yes,,No,,No,both in master and using data
1026,204073980241,20407398,Panel B,,Yes,,No,,Yes,both in master and using data
1044,204073980256,20407398,Panel B,,Yes,,No,,Yes,both in master and using data
1030,204073980284,20407398,Panel B,,Yes,,No,,No,both in master and using data
1031,204074810007,20407481,Panel A,,Yes,,No,,Yes,both in master and using data
1051,204074810010,20407481,Panel A,,Yes,,No,,Yes,both in master and using data
1035,204074810042,20407481,Panel A,,Yes,,No,,Yes,both in master and using data
1045,204074810055,20407481,Panel A,,Yes,,No,,Yes,both in master and using data
1055,204074810059,20407481,Panel A,,Yes,,No,,No,both in master and using data
1033,204074810060,20407481,Panel A,,Yes,,No,,Yes,both in master and using data
1047,204074810065,20407481,Panel A,,Yes,,No,,Yes,both in master and using data
1049,204074810080,20407481,Panel A,,Yes,,No,,Yes,both in master and using data
1053,204074810082,20407481,Panel A,,Yes,,No,,No,both in master and using data
1027,204074810083,20407481,Panel A,,Yes,,No,,Yes,both in master and using data
1039,204074810085,20407481,Panel A,,Yes,,No,,No,both in master and using data
1029,204074810097,20407481,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
1041,204074810106,20407481,Panel A,,Yes,,No,,No,both in master and using data
1025,204074810117,20407481,Panel A,,Yes,,No,,No,both in master and using data
1037,204074810130,20407481,Panel A,,Yes,,No,,No,both in master and using data
1074,205070890007,20507089,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
1068,205070890020,20507089,Panel B,,Yes,,No,,No,both in master and using data
1082,205070890033,20507089,Panel B,,Yes,,No,,Yes,both in master and using data
1080,205070890045,20507089,Panel B,,Yes,,No,,No,both in master and using data
1084,205070890051,20507089,Panel B,,Yes,,No,,No,both in master and using data
1056,205070890053,20507089,Panel B,,Yes,,No,,Yes,both in master and using data
1062,205070890072,20507089,Panel B,,Yes,,No,,No,both in master and using data
1054,205070890083,20507089,Panel B,,Yes,,No,,Yes,both in master and using data
1072,205070890098,20507089,Panel B,,Yes,,No,,Yes,both in master and using data
1070,205070890124,20507089,Panel B,,Yes,,No,,Yes,both in master and using data
1078,205070890190,20507089,Panel B,,Yes,,No,,Yes,both in master and using data
1058,205070890201,20507089,Panel B,,Yes,,No,,Yes,both in master and using data
1066,205070890216,20507089,Panel B,,Yes,,No,,Yes,both in master and using data
1060,205070890229,20507089,Panel B,,Yes,,No,,Yes,both in master and using data
1076,205070890243,20507089,Panel B,,Yes,,Yes,No,No,both in master and using data
1064,205070890256,20507089,Panel B,,Yes,,No,,Yes,both in master and using data
1075,205074590013,20507459,Panel A,,Yes,,No,,No,both in master and using data
1069,205074590019,20507459,Panel A,,Yes,,No,,Yes,both in master and using data
1077,205074590034,20507459,Panel A,,Yes,,No,,Yes,both in master and using data
1073,205074590035,20507459,Panel A,,Yes,,No,,Yes,both in master and using data
1061,205074590037,20507459,Panel A,,Yes,,No,,No,both in master and using data
1063,205074590038,20507459,Panel A,,Yes,,No,,Yes,both in master and using data
1087,205074590040,20507459,Panel A,,Yes,,No,,No,both in master and using data
1079,205074590043,20507459,Panel A,,Yes,,No,,Yes,both in master and using data
1059,205074590056,20507459,Panel A,,Yes,,No,,Yes,both in master and using data
1081,205074590101,20507459,Panel A,,Yes,,No,,Yes,both in master and using data
1083,205074590174,20507459,Panel A,,Yes,,No,,No,both in master and using data
1071,205074590175,20507459,Panel A,,Yes,,No,,No,both in master and using data
1057,205074590179,20507459,Panel A,,Yes,,No,,Yes,both in master and using data
1067,205074590192,20507459,Panel A,,Yes,,No,,Yes,both in master and using data
1065,205074590199,20507459,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
1089,205083490004,20508349,Panel A,,Yes,,No,,Yes,both in master and using data
1107,205083490010,20508349,Panel A,,Yes,,No,,Yes,both in master and using data
1109,205083490011,20508349,Panel A,,Yes,,No,,No,both in master and using data
1099,205083490014,20508349,Panel A,,Yes,,No,,No,both in master and using data
1093,205083490015,20508349,Panel A,,Yes,,No,,Yes,both in master and using data
1097,205083490030,20508349,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
1111,205083490055,20508349,Panel A,,Yes,,No,,Yes,both in master and using data
1103,205083490066,20508349,Panel A,,Yes,,No,,No,both in master and using data
1117,205083490076,20508349,Panel A,,Yes,,No,,Yes,both in master and using data
1095,205083490080,20508349,Panel A,,Yes,,No,,No,both in master and using data
1113,205083490092,20508349,Panel A,,Yes,,No,,No,both in master and using data
1115,205083490101,20508349,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
1119,205083490116,20508349,Panel A,,Yes,,No,,Yes,both in master and using data
1105,205083490120,20508349,Panel A,,Yes,,No,,No,both in master and using data
1091,205083490121,20508349,Panel A,,Yes,,No,,Yes,both in master and using data
1123,206011410001,20601141,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
1135,206011410004,20601141,Panel A,,Yes,,Yes,No,No,both in master and using data
1141,206011410005,20601141,Panel A,,Yes,,Yes,No,No,both in master and using data
1133,206011410029,20601141,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
1147,206011410032,20601141,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
1143,206011410033,20601141,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
1149,206011410034,20601141,Panel A,,Yes,,No,,No,both in master and using data
1125,206011410057,20601141,Panel A,,Yes,,Yes,No,No,both in master and using data
1139,206011410060,20601141,Panel A,,Yes,,Yes,No,No,both in master and using data
1121,206011410061,20601141,Panel A,,Yes,,Yes,No,No,both in master and using data
1145,206011410066,20601141,Panel A,,Yes,,Yes,No,No,both in master and using data
1131,206011410077,20601141,Panel A,,Yes,,Yes,No,No,both in master and using data
1151,206011410104,20601141,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
1127,206011410119,20601141,Panel A,,Yes,,Yes,No,No,both in master and using data
1129,206011410125,20601141,Panel A,,Yes,,Yes,No,No,both in master and using data
1112,206016260010,20601626,Panel B,,Yes,,Yes,No,No,both in master and using data
1106,206016260022,20601626,Panel B,,No,,,,Yes,both in master and using data
1090,206016260033,20601626,Panel B,,Yes,,Yes,No,No,both in master and using data
1114,206016260057,20601626,Panel B,,Yes,,,,Yes,both in master and using data
1086,206016260069,20601626,Panel B,,Yes,,Yes,No,No,both in master and using data
1092,206016260092,20601626,Panel B,,Yes,,Yes,No,Yes,both in master and using data
1102,206016260104,20601626,Panel B,,Yes,,Yes,No,No,both in master and using data
1108,206016260116,20601626,Panel B,,Yes,,Yes,No,No,both in master and using data
1096,206016260139,20601626,Panel B,,Yes,,Yes,No,No,both in master and using data
1116,206016260151,20601626,Panel B,,Yes,,Yes,No,No,both in master and using data
1104,206016260163,20601626,Panel B,,Yes,,Yes,No,No,both in master and using data
1088,206016260175,20601626,Panel B,,Yes,,Yes,No,No,both in master and using data
1098,206016260210,20601626,Panel B,,Yes,,Yes,Yes,No,both in master and using data
1110,206016260222,20601626,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
1132,206023630017,20602363,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
1146,206023630037,20602363,Panel B,,Yes,,Yes,No,Yes,both in master and using data
1136,206023630057,20602363,Panel B,,Yes,,Yes,No,Yes,both in master and using data
1134,206023630097,20602363,Panel B,,Yes,,Yes,No,Yes,both in master and using data
1142,206023630116,20602363,Panel B,,Yes,,,,No,both in master and using data
1128,206023630136,20602363,Panel B,,Yes,,,,No,both in master and using data
1130,206023630215,20602363,Panel B,,Yes,,Yes,No,Yes,both in master and using data
1126,206023630275,20602363,Panel B,,Yes,,Yes,No,Yes,both in master and using data
1140,206023630295,20602363,Panel B,,Yes,,Yes,No,Yes,both in master and using data
1124,206023630334,20602363,Panel B,,Yes,,,,Yes,both in master and using data
1138,206023630354,20602363,Panel B,,Yes,,Yes,No,Yes,both in master and using data
1118,206023630414,20602363,Panel B,,Yes,,Yes,Yes,No,both in master and using data
1164,206030900002,20603090,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
1150,206030900017,20603090,Panel B,,Yes,,No,,Yes,both in master and using data
1156,206030900031,20603090,Panel B,,Yes,,No,,No,both in master and using data
1176,206030900046,20603090,Panel B,,Yes,,No,,No,both in master and using data
1172,206030900060,20603090,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
1158,206030900074,20603090,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
1152,206030900103,20603090,Panel B,,Yes,,No,,Yes,both in master and using data
1148,206030900161,20603090,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
1170,206030900175,20603090,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
1154,206030900189,20603090,Panel B,,Yes,,Yes,Yes,No,both in master and using data
1162,206030900218,20603090,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
1160,206030900233,20603090,Panel B,,Yes,,Yes,Yes,No,both in master and using data
1168,206030900247,20603090,Panel B,,Yes,,No,,No,both in master and using data
1174,206030900276,20603090,Panel B,,Yes,,Yes,No,No,both in master and using data
1166,206030900290,20603090,Panel B,,Yes,,Yes,No,Yes,both in master and using data
1175,206035330008,20603533,Panel A,,Yes,,Yes,No,No,both in master and using data
1155,206035330017,20603533,Panel A,,Yes,,Yes,No,Yes,both in master and using data
1159,206035330026,20603533,Panel A,,Yes,,Yes,No,No,both in master and using data
1173,206035330045,20603533,Panel A,,No,,No,,Yes,both in master and using data
1181,206035330054,20603533,Panel A,,Yes,,Yes,No,Yes,both in master and using data
1153,206035330091,20603533,Panel A,,Yes,,Yes,No,No,both in master and using data
1169,206035330119,20603533,Panel A,,Yes,,Yes,No,No,both in master and using data
1167,206035330156,20603533,Panel A,,Yes,,Yes,No,No,both in master and using data
1171,206035330165,20603533,Panel A,,Yes,,Yes,No,Yes,both in master and using data
1202,206046380001,20604638,Panel B,,Yes,,Yes,No,No,both in master and using data
1194,206046380010,20604638,Panel B,,Yes,,Yes,No,Yes,both in master and using data
1188,206046380037,20604638,Panel B,,Yes,,Yes,No,Yes,both in master and using data
1208,206046380046,20604638,Panel B,,Yes,,Yes,Yes,No,both in master and using data
1206,206046380055,20604638,Panel B,,Yes,,Yes,No,No,both in master and using data
1204,206046380064,20604638,Panel B,,Yes,,Yes,Yes,No,both in master and using data
1186,206046380072,20604638,Panel B,,Yes,,Yes,No,Yes,both in master and using data
1190,206046380081,20604638,Panel B,,Yes,,Yes,No,No,both in master and using data
1198,206046380099,20604638,Panel B,,Yes,,Yes,No,No,both in master and using data
1180,206046380108,20604638,Panel B,,Yes,,No,,Yes,both in master and using data
1196,206046380117,20604638,Panel B,,Yes,,Yes,No,Yes,both in master and using data
1178,206046380126,20604638,Panel B,,No,,Yes,No,Yes,both in master and using data
