occ,y2_hhid,qx_type,interview_status,fs_h0a,fs_h0b,fs_h01,fs_h02,fs_h03,fs_h04,fs_h05,fs_h06
5,2603-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,2603-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,2603-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,2603-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,2656-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,2656-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,2656-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,2656-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,2656-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,2656-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,2656-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,2656-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,2703-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,2703-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,2703-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,2703-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,2703-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,2703-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,2703-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,2703-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,2777-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,,,,,,
2,2777-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,,,,,,
3,2777-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,,,,,,
4,2777-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,,,,,,
5,2777-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),,,,,,
6,2777-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),,,,,,
7,2777-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",,,,,,
8,2777-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",,,,,,
1,2788-003,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,2788-003,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,2788-003,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,2788-003,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,2788-003,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,2788-003,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,2788-003,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,2788-003,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,2812-003,PANEL B,Panel B - Combined Visit,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,2812-003,PANEL B,Panel B - Combined Visit,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,2812-003,PANEL B,Panel B - Combined Visit,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,2812-003,PANEL B,Panel B - Combined Visit,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,2812-003,PANEL B,Panel B - Combined Visit,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,2812-003,PANEL B,Panel B - Combined Visit,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,2812-003,PANEL B,Panel B - Combined Visit,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,2812-003,PANEL B,Panel B - Combined Visit,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,2835-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,,,,,,
2,2835-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,,,,,,
3,2835-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,,,,,,
4,2835-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,,,,,,
5,2835-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),,,,,,
6,2835-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),,,,,,
7,2835-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",,,,,,
8,2835-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",,,,,,
1,2984-001,PANEL B,Panel B - 2 Visits,,,,,,,,
1,3036-001,PANEL B,Panel B - 2 Visits,,,,,,,,
1,3074-002,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,3074-002,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,3074-002,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,3074-002,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,3074-002,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,3074-002,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,3074-002,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,3074-002,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,3143-001,PANEL A,Panel A - 2 Visits,,,,,,,,
1,3155-001,PANEL A,Panel A - 2 Visits,,,,,,,,
