HHID,case_id,qx_type,visit,ea_id,hh_n09a,hh_n09b,hh_n09c,hh_n10a,hh_n10b,hh_n11,hh_n12a,hh_n12b,hh_n13a,hh_n13b,hh_n14,hh_n15a,hh_n15b,hh_n16a,hh_n16a_os,hh_n16b,hh_n16b_os,hh_n17,hh_n18,hh_n19,hh_n20a,hh_n20b,hh_n21a,hh_n21b,hh_n21c,hh_n22,hh_n23,hh_n24,hh_n24_os,hh_n25a,hh_n25b,hh_n25c,hh_n25d,hh_n25e,hh_n25f,hh_n25g,hh_n25h,hh_n25i,hh_n25j,hh_n25k,hh_n25l,hh_n25m,hh_n25n,hh_n25o,hh_n25p,hh_n25q,hh_n25r,hh_n25s,hh_n25t,hh_n25u,hh_n25v,hh_n25w,hh_n25x,hh_n25y,hh_n26a,hh_n26a_os,hh_n26b,hh_n26b_os,hh_n27,hh_n28,hh_n29a,hh_n29a_os,hh_n29b,hh_n29b_os,hh_n30a1,hh_n30a2,hh_n30a3,hh_n30a4,hh_n30b1,hh_n30b2,hh_n30b3,hh_n30b4,hh_n30c1,hh_n30c2,hh_n30c3,hh_n30c4,hh_n30d1,hh_n30d2,hh_n30d3,hh_n30d4,hh_n31a1,hh_n31a2,hh_n31a3,hh_n31a4,hh_n31b1,hh_n31b2,hh_n31b3,hh_n31b4,hh_n31c1,hh_n31c2,hh_n31c3,hh_n31c4,hh_n32,hh_n33,hh_n34,hh_n35,hh_n36,hh_n37,hh_n38,hh_n39,hh_n40,hh_n41a,hh_n41b,hh_n41c,hh_n41d,hh_n41e,hh_n41f,hh_n41g,hh_n41h
315,103040120105,Panel A,1,10304012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,103040120125,Panel A,1,10304012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,103040120126,Panel A,1,10304012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,103040120129,Panel A,1,10304012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,103040120132,Panel A,1,10304012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,103040120141,Panel A,1,10304012,1,STORE OR SHOP(SALES GROCE,62,1,2,1,1,,0,0,,3,2004,Own-savings from agriculture,,Sale of assets owned,,Home (inside residence),,,Final consumers,Other small businesses,No,No,No,No,No,,,AVERAGE,HIGH,AVERAGE,HIGH,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,LOW,AVERAGE,AVERAGE,,,,,,,,,,,,,,,,,,Yes,,,,,,1,24,308,11,,,,,2,24,308,11,,,,,0,,,,0,,,,0,,,,60000,Average sales,,,40000,50000,,,45000,5000,20000,1000,0,0,0,0,26000
299,103040120148,Panel A,1,10304012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,103040120153,Panel A,1,10304012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,103040120166,Panel A,1,10304012,1,GROCERY,62,2,1,2,2,,0,0,,4,2004,Loan from money lender,,,,Traditional market place,,,Final consumers,,No,No,Yes,No,No,,,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,AVERAGE,AVERAGE,AVERAGE,LOW,,,,,,,,,,,,,,,,,,Yes,,,,,,2,20,240,1,1,4,48,1,,,,,,,,,0,,,,0,,,,0,,,,104000,Low sales,52000,164000,,,,,35000,0,36000,800,0,2600,0,0,2000
311,103040120166,Panel A,1,10304012,2,TAILORING,32,2,,2,2,,0,0,,8,1994,Loan from money lender,,,,Traditional market place,,,Final consumers,,No,No,Yes,No,No,,,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,HIGH,HIGH,NONE:NOT IN OPERATION,LOW,AVERAGE,,,,,,,,,,,,,,Seasonal work,,,,Yes,,,,,,1,12,24,1,,,,,,,,,,,,,0,,,,0,,,,0,,,,14400,Average sales,,,7500,72000,,,28000,1500,0,200,100,300,0,0,0
289,103040120171,Panel A,1,10304012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,103054460016,Panel B,2,10305446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,103054460029,Panel B,2,10305446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,103054460042,Panel B,2,10305446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,103054460055,Panel B,2,10305446,1,OWN TUCK SHOP,62,1,4,1,1,4,0,0,,2,2009,Own-savings from agriculture,,Loan from family/friends,,Roadside,,,Final consumers,,No,No,No,No,No,,,,,,,,LOW,LOW,HIGH,HIGH,HIGH,AVERAGE,LOW,AVERAGE,LOW,AVERAGE,AVERAGE,HIGH,,,,,,,,,,,,,Yes,,,,,,1,24,60,11,4,28,70,11,,,,,,,,,0,,,,0,,,,0,,,,10000,High sales,,,,,2500,6000,8500,2500,2000,500,0,0,0,0,0
282,103054460081,Panel B,2,10305446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,103054460094,Panel B,2,10305446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,103054460107,Panel B,2,10305446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,103054460120,Panel B,2,10305446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,103054460146,Panel B,2,10305446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,103054460159,Panel B,2,10305446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,103054460172,Panel B,2,10305446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,103054460185,Panel B,2,10305446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,103054460224,Panel B,2,10305446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,103054460237,Panel B,2,10305446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,103054460263,Panel B,2,10305446,1,HAWKER,62,1,,2,1,6,0,0,,11,2005,Non-agricultural credit from bank or other institution,,,,Home (outside residence),,,Final consumers,,No,No,No,No,No,,,,,,,,HIGH,HIGH,AVERAGE,LOW,AVERAGE,AVERAGE,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,HIGH,,,,,,,,,,,,,Yes,,,,,,1,21,13,12,2,7,6,1,,,,,,,,,0,,,,0,,,,0,,,,45000,High sales,,,,,38000,40000,6000,500,12000,3000,0,0,0,0,0
325,103074130018,Panel A,1,10307413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,103074130028,Panel A,1,10307413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,103074130044,Panel A,1,10307413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,103074130047,Panel A,1,10307413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,103074130052,Panel A,1,10307413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,103074130071,Panel A,1,10307413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,103074130087,Panel A,1,10307413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,103074130099,Panel A,1,10307413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,103074130110,Panel A,1,10307413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,103074130139,Panel A,1,10307413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,103074130171,Panel A,1,10307413,1,SELLING SUGERCANE,62,1,0,1,1,,0,0,,3,2004,Own-savings from agriculture,,,,Home (inside residence),,,Final consumers,,No,No,No,No,No,,,,,HIGH,LOW,LOW,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,AVERAGE,AVERAGE,HIGH,HIGH,,,,,,,,,,,,,,,,Yes,,,,,,1,24,60,11,,,,,,,,,,,,,0,,,,0,,,,0,,,,3000,High sales,,,,,1000,2000,2300,200,1500,500,0,0,0,0,0
331,103074130190,Panel A,1,10307413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,103074130225,Panel A,1,10307413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,103074130252,Panel A,1,10307413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,103074130255,Panel A,1,10307413,1,GROCERY,62,1,2,1,1,,0,0,,12,2004,Own-savings from agriculture,,,,Roadside,,,Final consumers,,No,No,No,No,No,,,,,,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,LOW,LOW,LOW,LOW,,,,,,,,,,,,,,,Yes,,,,,,1,24,288,12,2,10,50,12,,,,,,,,,0,,,,0,,,,0,,,,12000,Low sales,36000,96000,,,,,3000,0,8000,1800,0,0,0,0,0
341,103074130258,Panel A,1,10307413,1,SELLING TIMBER,62,1,0,1,1,,0,0,,4,1999,Own-savings from agriculture,,,,Roadside,,,Final consumers,Traders,No,No,No,No,Yes,Forest/wild park reserve,,,,LOW,HIGH,LOW,AVERAGE,LOW,HIGH,AVERAGE,HIGH,AVERAGE,LOW,HIGH,AVERAGE,,,,,,,,,,,,,,,,Yes,,,,,,1,60,70,11,,,,,,,,,,,,,0,,,,0,,,,0,,,,10000,Average sales,,,5000,10000,,,11000,1500,2000,1600,0,0,0,0,0
292,103086360009,Panel B,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,103086360036,Panel B,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,103086360045,Panel B,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,103086360054,Panel B,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,103086360063,Panel B,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,103086360072,Panel B,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,103086360073,Panel B,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,103086360081,Panel B,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,103086360090,Panel B,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,103086360099,Panel B,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,103086360117,Panel B,2,10308636,1,SELLING PARAFFIN,62,1,2,1,1,2,0,0,,3,2000,Own-savings from non-agriculture,,Proceeds from another business,,Home (inside residence),,,Final consumers,Traders,No,No,No,No,No,,,,,,,,,AVERAGE,AVERAGE,HIGH,HIGH,LOW,LOW,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,AVERAGE,,,,,,,,,,,,Yes,,,,,,1,24,60,10,2,24,60,11,,,,,,,,,0,,,,0,,,,0,,,,40000,Average sales,,,10000,40000,,,30000,2000,15000,2500,0,0,0,0,0
302,103086360126,Panel B,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,103086360135,Panel B,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,103086360153,Panel B,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,103086360162,Panel B,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,104011400012,Panel B,2,10401140,1,BUTCHERY,31,1,,1,1,,0,0,,5,2010,Own-savings from non-agriculture,,,,Traditional market place,,,Final consumers,,No,No,No,No,No,,,,,,,,,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,LOW,AVERAGE,HIGH,HIGH,,,,,,,,Other (Specify),BUSINESS JUST STARTED,,,Yes,,,,,,1,4,32,4,,,,,,,,,,,,,0,,,,0,,,,0,,,,45000,High sales,,,,,20000,25000,20000,0,15000,8000,0,0,500,0,1500
364,104011400028,Panel B,2,10401140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,104011400045,Panel B,2,10401140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,104011400061,Panel B,2,10401140,1,BOTTLE STORE,63,1,,1,1,,0,0,,11,2005,Own-savings from non-agriculture,,,,Commercial area shop,Yes,ESCOM/Grid,Final consumers,,No,No,Yes,No,No,,,,,,,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,AVERAGE,AVERAGE,AVERAGE,HIGH,HIGH,,,,,,,,,,,,,Yes,,,,,,1,7,60,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,175000,High sales,,,,,50000,100000,75000,0,90000,3000,0,2000,0,0,5000
358,104011400079,Panel B,2,10401140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,104011400112,Panel B,2,10401140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,104011400129,Panel B,2,10401140,1,HAWKER,62,1,,1,1,2,0,0,,6,2003,Own-savings from agriculture,,,,Traditional market place,,,Final consumers,,No,No,Yes,No,No,,,,,,,,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,LOW,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,HIGH,,,,,,,,,,,,,Yes,,,,,,1,7,12,1,2,2,4,1,,,,,,,,,0,,,,0,,,,0,,,,27000,High sales,,,,,15000,20000,12000,3000,8000,0,3000,0,0,2000,0
356,104011400146,Panel B,2,10401140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,104011400196,Panel B,2,10401140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,104011400213,Panel B,2,10401140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,104011400229,Panel B,2,10401140,1,HOUSEHOLD-OWNED SHOP,62,1,2,1,1,2,0,0,,1,2004,Own-savings from agriculture,,Own-savings from non-agriculture,,Traditional market place,,,Final consumers,,No,No,No,No,No,,,,,,,,AVERAGE,HIGH,AVERAGE,AVERAGE,HIGH,LOW,LOW,HIGH,HIGH,AVERAGE,AVERAGE,HIGH,,,,,,,,,,,,,Yes,,,,,,1,24,70,11,2,24,70,11,,,,,,,,,0,,,,0,,,,0,,,,20000,High sales,,,,,5000,15000,25000,2500,8000,1500,0,700,0,0,0
362,104011400263,Panel B,2,10401140,1,SELLING VEGETABLES,62,1,,1,1,,0,0,,1,2009,Own-savings from agriculture,,Own-savings from non-agriculture,,Traditional market place,,,Final consumers,,No,No,No,No,No,,,,,,,,AVERAGE,AVERAGE,AVERAGE,HIGH,HIGH,LOW,LOW,LOW,HIGH,AVERAGE,AVERAGE,AVERAGE,,,,,,,,,,,,,Yes,,,,,,1,24,60,10,,,,,,,,,,,,,0,,,,0,,,,0,,,,15000,Average sales,,,5000,17000,,,17000,3000,5000,1500,0,0,0,0,0
368,104011400280,Panel B,2,10401140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,104011400296,Panel B,2,10401140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,104011400330,Panel B,2,10401140,1,SELLING CLOTHES,62,1,2,2,1,2,0,0,,6,2010,Own-savings from agriculture,,,,Traditional market place,,,Final consumers,Traders,No,No,Yes,Yes,No,,,,,,,,,AVERAGE,AVERAGE,AVERAGE,HIGH,LOW,LOW,LOW,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,,,,,,,,,,,,Yes,,,,,,1,6,10,12,2,6,30,12,,,,,,,,,0,,,,0,,,,0,,,,60000,High sales,,,,,20000,35000,15000,2000,40000,5500,0,0,0,0,0
378,104011400347,Panel B,2,10401140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,104015020020,Panel A,1,10401502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,104015020027,Panel A,1,10401502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,104015020056,Panel A,1,10401502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,104015020074,Panel A,1,10401502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,104015020081,Panel A,1,10401502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,104015020084,Panel A,1,10401502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,104015020099,Panel A,1,10401502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,104015020102,Panel A,1,10401502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,104015020103,Panel A,1,10401502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,104015020121,Panel A,1,10401502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,104015020122,Panel A,1,10401502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,104015020127,Panel A,1,10401502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
