HHID,case_id,qx_type,visit,ea_id,ag_e0a,ag_e0c,ag_e0d,ag_e0d_os,ag_e01,ag_e02a,ag_e02b,ag_e03,ag_e04,ag_e05a,ag_e05b,ag_e06,ag_e07,ag_e07_os,ag_e08a,ag_e08b,ag_e08b_os,ag_e09,ag_e10a,ag_e10b,ag_e10b_os,ag_e10c,ag_e10c_os,ag_e10d,ag_e10e,ag_e10e_os,ag_e11,ag_e12a,ag_e12b,ag_e12b_os,ag_e13,ag_e13_os,ag_e14,ag_e15,ag_e16a,ag_e16b,ag_e17,ag_e18,ag_e19,ag_e20,ag_e21a,ag_e21b,ag_e22,ag_e23,ag_e24,ag_e25,ag_e26a,ag_e26b
857,201131120075,Panel A,1,20113112,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,201131120081,Panel A,1,20113112,Yes,1,23:21:0+4S/Chitowe,,1,N02,,No,,January,2010,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N03,,Yes,,,,,,,,,,,
853,201131120081,Panel A,1,20113112,Yes,1,Urea,,1,N02,,No,,January,2010,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N03,,Yes,,,,,,,,,,,
849,201131120092,Panel A,1,20113112,Yes,1,Urea,,1,N02,,No,,January,2010,1,Urea,,50,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
849,201131120092,Panel A,1,20113112,Yes,1,23:21:0+4S/Chitowe,,1,N02,,No,,January,2010,1,23:21:0+4s/Chitowe,,50,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N03,,Yes,,,,,,,,,,,
835,201131120102,Panel A,1,20113112,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Other (Specify),BORROWED BICYCLE,0,500,N02,,Yes,,,,,,,,,,,
845,201131120106,Panel A,1,20113112,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,201131120126,Panel A,1,20113112,Yes,1,Urea,,1,N01,,No,,January,2010,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
834,201154340005,Panel B,1,20115434,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,201154340012,Panel B,1,20115434,Yes,2,23:21:0+4S/Chitowe,,1,N01,,No,,October,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,250,500,N02,,Yes,,,,,,,,,,,
838,201154340018,Panel B,1,20115434,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,201154340031,Panel B,1,20115434,Yes,1,Maize seed,,1,N01,,No,,October,2009,1,Maize seed,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
840,201154340038,Panel B,1,20115434,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,201154340044,Panel B,1,20115434,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
844,201154340058,Panel B,1,20115434,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N02,,Yes,,,,,,,,,,,
860,201154340064,Panel B,1,20115434,Yes,2,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
860,201154340064,Panel B,1,20115434,Yes,2,Urea,,1,N01,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,450,500,N03,,Yes,,,,,,,,,,,
850,201154340071,Panel B,1,20115434,Yes,2,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Other (Specify),BORROWED BICYCLE,0,500,N02,,Yes,,,,,,,,,,,
856,201154340084,Panel B,1,20115434,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,201154340090,Panel B,1,20115434,Yes,1,Urea,,2,N01,,No,,November,2009,2,Urea,,100,KILOGRAM,,Yes,50,KILOGRAM,,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,Bicycle Taxi,,200,1000,N02,,Yes,,,,,,,,,,,
848,201154340097,Panel B,1,20115434,Yes,1,Urea,,1,N03,,No,,December,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N01,,Yes,,,,,,,,,,,
832,201154340110,Panel B,1,20115434,Yes,1,Maize seed,,1,N01,,No,,October,2009,1,Maize seed,,1,10 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,100,N02,,Yes,,,,,,,,,,,
832,201154340110,Panel B,1,20115434,Yes,1,Urea,,1,N01,,No,,October,2009,1,Urea,,1,50 KG BAG,,Yes,25,KILOGRAM,,Can,,25,KILOGRAM,,No,,,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
852,201154340116,Panel B,1,20115434,Yes,1,Maize seed,,1,N02,,No,,November,2009,1,Maize seed,,1,10 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N03,,Yes,,,,,,,,,,,
852,201154340116,Panel B,1,20115434,Yes,1,23:21:0+4S/Chitowe,,1,N02,,No,,November,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N03,,Yes,,,,,,,,,,,
836,201154340123,Panel B,1,20115434,Yes,1,Urea,,1,N01,,No,,January,2010,1,Urea,,50,KILOGRAM,,Yes,25,KILOGRAM,,23:21:0+4s/Chitowe,,25,KILOGRAM,,No,,,,Bicycle Taxi,,100,500,N02,,Yes,,,,,,,,,,,
854,201154340136,Panel B,1,20115434,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,100,500,N02,,Yes,,,,,,,,,,,
854,201154340136,Panel B,1,20115434,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,100,500,N02,,Yes,,,,,,,,,,,
872,202052070003,Panel B,1,20205207,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,100,500,N02,,Yes,,,,,,,,,,,
872,202052070003,Panel B,1,20205207,Yes,1,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,2,KILOGRAM,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,100,100,N02,,Yes,,,,,,,,,,,
866,202052070009,Panel B,1,20205207,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,50,500,N02,,Yes,,,,,,,,,,,
866,202052070009,Panel B,1,20205207,Yes,1,Maize seed,,2,N01,,No,,December,2009,2,Maize seed,,10,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,200,N02,,Yes,,,,,,,,,,,
866,202052070009,Panel B,1,20205207,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,50,500,N02,,Yes,,,,,,,,,,,
892,202052070015,Panel B,1,20205207,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,202052070021,Panel B,1,20205207,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,Yes,25,KILOGRAM,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
880,202052070021,Panel B,1,20205207,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,Yes,25,KILOGRAM,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
880,202052070021,Panel B,1,20205207,Yes,1,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,10,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,200,N02,,Yes,,,,,,,,,,,
882,202052070028,Panel B,1,20205207,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
882,202052070028,Panel B,1,20205207,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
888,202052070034,Panel B,1,20205207,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,202052070040,Panel B,1,20205207,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,202052070053,Panel B,1,20205207,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,202052070059,Panel B,1,20205207,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
876,202052070059,Panel B,1,20205207,Yes,1,Maize seed,,1,N01,,No,,December,2009,1,Maize seed,,5,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,100,N02,,Yes,,,,,,,,,,,
876,202052070059,Panel B,1,20205207,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
870,202052070065,Panel B,1,20205207,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,202052070084,Panel B,1,20205207,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,202052070090,Panel B,1,20205207,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
862,202052070090,Panel B,1,20205207,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
862,202052070090,Panel B,1,20205207,Yes,1,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,5,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,100,N02,,Yes,,,,,,,,,,,
864,202052070103,Panel B,1,20205207,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,202052070109,Panel B,1,20205207,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,202052070115,Panel B,1,20205207,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,50,500,N02,,Yes,,,,,,,,,,,
868,202052070115,Panel B,1,20205207,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,50,500,N02,,Yes,,,,,,,,,,,
868,202052070115,Panel B,1,20205207,Yes,1,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,2,KILOGRAM,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,50,100,N02,,Yes,,,,,,,,,,,
878,202052070127,Panel B,1,20205207,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,202063620005,Panel A,1,20206362,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
877,202063620025,Panel A,1,20206362,Yes,1,Maize seed,,1,N01,,No,,September,2009,1,Maize seed,,5,KILOGRAM,,No,,,,,,,,,No,,,,On Foot,,0,100,N02,,Yes,,,,,,,,,,,
877,202063620025,Panel A,1,20206362,Yes,1,Urea,,1,N01,,No,,September,2009,1,Urea,,50,KILOGRAM,,Yes,25,KILOGRAM,,23:21:0+4s/Chitowe,,25,KILOGRAM,,No,,,,Bicycle Taxi,,100,500,N03,,Yes,,,,,,,,,,,
871,202063620035,Panel A,1,20206362,Yes,2,Maize seed,,1,N02,,No,,January,2010,1,Maize seed,,10,KILOGRAM,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,0,100,N03,,Yes,,,,,,,,,,,
871,202063620035,Panel A,1,20206362,Yes,2,Urea,,1,N02,,No,,January,2010,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,700,500,N03,,Yes,,,,,,,,,,,
871,202063620035,Panel A,1,20206362,Yes,2,23:21:0+4S/Chitowe,,1,N02,,No,,January,2010,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,700,500,N03,,Yes,,,,,,,,,,,
891,202063620047,Panel A,1,20206362,Yes,2,23:21:0+4S/Chitowe,,1,N02,,No,,December,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N03,,Yes,,,,,,,,,,,
865,202063620055,Panel A,1,20206362,Yes,1,23:21:0+4S/Chitowe,,1,N04,,No,,November,2009,1,23:21:0+4s/Chitowe,,50,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,200,700,N05,,Yes,,,,,,,,,,,
865,202063620055,Panel A,1,20206362,Yes,1,Maize seed,,1,N04,,No,,November,2009,1,Maize seed,,2,2 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,100,N05,,Yes,,,,,,,,,,,
879,202063620077,Panel A,1,20206362,Yes,1,Urea,,1,N02,,No,,October,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,100,500,N03,,Yes,,,,,,,,,,,
879,202063620077,Panel A,1,20206362,Yes,1,Maize seed,,1,N02,,No,,October,2009,1,Maize seed,,2,2 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,100,N03,,Yes,,,,,,,,,,,
881,202063620123,Panel A,1,20206362,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,202063620130,Panel A,1,20206362,Yes,1,23:21:0+4S/Chitowe,,1,N07,,No,,December,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,50,500,N04,,Yes,,,,,,,,,,,
893,202063620143,Panel A,1,20206362,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,500,500,N02,,Yes,,,,,,,,,,,
895,202063620150,Panel A,1,20206362,Yes,2,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
887,202063620156,Panel A,1,20206362,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,Yes,50,KILOGRAM,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
873,202063620179,Panel A,1,20206362,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
869,202063620195,Panel A,1,20206362,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,1,50 KG BAG,,Yes,25,KILOGRAM,,23:21:0+4s/Chitowe,,25,KILOGRAM,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
867,202063620232,Panel A,1,20206362,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,200,500,N02,,Yes,,,,,,,,,,,
867,202063620232,Panel A,1,20206362,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,200,500,N02,,Yes,,,,,,,,,,,
875,202063620243,Panel A,1,20206362,Yes,1,Urea,,1,N06,,No,,December,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N07,,Yes,,,,,,,,,,,
885,202063620271,Panel A,1,20206362,Yes,1,Maize seed,,1,N01,,No,,December,2009,1,Maize seed,,4,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,300,100,N02,,Yes,,,,,,,,,,,
885,202063620271,Panel A,1,20206362,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,300,500,N02,,Yes,,,,,,,,,,,
913,203025390008,Panel A,1,20302539,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,203025390016,Panel A,1,20302539,Yes,2,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
905,203025390038,Panel A,1,20302539,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,203025390047,Panel A,1,20302539,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
925,203025390047,Panel A,1,20302539,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
911,203025390067,Panel A,1,20302539,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,203025390077,Panel A,1,20302539,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,203025390081,Panel A,1,20302539,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,Yes,25,KILOGRAM,,Truck / Bus / Minibus,,100,500,N02,,Yes,,,,,,,,,,,
907,203025390087,Panel A,1,20302539,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,203025390104,Panel A,1,20302539,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,203025390115,Panel A,1,20302539,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,100,500,N02,,Yes,,,,,,,,,,,
919,203025390115,Panel A,1,20302539,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,100,500,N02,,Yes,,,,,,,,,,,
919,203025390115,Panel A,1,20302539,Yes,1,Flexi voucher,,1,N01,,No,,November,2009,1,Other chemical (specify),SOY BEANS SEED,2,KILOGRAM,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,0,100,N02,,Yes,,,,,,,,,,,
919,203025390115,Panel A,1,20302539,Yes,1,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,4,KILOGRAM,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,0,100,N02,,Yes,,,,,,,,,,,
903,203025390120,Panel A,1,20302539,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,203025390137,Panel A,1,20302539,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,203025390148,Panel A,1,20302539,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,203025390169,Panel A,1,20302539,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,October,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,Yes,25,KILOGRAM,,Urea,,25,KILOGRAM,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
897,203025390177,Panel A,1,20302539,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Other (Specify),BORROWED BICYCLE,0,500,N02,,Yes,,,,,,,,,,,
901,203025390196,Panel A,1,20302539,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,203030650008,Panel A,1,20303065,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,203030650012,Panel A,1,20303065,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,203030650013,Panel A,1,20303065,Yes,2,CAN,,1,N01,,No,,December,2009,1,Can,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,200,500,N02,,Yes,,,,,,,,,,,
941,203030650013,Panel A,1,20303065,Yes,2,Urea,,1,N01,,No,,December,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,200,500,N02,,Yes,,,,,,,,,,,
937,203030650026,Panel A,1,20303065,Yes,1,23:21:0+4S/Chitowe,,1,N02,,No,,October,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N03,,Yes,,,,,,,,,,,
947,203030650031,Panel A,1,20303065,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,203030650039,Panel A,1,20303065,Yes,1,CAN,,1,N01,,No,,December,2009,1,Can,,50,KILOGRAM,,No,,,,,,,,,Yes,25,KILOGRAM,,Truck / Bus / Minibus,,300,500,N02,,Yes,,,,,,,,,,,
935,203030650044,Panel A,1,20303065,Yes,1,23:21:0+4S/Chitowe,,1,N03,,No,,January,2010,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,300,500,N04,,Yes,,,,,,,,,,,
949,203030650050,Panel A,1,20303065,Yes,1,Maize seed,,1,N01,,No,,October,2009,1,Maize seed,,5,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,100,N02,,Yes,,,,,,,,,,,
949,203030650050,Panel A,1,20303065,Yes,1,Flexi voucher,,1,N01,,No,,October,2009,1,Other chemical (specify),SOY BEANS SEED,2,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,0,N02,,Yes,,,,,,,,,,,
949,203030650050,Panel A,1,20303065,Yes,1,Urea,,1,N01,,No,,October,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
933,203030650058,Panel A,1,20303065,Yes,1,Urea,,1,N04,,No,,September,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Other (Specify),BORROWED BICYCLE,0,500,N05,,Yes,,,,,,,,,,,
939,203030650069,Panel A,1,20303065,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,200,500,N02,,Yes,,,,,,,,,,,
939,203030650069,Panel A,1,20303065,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,200,500,N02,,Yes,,,,,,,,,,,
951,203030650087,Panel A,1,20303065,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,203030650093,Panel A,1,20303065,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,203030650094,Panel A,1,20303065,Yes,1,Urea,,1,N01,,No,,October,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,250,500,N02,,Yes,,,,,,,,,,,
945,203030650094,Panel A,1,20303065,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,October,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,250,500,N02,,Yes,,,,,,,,,,,
955,203030650110,Panel A,1,20303065,Yes,2,Urea,,1,N01,,No,,December,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,Yes,25,KILOGRAM,,Truck / Bus / Minibus,,500,500,N02,,Yes,,,,,,,,,,,
953,203030650116,Panel A,1,20303065,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,203030650121,Panel A,1,20303065,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,203053010006,Panel B,1,20305301,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,203053010012,Panel B,1,20305301,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,203053010018,Panel B,1,20305301,Yes,1,23:21:0+4S/Chitowe,,2,N01,,No,,November,2009,2,23:21:0+4s/Chitowe,,100,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,200,1000,N02,,Yes,,,,,,,,,,,
920,203053010018,Panel B,1,20305301,Yes,1,D Compound,,1,N01,,No,,November,2009,1,D compound,,50,KILOGRAM,,Yes,25,KILOGRAM,,23:21:0+4s/Chitowe,,25,KILOGRAM,,No,,,,Own Bicycle or Oxcart,,100,500,N02,,Yes,,,,,,,,,,,
920,203053010018,Panel B,1,20305301,Yes,1,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,10,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,200,N02,,Yes,,,,,,,,,,,
922,203053010025,Panel B,1,20305301,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,203053010031,Panel B,1,20305301,Yes,1,Maize seed,,1,N01,,No,,December,2009,1,Maize seed,,10,KILOGRAM,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,0,100,N02,,Yes,,,,,,,,,,,
