HHID,case_id,qx_type,visit,ea_id,ag_p0a,ag_p0b,ag_p0d,ag_p0d_os,ag_p01,ag_p02a,ag_p02b,ag_p02b_os,ag_p03,ag_p04,ag_p05,ag_p06a,ag_p06b,ag_p06c,ag_p06d,ag_p07,ag_p08a,ag_p08a_os,ag_p08b,ag_p08b_os,ag_p09a,ag_p09b,ag_p09b_os
600,105103880178,Panel B,2,10510388,YES,T1,MANGO,,SCATTERED,,,,2,2000,0,December,2009,January,2010,YES,Other (Specify),ROTTING,,,5,50 KG BAG,
611,107321920084,Panel A,2,10732192,NO,,,,,,,,,,,,,,,,,,,,,,
629,107321920134,Panel A,2,10732192,NO,,,,,,,,,,,,,,,,,,,,,,
609,107321920171,Panel A,2,10732192,YES,T1,AVOCADO,,SCATTERED,,,,8,1998,0,September,2010,March,2010,NO,,,,,1,50 KG BAG,
609,107321920171,Panel A,2,10732192,YES,T2,MEXICAN APPLE [MASUKU],,SCATTERED,,,,1,1998,0,July,2010,September,2010,NO,,,,,2,50 KG BAG,
625,107321920194,Panel A,2,10732192,NO,,,,,,,,,,,,,,,,,,,,,,
613,107321920240,Panel A,2,10732192,NO,,,,,,,,,,,,,,,,,,,,,,
637,107321920285,Panel A,2,10732192,NO,,,,,,,,,,,,,,,,,,,,,,
622,107336400005,Panel B,2,10733640,NO,,,,,,,,,,,,,,,,,,,,,,
636,107336400015,Panel B,2,10733640,NO,,,,,,,,,,,,,,,,,,,,,,
618,107336400020,Panel B,2,10733640,YES,T1,GUAVA,,SCATTERED,,,,1,1995,0,May,2010,June,2010,YES,Insects,,,,3,50 KG BAG,
626,107336400041,Panel B,2,10733640,NO,,,,,,,,,,,,,,,,,,,,,,
620,107336400056,Panel B,2,10733640,NO,,,,,,,,,,,,,,,,,,,,,,
624,107336400067,Panel B,2,10733640,NO,,,,,,,,,,,,,,,,,,,,,,
628,107336400072,Panel B,2,10733640,NO,,,,,,,,,,,,,,,,,,,,,,
630,107336400077,Panel B,2,10733640,NO,,,,,,,,,,,,,,,,,,,,,,
606,107336400087,Panel B,2,10733640,NO,,,,,,,,,,,,,,,,,,,,,,
608,107336400092,Panel B,2,10733640,NO,,,,,,,,,,,,,,,,,,,,,,
616,107336400097,Panel B,2,10733640,YES,T1,MANGO,,SCATTERED,,,,2,2007,0,November,2009,January,2010,NO,,,,,0,,
616,107336400097,Panel B,2,10733640,YES,T3,AVOCADO,,SCATTERED,,,,3,2007,0,November,2009,January,2010,NO,,,,,0,,
616,107336400097,Panel B,2,10733640,YES,T4,GUAVA,,SCATTERED,,,,2,2007,0,March,2009,January,2009,NO,,,,,0,,
616,107336400097,Panel B,2,10733640,YES,T2,PAWPAW/PAPAYA,,SCATTERED,,,,1,2008,0,December,2009,January,2010,NO,,,,,0,,
634,107336400107,Panel B,2,10733640,YES,T1,CASSAVA,,SCATTERED,,,,,,,January,2010,July,2010,NO,,,,,20,KILOGRAM,
658,107343700114,Panel B,2,10734370,NO,,,,,,,,,,,,,,,,,,,,,,
662,107343700152,Panel B,2,10734370,NO,,,,,,,,,,,,,,,,,,,,,,
650,107343700249,Panel B,2,10734370,NO,,,,,,,,,,,,,,,,,,,,,,
664,107343700269,Panel B,2,10734370,NO,,,,,,,,,,,,,,,,,,,,,,
666,107343700385,Panel B,2,10734370,NO,,,,,,,,,,,,,,,,,,,,,,
643,107347620016,Panel A,2,10734762,NO,,,,,,,,,,,,,,,,,,,,,,
665,107347620031,Panel A,2,10734762,NO,,,,,,,,,,,,,,,,,,,,,,
651,107347620278,Panel A,2,10734762,NO,,,,,,,,,,,,,,,,,,,,,,
671,107347620318,Panel A,2,10734762,NO,,,,,,,,,,,,,,,,,,,,,,
657,107347620346,Panel A,2,10734762,NO,,,,,,,,,,,,,,,,,,,,,,
679,107351730088,Panel A,2,10735173,NO,,,,,,,,,,,,,,,,,,,,,,
695,107351730115,Panel A,2,10735173,NO,,,,,,,,,,,,,,,,,,,,,,
680,107365960004,Panel B,2,10736596,YES,T1,AVOCADO,,SCATTERED,,,,3,1989,0,May,2010,June,2010,NO,,,,,20,KILOGRAM,
700,107365960008,Panel B,2,10736596,NO,,,,,,,,,,,,,,,,,,,,,,
672,107365960010,Panel B,2,10736596,NO,,,,,,,,,,,,,,,,,,,,,,
696,107365960012,Panel B,2,10736596,NO,,,,,,,,,,,,,,,,,,,,,,
682,107365960013,Panel B,2,10736596,YES,T1,AVOCADO,,SCATTERED,,,,3,2004,0,April,2010,May,2010,NO,,,,,50,KILOGRAM,
692,107365960014,Panel B,2,10736596,NO,,,,,,,,,,,,,,,,,,,,,,
686,107365960016,Panel B,2,10736596,NO,,,,,,,,,,,,,,,,,,,,,,
727,107415040028,Panel A,2,10741504,NO,,,,,,,,,,,,,,,,,,,,,,
733,107415040057,Panel A,2,10741504,YES,T1,OTHER (SPECIFY),,SCATTERED,,,,1,2008,0,November,2009,January,2010,NO,,,,,1,50 KG BAG,
721,107415040060,Panel A,2,10741504,NO,,,,,,,,,,,,,,,,,,,,,,
719,107415040063,Panel A,2,10741504,YES,T1,AVOCADO,,SCATTERED,,,,1,1980,0,March,2010,April,2010,NO,,,,,5,BASKET (DENGU),
726,107446490122,Panel B,2,10744649,NO,,,,,,,,,,,,,,,,,,,,,,
718,107446490271,Panel B,2,10744649,NO,,,,,,,,,,,,,,,,,,,,,,
751,107460330205,Panel A,2,10746033,NO,,,,,,,,,,,,,,,,,,,,,,
763,107460330525,Panel A,2,10746033,YES,T1,AVOCADO,,SCATTERED,,,,3,1993,0,March,2010,April,2010,NO,,,,,1,BASKET (DENGU),
761,107460330536,Panel A,2,10746033,NO,,,,,,,,,,,,,,,,,,,,,,
759,107460330612,Panel A,2,10746033,NO,,,,,,,,,,,,,,,,,,,,,,
762,107462440014,Panel B,2,10746244,NO,,,,,,,,,,,,,,,,,,,,,,
746,107462440028,Panel B,2,10746244,YES,T2,AVOCADO,,SCATTERED,,,,1,2003,4,September,2009,December,2009,NO,,,,,2,90 KG BAG,
746,107462440028,Panel B,2,10746244,YES,T1,MANGO,,SCATTERED,,,,7,1999,10,July,2009,February,2010,NO,,,,,5,90 KG BAG,
756,107462440056,Panel B,2,10746244,NO,,,,,,,,,,,,,,,,,,,,,,
764,107462440085,Panel B,2,10746244,NO,,,,,,,,,,,,,,,,,,,,,,
736,107462440113,Panel B,2,10746244,NO,,,,,,,,,,,,,,,,,,,,,,
750,107462440127,Panel B,2,10746244,YES,T1,AVOCADO,,SCATTERED,,,,6,2000,0,March,2010,April,2010,NO,,,,,70,KILOGRAM,
750,107462440127,Panel B,2,10746244,YES,T2,MANGO,,SCATTERED,,,,6,2000,0,October,2009,March,2010,NO,,,,,90,KILOGRAM,
754,107462440155,Panel B,2,10746244,NO,,,,,,,,,,,,,,,,,,,,,,
740,107462440183,Panel B,2,10746244,NO,,,,,,,,,,,,,,,,,,,,,,
744,107462440197,Panel B,2,10746244,YES,T1,AVOCADO,,SCATTERED,,,,6,2008,0,,,,,NO,,,,,0,,
752,107462440226,Panel B,2,10746244,NO,,,,,,,,,,,,,,,,,,,,,,
758,107462440254,Panel B,2,10746244,NO,,,,,,,,,,,,,,,,,,,,,,
778,201060420011,Panel B,2,20106042,NO,,,,,,,,,,,,,,,,,,,,,,
796,201060420020,Panel B,2,20106042,YES,R1,ORANGE,,SCATTERED,,,,8,1986,0,September,2009,March,2010,YES,Crop theft,,Insects,,10,50 KG BAG,
796,201060420020,Panel B,2,20106042,YES,R1,MANGO,,SCATTERED,,,,8,1982,0,September,2009,January,2010,YES,Crop theft,,Insects,,11,50 KG BAG,
768,201060420028,Panel B,2,20106042,YES,R1,MANGO,,SCATTERED,,,,11,1996,0,December,2009,February,2010,YES,Crop theft,,,,6,50 KG BAG,
768,201060420028,Panel B,2,20106042,YES,R2,BANANA,,SCATTERED,,,,999,1996,0,August,2009,September,2010,YES,Crop theft,,,,7,BUNCH,
770,201060420037,Panel B,2,20106042,YES,R2,MANGO,,SCATTERED,,,,999,1973,0,November,2009,March,2010,YES,Crop theft,,,,15,50 KG BAG,
766,201060420054,Panel B,2,20106042,NO,,,,,,,,,,,,,,,,,,,,,,
786,201060420063,Panel B,2,20106042,YES,R2,AVOCADO,,SCATTERED,,,,1,2000,0,February,2009,May,2009,NO,,,,,.5,50 KG BAG,
786,201060420063,Panel B,2,20106042,YES,R1,MANGO,,SCATTERED,,,,5,1993,0,October,2009,February,2010,NO,,,,,10,50 KG BAG,
786,201060420063,Panel B,2,20106042,YES,R1,MEXICAN APPLE [MASUKU],,SCATTERED,,,,1,1996,0,August,2009,December,2009,NO,,,,,1,50 KG BAG,
792,201060420071,Panel B,2,20106042,YES,R1,MANGO,,SCATTERED,,,,3,1988,0,December,2010,March,2010,YES,Fire,,,,10.5,50 KG BAG,
782,201060420074,Panel B,2,20106042,YES,T1,ORANGE,,SCATTERED,,,,3,2010,3,,,,,NO,,,,,0,,
776,201060420080,Panel B,2,20106042,NO,,,,,,,,,,,,,,,,,,,,,,
780,201060420097,Panel B,2,20106042,NO,,,,,,,,,,,,,,,,,,,,,,
772,201060420105,Panel B,2,20106042,NO,,,,,,,,,,,,,,,,,,,,,,
790,201060420114,Panel B,2,20106042,YES,T4,OTHER (SPECIFY),,SCATTERED,,,,1,2000,0,August,2010,September,2010,NO,,,,,1,PAIL (SMALL),
790,201060420114,Panel B,2,20106042,YES,T5,BANANA,,SCATTERED,,,,25,1996,0,March,2010,September,2010,NO,,,,,3,BUNCH,
790,201060420114,Panel B,2,20106042,YES,T1,MANGO,,SCATTERED,,,,39,1997,0,October,2009,February,2010,YES,Diseases,,,,10,PAIL (LARGE),
790,201060420114,Panel B,2,20106042,YES,T2,PAWPAW/PAPAYA,,SCATTERED,,,,2,1998,0,August,2010,October,2010,NO,,,,,3,PAIL (LARGE),
790,201060420114,Panel B,2,20106042,YES,T3,GUAVA,,SCATTERED,,,,3,1996,0,April,2010,June,2010,YES,Diseases,,,,4,PAIL (LARGE),
788,201060420123,Panel B,2,20106042,YES,T1,MANGO,,SCATTERED,,,,2,1999,0,November,2009,February,2010,YES,Community problems,,,,2,PAIL (LARGE),
794,201060420140,Panel B,2,20106042,NO,,,,,,,,,,,,,,,,,,,,,,
784,201060420148,Panel B,2,20106042,NO,,,,,,,,,,,,,,,,,,,,,,
774,201060420157,Panel B,2,20106042,YES,T1,MANGO,,SCATTERED,,,,3,1990,0,January,2009,January,2010,YES,Diseases,,,,3,PAIL (LARGE),
799,201106200004,Panel A,2,20110620,NO,,,,,,,,,,,,,,,,,,,,,,
797,201106200018,Panel A,2,20110620,NO,,,,,,,,,,,,,,,,,,,,,,
773,201106200021,Panel A,2,20110620,NO,,,,,,,,,,,,,,,,,,,,,,
783,201106200034,Panel A,2,20110620,YES,R1,MANGO,,SCATTERED,,,,10,1993,0,December,2009,February,2010,NO,,,,,2,OX - CART,
777,201106200058,Panel A,2,20110620,YES,R1,MANGO,,SCATTERED,,,,12,1989,0,November,2009,January,2010,YES,Insects,,,,8,50 KG BAG,
791,201106200060,Panel A,2,20110620,NO,,,,,,,,,,,,,,,,,,,,,,
781,201106200074,Panel A,2,20110620,YES,T1,MANGO,,SCATTERED,,,,4,1990,0,December,2009,April,2010,YES,Diseases,,,,2,PAIL (LARGE),
787,201106200094,Panel A,2,20110620,NO,,,,,,,,,,,,,,,,,,,,,,
789,201106200112,Panel A,2,20110620,YES,R3,BANANA,,SCATTERED,,,,999,2001,0,July,2009,August,2010,YES,Crop theft,,,,1,BUNCH,
789,201106200112,Panel A,2,20110620,YES,T1,CASSAVA,,PLANTATION,.16,ACRE,,,,,July,2010,August,2010,NO,,,,,3,90 KG BAG,
785,201106200118,Panel A,2,20110620,NO,,,,,,,,,,,,,,,,,,,,,,
771,201106200175,Panel A,2,20110620,NO,,,,,,,,,,,,,,,,,,,,,,
795,201106200190,Panel A,2,20110620,YES,R1,MANGO,,SCATTERED,,,,4,1999,0,November,2009,February,2010,NO,,,,,4,50 KG BAG,
779,201106200196,Panel A,2,20110620,NO,,,,,,,,,,,,,,,,,,,,,,
769,201106200215,Panel A,2,20110620,NO,,,,,,,,,,,,,,,,,,,,,,
775,201106200266,Panel A,2,20110620,NO,,,,,,,,,,,,,,,,,,,,,,
793,201106200267,Panel A,2,20110620,NO,,,,,,,,,,,,,,,,,,,,,,
810,201117180005,Panel B,2,20111718,NO,,,,,,,,,,,,,,,,,,,,,,
800,201117180015,Panel B,2,20111718,NO,,,,,,,,,,,,,,,,,,,,,,
828,201117180024,Panel B,2,20111718,NO,,,,,,,,,,,,,,,,,,,,,,
824,201117180032,Panel B,2,20111718,NO,,,,,,,,,,,,,,,,,,,,,,
808,201117180043,Panel B,2,20111718,NO,,,,,,,,,,,,,,,,,,,,,,
812,201117180052,Panel B,2,20111718,NO,,,,,,,,,,,,,,,,,,,,,,
816,201117180071,Panel B,2,20111718,NO,,,,,,,,,,,,,,,,,,,,,,
802,201117180080,Panel B,2,20111718,NO,,,,,,,,,,,,,,,,,,,,,,
818,201117180089,Panel B,2,20111718,NO,,,,,,,,,,,,,,,,,,,,,,
826,201117180108,Panel B,2,20111718,NO,,,,,,,,,,,,,,,,,,,,,,
822,201117180117,Panel B,2,20111718,NO,,,,,,,,,,,,,,,,,,,,,,
798,201117180127,Panel B,2,20111718,NO,,,,,,,,,,,,,,,,,,,,,,
814,201117180145,Panel B,2,20111718,NO,,,,,,,,,,,,,,,,,,,,,,
806,201117180164,Panel B,2,20111718,NO,,,,,,,,,,,,,,,,,,,,,,
804,201117180183,Panel B,2,20111718,NO,,,,,,,,,,,,,,,,,,,,,,
820,201117180192,Panel B,2,20111718,NO,,,,,,,,,,,,,,,,,,,,,,
811,201126610025,Panel A,2,20112661,NO,,,,,,,,,,,,,,,,,,,,,,
823,201126610037,Panel A,2,20112661,YES,R3,BANANA,,SCATTERED,,,,6,2000,0,August,2009,September,2010,NO,,,,,4,BASKET (DENGU),
823,201126610037,Panel A,2,20112661,YES,R1,MANGO,,SCATTERED,,,,2,1992,0,October,2009,January,2010,YES,Crop theft,,,,2,50 KG BAG,
807,201126610043,Panel A,2,20112661,NO,,,,,,,,,,,,,,,,,,,,,,
809,201126610046,Panel A,2,20112661,YES,R2,MANGO,,SCATTERED,,,,3,2000,0,September,2009,January,2010,YES,Crop theft,,,,5,50 KG BAG,
827,201126610050,Panel A,2,20112661,NO,,,,,,,,,,,,,,,,,,,,,,
805,201126610060,Panel A,2,20112661,NO,,,,,,,,,,,,,,,,,,,,,,
817,201126610061,Panel A,2,20112661,NO,,,,,,,,,,,,,,,,,,,,,,
815,201126610067,Panel A,2,20112661,YES,T1,MEXICAN APPLE [MASUKU],,SCATTERED,,,,1,2000,0,July,2009,July,2009,NO,,,,,0,,
801,201126610075,Panel A,2,20112661,NO,,,,,,,,,,,,,,,,,,,,,,
819,201126610100,Panel A,2,20112661,NO,,,,,,,,,,,,,,,,,,,,,,
831,201126610106,Panel A,2,20112661,NO,,,,,,,,,,,,,,,,,,,,,,
829,201126610108,Panel A,2,20112661,NO,,,,,,,,,,,,,,,,,,,,,,
803,201126610109,Panel A,2,20112661,NO,,,,,,,,,,,,,,,,,,,,,,
821,201126610115,Panel A,2,20112661,NO,,,,,,,,,,,,,,,,,,,,,,
813,201126610116,Panel A,2,20112661,NO,,,,,,,,,,,,,,,,,,,,,,
825,201126610117,Panel A,2,20112661,NO,,,,,,,,,,,,,,,,,,,,,,
861,201131120001,Panel A,2,20113112,NO,,,,,,,,,,,,,,,,,,,,,,
833,201131120024,Panel A,2,20113112,NO,,,,,,,,,,,,,,,,,,,,,,
843,201131120026,Panel A,2,20113112,NO,,,,,,,,,,,,,,,,,,,,,,
863,201131120034,Panel A,2,20113112,YES,R1,MANGO,,SCATTERED,,,,7,1974,0,December,2009,March,2010,YES,Diseases,,,,2,50 KG BAG,
855,201131120044,Panel A,2,20113112,YES,R1,MANGO,,SCATTERED,,,,6,1972,0,December,2009,March,2010,YES,Other (Specify),LACK OF MARKET,,,3,PAIL (LARGE),
851,201131120047,Panel A,2,20113112,NO,,,,,,,,,,,,,,,,,,,,,,
839,201131120061,Panel A,2,20113112,NO,,,,,,,,,,,,,,,,,,,,,,
837,201131120068,Panel A,2,20113112,YES,R1,PAWPAW/PAPAYA,,SCATTERED,,,,8,2004,1,July,2009,June,2010,NO,,,,,4,BASKET (DENGU),
837,201131120068,Panel A,2,20113112,YES,R2,BANANA,,SCATTERED,,,,999,2000,0,July,2009,June,2010,YES,Insects,,,,16,BUNCH,
859,201131120071,Panel A,2,20113112,NO,,,,,,,,,,,,,,,,,,,,,,
857,201131120075,Panel A,2,20113112,YES,R1,MANGO,,SCATTERED,,,,5,1975,0,December,2009,February,2010,NO,,,,,5,50 KG BAG,
853,201131120081,Panel A,2,20113112,YES,R1,GUAVA,,SCATTERED,,,,1,1990,0,March,2010,April,2010,NO,,,,,2,BASKET (DENGU),
849,201131120092,Panel A,2,20113112,YES,R1,MANGO,,SCATTERED,,,,3,1986,0,December,2009,January,2010,NO,,,,,6,50 KG BAG,
849,201131120092,Panel A,2,20113112,YES,R1,BANANA,,SCATTERED,,,,999,1990,0,July,2009,July,2010,NO,,,,,10,BUNCH,
835,201131120102,Panel A,2,20113112,NO,,,,,,,,,,,,,,,,,,,,,,
845,201131120106,Panel A,2,20113112,NO,,,,,,,,,,,,,,,,,,,,,,
847,201131120126,Panel A,2,20113112,YES,R1,PAWPAW/PAPAYA,,SCATTERED,,,,2,1996,0,December,2009,January,2010,NO,,,,,2,BASKET (DENGU),
847,201131120126,Panel A,2,20113112,YES,R1,BANANA,,SCATTERED,,,,999,1994,0,July,2009,July,2010,NO,,,,,200,BUNCH,
834,201154340005,Panel B,2,20115434,NO,,,,,,,,,,,,,,,,,,,,,,
858,201154340012,Panel B,2,20115434,NO,,,,,,,,,,,,,,,,,,,,,,
838,201154340018,Panel B,2,20115434,NO,,,,,,,,,,,,,,,,,,,,,,
846,201154340031,Panel B,2,20115434,YES,T1,ORANGE,,SCATTERED,,,,6,1963,0,April,2010,August,2010,YES,Other (Specify),LACK OF MARKET,,,3,50 KG BAG,
840,201154340038,Panel B,2,20115434,NO,,,,,,,,,,,,,,,,,,,,,,
830,201154340044,Panel B,2,20115434,NO,,,,,,,,,,,,,,,,,,,,,,
844,201154340058,Panel B,2,20115434,YES,R2,MANGO,,SCATTERED,,,,4,1982,4,November,2009,February,2010,YES,Insects,,,,40,50 KG BAG,
860,201154340064,Panel B,2,20115434,NO,,,,,,,,,,,,,,,,,,,,,,
850,201154340071,Panel B,2,20115434,NO,,,,,,,,,,,,,,,,,,,,,,
856,201154340084,Panel B,2,20115434,NO,,,,,,,,,,,,,,,,,,,,,,
842,201154340090,Panel B,2,20115434,NO,,,,,,,,,,,,,,,,,,,,,,
848,201154340097,Panel B,2,20115434,NO,,,,,,,,,,,,,,,,,,,,,,
832,201154340110,Panel B,2,20115434,NO,,,,,,,,,,,,,,,,,,,,,,
852,201154340116,Panel B,2,20115434,YES,R1,MANGO,,SCATTERED,,,,3,1987,0,November,2009,January,2010,NO,,,,,8,50 KG BAG,
852,201154340116,Panel B,2,20115434,YES,R1,ORANGE,,SCATTERED,,,,6,1990,0,November,2009,January,2010,NO,,,,,20,50 KG BAG,
836,201154340123,Panel B,2,20115434,NO,,,,,,,,,,,,,,,,,,,,,,
854,201154340136,Panel B,2,20115434,,R1,CASSAVA,,PLANTATION,.5,ACRE,,999,2009,0,December,2009,January,2010,NO,,,,,3,50 KG BAG,
872,202052070003,Panel B,2,20205207,YES,T1,[CUSTADE APPLE] POZA,,SCATTERED,,,,4,2006,0,March,2010,May,2010,NO,,,,,4,BASKET (DENGU),
866,202052070009,Panel B,2,20205207,YES,T2,GUAVA,,SCATTERED,,,,4,1985,0,June,2010,August,2010,YES,Other (Specify),ROTTING DUE TO ABUNDANCE,,,15,BASKET (DENGU),
866,202052070009,Panel B,2,20205207,YES,T1,MANGO,,SCATTERED,,,,2,1982,0,October,2009,February,2010,YES,Other (Specify),ROTTING DUE TO ABUNDANCE,,,24,BASKET (DENGU),
892,202052070015,Panel B,2,20205207,NO,,,,,,,,,,,,,,,,,,,,,,
880,202052070021,Panel B,2,20205207,YES,T1,CASSAVA,,PLANTATION,1,ACRE,,,,,December,2009,February,2010,NO,,,,,32,BASKET (DENGU),
882,202052070028,Panel B,2,20205207,YES,T1,CASSAVA,,PLANTATION,1,ACRE,,,,,February,2010,March,2010,NO,,,,,33,50 KG BAG,
888,202052070034,Panel B,2,20205207,NO,,,,,,,,,,,,,,,,,,,,,,
874,202052070040,Panel B,2,20205207,YES,T1,MANGO,,SCATTERED,,,,5,1980,0,November,2009,January,2010,NO,,,,,5,BASKET (DENGU),
886,202052070053,Panel B,2,20205207,NO,,,,,,,,,,,,,,,,,,,,,,
876,202052070059,Panel B,2,20205207,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,August,2010,September,2010,NO,,,,,2,BASKET (DENGU),
870,202052070065,Panel B,2,20205207,YES,T1,PAWPAW/PAPAYA,,SCATTERED,,,,4,2008,0,June,2010,August,2010,NO,,,,,2,BASKET (DENGU),
884,202052070084,Panel B,2,20205207,NO,,,,,,,,,,,,,,,,,,,,,,
862,202052070090,Panel B,2,20205207,NO,,,,,,,,,,,,,,,,,,,,,,
864,202052070103,Panel B,2,20205207,NO,,,,,,,,,,,,,,,,,,,,,,
890,202052070109,Panel B,2,20205207,NO,,,,,,,,,,,,,,,,,,,,,,
868,202052070115,Panel B,2,20205207,NO,,,,,,,,,,,,,,,,,,,,,,
878,202052070127,Panel B,2,20205207,NO,,,,,,,,,,,,,,,,,,,,,,
889,202063620005,Panel A,2,20206362,NO,,,,,,,,,,,,,,,,,,,,,,
877,202063620025,Panel A,2,20206362,YES,T1,MANGO,,SCATTERED,,,,1,1960,0,December,2009,January,2010,NO,,,,,7,BASKET (DENGU),
871,202063620035,Panel A,2,20206362,NO,,,,,,,,,,,,,,,,,,,,,,
891,202063620047,Panel A,2,20206362,NO,,,,,,,,,,,,,,,,,,,,,,
865,202063620055,Panel A,2,20206362,NO,,,,,,,,,,,,,,,,,,,,,,
879,202063620077,Panel A,2,20206362,NO,,,,,,,,,,,,,,,,,,,,,,
881,202063620123,Panel A,2,20206362,NO,,,,,,,,,,,,,,,,,,,,,,
883,202063620130,Panel A,2,20206362,YES,T1,MANGO,,SCATTERED,,,,5,1997,3,December,2009,January,2010,NO,,,,,3,90 KG BAG,
893,202063620143,Panel A,2,20206362,NO,,,,,,,,,,,,,,,,,,,,,,
895,202063620150,Panel A,2,20206362,NO,,,,,,,,,,,,,,,,,,,,,,
887,202063620156,Panel A,2,20206362,YES,T1,MANGO,,SCATTERED,,,,2,1975,0,October,2009,January,2010,NO,,,,,5,90 KG BAG,
887,202063620156,Panel A,2,20206362,YES,T2,PAWPAW/PAPAYA,,SCATTERED,,,,3,2005,0,June,2010,August,2010,NO,,,,,1,BASKET (DENGU),
873,202063620179,Panel A,2,20206362,YES,T2,BANANA,,SCATTERED,,,,50,2001,2,January,2010,July,2010,YES,Crop theft,,,,42,BUNCH,
873,202063620179,Panel A,2,20206362,YES,T1,MANGO,,SCATTERED,,,,3,1970,0,November,2009,January,2010,NO,,,,,50,BASKET (DENGU),
869,202063620195,Panel A,2,20206362,YES,T1,BANANA,,SCATTERED,,,,15,2007,5,August,2009,May,2010,NO,,,,,1,BASKET (DENGU),
867,202063620232,Panel A,2,20206362,NO,,,,,,,,,,,,,,,,,,,,,,
875,202063620243,Panel A,2,20206362,NO,,,,,,,,,,,,,,,,,,,,,,
885,202063620271,Panel A,2,20206362,NO,,,,,,,,,,,,,,,,,,,,,,
913,203025390008,Panel A,2,20302539,YES,T1,BANANA,,SCATTERED,,,,50,1989,10,January,2010,August,2010,NO,,,,,60,BUNCH,
917,203025390016,Panel A,2,20302539,NO,,,,,,,,,,,,,,,,,,,,,,
905,203025390038,Panel A,2,20302539,NO,,,,,,,,,,,,,,,,,,,,,,
925,203025390047,Panel A,2,20302539,NO,,,,,,,,,,,,,,,,,,,,,,
911,203025390067,Panel A,2,20302539,YES,T1,BANANA,,SCATTERED,,,,60,2001,0,January,2010,August,2010,NO,,,,,25,BUNCH,
923,203025390077,Panel A,2,20302539,NO,,,,,,,,,,,,,,,,,,,,,,
927,203025390081,Panel A,2,20302539,NO,,,,,,,,,,,,,,,,,,,,,,
907,203025390087,Panel A,2,20302539,NO,,,,,,,,,,,,,,,,,,,,,,
915,203025390104,Panel A,2,20302539,NO,,,,,,,,,,,,,,,,,,,,,,
919,203025390115,Panel A,2,20302539,NO,,,,,,,,,,,,,,,,,,,,,,
903,203025390120,Panel A,2,20302539,NO,,,,,,,,,,,,,,,,,,,,,,
909,203025390137,Panel A,2,20302539,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,March,2009,December,2009,NO,,,,,1,OX - CART,
899,203025390148,Panel A,2,20302539,NO,,,,,,,,,,,,,,,,,,,,,,
921,203025390169,Panel A,2,20302539,NO,,,,,,,,,,,,,,,,,,,,,,
897,203025390177,Panel A,2,20302539,NO,,,,,,,,,,,,,,,,,,,,,,
901,203025390196,Panel A,2,20302539,YES,T1,CASSAVA,,PLANTATION,1,ACRE,,,,,December,2009,March,2010,NO,,,,,4,OX - CART,
931,203030650008,Panel A,2,20303065,YES,T1,MANGO,,SCATTERED,,,,7,1983,0,November,2009,February,2010,NO,,,,,20,BASKET (DENGU),
931,203030650008,Panel A,2,20303065,YES,T2,PAWPAW/PAPAYA,,SCATTERED,,,,2,1990,0,January,2010,September,2010,NO,,,,,3,BASKET (DENGU),
959,203030650012,Panel A,2,20303065,YES,T2,MANGO,,SCATTERED,,,,8,1985,0,November,2009,January,2010,NO,,,,,20,BASKET (DENGU),
959,203030650012,Panel A,2,20303065,YES,T1,BANANA,,SCATTERED,,,,250,1972,0,January,2010,September,2010,NO,,,,,350,BUNCH,
941,203030650013,Panel A,2,20303065,NO,,,,,,,,,,,,,,,,,,,,,,
937,203030650026,Panel A,2,20303065,NO,,,,,,,,,,,,,,,,,,,,,,
947,203030650031,Panel A,2,20303065,NO,,,,,,,,,,,,,,,,,,,,,,
929,203030650039,Panel A,2,20303065,NO,,,,,,,,,,,,,,,,,,,,,,
935,203030650044,Panel A,2,20303065,NO,,,,,,,,,,,,,,,,,,,,,,
949,203030650050,Panel A,2,20303065,YES,T1,BANANA,,PLANTATION,.25,ACRE,,999,2001,0,September,2009,December,2009,NO,,,,,2,OX - CART,
933,203030650058,Panel A,2,20303065,YES,T1,ORANGE,,SCATTERED,,,,4,1995,0,March,2010,May,2010,YES,Diseases,,,,1,OX - CART,
939,203030650069,Panel A,2,20303065,YES,T1,MANGO,,SCATTERED,,,,3,1970,0,December,2009,January,2010,YES,Community problems,,,,9,BASKET (DENGU),
951,203030650087,Panel A,2,20303065,NO,,,,,,,,,,,,,,,,,,,,,,
943,203030650093,Panel A,2,20303065,NO,,,,,,,,,,,,,,,,,,,,,,
945,203030650094,Panel A,2,20303065,NO,,,,,,,,,,,,,,,,,,,,,,
955,203030650110,Panel A,2,20303065,NO,,,,,,,,,,,,,,,,,,,,,,
953,203030650116,Panel A,2,20303065,NO,,,,,,,,,,,,,,,,,,,,,,
957,203030650121,Panel A,2,20303065,NO,,,,,,,,,,,,,,,,,,,,,,
896,203053010006,Panel B,2,20305301,NO,,,,,,,,,,,,,,,,,,,,,,
894,203053010012,Panel B,2,20305301,NO,,,,,,,,,,,,,,,,,,,,,,
920,203053010018,Panel B,2,20305301,YES,T1,MANGO,,SCATTERED,,,,21,1989,0,December,2009,February,2010,YES,Other (Specify),EFFECTS OF WIND,,,6,BASKET (DENGU),
922,203053010025,Panel B,2,20305301,NO,,,,,,,,,,,,,,,,,,,,,,
