occ,y2_hhid,qx_type,interview_status,ag_m0a,ag_m00,ag_m0b,ag_m0c,ag_m0d,ag_m01,ag_m02,ag_m03,ag_m04a,ag_m04b,ag_m05a,ag_m05b,ag_m07,ag_m08a,ag_m08b,ag_m08c,ag_m09,ag_m10a,ag_m10b,ag_m11a,ag_m11b,ag_m11c,ag_m12a,ag_m12b,ag_m13a,ag_m13b
2,0657-001,PANEL A,Panel A - 2 Visits,YES,D01,NKHWANI,NKHWANI,2,PURE STAND,,,250,GRAM,APRIL,2013,YES,,,,NO,,,1,PAIL (LARGE),NOT APPLICABLE,JULY,JULY,1,2
3,0657-001,PANEL A,Panel A - 2 Visits,YES,D01,CHINESE,OTHER (SPECIFY),2,PURE STAND,,,200,GRAM,APRIL,2013,YES,,,,NO,,,1,PAIL (LARGE),NOT APPLICABLE,JULY,JULY,1,2
1,0658-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0660-001,PANEL B,Panel B - Combined Visit,YES,D01,TANAPOSI,TANAPOSI,1,MIXED STAND,YES,,500,GRAM,JULY,2013,NO,4,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
2,0660-001,PANEL B,Panel B - Combined Visit,YES,D01,RAPE,OTHER (SPECIFY),1,MIXED STAND,YES,,500,GRAM,JULY,2013,NO,6,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
3,0660-001,PANEL B,Panel B - Combined Visit,YES,D01,TOMATO,TOMATO,1,MIXED STAND,YES,,200,GRAM,JULY,2013,NO,3,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
4,0660-001,PANEL B,Panel B - Combined Visit,YES,D01,OKRA,THERERE/OKRA,1,MIXED STAND,YES,,200,GRAM,JULY,2013,NO,2,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
1,0660-003,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0666-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0668-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0672-001,PANEL B,Panel B - 2 Visits,YES,D01,SUGAR CANE,SUGAR CANE,2,PURE STAND,,,20,KILOGRAM,MARCH,2013,YES,30,PIECE,NOT APPLICABLE,,,,,,,,,,
1,0672-004,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0675-001,PANEL A,Panel A - 2 Visits,YES,D01,SWEET POTATO,SWEET POTATO,1,PURE STAND,,,500,GRAM,MARCH,2013,NO,10,KILOGRAM,NOT APPLICABLE,,,,,,,,,,
1,0676-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0677-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0679-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0679-007,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0682-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0682-004,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0684-005,PANEL B,Panel B - 2 Visits,YES,D01,MPIRU,OTHER (SPECIFY),1,PURE STAND,,,20,GRAM,SEPTEMBER,2013,NO,3,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
2,0684-005,PANEL B,Panel B - 2 Visits,YES,D02,OPV,MAIZE COMPOSITE/OPV,1,MIXED STAND,YES,,1,KILOGRAM,SEPTEMBER,2013,NO,1,50 KG BAG,SHELLED,,,,,,,,,,
3,0684-005,PANEL B,Panel B - 2 Visits,YES,D02,BEANS,BEANS,1,MIXED STAND,YES,,1,KILOGRAM,SEPTEMBER,2013,NO,20,KILOGRAM,SHELLED,,,,,,,,,,
1,0685-004,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0685-005,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0686-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0687-003,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0690-001,PANEL B,Panel B - 2 Visits,YES,D01,PEA,PEA,2,PURE STAND,,,3,KILOGRAM,APRIL,2013,NO,2,PAIL (LARGE),SHELLED,,,,,,,,,,
1,0692-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0696-002,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0696-006,PANEL B,Panel B - 2 Visits,YES,D01,RAPE,TANAPOSI,1,PURE STAND,,,2,GRAM,JULY,2013,NO,6,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
1,0699-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0700-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0701-001,PANEL A,Panel A - 2 Visits,YES,D01,MPILU,OTHER (SPECIFY),2,MIXED STAND,NO,MORE THAN 3/4,200,GRAM,JANUARY,2013,NO,1,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
2,0701-001,PANEL A,Panel A - 2 Visits,YES,D01,RAPE,OTHER (SPECIFY),2,MIXED STAND,NO,3/4,700,GRAM,JANUARY,2013,NO,1,PAIL (SMALL),NOT APPLICABLE,,,,,,,,,,
1,0701-003,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0707-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0710-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0714-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0714-003,PANEL B,Panel B - Combined Visit,YES,D01,BEANS,BEANS,2,PURE STAND,,,500,GRAM,AUGUST,2013,NO,1,50 KG BAG,SHELLED,,,,,,,,,,
1,0719-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0720-002,PANEL B,Panel B - Combined Visit,YES,D01,IRISH POTATOE,IRISH [MALAWI] POTATO,1,PURE STAND,,,20,KILOGRAM,JULY,2013,YES,,,,NO,,,4,50 KG BAG,NOT APPLICABLE,OCTOBER,OCTOBER,1,
1,0721-004,PANEL A,Panel A - Combined Visit,YES,D01,TANAPOSI,TANAPOSI,1,PURE STAND,YES,,25,GRAM,JUNE,2013,NO,2,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
1,0725-006,PANEL A,Panel A - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0726-002,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0727-005,PANEL A,Panel A - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0729-003,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0733-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0734-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0736-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0737-008,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0743-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0744-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0746-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0747-003,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0749-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0750-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0751-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0753-001,PANEL A,Panel A - 2 Visits,YES,D01,TANAPOSI,TANAPOSI,2,PURE STAND,,,500,GRAM,JUNE,2013,NO,400,BUNCH,NOT APPLICABLE,,,,,,,,,,
1,0754-001,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0755-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0756-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0758-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0759-001,PANEL A,Panel A - 2 Visits,YES,D01,TANAPOSI,TANAPOSI,1,PURE STAND,,,30,GRAM,JULY,2013,NO,16,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
1,0759-004,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0759-005,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0759-008,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0760-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0760-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0761-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0762-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0763-001,PANEL A,Panel A - 2 Visits,YES,D01,RAPE,TANAPOSI,1,PURE STAND,,,5,5 KG BAG,MAY,2013,NO,4,OTHER (SPECIFY),NOT APPLICABLE,,,,,,,,,,
2,0763-001,PANEL A,Panel A - 2 Visits,YES,D02,CHINESE,CABBAGE,1,PURE STAND,,,5,5 KG BAG,MAY,2013,NO,4,OTHER (SPECIFY),NOT APPLICABLE,,,,,,,,,,
1,0764-001,PANEL B,Panel B - 2 Visits,YES,D01,TANAPOSI,TANAPOSI,1,PURE STAND,,,20,GRAM,JUNE,2012,NO,40,BUNCH,NOT APPLICABLE,,,,,,,,,,
1,0764-003,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0765-001,PANEL A,Panel A - 2 Visits,YES,D01,HYBRID MAIZE,MAIZE HYBRID,2,MIXED STAND,YES,,2,KILOGRAM,MARCH,2013,NO,2,50 KG BAG,SHELLED,,,,,,,,,,
2,0765-001,PANEL A,Panel A - 2 Visits,YES,D01,TANAPOSI,TANAPOSI,2,MIXED STAND,YES,,500,GRAM,MARCH,2013,NO,50,BUNCH,NOT APPLICABLE,,,,,,,,,,
3,0765-001,PANEL A,Panel A - 2 Visits,YES,D01,NKHWANI,NKHWANI,2,MIXED STAND,YES,,500,GRAM,MARCH,2013,NO,50,BUNCH,NOT APPLICABLE,,,,,,,,,,
4,0765-001,PANEL A,Panel A - 2 Visits,YES,D01,TOMATO,TOMATO,2,MIXED STAND,YES,,500,GRAM,MARCH,2013,NO,350,PIECE,NOT APPLICABLE,,,,,,,,,,
5,0765-001,PANEL A,Panel A - 2 Visits,YES,D02,TANAPOSI,TANAPOSI,2,PURE STAND,,,500,GRAM,MARCH,2013,NO,60,BUNCH,NOT APPLICABLE,,,,,,,,,,
1,0766-001,PANEL B,Panel B - 2 Visits,YES,D01,NKHWANI,NKHWANI,2,MIXED STAND,YES,,5,GRAM,AUGUST,2013,NO,1,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
2,0766-001,PANEL B,Panel B - 2 Visits,YES,D01,TANAPOSI,TANAPOSI,2,MIXED STAND,YES,,5,GRAM,AUGUST,2013,NO,1,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
3,0766-001,PANEL B,Panel B - 2 Visits,YES,D01,BONONGWE,OTHER (SPECIFY),2,MIXED STAND,YES,,5,GRAM,AUGUST,2013,NO,1,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
1,0766-003,PANEL B,Panel B - Combined Visit,YES,D01,TOMATO,TOMATO,1,PURE STAND,,,15,GRAM,JUNE,2013,NO,4,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
2,0766-003,PANEL B,Panel B - Combined Visit,YES,D02,NKHWANI,NKHWANI,1,MIXED STAND,YES,,7,GRAM,JULY,2013,NO,2,OTHER (SPECIFY),NOT APPLICABLE,,,,,,,,,,
3,0766-003,PANEL B,Panel B - Combined Visit,YES,D02,TANAPOSI,TANAPOSI,1,MIXED STAND,YES,,70,GRAM,JULY,2013,NO,4,OTHER (SPECIFY),NOT APPLICABLE,,,,,,,,,,
1,0767-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0768-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0769-004,PANEL A,Panel A - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0770-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0770-004,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0771-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0772-001,PANEL B,Panel B - 2 Visits,YES,D01,TOMATO,TOMATO,1,PURE STAND,,,4,GRAM,SEPTEMBER,2013,NO,30,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
1,0773-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0774-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0774-008,PANEL B,Panel B - 2 Visits,YES,D01,NKHWANI,NKHWANI,2,MIXED STAND,YES,,200,GRAM,OCTOBER,2013,NO,3,OTHER (SPECIFY),NOT APPLICABLE,,,,,,,,,,
2,0774-008,PANEL B,Panel B - 2 Visits,YES,D01,ONION,ONION,1,MIXED STAND,YES,,1,KILOGRAM,OCTOBER,2013,NO,2,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
1,0775-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0776-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0777-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0778-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0779-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,
1,0780-001,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0780-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0781-001,PANEL A,Panel A - 2 Visits,YES,D01,HYBRID,MAIZE HYBRID RECYCLED,1,PURE STAND,,,5,KILOGRAM,OCTOBER,2013,NO,7,PAIL (LARGE),SHELLED,,,,,,,,,,
1,0782-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0783-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,
1,0784-001,PANEL B,Panel B - 2 Visits,YES,D01,TOMATO,TOMATO,1,PURE STAND,,,25,GRAM,MARCH,2013,YES,,,,NO,,,7,PAIL (LARGE),NOT APPLICABLE,JUNE,AUGUST,1,2
2,0784-001,PANEL B,Panel B - 2 Visits,YES,D02,TANAPOSI,TANAPOSI,1,PURE STAND,,,40,GRAM,MARCH,2013,YES,,,,NO,,,20,OTHER (SPECIFY),NOT APPLICABLE,APRIL,JUNE,1,2
1,0785-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0786-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0787-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0788-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0789-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0790-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0790-004,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0791-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0791-003,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0791-004,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0792-001,PANEL B,Panel B - 2 Visits,YES,D01,NKHWANI,NKHWANI,2,PURE STAND,,,500,GRAM,SEPTEMBER,2013,NO,3,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
1,0792-003,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0793-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0793-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0794-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0795-001,PANEL A,Panel A - Only Visit 1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0796-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0796-002,PANEL B,Panel B - 2 Visits,YES,D01,NKHWANI,NKHWANI,1,PURE STAND,,,1,KILOGRAM,AUGUST,2013,NO,5,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
1,0797-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0798-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0799-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0800-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0801-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0802-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0802-003,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0803-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0804-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0804-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0804-003,PANEL B,Panel B - Combined Visit,YES,D01,NKHWANI,NKHWANI,1,PURE STAND,,,50,GRAM,AUGUST,2013,NO,6,OTHER (SPECIFY),NOT APPLICABLE,,,,,,,,,,
1,0805-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0806-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0807-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0808-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0808-003,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0809-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0810-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0810-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0811-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0812-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0813-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0814-001,PANEL B,Panel B - 2 Visits,YES,D01,RECYCLED MAIZE,MAIZE HYBRID RECYCLED,1,PURE STAND,,,1,2 KG BAG,SEPTEMBER,2013,NO,1,50 KG BAG,SHELLED,,,,,,,,,,
1,0815-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0815-003,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0816-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0817-001,PANEL A,Panel A - 2 Visits,YES,D01,IRISH,IRISH [MALAWI] POTATO,1,PURE STAND,,,2,KILOGRAM,AUGUST,2013,NO,5,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
2,0817-001,PANEL A,Panel A - 2 Visits,YES,D02,MPIRU,TANAPOSI,1,PURE STAND,,,2,GRAM,AUGUST,2013,NO,3,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
1,0818-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0819-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0821-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0822-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0822-003,PANEL B,Panel B - 2 Visits,YES,D01,MPIRU,TANAPOSI,2,PURE STAND,,,2,GRAM,AUGUST,2013,NO,5,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
1,0822-008,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0823-001,PANEL A,Panel A - 2 Visits,YES,D01,TOMATO,TOMATO,2,PURE STAND,,,25,GRAM,MARCH,2013,YES,,,,NO,,,4,PAIL (LARGE),NOT APPLICABLE,APRIL,AUGUST,1,
2,0823-001,PANEL A,Panel A - 2 Visits,YES,D02,MPILU,TANAPOSI,2,PURE STAND,,,25,GRAM,JUNE,2013,NO,10,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
3,0823-001,PANEL A,Panel A - 2 Visits,YES,D03,NKHWANI,NKHWANI,2,PURE STAND,,,200,GRAM,OCTOBER,2013,NO,8,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
1,0824-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0825-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0825-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0826-001,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0827-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0828-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0829-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0830-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0831-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0831-004,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0832-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0833-001,PANEL A,Panel A - 2 Visits,YES,D01,MPIRU,OTHER (SPECIFY),1,PURE STAND,,,30,GRAM,JUNE,2013,NO,3,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
1,0833-003,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0834-001,PANEL B,Panel B - 2 Visits,YES,D01,MPIRU,TANAPOSI,1,PURE STAND,,,4,GRAM,JULY,2013,NO,19,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
1,0834-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0834-003,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0835-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,
1,0835-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0836-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0837-001,PANEL A,Panel A - 2 Visits,YES,D01,HYBRID MAIZE,MAIZE HYBRID,1,PURE STAND,,,5,KILOGRAM,MAY,2013,NO,3,50 KG BAG,SHELLED,,,,,,,,,,
2,0837-001,PANEL A,Panel A - 2 Visits,YES,D02,TOMATO,TOMATO,1,PURE STAND,,,5,GRAM,MAY,2013,NO,4,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
3,0837-001,PANEL A,Panel A - 2 Visits,YES,D03,TANAPOSI,TANAPOSI,1,PURE STAND,,,3,GRAM,JUNE,2013,NO,5,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
4,0837-001,PANEL A,Panel A - 2 Visits,YES,D04,SWEET POTATOES,SWEET POTATO,1,PURE STAND,,,2,OTHER (SPECIFY),APRIL,2013,NO,5,50 KG BAG,NOT APPLICABLE,,,,,,,,,,
1,0838-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0839-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0839-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0840-001,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0841-002,PANEL A,Panel A - 2 Visits,YES,D01,LOCAL MAIZE,MAIZE LOCAL,1,MIXED STAND,YES,,1,KILOGRAM,OCTOBER,2013,NO,1,50 KG BAG,SHELLED,,,,,,,,,,
2,0841-002,PANEL A,Panel A - 2 Visits,YES,D01,NKHWANI,NKHWANI,1,MIXED STAND,YES,,50,GRAM,OCTOBER,2013,NO,2,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
1,0842-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0843-001,PANEL A,Panel A - 2 Visits,YES,D01,TOMATO,TOMATO,1,PURE STAND,,,100,GRAM,JULY,2013,NO,20,PAIL (LARGE),NOT APPLICABLE,,,,,,,,,,
1,0844-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0845-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0846-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0846-005,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0847-001,PANEL A,Panel A - 2 Visits,YES,D01,TANAPOSI,TANAPOSI,1,PURE STAND,,,25,GRAM,JULY,2013,NO,24,OTHER (SPECIFY),NOT APPLICABLE,,,,,,,,,,
