occ,y2_hhid,qx_type,interview_status,ag_o01,ag_o00,ag_o02,ag_o03_2,ag_o04a,ag_o04b,ag_o04c,ag_o05e,ag_o06,ag_o07
1,0467-001,PANEL A,Panel A - 2 Visits,YES,T01,ORANGES,RG01,1,ACRE,.80000001,,12,CLEAR/SUNNY
1,0468-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0469-001,PANEL A,Panel A - 2 Visits,YES,T01,ORANGES,RG01,1,ACRE,1.66,,11,CLEAR/SUNNY
2,0469-001,PANEL A,Panel A - 2 Visits,YES,T02,PAWPAW,RG01,1,ACRE,1.66,,11,CLEAR/SUNNY
3,0469-001,PANEL A,Panel A - 2 Visits,YES,T03,MANGO,RG01,1,ACRE,1.66,,11,CLEAR/SUNNY
1,0470-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG01,1.5,ACRE,2.3800001,,12,CLEAR/SUNNY
1,0471-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,1,ACRE,1.2,,11,CLEAR/SUNNY
2,0471-001,PANEL A,Panel A - 2 Visits,YES,T02,ORANGE,RG01,1,ACRE,1.2,,11,CLEAR/SUNNY
1,0472-002,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0473-001,PANEL A,Panel A - 2 Visits,YES,T01,ORANGE,RG01,1,ACRE,.81,,10,CLEAR/SUNNY
1,0474-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0475-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,1,ACRE,1.27,,11,CLEAR/SUNNY
1,0477-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,.75,ACRE,.87,,12,CLEAR/SUNNY
2,0477-001,PANEL A,Panel A - 2 Visits,YES,T02,ORANGE,RG02,1,ACRE,1.36,,12,CLEAR/SUNNY
1,0477-002,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0478-001,PANEL B,Panel B - 2 Visits,YES,T01,GUAVA,RG02,1.5,ACRE,2.3,,9,PARTLY CLOUDY/PARTLY SUNNY
1,0479-002,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0480-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG01,.5,ACRE,.0099999998,,12,CLEAR/SUNNY
1,0481-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0482-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO GARDEN,TG01,.5,ACRE,.30000001,,11,CLEAR/SUNNY
1,0483-001,PANEL A,Panel A - 2 Visits,YES,T01,ORANGE,RG01,.5,ACRE,.31,,9,PARTLY CLOUDY/PARTLY SUNNY
2,0483-001,PANEL A,Panel A - 2 Visits,YES,T02,ORANGE,RG02,.75,ACRE,.64999998,,9,PARTLY CLOUDY/PARTLY SUNNY
1,0484-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0485-001,PANEL A,Panel A - 2 Visits,YES,T01,ORANGE,RG01,.30000001,ACRE,5.0999999,,6,CLEAR/SUNNY
2,0485-001,PANEL A,Panel A - 2 Visits,YES,T02,MANGO,RG01,.30000001,ACRE,5.0999999,,6,CLEAR/SUNNY
3,0485-001,PANEL A,Panel A - 2 Visits,YES,T03,AVOCADO,RG01,.30000001,ACRE,5.0999999,,6,CLEAR/SUNNY
4,0485-001,PANEL A,Panel A - 2 Visits,YES,T04,GUAVA,RG01,.30000001,ACRE,5.0999999,,6,CLEAR/SUNNY
5,0485-001,PANEL A,Panel A - 2 Visits,YES,T05,BANANA,RG01,.30000001,ACRE,5.0999999,,6,CLEAR/SUNNY
1,0486-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0487-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0487-007,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,RG01,2,ACRE,.50999999,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0488-001,PANEL B,Panel B - 2 Visits,YES,T01,PAWPAW,RG01,3,ACRE,2.8,,6,MOSTLY CLEAR/MOSTLY SUNNY
1,0489-001,PANEL A,Panel A - 2 Visits,YES,T01,PEACH,RG01,1,ACRE,1,,9,PARTLY CLOUDY/PARTLY SUNNY
1,0489-004,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0490-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0491-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,RG01,1,ACRE,.86000001,,10,PARTLY CLOUDY/PARTLY SUNNY
1,0492-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0493-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,.5,ACRE,.5,,8,MOSTLY CLEAR/MOSTLY SUNNY
1,0494-001,PANEL B,Panel B - 2 Visits,YES,T01,BANANAS,RG01,.25,ACRE,.0099999998,,11,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
1,0495-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0496-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG01,.25,ACRE,.0099999998,,11,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
1,0497-002,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,1.5,ACRE,1.01,,9,CLEAR/SUNNY
2,0497-002,PANEL A,Panel A - 2 Visits,YES,T02,ORANGE,RG01,.5,ACRE,1.01,,9,CLEAR/SUNNY
3,0497-002,PANEL A,Panel A - 2 Visits,YES,T03,PEACH,RG01,.5,ACRE,1.01,,9,CLEAR/SUNNY
1,0498-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG01,1,ACRE,.80000001,,6,MOSTLY CLEAR/MOSTLY SUNNY
1,0500-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0501-002,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,.1,ACRE,1.1,,6,MOSTLY CLEAR/MOSTLY SUNNY
1,0502-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG01,1,ACRE,1.46,,10,PARTLY CLOUDY/PARTLY SUNNY
2,0502-001,PANEL B,Panel B - 2 Visits,YES,T02,BANANA,RG01,1,ACRE,1.46,,10,PARTLY CLOUDY/PARTLY SUNNY
3,0502-001,PANEL B,Panel B - 2 Visits,YES,T03,ORANGE,RG02,1,ACRE,1.47,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0503-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0503-003,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0504-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0505-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG02,.25,ACRE,.2,,11,PARTLY CLOUDY/PARTLY SUNNY
2,0505-001,PANEL A,Panel A - 2 Visits,YES,T02,MEXICAN APPLE,RG02,.25,ACRE,.2,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0506-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0507-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,2,ACRE,2.9100001,,9,PARTLY CLOUDY/PARTLY SUNNY
2,0507-001,PANEL A,Panel A - 2 Visits,YES,T02,MASUKU,RG02,.75,ACRE,.20999999,,9,PARTLY CLOUDY/PARTLY SUNNY
1,0508-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG01,1.5,ACRE,.95999998,,11,PARTLY CLOUDY/PARTLY SUNNY
2,0508-001,PANEL B,Panel B - 2 Visits,YES,T02,BANANA,RG01,1.5,ACRE,1.26,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0509-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,.30000001,ACRE,.2,,6,CLEAR/SUNNY
1,0509-002,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0509-005,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0510-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0511-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANAS,RG01,.25,ACRE,.40000001,,11,CLEAR/SUNNY
1,0512-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0513-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0514-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG01,2,ACRE,4.5999999,,10,CLEAR/SUNNY
1,0515-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0516-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0517-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0518-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0518-004,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0519-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0520-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG01,1,ACRE,.80000001,,11,CLEAR/SUNNY
1,0520-002,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0521-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,1,ACRE,1.1,,12,CLEAR/SUNNY
1,0521-003,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,TG01,.5,ACRE,.039999999,,8,CLEAR/SUNNY
1,0522-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0523-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,1,ACRE,1,,11,CLEAR/SUNNY
1,0524-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0525-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0526-002,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0527-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,2,ACRE,.69999999,,12,CLEAR/SUNNY
1,0528-002,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0529-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0530-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0531-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,.75,ACRE,.17,,10,CLEAR/SUNNY
1,0532-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0534-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0535-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,RG01,1,ACRE,1.7,,11,CLEAR/SUNNY
1,0536-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0537-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG02,3,ACRE,4.0999999,,12,CLEAR/SUNNY
2,0537-001,PANEL A,Panel A - 2 Visits,YES,T02,BANANA,RG02,3,ACRE,4.0999999,,12,CLEAR/SUNNY
1,0538-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG02,1,ACRE,1.48,,11,CLEAR/SUNNY
1,0539-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0540-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0541-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0542-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG01,1,ACRE,3.3199999,,12,CLEAR/SUNNY
2,0542-001,PANEL B,Panel B - 2 Visits,YES,T02,CASSAVA,TG01,.25,ACRE,.5,,10,CLEAR/SUNNY
1,0542-003,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0543-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0544-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0545-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,RG01,1,ACRE,.85000002,,10,CLEAR/SUNNY
1,0546-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0547-001,PANEL A,Panel A - Combined Visit,NO,,,,,,,,,
1,0548-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0549-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0549-006,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0550-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0551-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,1,ACRE,1.8,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0552-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0552-003,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG01,1,ACRE,.69999999,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0553-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0554-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0555-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0556-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0557-001,PANEL A,Panel A - 2 Visits,YES,T01,MASUKU,RG02,1,ACRE,1.02,,11,CLEAR/SUNNY
2,0557-001,PANEL A,Panel A - 2 Visits,YES,T02,ORANGE,RG02,1,ACRE,1.02,,11,CLEAR/SUNNY
3,0557-001,PANEL A,Panel A - 2 Visits,YES,T03,BANANA,RG02,1,ACRE,1.02,,11,CLEAR/SUNNY
1,0558-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0559-001,PANEL A,Panel A - 2 Visits,YES,T01,ORANGE,RG01,.5,ACRE,1,,12,CLEAR/SUNNY
1,0559-003,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0559-004,PANEL A,Panel A - Combined Visit,NO,,,,,,,,,
1,0560-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0561-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG02,1,ACRE,1.14,,11,PARTLY CLOUDY/PARTLY SUNNY
2,0561-001,PANEL A,Panel A - 2 Visits,YES,T02,MASUKU,RG02,1,ACRE,1.14,,11,PARTLY CLOUDY/PARTLY SUNNY
3,0561-001,PANEL A,Panel A - 2 Visits,YES,T03,ORANGE,RG02,1,ACRE,1.14,,11,PARTLY CLOUDY/PARTLY SUNNY
4,0561-001,PANEL A,Panel A - 2 Visits,YES,T04,BANANA,RG02,1,ACRE,1.14,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0562-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0563-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0564-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0564-003,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0564-004,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0565-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0566-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0567-001,PANEL A,Panel A - 2 Visits,YES,T01,PAPAYA,TG01,,,,,,
1,0568-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,TG01,1,ACRE,.23,,11,CLEAR/SUNNY
1,0569-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,TG01,.25,ACRE,.25999999,,10,CLEAR/SUNNY
2,0569-001,PANEL A,Panel A - 2 Visits,YES,T02,MANGO,RG01,2,ACRE,1.34,,11,CLEAR/SUNNY
1,0570-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0571-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,.5,ACRE,.30000001,,12,MOSTLY CLEAR/MOSTLY SUNNY
1,0572-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0573-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0574-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0574-004,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG02,.5,ACRE,1.1,,6,PARTLY CLOUDY/PARTLY SUNNY
1,0575-002,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0576-001,PANEL B,Panel B - 2 Visits,YES,T01,BANANA,RG02,.5,ACRE,1.21,,11,CLEAR/SUNNY
1,0577-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,1.5,ACRE,1.6900001,,10,PARTLY CLOUDY/PARTLY SUNNY
2,0577-001,PANEL A,Panel A - 2 Visits,YES,T02,BANANA,RG01,1.5,ACRE,1.6900001,,10,PARTLY CLOUDY/PARTLY SUNNY
3,0577-001,PANEL A,Panel A - 2 Visits,YES,T03,PAWPAW,RG01,1.5,ACRE,1.6900001,,10,PARTLY CLOUDY/PARTLY SUNNY
1,0578-001,PANEL B,Panel B - 2 Visits,YES,T01,BANANA,RG01,2.3,ACRE,2.3,,6,CLEAR/SUNNY
2,0578-001,PANEL B,Panel B - 2 Visits,YES,T02,MANGO,RG01,2.3,ACRE,2.3,,6,CLEAR/SUNNY
1,0579-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0580-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0581-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,2,ACRE,1.8099999,,11,MOSTLY CLEAR/MOSTLY SUNNY
1,0582-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0583-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0584-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0585-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0586-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0587-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0588-001,PANEL B,Panel B - 2 Visits,YES,T01,ORANGE,RG01,1,ACRE,.69999999,,6,CLEAR/SUNNY
2,0588-001,PANEL B,Panel B - 2 Visits,YES,T02,BANANA,RG01,1,ACRE,.69999999,,6,CLEAR/SUNNY
1,0589-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0590-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0591-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,1.5,ACRE,1.64,,6,MOSTLY CLEAR/MOSTLY SUNNY
1,0592-005,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0594-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0595-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,.75,ACRE,.99000001,,6,MOSTLY CLEAR/MOSTLY SUNNY
1,0596-001,PANEL B,Panel B - 2 Visits,YES,T01,ORANGES,RG01,.30000001,ACRE,.050000001,,12,CLEAR/SUNNY
1,0597-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0598-001,PANEL B,Panel B - 2 Visits,YES,T01,BANANA,RG01,.5,ACRE,.25,,10,CLEAR/SUNNY
1,0599-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0599-003,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0599-004,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0600-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0602-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0603-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0604-001,PANEL B,Panel B - 2 Visits,YES,T01,BANANA,RG01,.25,ACRE,.50999999,,11,CLEAR/SUNNY
1,0605-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,.1,ACRE,2.0699999,,6,MOSTLY CLEAR/MOSTLY SUNNY
1,0606-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0606-004,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0607-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0608-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,TG01,1,ACRE,1.2,,10,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
1,0609-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0613-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0613-004,PANEL A,Panel A - Combined Visit,YES,T01,MANGO,RG01,2,ACRE,1.7,,12,CLEAR/SUNNY
1,0614-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0616-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0621-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,.5,ACRE,.89999998,,12,CLEAR/SUNNY
2,0621-001,PANEL A,Panel A - 2 Visits,YES,T02,PAPAYA,RG01,.5,ACRE,.89999998,,12,CLEAR/SUNNY
3,0621-001,PANEL A,Panel A - 2 Visits,YES,T03,AVOCADO,RG02,6,ACRE,.40000001,,12,CLEAR/SUNNY
4,0621-001,PANEL A,Panel A - 2 Visits,YES,T04,GUAVA,RG02,6,ACRE,.40000001,,12,CLEAR/SUNNY
5,0621-001,PANEL A,Panel A - 2 Visits,YES,T05,LEMON,RG02,6,ACRE,.40000001,,12,CLEAR/SUNNY
1,0623-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0624-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0626-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0628-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0628-008,PANEL B,Panel B - 2 Visits,YES,T01,AVOCADO,TG01,,,,OTHER (SPECIFY),,
1,0630-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0632-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0632-005,PANEL B,Panel B - Combined Visit,NO,,,,,,,,,
1,0635-002,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0644-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0646-002,PANEL B,Panel B - Combined Visit,YES,T01,CASSAVA,TG01,1,ACRE,.63,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0650-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0652-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,
1,0657-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0658-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,
1,0660-001,PANEL B,Panel B - Combined Visit,NO,,,,,,,,,
1,0660-003,PANEL B,Panel B - 2 Visits,,,,,,,,,,
1,0666-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0668-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,
1,0672-001,PANEL B,Panel B - 2 Visits,YES,T01,PAPAYA,TG01,.1,SQUARE METERS,.25999999,,9,MOSTLY CLEAR/MOSTLY SUNNY
1,0672-004,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,TG01,1,ACRE,1.02,,11,MOSTLY CLEAR/MOSTLY SUNNY
1,0675-001,PANEL A,Panel A - 2 Visits,YES,T01,PAPAYA,TG01,,,,OTHER (SPECIFY),,MOSTLY CLEAR/MOSTLY SUNNY
2,0675-001,PANEL A,Panel A - 2 Visits,YES,T02,LEMON,TG02,,,,OTHER (SPECIFY),,MOSTLY CLEAR/MOSTLY SUNNY
1,0676-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0677-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0679-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0679-007,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0682-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0682-004,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0684-005,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG02,1,ACRE,1.1,,11,CLEAR/SUNNY
1,0685-004,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,TG01,.5,ACRE,.34,,8,CLEAR/SUNNY
2,0685-004,PANEL A,Panel A - 2 Visits,YES,T02,CASSAVA,TG02,.5,ACRE,.25,,9,CLEAR/SUNNY
1,0685-005,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,TG01,2,ACRE,2.25,,7,CLEAR/SUNNY
2,0685-005,PANEL A,Panel A - 2 Visits,YES,T02,MANGO,TG02,2,ACRE,2.25,,7,CLEAR/SUNNY
3,0685-005,PANEL A,Panel A - 2 Visits,YES,T03,PAWPAW,TG03,2,ACRE,2.25,,7,CLEAR/SUNNY
1,0686-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0687-003,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0690-001,PANEL B,Panel B - 2 Visits,YES,T01,AVOCADO,TG01,.1,SQUARE METERS,.31,,5,MOSTLY CLEAR/MOSTLY SUNNY
1,0692-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0696-002,PANEL B,Panel B - Combined Visit,YES,T01,MANGO,TG01,.0099999998,ACRE,0,,11,CLEAR/SUNNY
2,0696-002,PANEL B,Panel B - Combined Visit,YES,T02,LEMON,TG01,.0099999998,ACRE,0,,11,CLEAR/SUNNY
3,0696-002,PANEL B,Panel B - Combined Visit,YES,T03,ORANGE,TG01,.0099999998,ACRE,0,,11,CLEAR/SUNNY
4,0696-002,PANEL B,Panel B - Combined Visit,YES,T04,PAWPAW,TG01,.0099999998,ACRE,0,,11,CLEAR/SUNNY
1,0696-006,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,TG01,.1,ACRE,.029999999,,13,CLEAR/SUNNY
1,0699-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,
1,0700-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0701-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0701-003,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA GARDEN,RG02,.5,ACRE,.30000001,,10,CLEAR/SUNNY
1,0707-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0710-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,
1,0714-002,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0714-003,PANEL B,Panel B - Combined Visit,NO,,,,,,,,,
1,0719-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0720-002,PANEL B,Panel B - Combined Visit,NO,,,,,,,,,
1,0721-004,PANEL A,Panel A - Combined Visit,NO,,,,,,,,,
1,0725-006,PANEL A,Panel A - Combined Visit,NO,,,,,,,,,
1,0726-002,PANEL B,Panel B - Combined Visit,NO,,,,,,,,,
1,0727-005,PANEL A,Panel A - Combined Visit,NO,,,,,,,,,
1,0729-003,PANEL A,Panel A - 2 Visits,,,,,,,,,,
1,0733-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0734-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0736-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0737-008,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,2.5,ACRE,2.4200001,,12,CLEAR/SUNNY
1,0743-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,TG01,,,,OTHER (SPECIFY),,
2,0743-001,PANEL A,Panel A - 2 Visits,YES,T02,AVOCADO,TG02,,,,OTHER (SPECIFY),,PARTLY CLOUDY/PARTLY SUNNY
1,0744-001,PANEL B,Panel B - 2 Visits,YES,T01,PAWPAW,RG01,.5,ACRE,.0099999998,,8,CLEAR/SUNNY
2,0744-001,PANEL B,Panel B - 2 Visits,YES,T02,AVOCADO,RG01,.5,ACRE,.0099999998,,8,CLEAR/SUNNY
