occ,y2_hhid,qx_type,interview_status,hh_i01,hh_i02,hh_i03
3,0696-006,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0696-006,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0696-006,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,0696-006,PANEL B,Panel B - 2 Visits,YES,NEWSPAPERS OR MAGAZINES,270
7,0696-006,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0696-006,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0696-006,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0697-001,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,500
2,0697-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0697-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0697-001,PANEL A,Panel A - 2 Visits,YES,CANDLES,70
5,0697-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0697-001,PANEL A,Panel A - 2 Visits,YES,NEWSPAPERS OR MAGAZINES,200
7,0697-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,200
8,0697-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,2500
9,0697-001,PANEL A,Panel A - 2 Visits,YES,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",1200
1,0698-001,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,300
2,0698-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0698-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0698-001,PANEL B,Panel B - 2 Visits,YES,CANDLES,60
5,0698-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,0698-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0698-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,450
8,0698-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0698-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0699-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0699-001,PANEL A,Panel A - 2 Visits,YES,PARAFFIN OR KEROSENE,50
3,0699-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0699-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0699-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0699-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0699-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0699-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0699-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0700-001,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,700
2,0700-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0700-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0700-001,PANEL B,Panel B - 2 Visits,YES,CANDLES,300
5,0700-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,0700-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0700-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,360
8,0700-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,1200
9,0700-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0701-001,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,1000
2,0701-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0701-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0701-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0701-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,40
6,0701-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0701-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0701-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0701-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0701-003,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0701-003,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0701-003,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0701-003,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0701-003,PANEL A,Panel A - 2 Visits,YES,MATCHES,80
6,0701-003,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0701-003,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0701-003,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0701-003,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0702-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0702-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0702-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0702-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0702-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,25
6,0702-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0702-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0702-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0702-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0703-004,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,1500
2,0703-004,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0703-004,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0703-004,PANEL A,Panel A - 2 Visits,YES,CANDLES,300
5,0703-004,PANEL A,Panel A - 2 Visits,YES,MATCHES,40
6,0703-004,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0703-004,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,200
8,0703-004,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0703-004,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0704-001,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,100
2,0704-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0704-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0704-001,PANEL B,Panel B - 2 Visits,YES,CANDLES,280
5,0704-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,60
6,0704-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0704-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,100
8,0704-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0704-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0705-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0705-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0705-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0705-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0705-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,30
6,0705-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0705-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0705-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0705-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0705-003,PANEL A,Panel A - Only Visit 1,NO,CHARCOAL,
2,0705-003,PANEL A,Panel A - Only Visit 1,NO,PARAFFIN OR KEROSENE,
3,0705-003,PANEL A,Panel A - Only Visit 1,NO,CIGARETTES OR OTHER TOBACCO,
4,0705-003,PANEL A,Panel A - Only Visit 1,YES,CANDLES,120
5,0705-003,PANEL A,Panel A - Only Visit 1,YES,MATCHES,25
6,0705-003,PANEL A,Panel A - Only Visit 1,NO,NEWSPAPERS OR MAGAZINES,
7,0705-003,PANEL A,Panel A - Only Visit 1,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0705-003,PANEL A,Panel A - Only Visit 1,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0705-003,PANEL A,Panel A - Only Visit 1,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0705-005,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0705-005,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0705-005,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0705-005,PANEL A,Panel A - 2 Visits,YES,CANDLES,80
5,0705-005,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0705-005,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0705-005,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0705-005,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0705-005,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0706-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0706-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0706-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0706-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0706-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,25
6,0706-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0706-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0706-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,3000
9,0706-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0707-001,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,200
2,0707-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0707-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0707-001,PANEL A,Panel A - 2 Visits,YES,CANDLES,370
5,0707-001,PANEL A,Panel A - 2 Visits,NO,MATCHES,
6,0707-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0707-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0707-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,800
9,0707-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0708-001,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,300
2,0708-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0708-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0708-001,PANEL B,Panel B - 2 Visits,YES,CANDLES,100
5,0708-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,25
6,0708-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0708-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,400
8,0708-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,1600
9,0708-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0709-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0709-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0709-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0709-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0709-001,PANEL A,Panel A - 2 Visits,NO,MATCHES,
6,0709-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0709-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0709-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0709-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0709-005,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,350
2,0709-005,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0709-005,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0709-005,PANEL A,Panel A - 2 Visits,YES,CANDLES,180
5,0709-005,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0709-005,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0709-005,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0709-005,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,2000
9,0709-005,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0710-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0710-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0710-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0710-001,PANEL B,Panel B - 2 Visits,YES,CANDLES,180
5,0710-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,50
6,0710-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0710-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,300
8,0710-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0710-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0711-001,PANEL A,Panel A - Combined Visit,YES,CHARCOAL,500
2,0711-001,PANEL A,Panel A - Combined Visit,NO,PARAFFIN OR KEROSENE,
3,0711-001,PANEL A,Panel A - Combined Visit,NO,CIGARETTES OR OTHER TOBACCO,
4,0711-001,PANEL A,Panel A - Combined Visit,NO,CANDLES,
5,0711-001,PANEL A,Panel A - Combined Visit,YES,MATCHES,20
6,0711-001,PANEL A,Panel A - Combined Visit,NO,NEWSPAPERS OR MAGAZINES,
7,0711-001,PANEL A,Panel A - Combined Visit,YES,PUBLIC TRANSPORT - BICYCLE TAXI,300
8,0711-001,PANEL A,Panel A - Combined Visit,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0711-001,PANEL A,Panel A - Combined Visit,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0711-002,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,200
2,0711-002,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0711-002,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0711-002,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0711-002,PANEL A,Panel A - 2 Visits,NO,MATCHES,
6,0711-002,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0711-002,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0711-002,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0711-002,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0712-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0712-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0712-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0712-001,PANEL B,Panel B - 2 Visits,YES,CANDLES,160
5,0712-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,0712-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0712-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0712-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0712-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0713-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0713-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0713-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0713-001,PANEL A,Panel A - 2 Visits,YES,CANDLES,200
5,0713-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,30
6,0713-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0713-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,300
8,0713-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0713-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0714-002,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0714-002,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0714-002,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0714-002,PANEL B,Panel B - 2 Visits,YES,CANDLES,210
5,0714-002,PANEL B,Panel B - 2 Visits,YES,MATCHES,60
6,0714-002,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0714-002,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0714-002,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0714-002,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0714-003,PANEL B,Panel B - Combined Visit,NO,CHARCOAL,
2,0714-003,PANEL B,Panel B - Combined Visit,NO,PARAFFIN OR KEROSENE,
3,0714-003,PANEL B,Panel B - Combined Visit,NO,CIGARETTES OR OTHER TOBACCO,
4,0714-003,PANEL B,Panel B - Combined Visit,NO,CANDLES,
5,0714-003,PANEL B,Panel B - Combined Visit,NO,MATCHES,
6,0714-003,PANEL B,Panel B - Combined Visit,NO,NEWSPAPERS OR MAGAZINES,
7,0714-003,PANEL B,Panel B - Combined Visit,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0714-003,PANEL B,Panel B - Combined Visit,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0714-003,PANEL B,Panel B - Combined Visit,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0715-001,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,300
2,0715-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0715-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0715-001,PANEL A,Panel A - 2 Visits,YES,CANDLES,60
5,0715-001,PANEL A,Panel A - 2 Visits,NO,MATCHES,
6,0715-001,PANEL A,Panel A - 2 Visits,YES,NEWSPAPERS OR MAGAZINES,280
7,0715-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,600
8,0715-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,2500
9,0715-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0716-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0716-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0716-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0716-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0716-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,25
6,0716-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0716-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,400
8,0716-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0716-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0717-001,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,200
2,0717-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0717-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0717-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0717-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,30
6,0717-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0717-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0717-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,350
9,0717-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0718-001,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,250
2,0718-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0718-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0718-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0718-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,40
6,0718-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0718-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0718-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0718-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0719-001,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,100
2,0719-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0719-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0719-001,PANEL A,Panel A - 2 Visits,YES,CANDLES,250
5,0719-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,90
6,0719-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0719-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,700
8,0719-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0719-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0719-009,PANEL A,Panel A - Combined Visit,NO,CHARCOAL,
2,0719-009,PANEL A,Panel A - Combined Visit,NO,PARAFFIN OR KEROSENE,
3,0719-009,PANEL A,Panel A - Combined Visit,NO,CIGARETTES OR OTHER TOBACCO,
4,0719-009,PANEL A,Panel A - Combined Visit,NO,CANDLES,
5,0719-009,PANEL A,Panel A - Combined Visit,YES,MATCHES,20
6,0719-009,PANEL A,Panel A - Combined Visit,NO,NEWSPAPERS OR MAGAZINES,
7,0719-009,PANEL A,Panel A - Combined Visit,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0719-009,PANEL A,Panel A - Combined Visit,YES,PUBLIC TRANSPORT - BUS / MINIBUS,600
9,0719-009,PANEL A,Panel A - Combined Visit,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0720-002,PANEL B,Panel B - Combined Visit,NO,CHARCOAL,
2,0720-002,PANEL B,Panel B - Combined Visit,NO,PARAFFIN OR KEROSENE,
3,0720-002,PANEL B,Panel B - Combined Visit,NO,CIGARETTES OR OTHER TOBACCO,
4,0720-002,PANEL B,Panel B - Combined Visit,NO,CANDLES,
5,0720-002,PANEL B,Panel B - Combined Visit,YES,MATCHES,40
6,0720-002,PANEL B,Panel B - Combined Visit,NO,NEWSPAPERS OR MAGAZINES,
7,0720-002,PANEL B,Panel B - Combined Visit,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0720-002,PANEL B,Panel B - Combined Visit,YES,PUBLIC TRANSPORT - BUS / MINIBUS,800
9,0720-002,PANEL B,Panel B - Combined Visit,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0721-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0721-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0721-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0721-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0721-001,PANEL A,Panel A - 2 Visits,NO,MATCHES,
6,0721-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0721-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,400
8,0721-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
