occ,y2_hhid,qx_type,interview_status,ag_t0a,ag_t01,ag_t02
1,0753-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,0753-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,0753-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,NO,
4,0753-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,0753-001,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,0753-001,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,0753-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0753-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0753-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,0753-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,0753-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0753-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
13,0753-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0753-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0754-001,PANEL B,Panel B - Combined Visit,NEW SEED VARIETIES,NO,
2,0754-001,PANEL B,Panel B - Combined Visit,PEST CONTROL,NO,
3,0754-001,PANEL B,Panel B - Combined Visit,FERTILIZER USE,NO,
4,0754-001,PANEL B,Panel B - Combined Visit,PIT PLANTING,NO,
5,0754-001,PANEL B,Panel B - Combined Visit,IRRIGATION,NO,
6,0754-001,PANEL B,Panel B - Combined Visit,COMPOSTING,NO,
7,0754-001,PANEL B,Panel B - Combined Visit,MARKETING/CROP SALES,NO,
8,0754-001,PANEL B,Panel B - Combined Visit,GROWING/SELLING TOBACCO,NO,
9,0754-001,PANEL B,Panel B - Combined Visit,ACCESS TO CREDIT,NO,
10,0754-001,PANEL B,Panel B - Combined Visit,FORESTRY,NO,
11,0754-001,PANEL B,Panel B - Combined Visit,GENERAL ANIMAL CARE,NO,
12,0754-001,PANEL B,Panel B - Combined Visit,ANIMAL DISEASES / VACCINATION,NO,
13,0754-001,PANEL B,Panel B - Combined Visit,FISHERY PRODUCTION,NO,
14,0754-001,PANEL B,Panel B - Combined Visit,OTHER (SPECIFY),NO,
1,0755-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,0755-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,0755-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,NO,
4,0755-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,0755-001,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,0755-001,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,0755-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0755-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0755-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,0755-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,0755-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0755-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
13,0755-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0755-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0756-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,0756-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,0756-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
4,0756-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0756-001,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0756-001,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0756-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0756-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0756-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0756-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0756-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0756-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0756-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0756-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0758-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,0758-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,0758-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
4,0758-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0758-001,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0758-001,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0758-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0758-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0758-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0758-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0758-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0758-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0758-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0758-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0759-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,0759-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,0759-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,NO,
4,0759-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,0759-001,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,0759-001,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,0759-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0759-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0759-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,0759-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,0759-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0759-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
13,0759-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0759-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0759-004,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,0759-004,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,0759-004,PANEL A,Panel A - 2 Visits,FERTILIZER USE,NO,
4,0759-004,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,0759-004,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,0759-004,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,0759-004,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0759-004,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0759-004,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,0759-004,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,0759-004,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0759-004,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
13,0759-004,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0759-004,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0759-005,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,0759-005,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,0759-005,PANEL A,Panel A - 2 Visits,FERTILIZER USE,NO,
4,0759-005,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,0759-005,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,0759-005,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,0759-005,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0759-005,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0759-005,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,0759-005,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,0759-005,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0759-005,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0759-005,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0759-005,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0759-008,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
2,0759-008,PANEL A,Panel A - 2 Visits,PEST CONTROL,YES,GOV. AGRICULTURAL EXTENSION SERVICE
3,0759-008,PANEL A,Panel A - 2 Visits,FERTILIZER USE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
4,0759-008,PANEL A,Panel A - 2 Visits,PIT PLANTING,YES,GOV. AGRICULTURAL EXTENSION SERVICE
5,0759-008,PANEL A,Panel A - 2 Visits,IRRIGATION,YES,GOV. AGRICULTURAL EXTENSION SERVICE
6,0759-008,PANEL A,Panel A - 2 Visits,COMPOSTING,YES,GOV. AGRICULTURAL EXTENSION SERVICE
7,0759-008,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
8,0759-008,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,YES,GOV. AGRICULTURAL EXTENSION SERVICE
9,0759-008,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,YES,GOV. AGRICULTURAL EXTENSION SERVICE
10,0759-008,PANEL A,Panel A - 2 Visits,FORESTRY,YES,GOV. AGRICULTURAL EXTENSION SERVICE
11,0759-008,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
12,0759-008,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,YES,GOV. AGRICULTURAL EXTENSION SERVICE
13,0759-008,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,YES,GOV. AGRICULTURAL EXTENSION SERVICE
14,0759-008,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0760-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,0760-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,0760-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
4,0760-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0760-001,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0760-001,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0760-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0760-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0760-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0760-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0760-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0760-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0760-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0760-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0760-002,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,0760-002,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,0760-002,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
4,0760-002,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0760-002,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0760-002,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0760-002,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0760-002,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0760-002,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0760-002,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0760-002,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0760-002,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0760-002,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0760-002,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0761-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,0761-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,0761-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,NO,
4,0761-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,0761-001,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,0761-001,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,0761-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0761-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0761-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,0761-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,0761-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0761-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
13,0761-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0761-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0762-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,0762-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,0762-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
4,0762-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0762-001,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0762-001,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0762-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0762-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0762-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0762-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0762-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0762-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0762-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0762-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0763-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,0763-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,0763-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,NO,
4,0763-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,0763-001,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,0763-001,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,0763-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0763-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0763-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,0763-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,0763-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0763-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
13,0763-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0763-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0764-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,0764-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,0764-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
4,0764-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
5,0764-001,PANEL B,Panel B - 2 Visits,IRRIGATION,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
6,0764-001,PANEL B,Panel B - 2 Visits,COMPOSTING,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
7,0764-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
8,0764-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,YES,"ELECTRONIC MEDIA (TV, RADIO, ETC…)"
9,0764-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0764-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0764-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0764-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0764-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0764-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0764-003,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,0764-003,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,0764-003,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
4,0764-003,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0764-003,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0764-003,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0764-003,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0764-003,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0764-003,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0764-003,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0764-003,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0764-003,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0764-003,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0764-003,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0765-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,0765-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,0765-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,NO,
4,0765-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,0765-001,PANEL A,Panel A - 2 Visits,IRRIGATION,YES,GOV. AGRICULTURAL EXTENSION SERVICE
6,0765-001,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,0765-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0765-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0765-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,0765-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,0765-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0765-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
13,0765-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0765-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0766-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,YES,NGO
2,0766-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,0766-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
4,0766-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0766-001,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0766-001,PANEL B,Panel B - 2 Visits,COMPOSTING,YES,NGO
7,0766-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0766-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0766-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,YES,NGO
10,0766-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0766-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0766-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0766-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0766-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0766-003,PANEL B,Panel B - Combined Visit,NEW SEED VARIETIES,YES,NGO
2,0766-003,PANEL B,Panel B - Combined Visit,PEST CONTROL,NO,
3,0766-003,PANEL B,Panel B - Combined Visit,FERTILIZER USE,NO,
4,0766-003,PANEL B,Panel B - Combined Visit,PIT PLANTING,NO,
5,0766-003,PANEL B,Panel B - Combined Visit,IRRIGATION,NO,
6,0766-003,PANEL B,Panel B - Combined Visit,COMPOSTING,YES,NGO
7,0766-003,PANEL B,Panel B - Combined Visit,MARKETING/CROP SALES,NO,
8,0766-003,PANEL B,Panel B - Combined Visit,GROWING/SELLING TOBACCO,NO,
9,0766-003,PANEL B,Panel B - Combined Visit,ACCESS TO CREDIT,NO,
10,0766-003,PANEL B,Panel B - Combined Visit,FORESTRY,NO,
11,0766-003,PANEL B,Panel B - Combined Visit,GENERAL ANIMAL CARE,NO,
12,0766-003,PANEL B,Panel B - Combined Visit,ANIMAL DISEASES / VACCINATION,NO,
13,0766-003,PANEL B,Panel B - Combined Visit,FISHERY PRODUCTION,NO,
14,0766-003,PANEL B,Panel B - Combined Visit,OTHER (SPECIFY),NO,
1,0767-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,0767-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,0767-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,NO,
4,0767-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,0767-001,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,0767-001,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,0767-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0767-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0767-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,0767-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,0767-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0767-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
13,0767-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0767-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0768-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
2,0768-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,YES,GOV. AGRICULTURAL EXTENSION SERVICE
3,0768-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
4,0768-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0768-001,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0768-001,PANEL B,Panel B - 2 Visits,COMPOSTING,YES,GOV. AGRICULTURAL EXTENSION SERVICE
7,0768-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,YES,PRIVATE AGRICULTURAL EXTENSION SERVICE
8,0768-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,YES,PRIVATE AGRICULTURAL EXTENSION SERVICE
9,0768-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,YES,GOV. AGRICULTURAL EXTENSION SERVICE
10,0768-001,PANEL B,Panel B - 2 Visits,FORESTRY,YES,GOV. AGRICULTURAL EXTENSION SERVICE
11,0768-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
12,0768-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,YES,GOV. AGRICULTURAL EXTENSION SERVICE
13,0768-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,YES,PRIVATE AGRICULTURAL EXTENSION SERVICE
14,0768-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),YES,PRIVATE AGRICULTURAL EXTENSION SERVICE
1,0769-004,PANEL A,Panel A - Combined Visit,NEW SEED VARIETIES,NO,
2,0769-004,PANEL A,Panel A - Combined Visit,PEST CONTROL,NO,
3,0769-004,PANEL A,Panel A - Combined Visit,FERTILIZER USE,NO,
4,0769-004,PANEL A,Panel A - Combined Visit,PIT PLANTING,NO,
5,0769-004,PANEL A,Panel A - Combined Visit,IRRIGATION,NO,
6,0769-004,PANEL A,Panel A - Combined Visit,COMPOSTING,NO,
7,0769-004,PANEL A,Panel A - Combined Visit,MARKETING/CROP SALES,NO,
8,0769-004,PANEL A,Panel A - Combined Visit,GROWING/SELLING TOBACCO,NO,
9,0769-004,PANEL A,Panel A - Combined Visit,ACCESS TO CREDIT,NO,
10,0769-004,PANEL A,Panel A - Combined Visit,FORESTRY,NO,
11,0769-004,PANEL A,Panel A - Combined Visit,GENERAL ANIMAL CARE,NO,
12,0769-004,PANEL A,Panel A - Combined Visit,ANIMAL DISEASES / VACCINATION,NO,
13,0769-004,PANEL A,Panel A - Combined Visit,FISHERY PRODUCTION,NO,
14,0769-004,PANEL A,Panel A - Combined Visit,OTHER (SPECIFY),NO,
1,0770-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,0770-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,0770-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
4,0770-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0770-001,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0770-001,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0770-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0770-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0770-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0770-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0770-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0770-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0770-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0770-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0770-004,PANEL B,Panel B - Combined Visit,NEW SEED VARIETIES,NO,
