occ,y2_hhid,qx_type,interview_status,ag_j00,ag_j03,ag_j04_2,ag_j05a,ag_j05b,ag_j05c,ag_j06e,ag_j07,ag_j08
1,0900-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0901-001,PANEL A,Panel A - 2 Visits,D01,TANAPOSI,DG01,.0099999998,ACRE,0,,11,CLEAR/SUNNY
2,0901-001,PANEL A,Panel A - 2 Visits,D02,MAIZE,DG01,.40000001,ACRE,.13,,11,CLEAR/SUNNY
1,0902-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0903-002,PANEL A,Panel A - 2 Visits,D01,DIMBA,DG01,.15000001,ACRE,.050000001,,10,CLEAR/SUNNY
1,0904-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0904-002,PANEL B,Panel B - Combined Visit,,,,,,,,,
1,0904-006,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0905-001,PANEL A,Panel A - 2 Visits,D01,DWAZI,DG01,.30000001,ACRE,.18000001,,11,CLEAR/SUNNY
1,0906-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0906-003,PANEL B,Panel B - Combined Visit,D01,KUCHITSIME,DG01,.5,,,HOUSEHOLD REFUSED,,
1,0906-005,PANEL B,Panel B - Combined Visit,,,,,,,,,
1,0907-001,PANEL A,Panel A - 2 Visits,D01,DWAZI,DG01,1,ACRE,.38999999,,10,CLEAR/SUNNY
1,0908-001,PANEL B,Panel B - 2 Visits,D01,DIMBA,DG01,.5,ACRE,.25,,11,MOSTLY CLEAR/MOSTLY SUNNY
1,0909-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0910-001,PANEL B,Panel B - 2 Visits,D01,DIMBA,DG01,.25,ACRE,.30000001,,10,CLEAR/SUNNY
1,0911-001,PANEL A,Panel A - 2 Visits,D01,BEANS,RG05,.15000001,ACRE,.25,,10,CLEAR/SUNNY
1,0912-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0913-001,PANEL A,Panel A - 2 Visits,D01,IRISH,DG01,.2,ACRE,.1,,9,CLEAR/SUNNY
2,0913-001,PANEL A,Panel A - 2 Visits,D02,BEANS,DG01,.2,ACRE,.2,,10,CLEAR/SUNNY
1,0914-001,PANEL B,Panel B - 2 Visits,D01,DIMBA,DG01,.25,ACRE,.07,,11,CLEAR/SUNNY
1,0915-001,PANEL A,Panel A - 2 Visits,D01,BEANS,DG01,.25,ACRE,.14,,11,CLEAR/SUNNY
1,0916-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0916-007,PANEL B,Panel B - 2 Visits,D01,DIMBA,DG01,.5,ACRE,.44,,11,MOSTLY CLEAR/MOSTLY SUNNY
1,0917-002,PANEL A,Panel A - 2 Visits,D01,DIMBA,RG01,.25,ACRE,.12,,11,CLEAR/SUNNY
1,0918-001,PANEL B,Panel B - 2 Visits,D01,DIMBA,DG01,.1,ACRE,.1,,10,CLEAR/SUNNY
1,0919-001,PANEL A,Panel A - 2 Visits,D01,IRISH,DG01,.5,ACRE,.14,,11,CLEAR/SUNNY
1,0920-001,PANEL B,Panel B - 2 Visits,D01,NKHWANI,DG01,.25,ACRE,.0099999998,,11,CLEAR/SUNNY
1,0921-001,PANEL A,Panel A - 2 Visits,D01,IRISH,DG01,.25,ACRE,.059999999,,11,CLEAR/SUNNY
1,0922-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0923-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0924-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0925-001,PANEL A,Panel A - 2 Visits,D01,BEANS,DG01,.2,ACRE,.30000001,,11,CLEAR/SUNNY
2,0925-001,PANEL A,Panel A - 2 Visits,D02,IRISH,DG01,.2,ACRE,.2,,11,CLEAR/SUNNY
1,0926-001,PANEL B,Panel B - 2 Visits,D01,KUCHANJIRI,DG01,2,ACRE,.54000002,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0926-003,PANEL B,Panel B - Combined Visit,,,,,,,,,
1,0926-011,PANEL B,Panel B - Combined Visit,,,,,,,,,
1,0927-001,PANEL A,Panel A - 2 Visits,D01,IRISH POTATO,DG01,.5,ACRE,.5,,10,CLEAR/SUNNY
2,0927-001,PANEL A,Panel A - 2 Visits,D02,BEANS,DG01,.30000001,ACRE,.1,,10,CLEAR/SUNNY
3,0927-001,PANEL A,Panel A - 2 Visits,D03,TANAPOSI,DG01,.2,ACRE,.02,,10,CLEAR/SUNNY
4,0927-001,PANEL A,Panel A - 2 Visits,D04,IRISH POTATO,DG02,1,ACRE,.30000001,,10,CLEAR/SUNNY
1,0928-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0929-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0929-003,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0930-001,PANEL B,Panel B - 2 Visits,D01,MPIRU,DG01,.25,ACRE,.029999999,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0931-001,PANEL A,Panel A - 2 Visits,D01,DIMBA,DG01,.25,ACRE,.079999998,,11,CLEAR/SUNNY
1,0932-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0932-006,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0933-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0934-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0934-003,PANEL B,Panel B - Combined Visit,,,,,,,,,
1,0935-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0936-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0936-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0937-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0937-003,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0939-002,PANEL A,Panel A - 2 Visits,D01,BANGO,DG01,.1,ACRE,.1,,10,CLEAR/SUNNY
1,0940-001,PANEL B,Panel B - 2 Visits,D01,DIMBA,DG01,.15000001,ACRE,.14,,11,CLEAR/SUNNY
1,0940-003,PANEL B,Panel B - 2 Visits,D01,MPIRU,DG01,.050000001,ACRE,.0099999998,,10,MOSTLY CLEAR/MOSTLY SUNNY
2,0940-003,PANEL B,Panel B - 2 Visits,D02,TOMATO,DG01,.050000001,ACRE,.039999999,,10,MOSTLY CLEAR/MOSTLY SUNNY
3,0940-003,PANEL B,Panel B - 2 Visits,D03,BEANS,DG01,.050000001,ACRE,.02,,10,MOSTLY CLEAR/MOSTLY SUNNY
4,0940-003,PANEL B,Panel B - 2 Visits,D04,DIMBA,DG01,.1,ACRE,.16,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0940-004,PANEL B,Panel B - 2 Visits,D01,DIMBA,RG01,.12,ACRE,.050000001,,11,CLEAR/SUNNY
2,0940-004,PANEL B,Panel B - 2 Visits,D02,MAIZE,RG01,.13,ACRE,.079999998,,11,CLEAR/SUNNY
1,0940-005,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0941-001,PANEL A,Panel A - 2 Visits,D01,DIMBA,DG01,.5,ACRE,.40000001,,9,CLEAR/SUNNY
1,0942-001,PANEL B,Panel B - 2 Visits,D01,KUMAMINA,DG01,.30000001,ACRE,.2,,10,CLEAR/SUNNY
1,0943-001,PANEL A,Panel A - 2 Visits,D01,TOMATO,DG01,.25,ACRE,.07,,11,CLEAR/SUNNY
2,0943-001,PANEL A,Panel A - 2 Visits,D02,CABBAGE,DG01,.25,ACRE,.029999999,,11,CLEAR/SUNNY
1,0944-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0944-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0945-001,PANEL A,Panel A - 2 Visits,D01,DIMBA,DG01,.2,ACRE,.14,,10,CLEAR/SUNNY
1,0945-002,PANEL A,Panel A - 2 Visits,D01,MAIZE,DG01,.12,ACRE,.039999999,,11,CLEAR/SUNNY
1,0946-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0947-001,PANEL A,Panel A - Combined Visit,,,,,,,,,
1,0948-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0948-003,PANEL B,Panel B - 2 Visits,D01,MPIRU,DG01,.1,ACRE,.1,,10,PARTLY CLOUDY/PARTLY SUNNY
1,0949-001,PANEL A,Panel A - 2 Visits,D01,DIMBA,DG01,.2,ACRE,.18000001,,10,CLEAR/SUNNY
1,0949-009,PANEL A,Panel A - 2 Visits,D01,DIMBA,DG01,.25,ACRE,.18000001,,11,CLEAR/SUNNY
1,0950-001,PANEL B,Panel B - 2 Visits,D01,BEANS,DG01,.69999999,ACRE,.30000001,,11,CLEAR/SUNNY
1,0951-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0952-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0953-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0954-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0955-001,PANEL A,Panel A - 2 Visits,D01,DIMBA,DG01,.2,ACRE,.1,,11,CLEAR/SUNNY
1,0956-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0956-002,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0957-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0957-002,PANEL A,Panel A - Only Visit 1,,,,,,,,,
1,0958-002,PANEL B,Panel B - Combined Visit,D01,HYBRID RECYCLED MAIZE,DG01,.5,ACRE,.1,,12,CLEAR/SUNNY
1,0959-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0959-003,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0960-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0961-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0961-003,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0962-001,PANEL B,Panel B - 2 Visits,D01,DIMBA,DG01,.25,ACRE,0,,12,CLEAR/SUNNY
1,0963-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0964-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0965-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0966-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0967-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0968-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0969-001,PANEL A,Panel A - 2 Visits,D01,TCHESA,DG01,.30000001,ACRE,.15000001,,10,CLEAR/SUNNY
1,0970-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0971-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0972-001,PANEL B,Panel B - 2 Visits,D01,DIMBA,DG01,.2,ACRE,.62,,11,CLEAR/SUNNY
1,0972-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0973-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0974-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0975-001,PANEL A,Panel A - 2 Visits,D01,DIMBA,DG01,.25,ACRE,.15000001,,9,MOSTLY CLEAR/MOSTLY SUNNY
1,0976-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0977-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0978-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0979-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0980-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0981-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0982-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0983-002,PANEL A,Panel A - 2 Visits,D01,KUDIMBA,DG01,.2,ACRE,.1,,11,CLEAR/SUNNY
1,0984-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0985-001,PANEL A,Panel A - 2 Visits,D01,NKHWANI,DG01,.25,ACRE,.0099999998,,10,CLEAR/SUNNY
1,0986-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0987-001,PANEL A,Panel A - 2 Visits,D01,TANAPOSI,DG01,.2,ACRE,.029999999,,10,CLEAR/SUNNY
2,0987-001,PANEL A,Panel A - 2 Visits,D02,KUMUNSI,DG02,.5,ACRE,0,,10,CLEAR/SUNNY
1,0988-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0989-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0989-003,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0990-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0991-001,PANEL A,Panel A - 2 Visits,D01,DIMBA,RG02,.5,ACRE,.2,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0992-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0993-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0994-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0994-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0994-004,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0995-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0996-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0997-001,PANEL A,Panel A - 2 Visits,D01,DIMBA,DG01,.1,ACRE,.1,,10,CLEAR/SUNNY
1,0998-001,PANEL B,Panel B - 2 Visits,D01,DIMBA,DG01,1.5,ACRE,.23999999,,11,CLEAR/SUNNY
1,0999-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1000-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1001-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1002-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1003-001,PANEL A,Panel A - 2 Visits,D01,DIMBA,DG01,.25,ACRE,.20999999,,11,CLEAR/SUNNY
1,1004-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1004-003,PANEL B,Panel B - Combined Visit,,,,,,,,,
1,1005-001,PANEL A,Panel A - 2 Visits,D01,DIMBA,DG01,.25,ACRE,.44,,11,CLEAR/SUNNY
2,1005-001,PANEL A,Panel A - 2 Visits,D02,DIMBA,DG02,.2,ACRE,.090000004,,11,CLEAR/SUNNY
1,1006-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1007-001,PANEL A,Panel A - 2 Visits,D01,MAIZE,DG01,.25,ACRE,.050000001,,12,CLEAR/SUNNY
1,1007-003,PANEL A,Panel A - 2 Visits,D01,MAIZE,DG01,.25,ACRE,.5,,13,CLEAR/SUNNY
1,1008-001,PANEL B,Panel B - 2 Visits,D01,NKHWANI,DG01,.039999999,ACRE,.02,,10,CLEAR/SUNNY
2,1008-001,PANEL B,Panel B - 2 Visits,D02,TOMATO,DG01,.029999999,ACRE,.0099999998,,10,CLEAR/SUNNY
3,1008-001,PANEL B,Panel B - 2 Visits,D03,S/POTATO,DG01,.029999999,ACRE,.0099999998,,10,CLEAR/SUNNY
1,1009-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1010-001,PANEL B,Panel B - 2 Visits,D01,DIMBA,DG01,.2,ACRE,.1,,11,CLEAR/SUNNY
1,1011-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1012-001,PANEL B,Panel B - 2 Visits,D01,MAIZE,DG01,.039999999,ACRE,.039999999,,10,CLEAR/SUNNY
2,1012-001,PANEL B,Panel B - 2 Visits,D02,MPIRU,DG01,.029999999,ACRE,.02,,11,CLEAR/SUNNY
1,1013-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1014-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1015-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1016-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1017-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1018-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1018-002,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1019-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1020-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1020-003,PANEL B,Panel B - Combined Visit,,,,,,,,,
1,1021-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1022-001,PANEL B,Panel B - 2 Visits,D01,MTSUKANTHANGA,DG01,.5,ACRE,.2,,10,CLEAR/SUNNY
1,1022-003,PANEL B,Panel B - 2 Visits,D01,TANAPOSI,DG01,.15000001,ACRE,.0099999998,,11,PARTLY CLOUDY/PARTLY SUNNY
2,1022-003,PANEL B,Panel B - 2 Visits,D02,HYBRID MAIZE,DG01,.1,ACRE,.1,,11,PARTLY CLOUDY/PARTLY SUNNY
1,1023-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1024-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1025-001,PANEL A,Panel A - 2 Visits,D01,DIMBA,DG01,.25,ACRE,.13,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,1025-003,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1026-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1026-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1027-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1028-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1029-001,PANEL A,Panel A - 2 Visits,D01,DIMBA,DG01,.25,ACRE,.17,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,1030-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1030-003,PANEL B,Panel B - Combined Visit,D01,MTSUKANTHANGA,DG01,.5,ACRE,.2,,10,CLEAR/SUNNY
1,1031-001,PANEL A,Panel A - 2 Visits,D01,SUGARCANE,DG01,.2,ACRE,.1,,10,CLEAR/SUNNY
1,1032-001,PANEL B,Panel B - 2 Visits,D01,TOMATO,DG01,.25,ACRE,.02,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,1033-001,PANEL A,Panel A - 2 Visits,D01,KASANGADZI,DG01,.40000001,ACRE,0,,12,CLEAR/SUNNY
1,1034-002,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1035-001,PANEL A,Panel A - 2 Visits,D01,LOCAL MAIZE,DG01,.69999999,ACRE,.029999999,,12,CLEAR/SUNNY
2,1035-001,PANEL A,Panel A - 2 Visits,D02,MPILU,DG01,.30000001,ACRE,.0099999998,,12,CLEAR/SUNNY
3,1035-001,PANEL A,Panel A - 2 Visits,D03,TOMATO,DG01,.2,ACRE,.1,,12,CLEAR/SUNNY
1,1036-001,PANEL B,Panel B - 2 Visits,D01,DIMBA,DG01,.2,ACRE,.029999999,,11,CLEAR/SUNNY
1,1036-007,PANEL B,Panel B - 2 Visits,D01,DIMBA,DG01,.2,ACRE,,,,
1,1037-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1038-001,PANEL B,Panel B - 2 Visits,D01,MPIRU,DG01,.0099999998,ACRE,0,,10,CLEAR/SUNNY
2,1038-001,PANEL B,Panel B - 2 Visits,D02,IRISH,DG01,.02,ACRE,.02,,10,CLEAR/SUNNY
1,1039-001,PANEL A,Panel A - 2 Visits,D01,KUDIMBA,DG01,.25,ACRE,.059999999,,11,MOSTLY CLEAR/MOSTLY SUNNY
1,1040-001,PANEL B,Panel B - 2 Visits,D01,NKHWANI,DG01,.0099999998,ACRE,.02,,12,MOSTLY CLEAR/MOSTLY SUNNY
2,1040-001,PANEL B,Panel B - 2 Visits,D02,BEANS,DG01,.15000001,ACRE,.0099999998,,12,MOSTLY CLEAR/MOSTLY SUNNY
3,1040-001,PANEL B,Panel B - 2 Visits,D03,TANAPOSI,DG01,.25,ACRE,.02,,12,MOSTLY CLEAR/MOSTLY SUNNY
1,1041-001,PANEL A,Panel A - 2 Visits,D01,BEANS,DG01,.1,ACRE,.039999999,,11,MOSTLY CLEAR/MOSTLY SUNNY
2,1041-001,PANEL A,Panel A - 2 Visits,D02,TOMATO,DG01,.1,ACRE,.02,,11,MOSTLY CLEAR/MOSTLY SUNNY
3,1041-001,PANEL A,Panel A - 2 Visits,D03,TANAPOSI,DG01,.090000004,ACRE,.029999999,,11,MOSTLY CLEAR/MOSTLY SUNNY
4,1041-001,PANEL A,Panel A - 2 Visits,D04,MAIZE,DG01,.15000001,ACRE,.14,,11,MOSTLY CLEAR/MOSTLY SUNNY
1,1042-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1042-004,PANEL B,Panel B - 2 Visits,D01,DIMBA,DG01,.2,ACRE,.2,,10,CLEAR/SUNNY
1,1043-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1044-001,PANEL B,Panel B - 2 Visits,D01,DIMBA,DG01,.5,ACRE,.20999999,,11,MOSTLY CLEAR/MOSTLY SUNNY
1,1045-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1046-001,PANEL B,Panel B - 2 Visits,D01,CABBAGE,DG01,.050000001,ACRE,.029999999,,10,PARTLY CLOUDY/PARTLY SUNNY
2,1046-001,PANEL B,Panel B - 2 Visits,D02,RAPE,DG01,.039999999,ACRE,.0099999998,,10,PARTLY CLOUDY/PARTLY SUNNY
3,1046-001,PANEL B,Panel B - 2 Visits,D03,MAIZE,DG01,.050000001,ACRE,.12,,10,PARTLY CLOUDY/PARTLY SUNNY
4,1046-001,PANEL B,Panel B - 2 Visits,D04,MPIRU,DG01,.050000001,ACRE,.039999999,,10,PARTLY CLOUDY/PARTLY SUNNY
5,1046-001,PANEL B,Panel B - 2 Visits,D05,BIRINGANYA,DG01,.050000001,ACRE,.039999999,,10,PARTLY CLOUDY/PARTLY SUNNY
6,1046-001,PANEL B,Panel B - 2 Visits,D06,IRISH,DG01,.1,ACRE,.090000004,,10,PARTLY CLOUDY/PARTLY SUNNY
7,1046-001,PANEL B,Panel B - 2 Visits,D07,RAPE,DG01,.050000001,ACRE,.039999999,,10,PARTLY CLOUDY/PARTLY SUNNY
8,1046-001,PANEL B,Panel B - 2 Visits,D08,DIMBA,DG01,.1,ACRE,.13,,10,PARTLY CLOUDY/PARTLY SUNNY
1,1046-002,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1047-001,PANEL A,Panel A - Combined Visit,D01,DIMBA,DG01,.1,,.050000001,,10,CLEAR/SUNNY
1,1048-001,PANEL B,Panel B - 2 Visits,D01,DIMBA,DG01,.25,ACRE,.23,,11,MOSTLY CLEAR/MOSTLY SUNNY
1,1049-001,PANEL A,Panel A - 2 Visits,D01,DIMBA,DG01,.15000001,ACRE,.039999999,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,1050-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1051-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1052-001,PANEL B,Panel B - 2 Visits,D01,SWEET POTATOES,DG01,.25,ACRE,.1,,11,CLEAR/SUNNY
2,1052-001,PANEL B,Panel B - 2 Visits,D02,IRISH POTATO,DG01,.25,ACRE,.039999999,,11,CLEAR/SUNNY
3,1052-001,PANEL B,Panel B - 2 Visits,D03,PEA,DG01,.25,ACRE,.0099999998,,11,CLEAR/SUNNY
1,1054-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1055-001,PANEL A,Panel A - 2 Visits,D01,KUDIMBA,DG01,.2,ACRE,.2,,10,CLEAR/SUNNY
1,1056-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1057-001,PANEL A,Panel A - 2 Visits,D01,DIMBA,DG01,.25,ACRE,.38999999,,10,CLEAR/SUNNY
1,1058-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1059-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1060-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1061-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1062-001,PANEL B,Panel B - 2 Visits,D01,MPIRU,DG01,.1,ACRE,.1,,11,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
2,1062-001,PANEL B,Panel B - 2 Visits,D02,NKHWANI,DG01,1.01,ACRE,0,,11,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
3,1062-001,PANEL B,Panel B - 2 Visits,D03,RAPE,DG01,.0099999998,ACRE,0,,11,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
4,1062-001,PANEL B,Panel B - 2 Visits,D04,OKRA,DG01,.0099999998,ACRE,0,,10,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
5,1062-001,PANEL B,Panel B - 2 Visits,D05,S/POTATO,DG01,.0099999998,ACRE,0,,11,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
6,1062-001,PANEL B,Panel B - 2 Visits,D06,TOMATO,DG01,.0099999998,ACRE,0,,11,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
7,1062-001,PANEL B,Panel B - 2 Visits,D07,BEANS,DG01,.0099999998,ACRE,0,,11,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
1,1063-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1064-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1065-001,PANEL A,Panel A - 2 Visits,D01,DIMBA,DG01,.25,ACRE,.43000001,,10,CLEAR/SUNNY
1,1066-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1066-007,PANEL B,Panel B - Combined Visit,,,,,,,,,
1,1067-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1068-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1069-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1069-003,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1070-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1070-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1071-001,PANEL A,Panel A - 2 Visits,D01,DIMBA,DG01,.2,ACRE,.30000001,,10,PARTLY CLOUDY/PARTLY SUNNY
1,1072-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1073-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1074-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1075-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1075-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1076-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1077-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1078-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1079-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1080-002,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1081-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1082-002,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1083-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1083-006,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1084-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1086-001,PANEL B,Panel B - 2 Visits,D01,S/POTATO,DG01,.12,ACRE,.11,,10,CLEAR/SUNNY
2,1086-001,PANEL B,Panel B - 2 Visits,D02,L MAIZE,DG01,.050000001,ACRE,.0099999998,,10,CLEAR/SUNNY
3,1086-001,PANEL B,Panel B - 2 Visits,D03,I/POTATO,DG01,.1,ACRE,.02,,10,CLEAR/SUNNY
1,1086-002,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1087-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1088-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1089-001,PANEL A,Panel A - Combined Visit,,,,,,,,,
1,1090-002,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1090-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
