occ,y2_hhid,qx_type,interview_status,hh_o0a,hh_o00,hh_o01_2,hh_o02,hh_o03,hh_o04,hh_o05,hh_o06,hh_o07a,hh_o07b,hh_o08a,hh_o08b,hh_o09,hh_o10a,hh_o10b,hh_o11,hh_o12,hh_o13,hh_o13_1a,hh_o13_1b,hh_o14,hh_o14_1a,hh_o14_1b,hh_o15,hh_o16,hh_o17,hh_o18a,hh_o18b
1,0792-001,PANEL B,Panel B - 2 Visits,2,YES,99,38,FEMALE,STD8,YES,1999,BLANTYRE,BLANYTYRE,14,YEAR,HOUSE WORK,,,YES,SPORADICALLY AS NEEDED,,,,10000,1,2,NO,,,,
2,0792-001,PANEL B,Panel B - 2 Visits,2,YES,99,36,FEMALE,STD8,YES,2001,KASUNGU,KASUNGU,12,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
3,0792-001,PANEL B,Panel B - 2 Visits,2,YES,99,34,FEMALE,STD8,YES,2004,KASUNGU,KASUNGU,34,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
4,0792-001,PANEL B,Panel B - 2 Visits,2,YES,99,30,FEMALE,STD6,YES,2006,KASUNGU,KASUNGU,30,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
5,0792-001,PANEL B,Panel B - 2 Visits,2,YES,99,27,FEMALE,STD8,YES,2007,KASUNGU,KASUNGU,27,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
6,0792-001,PANEL B,Panel B - 2 Visits,2,YES,3,25,MALE,STD3,YES,2012,KASUNGU,KASUNGU,1,YEAR,WORKING,BUILDER,95,YES,MONTHLY,2000,1,2,,,,NO,,,,
1,0792-003,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0793-001,PANEL A,Panel A - 2 Visits,1,YES,2,19,FEMALE,FORM2,YES,2012,KASUNGU,KASUNGU,19,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
1,0793-002,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0794-001,PANEL B,Panel B - 2 Visits,1,YES,99,16,FEMALE,STD8,YES,2010,LILONGWE,LILONGWE,3,YEAR,STUDENT,,,NO,,,,,,,,NO,,,,
1,0795-001,PANEL A,Panel A - Only Visit 1,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0796-001,PANEL B,Panel B - 2 Visits,1,YES,3,15,FEMALE,STD8,NO,,KASUNGU,KASUNGU,15,YEAR,STUDENT,,,NO,,,,,,,,NO,,,,
1,0796-002,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0797-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0798-001,PANEL B,Panel B - 2 Visits,1,YES,99,42,FEMALE,STD8,NO,,MZIMBA,MZIMBA,42,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
2,0798-001,PANEL B,Panel B - 2 Visits,1,YES,99,40,MALE,STD8,NO,,KASUNGU,KASUNGU,40,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
3,0798-001,PANEL B,Panel B - 2 Visits,1,YES,99,37,FEMALE,STD7,NO,,KASUNGU,KASUNGU,37,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,YES,SPORADICALLY AS NEEDED,2000,1,
4,0798-001,PANEL B,Panel B - 2 Visits,1,YES,99,35,FEMALE,STD6,NO,,MCHINJI,MCHINJI,20,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
5,0798-001,PANEL B,Panel B - 2 Visits,1,YES,99,34,MALE,FORM4,NO,,LILONGWE,LILONGWE,6,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
6,0798-001,PANEL B,Panel B - 2 Visits,1,YES,99,31,FEMALE,STD5,NO,,KASUNGU,KASUNGU,31,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
7,0798-001,PANEL B,Panel B - 2 Visits,1,YES,99,29,FEMALE,STD7,NO,,KASUNGU,KASUNGU,29,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,YES,SPORADICALLY AS NEEDED,1500,1,
8,0798-001,PANEL B,Panel B - 2 Visits,1,YES,99,27,FEMALE,STD7,NO,,KASUNGU,KASUNGU,27,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,YES,SPORADICALLY AS NEEDED,2000,1,
9,0798-001,PANEL B,Panel B - 2 Visits,1,YES,99,24,FEMALE,STD8,YES,2007,KASUNGU,KASUNGU,24,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
10,0798-001,PANEL B,Panel B - 2 Visits,1,YES,99,21,FEMALE,STD8,YES,2008,KASUNGU,KASUNGU,21,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
1,0799-001,PANEL A,Panel A - 2 Visits,1,YES,99,42,FEMALE,STD3,YES,1996,KASUNGU,KASUNGU,17,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
2,0799-001,PANEL A,Panel A - 2 Visits,1,YES,99,36,FEMALE,STD5,YES,2001,NKHOTAKOTA,NKHOTA KOTA,12,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
3,0799-001,PANEL A,Panel A - 2 Visits,1,YES,99,34,MALE,STD8,YES,2003,MZUZU,MZUZU CITY,10,YEAR,UNEMPLOYED,,,YES,SEMI-ANNUALLY,,,,4000,1,,YES,SEMI-ANNUALLY,3000,1,
4,0799-001,PANEL A,Panel A - 2 Visits,1,YES,99,30,MALE,STD7,YES,2004,KASUNGU,KASUNGU,9,YEAR,UNEMPLOYED,,,YES,SPORADICALLY AS NEEDED,,,,2000,1,,NO,,,,
5,0799-001,PANEL A,Panel A - 2 Visits,1,YES,99,28,FEMALE,STD2,YES,2005,NKHOTAKOTA,NKHOTA KOTA,8,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
6,0799-001,PANEL A,Panel A - 2 Visits,1,YES,99,25,MALE,STD7,YES,2009,KASUNGU,KASUNGU,25,YEAR,UNEMPLOYED,,,NO,,,,,,,,YES,TWICE OR MORE PER MONTH,6000,1,
1,0800-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0801-001,PANEL A,Panel A - 2 Visits,1,YES,99,20,FEMALE,STD5,NO,,KASUNGU,KASUNGU,20,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
2,0801-001,PANEL A,Panel A - 2 Visits,1,YES,99,18,FEMALE,STD5,NO,,KASUNGU,KASUNGU,18,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
3,0801-001,PANEL A,Panel A - 2 Visits,1,YES,99,16,FEMALE,STD5,NO,,KASUNGU,KASUNGU,16,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
1,0802-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0802-003,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0803-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0804-001,PANEL B,Panel B - 2 Visits,1,YES,99,26,MALE,STD8,YES,2008,KASUNGU,KASUNGU,5,MONTH,WORKING,TENANT,62,YES,SPORADICALLY AS NEEDED,,,,3000,1,2,YES,SPORADICALLY AS NEEDED,6000,1,2
2,0804-001,PANEL B,Panel B - 2 Visits,1,YES,3,23,FEMALE,STD7,YES,2010,DOWA,DOWA,3,MONTH,UNEMPLOYED,,,YES,SPORADICALLY AS NEEDED,,,,1000,1,2,NO,,,,
3,0804-001,PANEL B,Panel B - 2 Visits,1,YES,2,21,MALE,STD4,YES,2010,KASUNGU,KASUNGU,3,MONTH,UNEMPLOYED,,,YES,SPORADICALLY AS NEEDED,,,,4000,1,2,NO,,,,
1,0804-002,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0804-003,PANEL B,Panel B - Combined Visit,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0805-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0806-001,PANEL B,Panel B - 2 Visits,1,YES,99,18,FEMALE,STD7,YES,2001,KASUNGU,KASUNGU,12,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
2,0806-001,PANEL B,Panel B - 2 Visits,2,YES,99,18,FEMALE,STD5,YES,2001,KASUNGU,KASUNGU,12,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
3,0806-001,PANEL B,Panel B - 2 Visits,3,YES,99,16,MALE,STD6,YES,2001,KASUNGU,KASUNGU,12,YEAR,STUDENT,,,NO,,,,,,,,NO,,,,
1,0807-001,PANEL A,Panel A - 2 Visits,1,YES,99,32,MALE,STD2,YES,2002,NKHOTAKOTA,NKHOTA KOTA,11,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
2,0807-001,PANEL A,Panel A - 2 Visits,1,YES,99,29,FEMALE,STD1,YES,2003,DOWA,DOWA,10,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
1,0808-001,PANEL B,Panel B - 2 Visits,2,YES,3,22,MALE,STD8,YES,2011,KASUNGU,KASUNGU,22,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
2,0808-001,PANEL B,Panel B - 2 Visits,2,YES,99,20,FEMALE,STD2,YES,2009,MOZAMBIQUE,MOZAMBIQUE,1,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
1,0808-003,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0809-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0810-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0810-002,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0811-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0812-001,PANEL B,Panel B - 2 Visits,1,YES,99,39,MALE,STD7,YES,1995,DOWA,DOWA,6,YEAR,WORKING,MECHNICAL,84,NO,,,,,,,,NO,,,,
2,0812-001,PANEL B,Panel B - 2 Visits,1,YES,99,35,MALE,STD6,YES,1998,KASUNGU,KASUNGU,35,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,YES,SPORADICALLY AS NEEDED,4000,1,
3,0812-001,PANEL B,Panel B - 2 Visits,1,YES,99,31,FEMALE,STD6,YES,2000,KASUNGU,KASUNGU,31,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
4,0812-001,PANEL B,Panel B - 2 Visits,1,YES,99,26,FEMALE,FORM2,YES,2006,KASUNGU,KASUNGU,26,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
1,0813-001,PANEL A,Panel A - 2 Visits,1,YES,99,16,FEMALE,STD7,YES,2003,LILONGWE,LILONGWE,9,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
1,0814-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0815-001,PANEL A,Panel A - 2 Visits,2,YES,99,49,MALE,STD3,YES,2009,KASUNGU,KASUNGU,3,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
2,0815-001,PANEL A,Panel A - 2 Visits,2,YES,99,36,FEMALE,STD4,YES,1999,KASUNGU,KASUNGU,13,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
3,0815-001,PANEL A,Panel A - 2 Visits,2,YES,99,30,MALE,STD3,YES,2009,MZUZU,MZUZU CITY,3,YEAR,WORKING,TENANT,62,NO,,,,,,,,NO,,,,
4,0815-001,PANEL A,Panel A - 2 Visits,2,YES,99,24,FEMALE,STD3,YES,2009,DOWA,DOWA,3,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
5,0815-001,PANEL A,Panel A - 2 Visits,2,YES,99,36,FEMALE,STD8,NO,,MZUZU,MZUZU CITY,1,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
6,0815-001,PANEL A,Panel A - 2 Visits,2,YES,99,32,MALE,STD7,NO,,KASUNGU,KASUNGU,29,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
7,0815-001,PANEL A,Panel A - 2 Visits,2,YES,99,34,FEMALE,STD7,NO,,KASUNGU,KASUNGU,30,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
8,0815-001,PANEL A,Panel A - 2 Visits,2,YES,99,30,MALE,STD7,NO,,KASUNGU,KASUNGU,27,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
9,0815-001,PANEL A,Panel A - 2 Visits,2,YES,99,28,FEMALE,STD6,NO,,LILONGWE,LILONGWE,20,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
10,0815-001,PANEL A,Panel A - 2 Visits,2,YES,3,26,FEMALE,STD6,NO,,KASUNGU,KASUNGU,26,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
11,0815-001,PANEL A,Panel A - 2 Visits,2,YES,4,23,MALE,STD7,NO,,KASUNGU,KASUNGU,23,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
12,0815-001,PANEL A,Panel A - 2 Visits,2,YES,99,20,FEMALE,STD7,NO,,KASUNGU,KASUNGU,20,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
1,0815-003,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0816-001,PANEL B,Panel B - 2 Visits,1,YES,99,26,FEMALE,STD3,YES,2007,KASUNGU,KASUNGU,5,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
2,0816-001,PANEL B,Panel B - 2 Visits,1,YES,99,27,MALE,FORM4,YES,2009,MCHINJI,MCHINJI,5,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
3,0816-001,PANEL B,Panel B - 2 Visits,1,YES,99,19,FEMALE,STD6,YES,2008,MCHINJI,MCHINJI,5,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
1,0817-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0818-001,PANEL B,Panel B - 2 Visits,1,YES,99,29,FEMALE,STD8,YES,2006,MZIMBA,MZIMBA,5,YEAR,WORKING,SEWER,73,NO,,,,,,,,NO,,,,
2,0818-001,PANEL B,Panel B - 2 Visits,1,YES,99,27,MALE,STD8,YES,2006,KASUNGU,KASUNGU,27,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
3,0818-001,PANEL B,Panel B - 2 Visits,1,YES,99,24,MALE,FORM1,YES,2006,KASUNGU,KASUNGU,24,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
4,0818-001,PANEL B,Panel B - 2 Visits,1,YES,99,21,MALE,STD7,YES,2006,MZIMBA,MZIMBA,5,YEAR,WORKING,SEWER,73,NO,,,,,,,,NO,,,,
5,0818-001,PANEL B,Panel B - 2 Visits,1,YES,99,22,MALE,STD5,YES,2006,KASUNGU,KASUNGU,22,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
1,0819-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0821-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0822-001,PANEL B,Panel B - 2 Visits,1,YES,3,18,FEMALE,STD7,YES,2011,KASUNGU,KASUNGU,18,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
1,0822-003,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0822-008,PANEL B,Panel B - Combined Visit,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0823-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0824-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0825-001,PANEL A,Panel A - 2 Visits,1,YES,99,31,FEMALE,STD4,YES,1994,LILONGWE,LILONGWE,9,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
2,0825-001,PANEL A,Panel A - 2 Visits,1,YES,99,34,MALE,STD7,YES,1994,KASUNGU,KASUNGU,34,YEAR,UNEMPLOYED,,,YES,SPORADICALLY AS NEEDED,,,,4000,1,,YES,SPORADICALLY AS NEEDED,2000,1,
3,0825-001,PANEL A,Panel A - 2 Visits,1,YES,99,28,MALE,STD6,YES,2009,KASUNGU,KASUNGU,29,YEAR,UNEMPLOYED,,,YES,SPORADICALLY AS NEEDED,,,,2500,1,,YES,SPORADICALLY AS NEEDED,1000,1,
1,0825-002,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0826-001,PANEL B,Panel B - Combined Visit,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0827-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0828-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0829-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0830-001,PANEL B,Panel B - 2 Visits,1,YES,99,49,MALE,STD6,YES,1980,KASUNGU,KASUNGU,49,YEAR,OTHER (SPECIFY),,,YES,ANNUALLY,,,,4000,1,,NO,,,,
2,0830-001,PANEL B,Panel B - 2 Visits,1,YES,99,45,FEMALE,STD2,YES,1983,MACHINGA,MACHINGA,7,YEAR,OTHER (SPECIFY),,,YES,SPORADICALLY AS NEEDED,,,,3000,1,,NO,,,,
1,0831-001,PANEL A,Panel A - 2 Visits,1,YES,4,18,FEMALE,STD8,YES,2011,KASUNGU,KASUNGU,18,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
1,0831-004,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0832-001,PANEL B,Panel B - 2 Visits,1,YES,99,50,FEMALE,STD6,YES,1987,KASUNGU,KASUNGU,50,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
2,0832-001,PANEL B,Panel B - 2 Visits,1,YES,99,46,FEMALE,STD6,YES,1989,BLANTYRE,BLANTYRE CITY,7,YEAR,HOUSE WORK,,,YES,SPORADICALLY AS NEEDED,,,,5000,1,,NO,,,,
3,0832-001,PANEL B,Panel B - 2 Visits,1,YES,99,34,MALE,STD7,YES,1990,KASUNGU,KASUNGU,34,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
4,0832-001,PANEL B,Panel B - 2 Visits,1,YES,99,43,FEMALE,STD4,YES,1990,KASUNGU,KASUNGU,43,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
5,0832-001,PANEL B,Panel B - 2 Visits,1,YES,99,35,FEMALE,STD8,YES,1995,KASUNGU,KASUNGU,35,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
1,0833-001,PANEL A,Panel A - 2 Visits,1,YES,3,22,FEMALE,STD6,YES,2010,KASUNGU,KASUNGU,5,YEAR,UNEMPLOYED,,,NO,,,,,,,,YES,TWICE OR MORE PER MONTH,2000,1,
1,0833-003,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0834-001,PANEL B,Panel B - 2 Visits,1,YES,99,24,FEMALE,STD8,NO,,DOWA,DOWA,24,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
2,0834-001,PANEL B,Panel B - 2 Visits,1,YES,3,21,FEMALE,STD3,YES,2011,MACHINGA,MACHINGA,2,MONTH,HOUSE WORK,,,NO,,,,,,,,NO,,,,
3,0834-001,PANEL B,Panel B - 2 Visits,1,YES,99,30,FEMALE,STD5,NO,,KASUNGU,KASUNGU,30,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
4,0834-001,PANEL B,Panel B - 2 Visits,1,YES,99,24,MALE,STD6,NO,,KASUNGU,KASUNGU,24,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
1,0834-002,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0834-003,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0835-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0835-002,PANEL A,Panel A - 2 Visits,1,YES,99,17,FEMALE,FORM2,NO,,KASUNGU,KASUNGU,17,YEAR,STUDENT,,,NO,,,,,,,,NO,,,,
1,0836-001,PANEL B,Panel B - 2 Visits,1,YES,99,54,MALE,STD8,YES,1990,KASUNGU,KASUNGU,54,YEAR,UNEMPLOYED,,,NO,,,,,,,,YES,SPORADICALLY AS NEEDED,2000,1,
2,0836-001,PANEL B,Panel B - 2 Visits,1,YES,99,51,MALE,STD6,YES,1993,KASUNGU,KASUNGU,51,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
3,0836-001,PANEL B,Panel B - 2 Visits,1,YES,99,49,FEMALE,STD4,YES,1993,KASUNGU,KASUNGU,49,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
4,0836-001,PANEL B,Panel B - 2 Visits,1,YES,99,48,MALE,STD5,YES,2004,KASUNGU,KASUNGU,48,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
5,0836-001,PANEL B,Panel B - 2 Visits,1,YES,99,43,FEMALE,STD6,YES,2002,KASUNGU,KASUNGU,43,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
6,0836-001,PANEL B,Panel B - 2 Visits,1,YES,99,39,FEMALE,STD3,YES,2004,KASUNGU,KASUNGU,39,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
1,0837-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0838-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0839-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0839-002,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0840-001,PANEL B,Panel B - Combined Visit,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0841-002,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0842-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0843-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0844-001,PANEL B,Panel B - 2 Visits,2,YES,3,34,FEMALE,STD6,YES,2013,KASUNGU,KASUNGU,34,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
2,0844-001,PANEL B,Panel B - 2 Visits,2,YES,99,33,MALE,STD7,YES,2000,KASUNGU,KASUNGU,33,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
3,0844-001,PANEL B,Panel B - 2 Visits,2,YES,99,29,FEMALE,STD8,YES,2000,NTCHISI,NTCHISI,5,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
4,0844-001,PANEL B,Panel B - 2 Visits,2,YES,99,26,FEMALE,STD3,YES,2005,KASUNGU,KASUNGU,26,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
5,0844-001,PANEL B,Panel B - 2 Visits,2,YES,4,21,FEMALE,FORM3,YES,2013,KASUNGU,KASUNGU,21,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
6,0844-001,PANEL B,Panel B - 2 Visits,2,YES,99,24,FEMALE,FORM4,YES,2008,KASUNGU,KASUNGU,24,YEAR,UNEMPLOYED,,,YES,QUARTERLY,,,,2000,1,2,YES,QUARTERLY,7000,1,2
1,0844-003,PANEL B,Panel B - Combined Visit,2,YES,9,15,MALE,STD5,NO,,KASUNGU,KASUNGU,15,,STUDENT,,,NO,,,,,,,,NO,,,,
2,0844-003,PANEL B,Panel B - Combined Visit,1,YES,99,16,MALE,STD6,NO,,KASUNGU,KASUNGU,16,,STUDENT,,,NO,,,,,,,,NO,,,,
1,0844-004,PANEL B,Panel B - Combined Visit,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0845-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0846-001,PANEL B,Panel B - 2 Visits,3,YES,99,54,FEMALE,STD6,YES,1978,KASUNGU,KASUNGU,54,YEAR,HOUSE WORK,,,NO,,,,,,,,YES,SPORADICALLY AS NEEDED,13500,1,
2,0846-001,PANEL B,Panel B - 2 Visits,3,YES,99,51,FEMALE,STD3,YES,1982,KASUNGU,KASUNGU,51,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
3,0846-001,PANEL B,Panel B - 2 Visits,3,YES,99,49,FEMALE,STD3,YES,1987,KASUNGU,KASUNGU,49,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
4,0846-001,PANEL B,Panel B - 2 Visits,3,YES,99,40,FEMALE,STD8,YES,1990,KASUNGU,KASUNGU,40,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
5,0846-001,PANEL B,Panel B - 2 Visits,3,YES,99,31,FEMALE,FORM2,YES,2005,KASUNGU,KASUNGU,31,YEAR,HOUSE WORK,,,YES,SPORADICALLY AS NEEDED,,,,4500,1,,YES,SPORADICALLY AS NEEDED,1500,1,
1,0846-003,PANEL B,Panel B - Combined Visit,1,YES,99,31,MALE,STD8,YES,2009,MZUZU,MZUZU CITY,10,YEAR,WORKING,BRICK LAYER,95,NO,,,,,,,,NO,,,,
2,0846-003,PANEL B,Panel B - Combined Visit,1,YES,99,29,FEMALE,STD7,YES,2009,MZUZU,MZUZU CITY,10,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
3,0846-003,PANEL B,Panel B - Combined Visit,1,YES,99,27,MALE,STD8,YES,2009,MZUZU,MZUZU CITY,10,YEAR,WORKING,MECHANIC,84,NO,,,,,,,,NO,,,,
4,0846-003,PANEL B,Panel B - Combined Visit,1,YES,99,25,FEMALE,STD8,YES,2009,MZUZU,MZUZU CITY,10,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
5,0846-003,PANEL B,Panel B - Combined Visit,1,YES,99,23,MALE,STD8,YES,2009,MZUZU,MZUZU CITY,10,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
6,0846-003,PANEL B,Panel B - Combined Visit,1,YES,99,21,FEMALE,STD7,YES,2009,MZUZU,MZUZU CITY,10,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
7,0846-003,PANEL B,Panel B - Combined Visit,1,YES,99,19,MALE,STD8,YES,2009,MZUZU,MZUZU CITY,10,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
8,0846-003,PANEL B,Panel B - Combined Visit,1,YES,99,17,MALE,STD8,YES,2009,MZUZU,MZUZU CITY,10,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
1,0846-005,PANEL B,Panel B - Combined Visit,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
