occ,y2_hhid,qx_type,interview_status,ag_e0a,ag_e0e,ag_e0g,ag_e01_1,ag_e02,ag_e03,ag_e04,ag_e05a,ag_e05b,ag_e05_1,ag_e07,ag_e08a,ag_e08b,ag_e08_1a,ag_e08_1b,ag_e08_2a,ag_e08_2b,ag_e09,ag_e10a,ag_e10b,ag_e10c,ag_e10d,ag_e10e,ag_e11,ag_e11_1,ag_e12a,ag_e12b,ag_e13,ag_e13_1,ag_e13_2a,ag_e13_2b,ag_e13_2c,ag_e13_2d,ag_e14,ag_e15,ag_e15_1,ag_e16,ag_e18,ag_e20,ag_e21,ag_e22,ag_e24,ag_e26a,ag_e26b
1,0912-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0913-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,0,N02,,,,,,,
1,0914-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,1,DAY,YES,25,KILOGRAM,UREA,25,KILOGRAM,NO,,,,TRUCK / BUS / MINIBUS,NO,,,,,200,500,0,N02,,,,,,,
4,0915-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0916-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,TRUCK / BUS / MINIBUS,YES,502,,,,200,500,0,N02,,,,,,,
2,0916-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,TRUCK / BUS / MINIBUS,YES,501,,,,200,500,0,N02,,,,,,,
3,0916-001,PANEL B,Panel B - 2 Visits,YES,503,1,MAIZE SEED,N01,NO,,NOVEMBER,2012,YES,OPV MAIZE SEED,1,5 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,ON FOOT,YES,503,,,,0,0,0,N02,,,,,,,
1,0916-007,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,OCTOBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,YES,502,,,,0,500,0,N02,,,,,,,
2,0916-007,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,OCTOBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,YES,501,,,,0,500,0,N02,,,,,,,
1,0917-002,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N02,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,1,DAY,NO,,,,,,NO,,,,ON FOOT,NO,,,,,0,500,0,N03,,,,,,,
1,0918-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,OCTOBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,0,N02,,,,,,,
2,0918-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,OCTOBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,0,N02,,,,,,,
3,0918-001,PANEL B,Panel B - 2 Visits,YES,503,1,MAIZE SEED,N01,NO,,OCTOBER,2012,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,YES,,,
1,0919-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,TRUCK / BUS / MINIBUS,YES,502,,,,200,500,0,N02,,,,,,,
2,0919-001,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,TRUCK / BUS / MINIBUS,YES,501,,,,0,500,0,N02,,,,,,,
1,0920-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,1,DAY,NO,,,,,,NO,,,,TRUCK / BUS / MINIBUS,YES,502,,,,100,500,0,N02,,,,,,,
2,0920-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,1,DAY,NO,,,,,,NO,,,,TRUCK / BUS / MINIBUS,YES,501,,,,100,500,0,N02,,,,,,,
1,0921-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,1,DAY,NO,,,,,,NO,,,,TRUCK / BUS / MINIBUS,YES,502,,,,400,500,0,N02,,,,,,,
2,0921-001,PANEL A,Panel A - 2 Visits,YES,502,1,MAIZE SEED,N01,NO,,NOVEMBER,2012,YES,OPV MAIZE SEED,1,5 KG BAG,NOVEMBER,2012,1,DAY,NO,,,,,,NO,,,,TRUCK / BUS / MINIBUS,YES,501,,,,0,0,0,N02,,,,,,,
4,0922-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0923-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0924-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,3,DAY,NO,,,,,,NO,,,,TRUCK / BUS / MINIBUS,YES,4,10,,,500,500,0,N02,,,,,,,
2,0924-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,3,DAY,NO,,,,,,NO,,,,TRUCK / BUS / MINIBUS,NO,,,,,0,500,0,N02,,,,,,,
3,0924-001,PANEL B,Panel B - 2 Visits,YES,503,1,MAIZE SEED,N01,NO,,NOVEMBER,2012,YES,HYBRID MAIZE,1,5 KG BAG,DECEMBER,2012,3,DAY,YES,10,KILOGRAM,OTHER (SPECIFY),10,KILOGRAM,NO,,,,TRUCK / BUS / MINIBUS,NO,,,,,0,0,0,N02,,,,,,,
3,0925-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0926-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,YES,3,,,,200,500,0,N02,,,,,,,
2,0926-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,200,500,0,N02,,,,,,,
1,0926-003,PANEL B,Panel B - Combined Visit,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0926-011,PANEL B,Panel B - Combined Visit,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0927-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0928-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N02,NO,,OCTOBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,BICYCLE TAXI,YES,502,,,,250,500,0,N03,,,,,,,
2,0928-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N02,NO,,OCTOBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,BICYCLE TAXI,YES,501,,,,250,500,0,N03,,,,,,,
1,0929-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0929-003,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,2,DAY,NO,,,,,,NO,,,,OTHER (SPECIFY),NO,,,,,0,500,0,N02,,,,,,,
1,0930-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,OCTOBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,BICYCLE TAXI,YES,502,,,,500,500,0,N03,,,,,,,
2,0930-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,OCTOBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,BICYCLE TAXI,YES,501,,,,500,500,0,N03,,,,,,,
3,0930-001,PANEL B,Panel B - 2 Visits,YES,503,2,23:21:0+4S/CHITOWE,N02,YES,5000,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,BICYCLE TAXI,YES,504,,,,500,500,0,N03,,,,,,,
4,0930-001,PANEL B,Panel B - 2 Visits,YES,504,2,UREA,N02,YES,5000,NOVEMBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,BICYCLE TAXI,YES,503,,,,500,500,0,N03,,,,,,,
5,0930-001,PANEL B,Panel B - 2 Visits,YES,505,1,MAIZE SEED,N02,YES,2500,NOVEMBER,2012,YES,OPV MAIZE SEED,2,10 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,ON FOOT,NO,,,,,0,0,0,N03,,,,,,,
1,0931-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,100,500,0,N02,,,,,,,
1,0932-001,PANEL B,Panel B - 2 Visits,YES,501,3,23:21:0+4S/CHITOWE,N01,NO,,OCTOBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,YES,502,,,,0,500,0,N02,,,,,,,
2,0932-001,PANEL B,Panel B - 2 Visits,YES,502,3,UREA,N01,NO,,OCTOBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,0,N02,,,,,,,
1,0932-006,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,DECEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,1,HOURS,NO,,,,,,NO,,,,TRUCK / BUS / MINIBUS,YES,502,503,,,1000,1000,0,N02,,,,,,,
2,0932-006,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,DECEMBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,1,HOURS,NO,,,,,,NO,,,,TRUCK / BUS / MINIBUS,NO,,,,,0,0,0,N02,,,,,,,
3,0932-006,PANEL B,Panel B - 2 Visits,YES,503,1,FLEXI VOUCHER,N01,NO,,DECEMBER,2012,YES,GROUNDNUT SEED,1,5 KG BAG,DECEMBER,2012,1,HOURS,NO,,,,,,NO,,,,TRUCK / BUS / MINIBUS,NO,,,,,0,0,0,N02,,,,,,,
1,0933-001,PANEL A,Panel A - 2 Visits,YES,501,1,UREA,N06,NO,,NOVEMBER,2012,YES,UREA,2,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,0,500,0,N07,,,,,,,
1,0934-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,OCTOBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,OCTOBER,2012,3,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,2500,N02,,,,,,,
2,0934-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,OCTOBER,2012,YES,UREA,1,50 KG BAG,OCTOBER,2012,7,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,2500,N02,,,,,,,
3,0934-001,PANEL B,Panel B - 2 Visits,YES,503,1,MAIZE SEED,N01,NO,,OCTOBER,2012,YES,HYBRID MAIZE,1,5 KG BAG,OCTOBER,2012,3,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,0,0,N02,,,,,,,
4,0934-001,PANEL B,Panel B - 2 Visits,YES,504,1,FLEXI VOUCHER,N01,NO,,OCTOBER,2012,YES,GROUNDNUT SEED,1,3 KG BAG,OCTOBER,2012,4,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,0,0,N02,,,,,,,
3,0934-003,PANEL B,Panel B - Combined Visit,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0935-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,0,N02,,,,,,,
4,0936-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0936-003,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0937-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0937-003,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,DECEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,JANUARY,2012,4,DAY,NO,,,,,,NO,,,,TRUCK / BUS / MINIBUS,NO,,,,,1000,500,1000,N02,,,,,,,
2,0937-003,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N01,NO,,DECEMBER,2012,YES,UREA,1,50 KG BAG,JANUARY,2012,4,DAY,NO,,,,,,NO,,,,TRUCK / BUS / MINIBUS,NO,,,,,1000,500,1000,N02,,,,,,,
1,0939-002,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N03,NO,,DECEMBER,2012,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,NO,NO,OTHER (SPECIFY),
2,0939-002,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N03,NO,,DECEMBER,2012,YES,UREA,1,50 KG BAG,JANUARY,2013,2,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,YES,3,,,,0,500,0,N04,,,,,,,
1,0940-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N02,NO,,OCTOBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,OCTOBER,2012,7,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,1000,N03,,,,,,,
2,0940-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N02,NO,,OCTOBER,2012,YES,UREA,1,50 KG BAG,OCTOBER,2012,7,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,1000,N03,,,,,,,
3,0940-001,PANEL B,Panel B - 2 Visits,YES,503,1,MAIZE SEED,N02,NO,,OCTOBER,2012,YES,HYBRID MAIZE,1,5 KG BAG,OCTOBER,2012,5,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,YES,11,,,,0,100,0,N03,,,,,,,
4,0940-001,PANEL B,Panel B - 2 Visits,YES,504,1,FLEXI VOUCHER,N02,NO,,OCTOBER,2012,YES,GROUNDNUT SEED,1,2 KG BAG,OCTOBER,2012,6,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,0,0,N03,,,,,,,
1,0940-003,PANEL B,Panel B - 2 Visits,YES,501,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,8,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,0,N02,,,,,,,
4,0940-004,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0940-005,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,6,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,250,N02,,,,,,,
1,0941-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N02,NO,,DECEMBER,2012,YES,23:21:0+4S/CHITOWE,50,KILOGRAM,JANUARY,2013,1,HOURS,NO,,,,,,NO,,,,TRUCK / BUS / MINIBUS,YES,502,,,,700,500,0,N03,,,,,,,
2,0941-001,PANEL A,Panel A - 2 Visits,YES,502,2,UREA,N02,NO,,DECEMBER,2012,YES,UREA,50,KILOGRAM,JANUARY,2013,1,HOURS,NO,,,,,,NO,,,,TRUCK / BUS / MINIBUS,NO,,,,,0,500,0,N03,,,,,,,
1,0942-001,PANEL B,Panel B - 2 Visits,YES,501,1,UREA,N02,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,850,500,2000,N03,,,,,,,
2,0943-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0944-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,OCTOBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,0,N01,,,,,,,
2,0944-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,OCTOBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,0,N01,,,,,,,
3,0944-001,PANEL B,Panel B - 2 Visits,YES,503,1,MAIZE SEED,N01,NO,,OCTOBER,2012,YES,HYBRID MAIZE,1,5 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,0,0,N02,,,,,,,
1,0944-003,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N02,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,0,N03,,,,,,,
2,0944-003,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N02,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,2000,N03,,,,,,,
3,0944-003,PANEL B,Panel B - 2 Visits,YES,503,1,MAIZE SEED,N02,NO,,NOVEMBER,2012,YES,HYBRID MAIZE,1,5 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,0,0,N03,,,,,,,
1,0945-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,5,DAY,NO,,,,,,YES,VILLAGE HEADMAN,30,KILOGRAM,ON FOOT,NO,,,,,0,500,700,N02,,,,,,,
2,0945-001,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,5,DAY,NO,,,,,,YES,VILLAGE HEADMAN,40,KILOGRAM,ON FOOT,NO,,,,,0,500,700,N02,,,,,,,
1,0945-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0946-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0947-001,PANEL A,Panel A - Combined Visit,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0948-001,PANEL B,Panel B - 2 Visits,YES,501,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,1,DAY,NO,,,,,,NO,,,,ON FOOT,NO,,,,,0,500,0,N02,,,,,,,
2,0948-001,PANEL B,Panel B - 2 Visits,YES,502,1,MAIZE SEED,N01,NO,,OCTOBER,2012,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,NO,YES,,
1,0948-003,PANEL B,Panel B - 2 Visits,YES,501,1,UREA,N01,NO,,DECEMBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,1,HOURS,YES,25,KILOGRAM,23:21:0+4S/CHITOWE,25,KILOGRAM,NO,,,,TRUCK / BUS / MINIBUS,YES,3,,,,200,650,0,N02,,,,,,,
1,0949-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N02,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,1,DAY,NO,,,,,,NO,,,,ON FOOT,NO,,,,,0,500,0,N03,,,,,,,
1,0949-009,PANEL A,Panel A - 2 Visits,YES,501,1,UREA,N04,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,1,DAY,NO,,,,,,NO,,,,OTHER (SPECIFY),NO,,,,,0,500,0,N05,,,,,,,
1,0950-001,PANEL B,Panel B - 2 Visits,YES,501,1,UREA,N03,NO,,FEBRUARY,2013,YES,UREA,1,50 KG BAG,FEBRUARY,2013,1,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,YES,3,35,,,1500,500,1500,N04,,,,,,,
3,0951-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0952-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,YES,502,,,,0,500,0,N02,,,,,,,
2,0952-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,0,N02,,,,,,,
3,0952-001,PANEL B,Panel B - 2 Visits,YES,503,1,MAIZE SEED,N01,NO,,NOVEMBER,2012,YES,HYBRID MAIZE,1,5 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,YES,504,,,,0,0,0,N03,,,,,,,
4,0952-001,PANEL B,Panel B - 2 Visits,YES,504,1,FLEXI VOUCHER,N01,NO,,NOVEMBER,2012,YES,BEAN SEED,1,2 KG BAG,NOVEMBER,2012,1,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,0,0,N03,,,,,,,
2,0953-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0954-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0955-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0956-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,OCTOBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,YES,502,,,,0,500,0,N02,,,,,,,
2,0956-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,OCTOBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,YES,501,,,,0,500,0,N02,,,,,,,
1,0956-002,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0957-001,PANEL A,Panel A - 2 Visits,YES,501,2,23:21:0+4S/CHITOWE,N01,NO,,DECEMBER,2012,YES,23:21:0+4S/CHITOWE,50,KILOGRAM,DECEMBER,2012,1,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,YES,502,,,,500,500,0,N02,,,,,,,
2,0957-001,PANEL A,Panel A - 2 Visits,YES,502,2,UREA,N01,NO,,DECEMBER,2012,YES,UREA,50,KILOGRAM,DECEMBER,2012,1,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,0,500,0,N02,,,,,,,
1,0957-002,PANEL A,Panel A - Only Visit 1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0958-002,PANEL B,Panel B - Combined Visit,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0959-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,100,500,0,N02,,,,,,,
