occ,y2_hhid,HHID,case_id,ea_id,stratum,baseline_rural,panelweight,hh_wgt,region,district,reside,dist_to_IHS3location,hhsize,interview_status,qx_type,hh_a05,hh_a06,hh_a07a,hh_a10a,hh_a10b,hh_a16,hh_a21,hh_a23a_1,hh_a23a_2,hh_a23a_3,hh_a23a_4,hh_a23a_5,hh_a23a_6,hh_a23a_7,hh_a23a_8,hh_a23b_1,hh_a23b_2,hh_a23b_3,hh_a23b_4,hh_a23b_5,hh_a23b_6,hh_a23b_7,hh_a23b_8,hh_a23c_1,hh_a23c_2,hh_a23c_3,hh_a23c_4,hh_a23c_5,hh_a23c_6,hh_a23c_7,hh_a23c_8,hh_a24,hh_a26a,hh_a26b,hh_a26c,hh_a27,hh_a29a,hh_a29b,hh_a29c,hh_a30,hh_a33,hh_a35,hh_a37a_1,hh_a37a_2,hh_a37a_3,hh_a37a_4,hh_a37a_5,hh_a37a_6,hh_a37a_7,hh_a37a_8,hh_a37b_1,hh_a37b_2,hh_a37b_3,hh_a37b_4,hh_a37b_5,hh_a37b_6,hh_a37b_7,hh_a37b_8,hh_a38,hh_a40a,hh_a40b,hh_a40c,hh_a41,hh_a43,hh_a43a,hh_a43b,hh_a43c,hh_a44,hh_a46a,hh_a46b,hh_a46c,hh_g00_1,hh_g00_2,hh_g09,hh_m00,hh_o00,hh_s01
1,0219-001,219,102207050298,10220705,North - Urban,urban,684.00726,920.3457,North,Karonga,urban,.090000004,7,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,20,KYUNGU,MOSTLY CLEAR / MOSTLY SUNNY,13,22,MAY,2013,9,10,10,53,A-X,,,,,,,,,,,,,,,,,10,23,MAY,2013,19,26,MAY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,13,28,AUGUST,2013,10,50,11,0,A-X,,,,,,,,,31,29,AUGUST,2013,19,19603,2,SEPTEMBER,2013,908,9,OCTOBER,2013,1,2,NO,YES,NO,NO
1,0220-001,220,102043220100,10204322,North - Rural,rural,193.70279,262.47809,North,Karonga,rural,.0099999998,6,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,4,WASAMBO,CLEAR / SUNNY,12,2,JULY,2013,13,56,14,8,"A,B&X",,,,,,,,,,,,,,,,,10,3,JULY,2013,19,3,JULY,2013,YES,CLEAR / SUNNY,12,6,OCTOBER,2013,12,30,14,0,A-X,,,,,,,,,31,8,OCTOBER,2013,19,19640,9,OCTOBER,2013,915,4,NOVEMBER,2013,2,1,NO,YES,YES,NO
1,0221-001,221,102207050054,10220705,North - Urban,urban,674.79333,920.3457,North,Karonga,urban,.059999999,5,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,20,KARONGA BOMA,MOSTLY CLOUDY / CONSIDERABLE CLOUDINESS,12,21,MAY,2013,8,20,10,20,ALL,,,,,,,,,,,,,,,,,10,22,MAY,2013,19,23,MAY,2013,YES,CLEAR / SUNNY,12,28,AUGUST,2013,11,11,11,18,"A,B & X",,,,,,,,,31,29,AUGUST,2013,19,19603,2,SEPTEMBER,2013,908,9,OCTOBER,2013,1,1,NO,YES,YES,NO
1,0221-005,221,102207050054,10220705,North - Urban,urban,355.79312,920.3457,North,Karonga,urban,.83999997,4,Panel A - 2 Visits,PANEL A,SPLIT-OFF HOUSEHOLD,Local or Distance Tracking,5,20,KARONGA BOMA,CLEAR / SUNNY,12,23,MAY,2013,6,24,7,42,ALL,,,,,,,,,,,,,,,,,10,25,MAY,2013,19,27,MAY,2013,YES,CLEAR / SUNNY,12,28,AUGUST,2013,14,32,14,38,AB AND X,,,,,,,,,31,29,AUGUST,2013,19,19603,2,SEPTEMBER,2013,903,27,DECEMBER,2013,1,2,NO,YES,NO,NO
1,0222-001,222,102043220095,10204322,North - Rural,rural,192.44775,262.47809,North,Karonga,rural,.0099999998,8,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,4,WANSAMBO,PARTLY CLOUDY / PARTLY SUNNY,14,1,JULY,2013,10,57,11,15,"A,B,X",,,,,,,,,,,,,,,,,10,2,JULY,2013,19,3,JULY,2013,YES,CLEAR / SUNNY,21,5,OCTOBER,2013,12,5,13,31,"A,B,C-X",,,,,,,,,31,8,OCTOBER,2013,19,19640,9,OCTOBER,2013,915,4,NOVEMBER,2013,2,2,NO,YES,NO,NO
1,0224-001,224,102043220086,10204322,North - Rural,rural,191.21399,262.47809,North,Karonga,rural,.079999998,7,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,4,WANSAMBO,MOSTLY CLEAR / MOSTLY SUNNY,13,1,JULY,2013,12,10,12,19,A-X,,,,,,,,,,,,,,,,,10,2,JULY,2013,19,3,JULY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,13,5,OCTOBER,2013,11,55,13,54,ALL,,,,,,,,,31,8,OCTOBER,2013,19,19639,8,OCTOBER,2013,915,1,NOVEMBER,2013,2,2,NO,YES,YES,NO
1,0224-003,224,102043220086,10204322,North - Rural,rural,94.711372,262.47809,North,Karonga,rural,16.870001,2,Panel B - 2 Visits,PANEL B,SPLIT-OFF HOUSEHOLD,Local or Distance Tracking,3,4,WANSAMBO,MOSTLY CLEAR / MOSTLY SUNNY,13,3,JULY,2013,7,24,7,30,A-X,,,,,,,,,,,,,,,,,10,3,JULY,2013,,,,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,13,8,OCTOBER,2013,6,0,9,44,ALL,,,,,,,,,31,8,OCTOBER,2013,19,19639,8,OCTOBER,2013,909,4,JANUARY,2013,2,2,NO,YES,NO,NO
1,0224-009,224,102043220086,10204322,North - Rural,rural,96.223877,262.47809,North,Karonga,rural,64.300003,4,Panel B - 2 Visits,PANEL B,SPLIT-OFF HOUSEHOLD,Local or Distance Tracking,9,3,KYUNGU,MOSTLY CLEAR / MOSTLY SUNNY,13,3,JULY,2013,11,3,11,20,A-X,,,,,,,,,,,,,,,,,10,3,JULY,2013,19,3,JULY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,13,7,OCTOBER,2013,6,0,7,46,ALL,,,,,,,,,31,8,OCTOBER,2013,19,19639,8,OCTOBER,2013,903,2,JANUARY,2014,1,1,NO,YES,YES,NO
1,0224-010,224,102043220086,10204322,North - Rural,rural,94.711372,262.47809,North,Karonga,rural,9.6000004,2,Panel B - 2 Visits,PANEL B,SPLIT-OFF HOUSEHOLD,Local or Distance Tracking,10,4,WANSAMBO,MOSTLY CLEAR / MOSTLY SUNNY,13,30,JUNE,2013,15,58,16,4,A-X,,,,,,,,,,,,,,,,,10,3,JULY,2013,19,3,JULY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,13,7,OCTOBER,2013,14,0,15,42,ALL,,,,,,,,,31,8,OCTOBER,2013,19,19639,8,OCTOBER,2013,69,6,JANUARY,2013,2,2,NO,YES,NO,NO
1,0225-001,225,103016630198,10301663,North - Rural,rural,274.76089,366.36749,North,Nkhata Bay,rural,.12,1,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,KAWALADZI,CLEAR / SUNNY,33,23,JUNE,2013,11,42,13,37,ALL,,,,,,,,,,,,,,,,,30,26,JUNE,2013,39,2,JULY,2013,YES,CLEAR / SUNNY,33,29,AUGUST,2013,10,0,10,27,"A,B,B1-B8,X",,,,,,,,,10,30,AUGUST,2013,39,19614,13,SEPTEMBER,2013,910,12,DECEMBER,2013,1,1,NO,YES,YES,NO
1,0226-002,226,102201030088,10220103,North - Urban,urban,366.2952,999.17468,North,Karonga,urban,.0099999998,4,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,20,KARONGA TOWN,PARTLY CLOUDY / PARTLY SUNNY,11,9,JUNE,2013,8,20,8,44,ABX B1-B8,,,,,,,,,,,,,,,,,10,10,JUNE,2013,19,13,JUNE,2013,YES,PARTLY CLOUDY / PARTLY SUNNY,11,23,SEPTEMBER,2013,7,5,8,29,ALL,,,,,,,,,31,23,SEPTEMBER,2013,19,19627,26,SEPTEMBER,2013,915,17,DECEMBER,2013,1,1,YES,YES,NO,YES
1,0228-001,228,102201030058,10220103,North - Urban,urban,800.16785,999.17468,North,Karonga,urban,.0099999998,3,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,20,KYUNGU,CLEAR / SUNNY,14,9,JUNE,2013,11,3,11,50,"A,B,X",,,,,,,,,,,,,,,,,10,10,JUNE,2013,19,12,JUNE,2013,YES,CLEAR / SUNNY,21,24,SEPTEMBER,2013,10,5,11,26,"A,B,C-X",,,,,,,,,31,25,SEPTEMBER,2013,19,19628,27,SEPTEMBER,2013,915,16,DECEMBER,2013,2,2,NO,YES,NO,NO
1,0229-001,229,103016630124,10301663,North - Rural,rural,141.63269,366.36749,North,Nkhata Bay,rural,.0099999998,3,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,KABUNDULI,CLEAR / SUNNY,31,23,JUNE,2013,9,7,1,1,ALL,,,,,,,,,,,,,,,,,30,25,JUNE,2013,39,2,MARCH,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,84,29,AUGUST,2013,8,1,8,11,"AB,B1-B8&X",,,,,,,,,10,30,AUGUST,2013,39,19612,11,SEPTEMBER,2013,910,11,DECEMBER,2013,1,1,YES,YES,YES,NO
1,0230-001,230,102201030028,10220103,North - Urban,urban,732.59039,999.17468,North,Karonga,urban,.0099999998,1,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,20,KYUNGU,MOSTLY CLEAR / MOSTLY SUNNY,13,10,JUNE,2013,12,30,12,44,A-X,,,,,,,,,,,,,,,,,10,11,JUNE,2013,19,13,JUNE,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,13,24,SEPTEMBER,2013,15,0,17,2,A-X,,,,,,,,,31,25,SEPTEMBER,2013,19,19628,27,SEPTEMBER,2013,915,17,13,2013,1,1,NO,YES,YES,NO
1,0231-001,231,103016630224,10301663,North - Rural,rural,161.35863,366.36749,South,Mulanje,rural,518.57001,6,Panel A - Combined Visit,PANEL A,ORIGINAL HOUSEHOLD,Local or Distance Tracking,1,,MABUKA,CLEAR / SUNNY,102,22,AUGUST,2013,12,0,13,58,A-X,,,,,,,,,,,,,,,,,60,22,AUGUST,2013,109,16,SEPTEMBER,2013,YES,CLEAR / SUNNY,102,22,AUGUST,2013,12,0,13,58,A-X,,,,,,,,,60,21,AUGUST,2013,109,19617,16,SEPTEMBER,2013,903,22,NOVEMBER,2013,2,2,YES,YES,YES,YES
1,0232-001,232,102201030035,10220103,North - Urban,urban,732.59039,999.17468,North,Karonga,urban,.02,6,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,20,KARONGA BOMA,CLEAR / SUNNY,12,8,JUNE,2013,10,50,11,42,A B & X,,,,,,,,,,,,,,,,,10,9,JUNE,2013,19,12,JUNE,2013,YES,CLEAR / SUNNY,12,23,SEPTEMBER,2013,13,40,15,6,A-X,,,,,,,,,31,23,SEPTEMBER,2013,19,19627,26,SEPTEMBER,2013,915,13,DECEMBER,2013,2,2,NO,YES,YES,NO
1,0232-003,232,102201030035,10220103,North - Urban,urban,400.08392,999.17468,North,Karonga,urban,.20999999,3,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,Local or Distance Tracking,3,20,KARONGA BOMA,CLEAR / SUNNY,12,9,JUNE,2013,10,55,11,2,"A,B, & X",,,,,,,,,,,,,,,,,10,10,JUNE,2013,19,13,JUNE,2013,YES,CLEAR / SUNNY,12,25,SEPTEMBER,2013,8,10,9,21,A-X,,,,,,,,,31,25,SEPTEMBER,2013,19,19627,26,SEPTEMBER,2013,69,4,JANUARY,2014,2,1,NO,YES,NO,NO
1,0233-001,233,103016630379,10301663,North - Rural,rural,270.37076,366.36749,North,Nkhata Bay,rural,.89999998,8,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,Local or Distance Tracking,1,1,KABUNDURI,MOSTLY CLEAR / MOSTLY SUNNY,32,23,JUNE,2013,13,4,14,59,A-X,,,,,,,,,,,,,,,,,30,26,JUNE,2013,39,2,JULY,2013,YES,CLEAR / SUNNY,32,29,AUGUST,2013,8,51,9,1,"A,B&X",,,,,,,,,10,30,AUGUST,2013,39,19612,11,SEPTEMBER,2013,910,11,DECEMBER,2013,2,1,NO,YES,NO,NO
1,0233-005,233,103016630379,10301663,North - Rural,rural,133.44844,366.36749,North,Nkhata Bay,rural,2.5699999,10,Panel A - 2 Visits,PANEL A,SPLIT-OFF HOUSEHOLD,Local or Distance Tracking,5,1,CHAMAOWA,CLEAR / SUNNY,32,27,JUNE,2013,10,0,12,55,ALL,,,,,,,,,,,,,,,,,30,3,JULY,2013,39,3,JULY,2013,YES,CLEAR / SUNNY,33,7,OCTOBER,2013,8,4,8,45,"A,B,B1-B8,X",,,,,,,,,10,8,OCTOBER,2013,39,19655,24,OCTOBER,2013,910,12,DECEMBER,2013,1,1,NO,YES,NO,NO
1,0234-001,234,102201030050,10220103,North - Urban,urban,742.59344,999.17468,North,Karonga,urban,.029999999,3,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,20,KYUNGU,CLEAR / SUNNY,14,10,JUNE,2013,8,0,8,19,"A,B,X",,,,,,,,,,,,,,,,,10,11,JUNE,2013,19,12,JUNE,2013,YES,CLEAR / SUNNY,21,24,SEPTEMBER,2013,7,25,8,44,"A,BC-X",,,,,,,,,31,25,SEPTEMBER,2013,19,19628,27,SEPTEMBER,2013,915,16,DECEMBER,2013,1,1,NO,YES,NO,NO
1,0236-001,236,102201030155,10220103,North - Urban,urban,732.59039,999.17468,North,Karonga,rural,48.18,13,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,Local or Distance Tracking,1,4,WANSAMBO,PARTLY CLOUDY / PARTLY SUNNY,13,17,JUNE,2013,9,40,10,0,A-X,,,,,,,,,,,,,,,,,10,18,JUNE,2013,19,18,JUNE,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,13,26,SEPTEMBER,2013,7,30,9,43,ALL,,,,,,,,,31,27,SEPTEMBER,2013,19,19630,29,SEPTEMBER,2013,908,6,JANUARY,2014,2,2,NO,YES,NO,YES
1,0237-001,237,103016630383,10301663,North - Rural,rural,132.19835,366.36749,North,Nkhata Bay,rural,0,5,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,KABUNDULI,PARTLY CLOUDY / PARTLY SUNNY,34,23,JUNE,2013,11,9,15,8,ALL,,,,,,,,,,,,,,,,,30,26,JUNE,2013,39,2,JULY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,34,29,AUGUST,2013,8,24,8,27,"A,B,X",,,,,,,,,10,30,AUGUST,2013,39,19613,12,SEPTEMBER,2013,910,11,DECEMBER,2013,2,2,YES,YES,NO,YES
1,0237-003,237,103016630383,10301663,North - Rural,rural,134.30949,366.36749,North,Nkhata Bay,rural,12.3,4,Panel A - 2 Visits,PANEL A,SPLIT-OFF HOUSEHOLD,Local or Distance Tracking,3,1,KABUNDULI,PARTLY CLOUDY / PARTLY SUNNY,34,27,JUNE,2013,9,10,12,7,A-X,,,,,,,,,,,,,,,,,30,3,JULY,2013,39,6,JULY,2013,YES,PARTLY CLOUDY / PARTLY SUNNY,34,7,OCTOBER,2013,8,8,8,16,"A,B,X",,,,,,,,,10,8,OCTOBER,2013,39,19645,14,OCTOBER,2013,910,12,DECEMBER,2013,2,2,NO,YES,NO,NO
1,0238-001,238,102201030140,10220103,North - Urban,urban,742.59344,999.17468,North,Karonga,urban,.0099999998,6,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,20,KYUNGU,PARTLY CLOUDY / PARTLY SUNNY,14,9,JUNE,2013,8,10,8,19,"A,B,X",,,,,,,,,,,,,,,,,10,10,JUNE,2013,19,12,JUNE,2013,YES,CLEAR / SUNNY,21,23,SEPTEMBER,2013,8,30,10,3,"A,B,C-X",,,,,,,,,31,25,SEPTEMBER,2013,19,19628,27,SEPTEMBER,2013,915,16,DECEMBER,2013,2,2,NO,YES,NO,NO
1,0239-001,239,103016630160,10301663,North - Rural,rural,293.39764,366.36749,North,Nkhata Bay,rural,11.05,5,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,Local or Distance Tracking,1,1,KABUNDULI,PARTLY CLOUDY / PARTLY SUNNY,34,24,JUNE,2013,12,9,14,16,ALL,,,,,,,,,,,,,,,,,30,25,JUNE,2013,39,2,JULY,2013,YES,PARTLY CLOUDY / PARTLY SUNNY,34,29,AUGUST,2013,13,3,13,10,"A,B,X",,,,,,,,,10,30,AUGUST,2013,39,19613,12,SEPTEMBER,2013,910,11,DECEMBER,2013,2,1,YES,YES,NO,YES
1,0240-001,240,102201030133,10220103,North - Urban,urban,737.36792,999.17468,North,Karonga,urban,.22,6,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,20,KYUNGU,MOSTLY CLEAR / MOSTLY SUNNY,13,4,JUNE,2013,8,51,8,58,A-X,,,,,,,,,,,,,,,,,10,10,JUNE,2013,19,12,JUNE,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,13,23,SEPTEMBER,2013,10,0,12,4,A-X,,,,,,,,,31,25,SEPTEMBER,2013,19,19628,27,SEPTEMBER,2013,915,17,DECEMBER,2013,2,2,NO,YES,NO,YES
1,0241-001,241,103016630300,10301663,North - Rural,rural,278.28717,366.36749,North,Nkhata Bay,rural,7.4299998,5,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,Local or Distance Tracking,1,1,KABUNDULI,PARTLY CLOUDY / PARTLY SUNNY,31,26,JUNE,2013,10,50,13,45,ALL,,,,,,,,,,,,,,,,,30,26,JUNE,2013,39,3,JULY,2013,YES,CLEAR / SUNNY,84,29,AUGUST,2013,16,27,16,28,AB&X,,,,,,,,,10,30,AUGUST,2013,39,19612,11,SEPTEMBER,2013,910,12,DECEMBER,2013,1,1,YES,YES,NO,NO
1,0242-002,242,102201030021,10220103,North - Urban,urban,732.59039,999.17468,North,Karonga,urban,.0099999998,6,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,20,KARONGA TOWN,PARTLY CLOUDY / PARTLY SUNNY,11,10,JUNE,2013,8,30,8,45,ABX,,,,,,,,,,,,,,,,,10,11,JUNE,2013,19,13,JUNE,2013,YES,PARTLY CLOUDY / PARTLY SUNNY,11,24,SEPTEMBER,2013,7,20,8,41,ALL,,,,,,,,,31,25,SEPTEMBER,2013,19,19627,26,SEPTEMBER,2013,915,17,DECEMBER,2013,1,1,NO,YES,NO,NO
1,0243-001,243,103016630188,10301663,North - Rural,rural,293.39764,366.36749,North,Nkhata Bay,rural,64.269997,3,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,Local or Distance Tracking,1,1,ZILAKOMA,PARTLY CLOUDY / PARTLY SUNNY,34,18,JULY,2013,11,45,13,23,ALL,,,,,,,,,,,,,,,,,30,20,JULY,2013,39,27,JULY,2013,YES,PARTLY CLOUDY / PARTLY SUNNY,34,2,OCTOBER,2013,7,5,7,16,"A,B,X",,,,,,,,,10,3,OCTOBER,2013,39,19645,14,OCTOBER,2013,910,12,DECEMBER,2013,2,2,NO,YES,NO,NO
1,0244-001,244,102201030095,10220103,North - Urban,urban,366.2952,999.17468,North,Karonga,urban,.029999999,9,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,20,KARONGA BOMA,CLEAR / SUNNY,12,8,JUNE,2013,7,35,8,4,"A,B & X",,,,,,,,,,,,,,,,,10,9,JUNE,2013,19,12,JUNE,2013,YES,CLEAR / SUNNY,12,23,SEPTEMBER,2013,10,30,12,42,A-X,,,,,,,,,31,25,SEPTEMBER,2013,19,19630,29,SEPTEMBER,2013,915,13,DECEMBER,2013,2,1,NO,YES,YES,YES
1,0244-003,244,102201030095,10220103,North - Urban,urban,379.47894,999.17468,North,Karonga,urban,1.67,2,Panel B - Combined Visit,PANEL B,SPLIT-OFF HOUSEHOLD,Local or Distance Tracking,3,20,KARONGA BOMA,CLEAR / SUNNY,12,26,SEPTEMBER,2013,9,5,10,49,A-X,,,,,,,,,,,,,,,,,31,26,SEPTEMBER,2013,19,26,SEPTEMBER,2013,YES,CLEAR / SUNNY,12,26,SEPTEMBER,2013,9,5,10,49,A-X,,,,,,,,,31,25,SEPTEMBER,2013,19,19628,27,SEPTEMBER,2013,908,3,JANUARY,2014,2,1,YES,YES,NO,NO
1,0245-001,245,103016630233,10301663,North - Rural,rural,322.71725,366.36749,North,Nkhata Bay,rural,.050000001,2,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,KABUNDULI,CLEAR / SUNNY,33,26,JUNE,2013,15,11,16,13,ALL,,,,,,,,,,,,,,,,,30,26,JUNE,2013,39,2,JULY,2013,NO,CLEAR / SUNNY,33,29,AUGUST,2013,10,35,10,39,"A,B,X",,,,,,,,,10,30,AUGUST,2013,39,19614,13,SEPTEMBER,2013,910,12,DECEMBER,2013,1,1,NO,NO,NO,YES
1,0246-001,246,102201030073,10220103,North - Urban,urban,749.34088,999.17468,North,Karonga,urban,.0099999998,5,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,20,KARONGA TOWN,PARTLY CLOUDY / PARTLY SUNNY,11,9,JUNE,2013,10,50,11,2,ABX,,,,,,,,,,,,,,,,,10,10,JUNE,2013,19,13,JUNE,2013,YES,PARTLY CLOUDY / PARTLY SUNNY,11,23,SEPTEMBER,2013,10,15,11,30,ALL,,,,,,,,,31,25,SEPTEMBER,2013,19,19627,26,SEPTEMBER,2013,915,17,DECEMBER,2013,1,1,YES,YES,NO,YES
1,0247-001,247,103016630235,10301663,North - Rural,rural,146.69882,366.36749,North,Nkhata Bay,rural,.029999999,5,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,KABUNDULI,MOSTLY CLEAR / MOSTLY SUNNY,34,26,JUNE,2013,15,7,17,51,ALL,,,,,,,,,,,,,,,,,30,3,JULY,2013,39,6,JULY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,34,29,AUGUST,2013,10,22,10,29,"A,B,X",,,,,,,,,10,30,AUGUST,2013,39,19613,12,SEPTEMBER,2013,910,12,DECEMBER,2013,2,2,NO,YES,NO,NO
1,0247-002,247,103016630235,10301663,North - Rural,rural,141.63269,366.36749,North,Nkhata Bay,rural,.69999999,3,Panel A - 2 Visits,PANEL A,SPLIT-OFF HOUSEHOLD,Local or Distance Tracking,2,1,KABUNDULI,CLEAR / SUNNY,31,26,JUNE,2013,15,0,17,45,ALL,,,,,,,,,,,,,,,,,30,26,JUNE,2013,39,2,JULY,2013,YES,CLEAR / SUNNY,84,29,AUGUST,2013,8,38,8,46,ALL,,,,,,,,,10,30,AUGUST,2013,39,19612,11,SEPTEMBER,2013,910,11,DECEMBER,2013,2,1,NO,YES,YES,NO
1,0248-001,248,102201030110,10220103,North - Urban,urban,732.59039,999.17468,North,Karonga,urban,.0099999998,9,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,20,KYUNGU,CLEAR / SUNNY,14,10,JUNE,2013,10,20,10,39,"A,B,X",,,,,,,,,,,,,,,,,10,11,JUNE,2013,19,12,JUNE,2013,YES,CLEAR / SUNNY,21,23,SEPTEMBER,2013,11,20,13,18,"A,B,C-X",,,,,,,,,31,25,SEPTEMBER,2013,19,19630,29,SEPTEMBER,2013,915,16,DECEMBER,2013,2,2,NO,YES,YES,NO
1,0249-001,249,103016630217,10301663,North - Rural,rural,270.37076,366.36749,North,Nkhata Bay,rural,.17,10,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,KABUNDURI,CLEAR / SUNNY,33,26,JUNE,2013,9,9,10,55,ALL,,,,,,,,,,,,,,,,,30,26,JUNE,2013,39,2,JULY,2013,YES,CLEAR / SUNNY,33,29,AUGUST,2013,8,43,8,47,"B,-X",,,,,,,,,10,30,AUGUST,2013,39,19614,13,SEPTEMBER,2013,910,12,DECEMBER,2013,1,2,NO,YES,NO,NO
1,0250-001,250,102201030103,10220103,North - Urban,urban,732.59039,999.17468,North,Karonga,urban,1.75,6,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,20,KYUNGU,MOSTLY CLEAR / MOSTLY SUNNY,13,9,JUNE,2013,11,12,11,19,A-X,,,,,,,,,,,,,,,,,10,10,JUNE,2013,19,12,JUNE,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,13,24,SEPTEMBER,2013,7,0,10,1,A-X,,,,,,,,,31,25,SEPTEMBER,2013,19,19630,29,SEPTEMBER,2013,915,16,DECEMBER,2013,2,2,NO,YES,NO,NO
1,0251-001,251,103016630307,10301663,North - Rural,rural,278.28717,366.36749,North,Nkhata Bay,rural,.60000002,5,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,Local or Distance Tracking,1,1,KABUNDURI,CLEAR / SUNNY,32,26,JUNE,2013,15,25,16,28,A-X,,,,,,,,,,,,,,,,,30,26,JUNE,2013,39,2,JULY,2013,YES,CLEAR / SUNNY,32,29,AUGUST,2013,10,43,10,54,"A,B&X",,,,,,,,,10,30,AUGUST,2013,39,19612,11,SEPTEMBER,2013,910,11,DECEMBER,2013,1,1,NO,YES,NO,NO
1,0252-001,252,102201030013,10220103,North - Urban,urban,721.07507,999.17468,North,Karonga,urban,.0099999998,3,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,20,KARONGA BOMA,CLEAR / SUNNY,12,9,JUNE,2013,7,11,7,18,"A,B & X",,,,,,,,,,,,,,,,,10,10,JUNE,2013,19,12,JUNE,2013,YES,CLEAR / SUNNY,12,24,SEPTEMBER,2013,7,0,8,47,A-X,,,,,,,,,31,25,SEPTEMBER,2013,19,19627,26,SEPTEMBER,2013,915,13,DECEMBER,2013,1,1,YES,YES,YES,NO
1,0252-002,252,102201030013,10220103,North - Urban,urban,363.9469,999.17468,North,Karonga,rural,16.879999,6,Panel B - 2 Visits,PANEL B,SPLIT-OFF HOUSEHOLD,Local or Distance Tracking,2,2,KILIPULA,CLEAR / SUNNY,12,10,JUNE,2013,8,1,8,12,"A,B,& X",,,,,,,,,,,,,,,,,10,11,JUNE,2013,19,13,JUNE,2013,YES,CLEAR / SUNNY,12,27,OCTOBER,2013,7,30,8,57,A-X,,,,,,,,,31,27,OCTOBER,2013,19,19660,29,OCTOBER,2013,69,6,JANUARY,2014,2,1,NO,YES,NO,NO
1,0253-001,253,103016630181,10301663,North - Rural,rural,161.35863,366.36749,North,Nkhata Bay,rural,.07,4,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,KAWALADZI,CLEAR / SUNNY,33,23,JUNE,2013,9,10,11,9,ALL,,,,,,,,,,,,,,,,,30,26,JUNE,2013,39,3,JULY,2013,YES,CLEAR / SUNNY,33,29,AUGUST,2013,9,45,9,51,"B,X",,,,,,,,,10,30,AUGUST,2013,39,19614,13,SEPTEMBER,2013,910,12,DECEMBER,2013,1,1,NO,YES,NO,NO
