occ,y2_hhid,PID,qx_type,interview_status,hh_c01,hh_c02,hh_c03,hh_c04,hh_c05a,hh_c05b,hh_c06,hh_c08,hh_c09,hh_c11,hh_c12,hh_c13,hh_c15,hh_c16,hh_c17,hh_c18,hh_c19a,hh_c19b,hh_c20,hh_c22a,hh_c22b,hh_c22c,hh_c22d,hh_c22e,hh_c22f,hh_c22g,hh_c22h,hh_c22i,hh_c22j
6,0445-001,044506,PANEL A,Panel A - 2 Visits,6,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 1,NONE,YES,NURSERY / PRE SCHOOL,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,1,HOUR,NO,0,0,60,0,0,0,0,100,0,
7,0445-001,044507,PANEL A,Panel A - 2 Visits,7,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
8,0445-001,044500108,PANEL A,Panel A - 2 Visits,8,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0446-001,044601,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,0446-001,044602,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 8,NONE,NO,,NO,1998,,,,,,,,,,,,,,,,
3,0446-001,044603,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 6,NONE,YES,PRIMARY STANDARD 5,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,1500,1200,0,200,0,0,0,
4,0446-001,044604,PANEL B,Panel B - 2 Visits,4,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 4,NONE,YES,PRIMARY STANDARD 3,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,900,1000,0,200,0,0,0,
1,0447-002,044702,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 5,NONE,NO,,NO,1998,,,,,,,,,,,,,,,,
2,0447-002,044703,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 3,NONE,YES,PRIMARY STANDARD 2,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,10,MINUTE,NO,0,0,200,0,0,1500,0,0,0,
3,0447-002,044704,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 1,NONE,YES,NURSERY / PRE SCHOOL,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,10,MINUTE,NO,0,0,0,0,0,0,0,0,0,
4,0447-002,044705,PANEL A,Panel A - 2 Visits,4,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 1,NONE,YES,NURSERY / PRE SCHOOL,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,10,MINUTE,NO,0,0,0,0,0,0,0,0,0,
5,0447-002,044706,PANEL A,Panel A - 2 Visits,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0448-001,044801,PANEL B,Panel B - Combined Visit,1,,SELF-REPORTED,1,YES,YES,YES,PRIMARY STANDARD 8,NONE,NO,,NO,2000,,,,,,,,,,,,,,,,
2,0448-001,044802,PANEL B,Panel B - Combined Visit,2,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 4,NONE,NO,,NO,2000,,,,,,,,,,,,,,,,
3,0448-001,044803,PANEL B,Panel B - Combined Visit,3,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
4,0448-001,044804,PANEL B,Panel B - Combined Visit,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0448-001,044800105,PANEL B,Panel B - Combined Visit,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0449-001,044901,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,NO,NO,YES,PRIMARY STANDARD 3,NONE,NO,,NO,1982,,,,,,,,,,,,,,,,
2,0449-001,044902,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 4,NONE,NO,,NO,1984,,,,,,,,,,,,,,,,
3,0449-001,044903,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 7,NONE,YES,PRIMARY STANDARD 6,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,1500,1000,0,1500,0,0,0,
4,0449-001,044904,PANEL A,Panel A - 2 Visits,4,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 4,NONE,YES,PRIMARY STANDARD 3,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,1000,700,0,1500,0,0,0,
5,0449-001,044905,PANEL A,Panel A - 2 Visits,5,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 1,NONE,NO,,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,500,700,0,1500,0,0,0,
6,0449-001,044906,PANEL A,Panel A - 2 Visits,6,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 1,NONE,NO,,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,500,700,0,1500,0,0,0,
7,0449-001,044907,PANEL A,Panel A - 2 Visits,7,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0449-001,044900108,PANEL A,Panel A - 2 Visits,8,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0450-001,045001,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 6,NONE,NO,,NO,1952,,,,,,,,,,,,,,,,
1,0451-001,045101,PANEL A,Panel A - 2 Visits,1,,ANOTHER HH MEMBER,2,YES,YES,YES,SECONDARY FORM 1,PSLC,NO,,NO,2005,,,,,,,,,,,,,,,,
2,0451-001,045100102,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,YES,YES,YES,SECONDARY FORM 2,JCE,YES,SECONDARY FORM 1,YES,,OTHER SECONDARY,BOARDER,,,,NO,34000,0,4000,3000,30000,0,700,0,0,
3,0451-001,045100103,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,2,YES,YES,YES,PRIMARY STANDARD 7,NONE,NO,,NO,1999,,,,,,,,,,,,,,,,
4,0451-001,045100104,PANEL A,Panel A - 2 Visits,4,,ANOTHER HH MEMBER,2,YES,YES,YES,PRIMARY STANDARD 8,NONE,YES,PRIMARY STANDARD 7,YES,,CHURCH / MISSION SCHOOL,BOARDER,,,,NO,7500,0,2100,2800,30000,0,700,0,0,
5,0451-001,045100105,PANEL A,Panel A - 2 Visits,5,,ANOTHER HH MEMBER,2,NO,NO,YES,PRIMARY STANDARD 2,NONE,YES,PRIMARY STANDARD 1,YES,,CHURCH / MISSION SCHOOL,BOARDER,,,,NO,7500,0,1200,2500,30000,0,700,0,0,
6,0451-001,045100106,PANEL A,Panel A - 2 Visits,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0452-001,045201,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 1,NONE,NO,,NO,1924,,,,,,,,,,,,,,,,
2,0452-001,045202,PANEL B,Panel B - 2 Visits,2,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
1,0453-001,045301,PANEL A,Panel A - 2 Visits,1,,ANOTHER HH MEMBER,2,YES,NO,YES,PRIMARY STANDARD 6,NONE,NO,,NO,1975,,,,,,,,,,,,,,,,
2,0453-001,045302,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,NO,NO,YES,PRIMARY STANDARD 3,NONE,NO,,NO,1973,,,,,,,,,,,,,,,,
3,0453-001,045303,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,2,NO,NO,YES,PRIMARY STANDARD 3,NONE,YES,PRIMARY STANDARD 1,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,5,MINUTE,NO,0,0,200,900,0,0,0,0,30,
4,0453-001,045304,PANEL A,Panel A - 2 Visits,4,,ANOTHER HH MEMBER,2,NO,NO,YES,PRIMARY STANDARD 1,NONE,YES,PRIMARY STANDARD 7,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,5,MINUTE,NO,0,0,150,950,0,0,0,0,30,
5,0453-001,045300105,PANEL A,Panel A - 2 Visits,5,,ANOTHER HH MEMBER,2,YES,YES,YES,PRIMARY STANDARD 8,NONE,YES,PRIMARY STANDARD 3,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,5,MINUTE,NO,0,0,200,1600,0,0,0,0,900,
6,0453-001,045300106,PANEL A,Panel A - 2 Visits,6,,ANOTHER HH MEMBER,2,NO,NO,YES,PRIMARY STANDARD 4,NONE,YES,PRIMARY STANDARD 1,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,5,MINUTE,NO,0,0,150,600,0,0,0,0,30,
7,0453-001,045300107,PANEL A,Panel A - 2 Visits,7,,ANOTHER HH MEMBER,2,NO,NO,YES,PRIMARY STANDARD 1,NONE,YES,PRIMARY STANDARD 1,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,5,MINUTE,NO,0,0,150,750,0,0,0,0,30,
8,0453-001,045300108,PANEL A,Panel A - 2 Visits,8,,ANOTHER HH MEMBER,2,NO,NO,YES,PRIMARY STANDARD 1,NONE,YES,PRIMARY STANDARD 1,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,5,MINUTE,NO,0,0,150,600,0,0,0,0,30,
9,0453-001,045300109,PANEL A,Panel A - 2 Visits,9,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0455-002,045502,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 8,NONE,NO,,NO,2004,,,,,,,,,,,,,,,,
2,0455-002,045503,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 3,NONE,YES,PRIMARY STANDARD 2,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,3,MINUTE,NO,0,0,100,500,0,0,0,300,0,
3,0455-002,045504,PANEL A,Panel A - 2 Visits,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0455-002,045500204,PANEL A,Panel A - 2 Visits,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0456-001,045601,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,0456-001,045602,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 5,NONE,NO,,NO,2002,,,,,,,,,,,,,,,,
3,0456-001,045603,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 3,NONE,NO,,NO,2006,,,,,,,,,,,,,,,,
4,0456-001,045605,PANEL B,Panel B - 2 Visits,4,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 2,NONE,YES,PRIMARY STANDARD 1,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,40,MINUTE,NO,0,0,400,800,0,0,0,0,0,
5,0456-001,045606,PANEL B,Panel B - 2 Visits,5,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
6,0456-001,045604,PANEL B,Panel B - 2 Visits,6,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 5,NONE,NO,,NO,2010,,,,,,,,,,,,,,,,
1,0457-001,045701,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 8,PSLC,NO,,NO,1999,,,,,,,,,,,,,,,,
2,0457-001,045702,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 8,PSLC,NO,,NO,1998,,,,,,,,,,,,,,,,
3,0457-001,045703,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 2,NONE,YES,PRIMARY STANDARD 1,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,15,MINUTE,NO,0,0,250,1000,0,150,0,0,0,
4,0457-001,045704,PANEL A,Panel A - 2 Visits,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0457-001,045700105,PANEL A,Panel A - 2 Visits,5,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
1,0458-001,045801,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 8,NONE,NO,,NO,1996,,,,,,,,,,,,,,,,
2,0458-001,045802,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 8,NONE,NO,,NO,1999,,,,,,,,,,,,,,,,
3,0458-001,045803,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 7,NONE,YES,PRIMARY STANDARD 7,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,250,800,0,100,0,0,90,
4,0458-001,045804,PANEL B,Panel B - 2 Visits,4,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 6,NONE,YES,PRIMARY STANDARD 6,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,300,800,0,100,0,0,90,
5,0458-001,045805,PANEL B,Panel B - 2 Visits,5,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 2,NONE,YES,PRIMARY STANDARD 2,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,200,800,0,100,0,0,60,
6,0458-001,045800106,PANEL B,Panel B - 2 Visits,6,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0458-001,045800107,PANEL B,Panel B - 2 Visits,7,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0459-002,046501,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 5,NONE,NO,,NO,1982,,,,,,,,,,,,,,,,
2,0459-002,045902,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 7,NONE,YES,PRIMARY STANDARD 6,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,2,MINUTE,NO,0,0,500,0,0,500,0,0,0,
1,0460-001,046001,PANEL B,Panel B - 2 Visits,1,,ANOTHER HH MEMBER,2,YES,YES,YES,PRIMARY STANDARD 8,NONE,NO,,NO,2003,,,,,,,,,,,,,,,,
2,0460-001,046002,PANEL B,Panel B - 2 Visits,2,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 8,NONE,NO,,NO,2003,,,,,,,,,,,,,,,,
3,0460-001,046003,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,2,NO,NO,YES,PRIMARY STANDARD 3,NONE,YES,PRIMARY STANDARD 1,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,2,MINUTE,NO,0,0,150,900,0,0,0,0,150,
4,0460-001,046004,PANEL B,Panel B - 2 Visits,4,,ANOTHER HH MEMBER,2,NO,NO,YES,PRIMARY STANDARD 2,NONE,YES,PRIMARY STANDARD 2,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,2,MINUTE,NO,0,0,100,700,0,0,0,0,150,
5,0460-001,046005,PANEL B,Panel B - 2 Visits,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0461-001,046101,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 4,NONE,NO,,NO,1972,,,,,,,,,,,,,,,,
2,0461-001,046102,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
1,0462-001,046201,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,TRAINING COLLEGE YEAR 2,NON-UNIVERSITY DIPLOMA,NO,,NO,1989,,,,,,,,,,,,,,,,
2,0462-001,046202,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 8,NONE,NO,,NO,1989,,,,,,,,,,,,,,,,
3,0462-001,046200103,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 7,NONE,YES,PRIMARY STANDARD 6,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,5,MINUTE,NO,0,0,1200,1100,0,700,0,0,160,
1,0463-001,046301,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 3,NONE,NO,,NO,1964,,,,,,,,,,,,,,,,
2,0463-001,046303,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 5,NONE,YES,PRIMARY STANDARD 4,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,5,MINUTE,NO,0,0,200,0,0,0,0,300,0,
3,0463-001,046304,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 2,NONE,YES,PRIMARY STANDARD 1,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,5,MINUTE,NO,0,0,50,0,0,0,0,300,0,
4,0463-001,046300104,PANEL A,Panel A - 2 Visits,4,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 5,NONE,YES,PRIMARY STANDARD 4,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,5,MINUTE,NO,0,0,200,0,0,0,0,300,0,
1,0463-002,046302,PANEL A,Panel A - Combined Visit,1,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 5,NONE,NO,,NO,2000,,,,,,,,,,,,,,,,
2,0463-002,046300202,PANEL A,Panel A - Combined Visit,2,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0464-001,046401,PANEL B,Panel B - 2 Visits,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0464-001,046402,PANEL B,Panel B - 2 Visits,2,,SELF-REPORTED,,YES,YES,YES,SECONDARY FORM 2,PSLC,NO,,NO,2007,,,,,,,,,,,,,,,,
3,0464-001,046403,PANEL B,Panel B - 2 Visits,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0464-001,046400104,PANEL B,Panel B - 2 Visits,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0466-001,046601,PANEL B,Panel B - 2 Visits,1,,ANOTHER HH MEMBER,2,YES,YES,YES,PRIMARY STANDARD 8,PSLC,NO,,NO,2000,,,,,,,,,,,,,,,,
2,0466-001,046602,PANEL B,Panel B - 2 Visits,2,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 8,NONE,NO,,NO,1998,,,,,,,,,,,,,,,,
3,0466-001,046603,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,2,NO,NO,YES,PRIMARY STANDARD 1,NONE,YES,PRIMARY STANDARD 1,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,100,0,0,0,0,0,200,
4,0466-001,046604,PANEL B,Panel B - 2 Visits,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0466-001,046600105,PANEL B,Panel B - 2 Visits,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0467-001,046701,PANEL A,Panel A - 2 Visits,1,,ANOTHER HH MEMBER,2,YES,YES,YES,SECONDARY FORM 1,PSLC,NO,,NO,1998,,,,,,,,,,,,,,,,
2,0467-001,046702,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 8,PSLC,NO,,NO,2000,,,,,,,,,,,,,,,,
3,0467-001,046703,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,2,YES,YES,YES,PRIMARY STANDARD 3,NONE,YES,PRIMARY STANDARD 3,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,0,700,0,60,0,0,0,
4,0467-001,046704,PANEL A,Panel A - 2 Visits,4,,ANOTHER HH MEMBER,2,NO,NO,YES,NURSERY / PRE SCHOOL,NONE,NO,,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,0,400,0,30,0,0,0,
1,0468-001,046801,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,SECONDARY FORM 4,MSCE,NO,,NO,2005,,,,,,,,,,,,,,,,
2,0468-001,046802,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 5,NONE,NO,,NO,2005,,,,,,,,,,,,,,,,
3,0468-001,046803,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 1,NONE,YES,NURSERY / PRE SCHOOL,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,10,MINUTE,NO,0,0,0,500,0,0,0,0,0,
4,0468-001,046800104,PANEL B,Panel B - 2 Visits,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0469-001,046901,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,0469-001,046902,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
1,0470-001,047001,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 2,NONE,NO,,NO,1961,,,,,,,,,,,,,,,,
2,0470-001,047002,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 4,NONE,NO,,NO,1974,,,,,,,,,,,,,,,,
3,0470-001,047000103,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 4,MSCE,NO,,NO,2003,,,,,,,,,,,,,,,,
4,0470-001,047000104,PANEL B,Panel B - 2 Visits,4,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 5,NONE,NO,,NO,2010,,,,,,,,,,,,,,,,
5,0470-001,047000105,PANEL B,Panel B - 2 Visits,5,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 2,NONE,YES,PRIMARY STANDARD 2,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,250,900,0,0,0,0,150,
6,0470-001,047000106,PANEL B,Panel B - 2 Visits,6,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 8,NONE,YES,PRIMARY STANDARD 7,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,300,800,0,0,0,0,150,
7,0470-001,047000107,PANEL B,Panel B - 2 Visits,7,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
8,0470-001,047005,PANEL B,Panel B - 2 Visits,8,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 2,PSLC,NO,,NO,2011,,,,,,,,,,,,,,,,
1,0471-001,047101,PANEL A,Panel A - 2 Visits,1,,ANOTHER HH MEMBER,2,YES,YES,YES,SECONDARY FORM 2,JCE,NO,,NO,1982,,,,,,,,,,,,,,,,
2,0471-001,047102,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 5,NONE,NO,,NO,1996,,,,,,,,,,,,,,,,
3,0471-001,047103,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,2,YES,NO,YES,PRIMARY STANDARD 4,NONE,YES,PRIMARY STANDARD 3,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,10,MINUTE,NO,0,200,500,700,0,0,0,0,60,
4,0471-001,047104,PANEL A,Panel A - 2 Visits,4,,ANOTHER HH MEMBER,2,NO,NO,YES,PRIMARY STANDARD 1,NONE,YES,PRIMARY STANDARD 1,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,10,MINUTE,NO,0,200,200,500,0,0,0,0,60,
5,0471-001,047100105,PANEL A,Panel A - 2 Visits,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0472-002,047202,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,SECONDARY FORM 3,JCE,NO,,NO,2005,,,,,,,,,,,,,,,,
2,0472-002,047203,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 3,NONE,YES,PRIMARY STANDARD 2,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,700,1000,0,0,0,0,0,
3,0472-002,047204,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 2,NONE,YES,PRIMARY STANDARD 1,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,100,1000,0,0,0,0,0,
4,0472-002,047205,PANEL B,Panel B - 2 Visits,4,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 1,NONE,YES,NURSERY / PRE SCHOOL,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,0,0,0,0,0,0,0,
5,0472-002,047206,PANEL B,Panel B - 2 Visits,5,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
6,0472-002,047207,PANEL B,Panel B - 2 Visits,6,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 4,NONE,NO,,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,200,1000,0,0,0,0,0,
7,0472-002,047208,PANEL B,Panel B - 2 Visits,7,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0472-002,047200208,PANEL B,Panel B - 2 Visits,8,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0473-001,047301,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 5,NONE,NO,,NO,1952,,,,,,,,,,,,,,,,
2,0473-001,047302,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,NO,NO,YES,PRIMARY STANDARD 1,NONE,NO,,NO,1947,,,,,,,,,,,,,,,,
1,0474-001,047401,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 8,NONE,NO,,NO,2003,,,,,,,,,,,,,,,,
2,0474-001,047402,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 1,PSLC,NO,,NO,2003,,,,,,,,,,,,,,,,
