occ,y2_hhid,qx_type,interview_status,ag_i0b,ag_i01,ag_i01_1,ag_i02a,ag_i02b,ag_i02c,ag_i03,ag_i11,ag_i12a,ag_i12b,ag_i12c,ag_i12_1a,ag_i12_1b,ag_i13,ag_i14a,ag_i14b,ag_i15a,ag_i15b,ag_i16,ag_i17,ag_i18,ag_i19,ag_i20,ag_i21a,ag_i21b,ag_i21c,ag_i21_1a,ag_i21_1b,ag_i22,ag_i23a,ag_i23b,ag_i24a,ag_i24b,ag_i25,ag_i26,ag_i27,ag_i31a,ag_i31b,ag_i31c,ag_i32a,ag_i32b,ag_i32c,ag_i33a,ag_i33b,ag_i33c,ag_i34a,ag_i34b,ag_i34c,ag_i35a,ag_i35b,ag_i35c,ag_i36a,ag_i36b,ag_i36c,ag_i36d,ag_i37a,ag_i37b,ag_i38,ag_i39,ag_i40a,ag_i40b,ag_i40c,ag_i41a,ag_i41b,ag_i42a,ag_i42b
1,0098-001,PANEL B,Panel B - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,2,50 KG BAG,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0098-001,PANEL B,Panel B - 2 Visits,RICE KILOMBERO,YES,1,3,50 KG BAG,SHELLED,44000,N01,3,50 KG BAG,SHELLED,1,2,44000,1,2,JULY,2013,2,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,3,50 KG BAG,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0099-001,PANEL A,Panel A - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
2,0099-001,PANEL A,Panel A - 2 Visits,GROUNDNUT CHALIMBANA,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (SMALL),UNSHELLED,0,,,0,,,0,,,1,PAIL (SMALL),UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
1,0100-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,10,PAIL (LARGE),SHELLED,,FLOOD,,YES,BAGS IN HOUSE,7,PAIL (LARGE),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,
2,0100-001,PANEL B,Panel B - 2 Visits,RICE KILOMBERO,YES,1,30,PAIL (LARGE),UNSHELLED,60000,N02,30,PAIL (LARGE),UNSHELLED,1,2,60000,1,2,JULY,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,3,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,4,PAIL (LARGE),UNSHELLED,12,PAIL (LARGE),UNSHELLED,,FLOOD,,YES,BAGS IN HOUSE,30,PAIL (LARGE),UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0100-003,PANEL B,Panel B - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,6,PAIL (LARGE),SHELLED,,FLOOD,,YES,BAGS IN HOUSE,6,PAIL (LARGE),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,
2,0100-003,PANEL B,Panel B - 2 Visits,MAIZE LOCAL,YES,1,20,PAIL (LARGE),UNSHELLED,40000,N02,20,PAIL (LARGE),UNSHELLED,1,2,40000,1,2,JULY,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,2,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,2,PAIL (LARGE),UNSHELLED,10,PAIL (LARGE),UNSHELLED,,FLOOD,,YES,BAGS IN HOUSE,2,PAIL (LARGE),UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0101-001,PANEL A,Panel A - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0101-001,PANEL A,Panel A - 2 Visits,NKHWANI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
3,0101-001,PANEL A,Panel A - 2 Visits,GROUNDNUT MANIPINTA,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0102-001,PANEL B,Panel B - 2 Visits,RICE KILOMBERO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,50 KG BAG,UNSHELLED,0,,,0,,,0,,,1,50 KG BAG,UNSHELLED,0,,,,,,YES,BAGS IN HOUSE,10,50 KG BAG,UNSHELLED,SMOKING,,FOOD FOR HOUSEHOLD,
2,0102-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID RECYCLED,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,7,50 KG BAG,SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,
1,0103-001,PANEL A,Panel A - 2 Visits,MAIZE HYBRID RECYCLED,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,4,50 KG BAG,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0103-001,PANEL A,Panel A - 2 Visits,NKHWANI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0103-003,PANEL A,Panel A - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0103-003,PANEL A,Panel A - 2 Visits,FINGER MILLET(MAWERE),NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0104-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,24,PAIL (LARGE),SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,
2,0104-001,PANEL B,Panel B - 2 Visits,RICE KILOMBERO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,3,PAIL (LARGE),UNSHELLED,0,,,,,,YES,BAGS IN HOUSE,15,PAIL (LARGE),UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0105-001,PANEL A,Panel A - 2 Visits,MAIZE HYBRID RECYCLED,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
2,0105-001,PANEL A,Panel A - 2 Visits,GROUNDNUT CHALIMBANA,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
1,0106-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,4,PAIL (LARGE),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,
2,0106-001,PANEL B,Panel B - 2 Visits,RICE KILOMBERO,YES,1,10,PAIL (LARGE),UNSHELLED,18000,N02,10,PAIL (LARGE),UNSHELLED,1,2,18000,1,2,JULY,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,2,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,4,PAIL (LARGE),UNSHELLED,0,,,,,,YES,BAGS IN HOUSE,10,PAIL (LARGE),UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0107-001,PANEL A,Panel A - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,YES,BAGS IN HOUSE,4,50 KG BAG,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,
1,0108-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
2,0108-001,PANEL B,Panel B - 2 Visits,RICE KILOMBERO,YES,1,2,50 KG BAG,UNSHELLED,4000,N04,2,50 KG BAG,UNSHELLED,1,,4000,1,,JULY,2013,1,ON FOOT,0,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,20,KILOGRAM,UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
3,0108-001,PANEL B,Panel B - 2 Visits,RICE FAYA,YES,1,2,50 KG BAG,UNSHELLED,3600,N04,2,50 KG BAG,UNSHELLED,1,,3600,1,,JULY,2013,1,ON FOOT,0,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
4,0108-001,PANEL B,Panel B - 2 Visits,RICE TCG10,YES,1,2,50 KG BAG,UNSHELLED,3600,N04,2,50 KG BAG,UNSHELLED,1,,3600,1,,JULY,2013,1,ON FOOT,0,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0109-001,PANEL A,Panel A - 2 Visits,MAIZE HYBRID RECYCLED,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,5,KILOGRAM,SHELLED,0,,,,,,YES,BAGS IN HOUSE,3,PAIL (LARGE),SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,
2,0109-001,PANEL A,Panel A - 2 Visits,GROUNDNUT CHALIMBANA,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,KILOGRAM,UNSHELLED,0,,,0,,,0,,,10,KILOGRAM,UNSHELLED,0,,,,,,YES,BAGS IN HOUSE,10,KILOGRAM,UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0110-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,8,PAIL (LARGE),SHELLED,,FLOOD,,YES,BAGS IN HOUSE,3,PAIL (LARGE),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,
2,0110-001,PANEL B,Panel B - 2 Visits,RICE KILOMBERO,YES,1,20,PAIL (LARGE),UNSHELLED,40000,N03,20,PAIL (LARGE),UNSHELLED,1,2,40000,1,2,JULY,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,3,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,4,PAIL (LARGE),UNSHELLED,10,PAIL (LARGE),UNSHELLED,,FLOOD,,YES,BAGS IN HOUSE,20,PAIL (LARGE),UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0110-006,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,,3,50 KG BAG,SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,
2,0110-006,PANEL B,Panel B - 2 Visits,GROUNDNUT CG7,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50 KG BAG,UNSHELLED,0,,,0,,,0,,,1,50 KG BAG,UNSHELLED,0,,,,,,YES,,4,50 KG BAG,UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,
1,0110-007,PANEL B,Panel B - 2 Visits,RICE KILOMBERO,YES,1,50,PAIL (LARGE),UNSHELLED,100000,N02,50,PAIL (LARGE),UNSHELLED,1,2,100000,1,2,AUGUST,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,2,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,4,PAIL (LARGE),UNSHELLED,0,,,,,,YES,BAGS IN HOUSE,30,PAIL (LARGE),UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0111-001,PANEL A,Panel A - 2 Visits,MAIZE HYBRID RECYCLED,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,YES,BAGS IN HOUSE,7,PAIL (LARGE),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,
2,0111-001,PANEL A,Panel A - 2 Visits,BEANS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,2,KILOGRAM,SHELLED,0,,,,,,YES,BAGS IN HOUSE,5,KILOGRAM,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
3,0111-001,PANEL A,Panel A - 2 Visits,FINGER MILLET(MAWERE),NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,3,KILOGRAM,SHELLED,0,,,,,,YES,BAGS IN HOUSE,5,KILOGRAM,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0112-001,PANEL B,Panel B - 2 Visits,RICE KILOMBERO,YES,1,30,PAIL (LARGE),UNSHELLED,60000,N03,30,PAIL (LARGE),UNSHELLED,1,,60000,1,,JULY,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,2,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,3,PAIL (LARGE),UNSHELLED,15,PAIL (LARGE),UNSHELLED,,ROTTING,FLOOD,YES,BAGS IN HOUSE,15,PAIL (LARGE),UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0112-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,7,PAIL (LARGE),SHELLED,,ROTTING,FLOOD,YES,BAGS IN HOUSE,3,PAIL (LARGE),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,
3,0112-001,PANEL B,Panel B - 2 Visits,GROUNDNUT JL24,YES,1,12,PAIL (LARGE),UNSHELLED,18000,N03,12,PAIL (LARGE),UNSHELLED,1,,18000,1,,AUGUST,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,2,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,1,PAIL (LARGE),UNSHELLED,5,PAIL (LARGE),UNSHELLED,,ROTTING,FLOOD,YES,BAGS IN HOUSE,3,PAIL (LARGE),UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0113-001,PANEL A,Panel A - 2 Visits,MAIZE HYBRID RECYCLED,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
2,0113-001,PANEL A,Panel A - 2 Visits,GROUNDNUT JL24,YES,2,2,PAIL (LARGE),UNSHELLED,4000,N02,2,PAIL (LARGE),UNSHELLED,1,2,4000,1,2,AUGUST,2013,1,ON FOOT,0,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
1,0115-001,PANEL A,Panel A - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,YES,BAGS IN HOUSE,2,PAIL (LARGE),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
2,0115-001,PANEL A,Panel A - 2 Visits,PEA,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
3,0115-001,PANEL A,Panel A - 2 Visits,TOBACCO BURLEY,YES,1,301,KILOGRAM,NOT APPLICABLE,162000,N05,301,KILOGRAM,NOT APPLICABLE,1,2,162000,1,2,JUNE,2013,1,TRUCK / BUS / MINIBUS,4200,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,TO SELL AT A HIGHER PRICE,DOES NOT USUALLY STORE
1,0116-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0116-001,PANEL B,Panel B - 2 Visits,RICE KILOMBERO,YES,1,3,50 KG BAG,SHELLED,40000,N02,3,50 KG BAG,SHELLED,1,6,40000,1,6,JULY,2013,2,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0117-002,PANEL A,Panel A - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,2,PAIL (LARGE),SHELLED,0,,,,,,YES,BAGS IN HOUSE,2,PAIL (LARGE),SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0117-002,PANEL A,Panel A - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
3,0117-002,PANEL A,Panel A - 2 Visits,SWEET POTATO,YES,1,2,PAIL (LARGE),NOT APPLICABLE,1400,N04,2,PAIL (LARGE),NOT APPLICABLE,1,2,1400,1,2,JULY,2013,2,ON FOOT,0,NO,,,,,,,,,,,,,,,4,PAIL (LARGE),NOT APPLICABLE,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
4,0117-002,PANEL A,Panel A - 2 Visits,OTHER GROUNDNUT (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0118-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,1,50 KG BAG,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0118-001,PANEL B,Panel B - 2 Visits,RICE KILOMBERO,YES,1,2,50 KG BAG,SHELLED,30000,N02,2,50 KG BAG,SHELLED,1,,30000,1,2,JUNE,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
3,0118-001,PANEL B,Panel B - 2 Visits,GROUNDNUT MANIPINTA,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,4,PAIL (LARGE),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0119-001,PANEL A,Panel A - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,2,50 KG BAG,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0119-001,PANEL A,Panel A - 2 Visits,GROUNDNUT MANIPINTA,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,1,PAIL (LARGE),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0119-002,PANEL A,Panel A - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
2,0119-002,PANEL A,Panel A - 2 Visits,PIGEONPEA(NANDOLO),NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
3,0119-002,PANEL A,Panel A - 2 Visits,BEANS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,1,KILOGRAM,SHELLED,,THEFT,,YES,BAGS IN HOUSE,2,KILOGRAM,SHELLED,HIRED GUARD,,FOOD FOR HOUSEHOLD,
1,0120-001,PANEL B,Panel B - 2 Visits,RICE KILOMBERO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50 KG BAG,UNSHELLED,0,,,0,,,0,,,1,50 KG BAG,UNSHELLED,0,,,,,,YES,BAGS IN HOUSE,6,50 KG BAG,UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,
1,0121-001,PANEL A,Panel A - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
2,0121-001,PANEL A,Panel A - 2 Visits,GROUNDNUT CHALIMBANA,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (SMALL),UNSHELLED,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
1,0123-001,PANEL A,Panel A - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,YES,BAGS IN HOUSE,7,PAIL (LARGE),SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
2,0123-001,PANEL A,Panel A - 2 Visits,PEA,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,3,KILOGRAM,SHELLED,0,,,,,,YES,BAGS IN HOUSE,1,PAIL (SMALL),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
3,0123-001,PANEL A,Panel A - 2 Visits,GROUNDNUT JL24,YES,1,6,PAIL (LARGE),UNSHELLED,15000,N01,6,PAIL (LARGE),UNSHELLED,1,2,15000,1,2,AUGUST,2013,1,ON FOOT,0,NO,,,,,,,,,,,,,,,1,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,1,PAIL (LARGE),UNSHELLED,0,,,,,,YES,BAGS IN HOUSE,2,PAIL (LARGE),UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0124-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,5,KILOGRAM,SHELLED,0,,,,,,YES,BAGS IN HOUSE,1,PAIL (LARGE),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,
2,0124-001,PANEL B,Panel B - 2 Visits,RICE KILOMBERO,YES,1,15,PAIL (LARGE),UNSHELLED,37500,N03,15,PAIL (LARGE),UNSHELLED,1,,37500,1,,AUGUST,2013,2,BICYCLE TAXI,1000,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,1,PAIL (LARGE),UNSHELLED,0,,,,,,YES,BAGS IN HOUSE,37,PAIL (LARGE),UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0125-001,PANEL A,Panel A - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,10,PAIL (LARGE),SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,
2,0125-001,PANEL A,Panel A - 2 Visits,PEA,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
3,0125-001,PANEL A,Panel A - 2 Visits,TOBACCO BURLEY,YES,1,170,KILOGRAM,NOT APPLICABLE,120000,N05,170,KILOGRAM,NOT APPLICABLE,1,2,120000,1,2,JUNE,2013,1,TRUCK / BUS / MINIBUS,2000,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,TO SELL AT A HIGHER PRICE,DOES NOT USUALLY STORE
1,0126-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,6,PAIL (LARGE),SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,
