occ,y2_hhid,qx_type,interview_status,ag_nr00,ag_nr02,ag_nr03
1,0466-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0466-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0466-001,PANEL B,Panel B - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
1,0467-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0467-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0467-001,PANEL A,Panel A - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
4,0467-001,PANEL A,Panel A - 2 Visits,N04,RELATIVE,NEAR THE VILLAGE
5,0467-001,PANEL A,Panel A - 2 Visits,N05,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
6,0467-001,PANEL A,Panel A - 2 Visits,N06,OTHER (SPECIFY),NEAR THE TOWN
1,0468-001,PANEL B,Panel B - 2 Visits,N01,PRIVATE TRADER IN MAIN MARKET,NEAR THE TOWN
2,0468-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE TOWN
3,0468-001,PANEL B,Panel B - 2 Visits,N03,OTHER (SPECIFY),NEAR THE TOWN
1,0469-001,PANEL A,Panel A - 2 Visits,N01,RELATIVE,NEAR THE VILLAGE
2,0469-001,PANEL A,Panel A - 2 Visits,N02,OTHER (SPECIFY),WITHIN THE VILLAGE
1,0470-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0470-001,PANEL B,Panel B - 2 Visits,N02,GOVERNMENT AGENCY,NEAR THE VILLAGE
1,0471-001,PANEL A,Panel A - 2 Visits,N01,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,0472-002,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0472-002,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE TOWN
1,0473-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0473-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
1,0474-001,PANEL B,Panel B - 2 Visits,N01,LOCAL MARKET,NEAR THE VILLAGE
2,0474-001,PANEL B,Panel B - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
3,0474-001,PANEL B,Panel B - 2 Visits,N03,OTHER (SPECIFY),NEAR THE TOWN
1,0475-001,PANEL A,Panel A - 2 Visits,N01,RELATIVE,WITHIN THE VILLAGE
1,0477-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0477-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0477-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
4,0477-001,PANEL A,Panel A - 2 Visits,N04,LOCAL MARKET,NEAR THE TOWN
1,0477-002,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0477-002,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0477-002,PANEL A,Panel A - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
4,0477-002,PANEL A,Panel A - 2 Visits,N04,RELATIVE,WITHIN THE VILLAGE
1,0478-001,PANEL B,Panel B - 2 Visits,N01,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
2,0478-001,PANEL B,Panel B - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
3,0478-001,PANEL B,Panel B - 2 Visits,N03,PRIVATE TRADER IN LOCAL MARKET,NEAR THE VILLAGE
4,0478-001,PANEL B,Panel B - 2 Visits,N04,FRIEND/NEIGHBOR,NEAR THE VILLAGE
5,0478-001,PANEL B,Panel B - 2 Visits,N05,PRIVATE VETERINARY,NEAR THE VILLAGE
1,0479-002,PANEL A,Panel A - 2 Visits,N01,RELATIVE,WITHIN THE VILLAGE
1,0480-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0480-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
1,0481-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0481-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0481-001,PANEL A,Panel A - 2 Visits,N03,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,0482-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0482-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0482-001,PANEL B,Panel B - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
4,0482-001,PANEL B,Panel B - 2 Visits,N04,RELATIVE,WITHIN THE VILLAGE
5,0482-001,PANEL B,Panel B - 2 Visits,N05,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE DISTRICT/URBAN CENTER
1,0483-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0483-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE TOWN
3,0483-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE MICROFINANCE INSTITUTION,NEAR THE TOWN
1,0484-001,PANEL B,Panel B - 2 Visits,N01,RELATIVE,WITHIN THE VILLAGE
2,0484-001,PANEL B,Panel B - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
3,0484-001,PANEL B,Panel B - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
4,0484-001,PANEL B,Panel B - 2 Visits,N04,FARMER BASED CLUB/ASSOCIATION,WITHIN THE VILLAGE
5,0484-001,PANEL B,Panel B - 2 Visits,N05,LOCAL MARKET,NEAR THE VILLAGE
6,0484-001,PANEL B,Panel B - 2 Visits,N06,RELIGIOUS GROUP/INSTITUTION,WITHIN THE VILLAGE
7,0484-001,PANEL B,Panel B - 2 Visits,N07,GOVERNMENT-FINANCED LENDER,OUTSIDE THE DISTRICT
1,0485-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0485-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0485-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
1,0486-001,PANEL B,Panel B - 2 Visits,N01,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
2,0486-001,PANEL B,Panel B - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
1,0487-001,PANEL A,Panel A - 2 Visits,N01,PRIVATE TRADER IN MAIN MARKET,NEAR THE VILLAGE
2,0487-001,PANEL A,Panel A - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
3,0487-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
4,0487-001,PANEL A,Panel A - 2 Visits,N04,PRIVATE TRADER IN LOCAL MARKET,NEAR THE VILLAGE
1,0487-007,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0487-007,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,WITHIN THE VILLAGE
3,0487-007,PANEL A,Panel A - 2 Visits,N03,MOBILE MARKET,NEAR THE VILLAGE
4,0487-007,PANEL A,Panel A - 2 Visits,N04,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,0488-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0488-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0488-001,PANEL B,Panel B - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
4,0488-001,PANEL B,Panel B - 2 Visits,N04,OTHER (SPECIFY),NEAR THE TOWN
1,0489-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0489-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0489-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
4,0489-001,PANEL A,Panel A - 2 Visits,N04,RELATIVE,NEAR THE VILLAGE
5,0489-001,PANEL A,Panel A - 2 Visits,N05,RELATIVE,NEAR THE VILLAGE
6,0489-001,PANEL A,Panel A - 2 Visits,N06,RELATIVE,WITHIN THE VILLAGE
7,0489-001,PANEL A,Panel A - 2 Visits,N07,MAIN MARKET,NEAR THE DISTRICT/URBAN CENTER
1,0489-004,PANEL A,Panel A - 2 Visits,N01,RELATIVE,WITHIN THE VILLAGE
1,0490-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0490-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
1,0491-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0491-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE TOWN
3,0491-001,PANEL A,Panel A - 2 Visits,N03,MAIN MARKET,NEAR THE DISTRICT/URBAN CENTER
4,0491-001,PANEL A,Panel A - 2 Visits,N04,LOCAL MARKET,NEAR THE TOWN
5,0491-001,PANEL A,Panel A - 2 Visits,N05,VILLAGE HEADMAN,WITHIN THE VILLAGE
1,0492-001,PANEL B,Panel B - 2 Visits,N01,FRIEND/NEIGHBOR,NEAR THE VILLAGE
1,0493-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0493-001,PANEL A,Panel A - 2 Visits,N02,MAIN MARKET,NEAR THE VILLAGE
3,0493-001,PANEL A,Panel A - 2 Visits,N03,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
4,0493-001,PANEL A,Panel A - 2 Visits,N04,RELATIVE,WITHIN THE VILLAGE
5,0493-001,PANEL A,Panel A - 2 Visits,N05,RELATIVE,NEAR THE VILLAGE
1,0494-001,PANEL B,Panel B - 2 Visits,N01,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,0495-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0495-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0495-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE TRADER IN MAIN MARKET,NEAR THE VILLAGE
4,0495-001,PANEL A,Panel A - 2 Visits,N04,PRIVATE TRADER IN MAIN MARKET,NEAR THE VILLAGE
5,0495-001,PANEL A,Panel A - 2 Visits,N05,FRIEND/NEIGHBOR,NEAR THE VILLAGE
6,0495-001,PANEL A,Panel A - 2 Visits,N06,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
7,0495-001,PANEL A,Panel A - 2 Visits,N07,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
1,0496-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0496-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0496-001,PANEL B,Panel B - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
4,0496-001,PANEL B,Panel B - 2 Visits,N04,PRIVATE TRADER IN LOCAL MARKET,NEAR THE VILLAGE
1,0497-002,PANEL A,Panel A - 2 Visits,N01,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE DISTRICT/URBAN CENTER
2,0497-002,PANEL A,Panel A - 2 Visits,N02,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,0498-001,PANEL B,Panel B - 2 Visits,N01,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
2,0498-001,PANEL B,Panel B - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
3,0498-001,PANEL B,Panel B - 2 Visits,N03,OTHER (SPECIFY),NEAR THE VILLAGE
1,0500-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0500-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0500-001,PANEL B,Panel B - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
4,0500-001,PANEL B,Panel B - 2 Visits,N04,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
5,0500-001,PANEL B,Panel B - 2 Visits,N05,RELATIVE,WITHIN THE VILLAGE
6,0500-001,PANEL B,Panel B - 2 Visits,N06,RELATIVE,WITHIN THE VILLAGE
7,0500-001,PANEL B,Panel B - 2 Visits,N07,PRIVATE COMPANY/BUSINESS PERSON,OUTSIDE THE DISTRICT
1,0501-002,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0501-002,PANEL A,Panel A - 2 Visits,N02,LOCAL MARKET,NEAR THE VILLAGE
3,0501-002,PANEL A,Panel A - 2 Visits,N03,PRIVATE TRADER IN MAIN MARKET,NEAR THE TOWN
4,0501-002,PANEL A,Panel A - 2 Visits,N04,RELATIVE,WITHIN THE VILLAGE
1,0502-001,PANEL B,Panel B - 2 Visits,N01,TRADITIONAL AUTHORITY,NEAR THE VILLAGE
2,0502-001,PANEL B,Panel B - 2 Visits,N02,MAIN MARKET,NEAR THE VILLAGE
3,0502-001,PANEL B,Panel B - 2 Visits,N03,GOVERNMENT AGENCY,NEAR THE VILLAGE
4,0502-001,PANEL B,Panel B - 2 Visits,N04,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
1,0503-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0503-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0503-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE TRADER IN LOCAL MARKET,NEAR THE VILLAGE
4,0503-001,PANEL A,Panel A - 2 Visits,N04,FRIEND/NEIGHBOR,NEAR THE VILLAGE
1,0503-003,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0503-003,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0503-003,PANEL A,Panel A - 2 Visits,N03,RELATIVE,NEAR THE VILLAGE
4,0503-003,PANEL A,Panel A - 2 Visits,N04,RELATIVE,WITHIN THE VILLAGE
5,0503-003,PANEL A,Panel A - 2 Visits,N05,RELATIVE,WITHIN THE VILLAGE
1,0504-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0504-001,PANEL B,Panel B - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
3,0504-001,PANEL B,Panel B - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
4,0504-001,PANEL B,Panel B - 2 Visits,N04,PRIVATE TRADER IN LOCAL MARKET,WITHIN THE VILLAGE
1,0505-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0505-001,PANEL A,Panel A - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE DISTRICT/URBAN CENTER
3,0505-001,PANEL A,Panel A - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
4,0505-001,PANEL A,Panel A - 2 Visits,N04,LOCAL MARKET,WITHIN THE VILLAGE
1,0506-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0506-001,PANEL B,Panel B - 2 Visits,N02,AUCTION IN MAIN MARKET,NEAR THE VILLAGE
3,0506-001,PANEL B,Panel B - 2 Visits,N03,FRIEND/NEIGHBOR,NEAR THE VILLAGE
1,0507-001,PANEL A,Panel A - 2 Visits,N01,PRIVATE TRADER IN MAIN MARKET,NEAR THE VILLAGE
2,0507-001,PANEL A,Panel A - 2 Visits,N02,PRIVATE TRADER IN LOCAL MARKET,NEAR THE VILLAGE
3,0507-001,PANEL A,Panel A - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
1,0508-001,PANEL B,Panel B - 2 Visits,N01,GOVERNMENT AGENCY,NEAR THE DISTRICT/URBAN CENTER
2,0508-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE DISTRICT/URBAN CENTER
3,0508-001,PANEL B,Panel B - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
1,0509-001,PANEL A,Panel A - 2 Visits,N01,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
2,0509-001,PANEL A,Panel A - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,WITHIN THE VILLAGE
1,0509-002,PANEL A,Panel A - 2 Visits,N01,LOCAL MARKET,NEAR THE VILLAGE
1,0509-005,PANEL A,Panel A - 2 Visits,N01,PARASTATAL ORGANIZATION,NEAR THE TOWN
1,0510-001,PANEL B,Panel B - 2 Visits,N01,MAIN MARKET,NEAR THE DISTRICT/URBAN CENTER
2,0510-001,PANEL B,Panel B - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
1,0511-001,PANEL A,Panel A - 2 Visits,N01,VDC MEMBER,WITHIN THE VILLAGE
2,0511-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0511-001,PANEL A,Panel A - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
4,0511-001,PANEL A,Panel A - 2 Visits,N04,RELATIVE,WITHIN THE VILLAGE
5,0511-001,PANEL A,Panel A - 2 Visits,N05,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,0512-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0512-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE TOWN
1,0513-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0513-001,PANEL A,Panel A - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
3,0513-001,PANEL A,Panel A - 2 Visits,N03,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,0514-001,PANEL B,Panel B - 2 Visits,N01,RELATIVE,WITHIN THE VILLAGE
2,0514-001,PANEL B,Panel B - 2 Visits,N02,VILLAGE HEADMAN,WITHIN THE VILLAGE
3,0514-001,PANEL B,Panel B - 2 Visits,N03,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
4,0514-001,PANEL B,Panel B - 2 Visits,N04,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE DISTRICT/URBAN CENTER
1,0515-001,PANEL A,Panel A - 2 Visits,N01,PRIVATE TRADER IN LOCAL MARKET,WITHIN THE VILLAGE
1,0516-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0516-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0516-001,PANEL B,Panel B - 2 Visits,N03,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,0517-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0517-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0517-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
4,0517-001,PANEL A,Panel A - 2 Visits,N04,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
5,0517-001,PANEL A,Panel A - 2 Visits,N05,PRIVATE TRADER IN LOCAL MARKET,NEAR THE VILLAGE
6,0517-001,PANEL A,Panel A - 2 Visits,N06,AUCTION IN MAIN MARKET,OUTSIDE THE DISTRICT
1,0518-001,PANEL B,Panel B - 2 Visits,N01,RELATIVE,WITHIN THE VILLAGE
2,0518-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0518-001,PANEL B,Panel B - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
4,0518-001,PANEL B,Panel B - 2 Visits,N04,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
5,0518-001,PANEL B,Panel B - 2 Visits,N05,PRIVATE TRADER IN LOCAL MARKET,WITHIN THE VILLAGE
6,0518-001,PANEL B,Panel B - 2 Visits,N06,AUCTION IN MAIN MARKET,NEAR THE DISTRICT/URBAN CENTER
1,0518-004,PANEL B,Panel B - 2 Visits,N01,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
2,0518-004,PANEL B,Panel B - 2 Visits,N02,RELATIVE,NEAR THE VILLAGE
1,0519-001,PANEL A,Panel A - 2 Visits,N01,PRIVATE TRADER IN MAIN MARKET,NEAR THE VILLAGE
1,0520-001,PANEL B,Panel B - 2 Visits,N01,MAIN MARKET,NEAR THE DISTRICT/URBAN CENTER
1,0520-002,PANEL B,Panel B - 2 Visits,N01,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE DISTRICT/URBAN CENTER
2,0520-002,PANEL B,Panel B - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
3,0520-002,PANEL B,Panel B - 2 Visits,N03,RELATIVE,NEAR THE VILLAGE
4,0520-002,PANEL B,Panel B - 2 Visits,N04,LOCAL MARKET,NEAR THE DISTRICT/URBAN CENTER
1,0521-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0521-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE TOWN
1,0521-003,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0521-003,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE TOWN
3,0521-003,PANEL A,Panel A - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
1,0522-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0522-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0522-001,PANEL B,Panel B - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
1,0523-001,PANEL A,Panel A - 2 Visits,N01,RELATIVE,WITHIN THE VILLAGE
2,0523-001,PANEL A,Panel A - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
1,0524-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0524-001,PANEL B,Panel B - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
3,0524-001,PANEL B,Panel B - 2 Visits,N03,FRIEND/NEIGHBOR,NEAR THE VILLAGE
4,0524-001,PANEL B,Panel B - 2 Visits,N04,AUCTION IN MAIN MARKET,NEAR THE DISTRICT/URBAN CENTER
1,0525-001,PANEL A,Panel A - 2 Visits,N01,PRIVATE TRADER IN LOCAL MARKET,NEAR THE VILLAGE
2,0525-001,PANEL A,Panel A - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
1,0526-002,PANEL B,Panel B - 2 Visits,N01,PARASTATAL ORGANIZATION,NEAR THE TOWN
2,0526-002,PANEL B,Panel B - 2 Visits,N02,LOCAL MARKET,NEAR THE VILLAGE
1,0527-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0527-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
1,0528-002,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0528-002,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0528-002,PANEL B,Panel B - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE DISTRICT/URBAN CENTER
4,0528-002,PANEL B,Panel B - 2 Visits,N04,NGO,NEAR THE VILLAGE
5,0528-002,PANEL B,Panel B - 2 Visits,N05,DISTRICT VETERINARY,NEAR THE VILLAGE
6,0528-002,PANEL B,Panel B - 2 Visits,N06,RELATIVE,WITHIN THE VILLAGE
7,0528-002,PANEL B,Panel B - 2 Visits,N07,RELATIVE,WITHIN THE VILLAGE
8,0528-002,PANEL B,Panel B - 2 Visits,N08,MOBILE MARKET,WITHIN THE VILLAGE
1,0529-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0529-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0529-001,PANEL A,Panel A - 2 Visits,N03,VDC MEMBER,WITHIN THE VILLAGE
4,0529-001,PANEL A,Panel A - 2 Visits,N04,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
5,0529-001,PANEL A,Panel A - 2 Visits,N05,RELATIVE,WITHIN THE VILLAGE
1,0530-001,PANEL B,Panel B - 2 Visits,N01,RELATIVE,WITHIN THE VILLAGE
2,0530-001,PANEL B,Panel B - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
1,0531-001,PANEL A,Panel A - 2 Visits,N01,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
2,0531-001,PANEL A,Panel A - 2 Visits,N02,LOCAL MARKET,NEAR THE TOWN
1,0532-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0532-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
1,0534-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0534-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0534-001,PANEL B,Panel B - 2 Visits,N03,PRIVATE TRADER IN LOCAL MARKET,NEAR THE TOWN
1,0535-001,PANEL A,Panel A - 2 Visits,N01,LOCAL MARKET,NEAR THE TOWN
1,0536-001,PANEL B,Panel B - 2 Visits,N01,FRIEND/NEIGHBOR,NEAR THE VILLAGE
1,0537-001,PANEL A,Panel A - 2 Visits,N01,PARASTATAL ORGANIZATION,NEAR THE TOWN
2,0537-001,PANEL A,Panel A - 2 Visits,N02,LOCAL MARKET,NEAR THE TOWN
3,0537-001,PANEL A,Panel A - 2 Visits,N03,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,0538-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0538-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE TOWN
