occ,ea_id,com_ch0b,com_ch01,com_ch02,com_ch03,com_ch04,com_ch05,com_ch06,com_ch07a,com_ch07b,com_ch07c,com_ch07d,com_ch07e,com_ch07f,com_ch07h,com_ch07i,com_ch08,com_ch09,com_ch09_1a,com_ch09_1b,com_ch09_1c,com_ch10,com_ch11,com_ch12,com_ch13a,com_ch13b,com_ch13c,com_ch14,com_ch15
16,10736596,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
17,10736596,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,10736596,OTHER (SPECIFY),NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
1,10741504,ROAD: CONSTRUCTION,YES,NO,YES,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,NO
2,10741504,ROAD: MAINTENANCE,YES,NO,YES,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,NO
3,10741504,BRIDGE: CONSTRUCTION,YES,NO,YES,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,NO
4,10741504,BRIDGE: MAINTENANCE,YES,NO,YES,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,NO
5,10741504,PRIMARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
6,10741504,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
7,10741504,SECONDARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,10741504,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
9,10741504,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
10,10741504,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
11,10741504,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
12,10741504,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
13,10741504,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
14,10741504,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
15,10741504,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,10741504,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
17,10741504,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,10741504,OTHER (SPECIFY),NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
1,10744649,ROAD: CONSTRUCTION,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,
2,10744649,ROAD: MAINTENANCE,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,
3,10744649,BRIDGE: CONSTRUCTION,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,
4,10744649,BRIDGE: MAINTENANCE,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,
5,10744649,PRIMARY SCHOOL: CONSTRUCTION,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,
6,10744649,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,
7,10744649,SECONDARY SCHOOL: CONSTRUCTION,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,10744649,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,
9,10744649,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,
10,10744649,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,
11,10744649,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,
12,10744649,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,
13,10744649,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,
14,10744649,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,
15,10744649,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,10744649,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,
17,10744649,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,10744649,OTHER (SPECIFY),NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,
1,10746033,ROAD: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
2,10746033,ROAD: MAINTENANCE,YES,NO,YES,NO,,,NO,NO,YES,NO,YES,NO,NO,NO,NO,,,,,,,,,,,,NO
3,10746033,BRIDGE: CONSTRUCTION,YES,YES,YES,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,NO
4,10746033,BRIDGE: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
5,10746033,PRIMARY SCHOOL: CONSTRUCTION,YES,YES,YES,YES,VILLAGE DEVELOPMENT COMMITTEE,YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,ADDRESSED BEING ADRESSED,RELIGIOUS ORGANIZATION/INSTITUTION,,,7000000,0,,YES,YES,NO,VILLAGE RESIDENTS,
6,10746033,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
7,10746033,SECONDARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,10746033,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
9,10746033,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,YES,YES,YES,NO,,,NO,NO,YES,NO,YES,NO,NO,NO,NO,,,,,,,,,,,,NO
10,10746033,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
11,10746033,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,YES,YES,YES,YES,VILLAGE DEVELOPMENT COMMITTEE,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,,,,,,,,,,,,NO
12,10746033,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
13,10746033,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
14,10746033,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
15,10746033,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,10746033,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
17,10746033,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,YES,YES,YES,NO,,,NO,NO,YES,NO,YES,NO,NO,NO,NO,,,,,,,,,,,,NO
18,10746033,OTHER (SPECIFY),NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
1,10746244,ROAD: CONSTRUCTION,NO,YES,YES,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,NO
2,10746244,ROAD: MAINTENANCE,NO,YES,YES,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,NO
3,10746244,BRIDGE: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
4,10746244,BRIDGE: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
5,10746244,PRIMARY SCHOOL: CONSTRUCTION,NO,YES,YES,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,NO
6,10746244,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,YES,YES,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,NO
7,10746244,SECONDARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,10746244,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
9,10746244,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
10,10746244,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
11,10746244,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
12,10746244,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
13,10746244,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
14,10746244,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
15,10746244,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,10746244,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
17,10746244,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,10746244,OTHER (SPECIFY),NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
1,20106042,ROAD: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
2,20106042,ROAD: MAINTENANCE,YES,YES,YES,YES,VILLAGE DEVELOPMENT COMMITTEE,YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,ADDRESSED BEING ADRESSED,MASAF,,,,0,,YES,NO,NO,VILLAGE RESIDENTS,
3,20106042,BRIDGE: CONSTRUCTION,YES,YES,YES,YES,VILLAGE DEVELOPMENT COMMITTEE,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,NOT ADDRESSED; RESPONSE PENDING,,,,,,,,,,,
4,20106042,BRIDGE: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
5,20106042,PRIMARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
6,20106042,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,YES,YES,YES,YES,SCHOOL COMMITTEE,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NOT ADDRESSED; RESPONSE PENDING,,,,,,,,,,,
7,20106042,SECONDARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,20106042,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
9,20106042,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,YES,YES,YES,YES,VILLAGE DEVELOPMENT COMMITTEE,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,TO BE ADDRESSED; RESPONSE POSITIVE,OTHER (SPECIFY),,,,0,,YES,YES,NO,VILLAGE ELDERS,
10,20106042,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
11,20106042,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,YES,YES,YES,YES,VILLAGE DEVELOPMENT COMMITTEE,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NOT ADDRESSED; RESPONSE PENDING,,,,,,,,,,,
12,20106042,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,YES,YES,YES,YES,HEALTH COMMITTEE,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,ADDRESSED BEING ADRESSED,COMMUNITY FUNDRAISING,,,40000,40000,,YES,NO,NO,VILLAGE ELDERS,
13,20106042,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
14,20106042,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
15,20106042,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,20106042,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
17,20106042,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,20106042,OTHER (SPECIFY),YES,YES,YES,YES,SCHOOL COMMITTEE,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,ADDRESSED BEING ADRESSED,OTHER (SPECIFY),COMMUNITY FUNDRAISING,,6050000,50000,,YES,YES,YES,VILLAGE RESIDENTS,
1,20110620,ROAD: CONSTRUCTION,NO,YES,YES,NO,,,YES,NO,NO,YES,NO,YES,NO,NO,YES,ADDRESSED BEING ADRESSED,MASAF,,,,0,,NO,NO,NO,GROUP VILLAGE HEADMAN,
2,20110620,ROAD: MAINTENANCE,NO,YES,YES,NO,,,YES,NO,NO,YES,NO,YES,NO,NO,YES,ADDRESSED BEING ADRESSED,MASAF,,,,0,,NO,NO,NO,GROUP VILLAGE HEADMAN,
3,20110620,BRIDGE: CONSTRUCTION,NO,YES,YES,NO,,,NO,NO,NO,YES,NO,YES,NO,NO,YES,NOT ADDRESSED; RESPONSE PENDING,,,,,,,,,,,
4,20110620,BRIDGE: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
5,20110620,PRIMARY SCHOOL: CONSTRUCTION,NO,YES,YES,YES,SCHOOL COMMITTEE,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,ADDRESSED BEING ADRESSED,OTHER (SPECIFY),,,2600000,0,,YES,YES,NO,VILLAGE RESIDENTS,
6,20110620,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,YES,YES,YES,YES,SCHOOL COMMITTEE,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,ADDRESSED BEING ADRESSED,COMMUNITY FUNDRAISING,,,30000,30000,COMPULSARY,,,,,
7,20110620,SECONDARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,20110620,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
9,20110620,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,NO,YES,YES,YES,GROUP VILLAGE HEADMAN,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,NOT ADDRESSED; ATTEMPTS FAILED,,,,,,,,,,,
10,20110620,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
11,20110620,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,NO,YES,YES,YES,GROUP VILLAGE HEADMAN,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NOT ADDRESSED; RESPONSE PENDING,,,,,,,,,,,
12,20110620,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,NO,YES,YES,YES,OTHER (SPECIFY),YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,ADDRESSED BEING ADRESSED,NGO,,,,0,,NO,YES,NO,NO PROJECT COMMITTEE,
13,20110620,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
14,20110620,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
15,20110620,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,20110620,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
17,20110620,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,20110620,OTHER (SPECIFY),NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
1,20111718,ROAD: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
2,20111718,ROAD: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
3,20111718,BRIDGE: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
4,20111718,BRIDGE: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
5,20111718,PRIMARY SCHOOL: CONSTRUCTION,YES,YES,YES,YES,GROUP VILLAGE HEADMAN,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,PROMISED BUT NOT ADDRESSED,,,,,,,,,,,
6,20111718,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,YES,YES,YES,YES,SCHOOL COMMITTEE,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,ADDRESSED BEING ADRESSED,CENTRAL GOVERNMENT,,,135000,0,,YES,YES,NO,VILLAGE RESIDENTS,
7,20111718,SECONDARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,20111718,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
9,20111718,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
10,20111718,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
11,20111718,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,YES,YES,YES,YES,GROUP VILLAGE HEADMAN,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,PROMISED BUT NOT ADDRESSED,,,,,,,,,,,
12,20111718,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
13,20111718,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
14,20111718,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
15,20111718,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,20111718,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
17,20111718,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,20111718,OTHER (SPECIFY),NO,YES,YES,YES,SCHOOL COMMITTEE,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,ADDRESSED BEING ADRESSED,NGO,,,1600000,0,,YES,YES,NO,GROUP VILLAGE HEADMAN,
1,20112661,ROAD: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
2,20112661,ROAD: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
3,20112661,BRIDGE: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
4,20112661,BRIDGE: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
5,20112661,PRIMARY SCHOOL: CONSTRUCTION,YES,YES,YES,YES,GROUP VILLAGE HEADMAN,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,ADDRESSED BEING ADRESSED,NGO,,,4,150000,VOLUNTARY,YES,YES,NO,VILLAGE RESIDENTS,
6,20112661,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
7,20112661,SECONDARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,20112661,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
9,20112661,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
10,20112661,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
11,20112661,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
12,20112661,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
13,20112661,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
14,20112661,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
15,20112661,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,20112661,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
17,20112661,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,20112661,OTHER (SPECIFY),YES,YES,YES,YES,GROUP VILLAGE HEADMAN,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,ADDRESSED BEING ADRESSED,COMMUNITY FUNDRAISING,,,0,0,,YES,YES,NO,VILLAGE RESIDENTS,
1,20113112,ROAD: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
2,20113112,ROAD: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
3,20113112,BRIDGE: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
4,20113112,BRIDGE: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
5,20113112,PRIMARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
6,20113112,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,YES,YES,YES,OTHER (SPECIFY),YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,ADDRESSED BEING ADRESSED,COMMUNITY FUNDRAISING,,,32000,32000,COMPULSARY,YES,YES,NO,VILLAGE RESIDENTS,
7,20113112,SECONDARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,20113112,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
9,20113112,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
10,20113112,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,NO,YES,YES,YES,OTHER (SPECIFY),YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NOT ADDRESSED; RESPONSE PENDING,,,,,,,,,,,
11,20113112,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
12,20113112,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,NO,YES,YES,YES,HEALTH COMMITTEE,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,ADDRESSED BEING ADRESSED,NGO,COMMUNITY FUNDRAISING,,,8500,COMPULSARY,YES,YES,NO,VILLAGE RESIDENTS,
13,20113112,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
14,20113112,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
15,20113112,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,20113112,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
17,20113112,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,20113112,OTHER (SPECIFY),NO,YES,YES,YES,OTHER (SPECIFY),YES,YES,NO,YES,YES,YES,NO,YES,NO,YES,ADDRESSED BEING ADRESSED,MASAF,OTHER (SPECIFY),,2110000,0,,YES,YES,NO,VILLAGE RESIDENTS,
1,20115434,ROAD: CONSTRUCTION,NO,YES,YES,YES,GROUP VILLAGE HEADMAN,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,ADDRESSED BEING ADRESSED,MASAF,,,,0,,YES,NO,NO,VILLAGE RESIDENTS,
2,20115434,ROAD: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
3,20115434,BRIDGE: CONSTRUCTION,YES,YES,YES,YES,GROUP VILLAGE HEADMAN,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,PROMISED BUT NOT ADDRESSED,,,,,,,,,,,
4,20115434,BRIDGE: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
5,20115434,PRIMARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
