HHID,case_id,qx_type,visit,ea_id,ag_h0b,ag_h0b_os,ag_h01a,ag_h01b,ag_h01b_os,ag_h02,ag_h03,ag_h04,ag_h15,ag_h16a,ag_h16b,ag_h16b_os,ag_h17,ag_h17_os,ag_h18,ag_h19,ag_h20,ag_h21,ag_h22,ag_h23,ag_h24,ag_h25,ag_h26a,ag_h26b,ag_h26b_os,ag_h27,ag_h27_os,ag_h28,ag_h29,ag_h30,ag_h31,ag_h32,ag_h33,ag_h34,ag_h35,ag_h36a,ag_h36b,ag_h36b_os,ag_h37,ag_h38a,ag_h38b,ag_h38b_os,ag_h39a,ag_h39b,ag_h40,ag_h41,ag_h42a,ag_h42b,ag_h42b_os,ag_h43,ag_h43_os
950,203065570259,Panel B,1,20306557,TOBACCO BURLEY,,4,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,Gram,,N04,,0,No,,,,Advice from fellow farmer,
950,203065570259,Panel B,1,20306557,MAIZE HYBRID,,15,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,10,Kilogram,,N04,,0,No,,,,Seeds received through the voucher program,
940,203065570282,Panel B,1,20306557,MAIZE LOCAL,,25,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,25,Kilogram,,Preference for traditional variety,
940,203065570282,Panel B,1,20306557,GROUNDNUT CG7,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,5,Kilogram,,Preference for traditional variety,
940,203065570282,Panel B,1,20306557,TOBACCO BURLEY,,6,Gram,,"Yes, the figures matched",No,Yes,N05,6,Gram,,Own Bicycle or Oxcart,,0,200,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from input supplier,
944,203065570305,Panel B,1,20306557,TOBACCO BURLEY,,6,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,6,Gram,,Other (Specify),USED TO PLANT BURLEY TOBACCO
944,203065570305,Panel B,1,20306557,MAIZE HYBRID,,15,Kilogram,,"Yes, the figures matched",No,Yes,N04,10,Kilogram,,Own Bicycle or Oxcart,,0,1800,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Seeds received through the voucher program,
944,203065570305,Panel B,1,20306557,MAIZE LOCAL,,25,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,25,Kilogram,,Preference for traditional variety,
944,203065570305,Panel B,1,20306557,SOYABEAN,,20,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,20,Kilogram,,Advice from fellow farmer,
944,203065570305,Panel B,1,20306557,GROUNDNUT CG7,,20,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,20,Kilogram,,Other (Specify),FAST MATURITY
946,203065570350,Panel B,1,20306557,TOBACCO BURLEY,,4,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,4,Gram,,Preference for traditional variety,
946,203065570350,Panel B,1,20306557,MAIZE LOCAL,,15,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,15,Kilogram,,Preference for traditional variety,
948,203065570373,Panel B,1,20306557,MAIZE HYBRID RECYCLED,,12,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,12,Kilogram,,Improved variety is too expensive,
948,203065570373,Panel B,1,20306557,SOYABEAN,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,5,Kilogram,,Preference for traditional variety,
938,203065570396,Panel B,1,20306557,MAIZE LOCAL,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Preference for traditional variety,
938,203065570396,Panel B,1,20306557,TOBACCO BURLEY,,4,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,4,Gram,,Preference for traditional variety,
928,203065570442,Panel B,1,20306557,MAIZE LOCAL,,5,Kilogram,,"Yes, the figures matched",No,Yes,N04,5,Kilogram,,On Foot,,0,500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Preference for traditional variety,
928,203065570442,Panel B,1,20306557,TOBACCO BURLEY,,2,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,2,Gram,,Preference for traditional variety,
928,203065570442,Panel B,1,20306557,SOYABEAN,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,4,Kilogram,,Seeds received through the voucher program,
936,203065570465,Panel B,1,20306557,MAIZE HYBRID,,10,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seeds received through the voucher program,
936,203065570465,Panel B,1,20306557,TOBACCO BURLEY,,6,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,6,Gram,,Advice from fellow farmer,
936,203065570465,Panel B,1,20306557,GROUNDNUT CHALIMBANA,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,5,Kilogram,,Advice from fellow farmer,
958,204021980014,Panel B,1,20402198,MAIZE HYBRID,,5,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seeds received through the voucher program,
988,204021980022,Panel B,1,20402198,MAIZE LOCAL,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,5,Kilogram,,N02,,0,No,,,,Advice from fellow farmer,
966,204021980031,Panel B,1,20402198,TOBACCO BURLEY,,10,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,10 kg bag,,N04,,0,No,,,,Seeds received through the voucher program,
966,204021980031,Panel B,1,20402198,MAIZE LOCAL,,9,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Preference for traditional variety,
966,204021980031,Panel B,1,20402198,GROUNDNUT CG7,,3,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Preference for traditional variety,
976,204021980039,Panel B,1,20402198,MAIZE LOCAL,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Other (Specify),DID NOT RECEIVE AANY COUPON VONCHER FOR HYBRID M
976,204021980039,Panel B,1,20402198,TOBACCO BURLEY,,5,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,5,Gram,,N03,,0,No,,,,Advice from fellow farmer,
972,204021980056,Panel B,1,20402198,MAIZE LOCAL,,30,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,30,Kilogram,,Preference for traditional variety,
972,204021980056,Panel B,1,20402198,GROUNDNUT CG7,,40,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,40,Kilogram,,Preference for traditional variety,
972,204021980056,Panel B,1,20402198,TOBACCO BURLEY,,10,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Gram,,Preference for traditional variety,
980,204021980064,Panel B,1,20402198,GROUNDNUT CG7,,25,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,25,Kilogram,,Preference for traditional variety,
980,204021980064,Panel B,1,20402198,TOBACCO BURLEY,,3,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,3,Gram,,Preference for traditional variety,
980,204021980064,Panel B,1,20402198,MAIZE LOCAL,,20,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,20,Kilogram,,Preference for traditional variety,
970,204021980072,Panel B,1,20402198,TOBACCO BURLEY,,5,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,5,Gram,,Preference for traditional variety,
970,204021980072,Panel B,1,20402198,MAIZE LOCAL,,25,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,25,Kilogram,,Preference for traditional variety,
970,204021980072,Panel B,1,20402198,GROUNDNUT CG7,,4,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,4,Kilogram,,Preference for traditional variety,
964,204021980081,Panel B,1,20402198,GROUNDNUT CG7,,4,Kilogram,,"Yes, the figures matched",No,Yes,N04,4,Kilogram,,On Foot,,0,300,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
964,204021980081,Panel B,1,20402198,MAIZE HYBRID,,8,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,8,Kilogram,,N04,,0,No,,,,Advice from fellow farmer,
964,204021980081,Panel B,1,20402198,TOBACCO BURLEY,,3,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,Gram,,N04,,0,No,,,,Preference for traditional variety,
978,204021980097,Panel B,1,20402198,GROUNDNUT CG7,,8,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,8,Kilogram,,Advice from fellow farmer,
978,204021980097,Panel B,1,20402198,MAIZE HYBRID RECYCLED,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Advice from fellow farmer,
986,204021980106,Panel B,1,20402198,TOBACCO BURLEY,,2,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,2,Gram,,Improved variety is too expensive,
986,204021980106,Panel B,1,20402198,MAIZE HYBRID RECYCLED,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,10,Kilogram,,N03,,0,No,,,,Advice from fellow farmer,
968,204021980114,Panel B,1,20402198,GROUNDNUT CG7,,10,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seeds received through the voucher program,
968,204021980114,Panel B,1,20402198,MAIZE HYBRID,,25,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seeds received through the voucher program,
968,204021980114,Panel B,1,20402198,TOBACCO BURLEY,,1,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,Gram,,Improved variety is too expensive,
962,204021980122,Panel B,1,20402198,TOBACCO BURLEY,,2,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,2,Gram,,Improved variety is too expensive,
962,204021980122,Panel B,1,20402198,GROUNDNUT CG7,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,5,Kilogram,,Advice from fellow farmer,
962,204021980122,Panel B,1,20402198,MAIZE LOCAL,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Preference for traditional variety,
960,204021980139,Panel B,1,20402198,GROUNDNUT CG7,,20,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,20,Kilogram,,Advice from fellow farmer,
960,204021980139,Panel B,1,20402198,MAIZE HYBRID,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,10,Kilogram,,N01,,0,No,,,,Advice from fellow farmer,
982,204021980147,Panel B,1,20402198,SOYABEAN,,50,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,50,Kilogram,,Advice from fellow farmer,
982,204021980147,Panel B,1,20402198,TOBACCO BURLEY,,10,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Gram,,Advice from fellow farmer,
982,204021980147,Panel B,1,20402198,MAIZE HYBRID,,20,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,20,Kilogram,,Advice from fellow farmer,
974,204021980156,Panel B,1,20402198,MAIZE HYBRID,,10,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preference for traditional variety,
974,204021980156,Panel B,1,20402198,GROUNDNUT CG7,,15,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,15,Kilogram,,Advice from fellow farmer,
974,204021980156,Panel B,1,20402198,TOBACCO BURLEY,,10,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Gram,,Advice from fellow farmer,
984,204021980172,Panel B,1,20402198,MAIZE HYBRID,,15,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,15,Kilogram,,Advice from fellow farmer,
984,204021980172,Panel B,1,20402198,GROUNDNUT CHALIMBANA,,15,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,15,Kilogram,,Advice from fellow farmer,
989,204040320025,Panel A,1,20404032,GROUNDNUT CG7,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Preference for traditional variety,
989,204040320025,Panel A,1,20404032,MAIZE LOCAL,,25,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,25,Kilogram,,Preference for traditional variety,
971,204040320028,Panel A,1,20404032,GROUNDNUT CG7,,8,Kilogram,,"Yes, the figures matched",No,Yes,N03,8,Kilogram,,On Foot,,0,6000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,CHOICE
971,204040320028,Panel A,1,20404032,MAIZE HYBRID,,10,Kilogram,,"Yes, the figures matched",No,Yes,N02,10,Kilogram,,On Foot,,0,5400,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,CHOICE
971,204040320028,Panel A,1,20404032,SWEET POTATO,,20,Gram,,"Yes, the figures matched",No,Yes,N04,1,50 kg bag,,On Foot,,0,400,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,CHOICE
981,204040320036,Panel A,1,20404032,MAIZE HYBRID,,10,Kilogram,,"Yes, the figures matched",No,Yes,N03,1,10 kg bag,,On Foot,,0,800,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Other (Specify),DID T RECEIVED A COUPOVOUHER
975,204040320057,Panel A,1,20404032,MAIZE LOCAL,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Improved variety is too expensive,
975,204040320057,Panel A,1,20404032,GROUNDNUT CG7,,2,Kilogram,,"Yes, the figures matched",No,Yes,N02,1,2 kg bag,,On Foot,,0,200,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Other (Specify),ITS OF GOOD QUALITY THAOTHER VARITIES
985,204040320063,Panel A,1,20404032,GROUNDNUT CG7,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
985,204040320063,Panel A,1,20404032,MAIZE LOCAL,,20,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Improved variety is too expensive,
973,204040320072,Panel A,1,20404032,MAIZE LOCAL,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Preference for traditional variety,
973,204040320072,Panel A,1,20404032,GROUNDNUT CG7,,15,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,15,Kilogram,,Improved variety is too expensive,
977,204040320075,Panel A,1,20404032,SWEET POTATO,,50,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,50 kg bag,,Improved variety is too expensive,
977,204040320075,Panel A,1,20404032,GROUNDNUT CG7,,2,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,2,Kilogram,,Advice from extension officer,
977,204040320075,Panel A,1,20404032,MAIZE LOCAL,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Preference for traditional variety,
963,204040320083,Panel A,1,20404032,GROUNDNUT CG7,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,5,Kilogram,,Preference for traditional variety,
963,204040320083,Panel A,1,20404032,MAIZE LOCAL,,15,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,15,Kilogram,,Preference for traditional variety,
987,204040320096,Panel A,1,20404032,COTTON,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Other (Specify),CHOICE
987,204040320096,Panel A,1,20404032,MAIZE HYBRID,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Other (Specify),CHOICE
969,204040320107,Panel A,1,20404032,GROUNDNUT CG7,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,5,Kilogram,,Preference for traditional variety,
969,204040320107,Panel A,1,20404032,MAIZE HYBRID,,15,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preference for traditional variety,
961,204040320114,Panel A,1,20404032,MAIZE HYBRID,,10,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advice from fellow farmer,
961,204040320114,Panel A,1,20404032,SWEET POTATO,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Preference for traditional variety,
991,204040320149,Panel A,1,20404032,TOBACCO BURLEY,,4,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,4,Gram,,Improved variety is too expensive,
991,204040320149,Panel A,1,20404032,GROUNDNUT CG7,,20,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seeds received through the voucher program,
991,204040320149,Panel A,1,20404032,MAIZE HYBRID,,10,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seeds received through the voucher program,
967,204040320160,Panel A,1,20404032,MAIZE LOCAL,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Preference for traditional variety,
967,204040320160,Panel A,1,20404032,MAIZE HYBRID,,5,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advice from extension officer,
967,204040320160,Panel A,1,20404032,GROUNDNUT CG7,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,5 kg bag,,N06,,0,No,,,,Advice from input supplier,
979,204040320166,Panel A,1,20404032,SWEET POTATO,,50,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,50 kg bag,,Improved variety is too expensive,
979,204040320166,Panel A,1,20404032,MAIZE LOCAL,,4,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,4,Kilogram,,Improved variety is too expensive,
965,204040320180,Panel A,1,20404032,MAIZE LOCAL,,15,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,15,Kilogram,,Improved variety is too expensive,
965,204040320180,Panel A,1,20404032,GROUNDNUT CG7,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,5,Kilogram,,Improved variety is too expensive,
983,204040320184,Panel A,1,20404032,MAIZE HYBRID,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Improved variety is too expensive,
1000,204045750001,Panel B,1,20404575,GROUNDNUT CG7,,20,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,20,Kilogram,,Advice from fellow farmer,
1000,204045750001,Panel B,1,20404575,MAIZE HYBRID,,15,Kilogram,,"Yes, the figures matched",No,Yes,N03,2,5 kg bag,,Truck / Bus / Minibus,,200,3000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
1016,204045750014,Panel B,1,20404575,SOYABEAN,,20,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,20,Kilogram,,Improved variety is too expensive,
1016,204045750014,Panel B,1,20404575,MAIZE HYBRID,,8,Kilogram,,"Yes, the figures matched",No,Yes,N01,4,2 kg bag,,Truck / Bus / Minibus,,160,3000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from extension officer,
1016,204045750014,Panel B,1,20404575,GROUNDNUT CG7,,20,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,20,Kilogram,,Advice from extension officer,
1006,204045750042,Panel B,1,20404575,MAIZE HYBRID,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,10 kg bag,,N02,,0,No,,,,Other (Specify),DID T RECIEVED A COUPOVOHER
990,204045750056,Panel B,1,20404575,GROUNDNUT CHALIMBANA,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Advice from fellow farmer,
990,204045750056,Panel B,1,20404575,MAIZE LOCAL,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Preference for traditional variety,
1008,204045750070,Panel B,1,20404575,GROUNDNUT CG7,,20,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,20,Gram,,Advice from fellow farmer,
1008,204045750070,Panel B,1,20404575,MAIZE HYBRID,,20,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,20,Kilogram,,Advice from fellow farmer,
998,204045750098,Panel B,1,20404575,MAIZE HYBRID,,10,Kilogram,,"Yes, the figures matched",No,Yes,N04,1,10 kg bag,,Truck / Bus / Minibus,,100,300,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Other (Specify),DID T RECIEVED A COUPOVOHER.
1002,204045750111,Panel B,1,20404575,MAIZE HYBRID,,10,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seeds received through the voucher program,
1002,204045750111,Panel B,1,20404575,MAIZE HYBRID,,3,Kilogram,,"No, the entries in ag-module g, and question 1 of ag-module f were adjusted",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,3 kg bag,,N03,,0,No,,,,Other (Specify),HAD  MOY TO BUY ADDITIOL SEEDS
1004,204045750125,Panel B,1,20404575,MAIZE LOCAL,,15,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Preference for traditional variety,
1004,204045750125,Panel B,1,20404575,GROUNDNUT CG7,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Other (Specify),DO T RECIEVE A COUPOVOHER
994,204045750153,Panel B,1,20404575,TOBACCO BURLEY,,250,Gram,,"Yes, the figures matched",No,Yes,N04,250,Gram,,Truck / Bus / Minibus,,600,100,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
994,204045750153,Panel B,1,20404575,GROUNDNUT CG7,,15,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,15,Kilogram,,Advice from fellow farmer,
994,204045750153,Panel B,1,20404575,MAIZE HYBRID,,30,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advice from fellow farmer,
