occ,y2_hhid,qx_type,interview_status,ag_g0a,ag_g00,ag_g0b,ag_g0e,ag_g01,ag_g02,ag_g03,ag_g04a,ag_g04b,ag_g05a,ag_g05b,ag_g07,ag_g08a,ag_g08b,ag_g08c,ag_g09a,ag_g09b,ag_g09c,ag_g10,ag_g11a,ag_g11b,ag_g13a,ag_g13b,ag_g13c,ag_g12a,ag_g12b,ag_g14a,ag_g14b
2,1067-001,PANEL A,Panel A - 2 Visits,YES,R02,COTTON,2,PURE STAND,,,10,KILOGRAM,DECEMBER,2012,YES,,,,300,KILOGRAM,NOT APPLICABLE,NO,,,300,KILOGRAM,NOT APPLICABLE,JUNE,JUNE,1,2
3,1067-001,PANEL A,Panel A - 2 Visits,YES,R03,GROUNDNUT CG7,2,PURE STAND,,,20,KILOGRAM,DECEMBER,2012,YES,,,,6,50 KG BAG,UNSHELLED,YES,IRREGULAR RAINS,,6,50 KG BAG,UNSHELLED,JUNE,JUNE,1,2
1,1068-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,2,MIXED STAND,YES,,20,KILOGRAM,NOVEMBER,2012,YES,,,,2,OXCART,UNSHELLED,NO,,,2,OX-CART,UNSHELLED,MAY,MAY,1,
2,1068-001,PANEL B,Panel B - 2 Visits,YES,R02,COTTON,2,PURE STAND,,,10,KILOGRAM,NOVEMBER,2012,YES,,,,3,BALE,NOT APPLICABLE,NO,,,300,KILOGRAM,NOT APPLICABLE,APRIL,JUNE,1,
3,1068-001,PANEL B,Panel B - 2 Visits,YES,R01,NKHWANI,2,MIXED STAND,YES,,100,GRAM,NOVEMBER,2012,YES,,,,1,50 KG BAG,NOT APPLICABLE,NO,,,1,50 KG BAG,NOT APPLICABLE,JANUARY,APRIL,1,
4,1068-001,PANEL B,Panel B - 2 Visits,YES,R01,PEA,2,MIXED STAND,NO,1/2,2,KILOGRAM,NOVEMBER,2012,YES,,,,20,KILOGRAM,SHELLED,NO,,,20,KILOGRAM,SHELLED,MAY,MAY,1,
1,1069-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,3,PURE STAND,,,20,KILOGRAM,DECEMBER,2012,YES,,,,5,OXCART,UNSHELLED,YES,OTHER (SPECIFY),IRREGULAR RAINS,5,OX-CART,UNSHELLED,JUNE,JUNE,1,2
2,1069-001,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CG7,3,PURE STAND,,,5,KILOGRAM,DECEMBER,2012,YES,,,,15,50 KG BAG,UNSHELLED,YES,IRREGULAR RAINS,,15,50 KG BAG,UNSHELLED,MAY,MAY,1,2
3,1069-001,PANEL A,Panel A - 2 Visits,YES,R03,SOYABEAN,3,MIXED STAND,YES,,2,KILOGRAM,DECEMBER,2012,YES,,,,1,PAIL (LARGE),SHELLED,YES,IRREGULAR RAINS,,1,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
4,1069-001,PANEL A,Panel A - 2 Visits,YES,R03,PEA,3,MIXED STAND,YES,,500,GRAM,DECEMBER,2012,YES,,,,1,PAIL (LARGE),SHELLED,YES,IRREGULAR RAINS,,1,PAIL (LARGE),SHELLED,MAY,MAY,1,2
5,1069-001,PANEL A,Panel A - 2 Visits,YES,R04,COTTON,3,PURE STAND,,,1,GRAM,DECEMBER,2012,YES,,,,87,KILOGRAM,UNSHELLED,YES,IRREGULAR RAINS,,87,KILOGRAM,UNSHELLED,MAY,JUNE,1,2
1,1069-003,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,2,PURE STAND,,,5,KILOGRAM,JANUARY,2013,YES,,,,5,50 KG BAG,SHELLED,NO,,,5,50 KG BAG,SHELLED,MAY,MAY,1,2
2,1069-003,PANEL A,Panel A - 2 Visits,YES,R02,OTHER RICE (SPECIFY),2,PURE STAND,,,10,KILOGRAM,APRIL,2013,YES,,,,3,50 KG BAG,UNSHELLED,YES,IRREGULAR RAINS,,3,50 KG BAG,UNSHELLED,APRIL,APRIL,1,2
1,1070-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,20,KILOGRAM,NOVEMBER,2012,YES,,,,2,OXCART,UNSHELLED,YES,DROUGHT,OTHER (SPECIFY),2,OX-CART,UNSHELLED,JUNE,JUNE,1,
2,1070-001,PANEL B,Panel B - 2 Visits,YES,R01,NKHWANI,1,MIXED STAND,YES,,200,GRAM,NOVEMBER,2012,YES,,,,3,50 KG BAG,NOT APPLICABLE,NO,,,3,50 KG BAG,NOT APPLICABLE,JANUARY,MARCH,1,
3,1070-001,PANEL B,Panel B - 2 Visits,YES,R01,PEA,1,MIXED STAND,YES,,1,KILOGRAM,NOVEMBER,2012,YES,,,,1,PAIL (LARGE),SHELLED,NO,,,1,PAIL (LARGE),SHELLED,MAY,MAY,1,
4,1070-001,PANEL B,Panel B - 2 Visits,YES,R02,COTTON,1,MIXED STAND,YES,,5,KILOGRAM,JANUARY,2013,YES,,,,100,KILOGRAM,NOT APPLICABLE,YES,DROUGHT,OTHER (SPECIFY),100,KILOGRAM,SHELLED,APRIL,JUNE,1,
5,1070-001,PANEL B,Panel B - 2 Visits,YES,R02,PEA,1,MIXED STAND,YES,,1,KILOGRAM,JANUARY,2013,YES,,,,10,KILOGRAM,SHELLED,NO,,,10,KILOGRAM,SHELLED,MAY,MAY,1,
1,1070-003,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,PURE STAND,,,21,KILOGRAM,NOVEMBER,2013,YES,,,,4,50 KG BAG,SHELLED,NO,,,4,50 KG BAG,SHELLED,APRIL,APRIL,1,2
1,1071-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,2,PURE STAND,,,18,KILOGRAM,DECEMBER,2012,YES,,,,4,OXCART,UNSHELLED,YES,IRREGULAR RAINS,,4,OX-CART,UNSHELLED,JUNE,JUNE,1,2
2,1071-001,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CG7,2,PURE STAND,YES,,5,KILOGRAM,JANUARY,2013,YES,,,,7,50 KG BAG,UNSHELLED,NO,,,7,50 KG BAG,UNSHELLED,MAY,MAY,1,2
3,1071-001,PANEL A,Panel A - 2 Visits,YES,R03,PEA,2,MIXED STAND,NO,1/4,2,KILOGRAM,JANUARY,2013,YES,,,,1,PAIL (SMALL),SHELLED,,,,,,,,,,
4,1071-001,PANEL A,Panel A - 2 Visits,YES,R03,COTTON,2,MIXED STAND,,,4,KILOGRAM,DECEMBER,2012,YES,,,,180,KILOGRAM,UNSHELLED,YES,IRREGULAR RAINS,,180,50 KG BAG,NOT APPLICABLE,MAY,JUNE,1,2
1,1072-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,2,PURE STAND,,,18,KILOGRAM,DECEMBER,2012,YES,,,,.5,OXCART,UNSHELLED,YES,IRREGULAR RAINS,OTHER (SPECIFY),1,OX-CART,UNSHELLED,JUNE,JUNE,1,2
1,1073-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,15,KILOGRAM,DECEMBER,2012,YES,,,,1.5,OXCART,UNSHELLED,NO,,,18,50 KG BAG,SHELLED,MAY,MAY,1,2
2,1073-001,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CG7,1,PURE STAND,,,20,KILOGRAM,DECEMBER,2012,YES,,,,64,PAIL (LARGE),UNSHELLED,NO,,,64,PAIL (LARGE),UNSHELLED,MAY,MAY,1,2
3,1073-001,PANEL A,Panel A - 2 Visits,YES,R03,COTTON,1,PURE STAND,,,18,KILOGRAM,JANUARY,2013,YES,,,,50,50 KG BAG,NOT APPLICABLE,YES,IRREGULAR RAINS,,95,KILOGRAM,SHELLED,MAY,JUNE,1,2
4,1073-001,PANEL A,Panel A - 2 Visits,YES,R04,SOYABEAN,1,PURE STAND,,,1,KILOGRAM,DECEMBER,2012,YES,,,,1.5,PAIL (LARGE),UNSHELLED,YES,IRREGULAR RAINS,,40,KILOGRAM,SHELLED,MAY,MAY,1,2
1,1074-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,2,MIXED STAND,YES,,10,KILOGRAM,DECEMBER,2012,YES,,,,2,50 KG BAG,SHELLED,YES,FLOODING,,4,50 KG BAG,SHELLED,APRIL,APRIL,2,2
2,1074-001,PANEL B,Panel B - 2 Visits,YES,R01,PEA,2,MIXED STAND,NO,1/2,1,KILOGRAM,DECEMBER,2012,YES,,,,1,PAIL (LARGE),SHELLED,YES,FLOODING,,1,PAIL (LARGE),SHELLED,APRIL,APRIL,2,
1,1075-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,1,PURE STAND,,,12,KILOGRAM,DECEMBER,2012,YES,,,,1.2,OXCART,SHELLED,YES,OTHER (SPECIFY),IRREGULAR RAINS,9,50 KG BAG,SHELLED,MAY,MAY,1,2
2,1075-001,PANEL A,Panel A - 2 Visits,YES,R02,COTTON,1,MIXED STAND,YES,,4,KILOGRAM,DECEMBER,2012,YES,,,,30,KILOGRAM,SHELLED,YES,IRREGULAR RAINS,,30,KILOGRAM,SHELLED,MAY,JUNE,1,2
3,1075-001,PANEL A,Panel A - 2 Visits,YES,R02,PEA,1,MIXED STAND,YES,,2,KILOGRAM,DECEMBER,2012,YES,,,,1,PAIL (LARGE),SHELLED,YES,IRREGULAR RAINS,,1,PAIL (LARGE),SHELLED,MAY,MAY,1,2
1,1075-002,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,5,3.7 KG BAG,FEBRUARY,2012,YES,,,,0,,,YES,OTHER (SPECIFY),,1,50 KG BAG,SHELLED,MAY,MAY,1,
2,1075-002,PANEL A,Panel A - 2 Visits,YES,R01,BEANS,1,MIXED STAND,NO,LESS THAN 1/4,2,KILOGRAM,DECEMBER,2012,YES,,,,1,PAIL (SMALL),SHELLED,NO,,,5,KILOGRAM,SHELLED,MARCH,MARCH,1,
3,1075-002,PANEL A,Panel A - 2 Visits,YES,R01,NKHWANI,1,MIXED STAND,NO,LESS THAN 1/4,1,KILOGRAM,DECEMBER,2012,YES,,,,0,,,NO,,,2,PAIL (LARGE),NOT APPLICABLE,JANUARY,APRIL,1,
4,1075-002,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CG7,1,PURE STAND,,,20,KILOGRAM,DECEMBER,2012,YES,,,,1,50 KG BAG,UNSHELLED,YES,DISEASES,,0,,,,,,
1,1076-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID RECYCLED,1,MIXED STAND,YES,,3,KILOGRAM,DECEMBER,2012,YES,,,,.5,OXCART,UNSHELLED,YES,INSECTS,,1,OX-CART,UNSHELLED,MAY,MAY,1,2
2,1076-001,PANEL B,Panel B - 2 Visits,YES,R01,PEA,1,MIXED STAND,YES,,500,GRAM,DECEMBER,2012,YES,,,,1,PAIL (LARGE),SHELLED,YES,IRREGULAR RAINS,,1,PAIL (LARGE),SHELLED,MAY,MAY,1,2
3,1076-001,PANEL B,Panel B - 2 Visits,YES,R02,COTTON,1,PURE STAND,,,5,KILOGRAM,DECEMBER,2012,YES,,,,1.5,BALE,NOT APPLICABLE,YES,IRREGULAR RAINS,,100,KILOGRAM,SHELLED,MAY,JUNE,1,2
4,1076-001,PANEL B,Panel B - 2 Visits,YES,R03,MAIZE HYBRID RECYCLED,1,MIXED STAND,YES,,7,KILOGRAM,DECEMBER,2012,YES,,,,1.5,OXCART,UNSHELLED,YES,IRREGULAR RAINS,,2,OX-CART,UNSHELLED,MAY,MAY,1,2
5,1076-001,PANEL B,Panel B - 2 Visits,YES,R03,NKHWANI,1,MIXED STAND,YES,,2,KILOGRAM,DECEMBER,2012,YES,,,,70,PAIL (SMALL),NOT APPLICABLE,NO,,,70,PAIL (SMALL),NOT APPLICABLE,FEBRUARY,APRIL,1,2
1,1077-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,MIXED STAND,YES,,10,KILOGRAM,DECEMBER,2012,YES,,,,12,50 KG BAG,SHELLED,NO,,,12,50 KG BAG,SHELLED,MAY,MAY,1,2
2,1077-001,PANEL A,Panel A - 2 Visits,YES,R02,COTTON,1,MIXED STAND,YES,,6,KILOGRAM,JANUARY,2013,YES,,,,2,BALE,NOT APPLICABLE,NO,,,200,KILOGRAM,NOT APPLICABLE,MAY,JUNE,1,2
3,1077-001,PANEL A,Panel A - 2 Visits,YES,R03,GROUNDNUT JL24,1,MIXED STAND,YES,,20,KILOGRAM,DECEMBER,2012,YES,,,,14,50 KG BAG,UNSHELLED,NO,,,14,50 KG BAG,UNSHELLED,MAY,MAY,1,2
4,1077-001,PANEL A,Panel A - 2 Visits,YES,R04,SOYABEAN,1,MIXED STAND,YES,,5,KILOGRAM,JANUARY,2013,YES,,,,2,50 KG BAG,SHELLED,NO,,,2,50 KG BAG,SHELLED,MAY,MAY,1,2
5,1077-001,PANEL A,Panel A - 2 Visits,YES,R01,THERERE/OKRA,1,MIXED STAND,YES,,50,GRAM,DECEMBER,2012,YES,,,,10,KILOGRAM,NOT APPLICABLE,NO,,,10,KILOGRAM,NOT APPLICABLE,FEBRUARY,APRIL,1,2
6,1077-001,PANEL A,Panel A - 2 Visits,YES,R01,NKHWANI,1,MIXED STAND,YES,,100,GRAM,DECEMBER,2012,YES,,,,10,KILOGRAM,NOT APPLICABLE,NO,,,10,KILOGRAM,NOT APPLICABLE,FEBRUARY,APRIL,1,2
7,1077-001,PANEL A,Panel A - 2 Visits,YES,R02,PEA,1,MIXED STAND,YES,,1.5,KILOGRAM,DECEMBER,2012,YES,,,,10,KILOGRAM,SHELLED,NO,,,10,KILOGRAM,SHELLED,MAY,MAY,1,2
8,1077-001,PANEL A,Panel A - 2 Visits,YES,R03,PEA,1,MIXED STAND,YES,,500,GRAM,DECEMBER,2012,YES,,,,30,KILOGRAM,SHELLED,NO,,,30,KILOGRAM,SHELLED,MAY,MAY,1,2
9,1077-001,PANEL A,Panel A - 2 Visits,YES,R04,SWEET POTATO,1,MIXED STAND,YES,,10,KILOGRAM,JANUARY,2013,YES,,,,4,50 KG BAG,NOT APPLICABLE,NO,,,4,50 KG BAG,NOT APPLICABLE,MARCH,APRIL,1,2
1,1078-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,PURE STAND,,,10,KILOGRAM,DECEMBER,2012,YES,,,,2,OXCART,UNSHELLED,NO,,,2,OX-CART,UNSHELLED,MAY,MAY,1,
2,1078-001,PANEL B,Panel B - 2 Visits,YES,R02,GROUNDNUT JL24,1,PURE STAND,,,10,KILOGRAM,DECEMBER,2012,YES,,,,5,50 KG BAG,UNSHELLED,NO,,,5,50 KG BAG,UNSHELLED,MAY,JUNE,1,
1,1079-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,1,PURE STAND,,,20,KILOGRAM,DECEMBER,2012,YES,,,,7,OXCART,UNSHELLED,NO,,,7,OX-CART,UNSHELLED,MAY,MAY,1,
2,1079-001,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CG7,1,PURE STAND,,,10,KILOGRAM,DECEMBER,2012,YES,,,,10,50 KG BAG,UNSHELLED,NO,,,10,50 KG BAG,UNSHELLED,MAY,MAY,1,
1,1080-002,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID RECYCLED,2,PURE STAND,,,15,KILOGRAM,JANUARY,2013,YES,,,,9,50 KG BAG,SHELLED,YES,OTHER (SPECIFY),,9,50 KG BAG,SHELLED,JULY,JULY,1,2
1,1081-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,MIXED STAND,YES,,15,KILOGRAM,DECEMBER,2012,YES,,,,4,OXCART,UNSHELLED,NO,,,4,OX-CART,UNSHELLED,MAY,MAY,1,
2,1081-001,PANEL A,Panel A - 2 Visits,YES,R01,NKHWANI,2,MIXED STAND,YES,,200,GRAM,DECEMBER,2012,YES,,,,2,50 KG BAG,NOT APPLICABLE,NO,,,2,50 KG BAG,NOT APPLICABLE,MARCH,JUNE,1,
3,1081-001,PANEL A,Panel A - 2 Visits,YES,R02,COTTON,2,PURE STAND,,,20,KILOGRAM,JANUARY,2013,NO,,,,,,,YES,DROUGHT,LACK OF HIRED LABOR,0,,,,,,
4,1081-001,PANEL A,Panel A - 2 Visits,YES,R03,GROUNDNUT CG7,2,MIXED STAND,YES,,5,KILOGRAM,JANUARY,2013,YES,,,,20,KILOGRAM,UNSHELLED,YES,DROUGHT,LACK OF HIRED LABOR,20,KILOGRAM,UNSHELLED,MAY,MAY,1,
5,1081-001,PANEL A,Panel A - 2 Visits,YES,R03,PEA,2,MIXED STAND,YES,,500,GRAM,JANUARY,2013,YES,,,,5,KILOGRAM,SHELLED,YES,DROUGHT,LACK OF HIRED LABOR,5,KILOGRAM,SHELLED,MARCH,MARCH,1,
1,1082-002,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,1,MIXED STAND,YES,,10,KILOGRAM,DECEMBER,2012,YES,,,,3,OXCART,UNSHELLED,NO,,,2,OX-CART,UNSHELLED,APRIL,APRIL,2,
2,1082-002,PANEL B,Panel B - 2 Visits,YES,R01,PEA,1,MIXED STAND,NO,1/2,2,KILOGRAM,DECEMBER,2012,YES,,,,75,KILOGRAM,SHELLED,NO,,,75,KILOGRAM,SHELLED,APRIL,APRIL,2,
3,1082-002,PANEL B,Panel B - 2 Visits,YES,R02,COTTON,1,PURE STAND,,,15,KILOGRAM,DECEMBER,2012,YES,,,,6.5,BALE,NOT APPLICABLE,NO,,,85,KILOGRAM,SHELLED,MAY,JUNE,2,
1,1083-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,2,PURE STAND,,,10,KILOGRAM,DECEMBER,2012,YES,,,,2,OXCART,UNSHELLED,NO,,,2,OX-CART,UNSHELLED,MAY,MAY,1,2
1,1083-006,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,2,PURE STAND,,,10,KILOGRAM,DECEMBER,2012,YES,,,,3,OXCART,UNSHELLED,NO,,,3,OX-CART,UNSHELLED,MAY,MAY,1,
2,1083-006,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CG7,2,PURE STAND,,,10,KILOGRAM,DECEMBER,2012,YES,,,,5,50 KG BAG,UNSHELLED,NO,,,5,50 KG BAG,UNSHELLED,MAY,MAY,1,
1,1084-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,2,PURE STAND,,,20,KILOGRAM,DECEMBER,2012,YES,,,,3.5,OXCART,UNSHELLED,NO,,,4,OX-CART,UNSHELLED,APRIL,MAY,1,2
1,1086-001,PANEL B,Panel B - 2 Visits,YES,R01,SWEET POTATO,2,PURE STAND,,,3,5 KG BAG,DECEMBER,2012,NO,1,OXCART,NOT APPLICABLE,,,,YES,IRREGULAR RAINS,,3,OX-CART,NOT APPLICABLE,JUNE,JULY,1,
2,1086-001,PANEL B,Panel B - 2 Visits,YES,R02,GROUNDNUT CHALIMBANA,2,PURE STAND,,,2,KILOGRAM,JANUARY,2013,YES,,,,25,KILOGRAM,UNSHELLED,NO,,,5,50 KG BAG,UNSHELLED,JUNE,JUNE,1,
1,1086-002,PANEL B,Panel B - 2 Visits,YES,R01,SOYABEAN,2,PURE STAND,,,5,KILOGRAM,DECEMBER,2012,YES,,,,75,KILOGRAM,SHELLED,NO,,,75,KILOGRAM,SHELLED,APRIL,APRIL,2,
1,1087-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,2,MIXED STAND,YES,,10,KILOGRAM,DECEMBER,2012,YES,,,,4,50 KG BAG,SHELLED,YES,OTHER (SPECIFY),DROUGHT,4,50 KG BAG,SHELLED,APRIL,APRIL,1,
2,1087-001,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CG7,2,MIXED STAND,YES,,10,KILOGRAM,JANUARY,2013,YES,,,,5,50 KG BAG,UNSHELLED,NO,,,10,50 KG BAG,UNSHELLED,MAY,MAY,1,
3,1087-001,PANEL A,Panel A - 2 Visits,YES,R01,THERERE/OKRA,2,MIXED STAND,YES,,10,GRAM,DECEMBER,2012,YES,,,,1,PAIL (SMALL),NOT APPLICABLE,NO,,,1,PAIL (SMALL),NOT APPLICABLE,FEBRUARY,MARCH,1,
4,1087-001,PANEL A,Panel A - 2 Visits,YES,R02,NKHWANI,2,MIXED STAND,YES,,100,GRAM,JANUARY,2013,YES,,,,25,PIECE,NOT APPLICABLE,NO,,,25,PIECE,NOT APPLICABLE,MARCH,MARCH,1,
5,1087-001,PANEL A,Panel A - 2 Visits,YES,R02,OTHER (SPECIFY),2,MIXED STAND,YES,,20,GRAM,JANUARY,2013,YES,,,,5,PAIL (LARGE),NOT APPLICABLE,NO,,,5,PAIL (LARGE),NOT APPLICABLE,MARCH,APRIL,1,
1,1088-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,2,MIXED STAND,YES,,25,KILOGRAM,DECEMBER,2012,YES,,,,6,OTHER (SPECIFY),UNSHELLED,NO,,,4,OX-CART,UNSHELLED,MAY,MAY,1,
2,1088-001,PANEL B,Panel B - 2 Visits,YES,R01,BEANS,2,MIXED STAND,YES,,5,KILOGRAM,DECEMBER,2012,YES,,,,1,50 KG BAG,SHELLED,NO,,,6,50 KG BAG,SHELLED,MAY,MAY,1,
1,1089-001,PANEL A,Panel A - Combined Visit,YES,R01,MAIZE HYBRID,1,PURE STAND,,,10,KILOGRAM,DECEMBER,2012,YES,,,,25,50 KG BAG,SHELLED,NO,,,25,50 KG BAG,SHELLED,APRIL,APRIL,1,2
2,1089-001,PANEL A,Panel A - Combined Visit,YES,R02,BEANS,1,PURE STAND,,,20,KILOGRAM,DECEMBER,2013,YES,,,,10,50 KG BAG,SHELLED,,,,,,,,,,
1,1090-002,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID RECYCLED,2,MIXED STAND,YES,,10,KILOGRAM,DECEMBER,2012,YES,,,,2,OXCART,UNSHELLED,YES,OTHER (SPECIFY),,1,OX-CART,UNSHELLED,MAY,MAY,1,
2,1090-002,PANEL B,Panel B - 2 Visits,YES,R01,OTHER (SPECIFY),2,MIXED STAND,YES,,4,KILOGRAM,DECEMBER,2012,YES,,,,7,50 KG BAG,SHELLED,NO,,,2,PAIL (LARGE),SHELLED,MAY,MAY,1,
3,1090-002,PANEL B,Panel B - 2 Visits,YES,R02,GROUNDNUT CG7,2,MIXED STAND,YES,,15,KILOGRAM,DECEMBER,2012,YES,,,,15,50 KG BAG,UNSHELLED,YES,DISEASES,,5,50 KG BAG,UNSHELLED,JUNE,JUNE,1,
4,1090-002,PANEL B,Panel B - 2 Visits,YES,R02,OTHER (SPECIFY),2,MIXED STAND,NO,1/4,2,KILOGRAM,DECEMBER,2012,YES,,,,3,50 KG BAG,SHELLED,NO,,,10,KILOGRAM,SHELLED,JUNE,JUNE,1,
1,1090-003,PANEL B,Panel B - 2 Visits,YES,R02,SOYABEAN,2,PURE STAND,,,2,KILOGRAM,DECEMBER,2012,YES,,,,2,50 KG BAG,SHELLED,NO,,,5,50 KG BAG,SHELLED,APRIL,APRIL,1,2
1,1091-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,10,KILOGRAM,JANUARY,2013,NO,3,OTHER (SPECIFY),UNSHELLED,,,,YES,OTHER (SPECIFY),,14,50 KG BAG,SHELLED,MAY,MAY,1,2
2,1091-001,PANEL A,Panel A - 2 Visits,YES,R02,RICE LOCAL,1,PURE STAND,,,1,50 KG BAG,DECEMBER,2012,NO,0,,,,,,YES,IRREGULAR RAINS,,0,,,,,,
1,1092-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,2,PURE STAND,,,6,KILOGRAM,NOVEMBER,2012,YES,,,,3,OXCART,UNSHELLED,YES,OTHER (SPECIFY),,11,50 KG BAG,SHELLED,MAY,MAY,1,2
2,1092-001,PANEL B,Panel B - 2 Visits,YES,R02,GROUNDNUT CG7,2,PURE STAND,,,9,KILOGRAM,DECEMBER,2012,YES,,,,450,50 KG BAG,UNSHELLED,NO,,,7,50 KG BAG,UNSHELLED,MAY,MAY,1,2
1,1093-001,PANEL A,Panel A - 2 Visits,YES,R01,COTTON,2,PURE STAND,,,5,KILOGRAM,DECEMBER,2012,NO,1,BALE,NOT APPLICABLE,,,,YES,LACK OF HIRED LABOR,,0,,,,,,
2,1093-001,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE HYBRID,2,PURE STAND,,,2,KILOGRAM,DECEMBER,2012,YES,,,,2,50 KG BAG,SHELLED,YES,OTHER (SPECIFY),IRREGULAR RAINS,3,50 KG BAG,SHELLED,MARCH,MARCH,2,
1,1094-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID RECYCLED,2,PURE STAND,,,3,KILOGRAM,DECEMBER,2012,YES,,,,2,50 KG BAG,SHELLED,NO,,,4,50 KG BAG,SHELLED,APRIL,APRIL,2,
1,1094-004,PANEL B,Panel B - Combined Visit,YES,R01,MAIZE LOCAL,1,PURE STAND,,,20,KILOGRAM,NOVEMBER,2012,YES,,,,48,50 KG BAG,SHELLED,NO,,,48,50 KG BAG,SHELLED,JUNE,JULY,1,2
2,1094-004,PANEL B,Panel B - Combined Visit,YES,R02,GROUNDNUT CHALIMBANA,1,PURE STAND,,,10,KILOGRAM,NOVEMBER,2012,YES,,,,24,50 KG BAG,UNSHELLED,NO,,,24,50 KG BAG,UNSHELLED,JUNE,JULY,1,2
3,1094-004,PANEL B,Panel B - Combined Visit,YES,R03,TOBACCO BURLEY,1,PURE STAND,,,100,KILOGRAM,DECEMBER,2012,YES,,,,2000,KILOGRAM,NOT APPLICABLE,NO,,,2000,KILOGRAM,NOT APPLICABLE,FEBRUARY,MAY,1,2
1,1095-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,2,PURE STAND,,,2,KILOGRAM,JANUARY,2013,YES,,,,1,50 KG BAG,SHELLED,YES,OTHER (SPECIFY),IRREGULAR RAINS,1,50 KG BAG,SHELLED,APRIL,APRIL,1,2
1,1096-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,2,PURE STAND,,,15,KILOGRAM,DECEMBER,2012,YES,,,,3,OTHER (SPECIFY),UNSHELLED,NO,,,15,OX-CART,UNSHELLED,MAY,MAY,1,2
2,1096-001,PANEL B,Panel B - 2 Visits,YES,R02,MAIZE HYBRID,2,PURE STAND,,,10,KILOGRAM,DECEMBER,2012,YES,,,,2.5,OTHER (SPECIFY),UNSHELLED,NO,,,7,OX-CART,UNSHELLED,MAY,MAY,1,2
3,1096-001,PANEL B,Panel B - 2 Visits,YES,R03,MAIZE COMPOSITE/OPV,2,PURE STAND,,,5,KILOGRAM,DECEMBER,2012,YES,,,,1,OXCART,UNSHELLED,,,,,,,,,,
1,1096-003,PANEL B,Panel B - Combined Visit,YES,R01,SOYABEAN,1,PURE STAND,,,15,KILOGRAM,DECEMBER,2012,YES,,,,125,KILOGRAM,SHELLED,NO,,,125,KILOGRAM,SHELLED,JUNE,JUNE,1,2
2,1096-003,PANEL B,Panel B - Combined Visit,YES,R02,GROUNDNUT CG7,1,MIXED STAND,YES,,5,KILOGRAM,DECEMBER,2012,YES,,,,1,50 KG BAG,UNSHELLED,YES,IRREGULAR RAINS,,1,50 KG BAG,UNSHELLED,JULY,JULY,1,2
3,1096-003,PANEL B,Panel B - Combined Visit,YES,R02,BEANS,1,MIXED STAND,YES,,2,KILOGRAM,DECEMBER,2012,YES,,,,10,50 KG BAG,SHELLED,,,,,,,,,,
