HHID,case_id,qx_type,ea_id,visit,ag_c0a,ag_c00,ag_c01,ag_c02,ag_c04a,ag_c04b,ag_c04c,ag_c05d_os
568,105071750163,Panel B,10507175,1,,R1,Yes,LOCAL MAIZE,1,Acre,1.1,
564,105071750175,Panel B,10507175,1,,R2,Yes,LOCAL MAIZE,1,Acre,1.21,
564,105071750175,Panel B,10507175,1,,R1,Yes,LOCAL MAIZE,1,Acre,.69,
560,105071750199,Panel B,10507175,1,,R1,Yes,HYBRID WAKUPHIRI,1,Acre,1.1900001,
554,105071750211,Panel B,10507175,1,,R1,Yes,LOCAL MAIZE,2,Acre,1.03,
548,105071750246,Panel B,10507175,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.5,
548,105071750246,Panel B,10507175,1,,R2,Yes,BURLEY TOBACCO,.5,Acre,.89999998,
557,105073440008,Panel A,10507344,1,,R3,Yes,G/NUTS,.5,Acre,.81,
557,105073440008,Panel A,10507344,1,,R1,Yes,LOCAL MAIZE,3,Acre,3.51,
557,105073440008,Panel A,10507344,1,,R2,Yes,HYBRID MAIZE,1,Acre,1.8,
557,105073440008,Panel A,10507344,1,,R4,Yes,TOBACCO BURLEY,.5,Acre,.70999998,
571,105073440016,Panel A,10507344,1,,R2,Yes,LOCAL MAIZE,1,Acre,1.5,
571,105073440016,Panel A,10507344,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.40000001,
569,105073440027,Panel A,10507344,1,,R2,Yes,HYBRID MAIZE,.5,Acre,.30000001,
569,105073440027,Panel A,10507344,1,,R1,Yes,LOCAL MAIZE,.2,Acre,.40000001,
569,105073440027,Panel A,10507344,1,,R3,Yes,GROUNDNUTS,.2,Acre,.40000001,
569,105073440027,Panel A,10507344,1,,R4,Yes,BURLEY,.5,Acre,.60000002,
565,105073440033,Panel A,10507344,1,,R1,Yes,LOCAL MARKET,.5,Acre,.52999997,
575,105073440041,Panel A,10507344,1,,R2,Yes,SOYA,1.08,Acre,.1,
575,105073440041,Panel A,10507344,1,,R1,Yes,HYBRID MAIZE,1,Acre,1.0599999,
575,105073440041,Panel A,10507344,1,,R3,Yes,G/NUTS,.5,Acre,.25,
547,105073440053,Panel A,10507344,1,,R1,Yes,HYBRID MAIZE,.75,Acre,.69999999,
547,105073440053,Panel A,10507344,1,,R2,Yes,KBM 20 TOBACCO,2,Acre,2.0999999,
545,105073440060,Panel A,10507344,1,,R1,Yes,LOCAL MAIZE,1,Acre,1,
551,105073440081,Panel A,10507344,1,,R2,Yes,TOBACCO BURLEY,1,Acre,1.03,
551,105073440081,Panel A,10507344,1,,R1,Yes,LOCAL MAIZE,1.5,Acre,1.8,
555,105073440103,Panel A,10507344,1,,R2,Yes,BURLEY TOBACCO,1.5,Acre,1.4,
555,105073440103,Panel A,10507344,1,,R1,Yes,HYBRID MAIZE,2,Acre,2.5,
555,105073440103,Panel A,10507344,1,,R3,Yes,GROUNDNUTS,.40000001,Acre,.5,
573,105073440106,Panel A,10507344,1,,R1,Yes,LOCAL MAIZE,2,Acre,3.2,
573,105073440106,Panel A,10507344,1,,R5,Yes,FALLOW,1.5,Acre,1,
573,105073440106,Panel A,10507344,1,,R3,Yes,GROUNDNUTS,1,Acre,.69999999,
573,105073440106,Panel A,10507344,1,,R2,Yes,BURLEY,1,Acre,1,
573,105073440106,Panel A,10507344,1,,R4,Yes,SOYA BEANS,1,Acre,.5,
567,105073440115,Panel A,10507344,1,,R1,Yes,LOCAL MAIZE,1,Acre,.80000001,
561,105073440121,Panel A,10507344,1,,R3,Yes,G/NUTS,.5,Acre,.22,
561,105073440121,Panel A,10507344,1,,R1,Yes,LOCAL MAIZE,1.5,Acre,1.4,
561,105073440121,Panel A,10507344,1,,R2,Yes,SOYA BEANS,1,Acre,1,
559,105073440126,Panel A,10507344,1,,R1,Yes,LOCAL MAIZE,.5,Acre,.80000001,
559,105073440126,Panel A,10507344,1,,R2,Yes,LOCAL MAIZE,1,Acre,.89999998,
549,105073440131,Panel A,10507344,1,,R2,Yes,G/NUTS,.5,Acre,.2,
549,105073440131,Panel A,10507344,1,,R1,Yes,LOCAL MAIZE,1,Acre,1.1,
563,105073440136,Panel A,10507344,1,,R2,Yes,G /NUTS,.5,Acre,.25999999,
563,105073440136,Panel A,10507344,1,,R3,Yes,LOCAL MAIZE,5,Acre,1.15,
563,105073440136,Panel A,10507344,1,,R1,Yes,LOCAL MAIZE,2,Acre,1.3200001,
553,105073440152,Panel A,10507344,1,,R1,Yes,HYBRID MAIZE,1,Acre,1.1799999,
553,105073440152,Panel A,10507344,1,,R2,Yes,G /NUTS,1,Acre,1.0700001,
585,105093190002,Panel A,10509319,1,,R2,Yes,LOCAL MAIZE PLOT,1,Acre,1.87,
585,105093190002,Panel A,10509319,1,,R1,Yes,LOCAL MAIZE,1,Acre,2.4300001,
585,105093190002,Panel A,10509319,1,,R4,Yes,LOCAL MAIZE,1.5,Acre,.34,
585,105093190002,Panel A,10509319,1,,R3,Yes,G/NUTS CHALIMBANA,.5,Acre,.66000003,
603,105093190013,Panel A,10509319,1,,R1,Yes,HYBRID MAIZE,1.5,Acre,2.4100001,
603,105093190013,Panel A,10509319,1,,R2,Yes,TOBACCO,.75,Acre,1.29,
599,105093190021,Panel A,10509319,1,,R1,Yes,MUNDA WA CHIMANGA,.5,Acre,.40000001,
599,105093190021,Panel A,10509319,1,,R2,Yes,MUNDA WA CHIMANGA,2,Acre,2.3,
589,105093190045,Panel A,10509319,1,,R1,Yes,WACHIMANGA,.5,Acre,1.52,
581,105093190056,Panel A,10509319,1,,R1,Yes,HYBRID MAIZE,1,Hectare,1.8200001,
581,105093190056,Panel A,10509319,1,,R2,Yes,G/NUTS,.40000001,Acre,.63999999,
593,105093190058,Panel A,10509319,1,,R1,Yes,MUNDA WA MBATATA,.0099999998,Acre,,
583,105093190062,Panel A,10509319,1,,R2,Yes,TOBACCO FLUE CURED,3,Acre,.14,
583,105093190062,Panel A,10509319,1,,R3,Yes,MAIZE HYBRID,1,Acre,1.3,
583,105093190062,Panel A,10509319,1,,R1,Yes,MAIZE LOCAL,4,Acre,3.21,
597,105093190116,Panel A,10509319,1,,R4,Yes,G/NUTS,.40000001,Acre,.17,
597,105093190116,Panel A,10509319,1,,R3,Yes,SOYA BEANS,.039999999,Acre,.11,
597,105093190116,Panel A,10509319,1,,R2,Yes,BURLEY TOBACCO,.5,Acre,.60000002,
597,105093190116,Panel A,10509319,1,,R1,Yes,WACHIMANGA,.5,Acre,.55000001,
607,105093190129,Panel A,10509319,1,,R1,Yes,MAIZE BEANS,1.5,Acre,1.3,
577,105093190148,Panel A,10509319,1,,R3,Yes,MUNDA WA MZAMA,.1,Acre,.1,
577,105093190148,Panel A,10509319,1,,R4,Yes,BURLEY,1.4,Acre,.80000001,
577,105093190148,Panel A,10509319,1,,R1,Yes,MUNDA WA CHIMANGA,1.5,Acre,1.6,
577,105093190148,Panel A,10509319,1,,R2,Yes,MUNDA WA MTEDZA,.5,Acre,.1,
577,105093190148,Panel A,10509319,1,,R5,Yes,FLUE CURED,2.5,Acre,2.8,
601,105093190150,Panel A,10509319,1,,R2,Yes,GROUNDNUTS,.5,Acre,.47,
601,105093190150,Panel A,10509319,1,,R1,Yes,LOCAL MAIZE,.5,Acre,.31999999,
587,105093190189,Panel A,10509319,1,,R3,Yes,TOBACCO,.30000001,Acre,.93000001,
587,105093190189,Panel A,10509319,1,,R2,Yes,G/NUTS,.5,Acre,.61000001,
587,105093190189,Panel A,10509319,1,,R1,Yes,LOCAL MAIZE,1,Acre,1.12,
579,105093190205,Panel A,10509319,1,,R1,Yes,MAIZE [HYBRID],.13,Acre,.13,
579,105093190205,Panel A,10509319,1,,R2,Yes,GROUNDNUTS [CHALIMBANA],.14,Acre,.14,
579,105093190205,Panel A,10509319,1,,R3,Yes,SOYA BEANS,0,Acre,,
579,105093190205,Panel A,10509319,1,,R4,Yes,SWEET POTATO,.1,Acre,.1,
595,105093190214,Panel A,10509319,1,,R5,Yes,TOBACCO,.5,Acre,.58999997,
595,105093190214,Panel A,10509319,1,,R3,Yes,LOCAL MAIZE,.25,Acre,.72000003,
595,105093190214,Panel A,10509319,1,,R4,Yes,G/NUTS,.25,Acre,.5,
595,105093190214,Panel A,10509319,1,,R1,Yes,LOCAL MAIZE,.75,Acre,1.2,
595,105093190214,Panel A,10509319,1,,R2,Yes,LOCAL MAIZE,.5,Acre,.88,
591,105093190217,Panel A,10509319,1,,R2,Yes,HYBRID,1.5,Acre,1.6,
591,105093190217,Panel A,10509319,1,,R4,Yes,G/NUTS,.5,Acre,.34999999,
591,105093190217,Panel A,10509319,1,,R3,Yes,BURLEY,.5,Acre,.73000002,
591,105093190217,Panel A,10509319,1,,R1,Yes,LOCAL MAIZE,1.5,Acre,2.4100001,
605,105093190245,Panel A,10509319,1,,R1,Yes,MAIZE LOCAL,1,Acre,.83999997,
605,105093190245,Panel A,10509319,1,,R3,Yes,G/NUTS,.5,Acre,.44999999,
605,105093190245,Panel A,10509319,1,,R2,Yes,FLUE CURED,1,Acre,1,
588,105103880009,Panel B,10510388,1,,R2,Yes,SOYA BEAN,.5,Acre,.28,
588,105103880009,Panel B,10510388,1,,R1,Yes,LOCAL MAIZE,1.5,Acre,.88999999,
588,105103880009,Panel B,10510388,1,,R3,Yes,G/NUTS,.25,Acre,.17,
580,105103880018,Panel B,10510388,1,,R3,Yes,BURLY TOBACCO,1,Acre,1.13,
580,105103880018,Panel B,10510388,1,,R2,Yes,SOYA BEAN,.40000001,Acre,.33000001,
580,105103880018,Panel B,10510388,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.40000001,
590,105103880027,Panel B,10510388,1,,R1,Yes,LOCAL MAIZE PLOT,1.5,Acre,1.9,
574,105103880036,Panel B,10510388,1,,R1,Yes,HYBRID MAIZE,2,Acre,2.8299999,
574,105103880036,Panel B,10510388,1,,R4,Yes,SOYA BEANS,1,Acre,1.72,
574,105103880036,Panel B,10510388,1,,R2,Yes,BURLEY,2,Acre,1.66,
574,105103880036,Panel B,10510388,1,,R3,Yes,G/NUTS,1,Acre,1.1900001,
602,105103880054,Panel B,10510388,1,,R4,Yes,HYBRID MAIZE,.5,Acre,.76999998,
602,105103880054,Panel B,10510388,1,,R3,Yes,BURLEY TOBACCO,1,Acre,1.5,
602,105103880054,Panel B,10510388,1,,R2,Yes,SOYA BEANS,2,Acre,.93000001,
602,105103880054,Panel B,10510388,1,,R1,Yes,HYBRID MAIZE,2,Acre,1.05,
594,105103880062,Panel B,10510388,1,,R3,Yes,BURLEY,1,Acre,1.62,
594,105103880062,Panel B,10510388,1,,R2,Yes,SOYA BEANS,1,Acre,.62,
594,105103880062,Panel B,10510388,1,,R1,Yes,MAIZE LOCAL,1,Acre,.72000003,
576,105103880071,Panel B,10510388,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.30000001,
598,105103880080,Panel B,10510388,1,,R1,Yes,HYBRIB MAIZE,1,Acre,.94,
598,105103880080,Panel B,10510388,1,,R3,Yes,HYBRID MAIZE,1,Acre,.5,
598,105103880080,Panel B,10510388,1,,R2,Yes,G/NUTS,1,Acre,.61000001,
604,105103880098,Panel B,10510388,1,,R1,Yes,LOCAL MAIZE PLOT,3,Acre,1.6,
604,105103880098,Panel B,10510388,1,,R3,Yes,LOCAL MAIZE PLOT,.1,Acre,.2,
604,105103880098,Panel B,10510388,1,,R2,Yes,SOYA PLOT,2,Acre,1,
582,105103880107,Panel B,10510388,1,,R1,Yes,LOCAL MAIZE,1,Acre,.60000002,
578,105103880116,Panel B,10510388,1,,R1,Yes,LOCAL MAIZE PLOT,1,Acre,1.8,
578,105103880116,Panel B,10510388,1,,R2,Yes,LOCAL MAIZE PLOT,.2,Acre,.1,
586,105103880124,Panel B,10510388,1,,R1,Yes,MUNDA WA CHIMANGA,1,Acre,1.8,
596,105103880142,Panel B,10510388,1,,R1,Yes,LOCAL MAIZE,1,Acre,1.61,
596,105103880142,Panel B,10510388,1,,R2,Yes,SWEET POTATO,.25,Acre,1.12,
596,105103880142,Panel B,10510388,1,,R3,Yes,FALLOW,.5,Acre,.46000001,
592,105103880151,Panel B,10510388,1,,R3,Yes,BURLEY TOBACCO,.5,Acre,.5,
592,105103880151,Panel B,10510388,1,,R1,Yes,LOCAL MAIZE,.5,Acre,1.2,
592,105103880151,Panel B,10510388,1,,R4,Yes,LOCAL MAIZE,.2,Acre,.15000001,
592,105103880151,Panel B,10510388,1,,R2,Yes,SOYA BEAN,.2,Acre,.20999999,
584,105103880160,Panel B,10510388,1,,R3,Yes,SWEET POTATO,.1,Acre,,
584,105103880160,Panel B,10510388,1,,R2,Yes,BEANS PLOT,.1,Acre,,
584,105103880160,Panel B,10510388,1,,R4,Yes,HYBRID MAIZE,.40000001,Acre,.2,
584,105103880160,Panel B,10510388,1,,R1,Yes,HYBRID MAIZE PLOT,1,Acre,2.4000001,
600,105103880178,Panel B,10510388,1,,R1,Yes,HYBRID MAIZE PLOT,1.5,Acre,1.3,
600,105103880178,Panel B,10510388,1,,R2,Yes,HYBRID MAIZE,.69999999,Acre,.80000001,
611,107321920084,Panel A,10732192,1,,,No,,,,,
629,107321920134,Panel A,10732192,1,,R1,Yes,LOCAL MAIZE,1,Acre,1.33,
629,107321920134,Panel A,10732192,1,,R2,Yes,SWEET POTATO,.1,Acre,.20999999,
609,107321920171,Panel A,10732192,1,,R1,Yes,HYBRID MAIZE,2.5,Acre,2,
625,107321920194,Panel A,10732192,1,,R1,Yes,HYBRID MAIZE,1,Acre,1.5,
613,107321920240,Panel A,10732192,1,,R2,Yes,SWEET POTATO,.25,Acre,.2,
613,107321920240,Panel A,10732192,1,,R1,Yes,LOCAL MAIZE,.5,Acre,1.05,
637,107321920285,Panel A,10732192,1,,R1,Yes,SWEET POTATO,.2,Acre,.15000001,
637,107321920285,Panel A,10732192,1,,R2,Yes,FALLOW,.40000001,Acre,.22,
622,107336400005,Panel B,10733640,1,,R1,Yes,HYBRID MAIZE,.75,Acre,.50999999,
636,107336400015,Panel B,10733640,1,,R1,Yes,HYBRID MAIZE,.40000001,Acre,.2,
618,107336400020,Panel B,10733640,1,,R1,Yes,HYBRID MAIZE,.69999999,Acre,.56999999,
626,107336400041,Panel B,10733640,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.079999998,
620,107336400056,Panel B,10733640,1,,,No,,,,,
624,107336400067,Panel B,10733640,1,,R1,Yes,WACHIMANGA,.2,Acre,.13,
628,107336400072,Panel B,10733640,1,,R1,Yes,HYBRID MAIZE PLOT,.40000001,Acre,.2,
628,107336400072,Panel B,10733640,1,,R2,Yes,SWEET POTATO PLOT,.40000001,Acre,.5,
628,107336400072,Panel B,10733640,1,,R3,Yes,HYBRID MAIZE PLOT,.30000001,Acre,.5,
630,107336400077,Panel B,10733640,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.61000001,
630,107336400077,Panel B,10733640,1,,R2,Yes,HYBRID MAIZE,.2,Acre,.20999999,
630,107336400077,Panel B,10733640,1,,R3,Yes,SWEET POTATOES,.5,Acre,.50999999,
606,107336400087,Panel B,10733640,1,,R1,Yes,HYBRID MAIZE,4,Acre,4.21,
608,107336400092,Panel B,10733640,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.34999999,
616,107336400097,Panel B,10733640,1,,R1,Yes,HYBRID MAIZE,3,Acre,,
616,107336400097,Panel B,10733640,1,,R2,Yes,HYBRID MAIZE,4,Acre,,
634,107336400107,Panel B,10733640,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.75,
658,107343700114,Panel B,10734370,1,,,No,,,,,
662,107343700152,Panel B,10734370,1,,R1,Yes,HYBRID MAIZE,1,Acre,1.04,
650,107343700249,Panel B,10734370,1,,R1,Yes,HYBRID MAIZE,1,Acre,1.2,
650,107343700249,Panel B,10734370,1,,R2,Yes,HYBRID MAIZE,.5,Acre,1.5,
664,107343700269,Panel B,10734370,1,,R1,Yes,HYBRID MAIZE,1,Acre,1.3099999,
666,107343700385,Panel B,10734370,1,,R1,Yes,HYBRID MAIZE,2.5,Acre,,
643,107347620016,Panel A,10734762,1,,R1,Yes,LOCAL MAIZE,.5,Acre,.40000001,
665,107347620031,Panel A,10734762,1,,,No,,,,,
651,107347620278,Panel A,10734762,1,,,No,,,,,
671,107347620318,Panel A,10734762,1,,R1,Yes,LOCAL MAIZE,1,Acre,.5,
657,107347620346,Panel A,10734762,1,,R1,Yes,HYBRID MAIZE,1.4,Acre,.69999999,
679,107351730088,Panel A,10735173,1,,R1,Yes,LOCAL MAIZE,2,Acre,2.8,
679,107351730088,Panel A,10735173,1,,R2,Yes,G/NUTS,1,Acre,.82999998,
695,107351730115,Panel A,10735173,1,,,No,,,,,
680,107365960004,Panel B,10736596,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.2,
700,107365960008,Panel B,10736596,1,,R1,Yes,LOCAL MAIZE,1,Acre,,
672,107365960010,Panel B,10736596,1,,,No,,,,,
696,107365960012,Panel B,10736596,1,,R1,Yes,LOCAL MAIZE,1.5,Acre,.81,
682,107365960013,Panel B,10736596,1,,R1,Yes,HYBRID MAIZE,1,Acre,.60000002,
692,107365960014,Panel B,10736596,1,,R3,Yes,SOYA BEANS,.5,Acre,.80000001,
692,107365960014,Panel B,10736596,1,,R2,Yes,G/NUTS,.5,Acre,.81,
692,107365960014,Panel B,10736596,1,,R1,Yes,HYBRID MAIZE,2,Acre,1.8,
686,107365960016,Panel B,10736596,1,,R1,Yes,LOCAL MAIZE,.1,Acre,,
686,107365960016,Panel B,10736596,1,,R2,Yes,SWEET POTATO,.5,Acre,.1,
727,107415040028,Panel A,10741504,1,,R1,Yes,BURLEY,3,Acre,2.0999999,
733,107415040057,Panel A,10741504,1,,R1,Yes,LOCAL MAIZE,.5,Acre,.41,
721,107415040060,Panel A,10741504,1,,R1,Yes,LOCAL MAIZE,1,Acre,.69999999,
719,107415040063,Panel A,10741504,1,,R1,Yes,HYBRID MAIZE,1,Acre,1.6,
726,107446490122,Panel B,10744649,1,,R1,Yes,LOCAL MAIZE,1,Acre,.83999997,
718,107446490271,Panel B,10744649,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.80000001,
751,107460330205,Panel A,10746033,1,,R1,Yes,MAIZE PLOT,.5,Acre,.69,
763,107460330525,Panel A,10746033,1,,R1,Yes,MUNDA WA CHIMANGA,.75,Acre,.69999999,
761,107460330536,Panel A,10746033,1,,R2,Yes,HYBRID MAIZE,1,Acre,1.46,
761,107460330536,Panel A,10746033,1,,R1,Yes,LOCAL MAIZE,.5,Acre,.92000002,
759,107460330612,Panel A,10746033,1,,R3,Yes,TOBACCO,1,Acre,1.3200001,
759,107460330612,Panel A,10746033,1,,R2,Yes,G/NUTS,.5,Acre,.89999998,
759,107460330612,Panel A,10746033,1,,R1,Yes,HYBRID MAIZE,2,Acre,2.4000001,
762,107462440014,Panel B,10746244,1,,R3,Yes,PLOT FOR SWEET POTATO 2,.1,Acre,,
762,107462440014,Panel B,10746244,1,,R1,Yes,MUNDA WA LOCAL MAIZE,.2,Acre,,
762,107462440014,Panel B,10746244,1,,R2,Yes,PLOT FOR SWEET POTATO,.1,Acre,.1,
746,107462440028,Panel B,10746244,1,,R2,Yes,HYBRID MAIZE,.5,Acre,.50999999,
746,107462440028,Panel B,10746244,1,,R3,Yes,LOCAL MAIZE,0,Acre,.75999999,
746,107462440028,Panel B,10746244,1,,R1,Yes,LOCAL MAIZE,1,Acre,.5,
756,107462440056,Panel B,10746244,1,,R1,Yes,HYBRID MAIZE PLOT,.40000001,Acre,.40000001,
764,107462440085,Panel B,10746244,1,,R1,Yes,HYBRID MAIZE,.5,Acre,1.08,
736,107462440113,Panel B,10746244,1,,R1,Yes,MAIZE,.5,Acre,.58999997,
750,107462440127,Panel B,10746244,1,,R1,Yes,HYBRID MAIZE,2,Acre,1.9299999,
754,107462440155,Panel B,10746244,1,,R1,Yes,HYBRID MAIZE PLOT,1,Acre,.80000001,
740,107462440183,Panel B,10746244,1,,R1,Yes,LOCAL MAIZE PLOT,.1,Acre,.1,
740,107462440183,Panel B,10746244,1,,R2,Yes,SWEET POTATO PLOT,.2,Acre,,
740,107462440183,Panel B,10746244,1,,R3,Yes,HYBRID MAIZE,.5,Acre,.30000001,
744,107462440197,Panel B,10746244,1,,R3,Yes,HYBRID MAIZE PLOT,.1,Acre,.1,
744,107462440197,Panel B,10746244,1,,R1,Yes,HYBRID MAIZE PLOT,.40000001,Acre,.1,
744,107462440197,Panel B,10746244,1,,R2,Yes,LOCAL MAIZE PLOT,.5,Acre,.40000001,
744,107462440197,Panel B,10746244,1,,R5,Yes,SWEET POTATO PLOT,.30000001,Acre,,
744,107462440197,Panel B,10746244,1,,R4,Yes,GROUNDNUTS PLOT,.2,Acre,,
752,107462440226,Panel B,10746244,1,,R1,Yes,HYBRID MAIZE,.2,Acre,.27000001,
758,107462440254,Panel B,10746244,1,,R1,Yes,HYBRID MAIZE,.25,Acre,.15000001,
778,201060420011,Panel B,20106042,1,,R4,Yes,G/NUTS,.5,Acre,.56999999,
778,201060420011,Panel B,20106042,1,,R1,Yes,MAIZE,2.5,Acre,3,
778,201060420011,Panel B,20106042,1,,R3,Yes,MAIZE,.5,Acre,.58999997,
778,201060420011,Panel B,20106042,1,,R2,Yes,MAIZE,.5,Acre,.41999999,
796,201060420020,Panel B,20106042,1,,R1,Yes,HYBRID MAIZE,1.5,Acre,1.4400001,
796,201060420020,Panel B,20106042,1,,R2,Yes,TOBACCO,.5,Acre,.61000001,
768,201060420028,Panel B,20106042,1,,R1,Yes,HYBRID MAIZE,2,Acre,1.17,
770,201060420037,Panel B,20106042,1,,R1,Yes,HYBRID MAIZE,1,Acre,1.08,
770,201060420037,Panel B,20106042,1,,R2,Yes,TOBACCO,1,Acre,1.12,
770,201060420037,Panel B,20106042,1,,R3,Yes,G/NUTS,.5,Acre,.47999999,
766,201060420054,Panel B,20106042,1,,R2,Yes,HYBRID MAIZE,1,Acre,1.46,
766,201060420054,Panel B,20106042,1,,R1,Yes,LOCAL MAIZE,3,Acre,1.73,
766,201060420054,Panel B,20106042,1,,R3,Yes,POTATO SWEET,.5,Acre,.68000001,
786,201060420063,Panel B,20106042,1,,R1,Yes,HYBRID MAIZE,2,Acre,2.21,
786,201060420063,Panel B,20106042,1,,R2,Yes,G/NUTS,.5,Acre,.47,
792,201060420071,Panel B,20106042,1,,R3,Yes,SOYA BEANS,.25,Acre,.74000001,
792,201060420071,Panel B,20106042,1,,R1,Yes,HYBRID MAIZE,1.5,Acre,2.1099999,
792,201060420071,Panel B,20106042,1,,R4,Yes,SWEET POTATO,.5,Acre,.37,
792,201060420071,Panel B,20106042,1,,R2,Yes,GROUND NUTS,.25,Acre,.23999999,
782,201060420074,Panel B,20106042,1,,R1,Yes,MAIZE,1,Acre,.89999998,
776,201060420080,Panel B,20106042,1,,R1,Yes,LOCAL MAIZE,2,Acre,1.84,
780,201060420097,Panel B,20106042,1,,R1,Yes,HYBRID MAIZE,1,Acre,1.09,
772,201060420105,Panel B,20106042,1,,R1,Yes,MAIZE,.5,Acre,.56,
772,201060420105,Panel B,20106042,1,,R2,Yes,G/NUTS,.5,Acre,.43000001,
790,201060420114,Panel B,20106042,1,,R2,Yes,TOBACCO,.25,Acre,.60000002,
790,201060420114,Panel B,20106042,1,,R1,Yes,MAIZE,.5,Acre,.40000001,
790,201060420114,Panel B,20106042,1,,R4,Yes,MAIZE,1,Acre,.93000001,
790,201060420114,Panel B,20106042,1,,R3,Yes,G/NUTS,1,Acre,.88999999,
788,201060420123,Panel B,20106042,1,,R1,Yes,MAIZE,.5,Acre,.64999998,
794,201060420140,Panel B,20106042,1,,R1,Yes,MAIZE,1.5,Acre,.88,
784,201060420148,Panel B,20106042,1,,R1,Yes,MAIZE,1.5,Acre,2.29,
784,201060420148,Panel B,20106042,1,,R2,Yes,TOBACCO,1,Acre,.75,
774,201060420157,Panel B,20106042,1,,R1,Yes,TOBACCO,1.5,Acre,1.75,
774,201060420157,Panel B,20106042,1,,R3,Yes,G/NUTS,.5,Acre,.68000001,
774,201060420157,Panel B,20106042,1,,R4,Yes,MAIZE,1.25,Acre,1.75,
774,201060420157,Panel B,20106042,1,,R2,Yes,MAIZE,2,Acre,2.5,
799,201106200004,Panel A,20110620,1,,R1,Yes,MAIZE,.5,Acre,.61000001,
799,201106200004,Panel A,20110620,1,,R2,Yes,G/NUTS,.5,Acre,.82999998,
797,201106200018,Panel A,20110620,1,,R1,Yes,HYBRID MAIZE PLOT,1,Acre,1.5,
773,201106200021,Panel A,20110620,1,,R3,Yes,TOBACCO PLOT,.5,Acre,.73000002,
773,201106200021,Panel A,20110620,1,,R1,Yes,LOCAL MAIZE PLOT,1.5,Acre,.69999999,
773,201106200021,Panel A,20110620,1,,R2,Yes,G/NUTS PLOT,.25,Acre,.34999999,
773,201106200021,Panel A,20110620,1,,R4,Yes,LOCAL MAIZE,.5,Acre,.62,
783,201106200034,Panel A,20110620,1,,R3,Yes,G/NUTS,.25,Acre,.56,
783,201106200034,Panel A,20110620,1,,R2,Yes,TOBACCO,1.5,Acre,1.5700001,
783,201106200034,Panel A,20110620,1,,R1,Yes,HYBRID MAIZE,1.5,Acre,1.16,
777,201106200058,Panel A,20110620,1,,R2,Yes,TOBACCO,3,Acre,2.9100001,
777,201106200058,Panel A,20110620,1,,R3,Yes,G/NUTS,.25,Acre,.23999999,
777,201106200058,Panel A,20110620,1,,R1,Yes,LOCAL MAIZE,5,Acre,4.8899999,
791,201106200060,Panel A,20110620,1,,R1,Yes,MAIZE,2,Acre,2.97,
791,201106200060,Panel A,20110620,1,,R2,Yes,TOBACCO,.5,Acre,.72000003,
781,201106200074,Panel A,20110620,1,,R1,Yes,TOBACCO,1,Acre,1.37,
781,201106200074,Panel A,20110620,1,,R3,Yes,SOYA & G/NUTS,.5,Acre,.43000001,
781,201106200074,Panel A,20110620,1,,R2,Yes,MAIZE,1.5,Acre,1.09,
787,201106200094,Panel A,20110620,1,,R1,Yes,MAIZE,1,Acre,.82999998,
789,201106200112,Panel A,20110620,1,,R3,Yes,TOBACCO,.5,Acre,.97000003,
789,201106200112,Panel A,20110620,1,,R2,Yes,G/NUTS,1,Acre,.70999998,
789,201106200112,Panel A,20110620,1,,R1,Yes,MAIZE,1,Acre,.75,
785,201106200118,Panel A,20110620,1,,R2,Yes,TOBACCO,.75,Acre,1,
785,201106200118,Panel A,20110620,1,,R3,Yes,G/NUTS,.25,Acre,1.25,
785,201106200118,Panel A,20110620,1,,R1,Yes,MAIZE,2,Acre,2.8699999,
771,201106200175,Panel A,20110620,1,,R2,Yes,G/NUTS,.25,Acre,.25999999,
771,201106200175,Panel A,20110620,1,,R1,Yes,LOCAL MAIZE,1,Acre,1.01,
795,201106200190,Panel A,20110620,1,,R2,Yes,G/NUTS PLOT,.25,Acre,.25999999,
795,201106200190,Panel A,20110620,1,,R1,Yes,LOCAL MAIZE PLOT,1.25,Acre,1.3,
795,201106200190,Panel A,20110620,1,,R3,Yes,SOYA BEANS,.5,Acre,.75999999,
779,201106200196,Panel A,20110620,1,,R1,Yes,LOCAL MAIZE PLOT,1,Acre,1.25,
779,201106200196,Panel A,20110620,1,,R2,Yes,TOBACCO PLOT,1,Acre,1.09,
769,201106200215,Panel A,20110620,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.44999999,
769,201106200215,Panel A,20110620,1,,R2,Yes,SWEET POTATO,.25,Acre,.18000001,
775,201106200266,Panel A,20110620,1,,R1,Yes,MAIZE,1,Acre,.79000002,
775,201106200266,Panel A,20110620,1,,R2,Yes,G/NUTS,.5,Acre,.64999998,
793,201106200267,Panel A,20110620,1,,R1,Yes,MAIZE,1.5,Acre,1.3200001,
