HHID,case_id,ea_id,qx_type,visit,ag_b0a,ag_b0c,ag_b0c_os,ag_b01a,ag_b01b,ag_b02,ag_b03a,ag_b03a_os,ag_b03b,ag_b03b_os,ag_b04a,ag_b04b,ag_b04b_os,ag_b04c,ag_b05a,ag_b05b,ag_b06,ag_b07a,ag_b07b,ag_b07b_os,ag_b07c,ag_b08,ag_b09a,ag_b09b,ag_b10,ag_b11a,ag_b11b,ag_b11b_os,ag_b11c,ag_b12a,ag_b12b,ag_b12b_os,ag_b12c,ag_b13a,ag_b13b,ag_b13b_os,ag_b13c,ag_b14a,ag_b14b,ag_b14b_os,ag_b14c,ag_b15a,ag_b15b,ag_b15b_os,ag_b15c,ag_b16a,ag_b16b,ag_b16b_os,ag_b16c,ag_b16d,ag_b17a,ag_b17a_os,ag_b17b,ag_b17b_os,ag_b18,ag_b19,ag_b19_os,ag_b20a,ag_b20b,ag_b20b_os,ag_b20c,ag_b21a,ag_b21a_os,ag_b21b,ag_b21b_os,ag_b22a,ag_b22a_os,ag_b22b,ag_b22b_os,ag_b23,ag_b24a,ag_b24b,ag_b24b_os,ag_b24c,ag_b25a,ag_b25b,ag_b25b_os,ag_b25c,ag_b26,ag_b27a,ag_b27b,ag_b27b_os,ag_b27c,ag_b28a,ag_b28b,ag_b28b_os,ag_b28c,ag_b29a,ag_b29b,ag_b29b_os,ag_b29c
333,103074130071,10307413,Panel A,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,103074130087,10307413,Panel A,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,103074130099,10307413,Panel A,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,103074130110,10307413,Panel A,1,Yes,MAIZE HYBRID,,.1,Acre,No,,,,,10,50 kg bag,,Shelled,May,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
329,103074130110,10307413,Panel A,1,Yes,GROUNDNUT CG7,,.1,Acre,No,,,,,5,90 kg bag,,Unshelled,May,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
321,103074130139,10307413,Panel A,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,103074130171,10307413,Panel A,1,Yes,GROUNDNUT MANIPINTA,,.25,Acre,No,,,,,2,50 kg bag,,Unshelled,April,April,Yes,1,50 kg Bag,,U: Unshelled,2500,1,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
345,103074130171,10307413,Panel A,1,Yes,MAIZE HYBRID,,.1,Acre,No,,,,,19,50 kg bag,,Shelled,May,June,Yes,10,50 kg Bag,,S: Shelled,12500,1,,500,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
345,103074130171,10307413,Panel A,1,Yes,RICE KILOMBERO,,1.5,Acre,No,,,,,12,50 kg bag,,Unshelled,May,June,Yes,8,50 kg Bag,,U: Unshelled,16000,1,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
331,103074130190,10307413,Panel A,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,10,50 kg bag,,Shelled,March,April,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,50 kg Bag,,S: Shelled,,Rotting,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
331,103074130190,10307413,Panel A,1,Yes,GROUNDNUT MANIPINTA,,.25,Acre,No,,,,,3,50 kg bag,,Shelled,March,April,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
351,103074130225,10307413,Panel A,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,103074130252,10307413,Panel A,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,103074130255,10307413,Panel A,1,Yes,MAIZE HYBRID,,.5,Acre,Yes,Animals,,,,8,50 kg bag,,Shelled,June,June,No,,,,,,,,,3,50 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,Yes,Bags in house,,2,50 kg Bag,,S: Shelled,Spraying,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
341,103074130258,10307413,Panel A,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,103086360009,10308636,Panel B,1,Yes,MAIZE HYBRID,,1,Acre,Yes,Insects,,,,4,50 kg bag,,Shelled,May,May,Yes,1,50 kg Bag,,S: Shelled,500,1,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,Yes,0,,,,,,,,,,,
312,103086360036,10308636,Panel B,1,Yes,MAIZE HYBRID,,.5,Acre,No,,,,,6,50 kg bag,,Shelled,March,April,Yes,1,50 kg Bag,,S: Shelled,2000,1,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,50 kg Bag,,S: Shelled,,Rotting,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,Yes,0,,,,,,,,,,,
288,103086360045,10308636,Panel B,1,Yes,MAIZE LOCAL,,.5,Acre,Yes,Rains,,Insects,,2,50 kg bag,,Shelled,April,April,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,Yes,0,,,,,,,,,,,
290,103086360054,10308636,Panel B,1,Yes,MAIZE HYBRID,,1,Acre,Yes,Other (Specify),LACK OF FARM INPUTS,,,5,50 kg bag,,Shelled,May,June,No,,,,,,,,,1,50 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,Yes,0,,,,,,,,,,,
310,103086360063,10308636,Panel B,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,4,50 kg bag,,Shelled,April,April,No,,,,,,,,,1,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,1,50 kg Bag,,S: Shelled,Yes,0,,,,,,,,,,,
298,103086360072,10308636,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,103086360073,10308636,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,103086360081,10308636,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,103086360090,10308636,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,103086360099,10308636,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,103086360117,10308636,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,103086360126,10308636,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,103086360135,10308636,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,103086360153,10308636,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,103086360162,10308636,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,104011400028,10401140,Panel B,1,Yes,MAIZE HYBRID,,1,Acre,Yes,Lack of hired labor,,,,9,50 kg bag,,Shelled,June,June,No,,,,,,,,,1,50 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,10,50 kg Bag,,S: Shelled,No,,,,,2,50 kg Bag,,S: Shelled,10,50 kg Bag,,S: Shelled
366,104011400045,10401140,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,104011400079,10401140,Panel B,1,Yes,MAIZE LOCAL,,1,Acre,Yes,Rains,,,,10,50 kg bag,,Shelled,June,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,2,50 kg Bag,,S: Shelled,0,Insects,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,2,50 kg Bag,,S: Shelled,0,,,
374,104011400112,10401140,Panel B,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,8,50 kg bag,,Shelled,May,May,No,,,,,,,,,1,50 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,8,50 kg Bag,,S: Shelled,0,,,,No,,,,,0,,,,0,,,
380,104011400129,10401140,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,104011400146,10401140,Panel B,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,8,90 kg bag,,Shelled,July,July,No,,,,,,,,,4,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,No,,,,,0,,,,50,Pail (large),,S: Shelled
354,104011400196,10401140,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,104011400213,10401140,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,104011400229,10401140,Panel B,1,Yes,TOBACCO BURLEY,,1,Acre,No,,,,,12,Bale,,Not applicable,April,August,Yes,12,Bale,,Not Applicable,190000,1,2,2000,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
360,104011400229,10401140,Panel B,1,Yes,MAIZE HYBRID,,1.5,Acre,No,,,,,30,50 kg bag,,Shelled,August,August,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,Yes,0,,,,,,,,,,,
362,104011400263,10401140,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,104011400280,10401140,Panel B,1,Yes,GROUNDNUT CG7,,.5,Acre,No,,,,,3,50 kg bag,,Unshelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,Pail (large),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
368,104011400280,10401140,Panel B,1,Yes,SWEET POTATO,,1,Acre,No,,,,,50,50 kg bag,,Not applicable,April,August,Yes,50,50 kg Bag,,Not Applicable,25000,1,2,0,0,,,,0,,,,0,,,,0,,,,4,Basket (Dengu),,Not Applicable,5,50 kg Bag,,Not Applicable,,Rotting,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
368,104011400280,10401140,Panel B,1,Yes,GROUND BEAN(NZAMA),,.5,Acre,No,,,,,1,50 kg bag,,Shelled,April,August,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,5,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
368,104011400280,10401140,Panel B,1,Yes,TOBACCO BURLEY,,1.5,Acre,No,,,,,7,Bale,,Not applicable,February,May,Yes,7,Bale,,Not Applicable,800000,1,2,14000,0,,,,0,,,,0,,,,0,,,,1,Kilogram,,Not Applicable,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,Render payments in-kind,,No,,,,,,,,,,,,,,,,,,,,,
368,104011400280,10401140,Panel B,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,24,50 kg bag,,Shelled,June,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,Pail (small),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
352,104011400296,10401140,Panel B,1,Yes,MAIZE LOCAL,,1,Acre,Yes,Other (Specify),LACK OF FARM INPUTS,,,2,Bale,,,February,April,Yes,2,Bale,,,52000,1,2,4000,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,Wait for the arrival of buyer,,No,,,,,,,,,,,,,,,,,,,,,
352,104011400296,10401140,Panel B,1,Yes,MAIZE HYBRID,,.5,Acre,No,,,,,10,50 kg bag,,Shelled,June,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,10,50 kg Bag,,S: Shelled,2,50 kg Bag,,S: Shelled
350,104011400330,10401140,Panel B,1,Yes,TOBACCO BURLEY,,1.5,Acre,No,,,,,7,Bale,,Not applicable,March,April,Yes,7,Bale,,Not Applicable,80000,1,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,Render payments in-kind,,No,,,,,,,,,,,,,,,,,,,,,
350,104011400330,10401140,Panel B,1,Yes,MAIZE HYBRID,,1,Acre,Yes,Drought,,Rains,,98,Pail (large),,Shelled,July,July,Yes,68,Pail (large),,S: Shelled,47600,1,2,2500,5,Pail (large),,S: Shelled,0,,,,1,Pail (large),,S: Shelled,0,,,,1,Pail (large),,S: Shelled,3,50 kg Bag,,S: Shelled,,Insects,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
378,104011400347,10401140,Panel B,1,Yes,MAIZE LOCAL,,.25,Acre,Yes,Other (Specify),LACK OF FARM INPUTS,Other (Specify),INADEQUATE WEEDING,3,50 kg bag,,Shelled,March,March,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
359,104015020020,10401502,Panel A,1,Yes,MAIZE HYBRID,,.5,Acre,No,,,,,3,50 kg bag,,Shelled,April,May,Yes,1,Basket (Dengu),,S: Shelled,500,1,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,Basket (Dengu),,S: Shelled,,Rotting,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
375,104015020027,10401502,Panel A,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,104015020056,10401502,Panel A,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,10,50 kg bag,,Shelled,June,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,50 kg Bag,,S: Shelled,,Rotting,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
357,104015020056,10401502,Panel A,1,Yes,TOBACCO BURLEY,,.5,Acre,No,,,,,3,Bale,,Not applicable,December,May,Yes,3,Bale,,Not Applicable,60000,1,2,1500,0,,,,0,,,,0,,,,0,,,,0,,,,4,Bunch,,Not Applicable,,Rodents/Pests,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
361,104015020074,10401502,Panel A,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,21,50 kg bag,,Shelled,June,June,No,,,,,,,,,2,No 12 Plate,,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
361,104015020074,10401502,Panel A,1,Yes,TOBACCO BURLEY,,3,Acre,No,,,,,25,Bale,,Not applicable,February,May,Yes,25,Bale,,Not Applicable,75000,1,2,7500,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
361,104015020074,10401502,Panel A,1,Yes,GROUNDNUT CHALIMBANA,,.75,Acre,No,,,,,3,90 kg bag,,Unshelled,April,May,Yes,2,90 kg Bag,,U: Unshelled,14000,1,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
381,104015020081,10401502,Panel A,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,6,Ox-cart,,Unshelled,June,June,Yes,4,Pail (large),,S: Shelled,2000,1,,0,0,,,,0,,,,0,,,,0,,,,1,Pail (small),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,No,,,,,0,,,,20,Pail (large),,S: Shelled
381,104015020081,10401502,Panel A,1,Yes,TOBACCO BURLEY,,.5,Acre,No,,,,,3,Bale,,Not applicable,January,April,Yes,3,Bale,,Not Applicable,50000,1,,3000,0,,,,0,,,,0,,,,0,,,,4,Kilogram,,Not Applicable,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
381,104015020081,10401502,Panel A,1,Yes,GROUNDNUT CG7,,.75,Acre,No,,,,,15,Pail (small),,Unshelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,Pail (small),,U: Unshelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,No,,,,,,,,,,,,,,,,,,,,,
373,104015020084,10401502,Panel A,1,Yes,MAIZE LOCAL,,1.5,Acre,No,,,,,5,Ox-cart,,Unshelled,June,July,Yes,2,Pail (large),,S: Shelled,1400,1,,0,0,,,,0,,,,0,,,,0,,,,20,50 kg Bag,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,No,,,,,0,,,,3,50 kg Bag,,S: Shelled
373,104015020084,10401502,Panel A,1,Yes,TOBACCO BURLEY,,.5,Acre,No,,,,,3,Bale,,Not applicable,February,May,Yes,3,Bale,,Not Applicable,52000,1,,6000,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,Wait for the arrival of buyer,,No,,,,,,,,,,,,,,,,,,,,,
383,104015020099,10401502,Panel A,1,Yes,TOBACCO BURLEY,,.5,Acre,No,,,,,500,Kilogram,,Not applicable,February,April,Yes,5,Bale,,Not Applicable,88900,1,2,2800,0,,,,0,,,,0,,,,0,,,,1,Kilogram,,Not Applicable,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,Wait for the arrival of buyer,,No,,,,,,,,,,,,,,,,,,,,,
383,104015020099,10401502,Panel A,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,11,50 kg bag,,Shelled,June,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,Pail (large),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,4,Pail (large),,S: Shelled,No,,,,,0,,,,10,50 kg Bag,,S: Shelled
383,104015020099,10401502,Panel A,1,Yes,SOYABEAN,,.5,Acre,No,,,,,10,50 kg bag,,Shelled,July,July,Yes,6,Other (specify),TIN,S: Shelled,1800,1,2,0,0,,,,0,,,,0,,,,0,,,,3,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
383,104015020099,10401502,Panel A,1,Yes,SWEET POTATO,,.5,Acre,No,,,,,3,Basket (dengu),,Not applicable,June,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
369,104015020102,10401502,Panel A,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,3,90 kg bag,,Shelled,June,June,No,,,,,,,,,1,Pail (small),,S: Shelled,0,,,,0,,,,0,,,,1,Pail (small),,U: Unshelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,5,Other (specify),,S: Shelled,No,,,,,3,Other (specify),,S: Shelled,10,Other (specify),,S: Shelled
363,104015020103,10401502,Panel A,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,3,Ox-cart,,Unshelled,July,August,No,,,,,,,,,1,Pail (small),,S: Shelled,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,9,Pail (small),,S: Shelled,No,,,,,12,Pail (small),,S: Shelled,12,Pail (small),,S: Shelled
355,104015020121,10401502,Panel A,1,Yes,MAIZE HYBRID,,.5,Acre,Yes,Insects,,,,5,50 kg bag,,Shelled,June,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
355,104015020121,10401502,Panel A,1,Yes,MAIZE LOCAL,,1,Acre,Yes,Insects,,,,12,50 kg bag,,Shelled,June,July,No,,,,,,,,,1,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,3,50 kg Bag,,S: Shelled,0,,,,No,,,,,2,50 kg Bag,,S: Shelled,0,,,
355,104015020121,10401502,Panel A,1,Yes,TOBACCO BURLEY,,2,Acre,No,,,,,11,Bale,,Not applicable,March,May,Yes,11,Bale,,Not Applicable,2000,1,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Other (Specify),DOES NOT STORE,,,No,,,,,,,,,,,,,,,,,,,,,
379,104015020127,10401502,Panel A,1,Yes,SWEET POTATO,,.30000001,Acre,No,,,,,5,Basket (dengu),,Not applicable,April,April,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
379,104015020127,10401502,Panel A,1,Yes,TOBACCO BURLEY,,1,Acre,No,,,,,3,Bale,,Not applicable,February,April,Yes,3,Bale,,Not Applicable,70000,1,2,6000,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Other (Specify),DOES NOT STORE,,,No,,,,,,,,,,,,,,,,,,,,,
379,104015020127,10401502,Panel A,1,Yes,GROUNDNUT CHALIMBANA,,.30000001,Acre,No,,,,,3,50 kg bag,,Unshelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,No,,,,,,,,,,,,,,,,,,,,,
379,104015020127,10401502,Panel A,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,10,50 kg bag,,Shelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,50 kg Bag,,S: Shelled,,Rotting,,Insects,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,No,,,,,0,,,,2,50 kg Bag,,S: Shelled
365,104015020133,10401502,Panel A,1,Yes,MAIZE HYBRID,,9,Acre,Yes,Drought,,,,7,50 kg bag,,Shelled,June,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,3,50 kg Bag,,S: Shelled,,Insects,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,1,50 kg Bag,,S: Shelled,1,50 kg Bag,,S: Shelled
365,104015020133,10401502,Panel A,1,Yes,GROUNDNUT CG7,,.25,Acre,No,,,,,2,50 kg bag,,Shelled,July,July,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
371,104015020173,10401502,Panel A,1,Yes,TOBACCO BURLEY,,2,Acre,Yes,Rains,,Other (Specify),LACK OF FARM INPUTS,8,Bale,,Not applicable,March,March,Yes,8,Bale,,Not Applicable,180000,1,2,5000,1,Pail (large),,Not Applicable,0,,,,0,,,,0,,,,50,Other (specify),,Not Applicable,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,Wait for the arrival of buyer,,No,,,,,,,,,,,,,,,,,,,,,
