occ,y2_hhid,qx_type,interview_status,fs_e0b,fs_e0c,fs_e14,fs_e15,fs_e16
3,2202-002,PANEL B,Panel B - Combined Visit,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,2202-002,PANEL B,Panel B - Combined Visit,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,2202-002,PANEL B,Panel B - Combined Visit,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2202-002,PANEL B,Panel B - Combined Visit,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2231-004,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,2231-004,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2231-004,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,2231-004,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,2231-004,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2231-004,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2403-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,2403-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2403-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,2403-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,2403-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2403-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2433-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,2433-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2433-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,2433-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,2433-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2433-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2563-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,2563-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2563-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,2563-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,2563-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2563-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2569-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,2569-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2569-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,2569-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,2569-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2569-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2598-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,2598-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2598-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,2598-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,2598-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2598-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2603-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,2603-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2603-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,2603-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,2603-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2603-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2656-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,2656-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2656-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,2656-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,2656-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2656-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2703-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,2703-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2703-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,2703-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,2703-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2703-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2777-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,,,
2,2777-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,,,
3,2777-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,,,
4,2777-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,,,
5,2777-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),,,
6,2777-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),,,
1,2788-003,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,2788-003,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2788-003,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,2788-003,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,2788-003,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2788-003,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2812-003,PANEL B,Panel B - Combined Visit,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,2812-003,PANEL B,Panel B - Combined Visit,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2812-003,PANEL B,Panel B - Combined Visit,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,2812-003,PANEL B,Panel B - Combined Visit,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,2812-003,PANEL B,Panel B - Combined Visit,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2812-003,PANEL B,Panel B - Combined Visit,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2835-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,,,
2,2835-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,,,
3,2835-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,,,
4,2835-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,,,
5,2835-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),,,
6,2835-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),,,
1,2984-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,2984-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2984-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,2984-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,2984-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2984-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,3036-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,3036-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,3036-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,3036-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,3036-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,3036-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,3074-002,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,3074-002,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,3074-002,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,3074-002,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,3074-002,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,3074-002,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,3143-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,3143-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,3143-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,3143-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,3143-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,3143-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,3155-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,3155-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,3155-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,3155-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,3155-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,3155-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
