HHID,case_id,qx_type,visit,ea_id,hh_f01,hh_f02,hh_f03a,hh_f03b,hh_f04a,hh_f04b,hh_f05,hh_f06,hh_f07,hh_f07_os,hh_f08,hh_f08_os,hh_f09,hh_f09_os,hh_f10,hh_f11,hh_f11_os,hh_f12,hh_f12_os,hh_f13,hh_f14,hh_f15,hh_f15_os,hh_f16a,hh_f16b,hh_f17,hh_f18,hh_f19,hh_f20a,hh_f20a_os,hh_f20b,hh_f20b_os,hh_f21,hh_f22,hh_f23,hh_f24,hh_f25,hh_f26a,hh_f26b,hh_f27,hh_f28,hh_f29,hh_f30,hh_f31,hh_f32,hh_f33a,hh_f33b,hh_f34,hh_f35,hh_f36,hh_f36_os,hh_f37,hh_f38a,hh_f38b,hh_f39,hh_f40,hh_f41,hh_f41_os,hh_f42,hh_f43,hh_f43_os,hh_f44,hh_f45,hh_f46,hh_f47
172,102037440029,Panel B,2,10203744,Owned,50000,500,Month,,,4,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,2,Battery/dry cell,,Collected firewood,,,,Community woodlot,,20,Minute,None,150,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,No,,,
178,102037440040,Panel B,2,10203744,Owned,45000,500,Month,,,13,Traditional,Mud,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Community woodlot,,10,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,15,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,Yes,"Yes, for all children under five"
190,102037440045,Panel B,2,10203744,Owned,120000,1800,Month,,,4,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,6,Parrafin,,Collected firewood,,,,Community woodlot,,15,Minute,None,200,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,No,Yes,"Yes, for all children under five"
166,102037440051,Panel B,2,10203744,Owned,94000,1500,Month,,,1,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,6,Parrafin,,Collected firewood,,,,Community woodlot,,15,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,20,Minute,All year around,,Traditional latrine with roof,,Other households also,Public rubbish heap,,Yes,No,No,
180,102037440062,Panel B,2,10203744,Owned,20000,200,Month,,,7,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Community woodlot,,1,Hour,None,200,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Other households also,Other (specify),BUSH,Yes,No,No,
186,102037440068,Panel B,2,10203744,Owned,50000,500,Month,,,0,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Community woodlot,,1,Hour,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,15,Minute,All year around,,None,,,Other (specify),BUSH,No,,,
176,102037440073,Panel B,2,10203744,Owned,10000,100,Month,,,0,Traditional,Mud,,Grass,,Smoothed mud,,2,Battery/dry cell,,Collected firewood,,,,Forest reserve,,90,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,10,Minute,All year around,,None,,,Other (specify),BUSH,Yes,No,Yes,"Yes, for all children under five"
174,102037440084,Panel B,2,10203744,Owned,55000,3000,Month,,,19,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Community woodlot,,15,Minute,None,200,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,No,
162,102037440090,Panel B,2,10203744,Owned,40000,600,Month,,,4,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,35,Minute,None,400,No,,,,,,,,,,,,No,,,,No,,,,1,1600,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,Yes,Yes,"Yes, for all children under five"
170,102037440095,Panel B,2,10203744,Owned,30000,500,Month,,,2,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,50,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,1,3000,Borehole,,0,12,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,No,Yes,"Yes, for all children under five"
168,102037440107,Panel B,2,10203744,Owned,50000,1000,Month,,,16,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,5,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,200,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,8,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,No,Yes,"Yes, for all children under five"
184,102037440112,Panel B,2,10203744,Owned,30000,1000,Month,,,1,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,4,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,250,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,5,Minute,All year around,,None,,,None,,Yes,No,Yes,"Yes, for all children under five"
202,102043220004,Panel B,2,10204322,Owned,44000,900,Month,,,3,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Candles,,Collected firewood,,,,Forest reserve,,3,Hour,None,150,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,20,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,Yes,No,
194,102043220009,Panel B,2,10204322,Owned,14000,500,Month,,,3,Traditional,Mud,,Grass,,Smoothed mud,,2,Battery/dry cell,,Puchased firewood,,,Yes,Community woodlot,,15,Minute,None,60,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,15,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,Yes,No,
218,102043220019,Panel B,2,10204322,Owned,35000,400,Month,,,3,Traditional,Mud,,Grass,,Smoothed mud,,2,Battery/dry cell,,Collected firewood,,,,Community woodlot,,30,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,20,Minute,All year around,,None,,,Public rubbish heap,,No,,,
214,102043220023,Panel B,2,10204322,Owned,30000,400,Month,,,2,Traditional,Mud,,Grass,,Smoothed mud,,2,Battery/dry cell,,Collected firewood,,,,Forest reserve,,3,Hour,None,150,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,15,Minute,All year around,,None,,,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
196,102043220028,Panel B,2,10204322,Owned,25000,100,Month,,,1,Traditional,Mud,,Grass,,Smoothed mud,,2,Battery/dry cell,,Collected firewood,,,,Community woodlot,,20,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,5,Minute,All year around,,None,,,Other (specify),BUSH,Yes,Yes,Yes,"Yes, for all children under five"
206,102043220038,Panel B,2,10204322,Owned,15000,200,Month,,,2,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,5,Minute,All year around,,None,,,None,,Yes,No,No,
210,102043220043,Panel B,2,10204322,Owned,35000,200,Month,,,9,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Battery/dry cell,,Collected firewood,,,,Community woodlot,,30,Minute,None,500,No,,,,,,,,,,,,No,,,,No,,,,2,3000,Borehole,,0,3,Minute,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
198,102043220047,Panel B,2,10204322,Rented,,,,600,Month,13,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,3,Parrafin,,Puchased firewood,,,No,,,,,,500,No,,,,,,,,,,,,No,,,,No,,,,3,5000,Borehole,,0,3,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
212,102043220057,Panel B,2,10204322,Owned,20000,200,Month,,,3,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,10,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,Yes,Yes,"Yes, for all children under five"
216,102043220062,Panel B,2,10204322,Owned,90000,1000,Month,,,3,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,3,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,75,No,,,,,,,,,,,,No,,,,No,,,,1,1200,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,Yes,Yes,"Yes, for all children under five"
208,102043220067,Panel B,2,10204322,Owned,50000,500,Month,,,6,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,4,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,2,Minute,All year around,,Latrine without roof,,Other households also,Rubbish pit,,Yes,No,No,
200,102043220076,Panel B,2,10204322,"Free, authorised",,1500,Month,,,5,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,4,Battery/dry cell,,Charcoal,,No,,,,,,,,No,,,,,,,,,,,,No,,,,No,,,,1,3200,Borehole,,0,1,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,No,
204,102043220081,Panel B,2,10204322,Owned,250000,5000,Month,,,Don't Know,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,5,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,30,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
224,102043220086,Panel B,2,10204322,Owned,30000,1600,Month,,,5,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,6,Minute,None,500,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,8,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,All nets treated & less than 6 months old,No,
222,102043220095,Panel B,2,10204322,Owned,12000,4000,Month,,,2,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,10,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
220,102043220100,Panel B,2,10204322,Owned,8000,1500,Month,,,2,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,15,Minute,None,600,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,14,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,All nets treated & less than 6 months old,No,
183,102045860004,Panel A,1,10204586,Owned,120000,2000,Month,,,5,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,2,Electricity,,Puchased firewood,,,No,,,,,,500,Yes,Candles,,Firewood,,Yes,Not applicable,No,Several times a month,800,1,Month,,,,,No,,,,1,180,Piped into yard/plot,,1000,On Permises,,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,No,,,
179,102045860010,Panel A,1,10204586,Owned,40000,2000,Month,,,2,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Forest reserve,,4,Hour,None,400,No,,,,,,,,,,,,Yes,Yes,Dwelling unappropriate for connection,,No,,,,1,2000,Piped into dwelling,,400,On Permises,,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,Yes,"Yes, for all children under five"
181,102045860012,Panel A,1,10204586,Owned,12000,1000,Month,,,2,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Forest reserve,,1,Hour,None,0,No,,,,,,,,,,,,Yes,Yes,Connection/wiring fee unaffordable,,No,,,,1,100,Borehole,,100,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
165,102045860025,Panel A,1,10204586,Owned,29000,1500,Month,,,9,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,1,Hour,None,200,No,,,,,,,,,,,,Yes,Yes,Connection/wiring fee unaffordable,,No,,,,0,,Borehole,,0,15,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,No,Yes,"Yes, for all children under five"
191,102045860049,Panel A,1,10204586,Rented,,,,1000,Month,Don't Know,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,3,Parrafin,,Collected firewood,,,,Forest reserve,,30,Minute,None,450,No,,,,,,,,,,,,Yes,No,,,No,,,,1,2000,Piped into yard/plot,,500,On Permises,,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,Yes,No,
173,102045860053,Panel A,1,10204586,Rented,,,,3000,Month,Don't Know,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,3,Parrafin,,Puchased firewood,,,No,,,,,,500,No,,,,,,,,,,,,Yes,No,,,No,,,,2,5000,Piped into dwelling,,500,On Permises,,All year around,,Flush toilet,,Household members only,Rubbish pit,,Yes,Yes,No,
185,102045860054,Panel A,1,10204586,Rented,,,,300,Month,Don't Know,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,3,Battery/dry cell,,Collected firewood,,,,Community woodlot,,2,Hour,None,200,No,,,,,,,,,,,,Yes,No,,,No,,,,1,1000,Piped into dwelling,,500,On Permises,,All year around,,Flush toilet,,Household members only,Rubbish pit,,Yes,No,Yes,"Yes, for all children under five"
175,102045860065,Panel A,1,10204586,Rented,,,,2000,Month,Don't Know,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,4,Battery/dry cell,,Collected firewood,,,,Forest reserve,,1,Hour,None,500,No,,,,,,,,,,,,Yes,No,,,No,,,,11,5000,Piped into yard/plot,,500,On Permises,,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,Yes,No,
161,102045860070,Panel A,1,10204586,Owned,30000,1500,Month,,,5,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,6,Parrafin,,Collected firewood,,,,Forest reserve,,25,Minute,None,200,No,,,,,,,,,,,,Yes,Yes,Connection/wiring fee unaffordable,,No,,,,0,,Piped into yard/plot,,1100,On Permises,,All year around,,Traditional latrine with roof,,Other households also,Public rubbish heap,,Yes,No,Yes,"Yes, for all children under five"
169,102045860107,Panel A,1,10204586,Owned,35000,4000,Month,,,55,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,5,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,10,Minute,None,150,No,,,,,,,,,,,,No,,,,No,,,,0,,Piped into dwelling,,950,On Permises,,All year around,,VIP latrine,,Other households also,Rubbish bin,,No,,,
163,102045860112,Panel A,1,10204586,Owned,280000,3000,Month,,,11,Semi-Permanent,Mud brick,,Iron sheets,,Smooth cement,,5,Parrafin,,Collected firewood,,,,Own woodlot,,10,Minute,None,600,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,8,Minute,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,Yes,No,Yes,"Yes, for all children under five"
189,102045860115,Panel A,1,10204586,Owned,100000,20000,Year,,,8,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,1,Hour,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,100,4,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
177,102045860122,Panel A,1,10204586,Owned,100000,3000,Month,,,9,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Forest reserve,,1,Hour,None,300,No,,,,,,,,,,,,Yes,No,,,No,,,,1,5000,Piped into dwelling,,1000,On Permises,,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
167,102045860123,Panel A,1,10204586,Owned,115000,12000,Month,,,21,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,8,Electricity,,Collected firewood,,,,Unfarmed areas of community,,15,Minute,None,350,Yes,Paraffin,,Firewood,,Yes,Not applicable,Yes,Several times a month,1250,1,Month,,,,,No,,,,1,280,Piped into dwelling,,800,On Permises,,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,No,
171,102045860161,Panel A,1,10204586,Owned,1500000,20000,Month,,,10,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,5,Electricity,,Puchased firewood,,,No,,,,,,700,Yes,Candles,,Firewood,,Yes,8,No,Several times a month,1000,1,Month,,,,,No,,,,1,320,Piped into yard/plot,,1400,On Permises,,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,All nets treated & less than 6 months old,No,
187,102045860164,Panel A,1,10204586,Owned,100000,2500,Month,,,8,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,12,Minute,None,500,No,,,,,,,,,,,,Yes,Yes,Other (specify),,No,,,,2,3000,Piped into yard/plot,,750,On Permises,,All year around,,Traditional latrine with roof,,Other households also,None,,Yes,Yes,No,
252,102201030013,Panel B,2,10220103,Owned,85000,2500,Month,,,8,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,5,Battery/dry cell,,Collected firewood,,,,Community woodlot,,25,Minute,None,150,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,15,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,Yes,"Yes, for all children under five"
242,102201030021,Panel B,2,10220103,Owned,100000,3000,Month,,,36,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,6,Parrafin,,Collected firewood,,,,Forest reserve,,5,Hour,None,500,No,,,,,,,,,,,,No,,,,No,,,,2,950,Piped into dwelling,,585,On Permises,,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,No,,,
230,102201030028,Panel B,2,10220103,Owned,70000,600,Month,,,10,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Community woodlot,,15,Minute,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,30,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,No,
232,102201030035,Panel B,2,10220103,Owned,35000,500,Month,,,11,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Battery/dry cell,,Collected firewood,,,,Forest reserve,,7,Hour,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,17,Minute,All year around,,Traditional latrine with roof,,Other households also,Public rubbish heap,,Yes,Yes,Yes,"Yes, for all children under five"
234,102201030050,Panel B,2,10220103,Owned,15000,500,Month,,,5,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,2,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,400,No,,,,,,,,,,,,Yes,Yes,Dwelling unappropriate for connection,,No,,,,1,700,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Other households also,None,,Yes,No,Yes,"Yes, for all children under five"
228,102201030058,Panel B,2,10220103,Owned,120000,1000,Month,,,6,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,50,Minute,None,300,No,,,,,,,,,,,,Yes,Yes,Connection/wiring fee unaffordable,,No,,,,1,2000,Borehole,,0,8,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,No,Yes,"Yes, for all children under five"
256,102201030065,Panel B,2,10220103,Owned,200000,15000,Month,,,14,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,4,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,300,No,,,,,,,,,,,,Yes,Yes,Connection/wiring fee unaffordable,,No,,,,3,6000,Communal standpipe,,500,5,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,Yes,Yes,"Yes, for all children under five"
246,102201030073,Panel B,2,10220103,Owned,100000,1000,Month,,,4,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,1,Hour,None,500,No,,,,,,,,,,,,Yes,Yes,Connection/wiring fee unaffordable,,No,,,,1,1200,Borehole,,0,3,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,Yes,Yes,"Yes, for all children under five"
226,102201030088,Panel B,2,10220103,Owned,15000,500,Month,,,4,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,1,Hour,None,500,No,,,,,,,,,,,,Yes,Yes,Dwelling unappropriate for connection,,No,,,,0,,Borehole,,150,3,Minute,All year around,,None,,,Public rubbish heap,,Yes,All nets treated & less than 6 months old,No,
244,102201030095,Panel B,2,10220103,Owned,50000,5000,Month,,,1,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,1,Hour,None,500,No,,,,,,,,,,,,Yes,Yes,Connection/wiring fee unaffordable,,No,,,,1,500,Borehole,,0,2,Minute,All year around,,Latrine without roof,,Household members only,Public rubbish heap,,Yes,All nets treated & less than 6 months old,No,
250,102201030103,Panel B,2,10220103,Owned,60000,1500,Month,,,3,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,15,Minute,None,450,No,,,,,,,,,,,,Yes,Yes,Connection/wiring fee unaffordable,,No,,,,0,,Borehole,,0,3,Minute,All year around,,Latrine without roof,,Household members only,Public rubbish heap,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
248,102201030110,Panel B,2,10220103,Owned,37000,1000,Month,,,7,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,400,No,,,,,,,,,,,,No,,,,No,,,,1,480,Borehole,,0,2,Minute,All year around,,Latrine without roof,,Household members only,Rubbish pit,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
254,102201030125,Panel B,2,10220103,Owned,100000,1000,Month,,,3,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Forest reserve,,90,Minute,None,500,No,,,,,,,,,,,,Yes,Yes,Connection/wiring fee unaffordable,,No,,,,0,,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
240,102201030133,Panel B,2,10220103,Owned,15000,100,Month,,,1,Traditional,Mud,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Community woodlot,,1,Hour,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Pond/lake,,0,On Permises,,All year around,,None,,,None,,Yes,Yes,Yes,"Yes, for all children under five"
238,102201030140,Panel B,2,10220103,Owned,30000,200,Month,,,1,Traditional,Mud,,Grass,,Smoothed mud,,3,Battery/dry cell,,Collected firewood,,,,Own woodlot,,1,Hour,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Pond/lake,,0,5,Minute,All year around,,Latrine without roof,,Household members only,Other (specify),IN PLOT/FIELD,Yes,No,Yes,"Yes, for all children under five"
236,102201030155,Panel B,2,10220103,Owned,30000,200,Month,,,3,Traditional,Mud,,Grass,,Smoothed mud,,2,Parrafin,,Puchased firewood,,,No,,,,,,500,No,,,,,,,,,,,,No,,,,No,,,,0,,Pond/lake,,0,3,Minute,All year around,,None,,,Other (specify),BUSH,Yes,Yes,Yes,"Yes, for all children under five"
205,102207050019,Panel A,1,10220705,Rented,,,,1400,Month,Don't Know,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,2,Parrafin,,Puchased firewood,,,Yes,Unfarmed areas of community,,5,Minute,None,150,No,,,,,,,,,,,,Yes,No,,,No,,,,0,,Piped into yard/plot,,300,On Permises,,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,Yes,No,No,
217,102207050044,Panel A,1,10220705,Owned,350000,50000,Month,,,4,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,3,Electricity,,Charcoal,,No,,,,,,,,Yes,Paraffin,,Charcoal,,Yes,3,Yes,Several times a week,1200,1,Month,,,,,No,,,,2,300,Communal standpipe,,400,10,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
221,102207050054,Panel A,1,10220705,Owned,30000,1000,Month,,,41,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Parrafin,,Puchased firewood,,,Yes,Unfarmed areas of community,,1,Hour,None,200,No,,,,,,,,,,,,Yes,No,,,No,,,,0,,Piped into yard/plot,,500,On Permises,,All year around,,Traditional latrine with roof,,Other households also,Burning,,Yes,Yes,No,
207,102207050056,Panel A,1,10220705,Owned,152000,15000,Month,,,Don't Know,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,6,Parrafin,,Puchased firewood,,,No,,,,,,200,No,,,,,,,,,,,,Yes,Yes,Connection/wiring fee unaffordable,,No,,,,1,250,Piped into yard/plot,,1500,On Permises,,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,No,,,
213,102207050062,Panel A,1,10220705,Rented,,,,500,Month,1,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,2,Parrafin,,Puchased firewood,,,No,,,,,,500,No,,,,,,,,,,,,Yes,No,,,No,,,,1,1000,Piped into yard/plot,,500,On Permises,,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
211,102207050084,Panel A,1,10220705,Owned,800000,9000,Month,,,3,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,4,Electricity,,Electricity,,No,,,,,,,,Yes,Candles,,Charcoal,,Yes,10,No,Several times a week,2600,1,Month,,,,,No,,,,3,2000,Piped into dwelling,,1500,On Permises,,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
197,102207050090,Panel A,1,10220705,Owned,500000,10000,Month,,,1,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,4,Battery/dry cell,,Charcoal,,Yes,No,,,,,,100,No,,,,,,,,,,,,Yes,Yes,Connection/wiring fee unaffordable,,No,,,,2,2000,Piped into yard/plot,,3700,On Permises,,All year around,,Latrine without roof,,Other households also,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
209,102207050112,Panel A,1,10220705,Owned,20000,1000,Month,,,4,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Candles,,Collected firewood,,,,Unfarmed areas of community,,10,Minute,None,150,No,,,,,,,,,,,,Yes,Yes,Connection/wiring fee unaffordable,,No,,,,0,,Communal standpipe,,200,5,Minute,All year around,,Traditional latrine with roof,,Other households also,Public rubbish heap,,Yes,No,Yes,"Yes, for all children under five"
