HHID,case_id,qx_type,visit,ea_id,hh_t01,hh_t02,hh_t03,hh_t04,hh_t05,hh_t06,hh_t07,hh_t08,hh_t09,hh_t10,hh_t10_os,hh_t11,hh_t11_os,hh_t12,hh_t12_os
543,105051360016,Panel A,1,10505136,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,2,1,Only just meets your expenses,6,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
533,105051360034,Panel A,1,10505136,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,3,2,2,Allows you to save just a little,10,Bed & mattress,,Blanket & sheets,,Chitenje cloth,
517,105051360035,Panel A,1,10505136,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,3,Allows you to build your savings,15,Bed & mattress,,Blanket & sheets,,Sheets only,
515,105051360053,Panel A,1,10505136,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,3,3,Is really not sufficient so you need to borrow to meet expenses,3,Mat (grass) on floor,,Blanket only,,Blanket only,
537,105051360062,Panel A,1,10505136,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,3,Allows you to save just a little,2,Bed alone,,Blanket only,,Blanket only,
529,105051360068,Panel A,1,10505136,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Only just meets your expenses,5,Bed & mat (Grass),,Blanket only,,Sheets only,
539,105051360069,Panel A,1,10505136,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,7,Mat (grass) on floor,,Blanket only,,Other (Specify),DUVET
519,105051360070,Panel A,1,10505136,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,3,2,Only just meets your expenses,6,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
527,105051360075,Panel A,1,10505136,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,6,Mat (grass) on floor,,Blanket only,,Blanket only,
541,105051360077,Panel A,1,10505136,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,5,Bed & mat (Grass),,Blanket only,,Blanket only,
521,105051360081,Panel A,1,10505136,It was more than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,3,Only just meets your expenses,7,Mattress on floor,,Blanket only,,Sheets only,
523,105051360098,Panel A,1,10505136,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,4,2,3,Only just meets your expenses,9,Bed & mattress,,Blanket & sheets,,Sheets only,
488,105053100003,Panel B,2,10505310,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,1,1,Is really not sufficient so you need to borrow to meet expenses,10,Bed & mat (Grass),,Blanket only,,Sheets only,
506,105053100008,Panel B,2,10505310,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,2,2,Is really not sufficient so you need to borrow to meet expenses,3,Mat (grass) on floor,,Chitenje cloth,,Chitenje cloth,
492,105053100020,Panel B,2,10505310,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,2,2,Only just meets your expenses,5,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
490,105053100025,Panel B,2,10505310,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,1,2,Only just meets your expenses,6,Mattress on floor,,Blanket only,,Chitenje cloth,
480,105053100031,Panel B,2,10505310,It was less than adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,3,4,Is really not sufficient so you need to borrow to meet expenses,4,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
484,105053100042,Panel B,2,10505310,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,1,2,Only just meets your expenses,8,Bed & mattress,,Blanket & sheets,,Sheets only,
496,105053100048,Panel B,2,10505310,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,6,Mattress on floor,,Blanket only,,Blanket only,
498,105053100054,Panel B,2,10505310,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Only just meets your expenses,8,Bed & mattress,,Blanket only,,Chitenje cloth,
500,105053100065,Panel B,2,10505310,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was more than adequate for household needs,1,2,1,Only just meets your expenses,8,Bed & mattress,,Blanket only,,Blanket only,
494,105053100071,Panel B,2,10505310,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,3,3,Is really not sufficient so you need to borrow to meet expenses,2,Bed & mattress,,Blanket only,,Sheets only,
478,105053100076,Panel B,2,10505310,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,3,Is really not sufficient so you need to borrow to meet expenses,5,Bed & mat (Grass),,Blanket only,,Chitenje cloth,
504,105053100088,Panel B,2,10505310,It was more than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,1,2,6,Only just meets your expenses,4,Bed & mattress,,Blanket only,,Chitenje cloth,
482,105053100093,Panel B,2,10505310,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,1,1,Only just meets your expenses,5,Mat (grass) on floor,,Blanket only,,Sheets only,
502,105053100099,Panel B,2,10505310,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,4,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
508,105053100110,Panel B,2,10505310,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,2,Only just meets your expenses,4,Mattress on floor,,Blanket only,,Chitenje cloth,
486,105053100116,Panel B,2,10505310,It was more than adequate for household needs,It was more than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,1,2,2,Is really not sufficient so you need to borrow to meet expenses,3,Mattress on floor,,Chitenje cloth,,Chitenje cloth,
538,105055080001,Panel B,2,10505508,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,1,2,Only just meets your expenses,8,Bed & mattress,,Blanket & sheets,,Sheets only,
528,105055080010,Panel B,2,10505508,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,3,1,2,Only just meets your expenses,16,Bed & mattress,,Blanket & sheets,,Sheets only,
514,105055080021,Panel B,2,10505508,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,2,2,Only just meets your expenses,5,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
510,105055080031,Panel B,2,10505508,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was more than adequate for household needs,3,3,2,Only just meets your expenses,3,Bed & mattress,,Blanket only,,Sheets only,
532,105055080041,Panel B,2,10505508,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,4,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
530,105055080061,Panel B,2,10505508,It was less than adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,5,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
512,105055080072,Panel B,2,10505508,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,1,1,1,Allows you to build your savings,8,Mat (grass) on floor,,Blanket only,,Blanket only,
520,105055080082,Panel B,2,10505508,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,2,2,Only just meets your expenses,3,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
534,105055080092,Panel B,2,10505508,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,1,1,1,Only just meets your expenses,6,Mat (grass) on floor,,Blanket only,,Blanket only,
516,105055080113,Panel B,2,10505508,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was more than adequate for household needs,1,1,1,Only just meets your expenses,8,Mat (grass) on floor,,Blanket only,,Blanket only,
536,105055080123,Panel B,2,10505508,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,2,2,Only just meets your expenses,4,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
522,105055080133,Panel B,2,10505508,It was less than adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,2,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
526,105055080164,Panel B,2,10505508,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Only just meets your expenses,2,Bed & mattress,,Blanket only,,Blanket only,
524,105055080174,Panel B,2,10505508,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Only just meets your expenses,2,Bed & mat (Grass),,Sheets only,,Sheets only,
540,105055080195,Panel B,2,10505508,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,2,Mat (grass) on floor,,Blanket only,,Blanket only,
518,105055080205,Panel B,2,10505508,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,3,Only just meets your expenses,8,Bed & mat (Grass),,Blanket only,,Sheets only,
572,105071750010,Panel B,2,10507175,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,1,1,1,Only just meets your expenses,8,Bed & mattress,,Blanket only,,Chitenje cloth,
562,105071750022,Panel B,2,10507175,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was more than adequate for household needs,1,1,1,Only just meets your expenses,5,Mat (grass) on floor,,Blanket only,,Blanket only,
544,105071750033,Panel B,2,10507175,It was just adequate for household needs,It was more than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,3,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
550,105071750045,Panel B,2,10507175,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Allows you to save just a little,4,Bed & mat (Grass),,Blanket & sheets,,Blanket only,
556,105071750069,Panel B,2,10507175,It was less than adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,1,1,Is really not sufficient so you need to borrow to meet expenses,3,Mat (grass) on floor,,Sheets only,,Sheets only,
552,105071750081,Panel B,2,10507175,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,2,2,Only just meets your expenses,4,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
542,105071750093,Panel B,2,10507175,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,3,Mat (grass) on floor,,Blanket only,,Blanket only,
546,105071750104,Panel B,2,10507175,It was less than adequate for household needs,It was more than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,3,1,Only just meets your expenses,2,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
570,105071750116,Panel B,2,10507175,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,2,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
566,105071750128,Panel B,2,10507175,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,1,1,1,Only just meets your expenses,12,Mat (grass) on floor,,Blanket only,,Blanket only,
558,105071750152,Panel B,2,10507175,It was less than adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,1,2,Is really not sufficient so you need to borrow to meet expenses,5,Mat (grass) on floor,,Blanket only,,Blanket only,
568,105071750163,Panel B,2,10507175,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,2,1,Only just meets your expenses,3,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
564,105071750175,Panel B,2,10507175,It was less than adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,1,1,Only just meets your expenses,7,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
560,105071750199,Panel B,2,10507175,It was less than adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,1,1,Only just meets your expenses,3,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
554,105071750211,Panel B,2,10507175,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,1,1,1,Only just meets your expenses,14,Cloth/sack on floor,,Sheets only,,Sheets only,
548,105071750246,Panel B,2,10507175,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was more than adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,2,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
557,105073440008,Panel A,1,10507344,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,1,1,Only just meets your expenses,4,Mat (grass) on floor,,Blanket only,,Blanket only,
571,105073440016,Panel A,1,10507344,It was less than adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was more than adequate for household needs,2,4,4,Is really not sufficient so you need to borrow to meet expenses,10,Mat (grass) on floor,,Blanket only,,Sheets only,
569,105073440027,Panel A,1,10507344,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,4,2,3,Only just meets your expenses,7,Mat (grass) on floor,,Blanket only,,Sheets only,
565,105073440033,Panel A,1,10507344,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,1,2,2,Only just meets your expenses,7,Mat (grass) on floor,,Blanket only,,Sheets only,
575,105073440041,Panel A,1,10507344,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,2,2,Only just meets your expenses,5,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
547,105073440053,Panel A,1,10507344,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,2,3,Only just meets your expenses,4,Mat (grass) on floor,,Blanket only,,Sheets only,
545,105073440060,Panel A,1,10507344,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,1,2,Is really not sufficient so you need to borrow to meet expenses,1,Mat (grass) on floor,,Blanket only,,Blanket only,
551,105073440081,Panel A,1,10507344,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,1,1,Only just meets your expenses,8,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
555,105073440103,Panel A,1,10507344,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,1,2,Is really not sufficient so you need to borrow to meet expenses,4,Mat (grass) on floor,,Blanket only,,Blanket only,
573,105073440106,Panel A,1,10507344,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,3,4,2,Is really not sufficient so you need to borrow to meet expenses,8,Bed & mattress,,Blanket & sheets,,Sheets only,
567,105073440115,Panel A,1,10507344,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,1,Only just meets your expenses,10,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
561,105073440121,Panel A,1,10507344,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,1,Only just meets your expenses,16,Bed & mat (Grass),,Blanket only,,Blanket only,
559,105073440126,Panel A,1,10507344,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,3,3,Is really not sufficient so you need to borrow to meet expenses,2,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
549,105073440131,Panel A,1,10507344,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,1,1,1,Only just meets your expenses,5,Bed & mat (Grass),,Sheets only,,Sheets only,
563,105073440136,Panel A,1,10507344,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,3,2,2,Only just meets your expenses,12,Bed & mattress,,Blanket & sheets,,Sheets only,
553,105073440152,Panel A,1,10507344,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,1,Only just meets your expenses,4,Bed & mattress,,Blanket only,,Sheets only,
585,105093190002,Panel A,1,10509319,It was more than adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,4,1,Only just meets your expenses,3,Mat (grass) on floor,,Blanket only,,Blanket only,
603,105093190013,Panel A,1,10509319,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,2,3,2,Only just meets your expenses,4,Mat (grass) on floor,,Blanket only,,Blanket only,
599,105093190021,Panel A,1,10509319,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,4,1,Is really not sufficient so you need to borrow to meet expenses,2,Mat (grass) on floor,,Blanket only,,Blanket only,
589,105093190045,Panel A,1,10509319,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,3,1,Only just meets your expenses,4,Mat (grass) on floor,,Blanket only,,Blanket only,
581,105093190056,Panel A,1,10509319,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,3,2,Only just meets your expenses,10,Bed & mattress,,Blanket & sheets,,Sheets only,
593,105093190058,Panel A,1,10509319,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,4,1,Only just meets your expenses,1,Cloth/sack on floor,,Blanket only,,Blanket only,
583,105093190062,Panel A,1,10509319,It was more than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,4,3,3,Only just meets your expenses,5,Bed & mat (Grass),,Blanket only,,Sheets only,
597,105093190116,Panel A,1,10509319,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,3,2,Only just meets your expenses,5,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
607,105093190129,Panel A,1,10509319,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,4,3,4,Allows you to save just a little,9,Bed & mattress,,Blanket only,,Sheets only,
577,105093190148,Panel A,1,10509319,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,3,2,Only just meets your expenses,8,Bed & mattress,,Blanket & sheets,,Sheets only,
601,105093190150,Panel A,1,10509319,It was less than adequate for household needs,It was more than adequate for household needs,It was more than adequate for household needs,It was less than adequate for household needs,2,3,2,Is really not sufficient so you need to borrow to meet expenses,9,Bed & mattress,,Blanket only,,Sheets only,
587,105093190189,Panel A,1,10509319,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,3,2,Only just meets your expenses,12,Mat (grass) on floor,,Blanket & sheets,,Sheets only,
579,105093190205,Panel A,1,10509319,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,3,1,Is really not sufficient so you need to borrow to meet expenses,4,Cloth/sack on floor,,Blanket only,,Sheets only,
595,105093190214,Panel A,1,10509319,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was more than adequate for household needs,4,2,2,Only just meets your expenses,3,Bed & mattress,,Blanket only,,Blanket only,
591,105093190217,Panel A,1,10509319,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,3,2,3,Only just meets your expenses,15,Bed & mattress,,Blanket & sheets,,Sheets only,
605,105093190245,Panel A,1,10509319,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,1,2,Allows you to save just a little,10,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
588,105103880009,Panel B,2,10510388,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,2,4,5,Only just meets your expenses,10,Bed & mattress,,Blanket only,,Blanket only,
580,105103880018,Panel B,2,10510388,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,4,3,Only just meets your expenses,4,Bed & mat (Grass),,Blanket only,,Blanket only,
590,105103880027,Panel B,2,10510388,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,4,Mattress on floor,,Blanket only,,Blanket only,
574,105103880036,Panel B,2,10510388,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,3,2,2,Only just meets your expenses,6,Mattress on floor,,Blanket & sheets,,Sheets only,
602,105103880054,Panel B,2,10510388,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,1,1,1,Allows you to save just a little,10,Bed & mattress,,Blanket only,,Blanket only,
594,105103880062,Panel B,2,10510388,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,2,Only just meets your expenses,7,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
576,105103880071,Panel B,2,10510388,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,3,3,3,Only just meets your expenses,6,Bed & mat (Grass),,Blanket only,,Chitenje cloth,
598,105103880080,Panel B,2,10510388,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was more than adequate for household needs,1,1,1,Only just meets your expenses,12,Mat (grass) on floor,,Blanket only,,Blanket only,
604,105103880098,Panel B,2,10510388,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,1,1,Only just meets your expenses,4,Mat (grass) on floor,,Blanket only,,Sheets only,
582,105103880107,Panel B,2,10510388,It was just adequate for household needs,It was more than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,3,4,Is really not sufficient so you need to borrow to meet expenses,6,Mat (grass) on floor,,Blanket only,,Blanket only,
578,105103880116,Panel B,2,10510388,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,2,1,Is really not sufficient so you need to borrow to meet expenses,3,Mattress on floor,,Blanket only,,Blanket only,
586,105103880124,Panel B,2,10510388,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,2,Mattress on floor,,Blanket only,,Blanket only,
596,105103880142,Panel B,2,10510388,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,1,3,6,Allows you to save just a little,11,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
592,105103880151,Panel B,2,10510388,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,3,3,3,Is really not sufficient so you need to borrow to meet expenses,5,Bed & mattress,,Blanket only,,Blanket only,
584,105103880160,Panel B,2,10510388,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,2,Mattress on floor,,Blanket only,,Blanket only,
600,105103880178,Panel B,2,10510388,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,5,Mattress on floor,,Blanket only,,Blanket only,
635,107321920007,Panel A,1,10732192,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,1,6,1,Only just meets your expenses,15,Bed & mattress,,Blanket & sheets,,Sheets only,
627,107321920048,Panel A,1,10732192,It was more than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,4,4,5,Allows you to build your savings,12,Bed & mattress,,Blanket only,,Sheets only,
611,107321920084,Panel A,1,10732192,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,3,4,2,Only just meets your expenses,6,Bed & mattress,,Blanket & sheets,,Other (Specify),DUVET
615,107321920111,Panel A,1,10732192,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,3,3,3,Is really not sufficient so you need to borrow to meet expenses,8,Bed & mattress,,Blanket & sheets,,Blanket only,
629,107321920134,Panel A,1,10732192,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was more than adequate for household needs,1,1,2,Allows you to save just a little,21,Bed & mattress,,Blanket & sheets,,Sheets only,
609,107321920171,Panel A,1,10732192,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,1,3,1,Is really not sufficient so you need to borrow to meet expenses,9,Bed & mattress,,Blanket & sheets,,Sheets only,
625,107321920194,Panel A,1,10732192,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,5,2,Only just meets your expenses,7,Bed & mattress,,Blanket only,,Blanket only,
613,107321920240,Panel A,1,10732192,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,1,1,2,Only just meets your expenses,15,Mattress on floor,,Blanket only,,Blanket only,
631,107321920241,Panel A,1,10732192,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,5,6,5,Only just meets your expenses,13,Bed & mattress,,Blanket only,,Sheets only,
639,107321920255,Panel A,1,10732192,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,3,2,Only just meets your expenses,15,Mattress on floor,,Blanket & sheets,,Sheets only,
619,107321920258,Panel A,1,10732192,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,5,5,Only just meets your expenses,6,Bed & mattress,,Blanket only,,Sheets only,
633,107321920281,Panel A,1,10732192,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,1,3,2,Is really not sufficient so you need to borrow to meet expenses,5,Mat (grass) on floor,,Blanket & sheets,,Sheets only,
637,107321920285,Panel A,1,10732192,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,3,2,Is really not sufficient so you need to borrow to meet expenses,6,Mat (grass) on floor,,Blanket only,,Blanket only,
617,107321920288,Panel A,1,10732192,It was less than adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,4,2,Only just meets your expenses,7,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
621,107321920320,Panel A,1,10732192,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Allows you to build your savings,10,Bed & mattress,,Blanket only,,Sheets only,
623,107321920404,Panel A,1,10732192,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,3,2,3,Only just meets your expenses,10,Bed & mattress,,Blanket & sheets,,Sheets only,
