occ,y2_hhid,qx_type,interview_status,hh_f01,hh_f02,hh_f03a,hh_f03b,hh_f04a,hh_f04b,hh_f05,hh_f06,hh_f07,hh_f08,hh_f09,hh_f10,hh_f11,hh_f12,hh_f13,hh_f14,hh_f15,hh_f16a,hh_f16b,hh_f17,hh_f18,hh_f19,hh_f20a,hh_f20b,hh_f21,hh_f22,hh_f22a,hh_f22b,hh_f23,hh_f24,hh_f25,hh_f26a,hh_f26b,hh_f27,hh_f28,hh_f29,hh_f30,hh_f34,hh_f35,hh_f36,hh_f37,hh_f38a,hh_f38b,hh_f39,hh_f40,hh_f41,hh_f42,hh_f43,hh_f44,hh_f45,hh_f46,hh_f47,hh_f48,hh_f49,hh_f50,hh_f51a,hh_f51b,hh_f51c,hh_f52,hh_f53,hh_f54,hh_f55a,hh_f55b,hh_f55c
1,0773-001,PANEL A,Panel A - 2 Visits,OWNED,300000,1000,MONTH,,,5,TRADITIONAL,MUD BRICK,GRASS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,30,MINUTE,NONE,450,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,200,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",1,2,YES,1,,,NO,,NO,,,
1,0774-001,PANEL B,Panel B - 2 Visits,OWNED,110000,4000,MONTH,,,23,PERMANENT,BURNT BRICKS,CLAY TILES,SMOOTH CEMENT,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,OTHER (SPECIFY),70,MINUTE,NONE,700,NO,,,,,,,,,,,,NO,,,,4,3200,BOREHOLE,0,50,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,NO,NO,,1,2,YES,1,3,,NO,,NO,,,
1,0774-008,PANEL B,Panel B - 2 Visits,"FREE, AUTHORISED",,2500,MONTH,,,4,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,100,MINUTE,NONE,350,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,60,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,OTHER HOUSEHOLDS ALSO,RUBBISH PIT,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,YES,1,NO,,,
1,0775-001,PANEL A,Panel A - 2 Visits,OWNED,18000000,15000,MONTH,,,15,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,COMMUNITY WOODLOT,20,HOUR,NONE,400,NO,,,,,,,,,,,,NO,,,,1,5000,SPRING,0,10,HOUR,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,YES,NO,,1,2,YES,2,,,NO,,YES,1,,
1,0776-001,PANEL B,Panel B - 2 Visits,OWNED,85000,5000,MONTH,,,10,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,150,MINUTE,NONE,750,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,200,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,NO,,,,2,,NO,,,,NO,,NO,,,
1,0777-001,PANEL A,Panel A - 2 Visits,OWNED,20000,3500,MONTH,,,5,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTHED MUD,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,FOREST RESERVE,300,MINUTE,NONE,300,NO,,,,,,,,,,,,NO,,,,0,,SPRING,0,100,MINUTE,ONLY RAINY SEASON,RIVER/STREAM,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,YES,YES,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0778-001,PANEL B,Panel B - 2 Visits,OWNED,200000,4000,MONTH,,,3,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,OTHER (SPECIFY),30,MINUTE,NONE,350,NO,,,,,,,,,,,,NO,,,,1,1000,BOREHOLE,0,70,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,NO,NO,,1,1,NO,,,,NO,,NO,,,
1,0779-001,PANEL A,Panel A - 2 Visits,OWNED,50000,1000,MONTH,,,10,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,OWN WOODLOT,200,MINUTE,NONE,500,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,150,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,YES,1,NO,,,
1,0780-001,PANEL B,Panel B - Combined Visit,OWNED,70000,1500,MONTH,,,10,TRADITIONAL,MUD BRICK,GRASS,SMOOTH CEMENT,2,BATTERY/DRY CELL,PUCHASED FIREWOOD,,NO,,,,,1260,NO,,,,,,,,,,,,NO,,,,2,600,COMMUNAL STANDPIPE,5400,100,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,NO,NO,,1,1,NO,,,,YES,1,NO,,,
1,0780-002,PANEL B,Panel B - 2 Visits,OWNED,30000,4000,MONTH,,,2,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,100,MINUTE,MORE THAN HALF,300,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,100,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",1,2,NO,,,,YES,1,NO,,,
1,0781-001,PANEL A,Panel A - 2 Visits,RENTED,,,,2500,MONTH,DON'T KNOW,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTH CEMENT,3,BATTERY/DRY CELL,CHARCOAL,YES,NO,,,,,200,NO,,,,,,,,,,,,YES,NO,,,1,2000,COMMUNAL STANDPIPE,0,50,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,OTHER HOUSEHOLDS ALSO,RUBBISH PIT,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",1,2,YES,1,2,,NO,,NO,,,
1,0782-001,PANEL B,Panel B - 2 Visits,RENTED,,,,5000,MONTH,DON'T KNOW,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,1,ELECTRICITY,ELECTRICITY,NO,,,,,,,YES,CANDLES,CHARCOAL,YES,,NOT APPLICABLE,99,NO,SEVERAL TIMES A WEEK,2500,1,MONTH,,,,,2,3000,OTHER (SPECIFY),500,20,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,OTHER HOUSEHOLDS ALSO,RUBBISH BIN,YES,YES,NO,,2,,NO,,,,NO,,YES,2,,
1,0783-001,PANEL A,Panel A - 2 Visits,OWNED,500000,2000,MONTH,,,4,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,300,MINUTE,NONE,1500,NO,,,,,,,,,,,,NO,,,,1,1800,BOREHOLE,0,20,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",1,1,NO,,,,NO,,NO,,,
1,0784-001,PANEL B,Panel B - 2 Visits,OWNED,80000,800,MONTH,,,5,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTHED MUD,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,400,MINUTE,NONE,1000,NO,,,,,,,,,,,,YES,YES,CONNECTION / WIRING FEE UNAFFORDABLE,,0,,BOREHOLE,0,50,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,BURNING,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0785-001,PANEL A,Panel A - 2 Visits,OWNED,70000,1000,MONTH,,,3,TRADITIONAL,COMPACTED EARTH,GRASS,SMOOTHED MUD,1,OTHER (SPECIFY),COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,100,MINUTE,NONE,300,NO,,,,,,,,,,,,NO,,,,1,800,OPEN PUBLIC WELL,0,50,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,OTHER HOUSEHOLDS ALSO,RUBBISH PIT,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0786-001,PANEL B,Panel B - 2 Visits,OWNED,150000,2500,MONTH,,,4,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,50,MINUTE,NONE,750,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,50,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,NO,,,,1,1,YES,2,,,YES,1,YES,2,,
1,0787-001,PANEL A,Panel A - 2 Visits,OWNED,20000,5000,MONTH,,,6,TRADITIONAL,COMPACTED EARTH,GRASS,SMOOTHED MUD,1,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,FOREST RESERVE,300,MINUTE,NONE,300,NO,,,,,,,,,,,,NO,,,,1,1000,BOREHOLE,0,20,HOUR,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,YES,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0788-001,PANEL B,Panel B - 2 Visits,"FREE, AUTHORISED",,700,MONTH,,,4,TRADITIONAL,MUD BRICK,GRASS,SMOOTHED MUD,1,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,50,MINUTE,NONE,600,NO,,,,,,,,,,,,NO,,,,1,600,OPEN PUBLIC WELL,0,50,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,OTHER HOUSEHOLDS ALSO,RUBBISH PIT,NO,,,,1,1,NO,,,,NO,,NO,,,
1,0789-002,PANEL A,Panel A - 2 Visits,OWNED,700000,1500,MONTH,,,8,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,50,MINUTE,NONE,500,NO,,,,,,,,,,,,NO,,,,1,2500,BOREHOLE,0,20,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,YES,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0790-002,PANEL B,Panel B - 2 Visits,OWNED,120000,4000,MONTH,,,3,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,4,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,OTHER (SPECIFY),150,MINUTE,NONE,700,NO,,,,,,,,,,,,NO,,,,1,1200,BOREHOLE,50,40,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,NO,NO,,1,1,NO,,,,NO,,NO,,,
1,0790-004,PANEL B,Panel B - Combined Visit,OWNED,30000,2000,,,,14,TRADITIONAL,COMPACTED EARTH,GRASS,SMOOTHED MUD,4,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,20,MINUTE,NONE,600,NO,,,,,,,,,,,,NO,,,,1,2500,OPEN PUBLIC WELL,0,150,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,ALL NETS TREATED & LESS THAN 6 MONTHS OLD,NO,,2,,NO,,,,NO,,NO,,,
1,0791-001,PANEL A,Panel A - 2 Visits,OWNED,200000,2000,MONTH,,,6,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,100,HOUR,NONE,600,NO,,,,,,,,,,,,NO,,,,0,,OPEN PUBLIC WELL,0,50,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,NO,,,,2,,NO,,,,NO,,NO,,,
1,0791-003,PANEL A,Panel A - 2 Visits,OWNED,100000,500,MONTH,,,7,TRADITIONAL,COMPACTED EARTH,GRASS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,50,MINUTE,NONE,450,NO,,,,,,,,,,,,NO,,,,0,,OPEN PUBLIC WELL,0,50,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,YES,NO,,1,1,NO,,,,NO,,NO,,,
1,0791-004,PANEL A,Panel A - 2 Visits,OWNED,300000,3000,MONTH,,,5,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,4,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,200,MINUTE,NONE,600,NO,,,,,,,,,,,,NO,,,,1,1500,OTHER (SPECIFY),0,10,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,YES,YES,"YES, FOR ALL CHILDREN UNDER FIVE",1,1,YES,1,,,NO,,NO,,,
1,0792-001,PANEL B,Panel B - 2 Visits,OWNED,100000,2500,MONTH,,,2,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,3,BATTERY/DRY CELL,PUCHASED FIREWOOD,,YES,UNFARMED AREAS OF COMMUNITY,150,MINUTE,ALMOST ALL,650,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,50,MINUTE,ALL YEAR AROUND,,NONE,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,YES,NO,,1,2,NO,,,,YES,2,NO,,,
1,0792-003,PANEL B,Panel B - 2 Visits,EMPLOYER PROVIDES,,400,MONTH,,,DON'T KNOW,SEMI-PERMANENT,IRON SHEETS,IRON SHEETS,SMOOTHED MUD,1,CANDLES,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,50,MINUTE,NONE,200,NO,,,,,,,,,,,,YES,NO,,,0,,PIPED INTO YARD/PLOT,0,50,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,OTHER HOUSEHOLDS ALSO,PUBLIC RUBBISH HEAP,NO,,,,2,,NO,,,,NO,,NO,,,
1,0793-001,PANEL A,Panel A - 2 Visits,OWNED,150000,2000,MONTH,,,3,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,FOREST RESERVE,30,HOUR,NONE,400,NO,,,,,,,,,,,,NO,,,,0,,SPRING,0,10,HOUR,ONLY RAINY SEASON,SPRING,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,YES,YES,YES,"YES, FOR SOME CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0793-002,PANEL A,Panel A - 2 Visits,OWNED,40000,1000,MONTH,,,5,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,3,GRASS,COLLECTED FIREWOOD,,,FOREST RESERVE,10,HOUR,NONE,300,NO,,,,,,,,,,,,NO,,,,1,2500,SPRING,0,300,MINUTE,ONLY RAINY SEASON,RIVER/STREAM,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,NO,,,,2,,NO,,,,NO,,NO,,,
1,0794-001,PANEL B,Panel B - 2 Visits,OWNED,80000,2500,MONTH,,,10,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,2,CANDLES,COLLECTED FIREWOOD,,,OTHER (SPECIFY),50,MINUTE,NONE,500,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,10,10,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",1,1,NO,,,,NO,1,NO,,,
1,0795-001,PANEL A,Panel A - Only Visit 1,OWNED,20000,2500,MONTH,,,7,TRADITIONAL,COMPACTED EARTH,GRASS,SMOOTHED MUD,1,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,300,MINUTE,NONE,200,NO,,,,,,,,,,,,NO,,,,1,1000,BOREHOLE,0,300,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,NO,NO,,2,,NO,,,,NO,,NO,,,
1,0796-001,PANEL B,Panel B - 2 Visits,EMPLOYER PROVIDES,,500,MONTH,,,DON'T KNOW,SEMI-PERMANENT,IRON SHEETS,IRON SHEETS,SMOOTHED MUD,1,COLLECTED FIREWOOD,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,50,MINUTE,NONE,300,NO,,,,,,,,,,,,YES,NO,,,0,,PIPED INTO YARD/PLOT,0,60,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,OTHER HOUSEHOLDS ALSO,PUBLIC RUBBISH HEAP,NO,,,,2,,NO,,,,NO,,NO,,,
1,0796-002,PANEL B,Panel B - 2 Visits,OWNED,40000,1000,MONTH,,,11,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,COMMUNITY WOODLOT,150,MINUTE,NONE,600,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,50,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,YES,YES,"YES, FOR ALL CHILDREN UNDER FIVE",1,1,NO,,,,YES,1,NO,,,
1,0797-001,PANEL A,Panel A - 2 Visits,OWNED,20000,300,MONTH,,,1,TRADITIONAL,COMPACTED EARTH,GRASS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,100,MINUTE,NONE,500,NO,,,,,,,,,,,,NO,,,,0,,RIVER/STREAM,0,70,MINUTE,ONLY DRY SEASON,BOREHOLE,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,OTHER (SPECIFY),YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0798-001,PANEL B,Panel B - 2 Visits,OWNED,50000,1200,MONTH,,,6,TRADITIONAL,COMPACTED EARTH,GRASS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,OTHER (SPECIFY),50,MINUTE,NONE,450,NO,,,,,,,,,,,,YES,YES,DWELLING UNAPPROPRIATE FOR CONNECTION,,0,,OPEN WELL IN YARD/PLOT,0,20,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,OTHER HOUSEHOLDS ALSO,RUBBISH PIT,NO,,,,2,,NO,,,,NO,,NO,,,
1,0799-001,PANEL A,Panel A - 2 Visits,OWNED,250000,1500,MONTH,,,2,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,100,MINUTE,NONE,350,NO,,,,,,,,,,,,NO,,,,0,,OPEN PUBLIC WELL,0,100,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,NO,,,,2,,NO,,,,NO,,NO,,,
1,0800-001,PANEL B,Panel B - 2 Visits,OWNED,75000,2000,MONTH,,,9,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,OWN WOODLOT,30,MINUTE,NONE,650,NO,,,,,,,,,,,,YES,YES,CONNECTION / WIRING FEE UNAFFORDABLE,,1,500,BOREHOLE,0,20,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,HOUSEHOLD MEMBERS ONLY,NONE,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0801-001,PANEL A,Panel A - 2 Visits,OWNED,150000,1000,MONTH,,,10,TRADITIONAL,COMPACTED EARTH,GRASS,SAND,2,GRASS,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,200,MINUTE,NONE,600,NO,,,,,,,,,,,,NO,,,,0,,OPEN PUBLIC WELL,0,100,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,OTHER HOUSEHOLDS ALSO,NONE,NO,,,,2,,NO,,,,NO,,NO,,,
1,0802-001,PANEL B,Panel B - 2 Visits,EMPLOYER PROVIDES,,1000,MONTH,,,DON'T KNOW,SEMI-PERMANENT,MUD BRICK,IRON SHEETS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,100,MINUTE,NONE,900,NO,,,,,,,,,,,,YES,NO,,,0,,COMMUNAL STANDPIPE,0,50,MINUTE,ALL YEAR AROUND,,NONE,,RUBBISH PIT,YES,YES,NO,,2,1,YES,2,,,NO,,NO,,,
1,0802-003,PANEL B,Panel B - 2 Visits,EMPLOYER PROVIDES,,2500,MONTH,,,DON'T KNOW,TRADITIONAL,MUD BRICK,GRASS,SMOOTHED MUD,1,BATTERY/DRY CELL,PUCHASED FIREWOOD,,NO,,,,,400,NO,,,,,,,,,,,,NO,,,,0,,OPEN PUBLIC WELL,0,40,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,OTHER HOUSEHOLDS ALSO,RUBBISH PIT,NO,,,,2,,NO,,,,NO,,NO,,,
1,0803-001,PANEL A,Panel A - 2 Visits,OWNED,50000,1500,MONTH,,,6,TRADITIONAL,COMPACTED EARTH,GRASS,SMOOTHED MUD,2,BATTERY / DRY CELL (CAR),COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,10,HOUR,NONE,1000,NO,,,,,,,,,,,,NO,,,,2,1600,OPEN PUBLIC WELL,0,50,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,OTHER HOUSEHOLDS ALSO,BURNING,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0804-001,PANEL B,Panel B - 2 Visits,OWNED,25000,1000,MONTH,,,11,TRADITIONAL,COMPACTED EARTH,GRASS,SMOOTHED MUD,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,200,MINUTE,NONE,800,NO,,,,,,,,,,,,NO,,,,0,,OPEN PUBLIC WELL,0,30,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,OTHER HOUSEHOLDS ALSO,RUBBISH PIT,YES,NO,NO,,2,,YES,2,,,NO,,YES,2,,
1,0804-002,PANEL B,Panel B - 2 Visits,OWNED,11000,500,MONTH,,,1,TRADITIONAL,MUD BRICK,GRASS,SMOOTHED MUD,1,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,150,MINUTE,NONE,700,NO,,,,,,,,,,,,NO,,,,1,50,OPEN PUBLIC WELL,0,40,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,OTHER HOUSEHOLDS ALSO,RUBBISH BIN,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0804-003,PANEL B,Panel B - Combined Visit,"FREE, AUTHORISED",,2000,MONTH,,,DON'T KNOW,TRADITIONAL,COMPACTED EARTH,GRASS,SMOOTHED MUD,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,300,MINUTE,NONE,1000,NO,,,,,,,,,,,,NO,,,,0,,OPEN PUBLIC WELL,0,100,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,OTHER HOUSEHOLDS ALSO,RUBBISH PIT,YES,NO,YES,,2,,NO,,,,NO,,NO,,,
1,0805-001,PANEL A,Panel A - 2 Visits,OWNED,200000,5000,MONTH,,,15,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTH CEMENT,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,COMMUNITY WOODLOT,10,HOUR,NONE,2000,NO,,,,,,,,,,,,NO,,,,3,2000,PROTECTED PUBLIC WELL,0,20,HOUR,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",1,1,YES,7,,,NO,,NO,,,
1,0806-001,PANEL B,Panel B - 2 Visits,OWNED,20000,2000,MONTH,,,0,TRADITIONAL,MUD BRICK,GRASS,SMOOTHED MUD,3,BATTERY/DRY CELL,PUCHASED FIREWOOD,,YES,UNFARMED AREAS OF COMMUNITY,400,MINUTE,ALL,1000,NO,,,,,,,,,,,,NO,,,,2,1500,BOREHOLE,0,100,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,NO,NO,,2,,YES,2,,,YES,1,NO,,,
1,0807-001,PANEL A,Panel A - 2 Visits,OWNED,45000,2000,MONTH,,,8,TRADITIONAL,MUD BRICK,GRASS,SMOOTHED MUD,1,GRASS,COLLECTED FIREWOOD,,,COMMUNITY WOODLOT,150,MINUTE,ALL,2000,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,100,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,HOUSEHOLD MEMBERS ONLY,NONE,NO,,,,2,,NO,,,,NO,,NO,,,
