occ,y2_hhid,qx_type,interview_status,hh_g09,hh_g10a,hh_g10c,hh_g11
1,0513-001,PANEL A,Panel A - 2 Visits,YES,A. CHILDREN 0-5 YEARS,1,1
2,0513-001,PANEL A,Panel A - 2 Visits,YES,B. CHILDREN 6-15 YEARS,1,1
3,0513-001,PANEL A,Panel A - 2 Visits,YES,C. ADULTS 16-65 YEARS,2,3
4,0513-001,PANEL A,Panel A - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0514-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0514-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0514-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0514-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0515-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0515-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0515-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0515-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0516-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0516-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0516-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0516-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0517-001,PANEL A,Panel A - 2 Visits,YES,A. CHILDREN 0-5 YEARS,0,0
2,0517-001,PANEL A,Panel A - 2 Visits,YES,B. CHILDREN 6-15 YEARS,2,2
3,0517-001,PANEL A,Panel A - 2 Visits,YES,C. ADULTS 16-65 YEARS,1,2
4,0517-001,PANEL A,Panel A - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0518-001,PANEL B,Panel B - 2 Visits,YES,A. CHILDREN 0-5 YEARS,1,1
2,0518-001,PANEL B,Panel B - 2 Visits,YES,B. CHILDREN 6-15 YEARS,0,0
3,0518-001,PANEL B,Panel B - 2 Visits,YES,C. ADULTS 16-65 YEARS,0,0
4,0518-001,PANEL B,Panel B - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,1,1
1,0518-004,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0518-004,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0518-004,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0518-004,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0519-001,PANEL A,Panel A - 2 Visits,YES,A. CHILDREN 0-5 YEARS,0,0
2,0519-001,PANEL A,Panel A - 2 Visits,YES,B. CHILDREN 6-15 YEARS,0,0
3,0519-001,PANEL A,Panel A - 2 Visits,YES,C. ADULTS 16-65 YEARS,1,2
4,0519-001,PANEL A,Panel A - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0520-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0520-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0520-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0520-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0520-002,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0520-002,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0520-002,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0520-002,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0521-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0521-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0521-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0521-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0521-003,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0521-003,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0521-003,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0521-003,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0522-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0522-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0522-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0522-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0523-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0523-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0523-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0523-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0524-001,PANEL B,Panel B - 2 Visits,YES,A. CHILDREN 0-5 YEARS,1,1
2,0524-001,PANEL B,Panel B - 2 Visits,YES,B. CHILDREN 6-15 YEARS,1,1
3,0524-001,PANEL B,Panel B - 2 Visits,YES,C. ADULTS 16-65 YEARS,1,1
4,0524-001,PANEL B,Panel B - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0525-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0525-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0525-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0525-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0526-002,PANEL B,Panel B - 2 Visits,YES,A. CHILDREN 0-5 YEARS,3,3
2,0526-002,PANEL B,Panel B - 2 Visits,YES,B. CHILDREN 6-15 YEARS,1,1
3,0526-002,PANEL B,Panel B - 2 Visits,YES,C. ADULTS 16-65 YEARS,3,3
4,0526-002,PANEL B,Panel B - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0527-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0527-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0527-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0527-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0528-002,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0528-002,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0528-002,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0528-002,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0528-003,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0528-003,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0528-003,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0528-003,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0529-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0529-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0529-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0529-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0530-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0530-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0530-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0530-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0531-001,PANEL A,Panel A - 2 Visits,YES,A. CHILDREN 0-5 YEARS,2,4
2,0531-001,PANEL A,Panel A - 2 Visits,YES,B. CHILDREN 6-15 YEARS,5,2
3,0531-001,PANEL A,Panel A - 2 Visits,YES,C. ADULTS 16-65 YEARS,2,1
4,0531-001,PANEL A,Panel A - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0532-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0532-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0532-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0532-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0534-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0534-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0534-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0534-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0535-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0535-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0535-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0535-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0536-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0536-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0536-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0536-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0537-001,PANEL A,Panel A - 2 Visits,YES,A. CHILDREN 0-5 YEARS,3,2
2,0537-001,PANEL A,Panel A - 2 Visits,YES,B. CHILDREN 6-15 YEARS,0,0
3,0537-001,PANEL A,Panel A - 2 Visits,YES,C. ADULTS 16-65 YEARS,2,1
4,0537-001,PANEL A,Panel A - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0538-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0538-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0538-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0538-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0539-001,PANEL A,Panel A - 2 Visits,YES,A. CHILDREN 0-5 YEARS,0,0
2,0539-001,PANEL A,Panel A - 2 Visits,YES,B. CHILDREN 6-15 YEARS,0,0
3,0539-001,PANEL A,Panel A - 2 Visits,YES,C. ADULTS 16-65 YEARS,1,2
4,0539-001,PANEL A,Panel A - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0540-001,PANEL B,Panel B - 2 Visits,YES,A. CHILDREN 0-5 YEARS,0,0
2,0540-001,PANEL B,Panel B - 2 Visits,YES,B. CHILDREN 6-15 YEARS,0,0
3,0540-001,PANEL B,Panel B - 2 Visits,YES,C. ADULTS 16-65 YEARS,1,1
4,0540-001,PANEL B,Panel B - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0541-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0541-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0541-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0541-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0542-001,PANEL B,Panel B - 2 Visits,YES,A. CHILDREN 0-5 YEARS,1,1
2,0542-001,PANEL B,Panel B - 2 Visits,YES,B. CHILDREN 6-15 YEARS,2,3
3,0542-001,PANEL B,Panel B - 2 Visits,YES,C. ADULTS 16-65 YEARS,0,0
4,0542-001,PANEL B,Panel B - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0542-003,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0542-003,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0542-003,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0542-003,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0543-001,PANEL A,Panel A - 2 Visits,YES,A. CHILDREN 0-5 YEARS,2,3
2,0543-001,PANEL A,Panel A - 2 Visits,YES,B. CHILDREN 6-15 YEARS,2,4
3,0543-001,PANEL A,Panel A - 2 Visits,YES,C. ADULTS 16-65 YEARS,0,0
4,0543-001,PANEL A,Panel A - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0544-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0544-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0544-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0544-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0545-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0545-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0545-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0545-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0546-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0546-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0546-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0546-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0547-001,PANEL A,Panel A - Combined Visit,YES,A. CHILDREN 0-5 YEARS,1,1
2,0547-001,PANEL A,Panel A - Combined Visit,YES,B. CHILDREN 6-15 YEARS,1,1
3,0547-001,PANEL A,Panel A - Combined Visit,YES,C. ADULTS 16-65 YEARS,0,0
4,0547-001,PANEL A,Panel A - Combined Visit,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0548-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0548-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0548-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0548-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0549-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0549-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0549-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0549-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0549-006,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0549-006,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0549-006,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0549-006,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0550-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0550-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0550-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0550-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0551-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0551-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0551-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0551-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0551-005,PANEL A,Panel A - Combined Visit,NO,A. CHILDREN 0-5 YEARS,,
2,0551-005,PANEL A,Panel A - Combined Visit,NO,B. CHILDREN 6-15 YEARS,,
3,0551-005,PANEL A,Panel A - Combined Visit,NO,C. ADULTS 16-65 YEARS,,
4,0551-005,PANEL A,Panel A - Combined Visit,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0552-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0552-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0552-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0552-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0552-003,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0552-003,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0552-003,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0552-003,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0553-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0553-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0553-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0553-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0554-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0554-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0554-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0554-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0555-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0555-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0555-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0555-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0556-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0556-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0556-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0556-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0557-001,PANEL A,Panel A - 2 Visits,YES,A. CHILDREN 0-5 YEARS,0,0
2,0557-001,PANEL A,Panel A - 2 Visits,YES,B. CHILDREN 6-15 YEARS,2,7
3,0557-001,PANEL A,Panel A - 2 Visits,YES,C. ADULTS 16-65 YEARS,2,4
4,0557-001,PANEL A,Panel A - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0558-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0558-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0558-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0558-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0559-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0559-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0559-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0559-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0559-003,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0559-003,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0559-003,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0559-003,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0559-004,PANEL A,Panel A - Combined Visit,NO,A. CHILDREN 0-5 YEARS,,
2,0559-004,PANEL A,Panel A - Combined Visit,NO,B. CHILDREN 6-15 YEARS,,
3,0559-004,PANEL A,Panel A - Combined Visit,NO,C. ADULTS 16-65 YEARS,,
4,0559-004,PANEL A,Panel A - Combined Visit,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0560-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0560-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0560-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0560-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0561-001,PANEL A,Panel A - 2 Visits,YES,A. CHILDREN 0-5 YEARS,2,3
2,0561-001,PANEL A,Panel A - 2 Visits,YES,B. CHILDREN 6-15 YEARS,1,1
3,0561-001,PANEL A,Panel A - 2 Visits,YES,C. ADULTS 16-65 YEARS,3,3
4,0561-001,PANEL A,Panel A - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0562-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0562-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0562-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0562-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0563-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0563-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0563-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0563-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0564-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0564-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0564-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0564-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0564-003,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0564-003,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0564-003,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0564-003,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0564-004,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0564-004,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0564-004,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0564-004,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0565-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0565-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0565-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0565-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0566-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0566-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0566-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0566-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0567-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0567-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0567-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0567-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0568-001,PANEL B,Panel B - 2 Visits,YES,A. CHILDREN 0-5 YEARS,0,0
2,0568-001,PANEL B,Panel B - 2 Visits,YES,B. CHILDREN 6-15 YEARS,1,1
3,0568-001,PANEL B,Panel B - 2 Visits,YES,C. ADULTS 16-65 YEARS,0,0
4,0568-001,PANEL B,Panel B - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0569-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0569-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0569-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0569-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0570-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0570-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0570-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0570-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0571-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0571-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0571-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0571-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0572-001,PANEL B,Panel B - 2 Visits,YES,A. CHILDREN 0-5 YEARS,0,0
2,0572-001,PANEL B,Panel B - 2 Visits,YES,B. CHILDREN 6-15 YEARS,1,1
3,0572-001,PANEL B,Panel B - 2 Visits,YES,C. ADULTS 16-65 YEARS,1,1
