HHID,case_id,qx_type,ea_id,ag_nr00,ag_nr02,ag_nr02_os,ag_nr03
666,107343700385,Panel B,10734370,N01,EMPLOYER,,NEAR THE TOWN
666,107343700385,Panel B,10734370,N02,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
666,107343700385,Panel B,10734370,N03,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
643,107347620016,Panel A,10734762,N01,RELATIVE,,NEAR THE TOWN
643,107347620016,Panel A,10734762,N02,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
665,107347620031,Panel A,10734762,,,,
665,107347620031,Panel A,10734762,N01,,,
651,107347620278,Panel A,10734762,,,,
651,107347620278,Panel A,10734762,N01,,,
671,107347620318,Panel A,10734762,N01,FRIEND/NEIGHBOR,,NEAR THE DISTRICT/URBAN CENTER
671,107347620318,Panel A,10734762,N02,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
671,107347620318,Panel A,10734762,N03,FRIEND/NEIGHBOR,,NEAR THE TOWN
657,107347620346,Panel A,10734762,N01,FRIEND/NEIGHBOR,,NEAR THE TOWN
657,107347620346,Panel A,10734762,N02,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
657,107347620346,Panel A,10734762,N03,RELATIVE,,OUTSIDE THE DISTRICT
679,107351730088,Panel A,10735173,N01,PARASTATAL ORGANIZATION,,NEAR THE TOWN
679,107351730088,Panel A,10735173,N02,RELATIVE,,NEAR THE TOWN
695,107351730115,Panel A,10735173,N01,OTHER (SPECIFY),FARMERS FROM OTHER DISTRICT,OUTSIDE THE DISTRICT
695,107351730115,Panel A,10735173,N02,LOCAL MARKET,,NEAR THE TOWN
680,107365960004,Panel B,10736596,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
680,107365960004,Panel B,10736596,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
680,107365960004,Panel B,10736596,N03,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
680,107365960004,Panel B,10736596,N04,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
680,107365960004,Panel B,10736596,N05,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
700,107365960008,Panel B,10736596,N01,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
700,107365960008,Panel B,10736596,N02,RELATIVE,,NEAR THE VILLAGE
672,107365960010,Panel B,10736596,,,,
672,107365960010,Panel B,10736596,N01,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
696,107365960012,Panel B,10736596,N01,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE DISTRICT/URBAN CENTER
696,107365960012,Panel B,10736596,N02,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE DISTRICT/URBAN CENTER
696,107365960012,Panel B,10736596,N03,LOCAL MARKET,,NEAR THE TOWN
696,107365960012,Panel B,10736596,N04,FRIEND/NEIGHBOR,,OUTSIDE THE DISTRICT
682,107365960013,Panel B,10736596,,,,
682,107365960013,Panel B,10736596,N01,PARASTATAL ORGANIZATION,,NEAR THE TOWN
682,107365960013,Panel B,10736596,N02,PARASTATAL ORGANIZATION,,NEAR THE TOWN
692,107365960014,Panel B,10736596,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
692,107365960014,Panel B,10736596,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
692,107365960014,Panel B,10736596,N03,EMPLOYER,,NEAR THE DISTRICT/URBAN CENTER
692,107365960014,Panel B,10736596,N04,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE DISTRICT/URBAN CENTER
692,107365960014,Panel B,10736596,N05,RELATIVE,,WITHIN THE VILLAGE
692,107365960014,Panel B,10736596,N06,PRIVATE COMPANY/BUSINESS PERSON,,OUTSIDE THE DISTRICT
686,107365960016,Panel B,10736596,N01,FRIEND/NEIGHBOR,,NEAR THE TOWN
686,107365960016,Panel B,10736596,N02,MAIN MARKET,,NEAR THE VILLAGE
686,107365960016,Panel B,10736596,N03,RELATIVE,,OUTSIDE THE DISTRICT
727,107415040028,Panel A,10741504,N01,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
727,107415040028,Panel A,10741504,N02,AUCTION IN MAIN MARKET,,NEAR THE TOWN
733,107415040057,Panel A,10741504,N01,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
733,107415040057,Panel A,10741504,N02,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
733,107415040057,Panel A,10741504,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
733,107415040057,Panel A,10741504,N04,LOCAL MARKET,,WITHIN THE VILLAGE
721,107415040060,Panel A,10741504,N01,RELATIVE,,WITHIN THE VILLAGE
721,107415040060,Panel A,10741504,N02,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
719,107415040063,Panel A,10741504,N01,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
719,107415040063,Panel A,10741504,N02,MOBILE MARKET,,NEAR THE TOWN
726,107446490122,Panel B,10744649,N01,FRIEND/NEIGHBOR,,OUTSIDE THE DISTRICT
726,107446490122,Panel B,10744649,N02,PARASTATAL ORGANIZATION,,OUTSIDE THE DISTRICT
726,107446490122,Panel B,10744649,N03,RELATIVE,,OUTSIDE THE DISTRICT
718,107446490271,Panel B,10744649,N01,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
718,107446490271,Panel B,10744649,N02,VILLAGE HEADMAN,,WITHIN THE VILLAGE
751,107460330205,Panel A,10746033,N01,GOVERNMENT AGENCY,,NEAR THE TOWN
751,107460330205,Panel A,10746033,N02,MAIN MARKET,,NEAR THE DISTRICT/URBAN CENTER
763,107460330525,Panel A,10746033,N01,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
763,107460330525,Panel A,10746033,N02,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
763,107460330525,Panel A,10746033,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
761,107460330536,Panel A,10746033,N01,VDC MEMBER,,WITHIN THE VILLAGE
761,107460330536,Panel A,10746033,N02,PARASTATAL ORGANIZATION,,WITHIN THE VILLAGE
761,107460330536,Panel A,10746033,N03,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
761,107460330536,Panel A,10746033,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
761,107460330536,Panel A,10746033,N05,RELATIVE,,WITHIN THE VILLAGE
759,107460330612,Panel A,10746033,N01,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
759,107460330612,Panel A,10746033,N02,LOCAL MARKET,,NEAR THE TOWN
762,107462440014,Panel B,10746244,N01,OTHER (SPECIFY),LANDLORD,WITHIN THE VILLAGE
762,107462440014,Panel B,10746244,N02,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
762,107462440014,Panel B,10746244,N03,OTHER (SPECIFY),LANDLORD,WITHIN THE VILLAGE
746,107462440028,Panel B,10746244,N01,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
746,107462440028,Panel B,10746244,N02,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
756,107462440056,Panel B,10746244,N01,GOVERNMENT AGENCY,,NEAR THE TOWN
756,107462440056,Panel B,10746244,N02,PARASTATAL ORGANIZATION,,OUTSIDE THE REGION
756,107462440056,Panel B,10746244,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
764,107462440085,Panel B,10746244,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
764,107462440085,Panel B,10746244,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
764,107462440085,Panel B,10746244,N03,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
764,107462440085,Panel B,10746244,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
764,107462440085,Panel B,10746244,N05,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
764,107462440085,Panel B,10746244,N06,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
736,107462440113,Panel B,10746244,N01,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
736,107462440113,Panel B,10746244,N02,VILLAGE HEADMAN,,WITHIN THE VILLAGE
736,107462440113,Panel B,10746244,N03,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
736,107462440113,Panel B,10746244,N04,PRIVATE TRADER IN LOCAL MARKET,,NEAR THE TOWN
750,107462440127,Panel B,10746244,N01,VDC MEMBER,,NEAR THE VILLAGE
750,107462440127,Panel B,10746244,N02,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
750,107462440127,Panel B,10746244,N03,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
750,107462440127,Panel B,10746244,N04,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
750,107462440127,Panel B,10746244,N05,OTHER (SPECIFY),FINAL CONSUMER,NEAR THE TOWN
754,107462440155,Panel B,10746244,N01,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
754,107462440155,Panel B,10746244,N02,RELATIVE,,NEAR THE VILLAGE
754,107462440155,Panel B,10746244,N03,LOCAL MARKET,,NEAR THE TOWN
754,107462440155,Panel B,10746244,N04,RELATIVE,,NEAR THE VILLAGE
740,107462440183,Panel B,10746244,N01,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
740,107462440183,Panel B,10746244,N02,VILLAGE HEADMAN,,OUTSIDE THE DISTRICT
740,107462440183,Panel B,10746244,N03,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
740,107462440183,Panel B,10746244,N04,LOCAL MARKET,,NEAR THE VILLAGE
740,107462440183,Panel B,10746244,N05,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
740,107462440183,Panel B,10746244,N06,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
740,107462440183,Panel B,10746244,N07,RELATIVE,,OUTSIDE THE DISTRICT
744,107462440197,Panel B,10746244,N01,RELATIVE,,NEAR THE VILLAGE
744,107462440197,Panel B,10746244,N02,VILLAGE HEADMAN,,WITHIN THE VILLAGE
744,107462440197,Panel B,10746244,N03,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
744,107462440197,Panel B,10746244,N04,LOCAL MARKET,,NEAR THE TOWN
744,107462440197,Panel B,10746244,N05,RELATIVE,,OUTSIDE THE DISTRICT
752,107462440226,Panel B,10746244,,,,
752,107462440226,Panel B,10746244,N01,EMPLOYER,,NEAR THE TOWN
752,107462440226,Panel B,10746244,N02,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
758,107462440254,Panel B,10746244,N01,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
758,107462440254,Panel B,10746244,N02,RELATIVE,,NEAR THE DISTRICT/URBAN CENTER
778,201060420011,Panel B,20106042,N01,RELATIVE,,WITHIN THE VILLAGE
778,201060420011,Panel B,20106042,N02,VILLAGE HEADMAN,,WITHIN THE VILLAGE
778,201060420011,Panel B,20106042,N03,PARASTATAL ORGANIZATION,,NEAR THE TOWN
778,201060420011,Panel B,20106042,N04,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
796,201060420020,Panel B,20106042,N01,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
796,201060420020,Panel B,20106042,N02,MAIN MARKET,,NEAR THE TOWN
796,201060420020,Panel B,20106042,N03,VDC MEMBER,,NEAR THE VILLAGE
796,201060420020,Panel B,20106042,N04,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
796,201060420020,Panel B,20106042,N05,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
796,201060420020,Panel B,20106042,N06,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
768,201060420028,Panel B,20106042,N01,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
768,201060420028,Panel B,20106042,N02,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
768,201060420028,Panel B,20106042,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
770,201060420037,Panel B,20106042,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
770,201060420037,Panel B,20106042,N02,PARASTATAL ORGANIZATION,,NEAR THE TOWN
770,201060420037,Panel B,20106042,N03,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
770,201060420037,Panel B,20106042,N04,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
770,201060420037,Panel B,20106042,N05,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
770,201060420037,Panel B,20106042,N06,LOCAL MARKET,,WITHIN THE VILLAGE
766,201060420054,Panel B,20106042,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
766,201060420054,Panel B,20106042,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
766,201060420054,Panel B,20106042,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
766,201060420054,Panel B,20106042,N04,MOBILE MARKET,,WITHIN THE VILLAGE
786,201060420063,Panel B,20106042,N01,AGRICULTURAL COOPERATIVE,,NEAR THE TOWN
786,201060420063,Panel B,20106042,N02,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
786,201060420063,Panel B,20106042,N03,MOBILE MARKET,,WITHIN THE VILLAGE
792,201060420071,Panel B,20106042,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
792,201060420071,Panel B,20106042,N02,PARASTATAL ORGANIZATION,,NEAR THE TOWN
792,201060420071,Panel B,20106042,N03,LOCAL MARKET,,NEAR THE TOWN
792,201060420071,Panel B,20106042,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
792,201060420071,Panel B,20106042,N05,MOBILE MARKET,,WITHIN THE VILLAGE
782,201060420074,Panel B,20106042,N01,RELATIVE,,WITHIN THE VILLAGE
782,201060420074,Panel B,20106042,N02,RELATIVE,,WITHIN THE VILLAGE
776,201060420080,Panel B,20106042,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
776,201060420080,Panel B,20106042,N02,PARASTATAL ORGANIZATION,,NEAR THE TOWN
776,201060420080,Panel B,20106042,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
776,201060420080,Panel B,20106042,N04,MOBILE MARKET,,WITHIN THE VILLAGE
780,201060420097,Panel B,20106042,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
780,201060420097,Panel B,20106042,N02,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
780,201060420097,Panel B,20106042,N03,RELATIVE,,WITHIN THE VILLAGE
772,201060420105,Panel B,20106042,N01,RELATIVE,,NEAR THE VILLAGE
790,201060420114,Panel B,20106042,N01,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
790,201060420114,Panel B,20106042,N02,VILLAGE HEADMAN,,WITHIN THE VILLAGE
790,201060420114,Panel B,20106042,N03,PARASTATAL ORGANIZATION,,NEAR THE TOWN
790,201060420114,Panel B,20106042,N04,LOCAL MARKET,,NEAR THE VILLAGE
790,201060420114,Panel B,20106042,N05,RELATIVE,,WITHIN THE VILLAGE
790,201060420114,Panel B,20106042,N06,RELATIVE,,WITHIN THE VILLAGE
790,201060420114,Panel B,20106042,N07,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
790,201060420114,Panel B,20106042,N08,VDC MEMBER,,WITHIN THE VILLAGE
788,201060420123,Panel B,20106042,N01,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
788,201060420123,Panel B,20106042,N02,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
788,201060420123,Panel B,20106042,N03,LOCAL MARKET,,NEAR THE TOWN
788,201060420123,Panel B,20106042,N04,VDC MEMBER,,WITHIN THE VILLAGE
794,201060420140,Panel B,20106042,N01,MOBILE MARKET,,WITHIN THE VILLAGE
794,201060420140,Panel B,20106042,N02,RELATIVE,,WITHIN THE VILLAGE
794,201060420140,Panel B,20106042,N03,RELATIVE,,WITHIN THE VILLAGE
784,201060420148,Panel B,20106042,N01,AUCTION IN MAIN MARKET,,NEAR THE TOWN
784,201060420148,Panel B,20106042,N02,GOVERNMENT AGENCY,,NEAR THE VILLAGE
784,201060420148,Panel B,20106042,N03,PRIVATE TRADER IN MAIN MARKET,,NEAR THE TOWN
784,201060420148,Panel B,20106042,N04,PRIVATE TRADER IN LOCAL MARKET,,NEAR THE TOWN
784,201060420148,Panel B,20106042,N05,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
784,201060420148,Panel B,20106042,N06,RELATIVE,,WITHIN THE VILLAGE
784,201060420148,Panel B,20106042,N07,RELATIVE,,WITHIN THE VILLAGE
784,201060420148,Panel B,20106042,N08,RELATIVE,,WITHIN THE VILLAGE
784,201060420148,Panel B,20106042,N09,RELATIVE,,WITHIN THE VILLAGE
784,201060420148,Panel B,20106042,N10,RELATIVE,,WITHIN THE VILLAGE
784,201060420148,Panel B,20106042,N11,RELATIVE,,WITHIN THE VILLAGE
784,201060420148,Panel B,20106042,N12,AUCTION IN MAIN MARKET,,NEAR THE DISTRICT/URBAN CENTER
784,201060420148,Panel B,20106042,N13,MAIN MARKET,,NEAR THE DISTRICT/URBAN CENTER
774,201060420157,Panel B,20106042,N01,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
774,201060420157,Panel B,20106042,N02,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
774,201060420157,Panel B,20106042,N03,RELATIVE,,WITHIN THE VILLAGE
774,201060420157,Panel B,20106042,N04,PRIVATE VETERINARY,,NEAR THE TOWN
774,201060420157,Panel B,20106042,N05,VDC MEMBER,,WITHIN THE VILLAGE
774,201060420157,Panel B,20106042,N06,RELATIVE,,WITHIN THE VILLAGE
774,201060420157,Panel B,20106042,N07,RELATIVE,,WITHIN THE VILLAGE
774,201060420157,Panel B,20106042,N08,RELATIVE,,WITHIN THE VILLAGE
774,201060420157,Panel B,20106042,N09,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
774,201060420157,Panel B,20106042,N10,LOCAL MARKET,,NEAR THE TOWN
799,201106200004,Panel A,20110620,N01,MOBILE MARKET,,NEAR THE VILLAGE
799,201106200004,Panel A,20110620,N02,GOVERNMENT AGENCY,,NEAR THE VILLAGE
799,201106200004,Panel A,20110620,N03,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
799,201106200004,Panel A,20110620,N04,RELATIVE,,WITHIN THE VILLAGE
799,201106200004,Panel A,20110620,N05,RELATIVE,,WITHIN THE VILLAGE
797,201106200018,Panel A,20110620,N01,RELATIVE,,WITHIN THE VILLAGE
797,201106200018,Panel A,20110620,N02,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
773,201106200021,Panel A,20110620,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
773,201106200021,Panel A,20110620,N02,PARASTATAL ORGANIZATION,,NEAR THE TOWN
773,201106200021,Panel A,20110620,N03,RELATIVE,,WITHIN THE VILLAGE
773,201106200021,Panel A,20110620,N04,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
773,201106200021,Panel A,20110620,N05,AUCTION IN MAIN MARKET,,NEAR THE TOWN
783,201106200034,Panel A,20110620,N01,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
783,201106200034,Panel A,20110620,N02,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
783,201106200034,Panel A,20110620,N03,AUCTION IN MAIN MARKET,,NEAR THE DISTRICT/URBAN CENTER
783,201106200034,Panel A,20110620,N04,LOCAL MARKET,,WITHIN THE VILLAGE
777,201106200058,Panel A,20110620,N01,RELATIVE,,NEAR THE DISTRICT/URBAN CENTER
777,201106200058,Panel A,20110620,N02,PARASTATAL ORGANIZATION,,OUTSIDE THE DISTRICT
777,201106200058,Panel A,20110620,N03,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
777,201106200058,Panel A,20110620,N04,LOCAL MARKET,,NEAR THE VILLAGE
777,201106200058,Panel A,20110620,N05,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
777,201106200058,Panel A,20110620,N06,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
791,201106200060,Panel A,20110620,N01,MOBILE MARKET,,WITHIN THE VILLAGE
791,201106200060,Panel A,20110620,N02,VILLAGE HEADMAN,,WITHIN THE VILLAGE
791,201106200060,Panel A,20110620,N03,PARASTATAL ORGANIZATION,,NEAR THE TOWN
791,201106200060,Panel A,20110620,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
791,201106200060,Panel A,20110620,N05,LOCAL MARKET,,NEAR THE VILLAGE
791,201106200060,Panel A,20110620,N06,AUCTION IN MAIN MARKET,,NEAR THE TOWN
781,201106200074,Panel A,20110620,N01,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
781,201106200074,Panel A,20110620,N02,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
781,201106200074,Panel A,20110620,N03,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
781,201106200074,Panel A,20110620,N04,LOCAL MARKET,,NEAR THE VILLAGE
787,201106200094,Panel A,20110620,N01,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
787,201106200094,Panel A,20110620,N02,VILLAGE HEADMAN,,NEAR THE VILLAGE
787,201106200094,Panel A,20110620,N03,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
789,201106200112,Panel A,20110620,N01,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
789,201106200112,Panel A,20110620,N02,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
789,201106200112,Panel A,20110620,N03,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
789,201106200112,Panel A,20110620,N04,RELATIVE,,WITHIN THE VILLAGE
789,201106200112,Panel A,20110620,N05,MOBILE MARKET,,WITHIN THE VILLAGE
789,201106200112,Panel A,20110620,N06,AUCTION IN MAIN MARKET,,NEAR THE TOWN
785,201106200118,Panel A,20110620,N01,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
785,201106200118,Panel A,20110620,N02,GOVERNMENT AGENCY,,NEAR THE DISTRICT/URBAN CENTER
785,201106200118,Panel A,20110620,N03,PARASTATAL ORGANIZATION,,NEAR THE TOWN
785,201106200118,Panel A,20110620,N04,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
785,201106200118,Panel A,20110620,N05,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
785,201106200118,Panel A,20110620,N06,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
771,201106200175,Panel A,20110620,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
771,201106200175,Panel A,20110620,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
771,201106200175,Panel A,20110620,N03,ROADSIDE,,WITHIN THE VILLAGE
795,201106200190,Panel A,20110620,N01,AUCTION IN MAIN MARKET,,NEAR THE TOWN
795,201106200190,Panel A,20110620,N02,VILLAGE HEADMAN,,WITHIN THE VILLAGE
795,201106200190,Panel A,20110620,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
795,201106200190,Panel A,20110620,N04,RELATIVE,,WITHIN THE VILLAGE
795,201106200190,Panel A,20110620,N05,MOBILE MARKET,,WITHIN THE VILLAGE
779,201106200196,Panel A,20110620,N01,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
779,201106200196,Panel A,20110620,N02,RELATIVE,,WITHIN THE VILLAGE
779,201106200196,Panel A,20110620,N03,AUCTION IN MAIN MARKET,,NEAR THE TOWN
769,201106200215,Panel A,20110620,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
769,201106200215,Panel A,20110620,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
769,201106200215,Panel A,20110620,N03,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
775,201106200266,Panel A,20110620,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
775,201106200266,Panel A,20110620,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
775,201106200266,Panel A,20110620,N03,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
793,201106200267,Panel A,20110620,N01,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
793,201106200267,Panel A,20110620,N02,RELATIVE,,WITHIN THE VILLAGE
793,201106200267,Panel A,20110620,N03,LOCAL MARKET,,NEAR THE VILLAGE
793,201106200267,Panel A,20110620,N04,VDC MEMBER,,WITHIN THE VILLAGE
810,201117180005,Panel B,20111718,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
810,201117180005,Panel B,20111718,N02,PARASTATAL ORGANIZATION,,NEAR THE TOWN
810,201117180005,Panel B,20111718,N03,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
810,201117180005,Panel B,20111718,N04,LOCAL MARKET,,NEAR THE VILLAGE
810,201117180005,Panel B,20111718,N05,MOBILE MARKET,,WITHIN THE VILLAGE
810,201117180005,Panel B,20111718,N06,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
800,201117180015,Panel B,20111718,N01,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
800,201117180015,Panel B,20111718,N02,LOCAL MARKET,,NEAR THE VILLAGE
800,201117180015,Panel B,20111718,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
800,201117180015,Panel B,20111718,N04,AUCTION IN MAIN MARKET,,NEAR THE TOWN
828,201117180024,Panel B,20111718,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
828,201117180024,Panel B,20111718,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
828,201117180024,Panel B,20111718,N03,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
828,201117180024,Panel B,20111718,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
828,201117180024,Panel B,20111718,N05,MOBILE MARKET,,WITHIN THE VILLAGE
828,201117180024,Panel B,20111718,N06,AUCTION IN MAIN MARKET,,NEAR THE TOWN
824,201117180032,Panel B,20111718,N01,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
824,201117180032,Panel B,20111718,N02,MOBILE MARKET,,WITHIN THE VILLAGE
824,201117180032,Panel B,20111718,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
824,201117180032,Panel B,20111718,N04,AUCTION IN MAIN MARKET,,NEAR THE TOWN
808,201117180043,Panel B,20111718,N01,RELATIVE,,NEAR THE TOWN
808,201117180043,Panel B,20111718,N02,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
808,201117180043,Panel B,20111718,N03,PARASTATAL ORGANIZATION,,WITHIN THE VILLAGE
808,201117180043,Panel B,20111718,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
808,201117180043,Panel B,20111718,N05,AUCTION IN MAIN MARKET,,NEAR THE VILLAGE
812,201117180052,Panel B,20111718,N01,OTHER (SPECIFY),HER DAUGHTER,WITHIN THE VILLAGE
812,201117180052,Panel B,20111718,N02,OTHER (SPECIFY),HER DAUGHTER,OUTSIDE THE DISTRICT
812,201117180052,Panel B,20111718,N03,RELATIVE,,OUTSIDE THE DISTRICT
812,201117180052,Panel B,20111718,N04,RELATIVE,,NEAR THE VILLAGE
812,201117180052,Panel B,20111718,N05,MOBILE MARKET,,WITHIN THE VILLAGE
812,201117180052,Panel B,20111718,N06,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
812,201117180052,Panel B,20111718,N07,LOCAL MARKET,,NEAR THE VILLAGE
816,201117180071,Panel B,20111718,N01,PRIVATE COMPANY/BUSINESS PERSON,,WITHIN THE VILLAGE
802,201117180080,Panel B,20111718,N01,EMPLOYER,,WITHIN THE VILLAGE
