case_id,hhid,hh_n09a,hh_n09b,hh_n09c,hh_n10a,hh_n10b,hh_n11,hh_n12a,hh_n12b,hh_n13a,hh_n13b,hh_n14,hh_n14_oth,hh_n15a,hh_n15b,hh_n16a,hh_n16b,hh_n16_oth,hh_n17,hh_n18,hh_n19,hh_n19_oth,hh_n20a,hh_n20b,hh_n20_oth,hh_n21a,hh_n21b,hh_n21c,hh_n22,hh_n23,hh_n24,hh_n24_oth,hh_n25a,hh_n25b,hh_n25c,hh_n25d,hh_n25e,hh_n25f,hh_n25g,hh_n25h,hh_n25i,hh_n25j,hh_n25k,hh_n25l,hh_n25m,hh_n25n,hh_n25o,hh_n25p,hh_n25q,hh_n25r,hh_n25s,hh_n25t,hh_n25u,hh_n25v,hh_n25w,hh_n25x,hh_n25y,hh_n26a,hh_n26b,hh_n26_oth,hh_n27,hh_n28,hh_n29a,hh_n29b,hh_n29_oth,hh_n30a1,hh_n30b1,hh_n30c1,hh_n30d1,hh_n30a2,hh_n30b2,hh_n30c2,hh_n30d2,hh_n30a3,hh_n30b3,hh_n30c3,hh_n30d3,hh_n30a4,hh_n30b4,hh_n30c4,hh_n30d4,hh_n30a5,hh_n30b5,hh_n30c5,hh_n30d5,hh_n30a6,hh_n30b6,hh_n30c6,hh_n30d6,hh_n31a1,hh_n31b1,hh_n31c1,hh_n31d1,hh_n31a2,hh_n31b2,hh_n31c2,hh_n31d2,hh_n31a3,hh_n31b3,hh_n31c3,hh_n31d3,hh_n32,hh_n34,hh_n35,hh_n36,hh_n37,hh_n38,hh_n39,hh_n40,hh_n41a,hh_n41b,hh_n41c,hh_n41d,hh_n41e,hh_n41f,hh_n41g,hh_n41h,hh_n41h_oth
202052960159,d84283c5c5d54febaca6fa057e795880,1,Selling firewood,2,2,,2,2,,0,0,,,April,2016,No start-up capital,,,Other fixed place,No,,,Final consumers,,,no,no,no,no,yes,Forest/wild park reserve,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,NOT OPERATE,NOT OPERATE,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,Lack of cash,,,No,yes,,,,2,6,15,6,3,2,7,3,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,18500,,,,,6000,9000,10000,0,0,0,0,0,0,0,0,
202052970033,80f77a4dbf5c485a85e14e230089b96b,1,COOKING AND SELLING ZITUMBUWA,0,2,,2,2,,0,0,,,September,2016,Other (specify),,SAVINGS FROM WORK (UNSPECIFIED),Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,,,,,,,,,,,,,,Yes,,,,,2,10,5,1,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,2500,0,0,,,,,0,3000,0,0,0,0,0,0,0,
202052970307,ce5d0bf827e5441ead4563f118f07d41,1,SELLING PAILS,47,1,,1,1,,0,0,,,February,2005,Savings club,Loan from family/friends,,Mobile,,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,,,,,,,,,,,,,,Yes,,,,,1,5,8,2,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,0,25000,,,,,5000,0,0,6000,0,0,0,0,0,
202052980144,55b3189a49614bdebe07fab76e2038ea,1,Cooking and Selling mandasi,10,2,,2,2,,0,0,,,March,2017,Gift from family/friends,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,low,low,low,low,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,low,,Other (Specify),,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,4000,4000,,,-1500,2600,0,0,0,0,0,0,0,
202062990149,378ca64d87404b58b6a361aed0c79746,1,GROCERY,47,1,,1,1,,0,0,,,November,2003,Own-savings from agriculture,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,Not profitable,,,No,yes,,,,2,6,9,8,1,16,15,8,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,55000,80000,100000,,,,,-10000,40000,0,10000,0,0,0,0,15000,UNSPECIFIED FEES
202203010022,76edc9c574c14440b6c059f8029f9574,1,"""SELLING FIREWOOD """,47,2,,2,2,,0,0,,,June,2016,Proceeds from another business,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,yes,Purchased from someone else,,low,low,low,low,low,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,Lack of cash,,,Yes,,,,,2,18,8,3,4,2,6,1,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,15500,15500,18000,,,,,6000,0,0,0,0,0,0,0,0,
202203010022,76edc9c574c14440b6c059f8029f9574,2,"""SELLING MAIZE """,47,1,,1,1,,0,0,,,October,2015,Own-savings from agriculture,,,Other fixed place,No,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,,Lack of non-labour inputs,,,Yes,,,,,1,24,12,7,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,36000,,,2,60000,,,7000,0,0,2000,0,0,0,0,0,
202203010044,97c2281bced94fe98e619d76c9739f32,1,BUYING AND SELLING RICE,47,1,,2,1,,0,0,,,September,2013,Own-savings from agriculture,,,Mobile,,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,Lack of cash,,,Yes,,,,,1,22,9,7,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,48000,,,22000,48000,,,8,34000,0,5000,0,0,0,0,2000,AGRICULTURAL COSTS
202203010291,d2a8a4b82da944cf8bb7bee9ca8690a3,1,"""VEGETABLES ENTERPRISE """,47,2,,2,2,,0,0,,,August,2001,Own-savings from agriculture,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,2,22,12,3,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,40000,50000,,,18000,35000,0,0,0,0,0,0,0,
202203010380,67f46c1916964dd48481f445650689e4,1,QUARRY ENTERPRISE,8,1,,1,1,,0,0,,,April,2007,Loan from family/friends,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,Own-Illness/Need to care for household members,,,Yes,,,,,1,20,9,4,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,4500,8000,25000,,,,,3000,2500,0,3000,0,0,0,0,0,
202203010424,f7207825c66a4d2f8ad4e204fb647039,1,SELLING  CHARCOAL,47,1,,1,1,,0,0,,,March,2015,Gift from family/friends,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,low,low,,,low,,,,,,,,,,,,,,,No,yes,,,,2,2,12,3,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,5000,,,,,2500,3200,2000,0,0,300,0,0,0,0,200,PERSONAL / HOUSEHOLD USE
202203020034,f3708e2088734698a4c7d3d127f481bf,1,Selling mandasi,10,3,,2,3,,0,0,,,September,2016,Gift from family/friends,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,,,,,,,low,low,low,,,,,,,,,,,,,,,Yes,,,,,3,4,6,5,4,3,4,5,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,8000,,,,,2100,4800,2500,5500,0,0,0,0,0,0,0,
202203020207,ab948969974c44f5b57aaa6aa367aeb3,1,Selling second hand clothes,47,2,,2,2,,0,0,,,August,2016,Gift from family/friends,,,Mobile,,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,,,,,,,,,,,,,,No,yes,,,,5,1,2,5,2,8,5,5,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,22000,24000,28000,,,,,6000,18000,0,6000,0,0,0,0,0,
202203020355,b25ed4ce3af242fcbe61cf8b13e0319c,1,Bicycle Taxi,49,1,,1,1,,0,0,,,October,2015,Own-savings from agriculture,,,Mobile,,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,NOT OPERATE,NOT OPERATE,Not profitable,,,Yes,,,,,1,15,12,5,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,9600,,,,,,,3800,5000,0,0,850,0,0,0,1500,FOOD
203013040010,98a4ce5d5817484bad52b818ad5e1afa,1,SELLINGGROCERIES(SHOPATTHETC),47,1,2,2,1,2,0,0,,,March,2007,Own-savings from agriculture,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,Other (Specify),,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,,,,30000,80000,50000,0,3000,3000,0,0,0,
203013040096,bf44455f1f5b45faad89827ac5b2f517,1,"SELLING KACHASO, CHIBUKU AND OTHER PLASTIC BOTTLED LIQUOR",11,1,,1,1,2,0,0,,,February,2014,Own-savings from agriculture,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,Other (Specify),,THEFT OF BUSINESS INPUTS/CAPITAL,No,yes,,,,1,21,10,7,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,59000,,,,,30000,40000,18500,59000,59000,2500,0,0,0,0,6000,N/A
203013040139,b64a42ced4d9448bafb6a39953e36e9a,1,maize meal,10,1,,1,1,,0,0,,,April,2005,Own-savings from agriculture,,,Traditional market place,,,,Final consumers,,,no,yes,yes,no,no,,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,,Not profitable,,,Yes,,,,,1,28,8,7,4,6,3,7,5,6,3,7,,,,,,,,,,,,,2,31,53,14000,0,,,,0,,,,25000,30000,60000,,,,,18000,0,0,8000,16000,0,0,0,0,
203013040148,513d4183088248619a1ad3b4eebb2b4f,1,SELLING TO MANDASI,47,1,,1,1,,0,0,,,May,2015,Other (specify),,SAVINGS FROM WORK (UNSPECIFIED),Home (outside residence),,,,Final consumers,,,no,no,no,no,yes,Other (Specify),KUPHIRI,,NOT OPERATE,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,,Lack of credit,Other (Specify),USED MONEY FOR OTHER PURPOSES,Yes,,,,,2,9,2,5,3,5,2,3,1,15,2,5,4,15,5,3,,,,,,,,,0,,,,0,,,,0,,,,17000,,,,,8000,20000,7000,18550,1000,6000,0,0,0,0,0,
203013040198,aaf5aa7c40cf4347a65797d039ee7b02,1,mandazi bussines,10,1,,1,1,,0,0,,,June,2015,Loan from money lender,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,,NOT OPERATE,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,Lack of non-labour inputs,Not profitable,,No,yes,,,,1,18,3,8,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,9600,,,,,5000,8000,9600,8000,0,400,0,0,0,0,0,
203023050012,e8a375b9b4354dd0906c8c0269790d1f,1,GROCERY,47,1,,1,1,,0,0,,,November,2015,Own-savings from agriculture,,,Home (inside residence),,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,low,,,,,,,,,,,,,,,,,,,Yes,,,,,1,30,8,12,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,70000,100000,150000,,,,,-30000,0,80000,20000,0,0,0,0,0,
203023050040,4b2887627cff416d81d246ae48d545a1,1,Tearoom,11,1,,2,1,,0,0,,,November,2014,Own-savings from non-agriculture,,,Home (inside residence),,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,NOT OPERATE,,NOT OPERATE,NOT OPERATE,,NOT OPERATE,NOT OPERATE,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,Lack of cash,,,Yes,,,,,1,7,12,5,2,4,15,5,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,26800,6500,8000,,,,,6700,8950,0,0,0,0,0,0,0,
203023050082,b3acc36c01344e32b63fae986037a7ad,1,SELLING BLANKETS,47,1,,1,1,2,0,0,,,March,2014,Loan from family/friends,,,Mobile,,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,,,,,,,,,,,,,,No,yes,,,,1,24,6,4,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,100000,,,125000,150000,,,50000,55000,0,6000,0,0,0,0,0,
203023050152,716591bda1b84dfca3bcfaaa4f38c6a4,1,BREWING AND SELLING KACHASU,47,2,,2,2,,0,0,,,March,2004,Own-savings from agriculture,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,low,low,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,Seasonal work,Lack of non-labour inputs,,No,yes,,,,3,6,2,3,1,6,3,4,2,11,8,4,,,,,,,,,,,,,0,,,,0,,,,0,,,,3600,,,3600,8000,,,1600,3000,0,0,0,0,0,0,0,
203023060054,21090d6d11464518a536ab08887d1610,1,Selling firewood,2,2,,1,1,2,0,0,,,February,2016,No start-up capital,,,Other fixed place,No,,,Othersmall businesses,,,no,no,no,no,yes,Own land,,low,low,low,low,low,low,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,,,,Other (Specify),,PREGNANCY,Yes,,,,,2,4,3,7,1,1,1,3,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,2500,,,,,1500,2000,2500,0,0,0,0,0,0,0,0,
203023060082,2a26d0540a244b4bb0ad4121f3c0cf96,1,PETROLEUM ENTERPRISE,47,1,2,2,1,2,0,0,,,August,2015,Own-savings from agriculture,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,Not profitable,,,Yes,,,,,3,10,8,6,1,14,8,12,2,2,6,10,,,,,,,,,,,,,0,,,,0,,,,0,,,,38000,,,,,,,8920,31080,0,2000,2000,0,0,0,0,
203023060190,4b899a486aac449a814e7b1507550d3b,1,GATHERING AND SELLING GRASS,47,2,,1,2,,0,0,,,June,2009,No start-up capital,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,Not profitable,,,No,yes,,,,2,2,4,1,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,800,0,0,,,,,800,0,0,0,0,0,0,0,0,
203033070137,2540c3f73cc545fda99147101cef0545,1,"""Buying and selling of Agricultural products """,47,1,,1,1,,0,0,,,October,2014,Own-savings from agriculture,,,Home (outside residence),,,,Traders,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,low,low,low,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,Lack of cash,,,No,yes,,,,1,20,6,2,,,,,,,,,,,,,,,,,,,,,1,10,6,10000,0,,,,0,,,,300000,0,0,,,,,75000,0,215000,10000,0,0,0,0,0,
203033080021,f1039d98eb4a4a1a9a5d2071f6553fad,1,SELLINGZITUMBUWAATCHAMPHOYOPRIMARYSCHOOL,47,1,,1,1,,0,0,,,February,2015,Own-savings from agriculture,,,Other fixed place,No,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,Lack of credit,Other (Specify),USED MONEY FOR OTHER PURPOSES,No,yes,,,,1,12,4,3,2,12,3,2,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,7000,,,,,2000,4000,2000,5000,0,0,0,0,0,0,0,
203033080031,22836a8667bb452bb3432bb1e6a4247d,1,MOBILESELLINGSCONES(BUNS),47,1,,1,1,2,0,0,,,June,2016,Own-savings from agriculture,,,Mobile,,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,Lack of cash,,,Yes,,,,,1,4,3,1,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,6400,6400,6400,,,,,1500,0,0,0,0,0,0,0,0,
203033080031,22836a8667bb452bb3432bb1e6a4247d,2,SELLINGMEAT,47,1,,1,1,,0,0,,,September,2015,Other (specify),,SAVINGS FROM WORK (UNSPECIFIED),Other fixed place,No,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,Lack of cash,,,No,no,Other (Specify),,LOST INTEREST,1,2,6,4,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,15000,,,,,10000,12000,7000,0,0,0,0,0,0,0,0,
203033080129,3f4affbe05fa48bf8e0861db92148986,1,TRADITIONALDOCTOR,86,1,2,2,1,2,0,0,,,November,2012,No start-up capital,,,Home (inside residence),,,,Final consumers,,,no,no,yes,yes,yes,Forest/wild park reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,2,31,18,12,1,3,2,4,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,35000,,,,,8000,15000,35000,3000,0,0,0,0,0,0,1000,UNSPECIFIED FEES
203033080129,3f4affbe05fa48bf8e0861db92148986,2,SELLINGFIREWOOD,47,2,,2,2,,0,0,,,May,2016,No start-up capital,,,Home (inside residence),,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,Not profitable,,,Yes,,,,,5,1,1,1,4,1,1,1,2,10,2,1,,,,,,,,,,,,,0,,,,0,,,,0,,,,10000,,,,,10000,10000,10000,0,0,0,0,0,0,0,0,
203033080202,485caddbe84a40a59e39ccaa7b805058,1,SALESPETROL,47,1,,2,1,,0,0,,,June,2015,Own-savings from non-agriculture,,,Roadside,,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,,,,,,,,,,,,Other (Specify),,N/A,Yes,,,,,1,24,14,12,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,30000,,,15000,30000,,,10000,0,18000,1000,0,0,0,0,0,
203033090019,0205eaf11fca4dab859c2e4a34c173ab,1,Selling KACHASO,11,1,2,6,1,2,0,0,,,November,2016,Loan from family/friends,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,,,,,,,,,,,,,,No,no,Lack of cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,0,22000,,,-4000,20000,0,1500,0,0,0,0,400,GENERAL EXPENSES
203033090057,f290ad893e4c4f16a244b9ad677dd6b6,1,Tailoring,16,1,,2,1,,0,0,,,August,2008,Own-savings from agriculture,Sale of assets owned,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,Seasonal work,Not profitable,,Yes,,,,,1,6,15,11,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,15000,1500,3000,,,,,6500,2000,0,0,500,0,0,0,0,
203043100011,6a58ccb3580d4e8fa0a5059ac8ddcbef,1,TOMATO ENTERPRISE,47,1,,1,1,,0,0,,,September,2016,Own-savings from non-agriculture,,,Roadside,,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,NOT OPERATE,NOT OPERATE,,,,,Lack of cash,,,No,yes,,,,1,30,8,2,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,50000,,,30000,54000,,,30000,0,20000,5000,0,0,0,0,0,
203043100076,fe66f186f52c4a609f0ff625bfc373bd,1,RUNNING  A TEA ROOM,11,1,,1,1,,0,0,,,October,1990,Own-savings from agriculture,,,Home (inside residence),,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,Other (Specify),,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,2000,6000,0,2000,0,0,0,0,0,
203043100120,8d63229936c1434b8b5c8d4917e732c1,1,TOMATO ENTERPRISE,47,2,,2,2,,0,0,,,February,2010,Own-savings from agriculture,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,,,,,,,,,,,,,,,,,,,,Yes,,,,,5,24,2,12,2,30,6,12,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,60000,75000,80000,,,,,25000,0,30000,0,0,0,0,0,0,
203043120050,772b95fb182745968af5634f646a4d7e,1,BAKINGMANDAZI,10,2,,2,2,,0,0,,,April,2016,Own-savings from agriculture,,,Home (inside residence),,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,Lack of cash,,,Yes,,,,,1,10,50,3,2,21,40,3,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,65000,,,,,28000,35000,16000,800,45000,3600,0,0,0,0,0,
203043130025,109c4b36a85f42b7aab5c33f4fd85bd8,1,CHIPS BUSINESS,10,1,,1,1,,0,0,,,March,2007,Other (specify),,SAVINGS FROM WORK (UNSPECIFIED),Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,low,low,,,low,,,,,,,,,,,,,,,No,yes,,,,1,30,8,2,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,14000,,,7500,14000,,,4000,9000,0,1000,0,0,0,0,0,
203043130041,c3b69242bcc8437783f685de1c790beb,1,VEGETABLES BUSINESS,47,1,2,1,1,2,0,0,,,August,2016,Own-savings from agriculture,,,Mobile,,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,low,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,Seasonal work,,,No,yes,,,,1,6,4,3,2,18,4,3,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,35000,30000,45000,,,,,5000,0,25000,5000,0,0,0,0,0,
203043130216,7833a1d79b324e409854b8e280248b23,1,GROCERIES BUSINESS,47,3,,3,3,,0,0,,,April,2015,Own-savings from agriculture,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,low,NOT OPERATE,NOT OPERATE,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,Lack of cash,,,No,yes,,,,3,18,12,5,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,16000,,,18000,28000,,,7000,0,9000,0,0,1000,0,0,0,
