ea_id,com_ci0b,com_ci0b_oth,com_ci01,com_ci02,com_ci03,com_ci04,com_ci05,com_ci06,com_ci07a,com_ci07a_oth,com_ci07b,com_ci07b_oth,com_ci07c,com_ci07c_oth,com_ci08a,com_ci08a_oth,com_ci08b,com_ci08b_oth,com_ci08c,com_ci08c_oth,com_ci09a,com_ci09a_oth,com_ci09b,com_ci09b_oth,com_ci09c,com_ci09c_oth,com_ci010,com_ci011,com_ci012,com_ci12_oth,com_ci013,com_ci014
10620230,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10620230,Pasture,,Yes,yes,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,no,,,no,
10620230,Water Body: Specify,LAKE,Yes,no,yes,no,yes,yes,Use guards,,Use the threat of Fine,,,,No restrictions,,,,,,Use threat of fine,,Confiscation of tools/products,,,,Fully Effective,no,,,no,
10731231,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10731231,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10731231,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10731231,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10731231,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732232,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732232,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732232,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732232,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732232,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732233,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732233,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732233,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732233,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732233,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733234,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733234,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733234,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733234,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733234,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733235,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733235,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733235,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733235,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733235,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734236,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734236,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734236,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734236,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734236,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734237,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734237,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734237,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734237,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734237,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735240,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735240,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735240,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735240,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735240,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735241,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735241,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735241,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735241,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735241,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736242,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736242,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736242,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736242,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736242,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736243,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736243,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736243,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736243,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736243,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736244,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736244,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736244,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736244,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736244,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736245,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736245,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736245,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736245,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736245,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10737246,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10737246,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10737246,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10737246,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10737246,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10738247,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10738247,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10738247,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10738247,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10738247,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10739248,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10739248,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10739248,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10739248,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10739248,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10741249,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10741249,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10741249,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10741249,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10741249,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10743250,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10743250,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10743250,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10743250,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10743250,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744251,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744251,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744251,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744251,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744251,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744252,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744252,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744252,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744252,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744252,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744253,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744253,Forest,,Yes,no,yes,no,no,yes,Use guards,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Somewhat Effective,no,,,no,
10744253,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744253,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744253,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746254,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746254,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746254,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746254,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746254,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20101255,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20101255,Forest,,Yes,yes,yes,no,no,yes,Use the threat of Fine,,,,,,Time restrictions,,,,,,Use threat of fine,,Confiscation of tools/products,,,,Fully Effective,no,,,no,
20101255,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20101255,Water Body: Specify,WATER DAMS,Yes,yes,yes,no,no,yes,Use the threat of Fine,,,,,,No restrictions,,,,,,Do nothing,,,,,,Somewhat Effective,no,,,no,
20101255,Pasture,,Yes,yes,yes,no,no,yes,Use the threat of Fine,,,,,,Time restrictions,,,,,,Use threat of fine,,Confiscation of tools/products,,,,Somewhat Effective,no,,,no,
20101256,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20101256,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20101256,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20101256,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20101256,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20102257,Forest,,Yes,yes,yes,no,no,yes,Use the threat of Fine,,,,,,Limitations on number of users at a given time,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
20102257,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20102257,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20102257,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20102257,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20103258,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20103258,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20103258,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20103258,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20103258,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20105259,Forest,,Yes,yes,yes,no,yes,yes,Use the threat of Fine,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Somewhat Effective,no,,,no,
20105259,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20105259,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20105259,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20105259,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20105260,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20105260,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20105260,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20105260,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20105260,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20106261,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20106261,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20106261,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20106261,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20106261,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20107262,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20107262,Pasture,,Yes,no,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,no,,,no,
20107262,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20107262,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20107262,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20107263,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20107263,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20107263,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20107263,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20107263,Pasture,,Yes,no,yes,no,no,yes,Use guards,,,,,,No restrictions,,,,,,Do nothing,,,,,,Somewhat Effective,no,,,no,
20108264,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20108264,Forest,,Yes,yes,yes,yes,yes,no,,,,,,,No restrictions,,,,,,Use threat of fine,,Do nothing,,,,Somewhat Effective,no,,,no,
20108264,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20108264,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20108264,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20109265,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20109265,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20109265,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20109265,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20109265,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110266,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110266,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110266,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110266,Other (Specify),WATER DAMS,Yes,yes,yes,no,yes,yes,Use guards,,Use the threat of Fine,,,,Time restrictions,,No restrictions,,,,Use threat of fine,,,,,,Somewhat Effective,no,,,no,
20110266,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110267,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110267,Water Body: Specify,WATER DAMS,Yes,yes,yes,yes,yes,yes,Use the threat of Fine,,,,,,Time restrictions,,,,,,Use threat of fine,,Confiscation of tools/products,,,,Fully Effective,no,,,no,
20110267,Forest,,Yes,yes,no,no,no,yes,Use the threat of Fine,,,,,,Time restrictions,,,,,,Use threat of fine,,Confiscation of tools/products,,,,Fully Effective,no,,,no,
20110267,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110267,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110268,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110268,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110268,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110268,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110268,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111269,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111269,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111269,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111269,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111269,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111270,Forest,,Yes,yes,yes,no,no,no,,,,,,,Time restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
20111270,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111270,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111270,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111270,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111271,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111271,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111271,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111271,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111271,Pasture,,Yes,yes,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,no,,,no,
20112272,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112272,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112272,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112272,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112272,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112273,Forest,,Yes,yes,yes,no,yes,yes,Use guards,,Use the threat of Fine,,,,Time restrictions,,Limitations on number of users at a given time,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
20112273,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112273,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112273,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112273,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112274,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112274,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112274,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112274,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112274,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20113275,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20113275,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20113275,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20113275,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20113275,Unallocated Arable Land,,Yes,yes,yes,no,no,no,,,,,,,Time restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
20113276,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20113276,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20113276,Forest,,Yes,yes,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,no,,,no,
20113276,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20113276,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120277,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120277,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120277,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120277,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120277,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120278,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120278,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120278,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120278,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120278,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201279,Unallocated Arable Land,,Yes,yes,yes,no,yes,no,,,,,,,Time restrictions,,,,,,Use threat of fine,,Taking away [RESOURCE] use rights,,,,Somewhat Effective,no,,,no,
20201279,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201279,Pasture,,Yes,no,no,no,no,no,,,,,,,Time restrictions,,,,,,Use threat of fine,,Taking away [RESOURCE] use rights,,,,Somewhat Effective,no,,,no,
20201279,Water Body: Specify,LAKE,Yes,yes,yes,yes,yes,yes,Use the threat of Fine,,,,,,Time restrictions,,,,,,Do nothing,,,,,,Not Effective,no,,,no,
20201279,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201280,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201280,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201280,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201280,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201280,Unallocated Arable Land,,Yes,yes,no,no,yes,yes,Use the threat of Fine,,Use the threat of Physical punishment,,,,No restrictions,,,,,,Do nothing,,,,,,Somewhat Effective,no,,,no,
20201281,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201281,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201281,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201281,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201281,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201282,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201282,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201282,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201282,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201282,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201283,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201283,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201283,Water Body: Specify,LAKE,Yes,no,yes,no,no,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,no,,,no,
20201283,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201283,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201284,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201284,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201284,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201284,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201284,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201285,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201285,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201285,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201285,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201285,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20202286,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20202286,Forest,,Yes,yes,yes,no,no,yes,Use the threat of Fine,,,,,,No restrictions,,,,,,Use threat of fine,,Use the threat of physical punishment,,,,Fully Effective,yes,CONVERT INTO FOREST RESERVE,,no,
20202286,Pasture,,Yes,no,yes,no,no,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,no,,,no,
20202286,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20202286,Water Body: Specify,WATER DAMS,Yes,yes,yes,no,yes,yes,Use the threat of Fine,,,,,,Time restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
20203287,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20203287,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20203287,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20203287,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20203287,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20203288,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20203288,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20203288,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20203288,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20203288,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20203289,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20203289,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20203289,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20203289,Water Body: Specify,WATER DAMS,Yes,no,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,no,,,no,
20203289,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20203290,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20203290,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
