ea_id,com_ce01a,com_ce01a_oth,com_ce01b,com_ce01b_oth,com_ce01c,com_ce01c_oth,com_ce02,com_ce03,com_ce04,com_ce05a,com_ce05a_oth,com_ce05b,com_ce05b_oth,com_ce06,com_ce07,com_ce08_1,com_ce08_2,com_ce08a,com_ce08a_oth,com_ce08b,com_ce08b_oth,com_ce09,com_ce10,com_ce11a,com_ce11b,com_ce12,com_ce13,com_ce14a,com_ce14b,com_ce15
10601228,fishing,,,,,,yes,ALMOST NONE,RURAL AREAS,fishing,,,,yes,RURAL AREAS,2000,1000,fishing,,,,yes,600,1,day,ALMOST NONE,600,1,day,1/4
10601229,fishing,,,,,,yes,ALMOST NONE,RURAL AREAS,fishing,,,,yes,RURAL AREAS,1000,1000,fishing,,,,yes,600,1,day,ALMOST NONE,1000,1,day,ALMOST NONE
10620230,fishing,,PROFESSIONAL OCCUPATIONS,,,,yes,ALMOST NONE,RURAL AREAS,fishing,,,,yes,RURAL AREAS,1000,1000,fishing,,,,yes,600,1,day,ALMOST NONE,600,1,day,1/4
10731231,farming,BRICK LAYING,OTHER (SPECIFY),BRICK LAYING,,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,2000,1500,farming,,,,yes,600,1,day,ALMOST NONE,600,1,day,1/4
10732232,SMALL-SCALE TRADE & SERVICE PROVISION,,"FIREWOOD,CHARCOAL SELLING",,CIVIL SERVICE,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,1000,transport,DOMESTIC HOUSEWORK,OTHER (SPECIFY),DOMESTIC HOUSEWORK,yes,7200,12,day,1/4,7200,12,day,3/4
10732233,farming,,LARGE-SCALE COMMERCIAL INDUSTRY,,CIVIL SERVICE,,yes,1/4,URBAN CENTRES,OTHER (SPECIFY),,,,yes,URBAN CENTERS,1000,700,OTHER (SPECIFY),CASUAL LABOR(GANYU),,,yes,600,1,day,1/4,600,1,day,3/4
10733234,SMALL-SCALE TRADE & SERVICE PROVISION,,"FIREWOOD,CHARCOAL SELLING",,CIVIL SERVICE,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,1000,OTHER (SPECIFY),DOMESTIC HOUSEWORK,,,yes,7200,12,day,1/4,7200,12,day,3/4
10733235,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,"FIREWOOD,CHARCOAL SELLING",,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,1000,OTHER (SPECIFY),DOMESTIC HOUSEWORK,,,yes,600,1,day,1/4,600,1,day,3/4
10734236,SMALL-SCALE TRADE & SERVICE PROVISION,BRICK LAYING,transport,BRICK LAYING,OTHER (SPECIFY),BRICK LAYING,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,URBAN CENTERS,1000,1000,OTHER (SPECIFY),CASUAL LABOR(GANYU),,,yes,7200,12,day,1/4,7200,12,day,3/4
10734237,SMALL-SCALE TRADE & SERVICE PROVISION,,transport,,CIVIL SERVICE,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,800,farming,MOUDLING BRICKS,OTHER (SPECIFY),MOUDLING BRICKS,yes,7200,12,day,1/4,7200,12,day,3/4
10735240,SMALL-SCALE TRADE & SERVICE PROVISION,EMPLOYMENT (UNSPECIFIED),CIVIL SERVICE,EMPLOYMENT (UNSPECIFIED),OTHER (SPECIFY),EMPLOYMENT (UNSPECIFIED),yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,500,500,OTHER (SPECIFY),CASUAL LABOR(GANYU),,,yes,7200,12,day,1/4,7200,12,day,3/4
10735241,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,"FIREWOOD,CHARCOAL SELLING",,no,,,,,,,yes,RURAL AREAS,1000,1000,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,600,1,day,1/4,600,1,day,3/4
10736242,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,"FIREWOOD,CHARCOAL SELLING",,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,URBAN CENTERS,1000,1000,OTHER (SPECIFY),CASUAL LABOR(GANYU),,,yes,7200,12,day,1/4,7200,12,day,3/4
10736243,SMALL-SCALE TRADE & SERVICE PROVISION,PRIVATEINDIVIDUAL,transport,PRIVATE INDIVIDUAL,OTHER (SPECIFY),PRIVATE INDIVIDUAL,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,URBAN CENTERS,1000,1000,OTHER (SPECIFY),DOMESTIC HOUSEWORK,,,yes,600,1,day,1/4,600,1,day,3/4
10736244,SMALL-SCALE TRADE & SERVICE PROVISION,EMPLOYMENT (UNSPECIFIED),CIVIL SERVICE,EMPLOYMENT (UNSPECIFIED),OTHER (SPECIFY),EMPLOYMENT (UNSPECIFIED),yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,URBAN CENTERS,1000,1000,OTHER (SPECIFY),CASUAL LABOR(GANYU),SMALL-SCALE TRADE & SERVICE PROVISION,CASUAL LABOR(GANYU),yes,600,1,day,1/4,600,1,day,3/4
10736245,SMALL-SCALE TRADE & SERVICE PROVISION,,LARGE-SCALE COMMERCIAL INDUSTRY,,CIVIL SERVICE,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,2000,2000,OTHER (SPECIFY),BUILDER,transport,BUILDER,yes,600,1,day,1/4,600,1,day,3/4
10737246,CIVIL SERVICE,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,,,,,,yes,URBAN CENTERS,2000,2000,OTHER (SPECIFY),DOMESTIC HOUSEWORK,,,yes,600,1,day,1/4,600,1,day,3/4
10738247,LARGE-SCALE COMMERCIAL INDUSTRY,,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,1000,OTHER (SPECIFY),SALESPERSON,,,yes,600,1,day,1/2,600,1,day,1/2
10739248,SMALL-SCALE TRADE & SERVICE PROVISION,BRICK LAYING,OTHER (SPECIFY),BRICK LAYING,CIVIL SERVICE,BRICK LAYING,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,URBAN CENTERS,1500,1500,OTHER (SPECIFY),DOMESTIC HOUSEWORK,,,yes,600,1,day,1/4,600,1,day,3/4
10741249,SMALL-SCALE TRADE & SERVICE PROVISION,EMPLOYMENT (UNSPECIFIED),CIVIL SERVICE,EMPLOYMENT (UNSPECIFIED),OTHER (SPECIFY),EMPLOYMENT (UNSPECIFIED),no,,,,,,,yes,RURAL AREAS,1000,1000,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,600,1,day,1/4,600,1,day,3/4
10743250,CIVIL SERVICE,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,,,,,,yes,URBAN CENTERS,1000,1000,OTHER (SPECIFY),CASUAL LABOR(GANYU),,,yes,7200,12,day,1/4,7200,12,day,3/4
10744251,SMALL-SCALE TRADE & SERVICE PROVISION,SECURITY,CIVIL SERVICE,SECURITY,OTHER (SPECIFY),SECURITY,no,,,,,,,yes,RURAL AREAS,1000,1000,OTHER (SPECIFY),CASUAL LABOR(GANYU),,,yes,600,1,day,1/4,600,1,day,3/4
10744252,SMALL-SCALE TRADE & SERVICE PROVISION,CASUAL LABOUR UNSPECIFIED(GANYU),farming,CASUAL LABOUR UNSPECIFIED(GANYU),OTHER (SPECIFY),CASUAL LABOUR UNSPECIFIED(GANYU),yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,1000,farming,,,,yes,600,1,day,1/4,600,1,day,3/4
10744253,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,URBAN CENTERS,1000,1000,farming,DOMESTIC HOUSEWORK,OTHER (SPECIFY),DOMESTIC HOUSEWORK,yes,600,1,day,3/4,600,1,day,1/4
10746254,SMALL-SCALE TRADE & SERVICE PROVISION,CASUAL LABOUR UNSPECIFIED(GANYU),OTHER (SPECIFY),CASUAL LABOUR UNSPECIFIED(GANYU),transport,CASUAL LABOUR UNSPECIFIED(GANYU),yes,1/4,RURAL AREAS,OTHER (SPECIFY),,,,yes,URBAN CENTERS,1000,1000,OTHER (SPECIFY),BUILDER,SMALL-SCALE TRADE & SERVICE PROVISION,BUILDER,yes,600,1,day,1/4,600,1,day,3/4
20101255,farming,,"BEER BREWING, KACHASU",,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,RURAL AREAS,1000,1000,farming,,CIVIL SERVICE,,yes,600,1,day,1/4,600,1,day,1/4
20101256,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
20102257,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
20103258,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"FIREWOOD,CHARCOAL SELLING",,yes,1/4,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,RURAL AREAS,1000,1000,farming,,,,yes,600,1,day,1/4,600,1,day,1/2
20105259,farming,,"FIREWOOD,CHARCOAL SELLING",,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,RURAL AREAS,1000,1000,farming,,"FIREWOOD,CHARCOAL SELLING",,no,,,,,,,,
20105260,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,RURAL AREAS,1000,1000,farming,,,,yes,600,1,day,1/4,600,1,day,1/4
20106261,farming,,,,,,no,,,,,,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
20107262,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,,,,,,yes,RURAL AREAS,700,500,farming,,,,no,,,,,,,,
20107263,farming,,,,,,no,,,,,,,no,,500,300,,,,,no,,,,,,,,
20108264,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
20109265,farming,,CIVIL SERVICE,,,,yes,3/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,farming,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
20110266,farming,,,,,,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
20110267,farming,,"BEER BREWING, KACHASU",,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,URBAN CENTRES,CIVIL SERVICE,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,570,570,farming,,CIVIL SERVICE,,no,,,,,,,,
20110268,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
20111269,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,500,500,farming,,,,yes,600,1,day,1/4,600,1,day,1/4
20111270,farming,,"FIREWOOD,CHARCOAL SELLING",,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
20111271,farming,,"FIREWOOD,CHARCOAL SELLING",,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
20112272,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,URBAN CENTRES,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
20112273,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,yes,1/4,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
20112274,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,PROFESSIONAL OCCUPATIONS,,no,,,,,,,yes,URBAN CENTERS,500,500,farming,,,,no,,,,,,,,
20113275,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"FIREWOOD,CHARCOAL SELLING",,yes,ALMOST NONE,RURAL AREAS,farming,,,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
20113276,farming,,"FIREWOOD,CHARCOAL SELLING",,"BEER BREWING, KACHASU",,yes,1/4,RURAL AREAS,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
20120277,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,transport,,no,,,,,,,yes,RURAL AREAS,2000,2000,farming,,,,yes,12400,24,day,1/4,12400,24,day,1/4
20120278,farming,,"FIREWOOD,CHARCOAL SELLING",,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,RURAL AREAS,1000,1000,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,14400,24,day,1/4,14400,24,day,1/4
20201279,fishing,,farming,,,,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,500,200,fishing,,,,no,,,,,,,,
20201280,farming,CASUAL LABOUR UNSPECIFIED(GANYU),SMALL-SCALE TRADE & SERVICE PROVISION,CASUAL LABOUR UNSPECIFIED(GANYU),OTHER (SPECIFY),CASUAL LABOUR UNSPECIFIED(GANYU),yes,1/4,URBAN CENTRES,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,2000,1500,farming,,CIVIL SERVICE,,yes,14400,1,month,1/4,14400,1,month,1/4
20201281,PROFESSIONAL OCCUPATIONS,,CIVIL SERVICE,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,yes,RURAL AREAS,1300,1300,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,,
20201282,farming,,CIVIL SERVICE,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,yes,RURAL AREAS,1600,1600,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,,
20201283,farming,,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,OUTSIDE MALAWI,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,4000,3000,farming,,fishing,,yes,7200,12,day,1/4,7200,12,day,1/4
20201284,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,1/4,OUTSIDE MALAWI,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,2000,2000,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,600,1,day,1/4,600,1,day,1/4
20201285,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,OUTSIDE MALAWI,transport,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,3000,2000,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,14000,24,day,1/2,14000,24,day,1/2
20202286,farming,,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,OUTSIDE MALAWI,farming,,,,yes,RURAL AREAS,3000,3000,farming,,fishing,,yes,14400,1,month,1/4,14400,1,month,1/4
20203287,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,1/4,RURAL AREAS,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,5000,6000,CIVIL SERVICE,,PROFESSIONAL OCCUPATIONS,,no,,,,,,,,
20203288,farming,,CIVIL SERVICE,,,,no,,,,,,,no,,5000,2500,,,,,yes,600,1,day,1/4,600,1,day,1/4
20203289,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,1/4,RURAL AREAS,farming,,CIVIL SERVICE,,yes,RURAL AREAS,2000,2000,farming,,CIVIL SERVICE,,yes,600,1,day,1/4,600,1,day,1/4
20203290,farming,,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,RURAL AREAS,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,5000,3000,SMALL-SCALE TRADE & SERVICE PROVISION,,fishing,,yes,600,1,day,1/4,600,1,day,1/4
20203291,farming,,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,RURAL AREAS,fishing,,,,yes,RURAL AREAS,5000,2000,farming,,,,yes,7200,12,day,1/4,7200,12,day,3/4
20204293,farming,,CIVIL SERVICE,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,yes,RURAL AREAS,1000,500,farming,,CIVIL SERVICE,,yes,14400,24,day,1/4,14400,24,day,1/4
20205294,farming,,fishing,,CIVIL SERVICE,,yes,1/4,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,yes,RURAL AREAS,2000,500,fishing,,farming,,no,,,,,,,,
20205295,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,RURAL AREAS,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,farming,,yes,RURAL AREAS,2000,1500,farming,,CIVIL SERVICE,,no,,,,,,,,
20205296,CIVIL SERVICE,,farming,,fishing,,no,,,,,,,yes,RURAL AREAS,1000,1000,fishing,,farming,,no,,,,,,,,
20205297,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,RURAL AREAS,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,1000,500,,,,,no,,,,,,,,
20205298,farming,,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,yes,RURAL AREAS,2000,1500,fishing,,farming,,yes,600,1,day,1/4,600,600,day,1/4
20206299,farming,,CIVIL SERVICE,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,RURAL AREAS,farming,,,,no,,3000,2500,,,,,yes,7200,2,week,1/4,7200,2,week,1/4
20206300,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,RURAL AREAS,farming,,LARGE-SCALE COMMERCIAL INDUSTRY,,no,,2000,2000,,,,,no,,,,,,,,
20220301,SMALL-SCALE TRADE & SERVICE PROVISION,,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,CIVIL SERVICE,,yes,1/4,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,yes,RURAL AREAS,3000,2000,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,,
20220302,farming,,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,fishing,,yes,RURAL AREAS,3000,1000,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,600,1,day,1/4,600,1,day,1/4
20301303,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,no,,,,,,,yes,RURAL AREAS,1000,1000,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,,,yes,14400,24,day,1/4,14400,24,day,ALMOST NONE
20301304,farming,,,,,,no,,,,,,,yes,RURAL AREAS,2000,1500,farming,,,,no,,,,,,,,
20302305,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,,,,,,no,,1000,500,,,,,no,,,,,,,,
20302306,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,ALMOST NONE,RURAL AREAS,farming,,,,no,,1500,1500,,,,,no,,,,,,,,
20303307,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,,,,,,no,,500,500,,,,,no,,,,,,,,
20303308,farming,,CIVIL SERVICE,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,ALMOST NONE,RURAL AREAS,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,4000,4000,farming,,CIVIL SERVICE,,no,,,,,,,,
20303309,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,,,,,,no,,1000,1000,,,,,no,,,,,,,,
20304310,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,no,,,,,,,no,,1000,1000,,,,,yes,7200,12,day,1/4,7200,12,day,1/4
20304311,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,RURAL AREAS,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,1000,3000,farming,,,,no,,,,,,,,
20304313,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,,,,,,no,,1000,1000,,,,,yes,7200,12,day,1/4,7200,12,day,1/4
20304314,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,RURAL AREAS,3000,1000,farming,,CIVIL SERVICE,,no,,,,,,,,
20304315,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,RURAL AREAS,farming,,CIVIL SERVICE,,no,,1000,1000,,,,,yes,600,1,day,1/4,600,1,day,1/4
20305316,farming,,,,,,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,786,786,farming,,,,no,,,,,,,,
20305317,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,1500,1500,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,,
20305318,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,1/4,URBAN CENTRES,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,2000,1000,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,600,1,day,1/4,600,1,day,1/2
20305319,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,no,,,,,,,no,,500,500,,,,,no,,,,,,,,
20305320,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,1/4,RURAL AREAS,farming,,CIVIL SERVICE,,yes,RURAL AREAS,3000,3000,farming,,CIVIL SERVICE,,no,,,,,,,,
20305321,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,yes,1/4,URBAN CENTRES,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,farming,,yes,RURAL AREAS,2000,1000,farming,,CIVIL SERVICE,,no,,,,,,,,
20306322,farming,,"BEER BREWING, KACHASU",,"FIREWOOD,CHARCOAL SELLING",,yes,1/4,URBAN CENTRES,"FIREWOOD,CHARCOAL SELLING",,farming,,no,,1000,1000,,,,,no,,,,,,,,
20306323,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,,,,,,no,,2000,2000,,,,,no,,,,,,,,
20306324,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,URBAN CENTRES,farming,,,,no,,150,100,,,,,no,,,,,,,,
20306325,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,,,,,,no,,1000,1000,,,,,yes,7200,12,day,1/4,7200,12,day,1/4
20320326,SMALL-SCALE TRADE & SERVICE PROVISION,,farming,,CIVIL SERVICE,,yes,1/4,RURAL AREAS,farming,,PROFESSIONAL OCCUPATIONS,,yes,RURAL AREAS,3000,2000,farming,,CIVIL SERVICE,,no,,,,,,,,
20401327,farming,,"BEER BREWING, KACHASU",,"FIREWOOD,CHARCOAL SELLING",,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
20401328,farming,,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,"BEER BREWING, KACHASU",,yes,1/2,RURAL AREAS,farming,,,,yes,RURAL AREAS,1000,1000,farming,,CIVIL SERVICE,,no,,,,,,,,
20401329,farming,,"FIREWOOD,CHARCOAL SELLING",,"BEER BREWING, KACHASU",,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,RURAL AREAS,1000,1000,farming,,,,yes,15000,1,month,1/4,15000,1,month,1/4
20402330,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,RURAL AREAS,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,1000,1000,farming,,,,yes,450,1,day,1/4,450,1,day,1/2
20402331,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
20402332,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/2,RURAL AREAS,farming,,,,yes,RURAL AREAS,600,600,farming,,,,no,,,,,,,,
20402333,farming,,,,,,no,,,,,,,no,,1000,1000,,,,,yes,7200,12,day,1/4,7200,12,day,1/4
20402334,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,1/4,URBAN CENTRES,farming,,CIVIL SERVICE,,yes,RURAL AREAS,1000,1000,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,,
20403335,farming,,fishing,,,,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,1000,1000,farming,,,,yes,14400,1,month,1/4,144400,1,month,1/4
20403336,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
20403337,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,RURAL AREAS,1000,1000,farming,,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,yes,600,1,day,1/4,600,1,day,1/4
