ea_id,com_ci0b,com_ci01,com_ci0b_oth,com_ci02,com_ci03,com_ci04,com_ci05,com_ci06,com_ci07a,com_ci07a_oth,com_ci07b,com_ci07b_oth,com_ci07c,com_ci07c_oth,com_ci08a,com_ci08a_oth,com_ci08b,com_ci08b_oth,com_ci08c,com_ci08c_oth,com_ci09a,com_ci09a_oth,com_ci09b,com_ci09b_oth,com_ci09c,com_ci09c_oth,com_ci010,com_ci011,com_ci012,com_ci12_oth,com_ci013,com_ci014
20206275,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206276,Forest,Yes,,NO,YES,YES,NO,YES,Use the threat of Fine,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Somewhat Effective,NO,,,NO,
20206276,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206276,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206276,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206276,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206277,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206277,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206277,Forest,Yes,,YES,YES,YES,YES,YES,Use the threat of Fine,,,,,,Rotation among groups of families,SELLING,Other (Specify),SELLING,,,Use threat of fine,,Confiscation of tools/products,,,,Somewhat Effective,NO,,,YES,YES
20206277,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206277,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206278,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206278,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206278,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206278,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206278,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206279,Forest,Yes,,YES,YES,NO,NO,NO,,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20206279,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206279,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206279,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206279,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206280,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206280,Unallocated Arable Land,Yes,,YES,YES,NO,NO,YES,Use the threat of Fine,,,,,,Time restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20206280,Forest,Yes,,YES,YES,YES,NO,YES,Use the threat of Fine,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Somewhat Effective,NO,,,NO,
20206280,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206280,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20207282,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20207282,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20207282,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20207282,Forest,Yes,,NO,NO,NO,NO,YES,Use the threat of Fine,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Somewhat Effective,NO,,,NO,
20207282,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220283,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220283,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220283,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220283,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220283,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20301284,Unallocated Arable Land,Yes,,YES,NO,NO,NO,YES,Use the threat of Fine,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20301284,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20301284,Forest,Yes,,YES,YES,YES,NO,YES,Use the threat of Fine,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20301284,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20301284,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20302285,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20302285,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20302285,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20302285,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20302285,Forest,Yes,,YES,YES,YES,NO,YES,Use the threat of Fine,,,,,,Other (Specify),INFUNERALCEREMONIES,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20302286,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20302286,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20302286,Forest,Yes,,YES,YES,NO,NO,NO,,,,,,,Rotation among groups of families,,,,,,Use threat of fine,,Confiscation of tools/products,,,,Fully Effective,NO,,,NO,
20302286,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20302286,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303287,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303287,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303287,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303287,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303287,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303288,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303288,Forest,Yes,,YES,YES,YES,NO,NO,,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20303288,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303288,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303288,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303289,Forest,Yes,,YES,YES,NO,NO,NO,,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20303289,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303289,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303289,Pasture,Yes,,NO,NO,NO,NO,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
20303289,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303290,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303290,Other (Specify),Yes,BOLEHO,NO,YES,NO,NO,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
20303290,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303290,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303290,Forest,Yes,,YES,YES,YES,NO,NO,,,,,,,Rotation among groups of families,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
20303292,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303292,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303292,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303292,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303292,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20304293,Forest,Yes,,YES,YES,YES,NO,NO,,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20304293,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20304293,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20304293,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20304293,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20304294,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20304294,Forest,Yes,,YES,YES,NO,NO,YES,Use the threat of Fine,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,NO,,,NO,
20304294,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20304294,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20304294,Unallocated Arable Land,Yes,,YES,YES,NO,NO,YES,Use the threat of Fine,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20305295,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305295,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305295,Forest,Yes,,YES,YES,NO,NO,NO,,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20305295,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305295,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305296,Forest,Yes,,NO,YES,YES,NO,YES,Use the threat of Fine,,,,,,Time restrictions,,,,,,Use threat of fine,,,,,,Somewhat Effective,NO,,,NO,
20305296,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305296,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305296,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305296,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305297,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305297,Forest,Yes,,YES,YES,YES,NO,YES,Use the threat of Fine,,,,,,Other (Specify),SELLING,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20305297,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305297,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305297,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305298,Pasture,Yes,,NO,NO,NO,NO,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
20305298,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305298,Forest,Yes,,YES,NO,YES,NO,YES,Use the threat of Fine,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20305298,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305298,Water Body: Specify,Yes,WATER DAMS,YES,NO,NO,NO,YES,Use the threat of Fine,,,,,,Time restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20305299,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305299,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305299,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305299,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20305299,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20306300,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20306300,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20306300,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20306300,Forest,Yes,,YES,YES,YES,YES,YES,Use the threat of Physical punishment,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Not Effective,NO,,,NO,
20306300,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20307301,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20307301,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20307301,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20307301,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20307301,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20307302,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20307302,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20307302,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20307302,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20307302,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20307303,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20307303,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20307303,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20307303,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20307303,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20320304,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20320304,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20320304,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20320304,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20320304,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20401305,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20401305,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20401305,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20401305,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20401305,Pasture,Yes,,NO,NO,YES,YES,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
20401306,Pasture,Yes,,NO,NO,NO,YES,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
20401306,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20401306,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20401306,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20401306,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402307,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402307,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402307,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402307,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402307,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402308,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402308,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402308,Pasture,Yes,,NO,NO,NO,YES,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
20402308,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402308,Forest,Yes,,YES,NO,YES,YES,YES,Use the threat of Fine,,,,,,Limitations on number of users at a given time,,Time restrictions,,,,Use threat of fine,,,,,,Not Effective,NO,,,NO,
20402309,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402309,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402309,Forest,Yes,,YES,YES,NO,NO,YES,Use the threat of Fine,,,,,,Other (Specify),MONETARY CONTRIBUTION,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20402309,Pasture,Yes,,NO,YES,NO,YES,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,NO,,,NO,
20402309,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402310,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402310,Pasture,Yes,,NO,NO,NO,YES,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
20402310,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402310,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402310,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402311,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402311,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402311,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402311,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402311,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20403312,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20403312,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20403312,Forest,Yes,,YES,YES,NO,NO,NO,,,,,,,Time restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20403312,Pasture,Yes,,NO,NO,NO,NO,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
20403312,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20403313,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20403313,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20403313,Pasture,Yes,,NO,NO,NO,YES,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
20403313,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20403313,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20404314,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20404314,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20404314,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20404314,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20404314,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20404315,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20404315,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20404315,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20404315,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20404315,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20404316,Forest,Yes,,YES,YES,NO,NO,YES,Use the threat of Fine,,,,,,Time restrictions,,,,,,Use threat of fine,,Social sanctions,,,,Fully Effective,NO,,,NO,
20404316,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20404316,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20404316,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20404316,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405317,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405317,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405317,Forest,Yes,,YES,NO,NO,NO,NO,,,,,,,Limitations on number of users at a given time,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20405317,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405317,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405318,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405318,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405318,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405318,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405318,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405319,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405319,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405319,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405319,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405319,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405320,Pasture,Yes,,YES,YES,NO,YES,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
20405320,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405320,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405320,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20405320,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20406321,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20406321,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20406321,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20406321,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20406321,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20406322,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20406322,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20406322,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20406322,Forest,Yes,,YES,YES,YES,YES,YES,Use the threat of Fine,,,,,,Limitations on number of users at a given time,,,,,,Use threat of fine,,,,,,Not Effective,NO,,,NO,
20406322,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20406323,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20406323,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20406323,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20406323,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20406323,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20407324,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20407324,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20407324,Pasture,Yes,,YES,NO,NO,NO,YES,Use the threat of Fine,,,,,,Time restrictions,,Limitations on number of users at a given time,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
20407324,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20407324,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20421325,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20421325,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20421325,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20421325,Other (Specify),.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20421325,Pasture,Yes,,YES,YES,NO,NO,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
20501326,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20501326,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20501326,Forest,Yes,,YES,YES,NO,NO,YES,Use guards,,,,,,Other (Specify),SOLDIERS,,,,,Use the threat of physical punishment,,Discriminaton at future handouts,,,,Fully Effective,NO,,,YES,YES
20501326,Water Body: Specify,Yes,LAKE,NO,YES,NO,YES,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,YES,YES
20501326,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20501327,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20501327,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20501327,Pasture,Yes,,YES,YES,NO,NO,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,NO,,,NO,
20501327,Forest,Yes,,YES,YES,NO,NO,YES,Use guards,,Use the threat of Physical punishment,,Use the threat of Fine,,Time restrictions,,Limitations on number of users at a given time,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20501327,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20501328,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20501328,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20501328,Forest,Yes,,YES,YES,NO,NO,YES,Use the threat of Fine,,Use the threat of Physical punishment,,,,Time restrictions,,Limitations on number of users at a given time,,,,Use threat of fine,,Taking away [RESOURCE] use rights,,Use the threat of physical punishment,,Fully Effective,NO,,,NO,
20501328,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20501328,Pasture,Yes,,YES,YES,YES,NO,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
20502329,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20502329,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20502329,Forest,Yes,,YES,NO,NO,NO,YES,Use the threat of Fine,,Use the threat of Physical punishment,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,NO,,,NO,
20502329,Other (Specify),.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20502329,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20502330,Forest,Yes,,YES,YES,YES,NO,NO,,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20502330,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20502330,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20502330,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20502330,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20502331,Forest,Yes,,YES,YES,NO,NO,YES,Use the threat of Fine,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,NO,,,NO,
20502331,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
