hhID,plotID,plot_area_reported,crop_area_share,planting_month,planting_year,crop,harvest_month_begin,harvest_year_begin,harvest_month_end,harvest_year_end,season,adm1,adm2,adm3,adm4,latitude,longitude,GPS_level,plot_area_measured,harvest_month,harvest_year,source,country
H0670802,3,0.08093889234327478,100,5,2016,Sweet potatoes,NA,NA,NA,NA,second,Mityana,Busimbi,Ttamu,Kito-gayaza,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0670802,2,0.242816683060242,50,3,2016,Beans,NA,NA,NA,NA,second,Mityana,Busimbi,Ttamu,Kito-gayaza,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0670901,1,0.16187778468654956,40,3,2015,Cassava,NA,NA,NA,NA,first,Mityana,Busimbi,Ttamu,Kito-gayaza,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0670901,1,0.16187778468654956,60,9,2015,Groundnuts,NA,NA,NA,NA,first,Mityana,Busimbi,Ttamu,Kito-gayaza,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0670901,3,0.20234722784297854,50,8,2015,Irish potatoes,NA,NA,NA,NA,first,Mityana,Busimbi,Ttamu,Kito-gayaza,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0670901,3,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Mityana,Busimbi,Ttamu,Kito-gayaza,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0671001,5,0.08093889234327478,NA,10,2015,Sweet potatoes,NA,NA,NA,NA,first,Mityana,Busimbi,Ttamu,Kito-gayaza,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0671001,3,0.20234722784297854,100,5,2016,Sweet potatoes,NA,NA,NA,NA,second,Mityana,Busimbi,Ttamu,Kito-gayaza,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0671001,4,0.121408341530121,40,8,2015,Beans,11,2014,12,2014,first,Mityana,Busimbi,Ttamu,Kito-gayaza,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0671001,1,NA,NA,NA,NA,Banana food,6,2014,12,2014,first,Mityana,Busimbi,Ttamu,Kito-gayaza,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0671001,4,0.121408341530121,60,8,2015,Maize,11,2014,12,2014,first,Mityana,Busimbi,Ttamu,Kito-gayaza,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0671001,4,0.121408341530121,40,8,2015,Beans,11,2014,11,2014,first,Mityana,Busimbi,Ttamu,Kito-gayaza,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0671001,2,NA,NA,NA,NA,Banana beer,6,2014,12,2014,first,Mityana,Busimbi,Ttamu,Kito-gayaza,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680101,3,0.08093889234327478,100,3,2016,Groundnuts,NA,NA,NA,NA,second,Mityana,Ssekanyonyi,Busunju Ward,Kibubula B,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680101,4,0.20234722784297854,100,3,2016,Irish potatoes,NA,NA,NA,NA,second,Mityana,Ssekanyonyi,Busunju Ward,Kibubula B,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680101,2,0.08093889234327478,100,2,2016,Cassava,NA,NA,NA,NA,second,Mityana,Ssekanyonyi,Busunju Ward,Kibubula B,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680101,1,0.4046944556859571,40,3,2016,Maize,NA,NA,NA,NA,second,Mityana,Ssekanyonyi,Busunju Ward,Kibubula B,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680101,1,0.4046944556859571,60,2,2016,Beans,NA,NA,NA,NA,second,Mityana,Ssekanyonyi,Busunju Ward,Kibubula B,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680201,3,0.4046944556859571,100,4,2016,Cassava,NA,NA,NA,NA,second,Mityana,Ssekanyonyi,Sekanyonyi,Ssekanyonyi B,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680201,2,0.4046944556859571,40,10,2015,Banana food,7,2014,12,2014,first,Mityana,Ssekanyonyi,Sekanyonyi,Ssekanyonyi B,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680201,1,0.8093889113719142,70,8,2015,Beans,11,2014,11,2014,first,Mityana,Ssekanyonyi,Sekanyonyi,Ssekanyonyi B,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680201,3,0.20234722784297854,NA,10,2015,Sweet potatoes,NA,NA,NA,NA,first,Mityana,Ssekanyonyi,Sekanyonyi,Ssekanyonyi B,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680201,4,1.6187778227438283,NA,8,2015,Maize,NA,NA,NA,NA,first,Mityana,Ssekanyonyi,Sekanyonyi,Ssekanyonyi B,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680201,2,0.242816683060242,100,2,2016,Maize,NA,NA,NA,NA,second,Mityana,Ssekanyonyi,Sekanyonyi,Ssekanyonyi B,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680201,1,0.8093889113719142,30,12,2015,Cassava,NA,NA,NA,NA,first,Mityana,Ssekanyonyi,Sekanyonyi,Ssekanyonyi B,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680201,1,0.8093889113719142,70,8,2015,Beans,10,2014,12,2014,first,Mityana,Ssekanyonyi,Sekanyonyi,Ssekanyonyi B,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680201,2,0.4046944556859571,40,10,2015,Banana food,7,2014,12,2014,first,Mityana,Ssekanyonyi,Sekanyonyi,Ssekanyonyi B,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680301,4,0.10117361392148927,60,8,2015,Beans,11,2014,11,2014,first,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680301,4,0.10117361392148927,40,8,2015,Cassava,NA,NA,NA,NA,first,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680301,1,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680301,2,0.10117361392148927,NA,9,2015,Sweet potatoes,NA,NA,NA,NA,first,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680301,3,0.10117361392148927,NA,8,2015,Groundnuts,12,2014,12,2014,first,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680301,4,0.10117361392148927,60,8,2015,Beans,10,2014,11,2014,first,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680302,1,0.4046944556859571,100,3,2016,Beans,NA,NA,NA,NA,second,Mityana,Ssekanyonyi,Kiduuzi Ward,Nalukwakwa,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680302,1,0.8093889113719142,60,8,2015,Maize,NA,NA,NA,NA,first,Mityana,Ssekanyonyi,Kiduuzi Ward,Nalukwakwa,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680302,1,0.8093889113719142,40,9,2015,Beans,12,2014,12,2014,first,Mityana,Ssekanyonyi,Kiduuzi Ward,Nalukwakwa,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680302,2,0.4046944556859571,100,3,2016,Maize,NA,NA,NA,NA,second,Mityana,Ssekanyonyi,Kiduuzi Ward,Nalukwakwa,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680601,1,0.10117361392148927,NA,8,2015,Yam,NA,NA,NA,NA,first,Mityana,Ssekanyonyi,Busunju Ward,Kibubula B,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680601,1,0.10117361392148927,100,2,2016,Yam,NA,NA,NA,NA,second,Mityana,Ssekanyonyi,Busunju Ward,Kibubula B,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680701,1,0.16187778468654956,20,3,2015,Cassava,NA,NA,NA,NA,first,Mityana,Ssekanyonyi,Busunju Ward,Kibubula A,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680701,1,0.16187778468654956,20,8,2015,Maize,11,2014,11,2014,first,Mityana,Ssekanyonyi,Busunju Ward,Kibubula A,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680701,1,0.16187778468654956,50,8,2015,Beans,11,2014,11,2014,first,Mityana,Ssekanyonyi,Busunju Ward,Kibubula A,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680701,1,0.16187778468654956,10,3,2015,Yam,NA,NA,NA,NA,first,Mityana,Ssekanyonyi,Busunju Ward,Kibubula A,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680701,1,0.16187778468654956,20,8,2015,Maize,12,2014,12,2014,first,Mityana,Ssekanyonyi,Busunju Ward,Kibubula A,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680701,1,0.20234722784297854,50,4,2016,Beans,NA,NA,NA,NA,second,Mityana,Ssekanyonyi,Busunju Ward,Kibubula A,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680701,1,0.20234722784297854,20,4,2016,Maize,NA,NA,NA,NA,second,Mityana,Ssekanyonyi,Busunju Ward,Kibubula A,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680701,2,0.04046944617163739,NA,8,2015,Maize,12,2014,12,2014,first,Mityana,Ssekanyonyi,Busunju Ward,Kibubula A,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680701,1,0.16187778468654956,50,8,2015,Beans,12,2014,12,2014,first,Mityana,Ssekanyonyi,Busunju Ward,Kibubula A,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0680701,1,0.20234722784297854,30,1,2016,Yam,NA,NA,NA,NA,second,Mityana,Ssekanyonyi,Busunju Ward,Kibubula A,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0681001,1,0.20234722784297854,NA,8,2015,Beans,10,2014,12,2014,first,Mityana,Ssekanyonyi,Kabbega,Kabbega,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0681001,1,0.20234722784297854,NA,8,2015,Beans,12,2014,12,2014,first,Mityana,Ssekanyonyi,Kabbega,Kabbega,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0681002,4,0.4046944556859571,NA,8,2015,Maize,11,2014,12,2014,first,Mityana,Ssekanyonyi,Busunju Ward,Kibubula A,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0681002,3,0.20234722784297854,NA,8,2015,Cassava,NA,NA,NA,NA,first,Mityana,Ssekanyonyi,Busunju Ward,Kibubula A,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0681002,1,0.10117361392148927,NA,8,2015,Irish potatoes,NA,NA,NA,NA,first,Mityana,Ssekanyonyi,Busunju Ward,Kibubula A,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0681002,2,0.10117361392148927,NA,8,2015,Beans,10,2014,11,2014,first,Mityana,Ssekanyonyi,Busunju Ward,Kibubula A,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0681002,2,0.10117361392148927,NA,8,2015,Beans,12,2014,12,2014,first,Mityana,Ssekanyonyi,Busunju Ward,Kibubula A,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0690801,2,0.08093889234327478,100,3,2016,Maize,NA,NA,NA,NA,second,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0690801,4,0.10117361392148927,NA,8,2015,Sweet potatoes,NA,NA,NA,NA,first,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0690801,4,0.10117361392148927,100,4,2016,Groundnuts,NA,NA,NA,NA,second,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0690801,1,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0690801,3,0.10117361392148927,NA,8,2015,Beans,11,2014,11,2014,first,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0690801,3,0.10117361392148927,NA,8,2015,Beans,9,2014,12,2014,first,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0690801,3,0.10117361392148927,100,3,2016,Beans,NA,NA,NA,NA,second,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0690801,2,0.08093889234327478,NA,8,2015,Maize,12,2014,12,2014,first,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0690801,5,0.04046944617163739,100,4,2015,Cassava,NA,NA,NA,NA,second,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0690801,1,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0690801,5,0.04046944617163739,NA,4,2015,Cassava,NA,NA,NA,NA,first,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0690901,1,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0690901,3,0.20234722784297854,NA,8,2015,Sweet potatoes,NA,NA,NA,NA,first,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0690901,2,0.08093889234327478,NA,2,2001,Sugarcane,7,2014,12,2014,first,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691101,2,0.08093889234327478,100,4,2016,Sweet potatoes,NA,NA,NA,NA,second,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691101,1,0.20234722784297854,NA,9,2015,Maize,NA,NA,NA,NA,first,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691101,1,0.121408341530121,30,4,2016,Cassava,NA,NA,NA,NA,second,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691101,1,0.121408341530121,40,3,2016,Maize,NA,NA,NA,NA,second,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691101,1,0.121408341530121,30,3,2016,Beans,NA,NA,NA,NA,second,Buikwe,Lugazi Town Council,Namengo Ward,Kiteredde,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691103,2,0.121408341530121,50,4,2016,Maize,NA,NA,NA,NA,second,Buikwe,Kawolo,Butinindi,Katungulu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691103,2,0.08093889234327478,NA,8,2015,Beans,12,2014,12,2014,first,Buikwe,Kawolo,Butinindi,Katungulu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691103,1,0.08093889234327478,100,8,2015,Cassava,NA,NA,NA,NA,second,Buikwe,Kawolo,Butinindi,Katungulu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691103,1,0.121408341530121,NA,8,2015,Cassava,NA,NA,NA,NA,first,Buikwe,Kawolo,Butinindi,Katungulu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691103,2,0.121408341530121,50,4,2016,Beans,NA,NA,NA,NA,second,Buikwe,Kawolo,Butinindi,Katungulu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691401,4,0.8093889113719142,100,3,2016,Maize,NA,NA,NA,NA,second,Buikwe,Buikwe,Kitazi,Nakikunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691401,1,0.2832861141558361,100,3,2016,Beans,NA,NA,NA,NA,second,Buikwe,Buikwe,Kitazi,Nakikunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691401,1,0.16187778468654956,NA,7,2015,Beans,NA,NA,NA,NA,first,Buikwe,Buikwe,Kitazi,Nakikunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691401,3,0.121408341530121,NA,11,2015,Sweet potatoes,NA,NA,NA,NA,first,Buikwe,Buikwe,Kitazi,Nakikunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691401,2,0.121408341530121,NA,10,2015,Maize,NA,NA,NA,NA,first,Buikwe,Buikwe,Kitazi,Nakikunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691401,2,0.121408341530121,100,4,2015,Cassava,NA,NA,NA,NA,second,Buikwe,Buikwe,Kitazi,Nakikunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691401,4,0.08093889234327478,NA,7,2015,Pumpkins,10,2014,12,2014,first,Buikwe,Buikwe,Kitazi,Nakikunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691401,7,0.16187778468654956,NA,9,2015,Maize,NA,NA,NA,NA,first,Buikwe,Buikwe,Kitazi,Nakikunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691401,5,0.121408341530121,NA,7,2015,Cassava,NA,NA,NA,NA,first,Buikwe,Buikwe,Kitazi,Nakikunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691401,6,0.20234722784297854,NA,9,2015,Beans,NA,NA,NA,NA,first,Buikwe,Buikwe,Kitazi,Nakikunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691401,3,0.20234722784297854,100,3,2016,Groundnuts,NA,NA,NA,NA,second,Buikwe,Buikwe,Kitazi,Nakikunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0691401,8,0.04046944617163739,NA,9,2015,Irish potatoes,NA,NA,NA,NA,first,Buikwe,Buikwe,Kitazi,Nakikunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700301,3,0.10117361392148927,40,7,2015,Cassava,NA,NA,NA,NA,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700301,2,0.04046944617163739,NA,9,2015,Sweet potatoes,NA,NA,NA,NA,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700301,1,0.121408341530121,40,3,2016,Maize,NA,NA,NA,NA,second,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700301,3,0.10117361392148927,60,8,2015,Sweet potatoes,NA,NA,NA,NA,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700301,1,0.08093889234327478,50,8,2015,Beans,NA,NA,NA,NA,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700301,1,0.08093889234327478,50,8,2015,Maize,11,2014,12,2014,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700301,1,0.121408341530121,20,3,2016,Cassava,NA,NA,NA,NA,second,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700301,3,0.04046944617163739,100,7,2015,Cassava,NA,NA,NA,NA,second,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700301,1,0.121408341530121,40,3,2016,Beans,NA,NA,NA,NA,second,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700301,2,0.0607041707650603,100,8,2015,Sweet potatoes,NA,NA,NA,NA,second,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700701,3,0.13152569327360217,40,8,2015,Maize,12,2014,12,2014,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700701,4,0.07082152853895912,100,1,2016,Sweet potatoes,NA,NA,NA,NA,second,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700701,3,0.13152569327360217,60,8,2015,Beans,11,2014,12,2014,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700701,1,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700701,3,0.13152569327360217,60,8,2015,Beans,10,2014,10,2014,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700701,3,0.13152569327360217,60,8,2015,Beans,11,2014,12,2014,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700701,3,0.14164305707791824,60,3,2016,Beans,NA,NA,NA,NA,second,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700701,3,0.13152569327360217,60,8,2015,Beans,10,2014,10,2014,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700701,3,0.14164305707791824,40,3,2016,Maize,NA,NA,NA,NA,second,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700701,4,0.07082152853895912,40,8,2015,Maize,12,2014,12,2014,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700701,4,0.07082152853895912,40,8,2015,Maize,12,2014,12,2014,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700701,4,0.07082152853895912,60,8,2015,Beans,NA,NA,NA,NA,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700801,1,0.020234723085818737,70,4,2016,Maize,NA,NA,NA,NA,second,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700801,2,0.020234723085818737,50,8,2015,Maize,11,2014,12,2014,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700801,1,0.020234723085818737,NA,8,2015,Maize,10,2014,11,2014,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700801,2,0.020234723085818737,80,3,2016,Beans,NA,NA,NA,NA,second,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700801,2,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700801,2,0.020234723085818737,40,8,2015,Beans,11,2014,11,2014,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700801,2,0.020234723085818737,40,8,2015,Beans,10,2014,11,2014,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700901,2,0.10117361392148927,50,4,2016,Sweet potatoes,NA,NA,NA,NA,second,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700901,3,0.20234722784297854,50,3,2016,Beans,NA,NA,NA,NA,second,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700901,1,0.6070416835289356,50,9,2015,Beans,12,2014,12,2014,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700901,1,0.6070416835289356,40,9,2015,Maize,11,2014,12,2014,first,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0700901,2,0.10117361392148927,50,3,2015,Cassava,NA,NA,NA,NA,second,Buikwe,Njeru Town Council,Njeru West Ward,Wampala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
