case_id,visit,ea_id,hh_q0a,hh_q0b,hh_q01,hh_q02a,hh_q02b,hh_q02c,hh_q03a,hh_q03b
107393090117,1,10739309,Food Transfers/Gifts,Food Transfers/Gifts,Yes,3000,0,0,1,
107393090117,1,10739309,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107393090133,1,10739309,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,4000,0,0,1,
107393090133,1,10739309,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107393090133,1,10739309,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107393090141,1,10739309,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,10000,0,0,1,2
107393090141,1,10739309,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107393090141,1,10739309,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107393090149,1,10739309,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107393090149,1,10739309,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107393090149,1,10739309,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107393090165,1,10739309,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,2000,0,0,1,
107393090165,1,10739309,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107393090165,1,10739309,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,3000,0,0,1,
107415040001,1,10741504,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107415040001,1,10741504,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107415040001,1,10741504,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,3000,0,0,1,
107415040009,1,10741504,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107415040009,1,10741504,Food Transfers/Gifts,Food Transfers/Gifts,Yes,0,2000,0,2,
107415040009,1,10741504,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107415040010,1,10741504,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,6000,4000,0,1,
107415040010,1,10741504,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107415040010,1,10741504,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107415040027,1,10741504,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107415040027,1,10741504,Food Transfers/Gifts,Food Transfers/Gifts,Yes,0,8000,0,1,2
107415040027,1,10741504,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107415040028,1,10741504,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,0,25000,0,1,2
107415040028,1,10741504,Food Transfers/Gifts,Food Transfers/Gifts,Yes,0,35000,0,1,2
107415040028,1,10741504,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107415040048,1,10741504,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107415040048,1,10741504,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107415040048,1,10741504,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107415040056,1,10741504,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107415040056,1,10741504,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107415040056,1,10741504,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107415040057,1,10741504,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107415040057,1,10741504,Food Transfers/Gifts,Food Transfers/Gifts,Yes,200,0,0,1,
107415040057,1,10741504,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107415040060,1,10741504,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,20000,0,0,2,
107415040060,1,10741504,Food Transfers/Gifts,Food Transfers/Gifts,Yes,5000,0,0,2,
107415040060,1,10741504,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,20000,0,0,2,
107415040063,1,10741504,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107415040063,1,10741504,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107415040063,1,10741504,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107415040065,1,10741504,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107415040065,1,10741504,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107415040065,1,10741504,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107415040085,1,10741504,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107415040085,1,10741504,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107415040085,1,10741504,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107415040109,1,10741504,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,0,30000,0,1,
107415040109,1,10741504,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107415040109,1,10741504,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107415040112,1,10741504,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,18000,0,0,1,
107415040112,1,10741504,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107415040112,1,10741504,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,15000,0,0,1,
107415040115,1,10741504,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107415040115,1,10741504,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107415040115,1,10741504,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107415040123,1,10741504,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107415040123,1,10741504,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107415040123,1,10741504,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107440390009,1,10744039,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107440390009,1,10744039,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107440390009,1,10744039,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107440390014,1,10744039,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107440390014,1,10744039,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107440390014,1,10744039,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107440390020,1,10744039,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107440390020,1,10744039,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107440390020,1,10744039,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107440390026,1,10744039,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,700,200,0,1,2
107440390026,1,10744039,Food Transfers/Gifts,Food Transfers/Gifts,Yes,500,4000,0,1,2
107440390026,1,10744039,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107440390038,1,10744039,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107440390038,1,10744039,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107440390038,1,10744039,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,1000,0,0,1,
107440390044,1,10744039,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,3000,500,0,1,
107440390044,1,10744039,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107440390044,1,10744039,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107440390050,1,10744039,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107440390050,1,10744039,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107440390050,1,10744039,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107440390056,1,10744039,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,10000,0,0,1,
107440390056,1,10744039,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107440390056,1,10744039,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107440390068,1,10744039,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,0,3000,0,1,
107440390068,1,10744039,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107440390068,1,10744039,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107440390073,1,10744039,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,4000,0,0,1,2
107440390073,1,10744039,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107440390073,1,10744039,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107440390079,1,10744039,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,0,2000,0,1,
107440390079,1,10744039,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107440390079,1,10744039,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,1000,0,0,2,
107440390085,1,10744039,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,10000,0,0,1,2
107440390085,1,10744039,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107440390085,1,10744039,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,2000,0,0,1,2
107440390097,1,10744039,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107440390097,1,10744039,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107440390097,1,10744039,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107440390103,1,10744039,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,3000,0,0,1,
107440390103,1,10744039,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107440390103,1,10744039,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107440390109,1,10744039,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107440390109,1,10744039,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107440390109,1,10744039,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107440390121,1,10744039,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107440390121,1,10744039,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107440390121,1,10744039,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107441540013,1,10744154,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107441540013,1,10744154,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107441540013,1,10744154,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107441540020,1,10744154,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107441540020,1,10744154,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107441540020,1,10744154,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107441540022,1,10744154,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107441540022,1,10744154,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107441540022,1,10744154,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107441540034,1,10744154,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107441540034,1,10744154,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107441540034,1,10744154,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107441540049,1,10744154,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107441540049,1,10744154,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107441540049,1,10744154,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107441540056,1,10744154,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107441540056,1,10744154,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107441540056,1,10744154,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107441540064,1,10744154,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107441540064,1,10744154,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107441540064,1,10744154,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107441540071,1,10744154,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,10000,0,0,1,
107441540071,1,10744154,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2000,0,0,1,
107441540071,1,10744154,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107441540085,1,10744154,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107441540085,1,10744154,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107441540085,1,10744154,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107441540093,1,10744154,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107441540093,1,10744154,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107441540093,1,10744154,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107441540100,1,10744154,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107441540100,1,10744154,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107441540100,1,10744154,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107441540107,1,10744154,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107441540107,1,10744154,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107441540107,1,10744154,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107441540122,1,10744154,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,4000,0,0,1,2
107441540122,1,10744154,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107441540122,1,10744154,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,6000,0,0,1,2
107441540129,1,10744154,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107441540129,1,10744154,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107441540129,1,10744154,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107441540136,1,10744154,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107441540136,1,10744154,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107441540136,1,10744154,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107441540151,1,10744154,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107441540151,1,10744154,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107441540151,1,10744154,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107446490002,2,10744649,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107446490002,2,10744649,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107446490002,2,10744649,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107446490017,2,10744649,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,2000,0,0,1,2
107446490017,2,10744649,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107446490017,2,10744649,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107446490047,2,10744649,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107446490047,2,10744649,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107446490047,2,10744649,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107446490062,2,10744649,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,6000,0,0,1,2
107446490062,2,10744649,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107446490062,2,10744649,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107446490077,2,10744649,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,2000,0,0,1,
107446490077,2,10744649,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107446490077,2,10744649,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107446490092,2,10744649,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107446490092,2,10744649,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107446490092,2,10744649,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107446490107,2,10744649,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,3000,0,0,1,2
107446490107,2,10744649,Food Transfers/Gifts,Food Transfers/Gifts,Yes,0,400,0,1,
107446490107,2,10744649,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107446490122,2,10744649,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107446490122,2,10744649,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107446490122,2,10744649,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107446490166,2,10744649,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107446490166,2,10744649,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107446490166,2,10744649,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107446490181,2,10744649,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,3000,0,0,1,
107446490181,2,10744649,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107446490181,2,10744649,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,1000,0,0,1,
107446490196,2,10744649,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107446490196,2,10744649,Food Transfers/Gifts,Food Transfers/Gifts,Yes,900,0,0,1,2
107446490196,2,10744649,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,200,0,0,1,2
107446490211,2,10744649,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107446490211,2,10744649,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107446490211,2,10744649,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107446490241,2,10744649,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107446490241,2,10744649,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107446490241,2,10744649,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107446490256,2,10744649,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107446490256,2,10744649,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107446490256,2,10744649,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107446490271,2,10744649,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107446490271,2,10744649,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107446490271,2,10744649,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107446490300,2,10744649,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107446490300,2,10744649,Food Transfers/Gifts,Food Transfers/Gifts,Yes,0,300,0,2,
107446490300,2,10744649,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,0,1500,0,2,
107460330015,1,10746033,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107460330015,1,10746033,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107460330015,1,10746033,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107460330142,1,10746033,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107460330142,1,10746033,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107460330142,1,10746033,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,4500,0,0,1,
107460330205,1,10746033,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107460330205,1,10746033,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107460330205,1,10746033,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107460330211,1,10746033,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107460330211,1,10746033,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107460330211,1,10746033,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107460330216,1,10746033,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,200,0,0,2,
107460330216,1,10746033,Food Transfers/Gifts,Food Transfers/Gifts,Yes,450,0,0,2,
107460330216,1,10746033,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,200,0,0,2,
107460330292,1,10746033,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107460330292,1,10746033,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107460330292,1,10746033,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107460330338,1,10746033,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107460330338,1,10746033,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107460330338,1,10746033,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,3000,,,,
107460330444,1,10746033,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,2500,0,0,1,
107460330444,1,10746033,Food Transfers/Gifts,Food Transfers/Gifts,Yes,800,0,0,1,
107460330444,1,10746033,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,4000,0,0,1,
107460330482,1,10746033,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107460330482,1,10746033,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107460330482,1,10746033,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107460330525,1,10746033,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107460330525,1,10746033,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107460330525,1,10746033,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107460330536,1,10746033,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,1500,0,0,1,
107460330536,1,10746033,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2000,0,0,1,2
107460330536,1,10746033,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107460330553,1,10746033,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107460330553,1,10746033,Food Transfers/Gifts,Food Transfers/Gifts,Yes,0,450,0,1,
107460330553,1,10746033,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107460330612,1,10746033,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,0,500000,0,1,
107460330612,1,10746033,Food Transfers/Gifts,Food Transfers/Gifts,Yes,0,200000,0,1,
107460330612,1,10746033,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,0,20000,0,1,
107460330629,1,10746033,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107460330629,1,10746033,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107460330629,1,10746033,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107460330631,1,10746033,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,1000,,,,
107460330631,1,10746033,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107460330631,1,10746033,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107460330646,1,10746033,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107460330646,1,10746033,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107460330646,1,10746033,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107462440014,2,10746244,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107462440014,2,10746244,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107462440014,2,10746244,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107462440028,2,10746244,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107462440028,2,10746244,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107462440028,2,10746244,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107462440042,2,10746244,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107462440042,2,10746244,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107462440042,2,10746244,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107462440056,2,10746244,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107462440056,2,10746244,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107462440056,2,10746244,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107462440085,2,10746244,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,12000,0,0,1,
107462440085,2,10746244,Food Transfers/Gifts,Food Transfers/Gifts,Yes,3000,0,0,1,
107462440085,2,10746244,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107462440099,2,10746244,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107462440099,2,10746244,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107462440099,2,10746244,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107462440113,2,10746244,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,15000,0,0,1,
107462440113,2,10746244,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107462440113,2,10746244,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,5000,0,0,2,
107462440127,2,10746244,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,15000,0,0,1,
107462440127,2,10746244,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
107462440127,2,10746244,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
107462440155,2,10746244,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
107462440155,2,10746244,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
