ea_id,com_cc01,com_cc02,com_cc03,com_cc04a,com_cc04b,com_cc04c,com_cc04d,com_cc04e,com_cc04f,com_cc05a,com_cc05b,com_cc05c,com_cc05d,com_cc05e,com_cc05f,com_cc06,com_cc07a,com_cc07a_os,com_cc07b,com_cc07c,com_cc07c_os,com_cc07d,com_cc07e,com_cc07e_os,com_cc07f,com_cc08,com_cc09,com_cc09_os,com_cc10,com_cc11,com_cc12,com_cc13,com_cc14,com_cc15
20304314,MORE MOVED OUT,1064,213,christian,188,none,25,,,chewa,213,,,,,both,Matrilineal and patrilocal (chitengwa),,200,Matrilineal and matrilocal (chikamwini),,13,,,,15,farming,,flat,1/4,3/4,ALMOST NONE,3/4,yes
20304662,NEITHER ARRIVALS NOR DEPARTURES,465,110,traditional,4,christian,106,,,chewa,110,,,,,mother,Matrilineal and matrilocal (chikamwini),,7,Matrilineal and patrilocal (chitengwa),,103,,,,2,farming,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,1/4,3/4,yes
20304680,NEITHER ARRIVALS NOR DEPARTURES,884,172,islam,11,christian,149,none,12,chewa,172,,,,,mother,Matrilineal and matrilocal (chikamwini),,13,Matrilineal and patrilocal (chitengwa),,159,,,,16,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,no
20305023,NEITHER ARRIVALS NOR DEPARTURES,585,176,christian,171,none,5,,,chewa,176,,,,,mother,Matrilineal and matrilocal (chikamwini),,16,Matrilineal and patrilocal (chitengwa),,160,,,,5,farming,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST ALL,3/4,yes
20305172,NEITHER ARRIVALS NOR DEPARTURES,1086,306,traditional,40,christian,266,,,chewa,306,,,,,mother,Matrilineal and matrilocal (chikamwini),,16,Matrilineal and patrilocal (chitengwa),,290,,,,23,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20305301,MORE MOVED IN,630,165,traditional,20,christian,140,none,5,chewa,165,,,,,mother,Matrilineal and matrilocal (chikamwini),,13,Matrilineal and patrilocal (chitengwa),,152,,,,6,farming,,flat,1/4,ALMOST NONE,ALMOST NONE,3/4,yes
20305340,NEITHER ARRIVALS NOR DEPARTURES,454,116,traditional,2,christian,114,,,chewa,116,,,,,mother,Matrilineal and matrilocal (chikamwini),,7,Matrilineal and matrilocal (chikamwini),,109,,,,8,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20305382,NEITHER ARRIVALS NOR DEPARTURES,547,81,traditional,7,christian,68,none,6,chewa,81,,,,,mother,Matrilineal and matrilocal (chikamwini),,9,Matrilineal and patrilocal (chitengwa),,72,,,,5,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20305717,MORE MOVED IN,320,60,christian,60,,,,,chewa,60,,,,,mother,Matrilineal and matrilocal (chikamwini),,4,Matrilineal and patrilocal (chitengwa),,56,,,,4,farming,,MODERATELY SLOPING,1/4,ALMOST NONE,ALMOST NONE,3/4,no
20306272,NEITHER ARRIVALS NOR DEPARTURES,450,98,islam,1,christian,83,none,14,chewa,98,,,,,mother,Matrilineal and matrilocal (chikamwini),,15,Matrilineal and patrilocal (chitengwa),,83,,,,4,farming,,SLIGHTLY SLOPING,1/4,ALMOST NONE,1/4,3/4,yes
20306296,MORE MOVED OUT,439,91,christian,91,,,,,chewa,91,,,,,mother,Matrilineal and matrilocal (chikamwini),,3,Matrilineal and patrilocal (chitengwa),,88,,,,9,farming,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20306433,MORE MOVED IN,1387,353,traditional,2,christian,316,none,35,chewa,353,,,,,mother,Matrilineal and matrilocal (chikamwini),,21,Matrilineal and patrilocal (chitengwa),,332,,,,11,farming,,flat,ALMOST NONE,1/4,ALMOST NONE,ALMOST NONE,no
20306557,NEITHER ARRIVALS NOR DEPARTURES,414,58,traditional,4,christian,42,none,12,chewa,58,,,,,mother,Matrilineal and matrilocal (chikamwini),,8,Matrilineal and patrilocal (chitengwa),,50,,,,3,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20320675,MORE MOVED IN,1111,227,christian,209,islam,18,,,chewa,209,yao,18,,,mother,Matrilineal and matrilocal (chikamwini),,21,Matrilineal and patrilocal (chitengwa),,206,,,,6,farming,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20401171,ABOUT THE SAME OF BOTH,1900,309,christian,299,none,10,,,chewa,305,tumbuka,4,,,mother,Matrilineal and patrilocal (chitengwa),,292,Matrilineal and matrilocal (chikamwini),,17,,,,28,farming,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
20401627,MORE MOVED IN,2410,478,christian,413,traditional,36,none,29,chewa,461,lomwe,11,yao,6,mother,Matrilineal and patrilocal (chitengwa),,424,Matrilineal and matrilocal (chikamwini),,48,Patrilineal and patrilocal,,6,15,farming,,SLIGHTLY SLOPING,ALMOST NONE,1/4,ALMOST NONE,ALMOST ALL,yes
20401737,ABOUT THE SAME OF BOTH,22000,3666,christian,3600,traditional,66,,,chewa,3666,,,,,mother,Matrilineal and patrilocal (chitengwa),,3656,Matrilineal and matrilocal (chikamwini),,10,,,,20,farming,,flat,ALMOST NONE,1/4,ALMOST NONE,3/4,yes
20402045,MORE MOVED IN,1423,276,christian,227,none,49,,,chewa,270,tumbuka,6,,,mother,Matrilineal and patrilocal (chitengwa),,254,Matrilineal and matrilocal (chikamwini),,22,,,,10,farming,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
20402072,MORE MOVED IN,10000,2550,christian,2200,islam,250,traditional,100,chewa,2300,yao,200,english,50,both,Matrilineal and patrilocal (chitengwa),,2300,Matrilineal and neolocal,,200,Patrilineal and patrilocal,,50,20,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20402198,ABOUT THE SAME OF BOTH,7000,1000,christian,900,none,80,OTHER RELIGION,20,chewa,1000,,,,,mother,Matrilineal and patrilocal (chitengwa),,800,Matrilineal and matrilocal (chikamwini),,200,,,,30,farming,,flat,ALMOST NONE,1/4,ALMOST NONE,3/4,yes
20402201,ABOUT THE SAME OF BOTH,8000,2000,christian,1800,traditional,50,none,150,chewa,2000,,,,,mother,Matrilineal and patrilocal (chitengwa),,1900,Matrilineal and matrilocal (chikamwini),,100,,,,50,farming,,flat,ALMOST NONE,1/4,ALMOST NONE,3/4,yes
20402298,MORE MOVED IN,1502,251,christian,221,none,18,islam,12,chewa,228,yao,12,tumbuka,11,father,Matrilineal and patrilocal (chitengwa),,207,Matrilineal and matrilocal (chikamwini),,44,,,,40,farming,,flat,1/4,1/4,ALMOST NONE,ALMOST ALL,yes
20403049,MORE MOVED IN,585,109,christian,104,none,9,,,chewa,104,,,,,mother,Matrilineal and patrilocal (chitengwa),,94,Matrilineal and matrilocal (chikamwini),,15,,,,9,farming,,flat,1/4,ALMOST NONE,1/4,ALMOST ALL,yes
20403668,MORE MOVED OUT,1200,2000,christian,1000,traditional,600,none,400,chewa,2000,,,,,mother,Matrilineal and patrilocal (chitengwa),,1500,Matrilineal and matrilocal (chikamwini),,200,Patrilineal and neolocal,,300,300,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20403697,MORE MOVED OUT,1723,544,traditional,445,none,76,islam,23,chewa,509,yao,23,lomwe,12,mother,Matrilineal and patrilocal (chitengwa),,478,Matrilineal and matrilocal (chikamwini),,56,Patrilineal and patrilocal,,10,49,farming,,SLIGHTLY SLOPING,1/4,ALMOST NONE,1/4,ALMOST ALL,yes
20404032,MORE MOVED IN,24000,3428,christian,3000,traditional,420,islam,8,chewa,3428,,,,,mother,Matrilineal and patrilocal (chitengwa),,3000,Matrilineal and matrilocal (chikamwini),,428,,,,15,farming,,STEEPLY SLOPING,1/4,1/4,ALMOST NONE,3/4,yes
20404509,NEITHER ARRIVALS NOR DEPARTURES,1224,246,christian,230,traditional,16,,,chewa,246,,,,,mother,Matrilineal and patrilocal (chitengwa),,200,Matrilineal and matrilocal (chikamwini),,46,,,,15,farming,,STEEPLY SLOPING,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL,no
20404575,ABOUT THE SAME OF BOTH,2000,400,christian,350,none,50,,,chewa,400,,,,,mother,Matrilineal and patrilocal (chitengwa),,350,Matrilineal and matrilocal (chikamwini),,50,,,,30,farming,,MODERATELY SLOPING,1/4,ALMOST NONE,ALMOST NONE,3/4,yes
20404660,ABOUT THE SAME OF BOTH,1212,236,christian,191,none,45,,,chewa,236,,,,,mother,Matrilineal and patrilocal (chitengwa),,207,Matrilineal and matrilocal (chikamwini),,29,,,,32,farming,,STEEPLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
20405132,MORE MOVED IN,13126,2620,christian,2416,islam,168,none,36,other,2400,chewa,216,yao,4,both,Matrilineal and patrilocal (chitengwa),,2504,Matrilineal and matrilocal (chikamwini),,67,Matrilineal and neolocal,,49,20,farming,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,1/4,1/2,yes
20405366,ABOUT THE SAME OF BOTH,3200,800,christian,780,traditional,20,,,chewa,800,,,,,father,Matrilineal and patrilocal (chitengwa),,760,Matrilineal and matrilocal (chikamwini),,40,,,,20,farming,,MODERATELY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20405704,ABOUT THE SAME OF BOTH,2650,522,christian,456,none,66,,,chewa,522,,,,,mother,Matrilineal and patrilocal (chitengwa),,468,Matrilineal and matrilocal (chikamwini),,54,,,,63,farming,,SLIGHTLY SLOPING,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
20406177,MORE MOVED IN,2273,456,christian,410,none,46,,,chewa,456,,,,,father,Matrilineal and patrilocal (chitengwa),,420,Matrilineal and matrilocal (chikamwini),,36,,,,33,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
20406348,ABOUT THE SAME OF BOTH,2040,407,christian,377,none,30,,,chewa,407,,,,,mother,Matrilineal and patrilocal (chitengwa),,390,Matrilineal and matrilocal (chikamwini),,17,,,,23,farming,,MODERATELY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
20406598,ABOUT THE SAME OF BOTH,9000,1500,christian,1200,traditional,200,none,100,chewa,1500,,,,,mother,Matrilineal and patrilocal (chitengwa),,1300,Matrilineal and matrilocal (chikamwini),,200,,,,200,farming,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20407398,MORE MOVED OUT,12000,2000,christian,1700,none,250,traditional,50,chewa,2000,,,,,mother,Matrilineal and matrilocal (chikamwini),,1900,Matrilineal and patrilocal (chitengwa),,100,,,,30,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20407481,ABOUT THE SAME OF BOTH,18000,3000,christian,2700,traditional,200,none,100,chewa,2850,tumbuka,150,,,mother,Matrilineal and patrilocal (chitengwa),,2900,Matrilineal and matrilocal (chikamwini),,100,,,,100,farming,,flat,ALMOST NONE,1/4,ALMOST NONE,1/2,yes
20421229,MORE MOVED IN,20000,4000,traditional,3000,none,600,islam,400,chewa,3500,yao,300,tumbuka,200,both,Patrilineal and neolocal,,3000,Patrilineal and patrilocal,,2000,,,,50,PLANNED HOUSING,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20501111,MORE MOVED OUT,12000,500,christian,250,islam,200,none,50,chewa,300,yao,200,,,father,Matrilineal and neolocal,,400,Matrilineal and matrilocal (chikamwini),,100,,,,50,farming,,flat,1/4,ALMOST NONE,ALMOST NONE,1/2,yes
20501330,MORE MOVED IN,10000,400,christian,200,traditional,150,none,50,chewa,350,yao,50,,,father,Matrilineal and matrilocal (chikamwini),,300,Matrilineal and patrilocal (chitengwa),,100,,,,50,farming,,flat,1/4,ALMOST NONE,1/4,3/4,yes
20501664,MORE MOVED OUT,11000,7000,christian,4000,islam,2000,none,1000,chewa,5000,yao,1800,lomwe,200,mother,Matrilineal and matrilocal (chikamwini),,4000,Matrilineal and patrilocal (chitengwa),,2000,Patrilineal and neolocal,,1000,1000,farming,,flat,1/4,ALMOST NONE,1/4,1/2,yes
20502159,MORE MOVED IN,11000,600,christian,700,islam,200,traditional,100,chewa,800,yao,100,tumbuka,100,father,Matrilineal and neolocal,,600,Matrilineal and matrilocal (chikamwini),,400,,,,50,SQUATTER  SETTLEMENT,,flat,1/4,1/4,1/4,1/4,yes
20502240,MORE MOVED IN,5000,350,christian,1200,none,1000,traditional,50,chewa,350,,,,,mother,Matrilineal and patrilocal (chitengwa),,290,Matrilineal and matrilocal (chikamwini),,60,,,,70,farming,,SLIGHTLY SLOPING,ALMOST NONE,1/4,ALMOST NONE,3/4,yes
20502740,ABOUT THE SAME OF BOTH,790,79,christian,69,islam,10,,,chewa,69,yao,10,,,mother,Matrilineal and matrilocal (chikamwini),,79,,,,,,,1,farming,,flat,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
20502758,MORE MOVED OUT,6500,2300,christian,1400,traditional,800,none,100,chewa,2300,,,,,father,Matrilineal and patrilocal (chitengwa),,2000,Matrilineal and matrilocal (chikamwini),,300,,,,2000,farming,,SLIGHTLY SLOPING,1/2,1/4,1/4,ALMOST ALL,yes
20503239,MORE MOVED IN,20000,15000,islam,3,OTHER RELIGION,7000,none,3000,chewa,1200,yao,3000,,,mother,Matrilineal and neolocal,,1400,Matrilineal and matrilocal (chikamwini),,1000,,,,1000,farming,,flat,1/4,1/4,1/4,ALMOST ALL,yes
20503476,MORE MOVED IN,7500,400,islam,250,christian,100,none,50,chewa,350,yao,50,,,mother,Matrilineal and neolocal,,350,Matrilineal and patrilocal (chitengwa),,50,,,,150,farming,,flat,1/4,ALMOST NONE,ALMOST NONE,ALMOST NONE,yes
20504373,MORE MOVED IN,3000,250,christian,100,islam,100,traditional,50,chewa,150,yao,100,,,mother,Matrilineal and patrilocal (chitengwa),,150,Matrilineal and patrilocal (chitengwa),,50,,,,20,farming,,SLIGHTLY SLOPING,1/4,ALMOST ALL,1/4,1/4,yes
20504729,MORE MOVED IN,4000,220,christian,120,islam,60,traditional,40,chewa,180,yao,40,,,father,Matrilineal and neolocal,,150,Matrilineal and patrilocal (chitengwa),,70,,,,70,farming,,SLIGHTLY SLOPING,1/4,ALMOST NONE,1/4,ALMOST NONE,yes
20505317,MORE MOVED IN,25000,13000,christian,7000,christian,500,none,1000,yao,2500,tumbuka,500,,,father,Matrilineal and neolocal,,1100,Matrilineal and matrilocal (chikamwini),,1800,Patrilineal and neolocal,,200,12500,farming,,MODERATELY SLOPING,1/4,ALMOST NONE,1/4,ALMOST NONE,yes
20505648,MORE MOVED IN,80000,700,islam,500,christian,150,traditional,50,chewa,700,,,,,mother,Matrilineal and matrilocal (chikamwini),,685,Matrilineal and matrilocal (chikamwini),,15,,,,500,farming,,flat,1/4,ALMOST NONE,ALMOST NONE,3/4,yes
20506412,MORE MOVED IN,9000,400,islam,300,christian,50,none,50,yao,250,chewa,150,,,father,Matrilineal and patrilocal (chitengwa),,150,Matrilineal and neolocal,,150,Patrilineal and neolocal,,100,50,farming,,flat,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
20507089,MORE MOVED IN,6000,400,christian,300,islam,800,none,20,chewa,350,nyanja,50,,,father,Matrilineal and neolocal,,300,Matrilineal and matrilocal (chikamwini),,100,,,,50,farming,,flat,1/4,ALMOST NONE,ALMOST NONE,1/2,yes
20507371,MORE MOVED IN,2500,350,christian,200,traditional,100,islam,50,chewa,250,yao,80,ngoni,20,father,Matrilineal and matrilocal (chikamwini),,250,Matrilineal and patrilocal (chitengwa),,100,,,,20,farming,,flat,1/4,1/2,1/4,ALMOST NONE,no
20507422,MORE MOVED IN,9000,900,christian,500,islam,250,traditional,150,chewa,800,yao,100,,,father,Matrilineal and matrilocal (chikamwini),,800,Matrilineal and patrilocal (chitengwa),,100,,,,50,farming,,SLIGHTLY SLOPING,1/4,1/4,1/4,ALMOST NONE,yes
20507459,MORE MOVED IN,17000,12000,christian,8500,traditional,2000,islam,1500,chewa,1000,chewa,1000,ngoni,500,father,Matrilineal and patrilocal (chitengwa),,8000,Matrilineal and matrilocal (chikamwini),,3000,Patrilineal and neolocal,,1000,3000,farming,,SLIGHTLY SLOPING,1/4,ALMOST NONE,1/4,ALMOST NONE,yes
20507571,MORE MOVED OUT,15000,8000,christian,5000,traditional,2000,islam,1000,chewa,7200,yao,500,tumbuka,300,father,Matrilineal and patrilocal (chitengwa),,6000,Matrilineal and matrilocal (chikamwini),,2000,,,,500,farming,,flat,1/4,1/4,1/4,1/2,yes
20508349,ABOUT THE SAME OF BOTH,20000,13000,christian,8000,islam,3000,traditional,2000,chewa,1100,yao,2000,0,0,mother,Matrilineal and neolocal,,1200,Matrilineal and patrilocal (chitengwa),,1000,0,,0,9000,SQUATTER  SETTLEMENT,,MODERATELY SLOPING,1/2,ALMOST NONE,1/4,ALMOST ALL,yes
20508547,MORE MOVED IN,3000,250,christian,150,traditional,50,none,50,chewa,250,,,,,father,Matrilineal and matrilocal (chikamwini),,200,Matrilineal and patrilocal (chitengwa),,50,,,,20,farming,,SLIGHTLY SLOPING,1/2,1/4,ALMOST NONE,ALMOST NONE,yes
20510584,MORE MOVED IN,10000,650,islam,400,christian,200,none,50,yao,400,chewa,250,,,mother,Matrilineal and neolocal,,450,Matrilineal and matrilocal (chikamwini),,200,,,,300,farming,,flat,1/2,ALMOST NONE,ALMOST NONE,ALMOST NONE,yes
20520255,MORE MOVED IN,14000,5000,christian,3500,islam,1500,,,chewa,4500,yao,500,,,father,Matrilineal and neolocal,,4000,Matrilineal and patrilocal (chitengwa),,1000,,,,500,PLANNED HOUSING,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST NONE,yes
20520582,MORE MOVED IN,18000,7000,christian,4000,islam,2000,traditional,1000,chewa,5000,yao,1500,tumbuka,500,father,Matrilineal and patrilocal (chitengwa),,4000,Matrilineal and matrilocal (chikamwini),,2500,Patrilineal and neolocal,,500,500,SQUATTER  SETTLEMENT,,flat,1/4,ALMOST NONE,ALMOST NONE,1/2,yes
20601141,MORE MOVED OUT,3000,400,christian,250,traditional,150,,,chewa,400,,,,,mother,Matrilineal and patrilocal (chitengwa),,300,Matrilineal and matrilocal (chikamwini),,100,,,,150,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
20601626,MORE MOVED IN,480,120,christian,100,islam,15,OTHER RELIGION,5,chewa,116,yao,4,,,mother,Matrilineal and patrilocal (chitengwa),,80,Matrilineal and matrilocal (chikamwini),,30,Matrilineal and neolocal,,10,3,PLANNED HOUSING,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20601658,MORE MOVED IN,1300,220,christian,180,traditional,40,,,chewa,220,,,,,mother,Matrilineal and patrilocal (chitengwa),,200,Matrilineal and matrilocal (chikamwini),,20,,,,50,farming,,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,ALMOST NONE,1/2,yes
20601701,MORE MOVED IN,835,285,christian,250,traditional,85,,,chewa,285,,,,,mother,Matrilineal and matrilocal (chikamwini),,150,Matrilineal and patrilocal (chitengwa),,85,Matrilineal and neolocal,,50,20,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20602363,MORE MOVED IN,800,164,islam,100,christian,64,,,chewa,139,nyanja,25,,,mother,Matrilineal and patrilocal (chitengwa),,100,Matrilineal and matrilocal (chikamwini),,64,,,,5,SQUATTER  SETTLEMENT,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20602479,MORE MOVED IN,1250,250,christian,220,traditional,30,,,chewa,250,,,,,mother,Matrilineal and patrilocal (chitengwa),,,Matrilineal and matrilocal (chikamwini),,,,,,,farming,,flat,ALMOST NONE,1/2,ALMOST NONE,3/4,yes
20602607,MORE MOVED IN,860,120,christian,100,traditional,20,,,chewa,120,,,,,mother,Matrilineal and patrilocal (chitengwa),,110,Matrilineal and matrilocal (chikamwini),,10,,,,11,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20602617,MORE MOVED OUT,280,40,christian,30,traditional,10,,,chewa,40,,,,,mother,Matrilineal and patrilocal (chitengwa),,28,Matrilineal and matrilocal (chikamwini),,12,,,,4,farming,,flat,ALMOST NONE,ALMOST NONE,1/4,3/4,yes
20603090,MORE MOVED OUT,786,130,traditional,70,islam,60,,,chewa,130,,,,,mother,Matrilineal and patrilocal (chitengwa),,80,Matrilineal and matrilocal (chikamwini),,50,,,,14,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20603121,MORE MOVED IN,306,57,christian,37,traditional,20,,,chewa,57,,,,,mother,Matrilineal and patrilocal (chitengwa),,40,Matrilineal and matrilocal (chikamwini),,17,,,,0,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20603133,MORE MOVED OUT,800,100,christian,80,traditional,20,,,chewa,100,,,,,mother,Matrilineal and patrilocal (chitengwa),,90,Matrilineal and matrilocal (chikamwini),,10,,,,5,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
20603189,MORE MOVED IN,1300,260,traditional,20,islam,15,christian,225,chewa,245,yao,15,,,mother,Matrilineal and patrilocal (chitengwa),,160,Matrilineal and matrilocal (chikamwini),,100,,,,10,farming,,flat,ALMOST NONE,1/4,1/4,1/2,yes
20603337,MORE MOVED IN,1330,286,christian,204,traditional,82,,,chewa,286,,,,,father,Matrilineal and patrilocal (chitengwa),,186,Matrilineal and matrilocal (chikamwini),,100,,,,10,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20603455,MORE MOVED IN,630,105,christian,55,traditional,50,,,chewa,105,,,,,mother,Matrilineal and patrilocal (chitengwa),,40,Matrilineal and matrilocal (chikamwini),,40,,,,8,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20603533,MORE MOVED IN,400,80,christian,50,islam,5,traditional,25,chewa,65,yao,15,,,mother,Matrilineal and patrilocal (chitengwa),,70,Matrilineal and matrilocal (chikamwini),,10,,,,10,PLANNED HOUSING,,flat,1/4,ALMOST NONE,ALMOST NONE,3/4,yes
20604071,MORE MOVED IN,680,114,christian,80,traditional,34,,,chewa,114,,,,,father,Matrilineal and patrilocal (chitengwa),,70,Matrilineal and matrilocal (chikamwini),,44,,,,5,farming,,MODERATELY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20604376,MORE MOVED IN,900,100,christian,70,islam,20,traditional,10,chewa,90,english,1,,,mother,Matrilineal and patrilocal (chitengwa),,50,Matrilineal and neolocal,,25,Matrilineal and matrilocal (chikamwini),,25,15,PLANNED HOUSING,,STEEPLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20604638,MORE MOVED IN,400,80,christian,67,traditional,23,,,chewa,80,,,,,mother,Matrilineal and patrilocal (chitengwa),,45,Matrilineal and matrilocal (chikamwini),,35,,,,4,farming,,MODERATELY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20605302,MORE MOVED OUT,240,40,christian,36,traditional,4,,,chewa,40,,,,,mother,Matrilineal and neolocal,,28,Matrilineal and matrilocal (chikamwini),,10,Matrilineal and patrilocal (chitengwa),,2,2,farming,,STEEPLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20606168,MORE MOVED IN,800,160,christian,112,traditional,48,,,chewa,160,,,,,mother,Matrilineal and patrilocal (chitengwa),,130,Matrilineal and matrilocal (chikamwini),,30,,,,2,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20606297,MORE MOVED IN,2800,400,christian,300,traditional,100,,,chewa,380,yao,20,,,mother,Matrilineal and patrilocal (chitengwa),,350,Matrilineal and matrilocal (chikamwini),,50,,,,15,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20607260,MORE MOVED IN,3500,400,christian,300,christian,70,traditional,30,chewa,350,yao,50,,,mother,Matrilineal and patrilocal (chitengwa),,350,Matrilineal and matrilocal (chikamwini),,50,,,,10,PLANNED HOUSING,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20607315,MORE MOVED IN,1430,286,christian,200,traditional,79,islam,7,chewa,280,yao,6,,,mother,Matrilineal and patrilocal (chitengwa),,266,Matrilineal and matrilocal (chikamwini),,20,,,,15,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20607733,MORE MOVED IN,343,67,christian,57,traditional,10,,,chewa,67,,,,,father,Matrilineal and patrilocal (chitengwa),,40,Matrilineal and matrilocal (chikamwini),,27,,,,0,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
20608499,MORE MOVED IN,600,100,christian,80,traditional,20,,,chewa,100,,,,,mother,Matrilineal and patrilocal (chitengwa),,95,Matrilineal and matrilocal (chikamwini),,5,,,,7,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
20609754,MORE MOVED OUT,220,48,christian,40,8,1,,,chewa,48,,,,,mother,Matrilineal and patrilocal (chitengwa),,30,Matrilineal and matrilocal (chikamwini),,18,,,,3,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20610050,MORE MOVED IN,1100,220,christian,190,traditional,20,islam,10,chewa,210,yao,10,,,mother,Matrilineal and patrilocal (chitengwa),,200,Matrilineal and matrilocal (chikamwini),,20,,,,4,farming,,flat,1/4,ALMOST NONE,1/4,3/4,no
20610249,MORE MOVED IN,2000,400,traditional,300,islam,100,,,chewa,400,,,,,mother,Matrilineal and matrilocal (chikamwini),,300,Matrilineal and patrilocal (chitengwa),,100,,,,10,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20611336,MORE MOVED IN,1100,300,christian,250,traditional,50,,,chewa,300,,,,,mother,Matrilineal and neolocal,,200,Matrilineal and patrilocal (chitengwa),,100,,,,20,PLANNED HOUSING,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20612564,MORE MOVED IN,420,70,christian,,traditional,,islam,,chewa,68,yao,2,,,father,Matrilineal and patrilocal (chitengwa),,50,Matrilineal and matrilocal (chikamwini),,20,,,,3,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20613324,MORE MOVED IN,1200,200,islam,150,traditional,50,,,chewa,200,,,,,mother,Matrilineal and patrilocal (chitengwa),,170,Matrilineal and matrilocal (chikamwini),,30,,,,10,farming,,flat,,ALMOST NONE,1/4,ALMOST ALL,yes
20614477,MORE MOVED IN,1580,360,christian,350,OTHER RELIGION,10,,,chewa,360,,,,,mother,Matrilineal and patrilocal (chitengwa),,180,Matrilineal and matrilocal (chikamwini),,180,,,,15,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
20614589,MORE MOVED IN,700,134,traditional,74,christian,60,,,chewa,134,,,,,mother,Matrilineal and patrilocal (chitengwa),,100,Matrilineal and matrilocal (chikamwini),,34,,,,30,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,1/2,yes
